"WaterSystem ID",Water System Name,Population,"ServiceConnections","Degree ofDisadvantaged1",Service Line Inventoried - Material Unknown,"Goosenecks, Pigtails,and ConnectorsInventoried - MaterialUnknown","Estimated Coststo Investigate 2","Estimated Costs toReplace 25% 3"
CA3610118,"APPLE VALLEY RANCHOS WATER CO -YERMO",1046,317,DAC,295,0,"$147,500.00","$1,180,000.00"
CA3610705,US ARMY FORT IRWIN,16000,3315,DAC,0,2319,"$1,159,500.00","$9,276,000.00"
CA3700859,RANCHO DEL CAMPO WATER SYSTEM,290,110,DAC,57,57,"$57,000.00","$456,000.00"
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,884363,170842,Non-DAC,5994,5994,"$5,994,000.00","$47,952,000.00"
CA3810702,TREASURE ISLAND,2400,172,Non-DAC,182,0,"$91,000.00","$728,000.00"
CA3910001,"CALIFORNIA WATER SERVICE -STOCKTON",173272,43871,DAC,845,0,"$422,500.00","$3,380,000.00"
CA3910004,"LODI, CITY OF",68272,26124,DAC,876,0,"$438,000.00","$3,504,000.00"
CA3910018,SAN JOAQUIN RIVER CLUB INC,734,385,DAC,0,118,"$59,000.00","$472,000.00"
CA3910020,STOCKTON VERDE MOBILE HOME PARK,712,293,DAC,0,286,"$143,000.00","$1,144,000.00"
CA3910022,LITTLE POTATO SLOUGH MUTUAL,950,26,DAC,202,0,"$101,000.00","$808,000.00"
CA3910800,DEUEL VOCATIONAL INSTITUTION,3271,1688,DAC,0,1604,"$802,000.00","$6,416,000.00"
CA4010830,CALIFORNIA MENS COLONY,15000,12,DAC,0,261,"$130,500.00","$1,044,000.00"
CA4110002,CITY OF BRISBANE,3385,1288,Non-DAC,0,2,"$1,000.00","$8,000.00"
CA4110003,CITY OF BURLINGAME,31056,8742,Non-DAC,1455,1455,"$1,455,000.00","$11,640,000.00"
CA4110006,"CALIFORNIA WATER SERVICE - BEARGULCH",60903,18550,Non-DAC,478,0,"$239,000.00","$1,912,000.00"
CA4110007,"CALIFORNIA WATER SERVICE - SANCARLOS",35360,10465,Non-DAC,5,0,"$2,500.00","$20,000.00"
CA4110008,"CALIFORNIA WATER SERVICE - SANMATEO",107465,25435,Non-DAC,242,0,"$121,000.00","$968,000.00"
CA4110009,"CALIFORNIA WATER SERVICE-S SANFRANCISCO",63439,16454,Non-DAC,91,0,"$45,500.00","$364,000.00"
CA4110022,CITY OF REDWOOD CITY,87023,23557,Non-DAC,1740,1740,"$1,740,000.00","$13,920,000.00"
CA4300997,NASA AMES RESEARCH CENTER,5300,300,DAC,258,300,"$279,000.00","$2,232,000.00"
CA4310001,CWSC LOS ALTOS SUBURBAN,70175,18526,Non-DAC,2,0,"$1,000.00","$8,000.00"
CA4310011,SAN JOSE WATER,1007514,222047,Non-DAC,6276,6276,"$6,276,000.00","$50,208,000.00"
CA4510003,BURNEY WATER DISTRICT,3154,1413,DAC,357,2826,"$1,591,500.00","$12,732,000.00"
CA4700549,LAKE SISKIYOU M.W.C.,240,84,DAC,0,98,"$49,000.00","$392,000.00"
CA4810002,"CALIFORNIA WATER SERVICE CO. -DIXON",16150,3042,Non-DAC,20,0,"$10,000.00","$80,000.00"
CA4810007,CITY OF VALLEJO,118470,36655,Non-DAC,20,0,"$10,000.00","$80,000.00"
CA4810701,"CALIFORNIA WATER SERVICE CO.-TRAVIS AFB",7190,1,DAC,287,0,"$143,500.00","$1,148,000.00"
CA4900552,MICHELE MUTUAL WATER COMPANY,170,62,Non-DAC,62,0,"$31,000.00","$248,000.00"
CA5010007,HILLSVIEW HOMES,887,230,DAC,220,230,"$225,000.00","$1,800,000.00"
CA5010019,"TURLOCK, CITY OF",74297,19038,DAC,8660,8660,"$8,660,000.00","$69,280,000.00"
CA5301002,"LEWISTON COMMUNITY SERVICESDISTRICT",701,231,DAC,231,231,"$231,000.00","$1,848,000.00"
CA5410006,"LINDSAY, CITY OF",13445,3090,DAC,88,0,"$44,000.00","$352,000.00"
CA5410016,CWS - VISALIA,141165,45609,Non-DAC,22,22,"$22,000.00","$176,000.00"
CA5410503,NPS-WOLVERTON,2940,125,DAC,124,0,"$62,000.00","$496,000.00"
CA5410513,NPS-ASH MOUNTAIN,2930,45,DAC,53,53,"$53,000.00","$424,000.00"
CA5810001,CAL-WATER SERVICE CO.-MARYSVILLE,12231,3722,DAC,69,0,"$34,500.00","$276,000.00"
CA5810700,BEALE AIR FORCE BASE,7252,841,DAC,231,0,"$115,500.00","$924,000.00"
Total,,,199,,"91,837","45,931","$68,884,000.00","$551,072,000.00"
