Project,County,"System Name /
Borrower",Description,Pop .,Project Cost,Score,"Cumulative
Total"
18807,Albany,LATHAM WATER DISTRICT / Colonie (T),"River Road Storage and Mohawk View WTP Mixing Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","78,500","$6,230,000",30,"$72,869,800"
18845,Albany,NORTHEAST W.D. / New Scotland (T),"Connect Northeast WD and Kensington Woods WDs., New Inter-Connection",370,"$488,220",25,"$73,358,020"
19152,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"NYS Route 85 Transmission Main Replacement, Upgrade Transmission","31,000","$6,695,000",15,"$80,053,020"
19150,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM / Bethlehem (T),"Elevated Water Storage Tank Replacement, Upgrade Storage","31,000","$3,900,000",15,"$83,953,020"
18824,Allegany,HUME WATER DISTRICT / Hume (T),"Sanford Springs Consolidation and System Upgrades., Extend Distribution System, Upgrade Distribution System, New System Consolidation",620,"$600,000",1160,"$84,553,020"
18358,Allegany,ANDOVER VILLAGE PUBLIC WATER / Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements., New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","1,130","$2,547,345",1135,"$87,100,365"
19051,Allegany,SCIO WATER DISTRICT / Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,"$2,550,000",90,"$89,650,365"
19213,Allegany,"WELLSVILLE VILLAGE
PUBLIC WATER / Wellsville
( )","Village - Wide Watermain Replacement , Upgrade Distribution System","5,700","$5,166,480.00",60,"$94,816,845.00"
18896,Allegany,"CUBA VILLAGE PUBLIC
WATER / Cuba ( V )","Water main replacement and improvements to well site and storage
tanks . , Upgrade Ground Water Source , Upgrade Storage , Upgrade
Distribution System","1,800","$7,373,770.00",60,"$102,190,615.00"
18856,Allegany,"WELLSVILLE VILLAGE
PUBLIC WATER / Wellsville
( )","Replacement of WTP pumps and controls , meters , and aged water
mains . , Upgrade Water Treatment Plant , Upgrade Distribution System","5,700","$1,596,912.00",55,"$103,787,527.00"
18622,Allegany,"ALFRED VILLAGE WATER
SUPPLY / Alfred ( V )","Upgrade Transmission , Upgrade Storage , Upgrade Pump Station ,
Upgrade Distribution System","3,500",$0.00,55,"$103,787,527.00"
18369,Allegany,"ALMOND VILLAGE PUBLIC
WATER / Almond ( V )","Upgrade Water Treatment Plant , Upgrade Storage , Upgrade
Distribution System",600,"$922,000.00",20,"$104,709,527.00"
18941,Broome,"ENDICOTT MUNICIPAL
WATER WORKS / Endicott
M","New Source Development to Address Fe / Mn / 1,4 - dioxane . , New
Ground Water Source","45,000","$7,310,218.00",120,"$112,019,745.00"
18681,Broome,"ENDICOTT MUNICIPAL
WATER WORKS / Endicott
( )","Well No. 32 treatment for iron , manganese , and 1,4 - dioxane . ,
Upgrade Water Treatment Plant","45,000","$18,473,853.00",80,"$130,493,598.00"
18544,Broome,"PORT DICKINSON
VILLAGE / Port Dickinson
( )","Replace Aged Water Mains . , Upgrade Distribution System","1,785","$2,810,116.00",45,"$133,303,714.00"
18576,Broome,"BINGHAMTON , CITY OF /
Binghamton ( C )","Harding Avenue Water Tank Replacement . , Upgrade Storage","47,600","$1,273,080.00",40,"$134,576,794.00"
18610,Broome,"VESTAL CONSOLIDATED
W.D. # 1 / Vestal ( T )","Old Vestal & Burn Hill Rd Watermain . , Upgrade Distribution System","20,950","$1,652,683.00",35,"$136,229,477.00"
18256,Broome,"CHENANGO
CONSOLIDATED WD # 1 /
Chenango ( T )","New well and appurtenances as redundancy for Northgate Well . , New
Ground Water Source","9,200","$2,519,195.00",30,"$138,748,672.00"
18748,Broome,"BINGHAMTON ( T )
CONSOLIDATED WD /
Binghamton ( T )","Powers Road Storage Tank Replacement . , New Storage","2,600","$939,393.00",25,"$139,688,065.00"
18626,Broome,"KIRKWOOD
CONSOLIDATED WD # 1 /
Kirkwood ( T )","Upgrades to City Line Booster Station . , Upgrade Distribution System","2,600","$120,000.00",20,"$139,808,065.00"
18907,Cattaraugus,"LITTLE VALLEY VILLAGE /
Little Valley ( V )","Installation of wells , main replacement , and WTP improvements . ,
Upgrade Water Treatment Plant , New Ground Water Source , Upgrade
Distribution System","1,188","$4,300,000.00",135,"$144,108,065.00"
18842,Cattaraugus,"SOUTH DAYTON VILLAGE
/ South Dayton ( V )","Source and distribution upgrades . , Upgrade Ground Water Source ,
Upgrade Distribution System",661,"$3,250,000.00",120,"$147,358,065.00"
18574,Cattaraugus,"ELLICOTTVILLE ( T ) & ( V ) /
Ellicottville ( T )","Upgrade Wells , Pump Stations , and Storage . , Upgrade Ground Water
Source , Upgrade Storage , Upgrade Pump Station",900,"$7,120,000.00",115,"$154,478,065.00"
18843,Cattaraugus,"PORTVILLE VILLAGE /
Portville ( V )","Well , treatment , storage , and distribution upgrades . , Upgrade Water
Treatment Plant , Upgrade Ground Water Source , Upgrade Storage ,
Upgrade Distribution System","1,040","$5,408,530.00",85,"$159,886,595.00"
19244,Cattaraugus,"SALAMANCA CITY /
Salamanca ( C )","Abandon Existing WTP , New Well Source , New Pump Building . ,
Upgrade Water Treatment Plant","7,000","$12,303,767.00",65,"$172,190,362.00"
18813,Cattaraugus,"FRANKLINVILLE VILLAGE /
Franklinville ( V )","South and North Wellhouse Improvements & Howard Street Water
Main Replacement . , Upgrade Ground Water Source , Upgrade
Distribution System","1,760","$6,000,000.00",60,"$178,190,362.00"
19026,Cattaraugus,OLEAN CITY / Olean ( C ),"WTP Upgrades and Structural Rehabilitation , Upgrade Water
Treatment Plant","15,500","$4,801,500.00",45,"$182,991,862.00"
18025,Cattaraugus,"SALAMANCA CITY /
Salalmanca ( C )",Upgrade Distribution System,"7,000","$1,688,000.00",30,"$184,679,862.00"
19060,Cattaraugus,"ALLEGANY VILLAGE /
Allegany ( V )","2021 Water Meter Upgrades , Upgrade Other Expenses , Upgrade
Other ( OT )","1,900","$163,915.00",25,"$184,843,777.00"
19201,Cayuga,"CAYUGA COUNTY W & S
AUTHORITY / Cayuga
County W & S Authority","Regional Water District Project , New Water Treatment Plant , New
Transmission , Upgrade Transmission , New Storage , New Pump
Station , New Distribution System , Upgrade Distribution System , New
System Consolidation , New Water District","42,653","$54,882,970.00",125,"$239,726,747.00"
18564,Cayuga,"AURORA ( V ) NEW
SYSTEM / Aurora ( V )","New WTP , New Transmission , New Inter - Connection",700,"$10,370,000.00",105,"$250,096,747.00"
18128,Cayuga,"PROPOSED WD # 2 /
Sterling ( T )","Water District # 2 . , Extend Distribution System",500,"$6,669,393.00",80,"$256,766,140.00"
18905,Cayuga,AUBURN / Auburn ( C ),"Comprehensive upgrades to City of Auburn Water Filtration Plant ,
Upgrade Water Treatment Plant","29,788","$9,866,370.00",70,"$266,632,510.00"
19133,Cayuga,"WEEDSPORT VILLAGE /
Weedsport ( V )","Water Systems Improvements , Upgrade Storage , Upgrade
Distribution System","2,300","$21,235,000.00",55,"$287,867,510.00"
19074,Cayuga,WD NO . 11 / Brutus ( T ),"Water District No. 11 , New Water District",116,"$1,430,000.00",50,"$289,297,510.00"
19073,Cayuga,WD NO . 10 / Brutus ( T ),"Water District No. 10 , New Water District",90,"$1,100,000.00",50,"$290,397,510.00"
18924,Cayuga,"CCWSA PHASE 1A : AUR ,
FLEM , SPRING / Cayuga
County W & S Authority","Main extension on Honoco Rd . , New Distribution System",180,"$7,130,744.00",50,"$297,528,254.00"
19199,Cayuga,"THROOP ( T ) WD # 2 /
Throop ( T )","Water District # 2 - Centerport , Reyer , and Sine Rd . , New Water
District",66,"$1,069,400.00",45,"$298,597,654.00"
19210,Cayuga,AUBURN / Auburn ( C ),"Raw Water Transmission Main Replacement , Upgrade Transmission","29,788","$12,300,000.00",40,"$310,897,654.00"
18182,Cayuga,"SENNETT WD # 6 /
Sennett ( T )","Upgrade Other Expenses , Upgrade Storage , Upgrade Distribution
System , Upgrade Other ( OT )",60,"$4,142,100.00",40,"$315,039,754.00"
19191,Cayuga,LOCKE W D / Locke ( T ),"New storage tank and well & Telemetry Upgrades at all facilities , New
Ground Water Source , New Storage",600,"$3,416,049.00",40,"$318,455,803.00"
18436,Cayuga,NILES WD NO . 1 / Niles ( T ),"Niles Water District No. 1. , New Water District",33,"$201,762.00",30,"$318,657,565.00"
19209,Cayuga,"FAIR HAVEN VILLAGE /
Fair Haven ( V )","Replacement of Asbestos Cement Watermain , Upgrade Distribution
System","1,000","$5,892,888.00",25,"$324,550,453.00"
18401,Cayuga,"FLEMING WD # 1 / Fleming
( T )","WD # 1 Phase IIA Distribution Improvements . , Upgrade Distribution
System","1,800","$654,000.00",15,"$325,204,453.00"
18520,Chautauqua,"MAYVILLE VILLAGE /
Mayville ( V )","New Source Development , Storage and Distribution Upgrades . ,
Upgrade Other Expenses , New Ground Water Source , New Storage , Upgrade Distribution System , Upgrade Other ( OT )","1,856","$500,000.00",1170,"$325,704,453.00"
18826,Chautauqua,"SINCLAIRVILLE VILLAGE /
Sinclairville ( V )","Phase 2 of Project # 18105 . , Upgrade Ground Water Source , Upgrade
Transmission , Extend Distribution System",772,$0.00,1145,"$325,704,453.00"
18806,Chautauqua,"SHERMAN VILLAGE /
Sherman ( V )","Upgrade Water Treatment Plant , Upgrade Ground Water Source ,
Upgrade Storage , Upgrade Distribution System",917,$0.00,1110,"$325,704,453.00"
17614,Chautauqua,"DUNKIRK CITY / Dunkirk
( C )","Upgrade Water Treatment Plant , Upgrade Distribution System","15,310",$0.00,1110,"$325,704,453.00"
18772,Chautauqua,"CHAUTAUQUA HEIGHTS
WATER DISTRICT /
Chautauqua ( T )","WD No. 2 Alternative Water Supply . , New Ground Water Source",174,"$6,942,000.00",95,"$332,646,453.00"
18321,Chautauqua,"NCCRWP / Chautauqua
County","North Chautauqua County Regional Water Project . , New Water
District","31,000",$0.00,70,"$332,646,453.00"
18540,Chautauqua,"WD 2 EXT 1 NORTH &
WTP RELOCATION /
Chautauqua ( T )","New Surface Water Treatment Rule Compliance Facility , Extend
Transmission , Extend Distribution System",230,"$5,125,280.00",65,"$337,771,733.00"
19247,Chautauqua,POMFRET ( T ) / Pomfret ( T ),"North End WD Phase 2 , New Distribution System","1,200","$22,263,450.00",65,"$360,035,183.00"
18413,Chautauqua,"FREWSBURG WATER
DISTRICT / Carroll ( T )",Upgrade Storage,"2,600","$960,000.00",40,"$360,995,183.00"
18084,Chautauqua,"BROCTON VILLAGE /
Brocton ( V )","Replace 10,600 If +/- water main , Upgrade Distribution System","4,000",$0.00,35,"$360,995,183.00"
18757,Chautauqua,BROCTON ( V ) / Brocton ( V ),"Replacement of approximately 3,400 LF of 8 "" watermain . , Upgrade
Distribution System","1,486","$1,008,800.00",35,"$362,003,983.00"
18770,Chautauqua,POMFRET ( T ) / Pomfret ( T ),"Replacement of distribution mains , and appurtenances in Lily Dale
WD . , Upgrade Distribution System","3,730","$3,230,000.00",35,"$365,233,983.00"
19246,Chautauqua,"CHESTNUT ROAD WATER
DISTRICT / Pomfret ( T )","Chestnut WD Water Main Replacement , Upgrade Distribution System",90,"$681,345.00",35,"$365,915,328.00"
19245,Chautauqua,"BERRY ROAD WATER
DISTRICT / Pomfret ( T )","Berry WD Water Main Replacement , Upgrade Distribution System",150,"$1,835,666.00",35,"$367,750,994.00"
19179,Chautauqua,"FREDONIA VILLAGE /
Fredonia ( V )","Fredonia Fresh Water Reservoir Spillway Improvements , Upgrade
Surface Water Source","10,400","$10,300,000.00",30,"$378,050,994.00"
18399,Chautauqua,"CLYMER WATER
DISTRICT / Clymer ( T )","Repairs to wellhouse floor . , Upgrade Ground Water Source",650,"$275,000.00",25,"$378,325,994.00"
18322,Chemung,"ELMIRA WATER BOARD /
Elmira Water Board","Elmira Refresh Initiative . , Upgrade Transmission , Upgrade Distribution
System","65,000","$6,043,913.00",70,"$384,369,907.00"
19068,Chemung,"HORSEHEADS VILLAGE /
Horseheads ( T )","Oak Hill Water District Extension , New Distribution System","11,530","$461,000.00",70,"$384,830,907.00"
19149,Chemung,"WELLSBURG VILLAGE /
Wellsburg ( V )","Tank decommissioning & replacements , distribution upgrades , new
emergency ground supply , New Ground Water Source , Upgrade
Storage , Upgrade Storage , Upgrade Distribution System",631,"$4,595,119.00",60,"$389,426,026.00"
18737,Chemung,"BIG FLATS WD # 4 / Big
Flats ( T )","Smith Valley and Ponderosa Drive Extension . , Extend Distribution
System",231,"$2,277,534.00",55,"$391,703,560.00"
18890,Chemung,"MILLPORT VILLAGE
WATER SUPPLY / Millport
( )","Well installation , tank improvements , replacement of meters , upgraded
telemetry , and safety improvements . , New Other Expenses , Upgrade
Ground Water Source , Upgrade Storage , New Other ( OT )",292,"$1,521,250.00",50,"$393,224,810.00"
18767,Chemung,"HORSEHEADS VILLAGE /
Horseheads ( V )","Upgrade water mains and appurtenances in Ridge Road , Number
Street and Center Street areas . , Upgrade Distribution System","11,530",$0.00,45,"$393,224,810.00"
18717,Chenango,"SOUTH OT SELIC WATER
DISTRICT / Otselic ( T )","Water System Improvements - source , treatment , storage , distribution ,
and meters . , Upgrade Ground Water Source , Upgrade Storage ,
Upgrade Distribution System",300,"$4,259,000.00",105,"$397,483,810.00"
18309,Chenango,"GUILFORD WATER
DISTRICT / Guilford ( T )","Water System Improvements Project , New Water Treatment Plant ,
New Ground Water Source , New Transmission",350,$0.00,75,"$397,483,810.00"
19184,Chenango,"BAINBRIDGE VILLAGE /
Bainbridge ( V )","Water System Improvements - WM Replacement , New Well , Booster
PS Improvements , New Ground Water Source , Upgrade Pump
Station , Upgrade Distribution System","1,550","$7,455,600.00",65,"$404,939,410.00"
18198,Chenango,"OXFORD VILLAGE / Oxford
( V )","Upgrades to valve vault , distribution & transmission mains . , Upgrade
Transmission , Upgrade Distribution System","1,738",$0.00,60,"$404,939,410.00"
18923,Chenango,"NEW BERLIN VILLAGE /
New Berlin ( V )","Treatment upgrades , main replacement , new meters and tank
improvements . , Upgrade Water Treatment Plant , Upgrade Storage ,
Upgrade Distribution System","1,500","$13,986,000.00",50,"$418,925,410.00"
18522,Chenango,"NEW BERLIN VILLAGE /
New Berlin ( V )","Distribution , source , and storage improvements . , Upgrade Ground
Water Source , Upgrade Storage , Upgrade Distribution System","1,500","$4,877,339.00",45,"$423,802,749.00"
18554,Chenango,AFTON VILLAGE / Afton ( V ),"Replace water storage tank , upgrade spring source booster pump station , upgrade well control building , water main replacement . ,
Upgrade Storage , Upgrade Pump Station , Upgrade Distribution
System",838,"$6,995,000.00",40,"$430,797,749.00"
18900,Chenango,"GREENE VILLAGE /
Greene ( V )","Phase 1 - Water main replacement , Upgrade Distribution System","1,800","$20,566,400.00",30,"$451,364,149.00"
18328,Clinton,"PLATTSBURGH CITY /
Plattsburgh ( C )","Phase 1 WTP , Source , Transmission , and Distribution Upgrades . ,
Upgrade Water Treatment Plant , New Ground Water Source , Upgrade Transmission , Upgrade Distribution System","18,000",$0.00,1115,"$451,364,149.00"
19093,Clinton,"PLATTSBURGH CITY /
Plattsburgh ( C )","Phase 2 Water System Upgrades / New GW Source Development ,
New Ground Water Source , Upgrade Transmission , Upgrade
Distribution System","18,000","$5,240,000.00",105,"$456,604,149.00"
18981,Clinton,"MORRISONVILLE WATER
DISTRICT / Schuyler Falls
( T )","Replacement of asbestos cement water main . , Upgrade Distribution
System","1,300","$6,899,500.00",65,"$463,503,649.00"
18809,Clinton,"ROUSES POINT VILLAGE
WD / Rouses Point ( V ) .","WTP Replacement with membrane microfiltration with raw water pump
station, New Water Treatment Plant , New Surface Water Source ,
New Pump Station","2,550","$10,000,000.00",55,"$473,503,649.00"
18386,Clinton,"REDFORD WATER
DISTRICT / Saranac ( T )","Upgrade Ground Water Source , Upgrade Storage , Upgrade
Distribution System",486,"$1,984,430.00",50,"$475,488,079.00"
18604,Clinton,"BEEKMANTOWN WATER
DISTRICT / Beekmantown
( T )","New Public Water System . , New Complete System ( New System )",250,"$6,862,378.00",45,"$482,350,457.00"
18867,Clinton,"CHAMPLAIN VILLAGE /
Champlain ( V )","Replacement of failing watermain . , Upgrade Distribution System","2,947","$1,442,000.00",35,"$483,792,457.00"
18974,Clinton,"BLACK BROOK WD NO2 /
Black Brook ( T )","Installationg and replacment of water meters . , Upgrade Other
Expenses , Upgrade Other ( OT )",77,"$845,000.00",35,"$484,637,457.00"
17683,Clinton,"PLEASANT RIDGE WD /
Plattsburgh ( T )",New Storage,168,"$1,985,000.00",30,"$486,622,457.00"
18027,Clinton,"PLATTSBURGH AIRPORT /
Clinton County",Upgrade Distribution System,"47,000","$10,402,825.00",30,"$497,025,282.00"
19251,Clinton,PERU WD / Peru ( T ),"Supplemental water source , new wells and transmission main . , New
Ground Water Source , New Transmission","2,600","$14,394,250.00",25,"$511,419,532.00"
19252,Clinton,"CHAZY WATER DISTRICT /
Chazy ( T )","WST rehab , water plant upgrades . , Upgrade Water Treatment Plant ,
Upgrade Storage",690,"$2,369,000.00",15,"$513,788,532.00"
18031,Columbia,"VALATIE VILLAGE / Valatie
( )","New Surface Water Treatment Rule Compliance Facility , New Ground
Water Source , Upgrade Transmission , Upgrade Distribution System","2,000","$1,982,750.00",145,"$515,771,282.00"
18821,Columbia,"GREENPORT WD NO1 /
Greenport ( T )","Source , Treatment and Distribution System Improvements . , Upgrade
Water Treatment Plant , Upgrade Ground Water Source , Upgrade
Pump Station , Upgrade Distribution System","4,050","$6,228,500.00",60,"$521,999,782.00"
18948,Columbia,"CHATHAM VILLAGE /
Chatham ( V )","Replace water main on Austerlitz St & Houseman Ave. , Upgrade
Distribution System","2,156","$1,432,215.00",35,"$523,431,997.00"
18620,Columbia,"KINDERHOOK VILLAGE /
Kinderhook ( V )","Williams Street & Albany Avenue Water Main Replacement . , Upgrade
Distribution System","1,385","$1,864,500.00",10,"$525,296,497.00"
18007,Cortland,"MARATHON VILLAGE /
Marathon ( V )","New Storage , New Pump Station , Upgrade Distribution System","1,107","$2,947,345.00",50,"$528,243,842.00"
18206,Cortland,"CORTLAND ( C ) / Cortland
( C )","Clinton Avenue Distribution System Upgrade . , Upgrade Distribution
System","20,095","$2,009,463.00",50,"$530,253,305.00"
18909,Cortland,"CORTLAND ( C ) / Cortland
( C )","Homer Ave Reconstruction & Water Main Replacement Project . ,
Upgrade Distribution System","20,095","$5,455,000.00",45,"$535,708,305.00"
18452,Cortland,"CORTLAND ( C ) / Cortland
( C )","Sevice Line Replacement , Upgrade Distribution System","20,095","$3,150,000.00",35,"$538,858,305.00"
18888,Cortland,"MARATHON VILLAGE /
Marathon ( V )","Water Main Crossings of the Tioughnioga River , Upgrade Distribution
System","1,107","$775,000.00",35,"$539,633,305.00"
18348,Delaware,"ROXBURY WATER
DISTRICT / Roxbury ( T )","Roxbury and Grand Gorge Joint project . , New Surface Water
Treatment Rule Compliance Facility , Upgrade Ground Water Source ,
Upgrade Distribution System",755,$0.00,1150,"$539,633,305.00"
18338,Delaware,"SIDNEY VILLAGE / Sidney
( \ )","New Ground Water Supply and WTP to Replace Existing Inadequate
Wells . , Upgrade Ground Water Source , Extend Distribution System ,
Upgrade Distribution System","5,100",$0.00,1140,"$539,633,305.00"
18803,Delaware,"HOBART VILLAGE / Hobart
( )","Upgrade Water Treatment Plant , New Ground Water Source",370,$0.00,1105,"$539,633,305.00"
17417,Delaware,"ARKVILLE WATER
DISTRICT / Middletown ( T )","Extend distribution , 100,000 gallons of storage , 100 gpm well , system
consolidation . , New Ground Water Source , New Storage , Extend
Distribution System , Extend System Consolidation",400,"$1,833,375.00",90,"$541,466,680.00"
18367,Delaware,"FISHS EDDY COMMUNITY
WATER SUP / Hancock ( T )","Fish's Eddy Water District . , New Ground Water Source , Upgrade
Distribution System , New Water District",150,"$4,184,504.00",85,"$545,651,184.00"
17791,Delaware,"STAMFORD VILLAGE /
Stamford ( V )","Replace water storage tank and aging water mains , New Storage ,
Upgrade Distribution System","1,280","$1,973,600.00",65,"$547,624,784.00"
18133,Delaware,"BOVINA CENTER WATER
DIST . NO 1 / Bovina ( T )",New Ground Water Source,142,"$657,000.00",60,"$548,281,784.00"
18525,Delaware,"HANCOCK VILLAGE /
Hancock Village","Village wide water system improvements . , Upgrade Ground Water
Source , Upgrade Storage , Upgrade Distribution System","1,189",$0.00,60,"$548,281,784.00"
19046,Delaware,DELHI VILLAGE / Delhi ( V ),"Distribution , Storage , & Pump Station Upgrades , Upgrade Storage ,
Upgrade Pump Station , Upgrade Distribution System","3,833","$4,750,000.00",55,"$553,031,784.00"
18216,Delaware,"WALTON VILLAGE / Walton
( )","Replace two tanks and aged mains on Bruce , Prospect and Burton
Sts . , Upgrade Storage , Upgrade Distribution System","3,070",$0.00,45,"$553,031,784.00"
18831,Delaware,"FRANKLIN VILLAGE /
Franklin ( V )","Replace existing 250,000 - gal water storage tank . , New Storage",481,"$767,350.00",25,"$553,799,134.00"
18916,Delaware,"HAMDEN WATER DIST 1 -
HAMDEN / Hamden ( T )","Hamden WD Distribution System Upgrades . , Upgrade Distribution
System",110,"$334,235.00",25,"$554,133,369.00"
16741,Dutchess,"PAWLING VILLAGE /
Pawling ( V )","New Surface Water Treatment Rule Compliance Facility , New Ground
Water Source","1,907","$150,000.00",1155,"$554,283,369.00"
15301,Dutchess,"TIVOLI VILLAGE WATER /
Tivoli ( V )","Upgrade Water Treatment Plant , Upgrade Ground Water Source , New
Storage , Upgrade Pump Station , Upgrade Distribution System , New
System Consolidation","1,303",$0.00,1115,"$554,283,369.00"
18090,Dutchess,"REVERE PARK
( E.FISH.WD # 2 ) / East
Fishkill ( T )","Interconnection of Hopewell West and Revere Park with Hopewell
Hamlet via Fishkill Plains . , New Distribution System , Upgrade
Distribution System , New Inter - Connection",280,"$5,093,266.00",205,"$559,376,635.00"
19170,Dutchess,"PAWLING VILLAGE /
Pawling ( V )","New GW Sources , new WTP and related utility work on well fields . ,
New Water Treatment Plant , New Ground Water Source","1,907","$2,334,000.00",80,"$561,710,635.00"
19146,Dutchess,"PINEWOOD KNOLLS
WATER DISTRICT / East
Fishkill ( T )","Provide interconnections within the Town's existing water districts ,
develop new GW Sources , New Ground Water Source , Upgrade
Distribution System",265,"$11,183,599.00",60,"$572,894,234.00"
18569,Dutchess,"BRINKERHOFF WATER
DISTRICT / Fishkill ( T )","Interconnection to Merritt Park Water District , New Inter - Connection","3,788","$2,633,200.00",55,"$575,527,434.00"
18822,Dutchess,"WAPPINGERS FALLS
VILLAGE / Wappingers
Falls ( V )","New Greensand WTP for Mn Removal and replace water storage
tanks , New Water Treatment Plant , Upgrade Ground Water Source ,
Upgrade Storage","6,000","$3,042,840.00",55,"$578,570,274.00"
16236,Dutchess,"RED HOOK VILLAGE / Red
Hook ( V )","New Ground Water Source , Upgrade Ground Water Source , New
Storage , Upgrade Distribution System","2,214",$0.00,55,"$578,570,274.00"
18830,Dutchess,"WAPPINGERS FALLS
VILLAGE / Wappingers
Falls ( V )","Interconnection between Wappingers Falls ( V ) and Wappinger ( T ) . ,
New Inter - Connection","6,000","$1,440,252.00",45,"$580,010,526.00"
18723,Dutchess,"POUGHKEEPSIE CITY /
City of Poughkeepsie",Upgrade Distribution System,"28,000","$15,770,000.00",45,"$595,780,526.00"
18536,Dutchess,"PINEBROOK ESTATES I
DCWWA","Interconnection to DCWWA Hyde Park System . , New Distribution
System , New Inter - Connection",200,"$3,489,161.00",45,"$599,269,687.00"
18918,Dutchess,"RHINEBECK VILLAGE
WATER / Rhinebeck ( V )","Upgrade Water Treatment Plant , Upgrade Storage","4,300","$6,649,680.00",45,"$605,919,367.00"
18028,Dutchess,"POUGHKEEPSIE CITY /
City of Poughkeepsie","Upgrade Other Expenses , Upgrade Other ( OT )","28,000","$4,311,035.00",40,"$610,230,402.00"
19187,Dutchess,"AMENIA WATER DISTRICT
NO 1 / Amenia ( T )","Provide new water source , New Ground Water Source , New
Transmission , New Storage","1,000","$13,338,500.00",40,"$623,568,902.00"
18512,Dutchess,"JOHN JAY HIGH SCHOOL /
Wappinger Central School
Dist .","Proposed interconnection to Town of East Fishkill , New
Inter - Connection","2,312","$275,352.00",40,"$623,844,254.00"
18651,Dutchess,"MILLERTON VILLAGE /
Millerton ( V )","Rehab . existing tank , repl . hydrants , rehab . water meters . , Upgrade
Storage , Upgrade Distribution System","1,150",$0.00,35,"$623,844,254.00"
19032,Dutchess,"PAWLING WD # 2 / Pawling
( T )","Pawling WD No. 2 Phase 1 Treatment , Storage , and Distribution
Upgrades , Upgrade Water Treatment Plant , Upgrade Storage ,
Upgrade Distribution System",225,"$853,500.00",35,"$624,697,754.00"
18698,Dutchess,"POUGHKEEPSIE
CITY / TOWN TREATMENT
PLANT / Poughkeepsie
JWB","Remove and replace six UV units , Upgrade Water Treatment Plant",18,"$4,921,000.00",35,"$629,618,754.00"
18140,Dutchess,"RED HOOK VILLAGE / Red
Hook ( V )","New Storage , Upgrade Distribution System","2,214",$0.00,35,"$629,618,754.00"
18566,Dutchess,"BRINKERHOFF WATER
DISTRICT /","Install GWUDI well filtration system , New Water Treatment Plant","3,788","$2,317,500.00",30,"$631,936,254.00"
19173,Dutchess,"POUGHKEEPSIE
TOWNWIDE WD /
Poughkeepsie ( T )","Rehabilitation of two 5 MG tanks and improvements to Spackenkill
Water Pump Station , Upgrade Storage , Upgrade Pump Station","40,000","$10,563,009.00",25,"$642,499,263.00"
