Project #,Applicant Name,Project Name,Project Description Attachment,Project Description,City/Town,County,"Justice 40MapCoverage",Population,"FinancialRank",DW Ratio,Disadvantged Rank,"PriorityRankingPoints","DW BIL-Lead FY","DW BIL-LeadAmount Granted","DW BIL LSL Amountof PF","DW BIL-Lead % ofPF","Applied for ProjectAmount"
FS010489-02,"Kinston, Town of",Town of Kinston – Lead Service Line Replacement,"The Town of Kinston proposes to replace service lines downstream of galvanized main line and
lead goosenecks.  The project would improve water quality for affected customers and improve
compliance with the Lead and Copper Rule.","Water Improvements -Distribution - Lead ServiceLine",Kinston,Coffee,Yes,793,1,1.91,3.91,55,2023,"$1,945,016.00","$1,945,016.00",100%,"$1,945,016.00"
FS010423-01,"Lanett, City of",City of Lanett – Lead Service Line Replacement,"The City of Lanett proposes to replace existing lead service lines downstream of lead and
galvanized mains with lead goosenecks.  The project would improve water quality for all
affected customers and improve compliance with the Lead and Copper Rule.","Water SystemImprovements - Lead ServiceLine",Lanett,Chambers,Yes,"6,821",-,1.83,2.83,55,2023,"$3,000,000.00","$1,206,990.00",25%,"$3,000,000.00"
FS010406-01,"Louisville, Town of",Town of Louisville – Lead Service Line Replacement,"The Town of Louisville proposes to replace service lines downstream of galvanized main line
and lead goosenecks.  The project would improve water quality for affected customers and
improve compliance with the Lead and Copper Rule.","Water SystemImprovements - Lead ServiceLine",Louisville,Barbour,No,562,1,1.10,3.10,70,2023,"$1,221,700.00","$1,221,700.00",100%,"$1,221,700.00"
FS010006-02,Marbury Water System,Marbury Water System – Lead Service Line Replacement,"The Marbury Water System proposes to replace service lines downstream of galvanized main
line and lead goosenecks.  The project would improve water quality for affected customers and
improve compliance with the Lead and Copper Rule.","Water SystemImprovements - Lead ServiceLine",Marbury,Autauga,No,"1,893",-,1.51,2.51,75,2023,"$500,000.00","$500,000.00",100%,"$500,000.00"
FS010006-03,Marbury Water System,Marbury Water System – Lead Service Line Inventory,"The Marbury Water System proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Marbury,Autauga,,"1,893",-,-,1.00,25,2023,"$150,000.00","$150,000.00",100%,"$150,000.00"
FS010002-05,"Northport, City of",City of Northport – Lead Service Line Inventory,"The City of Northport proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Northport,Tuscaloosa,No,"30,334",-,1.19,1.19,25,2023,"$235,082.00","$235,082.00",100%,"$235,082.00"
FS010558-01,"Phenix City, City of",City of Phenix City – Lead Service Line Inventory,"The City of Phenix City proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Phenix City,Lee/Russell,,"38,216",1,0.64,0.64,25,2023,"$34,000.00","$34,000.00",100%,"$34,000.00"
FS010559-01,"Pine Hill, Town of",Town of Pine Hill – Lead Service Line Inventory,"The Town of Pine Hill proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Pine Hill,Wilcox,Yes,865,-,1.59,2.59,25,2023,"$100,000.00","$100,000.00",100%,"$100,000.00"
FS010393-01,"Samson, City of",City of Samson – Lead Service Line Replacement,"The City of Samson proposes to replace service lines downstream of galvanized main line and
lead goosenecks.  The project would improve water quality for affected customers and improve
compliance with the Lead and Copper Rule.",Lead Service Line Inventory,Samson,Geneva,,"1,567",1,1.53,3.53,70,2023,"$1,000,000.00","$700,000.00",70%,"$2,210,774.00"
FS010057-05,"Thorsby, Town of",Town of Thorsby – Lead Service Line Inventory and Replacement,"The Town of Thorsby proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.
The Town of Thorsby proposes  to eliminate known galvanized service lines downstream of
galvanized main line with lead goosenecks and replace with copper service lines.",Lead Service Line Inventory,Thorsby,Chilton,Yes,"2,483",-,0.86,1.86,70,2023,"$84,008.00","$84,008.00",100%,"$84,008.00"
FS010600-01,"Uniontown, The Waterworks andSewer Board of the City of",The Waterworks and Sewer Board of the City of Uniontown – Lead Service Line Inventory,"The Waterworks and Sewer Board of the city of Uniontown proposes to conduct a lead service
line inventory.  The inventory will identify service lines made of lead and/or any service lines
made of galvanized steel downstream of lead goose necks.  The inventory is required to be
submitted by October 16, 2024.",Lead Service Line Inventory,Uniontown,Perry,Yes,"2,045",1,1.88,3.88,25,2023,"$1,400,000.00","$1,400,000.00",100%,"$1,400,000.00"
FS010519-04,"Wilcox County Water and SewerDistrict",Wilcox County Water and Sewer District – Lead Service Line Inventory,"The Wilcox County Water and Sewer District proposes to conduct a lead service line inventory.
The inventory will identify service lines made of lead and/or any service lines made of
galvanized steel downstream of lead goose necks.  The inventory is required to be submitted by
October 16, 2024.",Lead Service Line Inventory,Camden,Wilcox,Yes,"2,128",1,0.83,1.83,25,2023,"$165,850.00","$165,850.00",100%,"$165,850.00"
FS010601-01,"Wilsonville, Town of","Wilsonville, Town of – Lead Service Line Inventory","The Town of Wilsonville proposes to conduct a lead service line inventory.  The inventory will
identify service lines made of lead and/or any service lines made of galvanized steel downstream
of lead goose necks.  The inventory is required to be submitted by October 16, 2024.",Lead Service Line Inventory,Wilsonville,Shelby,,"2,167",-,1.15,2.15,25,2023,"$48,544.00","$48,544.00",100%,"$48,544.00"
