Community,Project Score,Population,Total Project Cost,Affordability Score,Potential Principal Forgiveness,Est. Notice to Proceed,Est. Construction Start,Est. Construction Completion,Est. Interst Rate,Est. Terms,Project Description
City of Roswell,10,"92,833","$2,250,000",14,,7/1/2023,2/1/2024,12/31/2024,2.92%,20,"The City of Roswell is planning on replacing a 6” cast iron water main with a new 10” ductile iron water main to improve system fire flows and pressures in this area of the system. The city has performed fire flow tests in this area and found that the fire flows are below the requirements of Appendix B of the Georgia International Fire Code. This was predicted when running the City’s hydraulic model. The model predicts that to meet current fire code standards in this area, a minimum of a 10” water line will need to be installed. The new 10” water line will replace approximately 5,317 feet of 6” cast iron water line along Woodstock Road from Fowler Avenue to Allenbrook Lane, as well as adding 8 new fire hydrants. The City’s Transportation department has plans to install a new multi-use trail (sidewalk) along Woodstock Road and will begin design on the new trail in 2023, and possibly be under construction in 2024. By coupling the design and construction of the water main replacement project with the current design project from the City’s Transportation Department, the City would significantly reduce overall costs and construction impacts. The new 10” line will improve fire flows in this area."
City of Roswell,10,"92,833","$1,750,000",14,,7/1/2027,2/1/2028,12/31/2028,2.92%,20,"The City of Roswell is planning on replacing 2,588 linear feet of 8” cast iron water line with 3,876 feet of 12” ductile iron pipe. The 8” cast iron water line was installed in the 1960’s and is reaching the end of its lifespan. This will also provide a larger transmission line from the City of Roswell’s Water Treatment Plant to the water distribution system, improving flows and pressures to the system and help fill the above-ground gravity water tanks quicker. Currently, the City has an 8” transmission line from the Water Treatment Plant connecting to a 12” main within the distribution system, restricting flows into the system. The City of Roswell would like to increase the 8” line to a 12” line, so that there is a 12” transmission line from the Water Treatment Plant to a 12” main within the distribution system."
City of Roswell,10,"92,833","$2,500,000",14,,7/1/2026,2/1/2027,2/1/2028,2.92%,20,"The City of Roswell is planning on replacing 8,094 linear feet of 6” asbestos concrete water pipe along Jade Cove Drive, Jade Cove Circle, La View Circle, and La View Way with a new 8” ductile iron water line. These lines have had 12 main breaks from 2006 through 2022, including 6 main breaks within the last 5 years. Replacing these lines will reduce the number of system breaks and thus water loss, as well as improving fire flows to this area. Additionally, replacing asbestos concrete lines with ductile iron prior to breaks reduces the health hazards associated with asbestos concrete pipe repairs for staff. The new lines will also include adding 9 new hydrants to improve fire protection to this community."
City of Roswell,10,"92,833","$400,000",14,,7/1/2025,2/1/2026,9/1/2026,2.92%,20,"The City of Roswell is planning to install 1,246 linear feet of new 8” ductile iron pipe along Frank Lewis Drive, from Dobbs Court to Grimes Bridge Road. The new line will create a new connection from the plant to the distribution system improving redundancy in feeding the water distribution system. Currently, there is only one connection from the Water Treatment Plant to the distribution system. Additionally, the line would create a loop in the area, increasing fire flows along Grimes Bridge Road."
City of Roswell,10,"92,833","$200,000",14,,7/1/2024,9/1/2024,12/1/2024,2.92%,20,"The City of Roswell plans to install 4 smart flushing devices within the water distribution system. The project would replace the current automatic flush stations that are based on a timer and not on a chlorine residual. They will be replaced with automatic flush stations that will flush based on water quality parameters such as chlorine residual, turbidity, and/ or pH instead of time elapsed. Automated flushing helps conserve water because it flushes lines, only when needed, based on real-time water quality measurements. This is based on minimum and maximum thresholds that have been set for each parameter measured. For instance, once the residual drops below the minimum threshold, the flush station would begin flushing the line until the residual increases above the minimum threshold that was set and then turn off. It ensures that the distribution system is maintaining water quality throughout the water distribution system. These SMART Flush Station will require power be supplied for the monitoring equipment and will tie to the City’s SCADA system."
City of Roswell,10,"92,833","$75,000",14,,12/1/2022,1/1/2023,10/16/2023,2.92%,20,"The City of Roswell’s Water Utility needs to create a Service Line Inventory, as required under the EPA’s updated Lead and Copper Rule, to identify service line material for both the public side and private side. This inventory will identify service line material and will be public facing. As lead services are identified, the City will plan for replacement of the services. The City plans to work with a consultant in the creation of the Service Line inventory and the public-facing portal."
City of Roswell,10,"92,833","$100,000",14,,7/1/2024,9/1/2024,12/1/2024,2.92%,20,"The City of Roswell is proposing to install solar panels on the Operations and Chemical buildings of the Water Treatment Plant. The Operations building footprint is approximately 2,904 ft² and the Chemical building footprint is approximately 3,150 ft². The addition of solar panels would add a redundant power supply to maintain the operations building during power outages. The City could also switch from the power grid to the solar panels during peak demand periods, increasing the Plant’s sustainability and reducing the demand on the power grid. Additionally, the City could also sell power back to the grid during high demand periods, reducing and potentially offsetting demand of the power grid during peak hours."
City of Roswell,10,"92,833","$2,000,000",14,,7/1/2025,7/1/2026,12/31/2027,2.92%,20,"The Roswell Water Utility has three elevated storage tanks for potable water in the distribution system. These tanks help meet daily water demands, provide capacity for fire protection, and control pressures within the water distribution system. There are currently two 500,000 gallon tanks and one 75,000 gallon tank, providing the system with 1.075 million gallons of water storage. The Roswell Water Utility will be replacing the 75,000 gallon tank with a larger tank (500,000 gallon tank). The additional capacity provided by replacing the 75,000 gallon tank with a larger tank would bring the Roswell Water Utility closer to providing a day’s worth of water storage which is an industry best practice. A new tank increases the Roswell Water Utility’s ability to meet future demands, provide additional fire flow, and better manage pressures in the distribution system. The Water Utility has already identified a City-owned parcel where the new tank could be installed."
North GA Mountains Authority,10,N/A,"$356,100",N/A,,1/1/2024,11/1/2023,8/1/2024,2.92%,20,"Demolish and replace Big Brook Well House. One of two wells serving the water system at Unicoi State Park. WSID GA3110008. New structure to include new valves, control systems, multiple injection systems, ventilation and chemical storage facilities"
City of Union Point,0,"1,597","$1,500,000",33,"$900,000",6/1/2024,7/1/2024,7/1/2025,2.92%,20,The proposed project will replace dilapidated and undersized existing water lines as well as provide a loop in the distribution system to alleviate water quality issues and low water pressure problems and improve reliability and redundancy.
Cave Spring,0,"1,174","$18,600,000",32,"$5,500,000",10/20/2023,1/6/2024,6/20/2025,2.92%,20,Replace aging and deteriorated water lines in the City and several lines outside the City limits that are experiencing unacceptable leaks and water loss.
City of Blairsville,0,616,"$700,000",29,"$350,000",6/1/2024,7/1/2024,7/1/2025,2.92%,20,"The City of Blairsville has had to shut down some of its groundwater wells due to lost production. Blairsville proposes to improve its water system by drilling additional groundwater drinking wells in order to improve reliability, increase capacity and reduce operating costs."
City of Cedartown,0,"10,190","$1,500,000",29,"$750,000",1/3/2023,1/3/2023,7/1/2023,2.92%,20,"Replacement of water meters & legacy transmitters in the City of Cedartown water system and upgrade to Advanced Metering Infrastructure (AMI)-based metering system. Current system has equipment & meters approaching 15 years of age. The total number of meters in the system is 4,044. The total number of transmitters throughout the system is at 3,751. Current supplier, Kendall Supply, has noted for several years now that the meters are failing, and our legacy transmitters are also outdated. Current transmitters are not able to perform AMI-based readings, which means that we must send an employee out on the field to perform meter reads. With an AMI-based system, staff will have constant communication with the meters rather than having to send an employee to read them out on the field every time a reading is necessary. ****The One-Step QBS process has been ongoing and will be completed at the November 14th City Commission meeting****"
Lincoln County,0,"7,915","$9,200,000",28,,2/1/2024,3/1/2024,2/1/2025,2.92%,20,"Lincoln County proposes to extend its water system to residents in an area that currently lacks a public water system. The project will provide public potable water to residents with dry or contaminated, poor water quality wells."
City of Manchester,0,"3,584","$990,000",27,,3/1/2023,3/1/2023,2/1/2024,2.92%,20,"The construction and installation of water line down nebula road approximately 5,000 LF of 8"" PVC C900. Two Railroad bores are included to connect the southside of Manchester to the northside including 1,000 LF of 10 "" PVC C900."
Jasper County Water and Sewer Authority,0,"14,040","$3,000,000",24,,4/3/2023,4/3/2023,4/3/2024,2.92%,20,"Jasper County Water and Sewer Authority proposes to construct an elevated tank, two drinking water wells and replace water lines along Jackson Lake Road."
"City of Walthourville, Georgia",0,"3,680","$5,525,000",23,,11/15/2023,1/15/2024,6/15/2025,2.92%,20,"The City needs to extend and loop water lines to expand / upgrade their water system to meet the water needs for residential and commercial developments and to improve water quality. The project includes renovation and upgrade of two existing wells, constructing a new elevated water tank and renovating, repair and painting two existing water storage tanks. The City is currently constructing improvements to an existing well due to massive issues with odor, taste and color of stored water. An aerator is being added to improve water quality at this well."
"City of Demorest, Georgia",0,"2,022","$5,850,000",22,,3/1/2024,5/1/2024,12/31/2024,2.92%,20,"The City of Demorest proposes to replacing approximately 50,000 linear feet of cement asbestos pipe and small, undersized lines to a 6-inch minimum, connecting dead-end lines, where possible to improve system circulation, upgrade two wells and construct an elevated storage tank to meet minimum pressures in a portion of the system."
Carroll County Water Authority,0,"118,121","$6,000,000",21,,1/15/2024,1/15/2024,9/1/2026,2.92%,20,"The Carroll County Water Authority (CCWA) operates and maintains a water distribution system that serves potable water to unincorporated areas of Carroll County. Despite CCWA and its contractors adding over 50 miles of waterlines of various sizes to its distribution in the past ten years, many residents in Carroll County remain without a safe and reliable potable water source. In addition, a water model of CCWA’s distribution system indicates that adding water mains along select roadways could be hydraulically beneficial, resulting in a more robust water distribution system with lower pumping costs and fewer dead end pipelines. The proposed construction project will consist primarily of installing waterlines along roadways in unincorporated Carroll County to expand potable drinking water service and improve system hydraulics."
Town of Alto,0,"1,310","$2,200,000",20,,10/2/2023,10/2/2023,12/1/2026,2.92%,20,"Replace deteriorated, leaking, and undersized water lines. Water mains to be replaced have histories of leaks, breaks, and frequent repairs. Under-sized lines reduce system pressures and restrict flow. Replacement will reduce real water losses, improve reliability of service, and improve flows and pressures."
Barrow County,0,"85,588","$6,000,000",19,,12/1/2024,1/10/2025,1/10/2026,2.92%,20,Barrow County proposes to construct an elevated water tank in order to increase water storage in the north SR 211 portion of its water service delivery area. The project will also include waterline upgrade and replacements to provide increased pressure and flow.
Barrow County,0,"85,588","$6,000,000",19,,12/1/2024,1/10/2025,1/10/2026,2.92%,20,Barrow County proposes to construct a redundancy transmission main in the northern part of the County's water service delivery area. This main would provide much needed redundancy.
Pike County Water & Sewerage Authority,0,"18,634","$1,144,000",18,,8/7/2023,9/4/2023,1/22/2024,2.92%,20,"The Pike County Water & Sewer Authority operates and maintains the County’s Water System( WSID#2310027. Currently the Pike County Water and Sewer Authority serves 400 citizens. The system is composed of 10-inch, 8 inch and 6-inch diameter water mains with fire hydrants, a 300,000 gallon elevated storage tank and two wells( Midway Well 100 gpm and Shackleford 50 gpm) A recent catastrophic failure at the Midway well site revealed that the Shackelford well cannot keep up with existing demand. The Authority had to use its emergency connection to the City of Zebulon to maintain adequate supply and pressure during the repair period. This failure along with continued growth of the past few years requires the Authority to look for additional water sources. This project includes the construction of a new deep well water supply, chemical feed building and treatment system for anticipated iron/ manganese contaminants. In December of 2018, the Pike Water & Sewer Authority submitted a request to the state for a well withdrawal permit. At the time of submission, the Authority(County) had 230 customers. As of the time of this application the Authority serves 400 customers and has plans to serve an additional 373 customers plus a future Subdivision near GA Hwy 362 and the future School Complex near Concord. In the past two years the System has added the Ashley Glenn Phase II subdivision, the Fox Tails Subdivision, and the Reserve at Reidsboro."
City of Temple,0,"5,089","$250,000",14,,4/3/2023,4/3/2023,4/3/2024,2.92%,20,"The City of Temple is proposing to replace and abandon old, leaking undersized water lines that have lead service lines."
