Project  Number2,District  Number,Project  Type,Applicant,Project Title /  Description,Class,Consolidation  Project,Population,Service  Connections,Degree of  Disadvantaged,Estimated/  Requested Project  Costs
3410021-004C,9,Construction,San Juan Water District,Eureka Road Transmission Line  Replacement,F,No,"33,792","10,240",Not  Disadvantaged,"$3,125,000 "
3410021-002C,9,Construction,San Juan Water District,Kokila Reservoir Replacement,F,No,"33,792","10,240",Not  Disadvantaged,"$7,850,000 "
3010038-003C,8,Construction,"Santa Ana, City of",Well 32 Nitrate Treatment & Rehabilitation,F,No,"353,428","44,610",Not  Disadvantaged,"$5,290,000 "
3010038-002C,8,Construction,"Santa Ana, City of",Automated Meter Infrastructure (GPR  Project),F,No,"353,428","44,610",Not  Disadvantaged,"$10,117,365 "
4410010-003C,5,Construction,"Santa Cruz, City of",Graham Hill Water Treatment Plant Facility  Improvements Project,F,No,"96,168","24,523",Not  Disadvantaged,"$177,600,000 "
4400617-001C,5,Construction,"Santa Cruz Mountains Summit West,  Inc",Mountain Charlie Tank Replacement,F,No,400,139,Not  Disadvantaged,"$250,000 "
5510016-001C,11,Construction,"Sierra Park Water Company, Inc.",Sierra Park Water Company Water System  Improvements,E,No,300,363,Not  Disadvantaged,"$2,000,000 "
3010055-001C,8,Construction,South Coast Water District,Doheny Ocean Desalination,F,No,"20,500","5,619",Not  Disadvantaged,"$102,056,000 "
0910002-031C,9,Construction,South Tahoe Public Utility District,Tahoe/Glenwood Waterline Upgrades,F,No,"60,000","13,635",Pending,"$7,567,939 "
0910002-030C,9,Construction,South Tahoe Public Utility District,Waterline Upgrades and Improvement  Project,F,No,"60,000","13,635",Pending,"$16,222,000 "
3610004-002C,13,Construction,West Valley Water District,Oliver P. Roemer Water Filtration Facility  Expansion Project (RWFF Project),F,No,"63,693","18,198",Pending,"$55,000,000 "
0110010-003C,4,Construction,Zone 7 Water Agency,Chain of Lakes PFAS Treatment Facility,E,No,"195,000",39,Not  Disadvantaged,"$25,000,000 "
,,,,"Projects =  49  Subtotal =   $1,975,498,868",,,,,,
"Construction Projects eligible for grant/PF under Appendices D and E, and Consolidation Projects3 - Sort Order: Consolidation Project, Applicant, Project Number",,,,,,,,,,
5401003-001C,24,Construction,East Orosi Community Services  District,New Well and Consolidation,A,Yes,700,106,SDAC,TBD
3010053-001C,8,Construction,"Huntington Beach, City of",Old Pirate Lane Consolidation Project,A,Yes,13,24,non-DAC,"$260,000 "
5400805-005C,24,Construction,Soults Mutual Water Company,Water System Improvement Project,A,Yes,120,36,DAC,"$2,732,036 "
4200842-001C,6,Construction,"St. Marie Mobile Home Park, LLC",City of Santa Maria Water Service  Connection,A,Yes,250,78,SDAC,"$100,000 "
5700788-003C4,9,Construction,"Yolo, County of",North Davis Meadows Water Consolidation  Project,A,Yes,110,95,non-DAC,"$8,250,000 "
0410006-001C,21,Construction,"Butte, County of",Palermo Drinking Water Consolidation  Project,C,Yes,"22,348","6,772",Pending,"$11,715,000 "
3310001-014C4,20,Construction,Coachella Valley Water District,Saint Anthony Mobile Home Park Water  Consolidation Project,C,Yes,"244,472","97,789",SDAC,"$23,439,658 "
3310001-015C4,20,Construction,Coachella Valley Water District,Valley View Mobile Home Park  Consolidation Project,C,Yes,"244,472","97,789",SDAC,"$8,100,000 "
3310007-003C4,20,Construction,"Coachella, City of",Shady Lane MHP Water Consolidation  Project,C,Yes,"38,406","7,460",SDAC,"$1,643,006 "
0810001-004C,1,Construction,"Crescent City, City of",West Park Properties Mobile Home Park  Consolidation,C,Yes,"14,000","3,416",SDAC,"$523,746 "
0810001-005C,1,Construction,"Crescent City, City of",Butte Court Mobile Home Park  Consolidation,C,Yes,"14,000","3,416",SDAC,"$349,662 "
1510006-001C,12,Construction,East Niles Community Services  District,North Weedpatch Hwy Water System  Consolidation Project,C,Yes,"25,500","7,406",SDAC,"$21,671,724 "
1000299-001C4,23,Construction,"Fresno, City of",Three Palms MHP Water Connection  Project,C,Yes,202,101,SDAC,"$344,696 "
5010008-012C,10,Construction,"Hughson, City of",Cobles Corner/County Villa Consolidation  with City of Hughson,C,Yes,"6,082","1,779",non-DAC,"$4,116,274 "
3600155-001C4,13,Construction,"JHC River Ranch Inc, LLC",River Ranch Mobile Park VWD  consolidation,C,Yes,300,136,SDAC,"$1,859,950 "
3700923-003C,14,Construction,"Lake Morena's Oak Shores Mutual  Water Company, Inc.",Lake Morena Views Consolidation,C,Yes,710,191,DAC,"$13,810,100 "
1510012-009C4,12,Construction,Lamont Public Utility District,El Adobe Property Owners Association and  Lamont PUD Consolidation Project (Part 2),C,Yes,"13,296","3,475",SDAC,"$25,378,596 "
1510051-001C4,19,Construction,Lebec County Water District,Frazier Mountain High School/Lebec  County Water District Water System  Improvement Project,C,Yes,830,290,SDAC,"$8,978,720 "
3610003-001C,13,Construction,Liberty Utilities (Apple Valley Ranchos  Water) Co.,Rehabilitation of the Yermo Water System,C,Yes,"52,879","18,744",SDAC,"$5,000,000 "
1502164-001C,19,Construction,Llanas Camp Four Water System,Llanas Camp Four Water System  Consolidation,C,Yes,65,53,Pending,"$4,000,000 "
1910070-002C4,16,Construction,"Los Angeles County Waterworks  District No. 40, Antelope Valley",Desert Palms Mobile Home Park Intertie  Project,C,Yes,"144,215","46,878",SDAC,"$1,749,995 "
2010004-002C4,11,Construction,"Madera, County of (MD19 -  Parkwood)",New Well and Pipeline Project,C,Yes,"1,240",634,SDAC,"$3,347,208 "
2000561-002C,11,Construction,"Madera, County of (MD8 - North Fork)",MD-8A North Fork Water System  Improvements Project,C,Yes,264,80,SDAC,"$15,248,000 "
5010010-005C,10,Construction,"Modesto, City of",Riverdale Park Tract CSD Consolidation,C,Yes,"212,000","68,497",Pending,"$2,774,400 "
5610007-001C,6,Construction,"Oxnard, City of",Laguna Vista Elementary School  Consolidation Project,C,Yes,"192,000","37,964",Pending,TBD
3110005-009C4,2,Construction,Placer County Water Agency,Auburn Mobile Home Village Consolidation,C,Yes,"27,199","8,242",SDAC,"$424,836 "
3110005-010C,2,Construction,Placer County Water Agency,Shady Glen Consolidation Construction  Project,C,Yes,336,120,Pending,"$7,200,000 "
5410039-003C4,12,Construction,Plainview Mutual Water Company,Plainview Nitrate Relief Project,C,Yes,800,187,SDAC,"$2,593,020 "
1500458-002C,19,Construction,R.S. Mutual Water Company,R.S. Mutual Water Company consolidation  project,C,Yes,67,23,SDAC,"$538,000 "
3310028-001C,20,Construction,"Riverside, County of (CSA 122- Mesa  Verde)","Consolidation – Expanded Feasibility  Study, Rate Study and Construction  Application",C,Yes,"1,240",389,Pending,"$7,865,213 "
4910009-001C,18,Construction,"Santa Rosa, City of",City of Santa Rosa Mobile Home Park  Consolidation Project,C,Yes,"157,985","54,603",non-DAC,"$5,588,000 "
1000187-001C,23,Construction,Selma Unified School District,Indianola Elementary School Water System  Consolidation,C,Yes,500,1,Pending,"$1,869,612 "
3610109-001C,13,Construction,Sheep Creek Water Company,Sheep Creek Consolidation Project,C,Yes,"3,019","1,108",DAC,"$12,300,000 "
2000506-001C,11,Construction,"Sierra Linda Mutual Water Company,  Inc.","Consolidation, Metering, and Water  Treatment",C,Yes,180,89,SDAC,"$1,133,900 "
3910012-001C4,10,Construction,"Stockton, City of",Century Mobile Home Park and Silvia  Avalos Water System Consolidation Project,C,Yes,"158,113","46,119",DAC,"$1,223,750 "
5400903-001C,24,Construction,Tract 92 Community Services District,Tract 92 CSD – CWS Visalia Water System  Consolidation Project,C,Yes,500,91,Pending,"$6,076,600 "
5400550-002C4,24,Construction,"Tulare, County of",Yettem and Seville Water System  Improvement Project - Phase 2,C,Yes,400,77,SDAC,"$11,520,975 "
1500578-003C,19,Construction,Weldon Regional Water District,Weldon Regional Water Project,C,Yes,929,436,SDAC,"$20,000,000 "
0610002-002C4,21,Construction,"Colusa, City of",Water Consolidation - Walnut Ranch  Community Facilities Improvement,D,Yes,"5,625","2,126",SDAC,"$2,000,000 "
3310017-002C,20,Construction,South Mesa Water Company,Hillcrest Mobile Estates Consolidation,D,Yes,"9,018","2,934",Pending,"$442,000 "
5510013-010C4,11,Construction,Tuolumne Utilities District,Cuesta Heights Water Storage,D,Yes,"3,646","1,545",DAC,"$2,633,879 "
5010026-001C4,10,Construction,"Waterford, City of",Hickman Water System Improvements  Construction Project,D,Yes,565,181,DAC,"$3,543,673 "
3610009-002C4,13,Construction,Bighorn-Desert View Water Agency,Potable Water System Improvements  Consolidation of Water Systems,E,Yes,"5,000","1,903",SDAC,"$11,000,000 "
4900694-001C,18,Construction,Wright Elementary School District,Wright Elementary and City of Santa Rosa  Water System Consolidation,E,Yes,441,11,Pending,TBD
4510001-002C4,2,Construction,"Anderson, City of",Anderson Park Village Consolidation,F,Yes,"10,050","3,077",SDAC,"$1,238,400 "
1510017-002C,19,Construction,Indian Wells Valley Water District,Dune 3 Water Company Consolidation  Project,F,Yes,"30,000","11,643",DAC,"$2,500,000 "
3310017-001C,20,Construction,South Mesa Water Company,County Line Pipeline Replacement Project,F,Yes,"9,018","2,934",non-DAC,"$2,700,000 "
5510012-002C,11,Construction,Tuolumne Utilities District,Ponderosa Hills Water System  Consolidation Project,F,Yes,"3,446","1,460",Pending,"$1,950,000 "
5510012-003C,11,Construction,Tuolumne Utilities District,Ridgewood Pipeline Consolidation Project,F,Yes,"3,446","1,460",Pending,"$2,625,735 "
3600012-002C,13,Construction,Apple Valley View Mutual Water  Company,Apple Valley View MWC,A,No,200,81,SDAC,"$600,000 "
5100138-001C4,21,Construction,Browns Elementary School District,Browns School Well Rehabilitation Project,A,No,160,1,Pending,"$1,345,000 "
3610117-001C,13,Construction,Devore WC,Nitrate Reduction / Blending Project,A,No,"1,500",459,Pending,"$2,300,000 "
2900502-002C,21,Construction,"Floriston Property Owners  Association, Inc.",Spring Filtration Project,A,No,100,40,DAC,"$2,750,000 "
5410019-002C,24,Construction,Ivanhoe Public Utility Disrict,Ivanhoe PUD,A,No,"4,474","1,113",Pending,"$2,628,270 "
5400616-001C,24,Construction,Lemon Cove Sanitary District,New Well and Storage Tank Installation  Project,A,No,200,50,Pending,"$6,142,021 "
2702317-001C,5,Construction,Mission Union Elementary School  District,Long Term Solution for Nitrate  Contamination,A,No,100,1,Pending,TBD
3700118-001C,14,Construction,Mountain Empire Unified School  District,Camp Lockett Middle School Water System  Improvement Project,A,No,25,3,SDAC,TBD
2700771-001C,5,Construction,Pajaro/Sunny Mesa Community  Services District,Springfield MWC - Nitrate,A,No,200,42,Pending,"$8,589,000 "
0400060-001C,21,Construction,Palermo Union School District,Honcut School Well Project,A,No,40,2,Pending,"$776,200 "
4100513-001C,17,Construction,"San Mateo, County of",Pescadero High School,A,No,400,1,SDAC,"$1,130,523 "
3400172-001C,9,Construction,Tokay Park Water Company,New Production Well and Interconnection  Project,A,No,525,190,DAC,"$462,000 "
4900568-001C,18,Construction,Valley Ford Water Association,VFWA New Well,A,No,40,16,SDAC,"$1,500,000 "
1210024-004C,1,Construction,Westhaven Community Services  District,Disinfection Byproduct Reduction Project,A,No,490,213,DAC,"$9,000,000 "
5410025-001C4,12,Construction,Woodville Public Utility District,Replacement Well Project,A,No,"1,678",478,Pending,"$2,591,000 "
4600012-008C,2,Construction,Alleghany County Water District,Ram Spring Improvement Project,B,No,80,55,SDAC,"$720,000 "
4700503-004C4,1,Construction,Callahan Water District,Water System Improvement Project,B,No,70,29,SDAC,"$2,100,000 "
2100582-001C4,18,Construction,Nicasio School District,Nicasio School District Water System  Upgrade,B,No,70,5,SDAC,"$225,000 "
5410038-004C,12,Construction,Terra Bella Irrigation District,Disinfection Byproducts Compliance Project,B,No,"2,340",718,SDAC,"$1,186,200 "
1200553-001C4,1,Construction,Weott Community Services District,Water Tank Replacement and Water  Treatment Improvement Project,B,No,364,150,Pending,"$3,974,226 "
1510001-005C,12,Construction,Arvin Community Services District,123 TCP Treatment for Well No.8 and Well  No. 13,C,No,"11,847","3,446",SDAC,"$3,115,350 "
1000004-001C,23,Construction,Belmont Water Corporation,"Belmont Water Corporation 1,2,3-TCP  Mitigation - Construction",C,No,86,46,non-DAC,"$1,442,700 "
4100529-002P,17,Construction,Camp Loma Mar,Camp Loma Mar Drinking Water State  Revolving Fund Construction Financing  Application,C,No,350,31,Pending,$0 
1800512-001C,2,Construction,Clear Creek Community Services  District,Drinking Water System Improvements,C,No,400,156,SDAC,"$4,996,800 "
2000611-001C,11,Construction,Coarsegold Elementary School,Coarsegold Arsenic Removal,C,No,600,6,SDAC,"$1,600,000 "
4510007-001P,2,Construction,Cottonwood County Water District,Water System Improvement Project,C,No,"2,700","1,065",Pending,"$500,000 "
1010035-006C4,23,Construction,Del Rey Community Services District,"TCP Wellhead Treatment Project at Wells  4, 5, and 7",C,No,"1,100",362,SDAC,"$9,042,297 "
1000546-006C,23,Construction,"Fresno, County of (Service Area 49)",CSA 49 Water System Improvements,C,No,450,31,SDAC,"$50,000 "
5602108-002C,6,Construction,Garden Acres Mutual Water Co,Sustainable Water Assurance for the Next  Generation (SWAN),C,No,795,110,Pending,"$5,235,119 "
5100107-009C,21,Construction,Golden State Water Company -  Robbins System,Robbins System - New Well and Arsenic  Removal Treatment (Sutter Co. WWD#1),C,No,336,94,DAC,"$3,826,475 "
3600222-001C,13,Construction,Juniper Riviera County Water District,Improvement Project,C,No,332,168,DAC,"$3,000,000 "
5010009-005C4,10,Construction,Keyes Community Services District,"Construction of TCP Treatment  Improvements at Well #7, #8, #9, and #10",C,No,"4,575","1,450",SDAC,"$10,410,000 "
5800805-001P,21,Construction,Lake Francis Mutual Water Company,Lake Francis MWC DWSRF Planning  Application,C,No,60,26,DAC,"$300,000 "
3700919-001C,14,Construction,Lake Wohlford Resort,Lake Wohlford Resort,C,No,235,137,Pending,"$2,000,000 "
1900038-001C,16,Construction,Lancaster Park Mobile Home Park,Lancaster Park Mobile Home Project,C,No,53,21,SDAC,"$1,000,000 "
2410004-004C4,11,Construction,"Livingston, City of","Livingston 1,2,3-TCP Removal Treatment  System Project",C,No,"14,228","3,550",DAC,"$12,000,000 "
3400138-001C4,9,Construction,Locke Water Works Company,Locke Water System Intertie w/ SCWA,C,No,65,55,SDAC,"$1,000,000 "
1210023-003C,1,Construction,Loleta Community Services District,Loleta Water Storage Tank Replacement,C,No,750,236,SDAC,"$1,500,000 "
0910007-001C,9,Construction,Lukins Brothers Water Company,Phase 2 Waterline Project - James Avenue,C,No,"3,168",968,DAC,"$3,309,419 "
0910007-003C,9,Construction,Lukins Brothers Water Company,Two Well Replacements,C,No,"3,168",968,DAC,"$1,500,000 "
2000729-001C,11,Construction,Madera County of (CSA #16 - Sumner  Hill),Sumner Hill Water System Improvement  Project,C,No,135,41,non-DAC,"$4,849,650 "
2000544-003C,11,Construction,"Madera, County of",MD-1 Hidden Lakes Surface Water  Treatment Plant,C,No,150,53,non-DAC,"$1,000,000 "
2010008-006C4,11,Construction,"Madera, County of (MD10A - Madera  Ranchos)",Dublin Plant - Storage Tank and Booster  Pump Station,C,No,"2,255",922,non-DAC,"$3,381,457 "
2010008-007C,11,Construction,"Madera, County of (MD10A - Madera  Ranchos)",Meter and Pipeline Replacement Project,C,No,"2,255",922,non-DAC,"$36,482,438 "
2210907-001C,11,Construction,Mariposa County Unified School  District,Sierra Foothill Charter School Safe Drinking  Water Project,C,No,93,1,Pending,TBD
0202504-002C4,9,Construction,Markleeville Water Company,Markleeville Water Company System  Improvement Project,C,No,25,167,DAC,"$5,875,000 "
2300584-001C4,3,Construction,Mendocino Unified School District,MUSD Water Supply and Storage Project,C,No,750,15,SDAC,"$4,600,000 "
1900785-001C,16,Construction,Mitchell's Avenue E Mobile Home  Park,Mitchell's Avenue E. Park - Arsenic  Treatment Facility & Well Drilling,C,No,35,24,SDAC,"$1,110,000 "
0410007-003C,21,Construction,Paradise Irrigation District,Paradise Irrigation District Water System  Recovery and Reservoir B Replacement  Project,C,No,"26,299","10,063",DAC,"$23,367,540 "
1010025-001C4,11,Construction,"Parlier, City of","1,2,3-TCP Removal Treatment Systems",C,No,"15,312","2,429",SDAC,"$14,233,850 "
1200541-003C,1,Construction,Phillipsville Community Services  District,"Water Quality, Supply, and Distribution  Improvements Project",C,No,300,65,Pending,"$3,850,964 "
3301380-001C,20,Construction,Pueblo Unido Community  Development Corporation,St. Anthony On-Site Water Distribution  System,C,No,250,60,SDAC,"$1,101,203 "
4100522-001P,17,Construction,Redwood Glen,Redwood Glenn Supply Adequacy  Improvements,C,No,25,10,non-DAC,"$504,300 "
3600114-003C,13,Construction,"San Bernardino, County of",CSA 70 W3 Hacienda Uranium Treatment  Facilities,C,No,695,139,DAC,"$56,000 "
3600226-001C,13,Construction,"San Bernardino, County of",CSA 70 F Morongo Uranium Treatment  Facilities,C,No,450,90,DAC,"$455,000 "
1010034-005C4,23,Construction,"San Joaquin, City of",San Joaquin Phase 2 Water System  Improvement Project,C,No,"4,020",735,SDAC,"$7,930,000 "
3910014-001C,10,Construction,"San Joaquin, County of",Raymus Village TCP Mitigation Project,C,No,"1,086",329,non-DAC,"$1,900,000 "
1910017-002C,22,Construction,Santa Clarita Valley Water Agency,Santa Clarita Valley Water Agency  Groundwater Contamination Treatment,C,No,"111,000","28,014",non-DAC,"$24,000,000 "
4600019-001C4,2,Construction,Sierra County (Calpine) Waterworks  District No. 1,New Well and Treatment Facilities,C,No,225,142,non-DAC,"$2,600,000 "
4900510-001C,18,Construction,South Cloverdale Water Corporation,Proposition 1 Technical Assistance (TA)  Work Plan,C,No,90,37,SDAC,"$117,808 "
1700536-004C4,3,Construction,Sunrise Shore Mutual Water  Company,Compliance and Sustainability Project,C,No,83,42,DAC,"$1,789,000 "
5410014-002C,12,Construction,Tipton Community Services District,North Burnett Road Water System Project,C,No,"1,998",608,SDAC,"$4,150,000 "
1010030-007C,23,Construction,Tranquillity Irrigation District,TID Rural Water System Improvement  Project,C,No,897,348,SDAC,"$4,700,000 "
5610003-001C,6,Construction,Ventura County Waterworks District  No. 17,Bell Canyon Reservoir #3,C,No,"2,154",711,Pending,"$10,400,000 "
1510021-004C,12,Construction,"Wasco, City of",Water System Improvement & Treatment  Project,C,No,"19,448","3,936",Pending,"$15,975,965 "
1503475-001C,19,Construction,Western Acres Mutual Water  Company,TCP Treatment Design Project,C,No,310,90,Pending,TBD
3301529-001C,20,Construction,Western Water Conservation,ANZA-RAMONA WATER SYSTEM  IMPROVEMENT PROJECT,C,No,250,106,SDAC,"$5,780,000 "
1310008-003C,14,Construction,"Westmorland, City of",Westmorland Water Treatment Plant  Improvements,C,No,"2,444",601,SDAC,"$5,000,000 "
4710011-003C4,1,Construction,"Yreka, City of",Water Supply and Storage Improvements,C,No,"7,290","2,876",SDAC,"$4,939,000 "
3610002-001C4,13,Construction,Alpine Water Users Association,Alpine Water Users Association Meter  Replacement Project,D,No,"3,000",965,DAC,"$498,288 "
2000597-001C,11,Construction,Alview-Dairyland Union School  District,Dairyland Elementary School New Well and  Alview Elementary School Back-Up Source,D,No,250,1,SDAC,"$930,000 "
1610002-003C,12,Construction,"Avenal, City of",Water Meter Replacement Project,D,No,"16,737","1,936",SDAC,"$1,652,850 "
0610002-001C,21,Construction,"Colusa, City of",City of Colusa Well Consolidation Project,D,No,"5,625","2,126",SDAC,"$3,495,624 "
4400571-005C,5,Construction,Davenport County Sanitation District,Old Coast Water Line Extension,D,No,350,130,SDAC,"$240,066 "
4500008-001C,2,Construction,Lakeshore Villa Mutual Water  Company,Meter Installation,D,No,134,48,SDAC,"$32,600 "
4300721-001C,17,Construction,Loma Prieta Joint Union School  District,Loma Prieta Joint Unified School District  Drinking Water Supply,D,No,462,6,SDAC,"$264,988 "
0910007-004C,9,Construction,Lukins Brothers Water Company,Lukins Brothers Water Company Inc. Meter  Project,D,No,"3,168",968,DAC,"$3,974,600 "
2010008-002C,11,Construction,"Madera, County of",MD #10A- Consolidation Incentive  Construction Project,D,No,"2,255",922,non-DAC,"$15,508,940 "
2000728-001C4,11,Construction,"Madera, County of (MD37 - La Vina)",MD37 La Vina - Water Meter Installation  Project,D,No,350,99,SDAC,"$365,554 "
5810006-002C,21,Construction,North Yuba Water District,North Yuba Meter Replacement Project,D,No,"5,303",695,DAC,"$3,361,000 "
5400519-001C,24,Construction,Palo Verde Union Elementary School  District,Palo Verde Elementary School Well Project,D,No,500,26,SDAC,"$645,000 "
0310005-002C4,10,Construction,Pine Grove Community Services  District,Meter Replacement Project,D,No,900,361,DAC,"$2,725,000 "
2410018-003C4,11,Construction,Santa Nella County Water District,Residential Water Meter Improvement  Project,D,No,"1,500",454,DAC,"$319,153 "
1800575-001C,2,Construction,Shaffer Union Elementary School  District,Shaffer Elementary School Source  Capacity Project,D,No,320,1,SDAC,"$554,996 "
1010030-008C,23,Construction,Tranquillity Irrigation District,TID Ag Well 19B Treatment,D,No,897,348,SDAC,"$4,237,000 "
4710009-002C,1,Construction,"Weed, City of",City of Weed Bypass Water Supply Pipeline  Project,D,No,"2,963","1,042",SDAC,"$6,906,000 "
4510003-003C,2,Construction,Burney Water District,Burney Water District Water System  Improvement Project,E,No,"3,000","1,377",SDAC,"$5,135,000 "
1010005-003C,23,Construction,"Firebaugh, City of",HUD Water Storage Tank,E,No,"6,500","1,347",SDAC,"$4,851,300 "
1010034-004C4,23,Construction,"San Joaquin, City of",Well #3 and Well #5 Manganese Removal  System,E,No,"4,020",735,SDAC,"$8,235,000 "
5510016-001C,11,Construction,"Sierra Park Water Company, Inc.",Sierra Park Water Company Water System  Improvements,E,No,300,363,non-DAC,"$1,250,000 "
