Rating,Applicant,SRF ID,Project,Project Cost,IUP Cost 2022
427,HAVERHILL (PF)(H),7144,Phase 3B - Transmission Main Improvements,"$5,810,000 ","$5,810,000 "
427,MASSACHUSETTS WATER  RESOURCES AUTHORITY,7218,"Section 23, 24, 47 Water Mains Rehab","$14,700,000 ","$6,000,000 "
425,ANDOVER (H),6978,Phase 1 Water Transmission Main Improvements,"$9,229,440 ","$9,229,440 "
425*,BELCHERTOWN (PF)(H),7183,Pine Valley Plantation Water System Replacement,"$4,543,000 ","$4,543,000 "
423,WINTHROP (PF),7102,Revere Street PRV Station Improvements,"$1,633,750 ","$1,633,750 "
423,LAWRENCE (PF)(H),7209,Tower Hill Transmission Main Redundancy,"$1,628,000 ","$1,628,000 "
421*,EAST BROOKFIELD (PF),6965,Water Storage Improvements,"$9,545,000 ","$9,545,000 "
413*,ESSEX,7178,Town of Essex's Water Treatment Plant Upgrade,"$2,640,800 ","$2,640,800 "
321,TEWKSBURY (PF)(H)(L)(LR),7043,Tewksbury AC Water Main Replacement Project,"$6,468,000 ","$6,468,000 "
237,FALL RIVER (PF)(H)(L)(LR),6989,Water Main Improvements - Phase 22,"$4,715,250 ","$4,715,250 "
205,WINTHROP (PF)(L)(LR),7062,"Revere,Crest,& Grovers Ave. St. Dist. Improvements","$2,912,000 ","$2,912,000 "
MassDEP PRIORITY PROJECTS,,,,,
,EMERGENCY SRF SET-A- SIDE,2978,,"$5,000,000 ","$5,000,000 "
MULTI-YEAR CARRYOVER AND STATUTORY PROJECTS,,,,,
,BRAINTREE #(RE)(PF)(EC),7258,Tri-Town Regional Water Treatment Plant,"$25,000,000 ","$10,000,000 "
,HOLBROOK #(RE)(PF)(EC),7259,Tri-Town Regional Water Treatment Plant,"$25,000,000 ","$6,800,000 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,4119,SEH Redundancy and Storage,"$49,297,289 ","$2,000,000 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,4564,Weston Aqueduct Supply Main Rehabilitation,"$19,382,850 ","$6,000,000 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,6691,Northern Intermediate High Section 89 Replacement,"$32,619,000 ","$1,000,000 "
,RANDOLPH #(RE)(PF)(EC),7260,Tri-Town Regional Water Treatment Plant,"$25,000,000 ","$3,200,000 "
PLANNING PROJECTS,,,,,
,BILLERICA (H),6938,Raw Water Intake/Transmission Main Study,"$500,000 ","$500,000 "
,BILLERICA (H),6947,Treble Cove Booster Pump Station Study,"$100,000 ","$100,000 "
,BLANDFORD,7076,Water System Capital Improvement Plan,"$44,500 ","$44,500 "
,BLANDFORD,7204,Water Main Replacement & Storage Evaluation,"$75,000 ","$75,000 "
,BROCKTON (H)(L)(LR),7187,Lead Service Line Replacement Program - Phase I,"$600,000 ","$600,000 "
,LEICESTER,7008,Moose Hill Reservoir—DEP New Source Approval,"$636,000 ","$636,000 "
,LEICESTER WATER SUPPLY  DISTRICT,7115,Groundwater Source Investigations,"$200,000 ","$200,000 "
,MILLIS (L)(LR),7082,Millis Lead Service Inventory & Replacement Plan,"$139,000 ","$139,000 "
,NEW BEDFORD,7240,Phase 5 - Transmission Main Inspection Program,"$7,050,000 ","$7,050,000 "
,NEW BEDFORD (L)(LR),7181,Lime to Caustic Evaluation,"$200,000 ","$200,000 "
,ROCKPORT (L)(LR),7159,Lead Services Inventory & Replacement Plan,"$176,600 ","$176,600 "
,WAYLAND (L)(LR),7174,Lead Service Line Inventory and Replacement Plan,"$139,200 ","$139,200 "
ASSET MANAGEMENT PLANNING PROJECTS,,,,,
98,TEMPLETON,7071,Templeton Municipal Light & Water Plant AMP,"$120,000 ","$72,000 "
92,TAUNTON (H),7222,Taunton Water Asset Management Plan,"$194,264 ","$116,558 "
90,FALL RIVER (H),7170,Water System Geodatabase and Mapping,"$250,000 ","$150,000 "
90*,LINCOLN (H),7073,Lincoln Water Asset Management Plan,"$111,250 ","$66,750 "
76,CHELMSFORD WATER  DISTRICT,7010,Horizontal Asset Management Program,"$412,575 ","$150,000 "
73,ABINGTON-ROCKLAND JOINT  WATER WORKS,7131,ARJWW Asset Management,"$93,750 ","$56,250 "
70*,AVON,7057,Avon Cybersecurity and Continuity Asset Management,"$249,277 ","$149,482 "
