Project Number,Pts*,Facility,County,PWS ID#,Pop,Estimated Project Cost,Approved Loan Amount,DAC*,Term (Yrs),Loan Type,Interest Rate,Project Description,Estimated Project Cost
140401D-M,65,"Center, Town of",Saguache,CO0155500,"2,300","$2,179,780 ","$1,144,280 ",Y,20,DL,0.50%,,
170271D-Q,65,Mt. Crested Butte Water and Sanitation District,Gunnison,CO0126190 CO0126505,"3,500","$23,175,000 ","$22,474,748 ",N,20.5,LL,1.29%,New Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan,
220400D-B,65,Teller County Water and Sanitation District No. 1,Teller,CO0160600,650,"$700,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Water Supply Facilities Construction or Rehabilitation of Distribution and/or  Transmission Lines,
190101D-I,60,Alameda Water and Sanitation District,Jefferson,CO0130116,"1,650","$4,100,000 ","$3,000,000 ",N,30,DL,2.50%,,
140840D,60,"Erie, Town of",Boulder; Weld,CO0162255,"28,500","$274,407,500 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Green Infrastructure,
141640D,60,"Longmont, City of",Boulder,CO0107485,"99,570","$197,832,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters,
170341D-Q,60,"Starkville, Town of",Las Animas,CO0136724,69,"$1,137,000 ","$192,300 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection Plan; Green  Infrastructure,
170341D-Q,60,"Starkville, Town of",Las Animas,CO0136724,69,"$1,137,000 ","$206,820 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection Plan; Green  Infrastructure,
170341D-Q,60,"Starkville, Town of",Las Animas,CO0136724,69,"$1,137,000 ","$137,880 ",Y,30,DL,0.50%,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection Plan; Green  Infrastructure,
210121D-A,50,"Gunnison, City of",Gunnison,CO0126325,"7,620","$33,375,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan; Green Infrastructure Improvement/Expansion of Water Treatment Facilities;,
141841D-Q,50,Mountain Water and Sanitation District,Jefferson,CO0130100,900,"$13,319,828 ",,,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Source Water Protection Plan; Green  Infrastructure,
1402422D-I,50,"Salida, City of ",Chaffee,CO0108700,"5,919","$4,417,278 ","$241,450 ",Y,NA,DL/PF,NA,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan,
1402422D-I,50,"Salida, City of ",Chaffee,CO0108700,"5,919","$4,417,278 ","$4,184,000 ",Y,20,DL,1.50%,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan,
200121D-I,45,Denver Water,Denver,CO0116001,"1,287,000","$673,542,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines,
140144D-Q,45,La Plata West Water Authority,La Plata,CO0134466,850,"$7,589,571 ",,N,,,,New Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan; Green Infrastructure Improvement/Expansion of Water Treatment Facilities;,
141711D-I,45,"Manitou Springs, City of",El Paso,COO121450,"5,459","$827,000 ","$827,000 ",N,20,DL,2.50%,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
140322D-Q,15,"Buena Vista, Town of",Chaffee,CO0108300,"3,721","$4,926,285 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Source Water  Protection Plan,
200011D-T,40,Agate Water Association,Elbert,CO0120001,150,"$387,500 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
190201D-Q,40,Glenview Owners Association,Jefferson,CO0108313,80,"$350,000 ","$550,000 ",N,20,DL,2.50%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
142031D-Q,40,"Ouray, City of",Ouray,CO0146588,"1,100","$10,124,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
142051D-A,40,Pagosa Area Water and Sanitation District,Archuleta,CO0104300,"19,783","$44,105,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Green Infrastructure,
160471D-S,40,Thunderbird Water and Sanitation District,Douglas,CO0118078,490,"$800,000 ",,N,,,,New Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
141261D-B,35,Highland Lakes Water District,Teller,CO0160200,875,"$715,815 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan,
141451D-B,35,"La Veta, Town of",Huerfano,CO0109011,811,"$3,600,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water StorageFacilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
160071D-I,30,Beulah Water Works District,Pueblo,CO0151100,400,"$18,750,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities;  Water Supply Facilities; Water Meters,
170080D,30,Crowley County - Crowley County Water System,Crowley,CO0113200,"2,000","$770,000 ",,N,,,,,
140831D-Q,30,"Empire, Town of",Clear Creek,CO0110010,450,"$2,083,000 ","$824,000 ",Y,30,DL,0.50%,Construction or Rehabilitation of Distribution and/or  Transmission Lines Improvement/Expansion of Water Treatment Facilities;,
140831D-Q,30,"Empire, Town of",Clear Creek,CO0110010,450,"$2,083,000 ","$1,000,000 ",Y,NA,DL/PF,NA,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Rights,
160210D-Q,30,"Granada, Town of",Prowers,CO0150300,445,"$813,500 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
141980D,30,"Olathe, Town of",Montrose,CO0143582,"1,850","$3,501,000 ",,Y,,,,Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities;  Water Supply Facilities; Water Meters; Water Rights;  Green Infrastructure,
961151D-Q,30,"Walden, Town of",Jackson,CO0129834,584,"$1,163,250 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
142361D-Q,25,Round Mountain Water and Sanitation District,Custer,CO0114500,"1,200","$2,289,250 ","$129,250 ",Y,NA,DL/PF ,NA,,
142361D-Q,25,Round Mountain Water and Sanitation District,Custer,CO0114500,"1,200","$2,289,250 ","$1,300,000 ",Y,20,DL,1.50%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
210321D-Q,25,"Silt, Town of",Garfield,CO0123710,"3,300","$34,800,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,
140261D-O,20,"Boulder, City of",Boulder,CO0107152,"115,000","$13,877,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights; Green Infrastructure,
140622D-F,20,Cucharas Sanitation and Water District,Huerfano,CO0128100,"1,200","$1,000,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water,
141190D,20,Greatrock North Water and Sanitation District,Adams,CO0101063,"1,125","$2,200,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Water Supply Facilities;  Water Storage Facilities,
140871D-Q,15,Evergreen Metropolitan District,Jefferson,CO0130030,"14,828","$3,237,783 ","$3,000,000 ",N,30,DL,2.25%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water  Storage Facilities; Source Water Protection Plan,
140881D-Q,15,"Fairplay, Town of",Park,CO0147020,734,"$570,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
220171D-G,15,Fox Fire Subdistrict of the La Plata Archuleta Water  District,La Plata,CO0134191,40,"$850,000 ",,,,,,Connection to a New or Existing Water Treatment  Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Meters,
141281D-B,15,"Hot Sulphur Springs, Town of",,CO0125352,713,"800,000","$200,000 ",Y,30 NA,DL PF,0.50% NA,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights; Source  Water Protection Plan,
220010D,10,Agate Creek Preserve Homeowners Association,Routt,CO0154108,23,"$861,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
220020D,10,Alpine Mountain Ranch Metropolitan District,Routt,CO0154117,25,"$1,400,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities Construction or Rehabilitation of Distribution and/or  Transmission Lines,
230030D,10,Animas View MHP Co-Op,La Plata,Unknown,217,"$1,139,690 ",,,,,,,
190121D-Q,10,Bailey Water and Sanitation District,Park,CO0147010,300,"$1,050,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,
130570D,10,"Boone, Town of",Pueblo,CO0151150,233,"$1,940,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage,
140421D-I,10,"Cheraw, Town of",Otero,CO0145090,252,"$1,413,500 ","$202,700 ",Y,30,DL,0.50%,,
140421D-I,10,"Cheraw, Town of",Otero,CO0145090,252,"$1,413,500 ","$810,800 ",Y,NA,DL/PF,NA,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water  Storage Facilities,
160121D-Q,10,Colorado City Metropolitan District,Pueblo,CO0151200,"2,500","$4,000,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
140530D,10,"Crawford, Town of",Delta,CO0115188,486,"$3,420,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Meters; Source Water Protection Plan,
140560D,10,"Crested Butte, Town of",Gunnison,CO0126188,"1,617","$26,250,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities,
140580D,10,"Cripple Creek, City of",Teller,CO0160100,"1,250","$9,475,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Source Water Protection Plan; Green  Infrastructure,
140590D,10,"Crook, Town of",Logan,CO0138005,182,"$2,250,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan,
170091D-Q,10,"De Beque, Town of",Mesa,CO0139205,506,"$2,029,400 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters,
150040D,10,"Del Norte, Town of",Rio Grande,CO0153200,"1,601","$22,475,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
140660D,10,Dillon Valley Metropolitan District,Summit,CO0159040,"3,000","$10,000,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
210070D,10,"Dolores, Town of",Montezuma,CO0142400,950,"$6,660,000 ",,,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Meters,
140730D,10,"Durango, City of",La Plata,CO0134150,"20,500","$39,000,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
140761D-A,10,"Eagle, Town of",Eagle,CO0119233,"7,500","$20,000,000 ","$16,841,882 ",N,23,LL,2.44%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Green Infrastructure,
230130D,10,East Dillon Water District,Summit,CO0159045,"3,000","$10,500,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
230160D,10,Elbert County,Elbert,Unknown,150,"$3,810,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
210090D,10,"Elizabeth, Town of",Elbert,CO0120010,"1,500","$4,000,000 ",,N,,,,New Water Treatment Facilities; Water Supply Facilities,
210380D-I,10,"Englewood, City of",Arapahoe,CO0103045,"300,000","$80,000,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
190180D,10,Eureka Water Company,Otero,CO0145150,350,"$1,270,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water StorageFacilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
230011D-U,10,Evergreen Lake Company,Gunnison,CO0126121,431,"$6,350,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Water Rights; Source Water ProtectionPlan; Green Infrastructure New Water Treatment Facilities; Improvement/Expansion,
230190D,10,"Frisco, Town of",Summit,CO0159055,"2,903","$5,250,000 ",,,,,,of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,
230230D,10,Hamilton Creek Metropolitan District,Summit,CO0159063,200,"$3,500,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
