Applicant Name,Date Pre-App or  SUPP Received,Project Description,Applied for  Project  Amount,City/Town,County,Project Approved  (Yes or No),Project Award  Date (When  Grant is signed,Funded  Portion,Principal  Forgiveness  and/or Grant,Unfunded/Mat ch Portion
Cowikee Water Authority,2/16/2022,Radio Read Meter & Water Main Replacement,"$1,590,000",Eufaula,Barbour,Yes,1/0/1900,"$1,590,000","$1,590,000",$0
"Eufaula, Water Works and Sewer Board of The  City of",2/1/2022,Water System Improvements,"$3,208,000",Eufaula,Barbour,,1/0/1900,$0,$0,$0
"Louisville, Town of",4/1/2022,Water System Improvements - Lead Service Line,"$1,221,700",Louisville,Barbour,,1/0/1900,$0,$0,$0
Mt. Andrew Water Authority,4/6/2022,Mount Andrew Water System Infrastructure Upgrade Project,"$525,000",Midway,Barbour,,1/0/1900,$0,$0,$0
Brent Utilities Board,2/1/2022,Brent - Well Water Supply Number 7,"$795,500",Brent,Bibb,,1/0/1900,$0,$0,$0
Centreville Water Works and Sewer Board,2/1/2022,Cast Iron Water Main/Lead Service Replacement,"$1,295,641",Centreville,Bibb,,1/0/1900,$0,$0,$0
Greenpond Water System,2/1/2022,Water System Improvements,"$4,045,119",Green Pond,Bibb,Yes,1/0/1900,"$4,045,119","$4,045,119",$0
"West Blocton, Town of",2/1/2022,Water System Improvements,"$3,373,990",West Blocton,Bibb,Yes,1/0/1900,"$3,373,990","$2,998,990","$375,000"
"Blountsville, The Utilities Board of the Town of",1/29/2022,BUB - Deep Water Well Improvement,"$1,100,000",Blountsville,Blount,Yes,1/0/1900,"$1,100,000","$1,100,000",$0
"Cleveland, Town of",1/24/2022,Water System Improvements,"$697,500",Cleveland,Blount,Yes,1/0/1900,"$697,500","$697,500",$0
"Nectar, Town of",1/24/2022,Water System Improvements,"$360,000",Nectar,Blount,Yes,1/0/1900,"$360,000","$360,000",$0
"Oneonta Utilities Board, City of",1/28/2022,Water Treatment Plant And Distribution System Upgrades,"$10,500,000",Oneonta,Blount,,1/0/1900,$0,$0,$0
Pine Bluff Water Authority,5/18/2022,Water Improvements,"$1,304,300",Locust Fork,Blount,,1/0/1900,$0,$0,$0
Remlap-Pine Mountian Water Authority,1/19/2022,Water System Improvements,"$725,000",Remlap,Blount,Yes,1/0/1900,"$725,000","$725,000",$0
"Midway, Town of",2/1/2022,Tank & Well Rehab Project,"$690,000",Midway,Bullock,Yes,1/0/1900,"$690,000","$690,000",$0
South Bullock Water Authority,1/26/2022,Mains and Tank Rehab,"$1,000,000",Union Springs,Bullock,Yes,1/0/1900,"$1,000,000","$1,000,000",$0
"Union Springs, Utility Board of the City of",2/1/2022,Water System Improvements,"$5,101,800",Union Springs,Bullock,,1/0/1900,$0,$0,$0
Butler County Water Authority,3/14/2022,DWSRF County Road 50 Production Well Field and Water System  Improvements,"$1,933,800",Greenville,Butler,,1/0/1900,$0,$0,$0
Butler County Water Supply District,2/1/2022,County Road 50 Production Well Field and Water System  Improvements,"$12,974,375",Greenville,Butler,,1/0/1900,$0,$0,$0
"McKenzie, Town of",1/31/2022,Water Meter Upgrades,"$409,300",McKenzie,Butler,Yes,1/0/1900,"$409,300","$409,300",$0
Anniston Water Works and Sewer Board,2/1/2022,Paul B. Krebs WTP Improvements,"$17,730,000",Anniston,Calhoun,,1/0/1900,$0,$0,$0
Calhoun County Water Authority,11/9/2022,CCWA - Choccolocco Area I,"$6,250,000",Choccolocco,Calhoun,,1/0/1900,$0,$0,$0
"Hobson City, Town of",2/23/2022,DWSRF County Road 50 Production Well Field and Water System  Improvements,"$4,473,350",Hobson City,Calhoun,,1/0/1900,$0,$0,$0
Jacksonville Water Works and Sewer Board,1/25/2022,Water System Improvements,"$1,450,000",Jacksonville,Calhoun,Yes,1/0/1900,"$1,450,000","$1,450,000",$0
"Ohatchee, Town of",1/24/2022,Water System Improvements,"$462,850",Ohatchee,Calhoun,Yes,1/0/1900,"$462,850","$462,850",$0
"Piedmont, Water Works, Gas and Sewer Board  for the City of",1/20/2022,Water System Improvements,"$540,000",Piedmont,Calhoun,Yes,1/0/1900,"$540,000","$540,000",$0
"Weaver, City of",1/31/2022,Weaver Booster Pump Station,"$671,250",Weaver,Calhoun,Yes,1/0/1900,"$671,250","$335,625","$335,625"
"Weaver, City of",12/15/2021,Weaver Tank and Pump Station,"$924,400",Weaver,Calhoun,Yes,1/0/1900,"$924,400","$462,200","$462,200"
Beulah Utilities District,3/31/2022,Water System Improvements,"$1,245,500",Valley,Chambers,Yes,1/0/1900,"$1,245,500","$622,750","$622,750"
Chattahoochee Valley Water Supply District,3/31/2022,Water System Improvements,"$12,072,900",Valley,Chambers,,1/0/1900,$0,$0,$0
"East Alabama Water, Sewer & Fire Protection  District",2/22/2022,DWSRF County Road 50 Production Well Field and Water System  Improvements,"$3,074,853",Valley,Chambers,,1/0/1900,$0,$0,$0
"Huguley Water, Sewer and Fire Protection  Authority",3/31/2022,Water System Improvements,"$1,670,300",Lanett,Chambers,,1/0/1900,$0,$0,$0
"Lafayette, City of",1/22/2022,Water System Improvements,"$745,000",Lafayette,Chambers,Yes,1/0/1900,"$745,000","$745,000",$0
"Lanett, City of",3/31/2022,Water System Improvements and Lead Service Replacement,"$20,117,300",Lanett,Chambers,,1/0/1900,$0,$0,$0
Cedar Bluff Utilities Board,3/30/2022,Water System Improvements,"$2,117,000",Cedar Bluff,Cherokee,,1/0/1900,$0,$0,$0
"Centre Water and Sewer Board, Town of",2/1/2022,Electrical Building at WTP,"$733,000",Centre,Cherokee,Yes,1/0/1900,"$733,000","$733,000",$0
"Centre Water and Sewer Board, Town of",1/31/2022,Watson and College Street,"$497,125",Centre,Cherokee,Yes,1/0/1900,"$497,125","$497,125",$0
Cherokee County Water & Sewer Authority,2/10/2022,Water System Upgrades,"$2,303,130",Centre,Cherokee,,1/0/1900,$0,$0,$0
Clanton Water Works and Sewer Board,3/2/2022,Raw Water Intake,"$1,985,000",Clanton,Chilton,,1/0/1900,$0,$0,$0
"Maplesville, The Utilities Board of the Town of",1/0/1900,Water Improvement,"$278,347",Maplesville,Chilton,Yes,1/0/1900,"$278,347","$278,347",$0
"Thorsby, City of",2/1/2022,2022 Cast Iron Water Main/Lead Service Replacement,"$4,379,574",Thorsby,Chilton,,1/0/1900,$0,$0,$0
"Butler, City of",3/31/2022,Water System Improvements,"$1,279,425",Butler,Choctaw,,1/0/1900,$0,$0,$0
"Gilbertown, The Utilities Board of the Town of",2/1/2022,Water Storage Improvements and Installation of Backup  Generators,"$2,454,120",Gilbertown,Choctaw,,1/0/1900,$0,$0,$0
North Choctaw Water & Sewer Authority,2/1/2022,Water System Improvements,"$1,790,222",Lisman,Choctaw,Yes,1/0/1900,"$1,790,222","$1,690,222","$100,000"
"Grove Hill, Utilities Board of the Town of",2/1/2022,Water System Improvements,"$1,550,000",Grove Hill,Clarke,Yes,1/0/1900,"$1,550,000","$775,000","$775,000"
Jackson Water Works and Sewer Board,2/1/2022,Water System Connection to Clarkesville,"$862,555",Jackson,Clarke,,1/0/1900,$0,$0,$0
Old Line Water Authority,3/23/2022,New Water Supply Well,"$2,442,645",Jackson,Clarke,,1/0/1900,$0,$0,$0
"Thomasville, City of",2/1/2022,Water System Improvements,"$5,819,300",Thomasville,Clarke,Yes,1/0/1900,"$5,819,300","$5,000,000","$819,300"
"CWM (Clarke, Wilcox, and Monroe) Water  Authority",3/30/2022,New Well and Treatment,"$743,505",Dickinson,"Clarke,Monroe,Wilcox",Yes,1/0/1900,"$743,505","$743,505",$0
Hollins Water Authority,3/31/2022,Water System Improvements,"$1,160,250",Hollins,Clay,,1/0/1900,$0,$0,$0
Lineville Water Board,2/2/2022,Water System Improvements,"$405,890",Lineville,Clay,Yes,1/0/1900,"$405,890","$405,890",$0
AL Department of Conservation and Natural  Resources (ADCNR),5/3/2022,"Cheaha Water System Improvements in Delta, AL (Cleburne  County) - AL Department of Conservation and Natural Resources  (ADCNR)","$4,200,000",Delta,Cleburne,,1/0/1900,$0,$0,$0
Cleburne County Water Authority,3/18/2022,Water System Upgrades,"$930,000",Helfin,Cleburne,,1/0/1900,$0,$0,$0
"Edwardsville, Town of",3/18/2022,Water System Upgrades,"$1,100,000",Edwardsville,Cleburne,,1/0/1900,$0,$0,$0
Heflin Water Works and Sewer Board,1/14/2022,Water System Improvements,"$12,000,000",Heflin,Cleburne,,1/0/1900,$0,$0,$0
Coffee County Water Authority,1/25/2022,"SRF Well, Tank, and Mains","$3,526,000",Elba,Coffee,,1/0/1900,$0,$0,$0
"Elba Water and Electric Board, City of",4/1/2022,Lead/Copper Water Main Replacement,"$2,395,725",Elba,Coffee,,1/0/1900,$0,$0,$0
"Enterprise, Water Works Board of the City of",6/27/2022,Water Main Replacement,"$6,415,910",Enterprise,Coffee,,1/0/1900,$0,$0,$0
"Kinston, Town of",3/31/2022,Water Improvements - Distribution - Lead Service Line,"$1,945,016",Kinston,Coffee,,1/0/1900,$0,$0,$0
"Kinston, Town of",3/31/2022,Water Improvements - Source & Storage,"$2,247,224",Kinston,Coffee,,1/0/1900,$0,$0,$0
"New Brockton, Town of",1/19/2022,Water Main Replacement Project,"$392,000",New Brockton,Coffee,Yes,1/0/1900,"$392,000","$392,000",$0
"Cherokee, Town of",1/31/2022,Water System Improvements,"$7,302,650",Cherokee,Colbert,,1/0/1900,$0,$0,$0
Colbert County Commission,2/1/2022,Water System Improvements,"$7,005,500",Tuscumbia,Colbert,,1/0/1900,$0,$0,$0
Hawk Pride Mountain Water System,2/1/2022,Water System Improvements,"$8,155,368",Tuscumbia,Colbert,,1/0/1900,$0,$0,$0
LaGrange Mt. Water & Fire Protection Authority,3/30/2022,LaGrange Mt. Water & Fire,"$3,486,938",Leighton,Colbert,,1/0/1900,$0,$0,$0
"Leighton, Water Works and Sewer Board of The  Town of",2/1/2022,Town of Leighton Proposed Water System Improvements,"$450,000",Leighton,Colbert,Yes,1/0/1900,"$450,000","$450,000",$0
Muscle Shoals Utilities Board,3/25/2022,WTP Improvements,"$2,180,000",Muscle Shoals,Colbert,,1/0/1900,$0,$0,$0
"Sheffield, Town of",2/1/2022,Water System Improvements,"$3,251,678",Sheffield,Colbert,,1/0/1900,$0,$0,$0
Spring Valley Water Authority,4/1/2022,Water Improvements,"$2,278,255",Tuscumbia,Colbert,,1/0/1900,$0,$0,$0
"Castleberry, Town of",1/27/2022,Water Meter Upgrades,"$383,570",Castleberry,Conecuh,,1/0/1900,$0,$0,$0
"Evergreen, City of",2/1/2022,Water System Improvements,"$2,288,313",Evergreen,Conecuh,,1/0/1900,$0,$0,$0
Lyeffion Water,1/31/2022,Water System Improvements,"$930,000",Evergreen,Conecuh,Yes,1/0/1900,"$930,000","$930,000",$0
Goodwater Waterworks and Sewer Board,1/20/2022,Water System Improvements,"$1,106,700",Goodwater,Coosa,Yes,1/0/1900,"$1,106,700","$1,106,700",$0
Kellyton Water System,1/21/2022,AMR Meter Replacement,"$688,240",Kellyton,Coosa,,1/0/1900,$0,$0,$0
Rockford Utilities Board,1/24/2022,Water System Improvements,"$850,000",Rockford,Coosa,Yes,1/0/1900,"$850,000","$850,000",$0
Stewartville Water Authority,6/9/2022,Flagg Mountain Water Supply,"$1,000,000",Sylacauga,Coosa,Yes,1/0/1900,"$1,000,000","$1,000,000",$0
Florala Utilities Board,3/30/2022,Water Main Replacement - Lead Service Line,"$1,694,020",Florala,Covington,,1/0/1900,$0,$0,$0
Opp Utilities Board,1/28/2022,Water Main Replacement,"$758,600",Opp,Covington,Yes,1/0/1900,"$758,600","$758,600",$0
"Red Level, Town of",2/1/2022,System Improvements Lead-Joint Water Main Replacement,"$313,125",Red Level,Covington,,1/0/1900,$0,$0,$0
"Sanford, Town of",1/31/2022,Sanford New Water Well to replace buying water,"$4,217,075",Sanford,Covington,,1/0/1900,$0,$0,$0
"Brantley, Town of",2/1/2022,Water System Improvements,"$1,026,175",Brantley,Crenshaw,Yes,1/0/1900,"$1,026,175","$1,026,175",$0
"Dozier, Town of",2/1/2022,Water System Improvements,"$272,250",Dozier,Crenshaw,Yes,1/0/1900,"$272,250","$272,250",$0
"Glenwood, Town of",2/1/2022,Water System Improvements,"$559,000",Glenwood,Crenshaw,,1/0/1900,$0,$0,$0
"Luverne, City of",2/1/2022,Water System Improvements,"$795,400",Luverne,Crenshaw,,1/0/1900,$0,$0,$0
"Luverne, City of",2/1/2022,Water System Improvements Lead-Joint Water Main Replacement,"$1,191,600",Luverne,Crenshaw,,1/0/1900,$0,$0,$0
Quint-Mar Water Authority,1/31/2022,Water Main Replacement,"$1,555,000",Lapine,Crenshaw,,1/0/1900,$0,$0,$0
"Sellers Station Water System, Inc.",1/24/2022,Water Well and Mains,"$3,000,000",Lapine,Crenshaw,,1/0/1900,$0,$0,$0
South Crenshaw County Water Authority,2/1/2022,Water System Improvements,"$981,450",Brantley,Crenshaw,,1/0/1900,$0,$0,$0
"Cullman, City of",3/24/2022,Primary Water Transmission Pipeline Replacement,"$10,150,000",Cullman,Cullman,,1/0/1900,$0,$0,$0
"Garden City, Town of",3/30/2022,DWSRF Water System Improvements,"$657,860",Garden City,Cullman,,1/0/1900,$0,$0,$0
Walter Water Authority,1/28/2022,Water System Improvements,"$1,345,586",Hanceville,Cullman,,1/0/1900,$0,$0,$0
"Joppa, Hulaco & Ryan Water Authority",3/31/2022,Water System Improvements,"$455,000",Joppa,"Cullman, Marshall",,1/0/1900,$0,$0,$0
"Ariton Water Board, Town of",1/31/2022,Water Tank Upgrades,"$996,000",Ariton,Dale,Yes,1/0/1900,"$996,000","$996,000",$0
Ariton Water and Sewer Board,2/1/2022,Water Well Supply,"$1,430,000",Ariton,Dale,,1/0/1900,$0,$0,$0
Dale County Water Authority,1/20/2022,Water Main Replacement,"$1,256,000",Ozark,Dale,,1/0/1900,$0,$0,$0
Daleville Water and Sewer Board,1/24/2022,"SRF Well, Tank, and Mains","$3,270,000",Daleville,Dale,,1/0/1900,$0,$0,$0
"Level Plains, City of",1/25/2022,"SRF Well, Tank, and Mains","$3,750,000",Level Plains,Dale,,1/0/1900,$0,$0,$0
Dallas County Water and Sewer Authority,2/1/2022,Water System Improvements,"$2,588,600",Selma,Dallas,,1/0/1900,$0,$0,$0
"Selma, The Waterworks and Sewer Board of the",8/3/2022,"(Supplemental) 2019 Water Production, Treatment, and Storage  Improvements","$640,000",Selma,Dallas,,1/0/1900,$0,$0,$0
"Selma, The Waterworks and Sewer Board of the",2/1/2022,Lead Service Pipe Replacement,"$15,099,297",Selma,Dallas,Yes,1/0/1900,"$15,099,297","$15,099,297",$0
"Selma, The Waterworks and Sewer Board of the",2/1/2022,Well and Water Treatment Plant Improvements,"$5,783,885",Selma,Dallas,Yes,1/0/1900,"$5,783,885","$2,891,943","$2,891,942"
West Dallas Water Authority,2/1/2022,Water System Improvements,"$5,778,750",Selma,Dallas,,1/0/1900,$0,$0,$0
"Collinsville, Waterworks and Sewer Board of the  Town of",3/30/2022,Water System Improvements,"$1,363,875",Collinsville,DeKalb,,1/0/1900,$0,$0,$0
Crossville Waterworks Board,3/31/2022,Water System Rehabilitation and Improvements,"$14,333,600",Crossville,DeKalb,,1/0/1900,$0,$0,$0
"Fort Payne, Water Works of the City of",1/31/2022,DeSoto Parkway Water Line,"$1,985,075",Fort Payne,DeKalb,,1/0/1900,$0,$0,$0
"Fort Payne, Water Works of the City of",4/29/2022,Downtown Water Line Replacement Water Line - Lead,"$4,078,896",Fort Payne,DeKalb,,1/0/1900,$0,$0,$0
"Northeast Alabama Water, Sewer, and Fire  Protection District",2/1/2022,CR505 Water Line Extension,"$1,325,040",Fort Payne,DeKalb,,1/0/1900,$0,$0,$0
"Northeast Alabama Water, Sewer, and Fire  Protection District",2/1/2022,Waterloo Springs WTP Upgrades,"$4,742,556",Fort Payne,DeKalb,,1/0/1900,$0,$0,$0
"Section, Town of",2/1/2022,Infrastructure Upgrades,"$911,405",Section,DeKalb,,1/0/1900,$0,$0,$0
"Valley Head, Waterworks Board of the Town of",3/18/2022,Water System Improvements,"$3,004,980",Valley Head,DeKalb,,1/0/1900,$0,$0,$0
DeKalb-Jackson Water Supply District,2/1/2022,Contact Clarifiers for the DJWSD,"$3,602,274",Ider,"DeKalb,Jackson",,1/0/1900,$0,$0,$0
DeKalb-Jackson Water Supply District,2/1/2022,Deer Head Cove Water Line for the DJWSD,"$3,604,766",Ider,"DeKalb,Jackson",,1/0/1900,$0,$0,$0
Dutton Water Works and Sewer Board,3/31/2022,Emergency Generators for 3 Pump Stations,"$600,000",Dutton,"DeKalb,Jackson",,1/0/1900,$0,$0,$0
Central Elmore Water and Sewer Authority,1/31/2022,CEW&SA,"$46,362,400",Wetumpka,Elmore,,1/0/1900,$0,$0,$0
Five Star Water Supply District,2/1/2022,Water System Improvements,"$32,877,750",Wetumpka,Elmore,,1/0/1900,$0,$0,$0
Friendship Water Systems,1/31/2022,SRF Tank & Mains,"$3,565,000",Tallassee,Elmore,,1/0/1900,$0,$0,$0
"Tallassee, City of",1/31/2022,WTP Filter Gallery Upgrades,"$1,172,050",Tallassee,Elmore,,1/0/1900,$0,$0,$0
Wetumpka Water Works and Sewer Board,2/1/2022,Water System Improvements,"$11,320,388",Wetumpka,Elmore,,1/0/1900,$0,$0,$0
Brewton Water Works,1/18/2022,"Ridge Road Improvements:  Install new well near Damascus  Tank($1,300,00) + Install water main across river(Hwy  4)($3,200,000)","$4,500,000",1/0/1900,Escambia,,1/0/1900,$0,$0,$0
"Brewton, City of",2/1/2022,Water System Improvements - Lead  Service Lines Replacement,"$3,937,875",Brewton,Escambia,,1/0/1900,$0,$0,$0
Escambia Community Utilities,1/31/2022,Water Main Replacement,"$836,500",Atmore,Escambia,,1/0/1900,$0,$0,$0
"Flomaton, Town of",1/18/2022,Baseball Field Concessions Stand/Bathrooms,"$50,000",Flomaton,Escambia,,1/0/1900,$0,$0,$0
"Flomaton, Town of",1/31/2022,Water Main Replacement,"$1,072,600",Flomaton,Escambia,,1/0/1900,$0,$0,$0
Freemanville Water System,1/18/2022,"Replacement of outdated meters($450,000) + Update well houses  and treatment equipment($250,000)","$700,000",1/0/1900,Escambia,,1/0/1900,$0,$0,$0
McCall Water System,1/18/2022,"Replacement of outdated meters($500,000) + Update well houses  and treatment equipment($300,000)","$800,000",1/0/1900,Escambia,,1/0/1900,$0,$0,$0
"Riverview, Town of",1/31/2022,"Reactivation of existing well($600,000) + Replacement of small  diameter water mains()$100,000) + Replacement of outdated  meters($100,000)","$800,000",Riverview,Escambia,,1/0/1900,$0,$0,$0
"Riverview, Town of",1/31/2022,Water System Improvements,"$672,000",Riverview,Escambia,Yes,1/0/1900,"$672,000","$672,000",$0
West Escambia Utilities,1/18/2022,Canoe Water System Upgrade and Improvement,"$350,000",1/0/1900,Escambia,,1/0/1900,$0,$0,$0
West Escambia Utilities,1/31/2022,Installation of Water Tank and Water System for New Prison  Project in Atmore,"$4,500,000",1/0/1900,Escambia,,1/0/1900,$0,$0,$0
West Escambia Utilities,1/31/2022,Water System Improvements,"$4,500,000",Atmore,Escambia,,1/0/1900,$0,$0,$0
"Attalla Water Works Board, City of",1/31/2022,Cleveland Booster Pump Station,"$407,700",Attalla,Etowah,,1/0/1900,$0,$0,$0
"Attalla Water Works Board, City of",1/31/2022,Generators for WTP,"$626,000",Attalla,Etowah,,1/0/1900,$0,$0,$0
"Attalla Water Works Board, City of",1/31/2022,Water Treatment Plant Pretreatment,"$3,075,000",Attalla,Etowah,,1/0/1900,$0,$0,$0
Big Wills Water Authority,3/25/2022,Ridgeville Well,"$1,406,400",Attalla,Etowah,,1/0/1900,$0,$0,$0
Ford's Valley & Hwy 278 Water Cooperative,1/31/2022,Ford's Valley & Hwy 278,"$2,500,000",Piedmont,Etowah,,1/0/1900,$0,$0,$0
Gadsden Water Works & Sewer Board,3/31/2022,Lead Service Line Inventory,"$955,000",Gadsden,Etowah,,1/0/1900,$0,$0,$0
Northeast Etowah Water Co-op,3/9/2022,"2"" & 3"" Main Replacement","$6,879,886",Gadsden,Etowah,,1/0/1900,$0,$0,$0
Northeast Etowah Water Co-op,3/9/2022,Meter Replacement,"$290,520",Gadsden,Etowah,,1/0/1900,$0,$0,$0
Northeast Etowah Water Co-op,3/9/2022,Whites Chapel Rd Main Replacement,"$512,074",Gadsden,Etowah,,1/0/1900,$0,$0,$0
"Rainbow City, Utilities Board of",2/22/2022,Northwestern Water Main Reinforcements,"$9,000,000",Rainbow City,Etowah,,1/0/1900,$0,$0,$0
"Rainbow City, Utilities Board of",2/18/2022,Water Meter Replacement Program,"$2,000,000",Rainbow City,Etowah,,1/0/1900,$0,$0,$0
"Reece City, Town of",3/31/2022,Water System Improvements,"$369,375",Reece City,Etowah,,1/0/1900,$0,$0,$0
"Rutledge, Town of",2/1/2022,Water System Improvements,"$399,525",Rutledge,Etowah,,1/0/1900,$0,$0,$0
"Boaz, Board of Water and Sewer  Commissioners for the City of",4/1/2022,Water Distribution System Improvements,"$2,770,870",Boaz,"Etowah,Marshall",,1/0/1900,$0,$0,$0
"Sardis City, Water Works and Sewer Board of  the Town of",2/10/2022,Water System Improvements,"$5,200,000",Sardis City,"Etowah,Marshall,DeKalb",,1/0/1900,$0,$0,$0
"Belk, Town of",2/1/2022,Belk - Water Main Rehabilitation Project,"$511,780",Belk,Fayette,,1/0/1900,$0,$0,$0
"Fayette, Water Works Board of the City of",2/1/2022,FWB-Luxapalilla Supply Improvements,"$222,100",Fayette,Fayette,,1/0/1900,$0,$0,$0
"Glen Allen Water System, Town of",2/1/2022,Glen Allen Water System Improvements Project,"$510,000",Glen Allen,Fayette,Yes,1/0/1900,"$510,000","$510,000",$0
Franklin County Water Service Authority  (FCWSA),5/24/2022,FCWSA Addendum - Water Tank and Booster Station,"$845,600",Russellville,Franklin,,1/0/1900,$0,$0,$0
Franklin County Water Service Authority  (FCWSA),1/28/2022,FCWSA Improvements,"$2,640,000",Russellville,Franklin,,1/0/1900,$0,$0,$0
"Hodges, Town of",2/1/2022,Water System Infrastructure Improvements Project,"$610,000",Hodges,Franklin,Yes,1/0/1900,"$610,000","$610,000",$0
"Phil Campbell, Water Works & Sewer Board of  the Town of",2/1/2022,Cast Iron Water Main/Lead Service Replacement,"$1,281,763",Phil Campbell,Franklin,,1/0/1900,$0,$0,$0
"Red Bay, Water Works and Gas Board of the  City of",1/31/2022,Red Bay Water System Proposed DWSRF Water Improvements  Project,"$2,400,000",Red Bay,Franklin,Yes,1/0/1900,"$2,400,000","$1,200,000","$1,200,000"
Russellville Water and Sewer Board,1/28/2022,Water System Infrastructure Improvements,"$1,138,000",Russellville,Franklin,Yes,1/0/1900,"$1,000,000","$1,000,000","$138,000"
"Vina, Town of",1/31/2022,Vina Water System Infrastructure Improvements,"$675,000",Vina,Franklin,Yes,1/0/1900,"$675,000","$675,000",$0
"Black, Town of",10/28/2022,Town of Black Water Meter Replacement,"$113,680",Black,Geneva,,1/0/1900,$0,$0,$0
"Geneva Water Works and Sewer Board, Town  of",1/31/2022,Water System Improvements,"$989,615",Geneva,Geneva,,1/0/1900,$0,$0,$0
"Hartford, City of",4/1/2022,Water Improvements - Lead Service Line,"$3,588,950",Hartford,Geneva,,1/0/1900,$0,$0,$0
"Samson, City of",3/23/2022,Lead Water Main Pipe Removal and Replacement,"$2,210,774",Samson,Geneva,,1/0/1900,$0,$0,$0
"Slocomb Water Works and Sewer Board, The  Town of",1/31/2022,Water Improvements - Lead Service Lines,"$4,019,633",Slocomb,Geneva,,1/0/1900,$0,$0,$0
"Eutaw, City of",5/25/2022,2022 Water System Restoration and Resiliency Project,"$16,461,059",Eutaw,Greene,,1/0/1900,$0,$0,$0
"Forkland, Town of",2/1/2022,Water System Improvements,"$1,541,450",Forkland,Greene,Yes,1/0/1900,"$1,541,450","$1,541,450",$0
Greene County Water and Sewer Authority,4/4/2022,Greene County Water,"$5,003,000",Eutaw,Greene,Yes,1/0/1900,"$5,003,000","$4,678,000","$325,000"
Fosters-Ralph Water Authority,1/31/2022,System Improvements,"$3,579,500",Ralph,"Greene,Tuscaloosa",,1/0/1900,$0,$0,$0
