System Name,MDH 2023 PPL Rank,MDH 2023 PPL Points,Project Description,Project Number,Population,Est. Const Start,Estimated Project Cost,Estimated DWRF Loan,Estimated DWRF Lead Service Line Replacement Principal Forgiveness NOT FINAL          (1),Estimated DWRF Emerging Contaminant Principal Forgiveness NOT FINAL          (2),Estimated DWRF Disadvantgd Community Principal Forgiveness NOT FINAL          (3),Estimated WIF Grant           NOT FINAL     (4),Other Funds (5),Status,
Fosston,255,10,Watermain - Replace Various Areas,1600010-4,"1,434",May-23,"4,488,183","4,488,183", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Annandale,260,10,Storage - Tower Rehab,1860002-8,"3,420",Apr-23,"699,000","669,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Glenwood,263,10,Watermain - Replace Old Mains,1610003-12,"2,563",Jul-23,"3,735,570","3,735,570", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Glenwood,264,10,Storage - Ground Storage Tank Rehab,1610003-13,"2,563",Jul-23,"884,400","884,400", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Hibbing,275,10,Source - Well Houses Rehab,1690022-10,"15,923",Jan-23,"600,000","600,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Hibbing,276,10,Treatment - Plant Rehab,1690022-11,"15,923",Jan-23,"4,800,000","4,800,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Hibbing,277,10,Treatment - Plant for Carey Valley Well,1690022-7,"15,923",Jan-23,"10,800,000","10,800,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Hibbing,278,10,Storage - Mesabi Tower Rehab,1690022-8,"15,923",Jan-23,"1,560,000","1,560,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
International Falls,282,10,Watermain - Replace 9th Street,1360002-3,"5,816",Jun-23,"1,480,000","1,480,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Fertile,298,10,Conservation - Meter Replacement,1600008-5,931,Jun-23,"460,000","460,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Detroit Lakes,299,10,Storage - 2.0 MG Elevated Storage Tank,1030005-6,"9,197",Jun-23,"8,355,000","8,355,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Pelican Rapids,301,10,Watermain - TH59 and TH108,1560019-8,"2,515",Oct-23,"6,250,000","6,250,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Stewart,304,10,Watermain - Distribution Reconstruction,1430009-8,610,Jun-23,"3,178,300","3,178,300", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Winnebago,306,10,Watermain - Cleveland Ave W Imprvmnts,1220011-4,"1,261",May-23,"2,131,467","2,131,467", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Saint Cloud,313,10,Other - Calvary Booster Station Imprvmt,1730027-9,"40,112",Apr-23,"3,312,000","3,312,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Randall,314,10,Watermain - Water System Improvements,1490005-2,581,Sep-23,"4,000,000","4,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Olivia,338,10,Treatment - RO addition,1650011-6,"2,397",Apr-23,"5,200,000","5,200,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Sauk Rapids,351,10,Watermain - Rplcment Along Division St. ,1050004-4,"13,926",May-23,"973,464","973,464", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Audubon,362,10,Storage - Tower Rehab,1030001-5,625,May-23,"406,000","462,500", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Wabasha ,363,10,Source - Well #1 Rehab,1790013-2,"2,655",Oct-23,"180,000","180,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Wabasha,365,10,Watermain - Downtown Reconstruction,1790013-4,"2,655",May-23,"6,328,350","2,090,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Duluth,367,10,Other - Rehab Woodland Booster Station,1690011-11,"85,852",May-23,"3,658,560","3,658,560", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Royalton,379,10,Watermain - Improvements & Looping,1490006-9,"1,172",Jun-23,"1,850,900","1,850,900", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Atwater,380,10,Watermain - North Side Improvements,1340001-10,"1,141",Jun-23,"3,101,140","3,101,140", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Red Wing,404,10,Treatment - Charlson Crest Upgrades,1250013-10,"16,366",May-23,"123,255","123,255", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Red Wing,409,10,Treatment - Twin Bluffs Plant Rehab,1250013-7,"16,366",May-23,"2,949,887","2,949,887", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Fairfax,418,10,Treatment - RO Addition,1650005-5,"1,135",Apr-23,"2,500,000","2,500,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Minneota,424,10,Watermain - Replacement,1420007-1,"1,307",Jun-23,"3,250,000","3,250,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Minneota,425,10,Watermain - Watermain Improvements,1420007-3,"1,307",Jun-23,"350,000","350,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Moorhead,434,10,Watermain - Distribution Phase 2,1140008-11,"43,409",Jun-23,"2,330,000","2,330,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Moorhead,436,10,Watermain - Distribution Phase 3,1140008-14,"43,409",Jun-23,"1,900,000","1,900,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Moorhead,438,10,Watermain - Distribution Phase 4,1140008-17,"43,409",Jun-23,"2,375,000","2,375,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Moorhead,442,10,Source - Transmission Pipeline Repl,1140008-23,"43,409",Jun-23,"13,000,000","13,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
South Saint Paul,452,10,Watermain - I494 Crossing and 7th Ave,1190020-5,"20,132",Apr-23,"6,680,000","6,680,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Foley,453,10,Source - New Well #6 & Seal Well #4,1050001-3,"2,658",Jun-23,"223,600","223,600", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Buffalo,466,10,Storage - Tower #1 Rehab,1860005-7,"16,413",Jun-23,"815,000","815,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Buffalo,467,10,Watermain - TH 25 South Recon,1860005-8,"16,413",Apr-23,"1,170,000","1,170,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Montrose,471,10,"Storage - Repl Tower w/100,000 Gal Tower",1860016-6,"3,505",Jul-23,"4,650,000","4,650,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Jordan,476,10,Storage -Tower Imprvmnts & Booster Rehab,1700003-3,"6,230",Feb-23,"4,800,000","4,800,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Lowry,487,8,Source - New Wells,1610007-6,345,Jun-23,"369,200","369,200", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Minnetrista,488,8,Source - Replacement Well #9,1270036-6,"7,989",Jun-23,"1,360,000","1,360,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Willmar,492,7,Treatment - Biological Filtration NE TP,1340016-1,"19,610",Aug-22,"24,100,000","12,050,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Ghent,514,7,Watermain - Looping Dead End Water Lines,1420004-3,497,May-23,"4,203,400","4,203,400", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Jackson,516,7,Watermain - River Crossing,1320003-5,"3,208",May-23,"522,663","522,663", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Madison Lake,521,7,"Watermain-Repl & Loop Main, 7th & Maple",1070007-9,"1,017",Jun-23,"1,084,010","1,084,010", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Darwin,522,7,Watermain - 1st St. & Loop,1470002-4,302,May-23,"1,025,900","1,025,900", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Lowry,527,7,Watermain - Replace & Loop,1610007-8,345,Jun-23,"2,324,100","2,324,100", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Adams,529,7,Watermain - Loop & Connect Well No. 5,1500001-2,820,Jul-23,"443,550","443,550", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Adams,530,7,Source - Well No. 5 & Pumphouse,1500001-3,820,Jan-23,"1,667,120","1,743,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Rosemount,535,7,Treatment - New Fe/Mn/Ra Plant,1190019-2,"22,445",Jul-23,"28,750,000","14,375,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Ramsey,536,7,Treatment - Plant Improvements,1020035-6,"14,252",Jan-23,"46,000,000","17,000,000", 	-   , 	-   , 	-   , 	-   , 	-   ,Part B,
Annandale,259,10,"Watermain - Repl Oak, Park, Pleasant",1860002-6,"3,334",Nov-19,"1,358,413","1,358,413", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Tower,9,25,Treatment - Plant Improvements,1690051-2,500,Jun-22,"4,500,950","1,125,950", 	-   , 	-   , 	-   , 	-   ,"3,375,000",Carryover,
Two Harbors,49,12,Treatment - Repl Chlorine Contact Tank,1380005-4,"3,613",Sep-21,"5,020,142","1,004,028", 	-   , 	-   , 	-   ,"4,016,114", 	-   ,Carryover,
Dawson,42,12,Treatment - Plant Rehab,1370003-6,"1,540",Apr-23,"1,232,500","569,524", 	-   , 	-   , 	-   ,"662,976", 	-   ,Carryover,
Lanesboro,248,10,Watermain - Repl Kirkwood St.,1230006-4,788,Apr-22,"1,011,830","202,366", 	-   , 	-   ,"809,464", 	-   , 	-   ,Carryover,
Lanesboro,249,10,Watermain - Repl Various Streets,1230006-5,788,Apr-22,"714,841","142,968", 	-   , 	-   ,"571,873", 	-   , 	-   ,Carryover,
Claremont,285,10,Storage - Tower Rehab,1200001-3,538,May-22,"370,500","370,500", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Two Harbors,384,10,Watermain - Repl 4th St.,1380005-5,"3,718",Nov-24,"388,000","418,546", 	-   , 	-   , 	-   , 	-   ,"30,454",Carryover,
Two Harbors,385,10,Watermain - Repl 7th Ave & 4th St.,1380005-6,"3,718",Nov-24,"477,000","514,561", 	-   , 	-   , 	-   , 	-   ,"37,439",Carryover,
Two Harbors,386,10,Watermain - Repl 7th Ave 11th - 15th St.,1380005-7,"3,718",Nov-24,"815,000","878,031", 	-   , 	-   , 	-   , 	-   ,"63,969",Carryover,
Le Sueur,84,12,Watermain - New Booster Station & Wtrmn,1400010-9," 	4,050 ",Sep-23," 	3,480,000 "," 	3,480,000 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Zimmerman,102,12,Source - 2 New Wells,1710006-7," 	5,657 ",Jul-22," 	1,136,210 "," 	1,136,210 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Appleton,159,10,Watermain - Water Distribution Imprvmnts,1760001-2," 	1,339 ",May-23," 	8,950,000 "," 	4,050,000 ", 	-   , 	-   ," 	2,783,721 "," 	2,116,279 ", 	-   ,Carryover,
Henning,203,10,Watermain - Inman St. Underground Imprvm,1560016-8, 	853 ,Jun-23," 	602,753 "," 	120,551 ", 	-   , 	-   ," 	482,202 ", 	-   , 	-   ,Carryover,
Menahga,212,10,"Storage - Repl w/100,000 Gal Tower",1800001-2," 	1,228 ",May-22," 	1,288,000 "," 	614,500 ", 	-   , 	-   , 	-   , 	-   ," 	673,500 ",Carryover,
Pipestone,217,10,Other - LSL Replacement,1590005-11," 	4,317 ",May-22," 	25,000 ", 	-   ,12500, 	-   , 	-   , 	-   , 	-   ,"Carryover,LSL",
Pipestone,218,10,"Watermain - Replace NE Area, Ph 1",1590005-8," 	4,317 ",May-22," 	2,019,140 "," 	403,828 ", 	-   , 	-   ," 	1,615,312 ", 	-   , 	-   ,Carryover,
Crosby,242.1,10,Watermain - Phase 3A Improvements,1180008-9a," 	2,749 ",Sep-22," 	1,812,804 "," 	1,812,804 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Lake Park,266,10,Treatment - Plant Rehab,1030016-3, 	797 ,Oct-22," 	1,083,625 "," 	1,083,625 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Ortonville,269,10,Watermain - Repl Various Areas - Phase 2,1060008-7," 	1,910 ",Jun-23," 	4,056,245 "," 	4,056,245 ", 	-   , 	-   ,eligible,eligible, 	-   ,Carryover,
Ortonville,270,10,Watermain - Phase 3,1060008-8," 	2,017 ",Jun-23," 	7,367,544 "," 	7,367,544 ", 	-   , 	-   ,eligible,eligible, 	-   ,Carryover,
Blue Earth,271,10,Treatment - RO for Softening ,1220001-4," 	3,138 ",Mar-23," 	10,230,000 "," 	3,230,000 ", 	-   , 	-   ,eligible,eligible," 	7,000,000 ",Carryover,
Eveleth,272,10,Watermain -Rosvlt & Dgls Aves Water Repl,1690018-9," 	3,609 ",May-22," 	614,924 "," 	364,924 ", 	-   , 	-   , 	-   , 	-   ," 	250,000 ",Carryover,
Perham,280,10,"Watermain-Repl 1st Ave N,4th & 5th St SW",1560023-9," 	3,421 ",May-22," 	1,832,913 "," 	1,832,913 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Glenville,288,10,Treatment - Water trtmnt plant & wells ,1240010-1, 	670 ,May-23," 	4,000,000 "," 	4,000,000 ", 	-   , 	-   ,eligible,eligible, 	-   ,Carryover,
Sauk Rapids,342,10,Other - LSL Replacement - Private,1050004-3," 	13,083 ",Apr-22," 	154,700 "," 	77,350 ",77350, 	-   , 	-   , 	-   , 	-   ,"Carryover,LSL",
Dassel,347,10,Watermain - First St. Main Replacement,1470003-9," 	1,506 ",May-22," 	818,925 "," 	818,925 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
New London,389,10,Watermain - Distribution Improvements,1340005-5," 	1,197 ",Jun-22," 	2,162,213 "," 	2,162,213 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Saint Paul Regional Water Services,426,10,Treatment - Process Imp.(McCarrons),1620026-22," 	385,796 ",May-22," 	189,000,000 "," 	47,250,000 ", 	-   , 	-   , 	-   , 	-   , 	-   ,Carryover,
Saint Paul Regional Water Services,427,10,Other - LSL Replacement Phase 2,1620026-24," 	304,547 ",Apr-22," 	500,000 ", 	-   ,250000, 	-   , 	-   , 	-   ," 	250,000 ","Carryover,LSL",
Harris,479,10,Storage - Tower Rehab,1130005-4," 	1,065 ",Jun-22," 	378,445 "," 	378,445 ", 	-   , 	-   ,eligible,eligible, 	-   ,Carryover,
Litchfield,505,7,Treatment - Rehab Plant,1470008-7," 	6,671 ",Jun-22," 	4,936,422 "," 	3,936,422 ", 	-   , 	-   , 	-   , 	-   ," 	1,000,000 ",Carryover,
