Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
15,North Shore Water Association,1904004-001,NJ1904004,Existing Well Requires Replacement,105,360000.0,115000.0,475000.0,300,0,20,0,0,0,0,0.00105,320.00105,NA
16,Manchester Utilities Authority,1603001-001,NJ1603001,Heights Tank Rehabilitation,12028,389166.0,1800000.0,500000.0,250,50,15,0,0,0,0,0.12028,315.12028,NA
18,Bloomfield Township,0702001-003,NJ0702001,Lead Service Line Replacement,47982,875000.0,1440000.0,1098395.0,300,0,0,5,0,0,0,0.47315,305.47315,NA
19,"NJ American Water Company, Incorporated",1345001-017,NJ1345001,Oak Street Treatment Plant Improvements,290470,4239000.0,2763840.0,7002840.0,250,50,0,0,0,0,0,2.9047,302.9047,NA
20,Aqua New Jersey Incorporate,1103001-005,NJ1103001,Addition of radium treatment at Well 9 to resolve MCL  exceedance,49000,583100.0,418226.0,1001326.0,250,50,0,0,0,0,0,0.49,300.49,NA
22,North Shore Water Association,1904004-004,NJ1904004,Water System Refurb,105,100000.0,145400.0,245400.0,300,0,0,0,0,0,0,0.00105,300.00105,NA
23,Trenton City,1111001-005,NJ1111001,5-year Lead Service Line Replacement & Verification  Project,225000,195000000.00,863200.0,239000000.00,250,0,15,0,5,0,15,2.17,287.17,BIL (LSLR)
25,Bloomfield Township,0702001-004,NJ0702001,Interconnection Project,47315,1920000.0,491000.0,2592000.0,250,0,0,5,0,0,15,0.47315,270.47315,NA
25,Bloomfield Township,0702001-005,NJ0702001,Lead Service Replacement Phases,49973,6000000.0,879930.0,7700000.0,250,0,0,5,0,0,15,0.47315,270.47315,NA
26,North Jersey District Water Supply Commission,1613001-013,NJ1613001,Construction of a new 50 MGD Bellville Pump Station,872153,25000000.0,11690000.000,36690000.000,160,50,20,0,0,0,30,8.72153,268.72153,NA
27,Merchantville Pennsauken Water Commission,0424001-002,NJ0424001,Woodbine PFNA plant,49000,4455000.0,1300000.0,5646000.0,250,0,0,0,0,0,15,0.47144,265.47144,BIL (EC)
28,Winslow Township,0436007-006,NJ0436007,Add radium removal treatment at existing wells 1 and 8  to correct Maximum Contaminant Level violations,39328,4953080.0,2439355.0,7392435.0,250,0,15,0,0,0,0,0.39328,265.39328,NA
29,Belleville Township,0701001-003,NJ0701001,"Replacement of 7,000 lead service lines",35928,14000000.0,5940000.0,19940000.000,250,0,0,0,0,0,15,0.35928,265.35928,NA
29,Belleville Township,0701001-004,NJ0701001,Installation of lead corrosion control measures at four  interconnections,35928,400000.0,280000.0,680000.0,250,0,0,0,0,0,15,0.35928,265.35928,NA
30,Belleville Township,0701001-008,NJ0701001,Belleville Lead Service Line Replacement,36069,2703600.0,450000.0,3568752.0,250,0,0,0,0,0,15,0.35129,265.35129,NA
31,Orange City,0717001-014,NJ0717001,Orange Twp | Relocation of the existing transmission  main under the Glen Avenue Bridge for the stabilization of  the pipe,30731,1225000.0,NA,1843000.0,175,0,0,5,5,0,80,0.30134,265.30134,BIL (GEN)
32,Hopatcong Borough,1912001-002,NJ1912001,Hopatcong Borough PFAS Removal Improvement Project,7000,840000.0,1100300.0,1020000.0,250,0,15,0,0,0,0,0.07224,265.07224,BIL (EC)
33,Upper Deerfield Township,0613004-001,NJ0613004,Radium Treatment Removal for Love Lane WTP (wells # 3  & 4),4500,2200000.0,1228000.0,3428000.0,250,0,0,0,0,0,15,0.045,265.045,BIL (GEN)
34,National Park Borough,0812001-005,NJ0812001,Addition of PFOS Treatment at Exisiting Water Plant,2983,1100000.0,770000.0,1526500.0,250,0,0,0,0,0,15,0.03144,265.03144,BIL (EC)
36,ADTI Housing Corporation,2103002-001,NJ2103002,Chlorination system,83,243700.0,109665.0,353365.0,250,0,0,0,0,0,15,0.00083,265.00083,NA
37,Eagleswood Village MHP,1508001-001,NJ1508001,Eagleswood Village Water Improvement,80,862500.0,1350000.0,1035000.0,250,0,0,0,0,0,15,0.0008,265.0008,NA
38,Buttonwood Mobile Home Park,0301001-001,NJ0301001,Buttonwood system,77,240000.0,78000.0,318000.0,250,0,0,0,0,0,15,0.00055,265.00055,NA
39,Newark City,0714001-001,NJ0714001,Construction of an ozonation facility,285000,10000000,4660000.0,14660000.000,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
39,Newark City,0714001-013,NJ0714001,Removal and disposal of sludge from lagoon,285000,3000000.0,1580000.0,4580000.0,100,50,20,0,0,0,80,2.85,252.85,BIL (GEN)
40,Camden City,0408001-015,NJ0408001,Morris-Delair WTP improvements - Phase II,77344,919790.0,524245.0,1444035.0,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
40,Camden City,0408001-016,NJ0408001,Parkside WTP various improvements,77344,245277.0,139797.0,385074.0,100,50,20,0,0,0,80,0.77344,250.77344,BIL (GEN)
41,Old Bridge Municipal Utilities Authority,1209002-014,NJ1209002,Perrine Road Carbon Absorber Facility,65375,1200000.0,240000.0,1440000.0,250,0,0,0,0,0,0,0.67215,250.67215,NA
42,Ridgewood Village,0251001-001,NJ0251001,Water Treatment Centralization for PFAS Removal,61220,62433333.0000000,253083.0,77551982.0000000,250,0,0,0,0,0,0,0.617,250.617,BIL (EC)
43,Moorestown Township,0322001-001,NJ0322001,North Church Street Water Treatment Plant Upgrade,20726,15260000.000,4601000.0,19861000.0000,250,0,0,0,0,0,0,0.20726,250.20726,NA
44,Ramsey Borough,0248001-009,NJ0248001,Arsenic treatment system at the Spring Street Treatment  Facility,16350,422903.0,373372.0,796275.0,250,0,0,0,0,0,0,0.1635,250.1635,NA
46,Sparta Township,1918004-003,NJ1918004,Installation of uranium treatment equipment at two of  the existing Autumn Hill well house (Well 1 and Well 2),15726,350000.0,-14000.0,336000.0,250,0,0,0,0,0,0,0.15726,250.15726,NA
48,Waldwick Borough,0264001-003,NJ0264001,Water Treatment Systems,9625,2700000.0,855640.0,3510000.0,250,0,0,0,0,0,0,0.09653,250.09653,NA
49,Ho-Ho-Kus Borough,0228001-002,NJ0228001,Ho-Ho-Kus Water Treatment System,4078,1500000.0,1700000.0,2110000.0,250,0,0,0,0,0,0,0.0406,250.0406,NA
50,Essex Fells Borough,0706001-002,NJ0706001,Temporary PFAS - Runnymede Site - Wells 5 and 1,21937,900000.0,20000.0,1080000.0,250,0,0,0,0,0,0,0.022,250.022,NA
50,Essex Fells Borough,0706001-003,NJ0706001,Permanent PFAS Treatment (Main Facility),21937,4500000.0,19247900.00000,5400000.0,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
50,Essex Fells Borough,0706001-004,NJ0706001,Permanent PFAS Treatment (Additional Facilities),21937,2000000.0,NA,2400000.0,250,0,0,0,0,0,0,0.022,250.022,BIL (EC)
51,Brick Township Municipal Utilities Authority,1506001-011,NJ1506001,Granular Activated Carbon (GAC) Treatment Addition,86898,16000000.0,4890000.0,20890000.000,200,0,20,0,0,0,15,0.86898,235.86898,NA
52,East Orange City,0705001-014,NJ0705001,Water System Improvement and Resiliency Project 2017,65078,19520000.000,5805200.0,25325200.00000,100,50,0,5,0,0,80,0.75,235.75,BIL (GEN)
54,Newark City,0714001-017,NJ0714001,Water Distribution System Upgrades,285000,971100.0,866400.0,1837500.0,75,50,20,0,0,0,80,2.94274,227.94274,BIL (GEN)
55,Newark City,0714001-002,NJ0714001,Rehab of 42-inch Steel water main including cleaning &  lining,285000,3000000.0,2070000.0,5070000.0,75,50,20,0,0,0,80,2.85,227.85,BIL (GEN)
55,Newark City,0714001-008,NJ0714001,"Cleaning and lining of water mains, upgrading 4 inch  mains to 6 & 8 inch mains, replace old fire hydrants",285000,24800000.00,9396000.0,34196000.0000,75,50,20,0,0,0,80,2.85,227.85,BIL (GEN)
55,Newark City,0714001-009,NJ0714001,"Replacement of 12,000 Lead service lines",285000,30000000,11060000.000,41060000.000,75,50,20,0,0,0,80,2.85,227.85,BIL (LSLR)
56,Camden City,0408001-004,NJ0408001,Replacement of water mains on South Merrimac Road  and New Hampshire Road,77344,4100000.0,2064000.0,6164000.0,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
56,Camden City,0408001-013,NJ0408001,Cleaning & Lining of distribution and transmission mains,77344,7971514.0,4543450.0,12514964.0000000,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
56,Camden City,0408001-014,NJ0408001,Replacement of Lead Service Lines,77344,567000.0,396900.0,963900.0,75,50,20,0,0,0,80,0.77344,225.77344,BIL (LSLR)
56,Camden City,0408001-020,NJ0408001,Cleaning and lining of a transmission mains,77344,7358322.0,4193949.0,11552271.0000000,75,50,20,0,0,0,80,0.77344,225.77344,BIL (GEN)
57,Berkeley Township Municipal Utilities Authority,1505004-010,NJ1505004,Berkeley Township MUA Phase VII Water Main  Installation,10800,6125000.0,4000000.0,7962500.0,125,0,20,0,0,0,80,0.108,225.108,BIL (GEN)
58,High Bridge Borough,1014001-004,NJ1014001,High Bridge Water System: Bunnvale Well Upgrades,3648,1119600.0,112000.0,1477872.0,175,50,0,0,0,0,0,0.033,225.033,NA
59,Bridgeton City,0601001-005,NJ0601001,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,1723000.0,724600.0,2447600.0,75,50,15,0,0,0,80,0.2277,220.2277,BIL (GEN)
60,Merchantville Pennsauken Water Commission,0424001-004,NJ0424001,National Highway PFC plant,50000,7000000.0,1420000.0,8700000.0,200,0,0,0,0,0,15,0.47144,215.47144,NA
61,Newark City,0714001-007,NJ0714001,Construction of a hydro-electric facility at the pre- treatment plant screen building,285000,6000000.0,3750000.0,9750000.0,45,50,20,0,0,15,80,2.85,212.85,BIL (GEN)
62,Atlantic City Municipal Utilities Authority,0102001-006,NJ0102001,1 MG Storage Tank Sand Blasting and painting,94225,1345500.0,1042626.0,2388126.0,60,50,20,0,0,0,80,0.94225,210.94225,BIL (GEN)
63,East Orange Water Commission,0705001-002,NJ0705001,Cleaning & Lining of mains,80468,2164500.0,1212380.0,3376880.0,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-006,NJ0705001,Replacement of west well transmission main,80468,2500000.0,1360000.0,3860000.0,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-007,NJ0705001,Replacement of fifteen water mains suspended on  Garden State Parkway bridges,80468,2500000.0,1360000.0,3860000.0,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
63,East Orange Water Commission,0705001-010,NJ0705001,"Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a  redevelopment",80468,325000.0,227500.0,552500.0,75,50,0,5,0,0,80,0.80468,210.80468,BIL (GEN)
64,Camden City,0408001-006,NJ0408001,Rehabilitate the North Camden pump station,77344,500000.0,350000.0,850000.0,60,50,20,0,0,0,80,0.77344,210.77344,BIL (GEN)
65,Atlantic City Municipal Utilities Authority,0102001-005,NJ0102001,Installation of solar system at offices and at WTP,47011,4000000.0,2020000.0,6020000.0,45,50,20,0,0,15,80,0.47011,210.47011,BIL (GEN)
66,North Jersey District Water Supply Commission,1613001-032,NJ1613001,Rehabilitation of Treatment Facility,872153,2465520.0,1683275.0,4148795.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-027,NJ1613001,Expansion of Aeriation System,872153,1554000.0,1161888.0,2715888.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-028,NJ1613001,Filter Bldg Pipe Gallery Dehumid,872153,1246000.0,985712.0,2231712.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-029,NJ1613001,Basins 1-4 Flocculator Rehabilitation,872153,1970000.0,1399840.0,3369840.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-012,NJ1613001,"Improvement of chemical feed equipment, pressure  gauges, meters and alarms for increased security  measures",872153,500000.0,475000.0,975000.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-014,NJ1613001,Construction of a 6 MG baffled clearwell and rehab of an  existing clearwell to include baffles,872153,5000000.0,3190000.0,8190000.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-016,NJ1613001,Install 6 Layer Aerators including air piping and  appurtenances.,872153,1000000.0,950000.0,1950000.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
66,North Jersey District Water Supply Commission,1613001-020,NJ1613001,Rehabilitation of existing WTP,872153,4250000.0,2770000.0,7020000.0,100,50,20,0,0,0,30,8.72153,208.72153,NA
67,Aqua New Jersey Incorporate,2119001-008,NJ2119001,"Replacement of 7,080 LF of undersized water mains in  Philipsburg",33560,1062000.0,727280.0,1789280.0,75,50,0,0,0,0,80,0.3356,205.3356,NA
68,Buena Vista Township,0660004-001,NJ0660004,Water Main extension due to private well contamination,184,$-,$-,$-,125,0,0,0,0,0,80,0.00184,205.00184,NA
69,Passaic Valley Water Commission,1605002-018,NJ1605002,Upgrade residual treatment process to include belt  thickners,347052,5000000.0,2460000.0,7460000.0,100,0,20,0,0,0,80,3.47052,203.47052,BIL (GEN)
70,Cape May City,0502001-002,NJ0502001,Replacement of Existing Water Plant,18901,29700000.00,NA,39204000.0000,100,0,20,0,0,0,80,0.18901,200.18901,BIL (GEN)
71,East Greenwich Township,0803001-004,NJ0803001,Installation of filtration system for PFC removal at #3 Well,9550,1741000.0,539200.0,2280200.0,200,0,0,0,0,0,0,0.0955,200.0955,NA
72,Lakeshore Company,1413001-001,NJ1413001,Lakeshore Water - New Well Treatment,250,342250.0,1800000.0,410700.0,200,0,0,0,0,0,0,0.0027,200.0027,NA
73,Newark City,0714001-011,NJ0714001,Rehabilitation of the basculate gate at the Charlotteburgh  Reservoir with alarm and control systems,285000,2000000.0,1140000.0,3140000.0,45,50,20,0,0,0,80,2.85,197.85,BIL (GEN)
74,Jersey City Municipal Utilities Authority,0906001-017,NJ0906001,Boonton Plant Centrifuge,264290,1450200.0,290040.0,1740240.0,100,50,15,0,0,0,30,2.62004,197.62004,NA
75,East Orange Water Commission,0705001-009,NJ0705001,Installation of solar power at water treatment plant,80468,1000000.0,700000.0,1700000.0,45,50,0,5,0,15,80,0.80468,195.80468,BIL (GEN)
76,East Orange City,0705001-013,NJ0705001,WORPS Emergency Backup Power Generator Planning  and Design,65078,3420000.0,2184000.0,5604000.0,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
76,East Orange City,0705001-012,NJ0705001,WORPS SCADA Instrumentation/Controls Planning and  Design,65078,3000000.0,2070000.0,5070000.0,60,50,0,5,0,0,80,0.65078,195.65078,BIL (GEN)
77,Bridgeton City,0601001-006,NJ0601001,Well 14/15 Rehabilitation,25349,5300000.0,NA,6810000.0,100,0,15,0,0,0,80,0.25349,195.25349,BIL (GEN)
78,Salem City,1712001-003,NJ1712001,Upgrades to WTP to address taste and odor problems,5857,4500000.0,2240000.0,6740000.0,100,0,15,0,0,0,80,0.05857,195.05857,BIL (GEN)
79,Egg Harbor City,0107001-002,NJ0107001,Replacement of a water treatment plant,4700,8500000.0,2768740.0,11268740.000000,100,0,15,0,0,0,80,0.047,195.047,BIL (GEN)
80,"NJ American Water Company, Incorporated",2004002-012,NJ2004002,NJ American Water Lead Service Line Replacement  Program PWSID 2004002,1,6700000.0,2274000.0,8974000.0,125,50,0,5,5,0,0,6.1543,191.1543,NA
81,Camden City,0408001-021,NJ0408001,New Auto Meter Reading Equip for entire City,77344,100000.0,3108500.0,3208500.0,25,50,20,0,0,15,80,0.77344,190.77344,BIL (GEN)
82,Upper Deerfield Township,0613004-002,NJ0613004,Seabrook Water Tower Replacement (Upper Deerfield),2964,1615000.0,323000.0,1938000.0,60,50,0,0,0,0,80,0.02964,190.02964,BIL (GEN)
83,Jersey City Municipal Utilities Authority,0906001-027,NJ0906001,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,6529990.0,NA,8140309.0,75,50,20,5,5,0,30,2.62,187.62,NA
84,Jersey City Municipal Utilities Authority,0906001-029,NJ0906001,Phase 6A Water Rehabilitation,265510,15000000.0,NA,18800000.00,75,50,20,5,5,0,30,2.61996,187.61996,NA
85,North Jersey District Water Supply Commission,1613001-006,NJ1613001,Construct a 48 inch by-pass main and rehabilitate the  single 70+ yr old 74 inch aqueduct,872153,15000000.0,6260000.0,21260000.000,75,50,20,0,0,0,30,8.72153,183.72153,NA
85,North Jersey District Water Supply Commission,1613001-009,NJ1613001,Rehab of the Kearny/Bayonne Transmission main,872153,5600000.0,3526000.0,9126000.0,75,50,20,0,0,0,30,8.72153,183.72153,NA
86,Lakewood Township Municipal Utilities Authority,1514002-001,NJ1514002,LTMUA GAC Building (New Hampshire & Shorrock St),22000,8350000.0,3405680.0,10281500.00000,100,0,0,0,0,0,80,0.2175,180.2175,BIL (GEN)
87,Tuckerton Borough,1532002-004,NJ1532002,Rehabilitation of three green sand filter tanks and one  backwash tank,3365,109000.0,49050.0,158050.0,100,35,15,0,0,0,30,0.03365,180.03365,BIL (GEN)
88,Woodbine Borough,0516001-001,NJ0516001,WTP Upgrade and water main extension,2472,2537500.0,706730.0,3244230.0,100,0,0,0,0,0,80,0.0265,180.0265,BIL (GEN)
89,Passaic Valley Water Commission,1605002-015,NJ1605002,Replace approximately 200 large antiquated valves,347052,2000000.0,1140000.0,3140000.0,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
89,Passaic Valley Water Commission,1605002-017,NJ1605002,Installation of 7000 LF of 12-inch main to replace Granite  Ave storage tank,347052,1700000.0,1008000.0,2708000.0,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
89,Passaic Valley Water Commission,1605002-019,NJ1605002,Installation of 2200 LF of 12-inch main to connect Eastside  Pumping station to Patersons downtown area,347052,600000.0,420000.0,1020000.0,75,0,20,0,0,0,80,3.47052,178.47052,BIL (GEN)
90,Newark City,0714001-010,NJ0714001,"Replacement of 38,234 old water meters in the  distribution system.",285000,19000000.0,7540000.0,26540000.000,25,50,20,0,0,0,80,2.85,177.85,BIL (GEN)
91,Newark City,0714001-018,NJ0714001,Replacement of Water Distribution Mains,273000,3000000.0,2070000.0,5070000.0,75,0,20,0,0,0,80,2.73,177.73,BIL (GEN)
92,Atlantic City Municipal Utilities Authority,0102001-007,NJ0102001,Water Main Replacement Program,94225,$-,$-,$-,75,0,20,0,0,0,80,0.95,175.95,BIL (GEN)
94,"NJ American Water Company, Incorporated",2004002-014,NJ2004002,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,31209707.0000000,3088865.0,37983523.0000000,100,50,20,0,0,0,0,3.15315,173.15315,NA
95,Jersey City Municipal Utilities Authority,0906001-019,NJ0906001,Route 139 Water Main Replacement Project,262000,5000000.0,1060000.0,6060000.0,75,50,20,5,5,0,15,2.62,172.62,NA
96,Wildwood City,0514001-006,NJ0514001,2019 Capital Improvements (Drinking Water),94333,4756510.0,478605.0,6183203.0,75,0,15,0,0,0,80,0.943327,170.94333,BIL (GEN)
97,Manchester Township,1518005-001,NJ1518005,Various main replacements,26877,243890.0,56585.0,300475.0,75,0,15,0,0,0,80,0.26877,170.26877,BIL (GEN)
99,Lower Township Municipal Utilities Authority,0505002-004,NJ0505002,Del Haven Water Main Expansion / Wildwood Water  Utility Interconnect,7222,8550000.0,NA,10260000.000,125,0,15,0,0,0,30,0.07222,170.07222,BIL (GEN)
100,Seaside Park Borough,1527001-004,NJ1527001,Well 10 Treatment Facility,1700,495000.0,99000.0,594000.0,40,50,0,0,0,0,80,0.017,170.017,NA
101,North Jersey District Water Supply Commission,1613001-031,NJ1613001,Purchase and Install New Dewatering System,150,2469700.0,1215800.0,3685500.0,100,50,20,0,0,0,0,0.0015,170.0015,NA
101,North Jersey District Water Supply Commission,1613001-026,NJ1613001,Low Lift Gas Pump,872153,9142875.0,3665650.0,12808525.0000000,100,50,20,0,0,0,0,0.0015,170.0015,NA
103,Arthur Road Well Association,1912007-001,NJ1912007,Connection of this system to Hopatcong Borough,60,200000.0,299500.0,499500.0,170,0,0,0,0,0,0,0.0006,170.0006,NA
104,North Jersey District Water Supply Commission,1613001-035,NJ1613001,Rehabilitation of Pump Stations,872153,1000000.0,5181742.0,6181742.0,60,50,20,0,0,0,30,8.72153,168.72153,NA
104,North Jersey District Water Supply Commission,1613001-019,NJ1613001,Ramapo Pump Station Improvements,872153,12000000.0,6750000.0,18750000.000,60,50,20,0,0,0,30,8.72153,168.72153,NA
104,North Jersey District Water Supply Commission,1613001-021,NJ1613001,Implementation of alternative energy generation systems  at the Wanaque TP,872153,2500000.0,1790000.0,4290000.0,45,50,20,0,0,15,30,8.72153,168.72153,NA
105,"NJ American Water Company, Incorporated",1345001-021,NJ1345001,Swimming River WTP 2nd Clearwell,335449,16973964.0000000,5143230.0,22117194.0000000,100,50,0,0,0,0,15,3.35449,168.35449,NA
107,Camden City,0408001-022,NJ0408001,Install potable wells/flr elevations at Morris Delair WTP,46585,100000.0,1160000.0,1260000.0,15,50,20,0,0,0,80,0.46585,165.46585,BIL (GEN)
108,Passaic Valley Water Commission,1605002-020,NJ1605002,Replacement of Prospect Park storage tank,347052,800000.0,560000.0,1360000.0,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
108,Passaic Valley Water Commission,1605002-023,NJ1605002,Decommissing of Granite Avenue Tank,347052,1700000.0,1008000.0,2708000.0,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
109,Brick Township Municipal Utilities Authority,1506001-014,NJ1506001,"Water Main Replacement on Cartagena Drive, Alhama  Drive, Cadiz Drive, Valencia Drive and Monterey Drive",86898,1600000.0,495000.0,2095000.0,75,50,20,0,0,0,15,0.86898,160.86898,NA
110,Passaic Valley Water Commission,0231001-002,NJ0231001,Lead Service Line Replacement in Lodi System,24551,6000000.0,7000000.0,7200000.0,125,0,0,0,5,0,30,0.24136,160.24136,BIL (LSLR)
111,Berkeley Township Municipal Utilities Authority,1505004-003,NJ1505004,Install new solar panels at treatment plant,8130,750000.0,525000.0,1275000.0,45,0,20,0,0,15,80,0.0813,160.0813,BIL (GEN)
112,Netcong Borough,1428001-002,NJ1428001,Replacement of leaking water mains,3236,1150000.0,766000.0,1916000.0,75,50,15,5,0,0,15,0.03236,160.03236,NA
112,Netcong Borough,1428001-004,NJ1428001,Replacement of 8in water main,3236,1597665.0,962972.0,2560637.0,75,50,15,5,0,0,15,0.03236,160.03236,NA
113,Berkeley Township Municipal Utilities Authority,1505323-001,NJ1505323,Northern Blvd Water Tower Rehabilitation Project,10800,1600000.0,NA,2080000.0,60,0,20,0,0,0,80,0.0015,160.0015,NA
114,Jersey City Municipal Utilities Authority,0906001-034,NJ0906001,Boonton Water Treatment Plant Electric Substation/  Distribution System Improvements,262000,15000000.0,1700000.0,18000000.0,100,0,15,5,5,0,30,2.62,157.62,NA
115,Wildwood City,0514001-004,NJ0514001,Wildwood Boardwalk water main replacement,45500,1820080.0,674016.0,2494096.0,75,0,0,0,0,0,80,0.454997,155.455,BIL (GEN)
116,Dover Town,1409001-001,NJ1409001,Lead Service Lines,16000,15000000.0,NA,18000000.0,125,0,15,0,0,0,15,0.27806,155.27806,NA
116,Dover Town,1409001-003,NJ1409001,Water Main Replacement,16000,4000000.0,NA,5080000.0,75,50,15,0,0,0,15,0.27806,155.27806,NA
116,Dover Town,1409001-004,NJ1409001,Valve and Fire Hydrant Replacement,16000,5000000.0,NA,6350000.0,75,50,15,0,0,0,15,0.27806,155.27806,NA
120,Hopatcong Borough,1912001-001,NJ1912001,Hudson Avenue Water Main Installation,7224,750000.0,150000.0,900000.0,125,0,15,0,0,15,0,0.07224,155.07224,NA
121,Bayonne City,0901001-005,NJ0901001,City of Bayonne Lead Service Line Replacement Project,71686,19000000.0,105000.0,22800000.00,125,0,0,0,0,0,30,0.063,155.063,BIL (LSLR)
123,Clementon Borough,0411001-001,NJ0411001,Rehab of Gibbsboro Water Main (White Horse Pike &  White Horse Rd.),5003,300000.0,156750.0,456750.0,75,0,0,0,0,0,80,0.05006,155.05006,BIL (GEN)
125,Sussex Borough,1921001-007,NJ1921001,Sussex Borough Main Street Water Main Replacement  Project,2201,496477.0,644047.0,595772.0,75,0,0,0,0,0,80,0.02201,155.02201,BIL (GEN)
126,Sussex Borough,1921001-006,NJ1921001,Water Systems Enhancements,2130,186000.0,37200.0,223200.0,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
