Municipality Name,,Project #,,Rating,,Project Description,"Loan Request
$",Population Served,,,Poverty Rate %,,Loan Forgiveness (Discretionary),,,Loan Forgiveness (Disadvantaged Community),,
Ellsworth Co. RWD #1 Post Rock,,3031,,8,,"Replace Waterlines and Meters, Storage Tank Improvements","$3,000,000","7,245",,,8.6%,,,,,,,
Newton,,3150,,8,,Waterline Replacement and Tower Rehabilitation,"$5,882,500","18,861",,,10.8%,,,,,,,
Hutchinson,,3182,,8,,Replace Waterlines,"$1,750,000","40,383",,,14.0%,,,,,"$525,000",,
Ingalls,,3074,,7,,Emergency Power Generator,"$54,000",289,,,0.0%,,,,,,,
Johnson Co RWD#7,,3163,,7,,"Waterline Replacement  along Columbia Rd, South of 223rd Street","$1,500,000","6,457",,,3.9%,,,,,,,
Bonner Springs,,3106,,7,,Replace Waterlines,"$2,500,000","7,906",,,11.2%,,,,,,,
Derby - El Paso Water Company,,3018,,7,,Waterline Replacement,"$270,000","24,721",,,6.4%,,,,,,,
WaterOne,,3113.4,,7,,"Waterline Replacement on Rosewood St, 51st to Sycamore","$128,000","469,000",,,14.9%,,,,,"$38,400",,
WaterOne,,3113.1,,7,,"Waterline Replacement on Ash Street, 51st to Sycamore Drive in Roeland Park","$150,000","469,000",,,14.9%,,,,,"$45,000",,
WaterOne,,3113.3,,7,,"Waterline Replacement on Foster St, 54th Ter to 57th St in Merriam","$418,000","469,000",,,12.8%,,,,,"$125,400",,
WaterOne,,3113.2,,7,,Waterline Replacement at the Hillsborough Apts in Merriam,"$950,000","469,000",,,14.8%,,,,,"$285,000",,
WaterOne,,3124,,7,,"30"" Transmission Main Replacement on Switzer and Flint Street","$6,300,000","469,000",,,4.7%,,,,,,,
Hutchinson,,3025,,6,,Waste and Raw Water Line Improvements at the Water Treatment Plant,"$1,500,000","41,258",,,14.0%,,,,,"$450,000",,
WaterOne,,3120,,5,,"New 3,000 KW Natural Gas Engine Backup Generator at Wyss Pumpstation","$9,273,840","469,000",,,4.7%,,,,,,,
"$362,953,453                                                  $1,055,000            $29,628,537",,,,,,,,,,,,,,,,,,
"33.14%                                              of funds on PPL for systems serving population of less than 5,000 for Base PPL
48.03%                                              of funds on PPL for systems serving population of less than 10,000 for Base PPL",,,,,,,,,,,,,,,,,,
2023 KPWSLF Lead Service Line Project Priority List,,,,,,,,,,,,,,,,,,
"Final       July 1, 2022",,,,,,,,,,,,,,,,,,
Municipality Name,,Project #,,Rating,,Project Description,,,"Loan Request
$",,,Population Served,,,Poverty Rate %,,"Loan Forgiveness (Disadvantaged
Community)",
Olathe,,3126,,45,,Lead Service Line Replacement in Qualifying Census Tracts,,,"$3,162,000",,,"140,545",,,12.0%,,"$1,549,380",
Salina,,3185,,30,,Loan to Conduct Service Line Inventory,,,"$196,900",,,"46,550",,,11.6%,,"$96,481",
Lyon Co RWD#3,,3188,,25,,Loan to Conduct Service Line Inventory,,,"$100,000",,,479,,,4.0%,,,
Osage City,,3144,,25,,Loan to Conduct Service Line Inventory,,,"$100,000",,,"2,809",,,24.2%,,"$49,000",
St. John,,3137,,23,,Remove all Lead Service Lines and Materials,,,"$250,000",,,"1,176",,,12.5%,,"$122,500",
Strong City,,3180,,20,,Loan to Conduct Service Line Inventory,,,"$250,000",,,455,,,10.3%,,,
Eureka,,3159,,20,,Loan to Conduct Service Line Inventory,,,"$100,000",,,"2,346",,,21.0%,,"$49,000",
Salina,,3184,,20,,"Lead Service Line Replacement  to Replace Identified 1,400 Service Lines",,,"$7,100,000",,,"46,550",,,11.6%,,"$3,479,000",
Humboldt,,3183,,18,,Loan to Conduct Service Line Inventory,,,"$100,000",,,"1,762",,,17.4%,,"$49,000",
Edgerton,,3173,,18,,Loan to Conduct Service Line Inventory,,,"$100,000",,,"1,784",,,4.3%,,,
Fredonia,,3168,,18,,Loan to Conduct Service Line Inventory,,,"$1,000,000",,,"2,225",,,18.5%,,"$490,000",
Baldwin City,,3139,,16,,Loan to Conduct Service Line Inventory,,,"$100,000",,,"4,700",,,7.9%,,,
Delphos,,3169,,15,,Replace the Remaining Galvanized Service Connections From Meter Pit to House Foundations,,,"$1,000,000",,,330,,,15.9%,,"$490,000",
Kansas City BPU,,3161,,15,,Galvanized Service Line Replacement From the Main to the House,,,"$6,034,000",,,"152,960",,,19.2%,,"$2,956,660",
Lawrence,,3174,,10,,Loan to Conduct Service Line Inventory,,,"$500,000",,,"98,219",,,18.8%,,"$245,000",
Kansas City BPU,,3189,,10,,Loan to Conduct Service Line Inventory,,,"$750,000",,,"152,960",,,19.2%,,"$367,500",
"$20,842,900                                                        $9,943,521
14.87%  of funds on PPL for systems serving population of less than 5,000 for LSL PPL 14.87%  of funds on PPL for systems serving population of less than 10,000 for LSL PPL",,,,,,,,,,,,,,,,,,
2023 KPWSLF Emerging Contaminants Project Priority List,,,,,,,,,,,,,,,,,,
"Fnal       July 1, 2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,Loan Request,,,,Population,,Loan,,
Municipality Name,Project #,,Rating,,Project Description,,,,,$,,,,Served,,Forgiveness,,
Hillsboro,3166,,38,,Rehab WTP and Install Equipment to Resolve Manganese Contaminant in the Water System,,,,,"$1,100,000",,,,"2,816",,"$1,100,000",,
Jetmore,3136,,30,,New Well to Resolve Manganese Contamination in the Existing Well,,,,,"$750,000",,,,813,,"$750,000",,
Bunker Hill,3165,,25,,Waterline Connection to Neighboring Water District to Resolve High Levels of Manganese,,,,,"$650,000",,,,94,,"$650,000",,
McPherson  BPU,3181,,24,,"Three New Wells, Transmission Line, and Greensand Filtration System to Treat  for",,,,,"$10,769,130",,,,"13,061",,"$3,000,000",,
Ness City,3141,,23,,New Water Treatment Plant with Catalytic Filtration System for Manganese Removal,,,,,"$2,860,000",,,,1303,,"$2,860,000",,
Seneca,3172,,23,,New Water Treatment Plant with Catalytic Filtration System for Manganese Removal,,,,,"$3,850,000",,,,"2,075",,"$3,000,000",,
Canton,3135,,20,,New Wells to Resolve Manganese Levels in the Existing Wells,,,,,"$800,000",,,,695,,"$800,000",,
Bonner Springs,3155,,16,,Greensand filters and Ancillary Equipment for the New WTP to Treat Manganese,,,,,"$2,500,000",,,,"7,906",,"$2,500,000",,
Vermillion,3176,,15,,Water distribution system replacement to get rid of manganese build up in the system,,,,,"$4,473,398",,,,102,,"$3,000,000",,
"$27,752,528                                $17,660,000",,,,,,,,,,,,,,,,,,
"52.19%  of funds on PPL for systems serving population of less than 5,000 for EC PPL 61.20%  of funds on PPL for systems serving population of less than 10,000 for EC PPL
100.00%  of loan forgiveness on EC PPL will be awarded to systems serving population of 25,000 or less",,,,,,,,,,,,,,,,,,
