Project.Number,County,System Name,Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Code
18898,Wyoming,PERRY VILLAGE,Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Storage",3945,0,H,28475000,BGS
18846,Otsego,RICHFIELD SPRINGS (V),Richfield Springs (V),"Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping, Upgrade Water Treatment Plant, New Pump Station, New Distribution System",1500,20680000,H,49155000,BGS
18270,Essex,CHILSON-EAGLE LAKE WD,Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",200,14000000,H,63155000,
18860,Herkimer,HERKIMER (V),Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection., Upgrade Storage, Upgrade Distribution System, New Inter-Connection",7606,17498670,H,80653670,
18941,Broome,ENDICOTT (V),Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source",46000,7310218,H,87963888,
18289,Oneida,ROME CITY,Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System",32000,11235000,H,99198888,
18709,Essex,ELIZABETHTOWN WD,Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",800,3744565,H,102943453,
19242,Wyoming,GARDEAU WATER DISTRICT,Castile (T),"Gardeau WD main replacement and district extension, Upgrade Distribution System, Extend Water District",60,2755250,H,105698703,
19151,St.Lawrence,MORRISTOWN WATER DISTRICT,Morristown (T),"WTP & Distribution Improvements. Water Service Expansion in existing WD., New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, New Water District",777,10145500,H,115844203,
19258,Franklin,TUPPER LAKE (V),Tupper Lake (V),"Tupper Lake Intake and WTP Rehab., Upgrade Water Treatment Plant, Upgrade Surface Water Source",5500,12897900,H,128742103,
18213,Monroe,ROCHESTER CITY,Rochester (C),"Cover Highland Reservoir, Upgrade Storage",214000,7200000,H,135942103,
18711,Herkimer,EAST SCHUYLER WD,Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection., New Transmission, New Distribution System, New System Consolidation",816,7391280,H,143333383,
19240,Jefferson,WEST CARTHAGE (V),West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System",5016,21945180,H,165278563,
18911,Jefferson,LERAY TOWN WD 2,LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System",2500,4000000,H,169278563,
18716,Herkimer,WEST HERKIMER WD EXT NO. 1,Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection., New Transmission, New Distribution System, New System Consolidation",150,1839580,H,171118143,
18715,Herkimer,FRANKFORT (V) WATER WORKS,Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection., New Transmission, Upgrade Distribution System, New System Consolidation",2995,8667450,H,179785593,
18090,Dutchess,REVERE PARK (E.FISH.WD#2),East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,0,1205,179785593,
18720,Onondaga,ELBRIDGE (V),Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades., Upgrade Storage, Upgrade Distribution System, New System Consolidation",1100,3500000,1180,183285593,
18719,Onondaga,ELBRIDGE (T),Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades., Upgrade Storage, Upgrade Distribution System, New System Consolidation",1000,5000000,1180,188285593,
18537,Jefferson,ORLEANS WATER IMPROVEMENTS,Orleans (T),"Consolidation of PWS w/ violations and to serve contaminated private wells., Extend Distribution System",450,0,1135,188285593,
17572,Schoharie,SHARON SPRINGS VILLAGE,Sharon Springs (V),"Water system improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",547,450000,1125,188735593,
18746,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Disinfection byproduct removal, new meters and SCADA, storage tank replacement, system consolidation., Upgrade Storage, Upgrade Distribution System, New System Consolidation",7975,1500000,1105,190235593,
18574,Cattaraugus,ELLICOTTVILLE (T) & (V),Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,0,1100,190235593,
18448,Montgomery,FONDA (V) WATER WORKS,Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage",1080,0,1095,190235593,
18577,Saratoga,MECHANICVILLE CITY,Mechanicville (C),"Filtration Upgrades., Upgrade Water Treatment Plant",5100,100000,1095,190335593,
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E,Hastings (T),New Distribution System,1500,0,1095,190335593,
18173,Jefferson,BROWNVILLE (T),Brownville (T),"(T) Brownville WD#2., New Distribution System",424,0,1095,190335593,
18982,Essex,WILLSBORO WD,Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System",1571,12157962,1090,202493555,
18764,Greene,CATSKILL (V),Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street., Upgrade Water Treatment Plant, Upgrade Distribution System",4081,0,1090,202493555,
18939,St.Lawrence,HERMON WATER DISTRICT NO. 1,Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution System",1060,0,1090,202493555,BGS
18583,Orange,PINE BUSH WATER DISTRICT,Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission",7000,0,1085,202493555,
18242,Yates,DRESDEN (V),Dresden (V),"THM removal aeration equipment and flushing hydrants, Upgrade Storage",700,0,1085,202493555,
18843,Cattaraugus,PORTVILLE VILLAGE,Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1040,0,1085,202493555,BGS
17299,Albany,RAVENA VILLAGE,Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System",4500,0,1080,202493555,
19215,Wayne,NEWARK VILLAGE,Newark (V),"New 4.0 MG storage tank to replace Allerton Reservoir, New Storage",9682,0,1080,202493555,BGS
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S,Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,0,1080,202493555,
17422,Herkimer,"HERKIMER (T), WD NO. 3",Herkimer (T),"New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,0,1080,202493555,
18309,Chenango,GUILFORD WATER DISTRICT,Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,0,1075,202493555,
18584,Rensselaer,BERLIN WATER DISTRICT # 2,Berlin (T),"Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,0,1070,202493555,
18903,Albany,ALBANY (C),Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",98000,0,1070,202493555,BGS
18976,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System",17991,0,1070,202493555,
18936,Jefferson,ALEXANDRIA VILLAGE,Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System",1900,0,1070,202493555,BGS
19420,Dutchess,GREENFIELD WATER DISTRICT,DCWWA,"Interconnection of Greenfields Water System to Hyde Park Regional Water System to address PFAS contamination, Upgrade Water Treatment Plant, New Pump Station, New Inter-Connection",1050,0,1055,202493555,BEC
18810,Nassau,WA OF GREAT NECK NORTH,Water Auth - Great Neck North,"Phase 2 of Project #18146. Resiliency and redundancy at wells 2A, 5, 6, 8 and 11A, Backup generators at wells 6 and 10A., Upgrade Other Expenses, Upgrade Other (OT)",31400,0,1020,202493555,SMLP
19814,Albany,RENSSELAERVILLE WATER DISTRICT,Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,2551786,145,205045341,
16339,Jefferson,WELLESLEY ISLAND WATER CORP.,Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,6354590,140,211399931,
19225,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System",33200,35800000,140,247199931,
18915,Onondaga,CARDIFF WATER DISTRICT,LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",70,4894000,135,252093931,
19782,NY City,NEW YORK CITY,NYCMWFA,"Hillview Reservoir Improvements - Chemical Storage and Chemical Feed Bldgs (HVR-200 & HVR-210), Upgrade Surface Water Treatment Rule Compliance Facility",8271000,75000000,130,327093931,
17488,Westchester,WESTCHESTER JOINT WATER WORKS,WJWW,"Funding Phase 1a of Project #18654 and #18269. Construction of 30 MGD filter plant, New Surface Water Treatment Rule Compliance Facility",46054,55000000,125,382093931,
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY,Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District",42653,54882970,125,436976901,
19489,Clinton,SCHUYLER FALLS (T),Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation",4843,5500000,125,442476901,BEC
19335,Seneca,SENECA FALLS (T),Seneca Falls (T),"Phase 1 of overall #19196 Project - WTP Upgrades and WM Extension, Upgrade Water Treatment Plant",9027,23500000,125,465976901,
19541,Onondaga,ROUTE 11A WATER DISTRICT,Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",26,2747000,120,468723901,
19529,Chautauqua,MAYVILLE (V),Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source",2000,9418000,115,478141901,BGS
19102,Schuyler,ODESSA VILLAGE,Odessa (V),"Treatment Plant for iron, manganese, and arsenic; Water Main replacement; Tank mixer, New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",810,10251410,115,488393311,BGS
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD,Schroeppel (T),"New South Water District., New Water District",8049,25450000,115,513843311,
19760,Lewis,CROGHAN (V),Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,10197000,110,524040311,
18973,Suffolk,RIVERHEAD WD,Riverhead (T),"WD Extension - Forge Rd MHPs due to PFOA/PFOS and Mn contamination in private wells, Extend Distribution System, Extend Water District",28000,1185000,110,525225311,BEC
19741,Westchester,SCOTTS CORNER WD,Pound Ridge (T),"Creation of the Scotts Corners WD to serve area with private wells contaminated by PFAS, New Water District",114,10907000,110,536132311,
18954,Westchester,SOMERS HAMLET WD,Somers (T),"New drinking water distribution system to address PFAS contamination, New Distribution System, New Water District",100,2912700,110,539045011,BEC
19093,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",19515,5240000,105,544285011,BGS
19781,Cattaraugus,CATTARAUGUS (V),Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System",1185,10788220,105,555073231,
19828,Washington,ARGYLE (V),Argyle (V),"Upgrade Source, Rehab Storage, Upgrade Distribution, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,14800000,105,569873231,
18717,Chenango,SOUTH OTSELIC WATER DISTRICT,Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,4259000,105,574132231,BGS
19545,Montgomery,FLORIDA (T),Florida (T),"Fort Hunter Extension & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,8111250,105,582243481,
19140,Jefferson,WATERTOWN WD #3 & #4,Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,10135200,105,592378681,
19061,Wyoming,ATTICA (V),Attica (V),"Water Treatment Plant Upgrades, Upgrade Water Treatment Plant",5515,10926240,100,603304921,
19830,Clinton,PERU (T),Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage",6772,9400000,100,612704921,
19525,Chautauqua,CLYMER (T),Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,10707880,100,623412801,
18531,Franklin,SARANAC LAKE (V),Saranac Lake (V),"New Surface Water Source, WM Replacement, New Water Treatment Plant, New Surface Water Source, Upgrade Distribution System",4887,22635000,100,646047801,
19182,Oneida,TRENTON (T),Trenton (T),"Hamlet of Barneveld distribution and storage improvements and MVWA connection, Upgrade Storage, Upgrade Distribution System",300,11113000,100,657160801,
19517,Lewis,TURIN (V),Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,6952500,100,664113301,BGS
17978,Jefferson,NORTHEAST WATER DISTRICT,Watertown (T),"New Northeast Water District, New Water District",550,8085000,100,672198301,
19170,Dutchess,PAWLING VILLAGE,Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source",1907,4000000,95,676198301,
19506,Greene,ATHENS (V),Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility",1586,1331338,95,677529639,
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT,Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,6942000,95,684471639,BGS
19154,Jefferson,WATERTOWN (C),Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant",65000,58300000,95,742771639,BGS
17093,Otsego,HARTWICK WATER DISTRICT,Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,3760078,95,746531717,
18923,Chenango,NEW BERLIN (V),New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",1000,19550000,95,766081717,BGS
19521,Lewis,PORT LEYDEN (V),Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,10197000,95,776278717,
18756,Lewis,CONSTABLEVILLE (V),Constableville (V),"Watermain replacement, raw water transmission main replacement, spring storage basin repair/upgrades., Upgrade Transmission, Upgrade Distribution System",310,13600000,95,789878717,
19538,Chautauqua,CHAUTAUQUA (T),Chautauqua (T),"WD No. 5 on Westlake Rd, Upgrade Water District",650,9591360,95,799470077,BGS
16510,Schenectady,DELANSON (V),Delanson (V),"Address Stage 2 DBPR Violation., Upgrade Water Treatment Plant",335,1767425,90,801237502,
18869,Essex,KEENE WD,Keene (T),"WD #2. New redundant well and upgrades to well building., New Ground Water Source",238,6355150,90,807592652,
19571,Seneca,OVID (V),Ovid (V),"New UF and RO systems, tank mixing and ventilation systems, replacement of water main., New Other Expenses, New Water Treatment Plant, Upgrade Distribution System, New Other (OT)",1056,4438167,90,812030819,BGS
19244,Cattaraugus,SALAMANCA (C),Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant",7696,28040556,90,840071375,BGS
19552,Allegany,FRIENDSHIP (T),Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System",1400,12450000,90,852521375,
18670,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane and PFAS removal at Clinton Street Plant, Upgrade Water Treatment Plant, Upgrade Storage",56000,53266504,90,905787879,
18097,Jefferson,CLAYTON VILLAGE,Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",2100,0,90,905787879,
18854,Seneca,WILLARD WD,Romulus (T),"Willard WD Distribution Improvements., Upgrade Distribution System",372,2659853,90,908447732,
19051,Allegany,SCIO WATER DISTRICT,Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,2550000,90,910997732,BGS
17417,Delaware,ARKVILLE WATER DISTRICT,Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,1833375,90,912831107,
19802,Lewis,LYONSDALE (T),Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1., New Water District",783,5871000,90,918702107,
19840,Chautauqua,BUSTI (T),Busti (T),"Town of Busti WD Extension and Improvement, New Distribution System",355,5818200,90,924520307,
19785,Chautauqua,ELLICOTT (T),Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,10300000,90,934820307,
19798,Oneida,VIENNA FAR EAST WATER DISTRICT,Vienna (T),"New Far East Water District., New Water District",162,9925000,90,944745307,
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE,South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station, Upgrade Distribution System",1500,7837762,85,952583069,
19547,Erie,AKRON VILLAGE,Akron (V),"Improve Water Storage Tank. Install TTHM Removal System, Upgrade Storage",2900,6500000,85,959083069,BGS
18197,Otsego,ONEONTA CITY,Oneonta (C),"WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage",15779,8072625,85,967155694,BGS
18872,Herkimer,HERKIMER (V),Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements., New Ground Water Source, New Storage, Upgrade Distribution System",7606,20597940,85,987753634,BGS
18126,Jefferson,BROWNVILLE (V),Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System",2200,18948500,85,1006702134,
19502,NY City,NEW YORK CITY,NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 [Phase 3 of DWSRF 18828)], New Transmission",8271000,75000000,85,1081702134,EQ
18367,Delaware,FISH'S EDDY WATER DISTRICT,Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",100,4184504,85,1085886638,BGS
18430,Hamilton,BLUE MT LAKE WD,Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,5000000,80,1090886638,
19794,Franklin,BIRCH MOBILE HOME PARK,Birch Park MHP,"Installation of GAC for PFAS, new well, new disinfection, Upgrade Water Treatment Plant, New Ground Water Source",90,668923,80,1091555561,
19714,Suffolk,GREENLAWN WD,Greenlawn WD,"Wellhead Treatment for PFAS & VOCs at Well Nos 10 & 15, Upgrade Water Treatment Plant",42000,4562500,80,1096118061,
19337,Nassau,PORT WASHINGTON WD,Port Washington WD,"Installation of GAC treatment to remove PFAS at Hewlett Well No. 4, Upgrade Water Treatment Plant",30000,7723610,80,1103841671,
19485,Nassau,PORT WASHINGTON WD,Port Washington WD,"New GAC to remove PFAS contamination at Ricks Well 7, Upgrade Water Treatment Plant",30000,9527500,80,1113369171,BEC
18942,Rockland,SUFFERN (V),Suffern (V),"PFAS Removal, Upgrade Water Treatment Plant",11000,532800,80,1113901971,
19369,Nassau,WILLISTON PARK (V),Williston Park (V),"Well No.4 GAC PFAS treatment, Upgrade Water Treatment Plant",7300,8681870,80,1122583841,
19125,Ontario,RUSHVILLE (V),Rushville (V),"WTP Improvements to address harmful algal blooms and cyanotoxins, Upgrade Water Treatment Plant",2028,1500000,80,1124083841,BEC
18825,Lewis,COPENHAGEN (V),Copenhagen (V),"Interconnection with Carthage / West Carthage - Source Capacity, Upgrade Water Treatment Plant",723,6264300,80,1130348141,
19750,Dutchess,QUAKER HILL WATER SYSTEM,DCWWA,"Quaker Hill WS Interconnection with Hyde Park Regional WS to resolve PFAS contamination at Quaker Hill., New Pump Station, New Inter-Connection",350,21875700,80,1152223841,
19567,Rensselaer,TROY (C),Troy (C),"Corrosion Control Treatment Optimization, Upgrade Water Treatment Plant",51400,16070000,80,1168293841,BGS
18315,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"New Storage, Upgrade Distribution System",17991,1000000,80,1169293841,
18535,Albany,WATERVLIET (C),Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission",10450,0,80,1169293841,FMP
18967,Nassau,TOWN OF HEMPSTEAD WD,Hempstead (T),"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant",110000,8110000,80,1177403841,
19332,Suffolk,RIVERHEAD WD,Riverhead (T),"Well No. 5-1 PFAS removal, Upgrade Water Treatment Plant",28000,2200000,80,1179603841,
19820,Schenectady,GLENVILLE (T),Glenville (T),"Installation of GAC for PFAS removal., Upgrade Water Treatment Plant",16000,8799355,80,1188403196,
19266,Sullivan,WOODRIDGE (V),Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",747,16200000,80,1204603196,BGS
18681,Broome,ENDICOTT (V),Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant",46000,18473853,80,1223077049,
18128,Cayuga,PROPOSED WD #2,Sterling (T),"Water District #2., Extend Distribution System",500,6669393,80,1229746442,
18910,Oswego,VOLNEY TOWN WD,Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System",103,710365,80,1230456807,
