Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19554,Albany,ALBANY (C),Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System",100000,7628722,35,90135158
19059,Albany,GUILDERLAND (T),Guilderland (T),"Greensand Groundwater Filtration system., Upgrade Water Treatment Plant",36862,6599000,35,96734158
18333,Albany,MENANDS VILLAGE,Menands (V),"South End Water System Improvements., Upgrade Distribution System",3900,0,35,96734158
19783,Albany,GREEN ISLAND (V),Green Island (V),"Install treatment to remove PFAS, Upgrade Water Treatment Plant",3500,1009400,30,97743558
19878,Albany,COHOES (C),Cohoes (C),"Lead service line inventory., Upgrade Distribution System",16883,140288,30,97883846
19443,Albany,RAVENA (V),Ravena (V),"Lead service line inventory., Upgrade Distribution System",3271,345050,25,98228896
19152,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"NYS Route 85 Transmission Main Replacement, Upgrade Transmission",31000,6695000,20,104923896
19150,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"Elevated Water Storage Tank Replacement, Upgrade Storage",31000,3900000,15,108823896
19341,Albany,BETHLEHEM WD NO 1 - NEW SALEM SYSTEM,Bethlehem (T),"Rehabilitation of 3.0 MG Storage Tank, Upgrade Storage",31000,2500000,15,111323896
19880,Albany,LATHAM WATER DISTRICT,Colonie (T),"Lead service line inventory., Upgrade Distribution System",85590,2039679,15,113363575
18358,Allegany,ANDOVER (V),Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements, New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation",2500,3155000,1135,116518575
19552,Allegany,FRIENDSHIP (T),Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System",1400,12450000,90,128968575
19051,Allegany,SCIO WATER DISTRICT,Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,2550000,90,131518575
19752,Allegany,BELMONT (V),Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System",1324,8712667,75,140231242
19788,Allegany,WISCOY-ROSSBURG WD,Hume (T),"New Wiscoy-Rossburg Water District, New Water District",235,6946320,70,147177562
18896,Allegany,CUBA (V),Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1500,0,60,147177562
19213,Allegany,WELLSVILLE (V),Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System",5700,6828000,60,154005562
18622,Allegany,ALFRED VILLAGE WATER SUPPLY,Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3500,1500000,55,155505562
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER,Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System",5700,1596912,55,157102474
19650,Allegany,BOLIVAR (V),Bolivar (V),"WM Replacement Throughout Village., Upgrade Distribution System",1600,4100000,40,161202474
19531,Allegany,ANGELICA (V),Angelica (V),"Replacement of WM and Formation of WD, Upgrade Distribution System",713,4610280,40,165812754
19551,Allegany,ALMOND (V),Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,1025000,25,166837754
18941,Broome,ENDICOTT (V),Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source",46000,7310218,120,174147972
18681,Broome,ENDICOTT (V),Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant",46000,18473853,80,192621825
18610,Broome,VESTAL CONSOLIDATED W.D. #1,Vestal (T),"Old Vestal & Burn Hill Rd Watermain., Upgrade Distribution System",20950,1652683,35,194274508
18544,Broome,PORT DICKINSON (V),Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd., Upgrade Distribution System",1699,7200000,35,201474508
18256,Broome,CHENANGO CONSOLIDATED WD #1,Chenango (T),"New well and appurtenances as redundancy for Northgate Well., New Ground Water Source",9200,2519195,30,203993703
19748,Broome,DEPOSIT (V),Deposit (V),"Water System Upgrades, Upgrade Distribution System",1387,7403678,30,211397381
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD,Binghamton (T),"Powers Road Storage Tank Replacement., New Storage",2600,939393,25,212336774
18907,Cattaraugus,LITTLE VALLEY VILLAGE,Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant",1188,0,1135,212336774
18842,Cattaraugus,SOUTH DAYTON VILLAGE,South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,0,1120,212336774
18574,Cattaraugus,ELLICOTTVILLE (T) & (V),Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage",900,0,1100,212336774
18843,Cattaraugus,PORTVILLE VILLAGE,Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant",1040,0,1085,212336774
19781,Cattaraugus,CATTARAUGUS (V),Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System",1185,10788220,105,223124994
19244,Cattaraugus,SALAMANCA (C),Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant",7696,28040556,90,251165550
18813,Cattaraugus,FRANKLINVILLE (V),Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source",728,0,60,251165550
19026,Cattaraugus,OLEAN (C),Olean (C),"WTP Upgrades and Structural Rehabilitation, Upgrade Water Treatment Plant",13937,4801500,45,255967050
19612,Cattaraugus,YORKSHIRE (T),Yorkshire (T),"Lead Service Line Inventory, Upgrade Distribution System",1000,206000,40,256173050
19839,Cattaraugus,ALLEGANY (T),Allegany (T),"Water District 1A Improvements, Upgrade Distribution System",625,2149000,30,258322050
19613,Cattaraugus,RANDOLPH (T),Randolph (T),"Lead Service Line Inventory, Upgrade Distribution System",1960,563000,25,258885050
19617,Cattaraugus,FRANKLINVILLE (V),Franklinville (V),"Lead Service Line Replacement, Upgrade Distribution System",293,2626000,25,261511050
19060,Cattaraugus,ALLEGANY VILLAGE,Allegany (V),"2021 Water Meter Upgrades, Upgrade Other Expenses, Upgrade Other (OT)",1900,163915,25,261674965
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY,Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District",42653,54882970,125,316557935
18564,Cayuga,AURORA (V) NEW SYSTEM,Aurora (V),"New WTP, New Transmission, New Inter-Connection",700,10370000,105,326927935
18128,Cayuga,PROPOSED WD #2,Sterling (T),"Water District #2., Extend Distribution System",500,6669393,80,333597328
19411,Cayuga,AUBURN (C),Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System",43000,917988,70,334515315
19773,Cayuga,MONTEZUMA WD 2,Montezuma (T),"Expansion of water system, creation of Town's service area no. 2., Extend Distribution System",250,9143282,60,343658597
19133,Cayuga,WEEDSPORT (V),Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System",1945,22008000,55,365666597
19770,Cayuga,FLEMING-SPRINGPORT WD,Fleming (T),"New water main to interconnect Fleming-Springport WD, Fleming Consolidated WD, and Owasco WD., Upgrade Distribution System, New Inter-Connection",5525,8005160,55,373671757
19073,Cayuga,WD NO. 10,Brutus (T),"Water District No. 10, New Water District",90,1100000,50,374771757
19074,Cayuga,WD NO. 11,Brutus (T),"Water District No. 11, New Water District",116,1430000,50,376201757
18924,Cayuga,CAYUGA COUNTY W&S AUTHORITY,Cayuga County W&S Authority,"Main extension on Honoco Rd., New Distribution System",580,7130744,50,383332501
19199,Cayuga,THROOP (T) WD #2,Throop (T),"Water District #2 - Centerport, Reyer, and Sine Rd., New Water District",66,1250000,45,384582501
19210,Cayuga,AUBURN (C),Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission",43000,12300000,40,396882501
19191,Cayuga,LOCKE W D,Locke (T),"New storage tank and well & Telemetry Upgrades at all facilities, New Ground Water Source, New Storage",600,3416049,40,400298550
19398,Cayuga,WEEDSPORT (V),Weedsport (V),"Lead Service Line Inventory., Upgrade Distribution System",1945,606500,30,400905050
19209,Cayuga,FAIR HAVEN VILLAGE,Fair Haven (V),"Replacement of Asbestos Cement Watermain, Upgrade Distribution System",1000,5892888,25,406797938
18826,Chautauqua,SINCLAIRVILLE VILLAGE,Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,0,1145,406797938
19529,Chautauqua,MAYVILLE (V),Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source",2000,9418000,115,416215938
19525,Chautauqua,CLYMER (T),Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,10707880,100,426923818
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT,Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,6942000,95,433865818
19538,Chautauqua,CHAUTAUQUA (T),Chautauqua (T),"WD No. 5 on Westlake Rd, Upgrade Water District",650,9591360,95,443457178
19840,Chautauqua,BUSTI (T),Busti (T),"Town of Busti WD Extension and Improvement, New Distribution System",355,5818200,90,449275378
19785,Chautauqua,ELLICOTT (T),Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,10300000,90,459575378
19662,Chautauqua,WESTFIELD (T),Westfield (T),"NYS Rt 5 Water Benefit District No. 2, New Water District",180,2732000,75,462307378
19780,Chautauqua,CASSADAGA (V),Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System",1500,8836370,75,471143748
18321,Chautauqua,NORTH CHAUTAUQUA COUNTY REGIONAL,Chautauqua County,"North Chautauqua County Regional Water Project, New Water District",31000,0,70,471143748
19247,Chautauqua,POMFRET (T),Pomfret (T),"North End WD Phase 2, New Distribution System",1200,22263450,65,493407198
19308,Chautauqua,SHOREWOOD WATER DISTRICT,Dunkirk (T),"Replacement of WM on Shorewood WD, Upgrade Distribution System",250,2295000,65,495702198
19751,Chautauqua,NORTH CHAUTAUQUA COUNTY WD,Chautauqua County,"North Chautauqua County WD Phase 3, Upgrade Distribution System",9000,8200000,55,503902198
19330,Chautauqua,PORTLAND WD #2,Portland (T),"Water District No. 2, Rt 5 Water Main Replacement, Upgrade Distribution System",4827,4691000,50,508593198
19834,Chautauqua,WESTFIELD (V),Westfield (V),"Westfield (V) Distribution System Improvements, New Distribution System",2683,8795400,50,517388598
19824,Chautauqua,FREDONIA (V),Fredonia (V),"Decommissioning of Dam and Connection to City of Dunkirk, Upgrade Surface Water Source",10018,26816050,45,544204648
19624,Chautauqua,WESTFIELD (V),Westfield (V),"Lead Service Line Inventory, Upgrade Distribution System",3890,1041201,40,545245849
19246,Chautauqua,POMFRET (T),Pomfret (T),"Chestnut WD Watermain Replacement, Upgrade Distribution System",3365,960000,35,546205849
18757,Chautauqua,BROCTON (V),Brocton (V),"Replacement of approximately 3,400 LF of 8"" watermain, Upgrade Distribution System",1486,0,35,546205849
19245,Chautauqua,POMFRET (T),Pomfret (T),"Berry WD Water Main Replacement, Upgrade Distribution System",3365,2260000,35,548465849
19179,Chautauqua,FREDONIA (V),Fredonia (V),"Fredonia Fresh Water Reservoir Spillway Improvements, Upgrade Surface Water Source",,10300000,30,558765849
19068,Chemung,HORSEHEADS VILLAGE,Horseheads (T),"Oak Hill Water District Extension, New Distribution System",11530,461000,70,559226849
18322,Chemung,ELMIRA WATER BOARD,Elmira Water Board,"Elmira Refresh Initiative, Upgrade Transmission, Upgrade Distribution System",65000,6043913,70,565270762
18890,Chemung,MILLPORT (V),Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry, New Other Expenses, Upgrade Ground Water Source, Upgrade Storage",292,1604100,60,566874862
19149,Chemung,WELLSBURG (V),Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",580,6536623,60,573411485
18737,Chemung,BIG FLATS WD #4,Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,2277534,55,575689019
18767,Chemung,HORSEHEADS VILLAGE,Horseheads (V),"Upgrade water mains and appurtenances in Ridge Road, Number Street and Center Street areas., Upgrade Distribution System",11530,0,45,575689019
18309,Chenango,GUILFORD WATER DISTRICT,Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,0,1075,575689019
18717,Chenango,SOUTH OTSELIC WATER DISTRICT,Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,4259000,105,579948019
18923,Chenango,NEW BERLIN (V),New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",1000,19550000,95,599498019
19399,Chenango,SMITHVILLE (T),Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,8000000,70,607498019
19184,Chenango,BAINBRIDGE (V),Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",1600,7455600,65,614953619
18900,Chenango,VILLAGE OF GREENE,Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System",1800,20566400,65,635520019
18198,Chenango,OXFORD VILLAGE,Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System",1738,0,60,635520019
18554,Chenango,AFTON (V),Afton (V),"Replace water storage tank, upgrade spring source booster pump station, upgrade well control building, water main replacement., Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",1000,6995000,40,642515019
19351,Chenango,BAINBRIDGE (V),Bainbridge (V),"Lead Service Line Inventory, Upgrade Distribution System",1600,726000,40,643241019
19372,Chenango,NEW BERLIN (V),New Berlin (V),"Lead Service Line Inventory, Upgrade Distribution System",1000,398200,30,643639219
18328,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,0,1115,643639219
19489,Clinton,SCHUYLER FALLS (T),Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation",4843,5500000,125,649139219
19093,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",19515,5240000,105,654379219
19830,Clinton,PERU (T),Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage",6772,9400000,100,663779219
18981,Clinton,MORRISONVILLE WD,Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System",1300,5729375,65,669508594
19831,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19900,8810000,65,678318594
19487,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 3 - drinking water system upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19840,8832000,65,687150594
18809,Clinton,ROUSES POINT WATER DISTRICT,Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station., New Water Treatment Plant, New Surface Water Source, New Pump Station",2139,10000000,55,697150594
18867,Clinton,CHAMPLAIN (V),Champlain (V),"Replacement of failing watermain., Upgrade Distribution System",1000,2400000,45,699550594
18604,Clinton,BEEKMANTOWN WATER DISTRICT,Beekmantown (T),"New Public Water System., New Complete System (New System)",250,6862378,45,706412972
18974,Clinton,BLACK BROOK WD NO2,Black Brook (T),"Installation and replacement of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,845000,35,707257972
19280,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Lead service line inventory., Upgrade Distribution System",19840,324000,35,707581972
17683,Clinton,PLEASANT RIDGE WATER DISTRICT,Plattsburgh (T),New Storage,168,1985000,30,709566972
19445,Clinton,ROUSES POINT WATER DISTRICT,Rouses Point (V),"Lead service line inventory., Upgrade Distribution System",2195,273980,30,709840952
19251,Clinton,PERU WD,Peru (T),"Supplemental water source, new wells and transmission main., New Ground Water Source, New Transmission",2600,14394250,25,724235202
19252,Clinton,CHAZY WATER DISTRICT,Chazy (T),"WST rehab, water plant upgrades., Upgrade Water Treatment Plant, Upgrade Storage",690,2369000,15,726604202
19537,Columbia,VALATIE (V),Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant",2000,3942100,65,730546302
19512,Columbia,KINDERHOOK (T),Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System",4400,4926000,55,735472302
19441,Columbia,HUDSON (C),Hudson (C),"Lead service line inventory., Upgrade Distribution System",6700,257500,40,735729802
19300,Columbia,HUDSON (C),Hudson (C),"Upgrade water mains on Robinson and 3rd Street, Upgrade Distribution System",125,1026260,35,736756062
18948,Columbia,CHATHAM VILLAGE,Chatham (V),"Replace water main on Austerlitz St & Houseman Ave., Upgrade Distribution System",2156,1432215,35,738188277
19391,Columbia,KINDERHOOK (T),Kinderhook (T),"Develop new GW Source, Connection to existing distribution system, New Ground Water Source, Upgrade Distribution System",3000,2280000,15,740468277
18620,Columbia,KINDERHOOK (V),Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement, AMI Meter System., Upgrade Distribution System",1170,1954500,15,742422777
19434,Columbia,KINDERHOOK (V),Kinderhook (V),"Lead service line inventory., Upgrade Distribution System",1100,192000,15,742614777
18206,Cortland,CORTLAND (C),Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System",20095,2009463,50,744624240
18909,Cortland,CORTLAND (C),Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project., Upgrade Distribution System",21859,11661120,45,756285360
19520,Cortland,HOMER (V),Homer (V),"New Water Storage Tank West of I-81, New Storage",3183,4048000,40,760333360
18888,Cortland,MARATHON (V),Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System",1107,775000,35,761108360
19589,Cortland,CORTLAND (C),Cortland (C),"Groton Ave Improvements Project, Upgrade Distribution System",18670,2320361,35,763428721
18452,Cortland,CORTLAND (C),Cortland (C),"Service Line Replacement, Upgrade Distribution System",20095,3150000,35,766578721
19404,Cortland,HOMER (V),Homer (V),"Lead Service Line Inventory., Upgrade Distribution System",4000,1050600,25,767629321
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury (T),"Roxbury and Grand Gorge Joint project. New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,0,1150,767629321
18338,Delaware,SIDNEY VILLAGE,Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System",5100,0,1140,767629321
18803,Delaware,HOBART VILLAGE,Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,0,1105,767629321
17417,Delaware,ARKVILLE WATER DISTRICT,Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,1833375,90,769462696
18367,Delaware,FISH'S EDDY WATER DISTRICT,Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",100,4184504,85,773647200
19046,Delaware,DELHI (V),Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3833,6500000,55,780147200
19847,Delaware,TREADWELL WATER DISTRICT,Treadwell,"Treadwell Water District Improvements Project., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage",140,1500000,55,781647200
19379,Delaware,ANDES (T),Andes (T),"Installation of two wells, new treatment process, connection to distribution system, line existing reservoir., Upgrade Water Treatment Plant, Upgrade Surface Water Source, New Ground Water Source",350,2588550,50,784235750
18216,Delaware,WALTON (V),Walton (V),"Replace two tanks and aged mains on Bruce, Prospect and Burton Sts., Upgrade Storage, Upgrade Distribution System",3026,0,45,784235750
19505,Delaware,MARGARETVILLE (V),Margaretville (V),"Hospital Tank replacement, meters, control system upgrades, Upgrade Storage, Upgrade Distribution System",514,1508801,45,785744551
19634,Delaware,VILLAGE OF DELHI,Delhi (V),"Lead Service Line Inventory., Upgrade Distribution System",3172,452490,40,786197041
19633,Delaware,WALTON (V),Walton (V),"Lead Service Line Inventory., Upgrade Distribution System",3186,640552,40,786837593
18831,Delaware,FRANKLIN (V),Franklin (V),"Replace existing 250,000-gal water storage tank., New Storage",481,767350,25,787604943
18916,Delaware,HAMDEN WATER DIST 1 - HAMDEN,Hamden (T),"Hamden WD Distribution System Upgrades., Upgrade Distribution System",110,334235,25,787939178
19630,Delaware,FRANKLIN (V),Franklin (V),"Lead Service Line Inventory., Upgrade Distribution System",342,201465,25,788140643
18090,Dutchess,REVERE PARK (E.FISH.WD#2),East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,0,1205,788140643
19420,Dutchess,GREENFIELD WATER DISTRICT,DCWWA,"Interconnection of Greenfields Water System to Hyde Park Regional Water System to address PFAS contamination, Upgrade Water Treatment Plant, New Pump Station, New Inter-Connection",1050,0,1055,788140643
19170,Dutchess,PAWLING VILLAGE,Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source",1907,4000000,95,792140643
19750,Dutchess,QUAKER HILL WATER SYSTEM,DCWWA,"Quaker Hill WS Interconnection with Hyde Park Regional WS to resolve PFAS contamination at Quaker Hill., New Pump Station, New Inter-Connection",350,21875700,80,814016343
19146,Dutchess,TOWN WIDE INTERCONNECTED WDS,East Fishkill (T),"Installation of Ionization Media filters, interconnections within the Town's existing water districts, and development of new GW Sources to address PFOA/PFAS contamination, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",3493,16728197,70,830744540
19645,Dutchess,SCHREIBER WATER WORKS,DCWWA,"New well and treatment for removal of gross alpha, radium, iron/manganese, and sulfate, New Water Treatment Plant, New Ground Water Source",80,4653540,60,835398080
19326,Dutchess,AMENIA WATER DISTRICT NO 1,Amenia (T),"Lead Service Line Inventory., Upgrade Distribution System",1005,481000,60,835879080
18822,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",6731,3042840,55,838921920
16236,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",2214,0,55,838921920
18830,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"Interconnection between Wappingers Falls (V) and Wappinger (T)., New Inter-Connection",5522,1440252,45,840362172
18918,Dutchess,RHINEBECK VILLAGE WATER,Rhinebeck (V),"Upgrade Water Treatment Plant, Upgrade Storage",4300,0,45,840362172
18536,Dutchess,PINEBROOK ESTATES,DCWWA,"Interconnection to DCWWA Hyde Park System., New Distribution System, New Inter-Connection",200,3489161,45,843851333
19187,Dutchess,AMENIA WD #1,Amenia (T),"Water District No. 1 Improvements, New Ground Water Source, New Storage, New Distribution System",1010,13338500,40,857189833
19604,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Replacement (Phase 3)., Upgrade Distribution System",2980,9336373,40,866526206
19791,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Replacement (Zone 4, Round 1)., Upgrade Distribution System",1567,8516534,40,875042740
19402,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Inventory., Upgrade Distribution System",32000,2453300,40,877496040
19789,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Replacement (Zone 3, Round 1)., Upgrade Distribution System",2180,9584438,40,887080478
19784,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Replacement (Zone 2, Round 1)., Upgrade Distribution System",3169,11800339,40,898880817
19603,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Lead Service Line Replacement (Phase 2)., Upgrade Distribution System",3030,9374442,40,908255259
18723,Dutchess,POUGHKEEPSIE (C),City of Poughkeepsie,Upgrade Distribution System,38180,15770000,35,924025259
18651,Dutchess,MILLERTON VILLAGE,Millerton (V),"Rehab. existing tank, repl. hydrants, rehab. water meters., Upgrade Storage, Upgrade Distribution System",1150,0,35,924025259
18140,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Storage, Upgrade Distribution System",2214,0,35,924025259
19575,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"Wenliss Water Tank Rehabilitation, Upgrade Storage",6500,2274240,35,926299499
