Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,emmali_notes
18896,Allegany,CUBA (V) / Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500",$0.00,60,"$145,177,562.00",
19213,Allegany,WELLSVILLE (V) / Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System","5,700","$6,828,000.00",60,"$152,005,562.00",
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER / Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System","5,700","$1,596,912.00",55,"$153,602,474.00",
18622,Allegany,ALFRED VILLAGE WATER SUPPLY / Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500","$1,500,000.00",55,"$155,102,474.00",
19531,Allegany,ANGELICA (V) / Angelica (V),"Replacement of WM and Formation of WD, Upgrade Distribution System",713,"$4,610,280.00",40,"$159,712,754.00",
19650,Allegany,BOLIVAR (V) / Bolivar (V),"WM Replacement Throughout Village., Upgrade Distribution System","1,600","$4,100,000.00",40,"$163,812,754.00",
19551,Allegany,ALMOND (V) / Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,"$1,025,000.00",25,"$164,837,754.00",
18941,Broome,ENDICOTT (V) / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","46,000","$7,310,218.00",120,"$172,147,972.00",
18681,Broome,ENDICOTT (V) / Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant","46,000","$18,473,853.00",80,"$190,621,825.00",
18544,Broome,PORT DICKINSON (V) / Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd.., Upgrade Distribution System","1,699","$7,200,000.00",35,"$197,821,825.00",
18610,Broome,VESTAL CONSOLIDATED W.D. #1 / Vestal (T),"Old Vestal & Burn Hill Rd Watermain., Upgrade Distribution System","20,950","$1,652,683.00",35,"$199,474,508.00",
18256,Broome,CHENANGO CONSOLIDATED WD #1 / Chenango (T),"New well and appurtenances as redundancy for Northgate Well., New Ground Water Source","9,200","$2,519,195.00",30,"$201,993,703.00",
19748,Broome,DEPOSIT (V) / Deposit (V),"Water System Upgrades, Upgrade Distribution System","1,387","$7,403,678.00",30,"$209,397,381.00",
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD / Binghamton (T),"Powers Road Storage Tank Replacement., New Storage","2,600","$939,393.00",25,"$210,336,774.00",
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188",$0.00,1135,"$210,336,774.00",
18842,Cattaraugus,SOUTH DAYTON VILLAGE / South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,$0.00,1120,"$210,336,774.00",
18574,Cattaraugus,ELLICOTTVILLE (T) & (V) / Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,$0.00,1100,"$210,336,774.00",
18843,Cattaraugus,PORTVILLE VILLAGE / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,040",$0.00,1085,"$210,336,774.00",
19781,Cattaraugus,CATTARAUGUS (V) / Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System","1,185","$10,788,220.00",105,"$221,124,994.00",
19244,Cattaraugus,SALAMANCA (C) / Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant","7,696","$28,040,556.00",90,"$249,165,550.00",
18813,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System",728,$0.00,60,"$249,165,550.00",
19026,Cattaraugus,OLEAN (C) / Olean (C),"WTP Upgrades and Structural Rehabilitation, Upgrade Water Treatment Plant","13,937","$4,801,500.00",45,"$253,967,050.00",
19612,Cattaraugus,YORKSHIRE (T) / Yorkshire (T),"Lead Service Line Inventory, Upgrade Distribution System","1,000","$206,000.00",40,"$254,173,050.00",
19839,Cattaraugus,ALLEGANY (T) / Allegany (T),"Water District 1A Improvements, Upgrade Distribution System",625,"$2,149,000.00",30,"$256,322,050.00",
19613,Cattaraugus,RANDOLPH (T) / Randolph (T),"Lead Service Line Inventory, Upgrade Distribution System","1,960","$563,000.00",25,"$256,885,050.00",
19617,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"Lead Service Line Replacement, Upgrade Distribution System",293,"$2,626,000.00",25,"$259,511,050.00",
19060,Cattaraugus,ALLEGANY VILLAGE / Allegany (V),"2021 Water Meter Upgrades, Upgrade Other Expenses, Upgrade Other (OT)","1,900","$163,915.00",25,"$259,674,965.00",
19411,Cayuga,AUBURN (C) / Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System","43,000",$0.00,1070,"$259,674,965.00",
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY / Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District","42,653","$54,882,970.00",125,"$314,557,935.00",
18564,Cayuga,AURORA (V) NEW SYSTEM / Aurora (V),"New WTP, New Transmission, New Inter-Connection",700,"$10,370,000.00",105,"$324,927,935.00",
18128,Cayuga,PROPOSED WD #2 / Sterling (T),"Water District #2., Extend Distribution System",500,"$6,669,393.00",80,"$331,597,328.00",
19773,Cayuga,MONTEZUMA WD 2 / Montezuma (T),"Expansion of water system, creation of Town's service area no. 2., Extend Distribution System",250,"$9,143,282.00",60,"$340,740,610.00",
19133,Cayuga,WEEDSPORT (V) / Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System","1,945","$22,008,000.00",55,"$362,748,610.00",
19770,Cayuga,FLEMING-SPRINGPORT WD / Fleming (T),"New water main to interconnect Fleming-Springport WD, Fleming Consolidated WD, and Owasco WD., Upgrade Distribution System, New Inter-Connection","5,525","$8,005,160.00",55,"$370,753,770.00",
19074,Cayuga,WD NO. 11 / Brutus (T),"Water District No. 11, New Water District",116,"$1,430,000.00",50,"$372,183,770.00",
18924,Cayuga,CAYUGA COUNTY W&S AUTHORITY / Cayuga County W&S Authority,"Main extension on Honoco Rd., New Distribution System",580,"$7,130,744.00",50,"$379,314,514.00",
19073,Cayuga,WD NO. 10 / Brutus (T),"Water District No. 10 , New Water District",90,"$1,100,000.00",50,"$380,414,514.00",
19199,Cayuga,THROOP (T) WD #2 / Throop (T),"Water District #2 - Centerport, Reyer, and Sine Rd., New Water District",661,"$1,250,000.00",45,"$381,664,514.00",
19191,Cayuga,LOCKE W D / Locke (T),"New storage tank and well & Telemetry Upgrades at all facilities, New Ground Water Source, New Storage",600,"$3,416,049.00",40,"$385,080,563.00",
19210,Cayuga,AUBURN (C) / Auburn (C),"Raw Water Transmission Main Replacement, Upgrade Transmission","43,000","$12,300,000.00",40,"$397,380,563.00",
19398,Cayuga,WEEDSPORT (V) / Weedsport (V),"Lead Service Line Inventory., Upgrade Distribution System","1,945","$606,500.00",30,"$397,987,063.00",
19209,Cayuga,FAIR HAVEN VILLAGE / Fair Haven (V),"Replacement of Asbestos Cement Watermain, Upgrade Distribution System","1,000","$5,892,888.00",25,"$403,879,951.00",
18826,Chautauqua,SINCLAIRVILLE VILLAGE / Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,$0.00,1145,"$403,879,951.00",
19529,Chautauqua,MAYVILLE (V) / Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source","2,000","$9,418,000.00",115,"$413,297,951.00",
19525,Chautauqua,CLYMER (T) / Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,"$10,707,880.00",100,"$424,005,831.00",
19538,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 5 on Westlake Rd, Upgrade Water District",650,"$9,591,360.00",95,"$433,597,191.00",
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"$6,942,000.00",95,"$440,539,191.00",
19785,Chautauqua,ELLICOTT (T) / Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,"$10,300,000.00",90,"$450,839,191.00",
19840,Chautauqua,BUSTI (T) / Busti (T),"Town of Busti WD Extension and Improvement, New Distribution System",355,"$5,818,200.00",90,"$456,657,391.00",
19780,Chautauqua,CASSADAGA (V) / Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System","1,500","$8,836,370.00",75,"$465,493,761.00",
19662,Chautauqua,WESTFIELD (T) / Westfiled (T),"NYS Rt 5 Water Benefit District No. 2, New Water District",180,"$2,732,000.00",75,"$468,225,761.00",
18321,Chautauqua,NORTH CHAUTAUQUA COUNTY REGIONAL / Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000",$0.00,70,"$468,225,761.00",
19308,Chautauqua,SHOREWOOD WATER DISTRICT / Dunkirk (T),"Replacement of WM on Shorewood WD, Upgrade Distribution System",250,"$2,295,000.00",65,"$470,520,761.00",
19247,Chautauqua,POMFRET (T) / Pomfret (T),"North End WD Phase 2, New Distribution System","1,200","$22,263,450.00",65,"$492,784,211.00",
19751,Chautauqua,NORTH CHAUTAUQUA COUNTY WD / Chautauqua County,"North Chautauqua County WD Phase 3, Upgrade Distribution System","9,000","$8,200,000.00",55,"$500,984,211.00",
19330,Chautauqua,PORTLAND WD #2 / Portland (T),"Water District No 2, Rt 5 Water Main Replacement, Upgrade Distribution System","4,827","$4,691,000.00",50,"$505,675,211.00",
19834,Chautauqua,WESTFILED (V) / Westfield (V),"Westfiled (V) Distribution System Improvements, New Distribution System","2,683","$8,795,400.00",50,"$514,470,611.00",
19824,Chautauqua,FREDONIA (V) / Fredonia (V),"Decomissioning of Dam and Connection to City of Dunkirk, Upgrade Surface Water Source","10,018","$26,816,050.00",45,"$541,286,661.00",
19624,Chautauqua,WESTFIELD (V) / Westfield (V),"Lead Service Line Inventory, Upgrade Distribution System","3,890","$1,041,201.00",40,"$542,327,862.00",
19246,Chautauqua,POMFRET (T) / Pomfret (T),"Chestnut WD Watermain Replacement, Upgrade Distribution System","3,365","$960,000.00",35,"$543,287,862.00",
18757,Chautauqua,BROCTON (V) / Brocton (V),"Replacement of approximately 3,400 LF of 8"" watermain., Upgrade Distribution System","1,486",$0.00,35,"$543,287,862.00",
19245,Chautauqua,POMFERT (T) / Pomfret (T),"Berry WD Water Main Replacement, Upgrade Distribution System","3,365","$2,260,000.00",35,"$545,547,862.00",
19179,Chautauqua,FREDONIA (V) / Fredonia (V),"Fredonia Fresh Water Reservoir Spillway Improvements, Upgrade Surface Water Source",NA,"$10,300,000.00",30,"$555,847,862.00",<- can confirm this is an actual NA
19068,Chemung,HORSEHEADS VILLAGE / Horseheads (T),"Oak Hill Water District Extension, New Distribution System","11,530","$461,000.00",70,"$556,308,862.00",
18322,Chemung,ELMIRA WATER BOARD / Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$6,043,913.00",70,"$562,352,775.00",
18890,Chemung,MILLPORT (V) / Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,"$1,604,100.00",60,"$563,956,875.00",
19149,Chemung,WELLSBURG (V) / Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",580,"$6,536,623.00",60,"$570,493,498.00",
18737,Chemung,BIG FLATS WD #4 / Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,"$2,277,534.00",55,"$572,771,032.00",
18767,Chemung,HORSEHEADS VILLAGE / Horseheads (V),"Upgrade water mains and appurtenances in Ridge Road, Number Street and Center Street areas., Upgrade Distribution System","11,530",$0.00,45,"$572,771,032.00",
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0.00,1075,"$572,771,032.00",
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters. , Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,"$4,259,000.00",105,"$577,030,032.00",
18923,Chenango,NEW BERLIN (V) / New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","1,000","$19,550,000.00",95,"$596,580,032.00",
19399,Chenango,SMITHVILLE (T) / Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,"$8,000,000.00",70,"$604,580,032.00",
18900,Chenango,VILLAGE OF GREENE / Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System","1,800","$20,566,400.00",65,"$625,146,432.00",
19184,Chenango,BAINBRIDGE (V) / Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,600","$7,455,600.00",65,"$632,602,032.00",
18198,Chenango,OXFORD VILLAGE / Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System","1,738",$0.00,60,"$632,602,032.00",
19351,Chenango,BAINBRIDGE (V) / Bainbridge(V),"Lead Service Line Inventory, Upgrade Distribution System","1,600","$726,000.00",40,"$633,328,032.00",
18554,Chenango,AFTON (V) / Afton (V),"Replace water storage tank, upgrade spring source booster pump station, upgrade well control building, water main replacement., Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","1,000","$6,995,000.00",40,"$640,323,032.00",
19372,Chenango,NEW BERLIN (V) / New Berlin (V),"Lead Service Line Inventory, Upgrade Distribution System","1,000","$398,200.00",30,"$640,721,232.00",
18328,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000",$0.00,1115,"$640,721,232.00",
19489,Clinton,SCHUYLER FALLS (T) / Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation","4,843","$5,500,000.00",125,"$646,221,232.00",
19093,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","19,515","$5,240,000.00",105,"$651,461,232.00",
19830,Clinton,PERU (T) / Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage","6,772","$9,400,000.00",100,"$660,861,232.00",
19487,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 3 - drinking water system upgrades. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,840","$8,832,000.00",65,"$669,693,232.00",
19831,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,900","$8,810,000.00",65,"$678,503,232.00",
18981,Clinton,MORRISONVILLE WD / Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System","1,300","$5,729,375.00",65,"$684,232,607.00",
18809,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station","2,139","$10,000,000.00",60,"$694,232,607.00",
18867,Clinton,CHAMPLAIN (V) / Champlain (V),"Replacement of failing watermain., Upgrade Distribution System","1,000","$2,400,000.00",45,"$696,632,607.00",
18604,Clinton,BEEKMANTOWN WATER DISTRICT / Beekmantown (T),"New Public Water System., New Complete System (New System)",250,"$6,862,378.00",45,"$703,494,985.00",
19280,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Lead service line inventory., Upgrade Distribution System","19,840","$324,000.00",35,"$703,818,985.00",
18974,Clinton,BLACK BROOK WD NO2 / Black Brook (T),"Installationg and replacment of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,"$845,000.00",35,"$704,663,985.00",
19445,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"Lead service line inventory., Upgrade Distribution System","2,195","$273,980.00",30,"$704,937,965.00",
17683,Clinton,PLEASANT RIDGE WATER DISTRICT / Plattsburgh (T),New Storage,168,"$1,985,000.00",30,"$706,922,965.00",
19251,Clinton,PERU WD / Peru (T),"Supplemental water source, new wells and transmission main., New Ground Water Source, New Transmission","2,600","$14,394,250.00",25,"$721,317,215.00",
19252,Clinton,CHAZY WATER DISTRICT / Chazy (T),"WST rehab, water plant upgrades., Upgrade Water Treatment Plant, Upgrade Storage",690,"$2,369,000.00",15,"$723,686,215.00",
19537,Columbia,VALATIE (V) / Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant","2,000","$3,942,100.00",65,"$727,628,315.00",
19512,Columbia,KINDERHOOK (T) / Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System","4,400","$4,926,000.00",55,"$732,554,315.00",
19441,Columbia,HUDSON (C) / Hudson (C),"Lead service line inventory., Upgrade Distribution System","6,700","$257,500.00",40,"$732,811,815.00",
18948,Columbia,CHATHAM VILLAGE / Chatham (V),"Replace water main on Austerlitz St & Houseman Ave., Upgrade Distribution System","2,156","$1,432,215.00",35,"$734,244,030.00",
19300,Columbia,HUDSON (C) / Hudson (C),"Upgrade water mains on Robsinson and 3rd Street, Upgrade Distribution System",125,"$1,026,260.00",35,"$735,270,290.00",
19434,Columbia,KINDERHOOK (V) / Kinderhook (V),"Lead service line inventory., Upgrade Distribution System","1,100","$192,000.00",15,"$735,462,290.00",
19391,Columbia,KINDERHOOK (T) / Kinderhook (T),"Develop new GW Source, Connection to existing distribution system, New Ground Water Source, Upgrade Distribution System","3,000","$2,280,000.00",15,"$737,742,290.00",
18620,Columbia,KINDERHOOK (V) / Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement, AMI Meter System., Upgrade Distribution System","1,170","$1,954,500.00",15,"$739,696,790.00",
18206,Cortland,CORTLAND (C) / Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System","20,095","$2,009,463.00",50,"$741,706,253.00",
18909,Cortland,CORTLAND (C) / Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project., Upgrade Distribution System","21,859","$11,661,120.00",45,"$753,367,373.00",
19520,Cortland,HOMER (V) / Homer (V),"New Water Storage Tank West of I-81, New Storage","3,183","$4,048,000.00",40,"$757,415,373.00",
18452,Cortland,CORTLAND (C) / Cortland (C),"Sevice Line Replacement, Upgrade Distribution System","20,095","$3,150,000.00",35,"$760,565,373.00",
18888,Cortland,MARATHON (V) / Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System","1,107","$775,000.00",35,"$761,340,373.00",
19589,Cortland,CORTLAND (C) / Cortland (C),"Groton Ave Improvements Project, Upgrade Distribution System","18,670","$2,320,361.00",35,"$763,660,734.00",
19404,Cortland,HOMER (V) / Homer (V),"Lead Service Line Inventory., Upgrade Distribution System","4,000","$1,050,600.00",25,"$764,711,334.00",
18348,Delaware,ROXBURY WATER DISTRICT / Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,$0.00,1150,"$764,711,334.00",
18338,Delaware,SIDNEY VILLAGE / Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System","5,100",$0.00,1140,"$764,711,334.00",
18803,Delaware,HOBART VILLAGE / Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,$0.00,1105,"$764,711,334.00",
17417,Delaware,ARKVILLE WATER DISTRICT / Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,"$1,833,375.00",90,"$766,544,709.00",
18367,Delaware,FISH'S EDDY WATER DISTRICT / Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",100,"$4,184,504.00",85,"$770,729,213.00",
19046,Delaware,DELHI (V) / Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,833","$6,500,000.00",55,"$777,229,213.00",
19847,Delaware,TREADWELL WATER DISTRICT / Franklin (T),"Treadwell Water District Improvements Project., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage",140,"$1,500,000.00",55,"$778,729,213.00",
19379,Delaware,ANDES (T) / Andes (T),"Installation of two wells, new treatment process, connection to distribution system, line existing reservoir, Upgrade Water Treatment Plant, Upgrade Surface Water Source, New Ground Water Source",350,"$2,588,550.00",50,"$781,317,763.00",
18216,Delaware,WALTON (V) / Walton (V),"Replace two tanks and aged mains on Bruce, Prospect and Burton Sts., Upgrade Storage, Upgrade Distribution System","3,026",$0.00,45,"$781,317,763.00",
19505,Delaware,MARGARETVILLE (V) / Margaretville (V),"Hospital Tank replacement, meters, control system upgrades, Upgrade Storage, Upgrade Distribution System",514,"$1,508,801.00",45,"$782,826,564.00",
19633,Delaware,WALTON (V) / Walton (V),"Lead Service Line Inventory., Upgrade Distribution System","3,186","$640,552.00",40,"$783,467,116.00",
19634,Delaware,VILLAGE OF DELHI / Delhi (V),"Lead Service Line Inventory., Upgrade Distribution System","3,172","$452,490.00",40,"$783,919,606.00",
18831,Delaware,FRANKLIN (V) / Franklin (V),"Replace existing 250,000-gal water storage tank., New Storage",481,"$767,350.00",25,"$784,686,956.00",
