Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
18338,Delaware,SIDNEY VILLAGE,New Ground Water Supply and WTP to Replace Existing Inadequate Wells,"5,100",$0.00,H,"$9,520,000.00",,
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6,"New Ground Water Source, New Complete System, Storage, and Distribution System","1,569","$500,000.00",H,"$10,020,000.00",,
18184,Essex,CROWN POINT WD / Crown Point (T),Rehab and upgrades to contaminated wells and replacing mains with severe break history.,995,$0.00,H,"$10,020,000.00",,
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements.","1,188",$0.00,H,"$10,020,000.00",,
18358,Allegany,ANDOVER (V) / Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements","2,500","$3,155,000.00",H,"$13,175,000.00",,
18562,Herkimer,ILION (V) WATER WORKS / Ilion (V),Dedicated Well Transmission Main and High Priority Distribution Improvements.,"8,610","$700,000.00",H,"$13,875,000.00",,
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5 / Oneonta (T),"Southside Water District No. 5 - New Ground Water Source, New Storage, New Distribution","1,570","$1,000,000.00",H,"$14,875,000.00",,
18351,Oswego,SANDY CREEK WD3/RICHLAND WD 5 / Sandy Creek (T),"Consolidates 7 regulated PWSs, New Ground Water Source, New Distribution System","2,600","$3,000,000.00",H,"$17,875,000.00",,
18842,Cattaraugus,SOUTH DAYTON VILLAGE / South Dayton (V),Source and distribution upgrades.,661,$0.00,H,"$17,875,000.00",,
18214,Seneca,WATERLOO (V) / Waterloo (V),"WTP, Distribution, and Storage Improvements.","16,900","$300,000.00",H,"$18,175,000.00",,
18328,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades.","18,000",$0.00,H,"$18,175,000.00",,
18768,Steuben,CAMPBELL WATER DISTRICT / Campbell (T),WD #1 Extension.,280,$0.00,H,"$18,175,000.00",,
18575,Washington,GREENWICH VILLAGE / Greenwich (V),"Mn Treatment, Replace Existing Wells, Replace Transmission Main, Water Metering.","2,000","$11,000,000.00",H,"$29,175,000.00",,
18127,Seneca,INTERLAKEN VILLAGE / Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,$0.00,H,"$29,175,000.00",,
18803,Delaware,HOBART VILLAGE / Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,$0.00,H,"$29,175,000.00",,
18898,Wyoming,PERRY VILLAGE / Perry (V),"WTP upgrade to Address DBPs. Upgrade Water Treatment Plant, Upgrade Storage","3,945",$0.00,H,"$29,175,000.00",,
18846,Otsego,RICHFIELD SPRINGS (V) / Richfield Springs (V),"Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping","1,500","$20,680,000.00",H,"$49,855,000.00",,
18270,Essex,CHILSON-EAGLE LAKE WD / Ticonderoga (T),Chilson-Eagle Lake SWTR Compliance Project. Upgrade Distribution System,200,"$14,000,000.00",H,"$63,855,000.00",,
18860,Herkimer,HERKIMER (V) / Herkimer (V),"High Priority System Upgrades, Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670.00",H,"$81,353,670.00",,
18941,Broome,ENDICOTT (V) / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane, New Ground Water Source","46,000","$7,310,218.00",H,"$88,663,888.00",,
18289,Oneida,ROME CITY / Rome (C),"NW Rome Re-Phase 3 Water Project. New Storage, New Pump Station, New Distribution System","32,000","$11,235,000.00",H,"$99,898,888.00",,
18709,Essex,ELIZABETHTOWN WD / Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment",800,"$3,744,565.00",H,"$103,643,453.00",,
19242,Wyoming,GARDEAU WATER DISTRICT / Castile (T),"Gardeau WD main replacement and district extension, Upgrade Distribution System, Extend Water District",60,"$2,755,250.00",H,"$106,398,703.00",,
19258,Franklin,TUPPER LAKE (V) / Tupper Lake (V),"Tupper Lake Intake and WTP Rehab, Upgrade Water Treatment Plant, Upgrade Surface Water Source","5,500","$12,897,900.00",H,"$119,296,603.00",,
18213,Monroe,ROCHESTER CITY / Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000.00",H,"$126,496,603.00",,
18711,Herkimer,EAST SCHUYLER WD / Schuyler (T),New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection,816,"$7,391,280.00",H,"$133,887,883.00",,
19240,Jefferson,WEST CARTHAGE (V) / West Carthage (V),"New storage tanks, distribution & transmission improvements, Upgrade WTP, Upgrade Transmission","5,016","$21,945,180.00",H,"$155,833,063.00",,
18911,Jefferson,LERAY TOWN WD 2 / LeRay (T),Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements,"2,500","$4,000,000.00",H,"$159,833,063.00",,
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 / Herkimer (T),WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897.,150,"$1,839,580.00",H,"$161,672,643.00",,
18715,Herkimer,FRANKFORT (V) WATER WORKS / Frankfort (V),Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection,"2,995","$8,667,450.00",H,"$170,340,093.00",,
18090,Dutchess,REVERE PARK (E.FISH.WD#2) / East Fishkill (T),Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains,280,$0.00,1205,"$170,340,093.00",,
18720,Onondaga,ELBRIDGE (V) / Elbridge (V),Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades,"1,100","$3,500,000.00",1180,"$173,840,093.00",,
18719,Onondaga,ELBRIDGE (T) / Elbridge (T),Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades,"1,000","$5,000,000.00",1180,"$178,840,093.00",,
18537,Jefferson,ORLEANS WATER IMPROVEMENTS / Orleans,Consolidation of PWS w/ violations and to serve contaminated private wells,450,$0.00,1135,"$178,840,093.00",,
17572,Schoharie,SHARON SPRINGS VILLAGE / Sharon Springs (V),Water system improvements,547,"$450,000.00",1125,"$179,290,093.00",,
18746,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Disinfection byproduct removal, new meters, SCADA, storage tank replacement","7,975","$1,500,000.00",1105,"$180,790,093.00",,
18574,Cattaraugus,ELLICOTTVILLE (T) & (V) / Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage",900,$0.00,1100,"$180,790,093.00",,
18448,Montgomery,FONDA (V) WATER WORKS / Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility","1,080",$0.00,1095,"$180,790,093.00",,
18577,Saratoga,MECHANICVILLE CITY / Mechanicville (C),Filtration Upgrades,"5,100","$100,000.00",1095,"$180,890,093.00",,
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E / Hastings (T),New Distribution System,"1,500",$0.00,1095,"$180,890,093.00",,
18173,Jefferson,BROWNVILLE (T) / Brownville (T),"(T) Brownville WD#2, New Distribution System",424,$0.00,1095,"$180,890,093.00",,
16510,Schenectady,DELANSON (V) / Delanson (V),Address Stage 2 DBPR Violation,335,$0.00,1090,"$180,890,093.00",,
18982,Essex,WILLSBORO WD / Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System","1,571","$12,157,962.00",1090,"$193,048,055.00",started using notebookLM here - note you can only pass it ~6 pages at a time & we can fix the project id # later,
18764,Greene,CATSKILL (V) / Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street. , Upgrade Water Treatment Plant, Upgrade Distribution System","4,081",$0.00,1090,"$193,048,055.00",,
18939,St.Lawrence,HERMON WATER DISTRICT NO. 1 / Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution System","1,060",$0.00,1090,"$193,048,055.00",,
18583,Orange,PINE BUSH WATER DISTRICT / Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission","7,000",$0.00,1085,"$193,048,055.00",,
18242,Yates,DRESDEN (V) / Dresden (V),"THM removal aeration equipment and flushing hydrants, Upgrade Storage",700,$0.00,1085,"$193,048,055.00",,
18843,Cattaraugus,PORTVILLE VILLAGE / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,040",$0.00,1085,"$193,048,055.00",,
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0.00,1080,"$193,048,055.00",,
19215,Wayne,NEWARK VILLAGE / Newark (V),"New 4.0 MG storage tank to replace Allerton Reservoir, New Storage","9,682",$0.00,1080,"$193,048,055.00",,
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S / Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,$0.00,1080,"$193,048,055.00",,
19266,Sullivan,WOODRIDGE (V) / Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",747,$0.00,1080,"$193,048,055.00",,
17422,Herkimer,"HERKIMER (T), WD NO. 3 / Herkimer (T)","New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0.00,1080,"$193,048,055.00",,
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0.00,1075,"$193,048,055.00",,
18584,Rensselaer,BERLIN WATER DISTRICT # 2 / Berlin (T),"Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,$0.00,1070,"$193,048,055.00",,
18903,Albany,ALBANY (C) / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","98,000",$0.00,1070,"$193,048,055.00",,
19287,Rensselaer,TROY (C) / Troy (C),"Lead service line inventory., Upgrade Distribution System","51,400",$0.00,1070,"$193,048,055.00",,
19411,Cayuga,AUBURN (C) / Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System","43,000",$0.00,1070,"$193,048,055.00",,
18976,Fulton,GLOVERSVILLE (C) WATER WORKS / Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System","17,991",$0.00,1070,"$193,048,055.00",,
18936,Jefferson,ALEXANDRIA VILLAGE / Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900",$0.00,1070,"$193,048,055.00",,
19420,Dutchess,GREENFIELD WATER DISTRICT / DCWWA,"Interconnection of Greenfields Water System to Hyde Park Regional Water System to address PFAS contamination, Upgrade Water Treatment Plant, New Pump Station, New Inter-Connection","1,050",$0.00,1055,"$193,048,055.00",,
19370,Orange,WARWICK (V) / Warwick (V),"Lead Service Line Inventory, Upgrade Distribution System","6,652",$0.00,1045,"$193,048,055.00",,
19407,Onondaga,SYRACUSE CITY / Syracuse (C),"Lead Service Line Inventory., Upgrade Distribution System","160,000",$0.00,1040,"$193,048,055.00",,
19609,Albany,ALBANY (C) / Albany MWFA,"Lead service line inventory., Upgrade Distribution System","100,000",$0.00,1040,"$193,048,055.00",,
19610,Oneida,MOHAWK VALLEY WATER AUTHORITY / MVWA,"Lead Service Line Inventory., Upgrade Distribution System","64,723",$0.00,1040,"$193,048,055.00",,
19433,Otsego,ONEONTA (C) / Oneonta (C),"Lead service line inventory., Upgrade Distribution System","16,000",$0.00,1040,"$193,048,055.00",,
19467,Franklin,MALONE (V) / Malone (V),"Lead service line inventory., Upgrade Distribution System","8,560",$0.00,1040,"$193,048,055.00",,
19384,Steuben,BATH (V) / Bath (V),"Lead Service Line Inventory, Upgrade Distribution System","5,432",$0.00,1040,"$193,048,055.00",,
19368,Herkimer,LITTLE FALLS (C) / Little Falls (C),"Lead service line inventory., Upgrade Distribution System","4,605",$0.00,1040,"$193,048,055.00",,
18810,Nassau,WA OF GREAT NECK NORTH / Water Auth - Great Neck North,"Phase 2 of Project #18146. Resiliency and redundancy at wells 2A, 5, 6, 8 and 11A, Backup generators at wells 6 and 10A., Upgrade Other Expenses, Upgrade Other (OT)","31,400",$0.00,1020,"$193,048,055.00",,
19814,Albany,RENSSELAERVILLE WATER DISTRICT / Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,"$2,551,786.00",145,"$195,599,841.00",,
16339,Jefferson,WELLESLEY ISLAND WATER CORP. / Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$6,354,590.00",140,"$201,954,431.00",,
19225,Livingston,LIVINGSTON COUNTY WSA / Livingston County WSA,"Leicester/York Water Supply; Expansion to Communities Impacted by AKZO Salt Mine, Extend Distribution System","33,200","$35,800,000.00",140,"$237,754,431.00",,
18915,Onondaga,CARDIFF WATER DISTRICT / LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",70,"$4,894,000.00",135,"$242,648,431.00",,
19782,NY City,NEW YORK CITY / NYCMWFA,"Hillview Reservoir Improvements - Chemical Storage and Chemical Feed Bldgs (HVR-200 & HVR-210), Upgrade Surface Water Treatment Rule Compliance Facility","8,271,000","$75,000,000.00",130,"$317,648,431.00",,
17488,Westchester,WESTCHESTER JOINT WATER WORKS / WJWW,"Funding Phase 1a of Project #18654 and #18269. Construction of 30 MGD filter plant, New Surface Water Treatment Rule Compliance Facility","46,054","$55,000,000.00",125,"$372,648,431.00",,
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY / Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, Upgrade Transmission, New Storage, New Pump Station, Upgrade Distribution System, New System Consolidation, New Water District","42,653","$54,882,970.00",125,"$427,531,401.00",,
19489,Clinton,SCHUYLER FALLS (T) / Clinton County,"Morrisonville WD Sands Road Extension to serve PFOA contaminated private wells., New Distribution System, New System Consolidation","4,843","$5,500,000.00",125,"$433,031,401.00",,
19335,Seneca,SENECA FALLS (T) / Seneca Falls (T),"Phase 1 of overall #19196 Project - WTP Upgrades and WM Extension, Upgrade Water Treatment Plant","9,027","$23,500,000.00",125,"$456,531,401.00",,
19541,Onondaga,ROUTE 11A WATER DISTRICT / Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",26,"$2,747,000.00",120,"$459,278,401.00",,
19529,Chautauqua,MAYVILLE (V) / Mayville (V),"New Well, New Treatment System, Replace WM, New Ground Water Source","2,000","$9,418,000.00",115,"$468,696,401.00",,
19102,Schuyler,ODESSA VILLAGE / Odessa (V),"Treatment Plant for iron, manganese, and arsenic; Water Main replacement; Tank mixer, New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",810,"$10,251,410.00",115,"$478,947,811.00",,
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD / Schroeppel (T),"New South Water District., New Water District","8,049","$25,450,000.00",115,"$504,397,811.00",,
19802,Lewis,LYONSDALE (T) / Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1., New Water District",783,"$5,871,000.00",115,"$510,268,811.00",,
19151,St.Lawrence,MORRISTOWN WATER DISTRICT / Morristown (T),"WTP & Distribution Improvements. Water Service Expansion in existing WD., New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, New Water District",777,"$10,145,500.00",115,"$520,414,311.00",,
19182,Oneida,TRENTON (T) / Trenton (T),"Hamlet of Barneveld distribution and storage improvements and MVWA connection, Upgrade Storage, Upgrade Distribution System",300,"$11,113,000.00",110,"$531,527,311.00",,
19760,Lewis,CROGHAN (V) / Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,"$10,197,000.00",110,"$541,724,311.00",,
18973,Suffolk,RIVERHEAD WD / Riverhead (T),"WD Extension - Forge Rd MHPs due to PFOA/PFOS and Mn contamination in private wells, Extend Distribution System, Extend Water District","28,000","$1,185,000.00",110,"$542,909,311.00",,
18954,Westchester,SOMERS HAMLET WD / Somers (T),"New drinking water distribution system to address PFAS contamination, New Distribution System, New Water District",100,"$2,912,700.00",110,"$545,822,011.00",,
19093,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","19,515","$5,240,000.00",105,"$551,062,011.00",,
19781,Cattaraugus,CATTARAUGUS (V) / Cattaraugus (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System","1,185","$10,788,220.00",105,"$561,850,231.00",,
19828,Washington,ARGYLE (V) / Argyle (V),"Upgrade Source, Rehab Storage, Upgrade Distribution, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,"$14,800,000.00",105,"$576,650,231.00",,
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Improvements to Source, treatment, storage, distribution, and meters. , Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,"$4,259,000.00",105,"$580,909,231.00",,
19545,Montgomery,FLORIDA (T) / Florida (T),"Fort Hunter Extenstion & Tank Improvements for DBPs, Upgrade Storage, Extend Distribution System",432,"$8,111,250.00",105,"$589,020,481.00",,
19140,Jefferson,WATERTOWN WD #3 & #4 / Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,"$10,135,200.00",105,"$599,155,681.00",,
19061,Wyoming,ATTICA (V) / Attica (V),"Water Treatment Plant Upgrades, Upgrade Water Treatment Plant","5,515","$10,926,240.00",100,"$610,081,921.00",,
19830,Clinton,PERU (T) / Peru (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage","6,772","$9,400,000.00",100,"$619,481,921.00",,
19525,Chautauqua,CLYMER (T) / Clymer (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,"$10,707,880.00",100,"$630,189,801.00",,
18531,Franklin,SARANAC LAKE (V) / Saranac Lake (V),"New Surface Water Source, WM Replacement, New Water Treatment Plant, New Surface Water Source, Upgrade Distribution System","4,887","$22,635,000.00",100,"$652,824,801.00",,
19517,Lewis,TURIN (V) / Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,"$6,952,500.00",100,"$659,777,301.00",,
17978,Jefferson,NORTHEAST WATER DISTRICT / Watertown (T),"New Northeast Water District, New Water District",550,"$8,085,000.00",100,"$667,862,301.00",,
19170,Dutchess,PAWLING VILLAGE / Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source","1,907","$4,000,000.00",95,"$671,862,301.00",,
19506,Greene,ATHENS (V) / Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility","1,586","$1,331,338.00",95,"$673,193,639.00",,
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"$6,942,000.00",95,"$680,135,639.00",,
19154,Jefferson,WATERTOWN (C) / Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant","65,000","$58,300,000.00",95,"$738,435,639.00",,
17093,Otsego,HARTWICK WATER DISTRICT / Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,"$3,760,078.00",95,"$742,195,717.00",,
18923,Chenango,NEW BERLIN (V) / New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","1,000","$19,550,000.00",95,"$761,745,717.00",,
19521,Lewis,PORT LEYDEN (V) / Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,"$10,197,000.00",95,"$771,942,717.00",,
18756,Lewis,CONSTABLEVILLE (V) / Constableville (V),"Watermain replacement, raw water transmission main replacement, spring storage basin repair/upgrades., Upgrade Transmission, Upgrade Distribution System",310,"$13,600,000.00",95,"$785,542,717.00",,
19538,Chautauqua,CHAUTAUQUA (T) / Chautauqua (T),"WD No. 5 on Westlake Rd, Upgrade Water District",650,"$9,591,360.00",95,"$795,134,077.00",,
18869,Essex,KEENE WD / Keene (T),"WD #2. New redundant well and upgrades to well building., New Ground Water Source",238,"$6,355,150.00",90,"$801,489,227.00",,
19571,Seneca,OVID (V) / Ovid (V),"New UF and RO systems, tank mixing and ventilation systems, replacement of water main. , New Other Expenses, New Water Treatment Plant, Upgrade Distribution System, New Other (OT)","1,056","$4,438,167.00",90,"$805,927,394.00",,
19244,Cattaraugus,SALAMANCA (C) / Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant","7,696","$28,040,556.00",90,"$833,967,950.00",,
19552,Allegany,FRIENDSHIP (T) / Friendship (T),"Distribution, Source and Treatment Upgrades, Upgrade Ground Water Source, Upgrade Distribution System","1,400","$12,450,000.00",90,"$846,417,950.00",,
18670,Nassau,HEMPSTEAD (V) / Hempstead (V),"1,4-dioxane and PFAS removal at Clinton Street Plant , Upgrade Water Treatment Plant, Upgrade Storage","56,000","$53,266,504.00",90,"$899,684,454.00",,
18097,Jefferson,CLAYTON VILLAGE / Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,100",$0.00,90,"$899,684,454.00",,
18854,Seneca,WILLARD WD / Romulus (T),"Willard WD Distribution Improvements., Upgrade Distribution System",372,"$2,659,853.00",90,"$902,344,307.00",,
19051,Allegany,SCIO WATER DISTRICT / Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,"$2,550,000.00",90,"$904,894,307.00",,
17417,Delaware,ARKVILLE WATER DISTRICT / Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,"$1,833,375.00",90,"$906,727,682.00",,
19840,Chautauqua,BUSTI (T) / Busti (T),"Town of Busti WD Extension and Improvement, New Distribution System",355,"$5,818,200.00",90,"$912,545,882.00",,
19785,Chautauqua,ELLICOTT (T) / Ellicott (T),"Extend Water Service Area in Fluvanna, Upgrade Distribution System",635,"$10,300,000.00",90,"$922,845,882.00",,
19798,Oneida,VIENNA FAR EAST WATER DISTRICT / Vienna (T),"New Far East Water District., New Water District",162,"$9,925,000.00",90,"$932,770,882.00",,
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE / South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station, Upgrade Distribution System","1,500","$7,837,762.00",85,"$940,608,644.00",,
19547,Erie,AKRON VILLAGE / Akron (V),"Improve Water Storage Tank. Install TTHM Removal System, Upgrade Storage","2,900","$6,500,000.00",85,"$947,108,644.00",,
18197,Otsego,ONEONTA CITY / Oneonta (C),"WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779","$8,072,625.00",85,"$955,181,269.00",,
18872,Herkimer,HERKIMER (V) / Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements., New Ground Water Source, New Storage, Upgrade Distribution System","7,606","$20,597,940.00",85,"$975,779,209.00",,
18126,Jefferson,BROWNVILLE (V) / Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System","2,200","$18,948,500.00",85,"$994,727,709.00",,
19502,NEW YORK CITY,NEW YORK CITY / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 [Phase 3 of DWSRF 18828)], New Transmission","8,271,000","$75,000,000.00",85,"$1,069,727,709.00",,
18367,Delaware,FISH'S EDDY WATER DISTRICT / Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",100,"$4,184,504.00",85,"$1,073,912,213.00",,
18430,Hamilton,BLUE MT LAKE WD / Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,"$5,000,000.00",80,"$1,078,912,213.00",,
19794,Franklin,BIRCH MOBILE HOME PARK / Birch Park MHP,"Installation of GAC for PFAS, new well, new disinfection, Upgrade Water Treatment Plant, New Ground Water Source",90,"$668,923.00",80,"$1,079,581,136.00",,
19714,Suffolk,GREENLAWN WD / Greenlawn WD,"Wellhead Treatment for PFAS & VOCs at Well Nos 10 & 15, Upgrade Water Treatment Plant","42,000","$4,562,500.00",80,"$1,084,143,636.00",,
19337,Nassau,PORT WASHINGTON WD / Port Washington WD,"Installation of GAC treatment to remove PFAS at Hewlett Well No. 4, Upgrade Water Treatment Plant","30,000","$7,723,610.00",80,"$1,091,867,246.00",,
19485,Nassau,PORT WASHINGTON WD / Port Washington WD,"New GAC to remove PFAS contamination at Ricks Well 7, Upgrade Water Treatment Plant","30,000","$9,527,500.00",80,"$1,101,394,746.00",,
18942,Rockland,SUFFERN (V) / Suffern (V),"PFAS Removal, Upgrade Water Treatment Plant","11,000","$532,800.00",80,"$1,101,927,546.00",,
19369,Nassau,WILLISTON PARK (V) / Williston Park (V),"Well No.4 GAC PFAS treatment, Upgrade Water Treatment Plant","7,300","$8,681,870.00",80,"$1,110,609,416.00",,
