"PROJRANK","COUNTY","PWSID","PROJECT COST","DEP PROJECT RATING","APPLICANT NAME","STREET ADDRESS","CITY","PROJECT TYPE","FUND SOURCE","MTGDATE","REGION","POPULATION","PV RATING","GREEN CATEGORY","GREEN PROJECT","BUSINESS CASE","LOAN #","GREEN AMOUNT","PROJ. DESCRIPTION","PROB. DESCRIPTION"
"11","BUCKS","1090128","$4,440,800","50","DOYLESTOWN TOWNSHIP MUNICIPAL AUTHORITY NORTH WELLS #3 AND #4 PFAS TREATMENT","425 WELLS ROAD","DOYELSTOWN","TREAT, PFAS","DWSRF","4/15/2026","I","8,655","55","N/A","No","N/A","81140","$0","Proposed plans include construction of a new treatment building, which will house two Greensand Plus filters for removal of manganese, two granular activated carbon (GAC) filter vessels for removal of PFAS, and new chlorination and ortho/polyphosphate equipment. A new chlorine detention tank will be installed, as well as a 30,000-gallon aboveground holding tank to store PFAS media backwash water. This project includes removal of the existing well house, detention tanks, and related chemical feed equipment.","The Doylestown Township Municipal Authority Main System (PWS ID# 1090128), referenced herein as DTMA, serves the townships of Doylestown, Plumstead, and Buckingham, as well as the New Britain Borough in Bucks County. DTMA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at Entry Point (EP) 107 has been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate exceedances of the PFOA Maximum Contaminant Level (MCL) of at EP 107, as well as exceedances of the secondary contaminant MCL (0.05 mg/L) for manganese at EP 107. Water samples collected at Entry Point 107 for North Wells 3 & 4 exhibited elevated PFAS levels in 2024 and 2025, as follows averaged values): 12.7 ng/L PFOA and 7.2 ng/L PFOS. In addition, manganese has exceeded the state secondary MCL (0.12 mg/L averaged)."
"12","ALLEGHENY","5020038","$21,770,999","50","PITTSBURGH WATER & SEWER AUTHORITY 2025 SDWMR (NON-LEAD)","441 SMITHFIELD ST.","PITTSBURGH","DS","DWSRF","4/15/2026","V","520,000","87","Water Efficiency","Yes","Not Required","82261","$21,770,999","2025 Small Diameter Water Main Replacement C include the replacement of aging 4-inch to 16-inch diameter pipes with new zinc coated ductile iron pipe ranging from 4-inch to 24-inch. This work includes the replacement of approximately 15,000 ft water mains, 306 valves, 34 fire hydrants, and 366 water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, mains with a history of breaks.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak-prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. In addition, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas. The water main replacement work will occur within the City of Pittsburgh and will benefit the existing population within the area."
"13","FAYETTE","5260013","$4,498,972","49","MASONTOWN BOROUGH WATER METER REPLACEMENT PROJECT","2 COURT AVENUE","MASONTOWN","METERS","DWSRF","10/15/2025","V","3,700","72","Water Efficiency","Yes","N/A","82255","$4,498,986","The proposed Project is to install exterior meter pits and replace meters at all service connections in order to reduce Borough water losses from the service connection to the customer water meter (currently located in the home).","Water meters are currently located within the customer's house and therefore all water losses from the water main to the customer are borne by Masontown Borough. The intent of the Project is to relocate the water meter to the legal line of ownership."
"14","CHESTER","1230004","$19,277,386","48","CHESTER WATER AUTHORITY SUSQUEHANNA PUMPING STATION RELIABILITY IMPROVEMENTS","P.O. BOX 467","CHESTER","PS, TREAT","DWSRF","10/15/2025","I","138,453","73","N/A","No","N/A","80307","$0","The scope of the major station improvements is to replace the existing three constant feed pumps (Pumps #1-3) with 1,500 HP vertical turbine pumps with new variable frequency drives (VFDs); o Remove existing variable speed pump (Pump No. 4); Install a 2800 kW backup generator capable of running (2) of the 1,500 HP pumps on VFDs; replace the existing switchgear equipment and transformer; replace the existing 1,000 kW generator with a smaller power generator used for house power and SCADA reliability; remove hydraulic system on discharge valves and replace with combination electrical and individual hydraulic actuators capable of the necessary valve closing times during an emergency pump stop; remove unnecessary bypass and backflush piping; replace permanganate dry chemical system with liquid skid-mounted sodium permanganate chemical system with two (2) positive displacement pumps; demolish existing Chemical Building and constructing a new Chemical Storage Room next to the Pumping Station Building; replace existing control system equipment with up-to-date hardware and network infrastructure.","Chester Water Authority (CWA) is seeking funding for reliability improvements of their Susquehanna Booster Station. The Susquehanna Raw Water Pumping Station provides the only alternate source water to Chester Water Authority’s Octoraro Water Treatment Plant’s primary source water, the Octoraro Reservoir. In recent years, operational challenges have limited the station’s functionality. Some of the station’s components have reached their serviceable lifespan and are due for replacement. Other systems require upgrades to improve operational functionality and reliability. These improvements will provide increased station functionality and reliability with additional flow control, reduced maintenance, and improved emergency power systems. The project location will be within Fulton Township in Lancaster County; however, these facilities are permitted by the DEP Southeast Regional Office as the facilities serve customers in Chester and Delaware Counties."
"15","SOMERSET","4560048","$12,581,250","48","CONEMAUGH TOWNSHIP MUNICIPAL AUTHORITY-METER PIT INSTALLATION PROJECT","BOX 13, R D #3","HOLLSOPPLE","METERS","DWSRF","1/21/2026","V","8,200","71","Water Efficiency","Yes","N/A","80316","$12,581,250","The Conemaugh Township Municipal Authority meter and meter pit installation project consists of approximately 2,200 new meter and pits in the water distribution system. Meter pits will be placed on the property line of each customer and connected to the existing service lines.","The Conemaugh Township Municipal Authority has experienced high water loss (64 percent in 2023) and the existence of many long service lines that do not currently have meter and meter pits. Several meters are located within homes nd need manual reading wvery month. This project will reduce water loss and increase revenue for the Authority."
"16","FAYETTE","5260009","$5,100,000","46","THE MUNICIPAL AUTHORITY OF THE TOWNSHIP OF WASHINGTON - WATER SYSTEM IMPROVEMENTS","1390 FAYETTE AVE","BELLE VERNON","TREAT, DS","DWSRF","7/16/2025","V","9,100","65","Water Efficiency","Yes","N/A","82252","$3,326,400","The Authority is proposing to replace the motor control center, raw water pump, and supervisory control and data acquisition (SCADA) system at its existing water treatment plant as well as the replacing approximately 15,000 linear feet of 6-inch, 8-inch and 12-inch diameter water lines. The project also includes the rehabilitation of the water treatment plant filters. Air scour will be provided through new underdrains within the filters. New filter media and filter troughs will also be provided as a part of the project.","Most of the equipment within the motor control center is outdated and reached the end of its useful life. If the motor control center failed, the Authority would not be able to produce water for a number of days. The Department has identified several issues with the filters, including loss of media and leaking troughs. Furthermore, the Department has recommended that the Authority add an air scour system to the filters. The SCADA system was installed on the water distribution system in 2006. Much of the control system equipment is now outdated. The Authority has also identified ten sections of water lines throughout the system that need to be replaced. Most of these water lines are 2-inch diameter, which is not properly sized for fire hydrants. Additionally, this reduced line size results in higher pumping costs to the Authority. These water lines also have a history of breaks which cause water outages to the Authority’s customers as well as excessive and costly damages to public roads and private property."
"17","CAMBRIA","4110017","$8,266,350","45","HIGHLAND SEWER AND WATER AUTHORITY - CROYLE WATER LINE PROJECT CONTRACT 2025-W-03","120 TANK DRIVE","JOHNSTOWN","DS, METERS","DWSRF","4/15/2026","V","24,310","70","Water Efficiency","Yes","Not Required","82259","$360,000","The Highland Sewer and Water Authority (HSWA) is proposing the Croyle  water line improvement project located in Cambria County. The third phase called Contract 2025-W-03, includes installation of 51,000 linear feet (LF) of transmission and distribution waterline with all necessary appurtenances within Croyle Township, East Taylor Township, and Cambria Township. Work includes the installation of water line, water service line from the water main to the property line, and water appurtenances necessary for the system. Three new pressure relief valve (PRV) vaults are to be added to the system to reduce dangerous pressure levels that currently exist within the Croyle Township main lines. The project will also include the installation of new meter pits and residential service meters for all Croyle customers along the alignment to modernize metering and allow for better integration into the HSWA system.","Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells “bulk” water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Croyle Township Water Authority (CTWA) (which servers 4 different municipalities). CTWA purchases all their water from HSWA. Due to difficulties managing and maintaining a public water system, CTWA is proposing to transfer ownership and operation of their water system to HSWA. Ownership will be transferred to HSWA, and HSWA will take over billing for these customers. There will be no interruption of service or changes in water quality because of this transfer. Prior to assuming ownership, HSWA is proposing many of the older or problematic water lines be replaced within the CTWA system. The pipes and appurtenances within the system are past their anticipated useful life and are prone to breaks and water loss. The additional tanks and pump stations will also improve water pressure conditions as well as the longevity and serviceability of the system."
"18","CAMBRIA","4110017","$8,226,760","45","HIGHLAND SEWER AND WATER AUTHORITY - CROYLE WATER LINE PROJECT CONTRACT 2025-W-02","120 TANK DRIVE","JOHNSTOWN","DS, METERS","DWSRF","1/21/2026","V","24,310","70","Water Efficiency","Yes","Not Required","80317","$240,000","The Highland Sewer and Water Authority (HSWA) is proposing the Croyle  waterline improvement project located in Cambria county. This second phase, called Contract 2025-W-02, includes the installation of 45,000 linear feet (LF) of water line, water service lines from the water main to the property line, and water appurtenances necessary for the system. The project will also include the installation of new meter pits and residential service meters for all Croyle customers to modernize metering and allow for better integration into the HSWA system."," Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells “bulk” water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Croyle Township Water Authority (CTWA) (which servers 4 different municipalities). CTWA purchases all their water from HSWA. Due to difficulties managing and maintaining a public water system, CTWA is proposing to transfer ownership and operation of their water system to HSWA. Ownership will be transferred to HSWA, and HSWA will take over billing for these customers. There will be no interruption of service or changes in water quality because of this transfer. Prior to assuming ownership, HSWA is proposing many of the older or problematic water lines be replaced within the CTWA system. The pipes and appurtenances within the system are past their anticipated useful life and are prone to breaks and water loss."
"19","CAMBRIA","4560013","$4,195,560","45","WINDBER AREA AUTHORITY - MINE 40 WATERLINE REPLACEMENT PROJECT","1409 SOMERSET AVENUE","WINDBER","DS","DWSRF","4/15/2026","V","9,454","60","Water Efficiency","Yes","Not Required","82256","$3,119,528","This project primarily consists of the installation of approximately 9,650 LF of new 6-inch diameter through 12-inch diameter water distribution piping as well as associated infrastructure for both distribution piping and water service connections to approximately 224 users. Water service connection infrastructure is anticipated to include water service lines, appurtenances, and meter pits. The existing Authority-owned water service piping will be replaced to the customers’ private property line as part of the project. Work will in most cases end at the private property lines; however, several sections of Authority-owned service lines need to be replaced within private property boundaries. Easements will be obtained for these sections as needed.","The existing waterlines within the Mine 40 Area are a mixture of 120-year old 4-inch cast-iron pipe and approximately 40-year-old asbestos cement pipe. Most service lines in this area are composed of approximately 70-year old copper line. There are some 100-year old galvanized service lines present as well. Line breaks and reduced fire flow rates are an issue. In addition, Scalp Level Borough’s upcoming Sanitary Sewer & Storm Sewer Rehab/Separation Project is in the same project area and anticipated to put additional stress on the existing lines. The new sewer lines will cross the existing water lines in many locations. Water loss is also an issue system-wide. No lead service lines are known to exist within the project area."
"20","CAMBRIA","4110017","$8,516,670","44","HIGHLAND SEWER AND WATER AUTHORITY CROYLE WATER LINE PROJECT CONTRACT 2025-W-01","120 TANK DRIVE","JOHNSTOWN","WS, PS","DWSRF","10/15/2025","V","24,310","65","N/A","No","N/A","80304","$0","Highland Sewer and Water Authority (HSWA) is proposing the Croyle Water Project. The project is located in Cambria Township, Croyle Township, East Taylor Township, Jackson Township, and Summerhill Borough, Cambria County, Pennsylvania. HSWA is proposing to complete a water system improvement that includes the addition and replacement of all necessary appurtenances within the Beaverdam system through multiple phases. For the first phase (called as Contract 2025-W-1), the project consists of the installation of three water storage tanks and three pump stations (two new water tanks and a pump station will be added to the system; A tank and two existing pump stations will be also replaced) as well as all appurtenances and site work necessary to complete these installations and connection to the proposed waterline to be installed under the applications of future phases.","Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells “bulk” water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Croyle Township Water Authority (CTWA) (which servers 4 different municipalities). CTWA purchases all their water from HSWA. Due to difficulties managing and maintaining a public water system, CTWA is proposing to transfer ownership and operation of their water system to HSWA. Ownership will be transferred to HSWA, and HSWA will take over billing for these customers. There will be no interruption of service or changes in water quality because of this transfer. Prior to assuming ownership, HSWA is proposing many of the older or problematic water lines be replaced within the CTWA system.  The pipes and appurtenances within the system are past their anticipated useful life and are prone to breaks and water loss. The additional tanks and pump stations will improve water pressure conditions, the longevity and serviceability of the system."
"21","MONROE","2450063","$5,046,571","43","PENNSYLVANIA AMERICAN WATER COMPANY - PINE HILL WELL PFAS/MN TREATMENT IMPROVEMENTS","P O BOX 718","MOUNT POCONO","TREAT, PFAS","DWSRF","10/15/2025","II","17,860","58","N/A","No","N/A","80312","$0","The project includes the demolition of the existing wellhouse and construction of a new treatment facility at the existing Pine Hill well station, disposal of process wastewater, and other related work to address PFAS and iron and manganese in the raw water. The new treatment facility will include GAC adsorbers and green sand filters. New concrete tanks will be utilized for holding backwash waste. Further chemical feed system improvements to help meet the requirements. New 4-inch ductile will be installed for raw flow to the treatment building. The existing submersible well pump will be replaced, and the existing high service pumps will be replaced.","Pine Hill Well - The Pine Hill well shows PFOS level of 6.6 ppt and PFOA level of 4.7 ppt. Manganese sampling levels of 0.64 mg/L exceeding the secondary MCL of 0.05 mg/L."
"22","ERIE","6250028","$12,000,000","43","ERIE CITY WATER AUTH.- SIGSBEE/RSW PUMP STATIONS, VALVE VAULT & LINE REPL PRO-FI","340 WEST BAYFRONT PARKWAY","ERIE","PS","DWSRF","7/16/2025","VI","180,000","62","N/A","No","N/A","80293","$0","The proposed Pro-Fi application will include the following projects, with the Sigsbee Pump Station Upgrade planned to be the lead project:  Sigsbee Pump Station Upgrade; RSW WTP West Lake Pump Station and Low Duty Pump Station Variable Frequency Drives; RSW WTP Low Service Pump Station Variable Frequency Drives; Sigsbee Reservoir Valve Vault Reconstruction; Kuntz Road Water Main Replacement; McClelland Avenue Water Main Replacement; Frontier Area (Backyards) Water Main Replacements.","This application is being made in conjunction with the PENNVEST Programmatic Financing guidelines and addresses seven projects in the Erie Water Works Capital Improvement Plan.  The lead shovel ready project is the Sigsbee Pump Station Upgrade.  The soft starters at the Sigsbee Pump Station are obsolete and one of the existing three pumps is inoperable. There are no parts for the starters and if failure occurs they have to be replaced with new starters, however, Staff intends to utilize variable frequency drives (VFD) in the future to accurately control flow and pressure under any circumstance.  All three pumps will be replaced, electrical gear will be updated, the roof and windows will be replaced, and other miscellaneous facility improvements will occur."
"23","CLINTON","4180048","$8,800,000","43","CITY OF LOCK HAVEN - YOUNGDALE WELL FIELD DEVELOPMENT","20 E CHURCH ST","LOCK HAVEN","SRC, TREAT, TRANS","DWSRF","10/15/2025","IV","9,890","58","N/A","No","N/A","80305","$0","The project will include the development of two (2) groundwater wells that will be connected to the regional Central Clinton County Water Filtration Authority (CCCWFA) water treatment plant. The new well operation building will house electrical equipment, a supervisory control and data acquisition (SCADA) unit, transfer switch, and exterior emergency generator. Extension of 3-phase power to the well sites is also included. Approximately 9,545 linear feet of new 12-inch to 16-inch diameter well transmission line will interconnect to the water treatment plant by an exterior vault with all required internal plant pipe connections and chemical feed injection points. Additional treatment, filtration, disinfection, and finished water pumping will occur at the CCCWFA plant. A master pressure control and monitoring facility will be installed along Youngdale Road to regulate downstream system pressure and to meter water flow to the City service area.","Recent water shortages caused by drought and inadequate reservoir capacity have resulted in frequent usage restrictions. Sometimes water reserves have been so limited that alternative water supplies were employed to provide drinking water to the service area."
"24","CLARION","6160010","$7,346,392","43","REDBANK VALLEY MUNICIPAL AUTHORITY - WATER SYSTEM IMPROVEMENTS","212 LAFAYETTE ST","NEW BETHLEHEM","TREAT, TRANS, DS","DWSRF","1/21/2026","VI","3,150","74","N/A","No","N/A","80315","$0","This water system improvement project will include the installation of 9,880 linear feet (LF) of 6-inch diameter water line, 2,700 LF of 8-inch diameter water line, 1,800 LF of 10-inch diameter water line, fire hydrants, and appurtenances. In the water treatment plant, aging tube settlers will be replaced with inclined plate settlers and filter media.","Redbank Valley Municipal Authority has experienced 44 percent to 48 percent unaccounted for water losses in their distribution system. Leaks have been identified along the Olean Trail in Porter Township, and in New Bethlehem Borough. There is also a lack of fire protection along Broad Street in South Bethlehem Borough since the existing fire hydrants are not operable. The water treatment plant has also been underperforming. The existing project area has aging water lines that have had numerous breaks. The tube settlers need to be replaced to better trap the solids in the settling area."
