Project,Project Description,Zip Code,Priority Points,Service Area Population,Eligible PF Amount,Loan Amount Requested,Statewide Cum. $
Cross-Roads Water Assn. ,Rehab/ Replacement of Existing Facilities,38916,221,1600,"$500,000","$3,057,336","$184,853,022"
"Stonewall, Town of  ",Rehab/ Replacement of Existing Facilities,39363,220,933,"$500,000","$3,300,725","$188,153,747"
Hatten Water Association ,"New Facility, New Well, New Water Mains",39168,180,1182,"$500,000","$2,304,648","$190,458,395"
"Pachuta, Village of  ",Rehab/ Replacement of Existing Facilities,39347,165,143,"$426,665","$948,145","$191,406,540"
McCarley Water Assn.  ,Rehab/ Replacement of Existing Facilities,38943,153,647,$0,"$2,394,289","$193,800,829"
Neely Utilities ,New Storage/ Extend to Unserved Area,39461,132,499,$0,"$1,343,992","$195,144,821"
"Cleaveland, City of ",Rehab Existing Facilities,38732,119,12000,"$500,000","$2,114,701","$197,259,522"
"Starkville, City of ",Replace Existing Water Main,39759,110,25339,$0,"$1,850,000","$199,109,522"
"Pittsboro, Town of  ",Rehab/ Replacement of Existing Facilities,38951,100,1077,$0,"$4,055,512","$203,165,034"
Morgan City Water Assn.  ,Rehab/ Replacement of Existing Facilities,38946,97,250,$0,"$1,552,953","$204,717,987"
"Mount Olive, Town of ",New Water Treatment Plant,39119,51,982,$0,"$2,000,000","$206,717,987"
"Valley Park Water Association, Inc.  ",Water System Improvements,39177,23,448,"$175,077","$500,221","$207,218,208"
Category XII: Consolidation Projects,,,,,,,
Jackson Co. Utility Authority  ,Consolidation,39567,76,75000,$0,"$31,750,000","$238,968,208"
Jackson Co. Utility Authority  ,Consolidation,39567,71,75000,$0,"$1,270,000","$240,238,208"
Jackson Co. Utility Authority  ,Consolidation,39567,32,6600,$0,"$279,400","$240,517,608"
Jackson Co. Utility Authority  ,Consolidation,39567,0,12000,$0,"$2,540,000","$243,057,608"
