Project,Project Description,Zip Code,Priority Points,Service Area Population,Eligible PF Amount,Loan Amount Requested,Statewide Cum. $
Willow Grove Water Assoc.,Surveying and Inventorying Lead Service Line,39428,5570,2175,"$31,250","$125,000","$11,558,195"
Topisaw Creek Water Assoc.,Surveying and Inventorying Lead Service Line,39662,5484,0,"$41,250","$275,000","$11,833,195"
Southern Rankin Water Assoc.,Surveying and Inventorying Lead Service Line,39073,5341,0,"$52,500","$210,000","$12,043,195"
"Mize, Town of",Surveying & Inventory of Lead Service Lines,39116,5292,0,"$14,000","$40,000","$12,083,195"
Lake City Water Assoc.,Surveying & Inventory of Lead Service Lines,39071,5270,0,"$31,250","$125,000","$12,208,195"
Yokena Jeff Davis,Surveying and Inventorying Lead Service Line,39180,5236,0,"$35,000","$140,000","$12,348,195"
Union Water Assoc.,Surveying and Inventorying Lead Service Line,39151,5148,692,$600,"$40,000","$12,388,195"
Star Water Company,Surveying and Inventorying Lead Service Line,39167,5107,0,$0,"$75,000","$12,463,195"
Sylvarena Water Assoc.,Surveying and Inventorying Lead Service Line,39153,4897,801,"$17,500","$50,000","$12,513,195"
"Braxton, Town of",Surveying & Inventory of Lead Service Lines,39044,4763,0,"$24,500","$50,000","$12,563,195"
Goshen Water Assoc.,Surveying & Inventory of Lead Service Lines,39051,4650,0,"$14,000","$25,000","$12,588,195"
"Vicksburg, City of",Survey & Inventory Lead Service Lines,38701,4459,29238,"$190,895","$2,483,640","$15,071,835"
"Puckett, Town of",Surveying & Inventory of Lead Service Lines,39151,3882,0,"$12,500","$50,000","$15,121,835"
Category XIII: Other,,,,,,,
Thomasville Water Assoc.,Surveying and Inventorying Lead Service Line,39042,3648,0,"$18,750","$125,000","$15,246,835"
Winterville Water Assoc.,Surveying and Inventorying Lead Service Line,38703,2700,0,"$11,250","$25,000","$15,271,835"
Senatobia Lakes Estates,Surveying & Inventory of Lead Service Lines,38668,2342,180,"$8,750","$25,000","$15,296,835"
"Collins, City of",Surveying and Inventorying Lead Service Lines,39428,1957,4000,"$315,000","$500,000","$15,796,835"
"Bay Springs, Town of",Surveying & Inventory of Lead Service Lines,39422,1725,1723,"$700,000","$1,000,000","$16,796,835"
"Wiggins, City of",Inventory Lead Service Lines,39577,1662,4390,"$250,000","$1,000,000","$17,796,835"
Canton Municipal Utilities,Surveying and Inventorying Lead Service Line,39046,1177,26719,$0,"$1,000,000","$18,796,835"
Clarkdale Water Assoc.,Replacement of Lead Service Lines,39301,735,4739,"$1,156,960","$2,066,000","$20,862,835"
Harland Creek Water Assoc.,Replacement of Lead Service Lines,39095,554,1338,"$500,000","$2,484,300","$23,347,135"
"Jackson, City of",Replacement of Lead Service Lines,39216,110,150000,"$500,000","$5,000,000","$28,347,135"
"Mount Olive, Town of",Surveying and Inventorying Lead Service Lines,39119,102,982,"$450,000","$1,000,000","$29,347,135"
