"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served",PWSID No,"SRF
Project No.",Project Description,"Estimated Lead
Service Line
Replacement Cost","Estimated
Green Project
Reserve
Cost","Green
Project
Reserve
Category","Current
User Rate
(per 4,000 gallons)","Estimated
Post-Project
User Rate
(per 4,000
gallons)","Requested
Funds","Cumulative
Requested
Funds",Estimated Total Project Cost,Cumulative Total
29,30,Lakeville,"$42,778",750,5271008,DW222571 01,Storage and Distribution System Improvements,$0,TBD,TBD,$31.40,$100.04,"$7,540,000","$384,413,229",,
30,30,"Maysville Regional Water and Sewer
District","$60,566","1,634",5202037,DW220502 01,"Water Main Extension, Storage, and Distribution System
Improvements",$0,$0,N/A,$36.25,$65.00,"$2,500,000","$386,913,229",,
31,29,Odon,"$33,125","1,379",5214005,DW223714 02,"Treatment, Storage, and Supply Improvements",$0,N/A,N/A,$36.24,$70.71,"$4,764,400","$391,677,629",,
32,29,Ingalls,"$51,339","7,600",5248012,DW221148 02,Storage and Distribution System Improvements,$0,TBD,TBD,$38.96,$45.00,"$3,272,000","$394,949,629",,
33,29,Bourbon,"$54,333","1,767",5250002,DW221350 01,Treatment and Well Improvements,$0,TBD,TBD,$31.03,$66.94,"$4,714,000","$399,663,629",,
34,29,Tri-Township Water Corporation,"$62,462","9,725",5215009,DW220615 01,Storage and Distribution System Improvements,$0,"$775,000",WE,$26.46,$24.24,"$4,535,805","$404,199,434",,
35,28,Lynn,"$49,722","1,149",5268004,DW222468 01,Storage and Distribution Improvements,$0,$0,N/A,$36.26,$72.21,"$2,972,500","$407,171,934",,
36,28,Swayzee,"$52,727",918,5227020,DW222227 02,Treatment Improvements,"$6,472,920",TBD,TBD,$34.13,$67.16,"$2,211,507","$409,383,441",,
37,28,Wakarusa,"$65,673","1,800",5220029,DW223120 01,Supply and Water Treatment Plant Improvements,$0,TBD,TBD,$25.00,$60.55,"$5,059,500","$414,442,941",,
38,27,Williamsport,"$49,563","1,800",5286004,DW223386 02,Distribution and Storage Improvements,$0,N/A,N/A,$37.15,$47.08,"$1,466,100","$415,909,041",,
39,27,New Richmond,"$50,938",333,5254009,DW221754 01,"Supply, Distribution, and Treatment Improvements",$0,N/A,N/A,$31.80,$46.18,"$859,400","$416,768,441",,
40,27,Bristol,"$54,276","1,675",5220003,DW222820 01,Distribution and Storage Improvements,$0,N/A,N/A,$16.22,$47.50,"$11,919,000","$428,687,441",,
41,26,Laurel,"$19,846",560,5224004,DW222724 01,"Storage and Treatment Improvements with Security
Updates",$0,N/A,N/A,$26.00,$70.25,"$1,745,000","$430,432,441",,
42,26,Russellville,"$55,625",380,5267008,DW201867 02,Storage and Distribution System Improvements,$0,$0,N/A,$45.00,$109.72,"$1,400,000","$431,832,441",,
43,25,Evansville - Main Replacement,"$42,600","173,000",5282002,DW181282 02,Distribution System Improvements,$0,$0,N/A,$33.74,$45.86,"$97,000,000","$528,832,441",,
44,25,Brown County Water Utility,"$61,030","11,300",5207001,DW201407 03,Supply and Distribution System Improvements,$0,$0,N/A,$51.08,$55.64,"$4,230,660","$533,063,101",,
45,25,North Dearborn Water Corporation,"$68,658","5,500",5215008,DW201615 02,"Supply, Plant and Distribution System Improvements",$0,TBD,WE,$26.07,$37.72,"$3,895,000","$536,958,101",,
46,24,Connersville,"$38,980","15,000",5221001,DW223821 01,Distribution System Improvements,$0,TBD,TBD,$23.54,TBD,"$6,797,950","$543,756,051",,
47,23,Madison,"$40,231","11,967",5239006,DW220939 03,"Treatment, Storage, and Distribution System
Improvements",$0,TBD,TBD,$9.48,$15.12,"$12,370,800","$556,126,851",,
48,23,Attica,"$49,167","3,147",5223001,DW220823 01,"Treatment, Storage, and Distribution System
Improvements",$0,$0,N/A,$33.25,$26.99,"$2,377,000","$558,503,851",,
49,23,Cloverdale,"$51,908","2,060",5267003,DW223267 01,Water Main Replacements,$0,N/A,N/A,$38.86,$37.51,"$4,801,735","$563,305,586",,
50,21,Washington,"$41,824","13,690",5214007,DW190414 01,Distribution System Improvements,$0,$0,N/A,$33.79,$38.86,"$3,300,000","$566,605,586",,
51,21,Spiceland,"$53,625",940,5233016,DW222633 03,Supply and Treatment Improvements,$0,N/A,N/A,$52.20,TBD,"$6,541,000","$573,146,586",,
52,17,Columbus,"$63,405","44,061",5203002,DW211403 01,New Supply,$0,$0,N/A,$9.82,$16.72,"$15,400,000","$588,546,586",,
53,16,Carmel,"$113,714","90,173",5229004,DW181129 01,"Plant, Storage and Distribution System Improvements",$0,TBD,TBD,$25.31,$29.87,"$51,000,000","$639,546,586",,
,,Loogootee,"$43,375","3,915",5251005,DW210251 01,Storage and Distribution System Improvements,$0,TBD,TBD,$31.54,$46.35,,,"$2,630,000","$2,630,000"
,,"Valparaiso Lakes Area Conservancy
District","$59,533","2,565",5264033,DW222064 01,Water Main Looping,$0,TBD,TBD,$41.00,$43.24,,,"$340,000","$2,970,000"
