"ProjectNumber",Applicant,County,Project Components,"DisadvantagedStatus",Population,"TotalPriorityPoints","Cost perPopulationServed","Total ProjectCosts","Lead ServiceLine Costs","EC RelatedCosts","DWSRFTraditionalLoan","DWSRFTraditionalPF","BIL DWSRFSupplementalLoan","BIL DWSRFSupplementalPF","BIL DWSRFEmergingContaminantsPF",ARPA Grant,DWI Grant,"BIL DWSRFLSLR Loan","BIL DWSRFLSLR PF","LSLR + WMARPA (new)"
7849-01,City of Grosse Pointe Woods,Wayne,"Watermain, LSLR",,"1 6,487",60,$230.00,"$     3 ,790,000","$2,127,825.00",,,,,,,,,,,
7594-01,Hampton Charter Twp.,Bay,Watermain,Overburdened,"9 ,452",60,$421.00,"$     3 ,980,000",,,,,,,,,,,,
7752-01,City of Ferndale,Oakland,LSLR,,"1 9,312",60,$621.00,"$   1 2,000,000","$12,000,000.00",,,,,,,,,,,
7695-01,City of Northville,Oakland/Wayne,"Watermain, looping, LSLR, PRVs",,"6 ,119",60,"$1,256.00","$     7 ,685,000","$           6 8,000",,,,,,,,,,,
7772-01,City of Hancock,Houghton,"Watermain, looping, tank, valves",Overburdened,"4 ,526",60,"$1,323.00","$     5 ,990,000",,,,,,,,,,,,
7765-01,Vicksburg,Kalamazoo,"Watermain, LSLR",,"3 ,854",60,"$1,347.00","$     5 ,190,000","$967,000.00",,,,,,,,,,,
7807-01,Village of Ellsworth,Antrim,"Well, storage tank",Overburdened,3 47,60,"$2,104.00","$730,000.00",,,,,,,,,,,,
7844-01,Caledonia Charter Twp.,Shiawassee,"Watermain, LSLR",,"4 ,360",60,"$2,196.00","$     9 ,575,000","$           8 6,625",,,,,,,,,,,
7724-01,City of Omer,Arenac,"WTPtower, raw water storage",,2 60,60,"$2,308.00","$600,000.00",,,,,,,,,,,,
7788-01,Marion,Osceola,"New well, well abandonment",Overburdened,4 22,60,"$2,986.00","$     1 ,260,000",,,,,,,,,,,,
7726-01,Village of Lake Linden,Houghton,"Watermain, service lines","SignificantlyOverburdened","1 ,113",60,"$7,273.00","$     8 ,095,000",,,,,,,,,,,,
7685-01,Bergland Twp.,Ontonagon,"Watermain, LSLR, tower","SignificantlyOverburdened",2 90,60,"$8,552.00","$     2 ,480,000","$360,000.00",,,,,,,,,,,
7814-01,Rockland Twp.,Ontonagon,"Watermain, meters, well",Overburdened,1 26,60,"$17,976.00","$     2 ,265,000",,,,,,,,,,,,
7642-01,"Southeastern Oakland CountyWater Authority",Oakland,"Pumpstation, tanks",,"244,941",55,$16.00,"$     4 ,000,000",,,,,,,,,,,,
7800-01,Muskegon County BPW,Muskegon,Watermain extension - PFAS related,,"112,000",55,$56.00,"$     6 ,300,000",,"$6,300,000.00","$1,180,750.00",,,,"$5,119,250.00",,,,,
7759-01,City of Warren,Macomb,LSLR,,"137,253",55,$87.00,"$   1 2,000,000","$12,000,000.00",,,,,,,,,,,
7729-01,YCUA-City,Washtenaw,Meter replacement,Overburdened,"2 2,926",55,$101.00,"$     2 ,305,000",,,,,,,,,,,,
7719-01,Traverse City,Grand Traverse,"Watermain, booster",,"3 1,155",55,$120.00,"$     3 ,750,000",,,,,,,,,,,,
7653-01,Port Huron Charter Twp.,St. Clair,"Watermain, meters",Overburdened,"1 0,792",55,$677.00,"$     7 ,305,000",,,,,,,,,,,,
7550-01,Village of Beverly Hills,Oakland,Watermain,,"1 0,016",55,$817.00,"$     8 ,180,000",,,,,,,,,,,,
7739-01,Carrollton Twp.,Saginaw,Watermain,Overburdened,"6 ,103",55,$852.00,"$     5 ,200,000",,,,,,,,,,,,
7779-01,Blair Township,Grand Traverse,"New wells, iron removal plant",Overburdened,"4 ,154",55,"$1,123.00","$     4 ,665,000",,,,,,,,,,,,
7825-01,Crystal Falls Twp.,Iron,"Watermain, LSLR, wellhouse",,"5 ,625",55,"$1,146.00","$     6 ,445,000","$456,000.00",,,,,,,,,,,
7767-01,Ira Township,St. Clair,"Watermain, new connection",,"3 ,458",55,"$1,283.00","$     4 ,435,000",,,,,,,,,,,,
7804-01,Village of Buckley,Wexford,"Watermain, looping, tank",Overburdened,7 75,55,"$5,110.00","$     3 ,960,000",,,,,,,,,,,,
7802-01,Village of Mesick,Wexford,"Watermain, meters, storage","SignificantlyOverburdened",3 97,55,"$8,851.00","$     3 ,514,000",,,,,,,,,,,,
7493-01,City of St. Clair Shores,Macomb,LSLR,,"6 0,922",50,$16.00,"$     1 ,000,000","$1,000,000.00",,,,,,,,,,,
7532-03,GLWA,Wayne,Transmission main,,"3,800,000",50,$23.00,"$   8 8,100,000",,,,,,,,,,,,
7717-01,City of East Lansing,Ingham,"Watermain, meters, storage, well",,"4 8,579",50,$290.00,"$   1 4,090,000",,,,,,,,,,,,
7498-01,Marysville,St. Clair,"WTP, watermain, LSLR",,"9 ,959",50,$382.00,"$     3 ,800,000","$           7 0,000",,,,,,,,,,,
7690-01,Constantine,St Joseph,"meters, WTP ,tank rehab",Overburdened,"1 ,947",50,$388.00,"$755,000.00",,,,,,,,,,,,
7860-01,City of St Clair,St. Clair,WTP,,"5 ,485",50,$957.00,"$     5 ,250,000",,,,,,,,,,,,
7811-01,City of Linden,Genesee,"Water connection, looping",,"4 ,142",50,"$1,143.00","$     4 ,735,000",,,,,,,,,,,,
7660-01,White Lake,Oakland,"Watermain, wellhouse, emergencyconnection",,"5 ,799",50,"$1,696.00","$     9 ,835,000",,,,,,,,,,,,
7716-01,YCUA-Township,Washtenaw,"Pumpstation, meters, generator",,"128,175",45,$129.00,"$   1 6,520,000",,,,,,,,,,,,
7626-01,Harbor Beach,Huron,"WTP, transmission main",,"5 ,209",45,$158.00,"$825,000.00",,,,,,,,,,,,
7500-01,Charter Twp. of Bloomfield,Oakland,Watermain,,"4 1,192",45,$207.00,"$     8 ,520,000",,,,,,,,,,,,
7615-01,Sumpter Twp.,Wayne,Watermain,,"8 ,672",45,$286.00,"$     2 ,480,000",,,,,,,,,,,,
7707-01,Wyoming,Kent,"New transmission main, surge tank",,"246,848",45,$340.00,"$   8 3,900,000",,,,,,,,,,,,
7709-01,City of Rochester,Oakland,"Watermain, looping booster station",,"1 3,035",45,$508.00,"$     6 ,625,000",,,,,,,,,,,,
7688-01,Gibraltar,Wayne,Watermains,,"4 ,997",45,$580.00,"$     2 ,900,000",,,,,,,,,,,,
7862-01,Garfield Twp,Grand Traverse,"Looping, storage, SCADA",,"1 9,499",45,$989.00,"$   1 9,275,000",,,,,,,,,,,,
7809-01,Westphalia,Clinton,"Watermain, looping",,"1 ,000",45,"$2,120.00","$     2 ,120,000",,,,,,,,,,,,
7847-01,Charter Twp. of Oakland,Oakland,"Storage tank, booster station",,"4 ,888",45,"$2,516.00","$   1 2,300,000",,,,,,,,,,,,
7571-01,Pewamo,Ionia,Watermain,,4 69,45,"$7,356.00","$     3 ,450,000",,,,,,,,,,,,
7539-01,Ann Arbor Twp,Jackson,"Looping, tank, booster station",,"1 ,338",45,"$9,656.00","$   1 2,920,000",,,,,,,,,,,,
7638-01,Bangor Twp.,Bay,"Watermain, LSLR",,"1 1,938",40,$394.00,"$     4 ,705,000","$400,000.00",,,,,,,,,,,
7631-01,Harbor Beach,Huron,Transmission main,,"5 ,209",40,$534.00,"$     2 ,780,000",,,,,,,,,,,,
7700-01,City of Grand Blanc,Genesee,"Watermain, looping, well",,"8 ,091",40,$618.00,"$     5 ,000,000",,,,,,,,,,,,
7766-01,Clay Township,St Clair County,"Watermain, looping, new transmissionmain",,"8 ,446",40,"$1,045.00","$     8 ,825,000",,,,,,,,,,,,
7663-01,Zox Cass Lakeside,Oakland,Watermain,,7 00,40,"$7,286.00","$     5 ,100,000",,,,,,,,,,,,
7753-01,Charter Twp. Filer,Manistee,"Watermain, well",,6 81,35,"$8,078.00","$     5 ,501,000",,,,,,,,,,,,
