Project #,Applicant Name,Project Name,Project Description Attachment,Project Description,City/Town,County,"Justice 40MapCoverage",Population,"DisadvantagedScore","PriorityRankingPoints","DW SRFAmountGranted","DW SRFAmount ofPF","DW SRF %PF","Applied forProject Amount",Fund
FS010425-02,Bessemer Water Services,Bessemer Water Services – Water System Improvements,"Bessemer Water Services proposes to upgrade the water system’s metering infrastructure,
inventory service line material and condition, install and inventory backflow prevention, system
mapping, reduce unaccounted for water, re-allocate system’s personnel, and encourage more
responsible water usage. The purpose of the project is to improve water quality and provide a
secondary backup to provide water to the existing service area.",Water System Improvements,Bessemer,Jefferson,Yes,"26,171",2.01,175,"$2,000,000.00",$0.00,0%,"$42,223,750.00",DWSRF
FS010064-05,"Cullman, City of","Cullman, City of – Primary Water Transmission Replacement","The City of Cullman proposes to replace the transmission water main from the water treatment
plant to the distribution system. Over 50 percent of water purchased from Cullman Utilities is
conveyed through the current transmission water main, which has exceeded its operating life.
Completion of this project will ensure compliance with drinking water regulations. reduce leaks,
unaccounted water loss, and continued provision of adequate safe drinking water to all service
areas.","Primary Water TransmissionPipeline Replacement",Cullman,Cullman,N/A,"17,892",1.37,170,"$5,075,000.00",$0.00,0%,"$10,150,000.00",DWSRF
FS010124-01,"Troy, City of","Troy, City of – Well and Storage Tank Rehabilitation","The City of Troy proposes to replace the Park Well vertical turbine pump, rehabilitate the Franklin
Drive Well, Braswell Tank, and Park Street Tanks, and replace the East Walnut Street and South
Brundidge Street water main.  The proposed project would increase reliability and provide adequate
pressure throughout the system while decreasing water loss.","Well and Storage TankRehabilitation",Troy,Crenshaw,No,"17,765",0.45,160,"$3,465,000.00",$0.00,0%,"$3,465,000.00",DWSRF/ARPA
FS010497-01,Northeast Etowah Water Co-op,Northeast Etowah Water Co-op – Main Replacement,"The proposed project will install new 2- and 3-inch water main throughout the system.  The project
will increase water quality and pressure, reduce water loss, and increase reliability for customers.","2"" & 3"" Main Replacement",Gadsden,Etowah,Yes,"4,260",4.88,155,"$999,313.00","$999,313.00",100%,"$999,313.00",DWSRF
FS010544-02,Talladega County Commission,Talladega County Commission – Water System Improvements,"Talladega County Commission proposes to replace a number of water mains where maintenance
records clearly point to the areas where there have been line breaks and required repairs, due to the
age, materials, and methods used during construction. Some of the mains that will be replaced will
require upsizing to increase pipeline capacities to improve flow to existing customers. The final
portion of the proposed project will be to install new AMI water meters throughout the system.",Water System Imrpovements,Talladega,Talladega,N/A,"15,782",0.79,155,"$3,391,075.00",$0.00,0%,"$6,782,150.00",DWSRF/ARPA
FS010306-01,Coffee County Water Authority,"Coffee County Water Authority – SRF Well, Tank, and Mains","The Coffee County Water Authority proposes to install a new storage tank and well to serve the
Fairview system and Britt area which are currently experiencing reduced pressures.  A new well
would also be constructed since the system is rural and spread out, adequate pressures would not
be available with just a new storage tank.  The proposed project will increase pressure and
reliability to the system throughout Fairview and the county.","SRF Well, Tank, and Mains",Elba,Coffee,N/A,"3,449",1.89,150,"$600,000.00",$0.00,0%,"$3,526,000.00",DWSRF/ARPA
FS010239-02,"Anniston Water Works and SewerBoard",Anniston Water Works and Sewer Board – Paul B. Krebs WTP Improvements,"The Anniston Water Works and Sewer Board proposes to rehabilitate the Paul B. Krebs Water
Treatment Plant including a new finished water pump station, new stand-by generator, general site
improvements for continued protection of the Coldwater Spring Watershed, and conversion of the
Chlorine Gas Disinfection to Bulk Sodium Hypochlorite.  The proposed project would address
concerns related to the watershed, emergency power, and disinfection system improving water
quality throughout the system and multiple other systems which currently purchase water.","Paul B. Krebs WTPImprovements",Anniston,Calhoun,Yes,"21,455",1.61,120,"$5,945,000.00",$0.00,0%,"$17,090,000.00",DWSRF/ARPA
FS010072-03,"Jackson Water Works and SewerBoard",Jackson Water Works and Sewer Board – Water Meter Replacement,"The Jackson Water Works and Sewer Board proposed to replace the existing water meters with
automated read meters (AMRs) throughout the system.  The proposed project would increase
reliability and reduce operational costs throughout the system.",Water Meter Replacement,Jackson,Clarke,Yes,"4,774",3.19,110,"$700,777.00","$250,000.00",36%,"$1,132,055.00",DWSRF/ARPA
FS010153-07,Huntsville Utilities,Huntsville Utilities – 2024 Supplemental,"Huntsville Utilities has proposed a project for various water system improvements.  The project
consists of the construction of a transmission main along Bailey Cove Rd., Swancott Road and
Research Park Blvd. The project also includes the construction of a water main along Swancott
Road and US Highway 72. Rehabilitation improvements will also be made to the South Parkway
Water Treatment Plant and the South West Water Treatment Plant. A water storage tank will also be
constructed in order to provide better redundancy and storage to the US Highway 72 West area.","Water System ImprovementsPhase II (2024)",Huntsville,Madison,N/A,"210,081",0.43,105,"$11,367,400.00",$0.00,0%,"$56,837,000.00",DWSRF
FS010060-04,"Albertville, Municipal Utilities Boardof the City of","Albertville, Municipal Utilities Board of the City of – WTP Improvements","The Municipal Utilities Board of the City of Albertville proposes improvements at the Albertville WTP
include a new 2 MGD clearwell, filter rehabilitation of the four filters at the 9 MGD WTP, and a new
backwash pipeline to the 9 MGDWTP filters. The new clearwell will provide redundant storage
capability to allow the existing 2MGD clearwell to be removed from service for maintenance or for
emergency repairs. The additional clearwell will improve disinfection contact time and permit a
wider operating range for clear well storage capacity and disinfection dosage rates. The proposed
improvements should increase filter run time and provide a more efficient backwash process. The
new backwash pipeline to the 9 MGD WTP will allow the consolidation of the Albertville WTP
backwash facilities to one location at the combined Finished Water Pumping Station.",Albertville WTP Improvements,Albertville,Marshall,Yes,"22,268",1.74,85,"$2,000,000.00",$0.00,0%,"$6,790,000.00",DWSRF
FS010551-01,"Arley, Town of","Arley, Town of – Water System Improvements","The Town of Arley proposes a project to rehabilitate multiple tanks, the existing clearwell, and the
existing filter/clarifier basins, as well as construct a new clearwell.  Completion of this project will
improve tank and clearwell reliability and longevity, increase storage capacity, and provide the
capability to take one clearwell offline at a time for maintenance. The purpose of the project is to
provide improved drinking water reliability within its water system.",Water System Improvements,Arley,Winston,N/A,625,2.38,55,"$200,000.00",$0.00,0%,"$1,264,200.00",DWSRF/ARPA
FS010448-02,Montevallo WW&SB,Montevallo Water and Sewer Board – Water System Line Replacement,"The proposed project will rehabilitate the water storage tank, replace existing water lines, and
upgrade the booster pump stations including piping, valves, actuators, etc. The project will
increase water quality and reliability for all customers.","Water System LineReplacement",Montevallo,Shelby,No,"6,968",1.59,55,"$1,500,000.00",$0.00,0%,"$6,000,000.00",DWSRF/ARPA
FS010426-02,"Bessemer, GUSC of the City of","Bessemer, GUSC of the City of – Raw Water Pump Upgrade and Control Valve Replacement","The GUSC of the City of Bessemer proposes to rehabilitate and upgrade the raw water pump and
high service pump control valve. The purpose of the project is to increase redundancy and reliability
of the raw water intake and reduce water loss.","Raw Water Pump Upgrade andHigh Service Pump ControlValve Replacement",Bessemer,Jefferson,Yes,"26,171",2.01,50,"$1,199,501.00",$0.00,0%,"$2,399,002.00",DWSRF
FS010276-02,"Talladega, Alabama, City of","Talladega, City of – New Water Treatment Plant and System Improvements","The City of Talladega proposes to install a new water treatment plant and related appurtenances.
The existing treatment plant is beyond the useful life and losing capacity.  The proposed project
would increase reliability and improve water quality throughout the system.","New Water Treatment Plant &System Improvements",Talladega,Talladega,Yes,"15,782",1.99,40,"$4,500,000.00",$0.00,0%,"$6,000,000.00",DWSRF/ARPA
