Rank,Points,PIF #,Entity,PWS ID,Population,Project Description,Eligible Phase(s),Project Cost,Disadv %,Green Type,GPR,Related PIF #s
29,66,14627,Cox Addition PWS,,150,"The project involves the planning, design, and implementation of  rehabilitation and replacement, if necessary of the existing  adsorption system damaged in winter storm Uri in 2021.  Interconnection with Lubbock will be explored as a more  resilient long term supply.  An additional storage tank is needed.  Asset management plan will be completed.",PDC,"$475,000.00 ",70%,,,
31,64,14688,Orange Co WCID # 1,TX1810005,"14,937",This project will provide for a liquid ammonium sulfate (LAS)  system and related infrastructure at each of the District's three  water well sites to address total trihalomethane maximum  contaminant level issues.,PDC,"$837,936.00 ",,,,
32,64,14680,Silverton,TX0230001,731,"The proposed project for the City of Silverton, involves the  construction of a pump station, and a 200,000 gallon ground  storage tank. Additionally, the project includes the drilling, test  pumping, piping, site work, fencing and gates, electrical equipment,  and electrical controls for three water wells.",DC,"$13,530,000.00 ",70%,,,
33,62,14442,Blanco,,"2,256","This project consists of three waterline replacement projects, as  follows; -9th Street Waterline Replacement -Cielo Springs Waterline Replacement -Palomino Waterline Replacement",ADC,"$3,558,738.40 ",,Yes-BC,"$3,558,738.40 ",
34,59,14630,Commodore Cove ID,,370,"Remove 40 year old 60,000 gallon drinking water storage tank and  install new water storage tank with circulation / aeration system.  The circulation system will help further reduce the TTHM's forming  in the storage tank after chlorination.",PC,"$299,976.00 ",,,,
35,59,14626,Plott Acres PWS,,204,"The project involves the planning, design, and implementation of  rehabilitation and replacement if necessary of the existing  adsorption system required to meet primary drinking water MCLs  damaged in winter storm Uri in 2021.  Interconnection with City of  Lubbock will be explored as a best long term alternative.  USAF  has provided bottled water to Plott Acres customers due to PFAS  plume and testing of the two wells is ongoing.  If transmission funds  allow service will be offered to private wells.  An additional storage  tank is needed. Asset management plan will be completed.  Urgent  Needs - Securing Safe Water Initiative to meet primary drinking  water MCLs.",PDC,"$1,685,000.00 ",70%,,,
37,55,14475,New Home,TX1530004,326,"The City has had high Arsenic and Fluoride levels that exceed the  MCL of .01 and 4 MG/L for several, consecutive years and the City  is under EPA enforcement action.",PADC,"$1,438,155.25 ",,,,
38,55,14427,Arimak WSC,1330135,108,"The Arimak Water Supply Corporation (WSC) is the recipient of an  Administrative Order from the United States Environmental  Protection Agency (EPA) for non-compliance of the Safe Drinking  Water Act (SDWA) as it pertains to radionuclides levels in drinking  water. The WSC is addressing this matter through the  implementation of a groundwater treatment project.  Also, the  ground storage tanks (GSTs) have reached the end of their useful  life and are in need of replacement. The project will include  development of an asset management plan.",PDC,"$1,755,000.00 ",,Yes-BC,"$1,755,000.00 ",
39,53,14504,Gordon,TX1820007,744,"Water treatment plant improvements including clarifier replacement,  plant piping, SCADA, and distribution line replacements.",PDC,"$1,962,000.00 ",70%,Yes-BC,"$625,000.00 ",
40,53,14390,Sharyland WSC,TX1080033,"90,846","SWSC seeks funding from the Texas Water Development Board's  Drinking Water State Revolving Fund in order to be able to better  serve their customers and improve the overall performance,  reliability, and redundancy of their water distribution system.  Proposed projects include, but are not limited to: pressure zone  expansions to address identified low pressure zones throughout the  system and improve the level of service for customers;  infrastructure relocation projects; additional storage for compliance  with TCEQ requirements; capacity and performance improvements  projects to treatment facilities and the distribution system; and  looping and gridding throughout the system to improve redundancy,  reliability, and resiliency.",PADC,"$59,881,000.00 ",70%,,,
41,51,14619,Town North Village PWS,,650,"The project involves the planning, design, and implementation of  rehabilitation and replacement if necessary of the existing treatment  system damaged in winter storm Uri in 2021.  The project also investigates options of interconnection with  other PWS to provide blended water.  Urgent Needs - Securing Safe Water Initiative to meet primary  drinking water MCLs.",PDC,"$475,000.00 ",70%,,,
