,Community,Affordability Score,2020 Pop.,Total Project Cost,Potential Principal Forgiveness,Estimated Start,Estimated Completion,Est. Interest Rate,Est. Terms,Project Description
31,City of Bowman,33,896,"$30,000",,,,2.63%,20,"Developing lead service line inventory and data collection plans; Developing lead service line inventory management programs; Developing lead service line replacement capital improvement plans; Performing statistical modeling, mapping, or field inspections for identification of lead service lines; Conducting extensive lead service line replacement community outreach communication, and public education workshops."
32,City of Camilla*,33,"5,187","$144,257",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Camilla is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $338,757.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
33,City of Climax*,33,266,"$474,000",Primary,4/3/2023,4/30/2024,2.63%,20,Lead Service Line Inventory and Lead Service Replacement
35,City of Donalsonville*,33,"2,833","$74,000",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Donalsonville has a population of approx. 2,833 with 1,270 water service connections and is in need of grant funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $180,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity and has only selected the loan opportunity as a back-up option."
36,City of Eastman*,33,"5,595","$3,490,200",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
38,City of Lenox*,33,752,"$92,764",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Lenox is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 457 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $120,964.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
39,City of Mount Vernon*,33,"1,993","$110,500",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
46,City of Baxley*,32,"5,008","$1,337,500",Primary,10/1/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
47,City of Blackshear*,32,"3,608","$132,800",Primary,7/1/2023,12/31/2023,2.63%,20,Lead Line Inventory
48,City of Boston*,32,"1,207","$83,360",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Boston is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $123,560.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
49,City of Butler*,32,"1,785","$84,500",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
50,City of Folkston*,32,"2,875","$48,600",Primary,1/1/2024,2/29/2024,2.63%,20,"The project will apply best practices to determine lead services across the water system. The practices will include desktop surveys of tax id information, postcard testing, field testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
51,City of Graham*,32,263,"$35,260",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Graham is in need of funding for its Lead Service Line Inventory project. The City has a limited staff (1 office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $53,860.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16,"
52,City of Louisville*,32,"2,381","$147,700",Primary,6/1/2023,6/1/2024,2.63%,20,2024 Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
53,City of McRae-Helena*,32,"6,253","$109,650",Primary,4/3/2023,10/1/2024,2.63%,20,"LCRR inventory, sampling, replacement…."
54,City of Meigs*,32,928,"$69,900",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Meigs is in need of grant funding for its Lead Service Line Inventory project. The City has a very limited staff of only 1 utility worker, 1 office staff, and 2 streets and drainage workers and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City requesting $100,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity and has only selected the loan opportunity as a back-up option."
55,City of Soperton*,32,"2,889","$131,100",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
56,City of Swainsboro,32,"7,425","$371,250",,-,-,2.63%,20,EPA mandated lead service line inventory.
58,Unified Government of Webster County*,32,"2,348","$70,811",Primary,7/1/2023,11/1/2024,2.63%,20,"The Unified Government of Webster County is in need of funding for its Lead Service Line Inventory project for its Preston water system serving approximately 455 customers and its Weston water system serving approximately 38 customers. The County has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The County is requesting $147,111.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The County will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
59,City of Abbeville*,31,"2,664","$26,000",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
60,City of Blue Ridge*,31,"1,250","$109,500",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
61,City of Darien*,31,"1,572","$125,000",Primary,1/1/2024,2/29/2024,2.63%,20,"The project will apply best practices to determine lead services across the water system. The practices will include desktop surveys of tax id information, postcard testing, field testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
62,City of Enigma*,31,"1,058","$65,600",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Enigma has a population of 1,058 with approximately 355 water service connections and is in need of grant funding for its Lead Service Line Inventory project. The City has a limited staff, including 2 office personnel and 1 utility personnel and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $100,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
63,City of Hazlehurst*,31,"4,088","$142,200",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
64,City of Ivey*,31,"1,032","$966,500",Primary,5/1/2025,12/1/2026,2.63%,20,Replace all of the lead based service lines in town.
67,City of Millen*,31,"2,972","$153,400",Primary,1/15/2024,12/31/2024,2.63%,20,The City has approximately 1600 total service lines with about 1200 estimated lead service lines. The project would involve a contract engineer to prepare and identify the lead line inventory and replacement plan.
69,City of Norman Park,31,963,"$100,000",,6/1/2023,10/16/2024,2.63%,20,"The City of Norman Park has a population of 963 with 452 water service connections is in need of grant funding for its Lead Service Line Inventory project. The City has a very limited staff of 1 utility worker and 2 office personell and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $100,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
70,City of Oxford*,31,"2,275","$276,100",Primary,5/15/2023,10/16/2024,2.63%,20,"The City of Oxford is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public notification materials."
71,City of Sardis*,31,995,"$95,700",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
72,City of Twin City*,31,"1,685","$120,250",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
73,Georgetown-Quitman*,31,"2,235","$32,170",Primary,5/1/2023,10/16/2024,2.63%,20,"The Unified Government of Georgetown Quitman is in need of funding for its Lead Service Line Inventory project. The unified government has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The unified government is requesting $104,670.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The unified government will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
75,Town of Iron City*,31,312,"$14,800",Primary,6/1/2023,10/16/2024,2.63%,20,"The Town of Iron City has a population of 312 with approx. 137 water services and is in need of grant funding for its Lead Service Line Inventory project. The City has a limited staff (1 part-time office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $35,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
76,Town of Waverly Hall*,31,700,"$297,250",Primary,10/2/2023,3/31/2024,2.63%,20,Lead service locating and documenting.
79,City of Bronwood*,30,334,"$73,610",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Bronwood is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 255 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $93,610.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
80,City of Cairo*,30,"10,179","$70,000",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Cairo has a population of 10,179 with approx. 4,249 water service connections and is in need of grant funding for its Lead Service Line Inventory project. The City has limited staff to complete the inventory on its own and is requesting $305,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity. The loan opportunity has only been selected as a back-up option."
81,City of Crawfordville*,30,483,"$134,500",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
83,City of Ellaville*,30,"1,595","$96,150",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Ellaville is in need of funding for its Lead Service Line Inventory project. The City has a limited staff (1 office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $143,650.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16,"
84,City of Fitzgerald/Fitzgerald WLB Commission*,30,"9,050","$8,980,000",Primary,1/1/2024,1/1/2035,2.63%,20,2024 Fitzgerald WL&B Commission LCRR Project
85,City of Gibson*,30,630,"$111,100",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
86,City of Hawkinsville*,30,"5,000","$350,000",Primary,6/1/2023,6/30/2024,2.63%,20,Assistance is needed to compile a lead service line inventory in our community in order to actively plan for infrastructure replacement to ensure our citizens have access to quality drinking water.
87,City of Lakeland*,30,"2,691","$30,300",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
88,City of Mansfield*,30,500,"$60,000",Primary,5/1/2023,9/1/2024,2.63%,20,Lead service line identification and inventory management. Lead service line infrastructure replacement.
92,City of Oak Park*,30,512,"$104,700",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
93,City of Pelham*,30,"3,502","$101,300",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Pelham is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $206,300 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
94,City of Quitman,30,"4,061","$487,500",,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
96,City of Sylvania*,30,"2,634","$171,000",Primary,-,-,2.63%,20,Complete an inventory on lead pipes and start implementation of replacement of lead pipes
91,City of Nicholls*,30,"3,147","$13,421",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Nicholls is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $107,821.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
99,Town of Byromville*,30,422,"$53,133",Primary,5/1/2023,10/16/2024,2.63%,20,"The Town of Byromville is in need of funding for its Lead Service Line Inventory project. The Town has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The Town is requesting $71,733.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The Town will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
95,City of Rochelle*,30,"1,167","$112,358",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Rochelle is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 679 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $147,358.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
100,Town of Cadwell*,30,381,"$132,480",Primary,7/1/2023,9/30/2024,2.63%,20,"The Town of Cadwell is seeking funding assistance in order to develop it's lead and copper service line inventory. The Town doesn't have the necessary financial resources to develop and submit the inventory by the October 16, 2024 deadline set by the Lead and Copper Rule Revision. The Town of Cadwell will review historical records, conduct water meter inspection, representative sampling, and perform other methods necessary to determine the status of service lines in the Town's water service area."
97,City of Willacoochee*,30,"1,255","$128,380",Primary,1/3/2024,7/15/2024,2.63%,20,"This project will involve creating a complete service line inventory. The project will include review of existing plans and documentation for recorded data, as well as field investigations for unrecorded data. The end result will be a complete inventory of all service lines that will be submitted to GA EPD before the regulatory deadline. Part of this phase (after inventory) will include mapping of service lines that need replacing in preparation for future phases."
77,City of Americus*,30,"17,000","$4,490,000",Primary,6/1/2023,1/1/2026,2.63%,20,The City Of Americus Ga is seeking funding for the Lead and Copper Line Replacement Lead Service Line Inventory and Lead Service Replacement required under the EPA’s updated Lead and Copper Rule.
101,City of Albany *,30,"82,966","$100,000",Primary,10/10/2022,8/1/2024,2.63%,20,"The physical identification of service lines on the city side and Customers side of the meter for 30,000 connections in Albany/Dougherty County. We are currently working with a contractor to identify homes built after/before 1990."
