Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total,Code
18351,Oswego,SANDY CREEK WD3/RICHLAND WD 5,Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground 
Water Source, New Transmission, New Distribution 
System","2,600","$3,000,000",H,"$14,267,345",
18214,Seneca,WATERLOO VILLAGE,Waterloo (V),"WTP, Distribution, and Storage Improvements., 
Upgrade Water Treatment Plant, Upgrade Storage, 
Upgrade Inter-Connection","7,000",$0,H,"$14,267,345",
18328,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution 
Upgrades., Upgrade Water Treatment Plant, New 
Ground Water Source, Upgrade Transmission, Upgrade 
Distribution System","18,000",$0,H,"$14,267,345",
15301,Dutchess,TIVOLI VILLAGE WATER,Tivoli (V),"Upgrade Water Treatment Plant, Upgrade Ground Water
Source, New Storage, Upgrade Pump Station, Upgrade 
Distribution System, New System Consolidation","1,303",$0,H,"$14,267,345",
18768,Steuben,CAMPBELL WATER DISTRICT,Campbell (T),"WD #1 Extension., New Ground Water Source, New 
System Consolidation",280,$0,H,"$14,267,345",
18806,Chautauqua,SHERMAN VILLAGE,Sherman (V),"Upgrade Water Treatment Plant, Upgrade Ground Water
Source, Upgrade Storage, Upgrade Distribution System",917,$0,H,"$14,267,345",
17068,Rensselaer,SCHAGHTICOKE (V) PWS ,Schaghticoke (V),"Water System Improvements., Upgrade Water 
Treatment Plant, Upgrade Storage, Upgrade Distribution
System, Extend Distribution System",675,$0,H,"$14,267,345",
18575,Washington,GREENWICH VILLAGE,Greenwich (V),"Mn Treatment, Replace Existing Wells , Replace Transm
Main, Water Metering., Upgrade Water Treatment Plant,
New Ground Water Source, Upgrade Transmission, 
Upgrade Distribution System","2,000",$0,H,"$14,267,345",
18127,Seneca,INTERLAKEN VILLAGE , Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,$0,H,"$14,267,345",
18803,Delaware,HOBART VILLAGE , Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,$0,H,"$14,267,345",
18181,Oswego,ORWELL WD , Orwell (T),"New Source to Address Source Capacitiy Violation., Upgrade Ground Water Source",150,"$3,027,500",H,"$17,294,845",
18811,Schuyler,WATKINS GLEN VILLAGE , Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,149","$22,052,300",H,"$39,347,145",
18563,Herkimer,ILION (V) WATER WORKS , Ilion (V),"Medium Priority Distribution Imprvts and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","8,610","$28,474,350",H,"$67,821,495",
18270,Essex,TICONDEROGA WD , Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, Upgrade Distribution System","5,000","$8,306,300",H,"$76,127,795",
18907,Cattaraugus,LITTLE VALLEY VILLAGE , Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$4,300,000",H,"$80,427,795",
18860,Herkimer,HERKIMER VILLAGE , Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",H,"$97,926,465",
18842,Cattaraugus,SOUTH DAYTON VILLAGE ,South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,"$3,250,000",H,"$101,176,465",
18941,Broome,ENDICOTT MUNICIPAL WATER WORKS , Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","45,000","$7,310,218",H,"$108,486,683",
18289,Oneida,ROME CITY , Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System","32,000","$11,235,000",H,"$119,721,683",
18709,Essex,ELIZABETHTOWN WD , Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",800,"$3,744,565",H,"$123,466,248",
18213,Monroe,ROCHESTER CITY , Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000",H,"$130,666,248",
18711,Herkimer,EAST SCHUYLER WD , Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"$7,391,280",H,"$138,057,528",
18911,Jefferson,LERAY TOWN WD 2 , LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",H,"$142,057,528",
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 , Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,"$1,839,580",H,"$143,897,108",
18898,Wyoming,PERRY VILLAGE , Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","3,945","$7,200,000",H,"$151,097,108",
18715,Herkimer,FRANKFORT (V) WATER WORKS,Frankfort (V),"Distribution System Improvements and Eastern Mohawk 
Valley Regional Trans Main Connection. Related to 
Project #18897., New Transmission, Upgrade 
Distribution System, New System Consolidation","2,995","$8,667,450",H,"$159,764,558",
18701,NY City,NEW YORK CITY - CROTON SYSTEM,NYCMMFA,"Croton Filtration Plant (Phase 15 of 16479), New 
Surface Water Treatment Rule Compliance Facility","1,000,000","$3,000,000",3130,"$162,764,558",
16741,Dutchess,PAWLING VILLAGE,Pawling (V),"New Surface Water Treatment Rule Compliance Facility,
New Ground Water Source","1,907","$150,000",1155,"$162,914,558",
18720,Onondaga,ELBRIDGE VILLAGE,Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) 
Joint Water System Upgrades. Related to Project Nos. 
18719 &18721., Upgrade Storage, Upgrade Distribution
System, New System Consolidation","1,519",$0,1140,"$162,914,558",
18719,Onondaga,ELBRIDGE (T),Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) 
Joint Water System Upgrades. Related to Project Nos. 
18720 &18721., Upgrade Storage, Upgrade Distribution
System, New System Consolidation","1,000",$0,1140,"$162,914,558",
18537,Jefferson,ORLEANS WATER IMPROVEMENTS ,,"Consolidation of PWS w/ violations and to serve 
contaminated private wells. Related to DWSRF# 18096.,
 Extend Distribution System",450,$0,1135,"$162,914,558",
17614,Chautauqua,DUNKIRK CITY,Dunkirk (C),"Upgrade Water Treatment Plant, Upgrade Distribution 
System","15,310",$0,1110,"$162,914,558",
18264,Wayne,NEWARK VILLAGE,Newark (V),"Upgrade Water Treatment Plant, Upgrade Storage","9,682",$0,1105,"$162,914,558",
18746,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Disinfection byproduct removal, new meters and 
SCADA, storage tank replacement, system 
consolidation., Upgrade Storage, Upgrade Distribution 
System, New System Consolidation","7,975","$1,500,000",1105,"$164,414,558",
18448,Montgomery,FONDA (V) WATER WORKS, Fonda (V),"Water system improvements, Upgrade Surface Water 
Treatment Rule Compliance Facility, Upgrade 
Transmission, Upgrade Storage","1,080",$0,1095,"$164,414,558",
18577,Saratoga,MECHANICVILLE CITY,Mechanicville (C),"Filtration Upgrades., Upgrade Water Treatment Plant","5,100","$100,000",1095,"$164,514,558",
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E,Hastings (T),New Distribution System,"1,500",$0,1095,"$164,514,558",
18173,Jefferson,BROWNVILLE (T),Brownville (T),"(T) Brownville WD#2., New Distribution System",424,$0,1095,"$164,514,558",
18764,Greene,CATSKILL VILLAGE,Catskill (V),"WTP improvements to control DBPs and replace water 
mains on Main Street. , Upgrade Water Treatment 
Plant, Upgrade Distribution System","8,000",$0,1090,"$164,514,558",
18051,Montgomery,FULTONVILLE VILLAGE PWS,Fultonville (V),"Upgrade Water Treatment Plant, Upgrade Ground Water
Source, Upgrade Distribution System",740,"$30,000",1090,"$164,544,558",
18583,Orange,PINE BUSH WATER DISTRICT,Crawford (T),"Develop new groundwater source, construction of new 
treatment building and installation of 8,700 ft of water 
main., New Water Treatment Plant, New Ground Water 
Source, New Transmission","7,000",$0,1085,"$164,544,558",
18242,Yates,DRESDEN VILLAGE,Dresden (V),"THM removal aeration equipment and flushing hydrants,
 Upgrade Storage",700,$0,1085,"$164,544,558",
18142,Oswego,WATER SERVICE AREA 7, Granby (T),"Extend to serve private wells and consolidate several PWSs Inc MHP and non-Com PWSs, Extend Distribution System",600,$0,1085,"$164,544,558",
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S, Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,$0,1080,"$164,544,558",
17422,Herkimer,"HERKIMER (T), WD NO. 3", Herkimer (T),"New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0,1080,"$164,544,558",
18239,Greene,GREENVILLE WATER DISTRICT NO 1, Greenville (T),"Pressure, storage, and SCADA Improvements. Extend distribution system to serve contaminated private wells., New Storage, Extend Distribution System, Upgrade Distribution System",765,"$50,000",1075,"$164,594,558",
18160,NY City,NEW YORK CITY-CATSKILL/DELAWARESYSTEM, NYCDEP,"Provide resiliency during storm events to minimize 6turbidity around Shaft 18 intake by stabilizing shorelinessurrounding Shaft 18.,","6,552,718",$0,1025,"$164,594,558",SMLP
18810,Nassau,WA OF GREAT NECK NORTH, Water Auth - GreatNeck North,"Phase 2 of Project #18146. Resiliency and redundancy.Raise wellhead elevations at wells 2A, 5, 6, 8 and 11A, backup generators at wells 6 and 10A; Portable generator replacement., Upgrade Other Expenses, Upgrade Other (OT)","31,400",$0,1020,"$164,594,558",SMLP
18090,Dutchess,REVERE PARK (E.FISH.WD#2), East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,"$5,093,266",205,"$169,687,824",
18846,Otsego,RICHFIELD SPRINGS VILLAGE, Richfield Springs (V),"RW Transmission Main SWTR Compliance., New PumpStation, New Distribution System","1,200","$1,155,569",140,"$170,843,393",
16339,Jefferson,WELLESLEY ISLAND WATER CORP., Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$2,336,000",140,"$173,179,393",
19151,St.Lawrence,MORRISTOWN VILLAGE, Morristown (T),"WTP & Distribution Improvements. River Road East Corridor Extension., New Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, New Water District",490,"$16,789,000",140,"$189,968,393",
17488,Westcheste,WESTCHESTER JOINT rWATER WORKS, WJWW,"Phase 1a of Project #18654 and #18269. Construction of 30 MGD filter plant., New Surface Water Treatment Rule Compliance Facility","55,210","$55,000,000",125,"$244,968,393",
17572,Schoharie,SHARON SPRINGS VILLAGE, Sharon Springs (V),"Water system improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",547,$0,125,"$244,968,393",FMP
19201,Cayuga,CAYUGA COUNTY W&S AUTHORITY, Cayuga County W&S Authority,"Regional Water District Project, New Water Treatment Plant, New Transmission, Upgrade Transmission, New Storage, New Pump Station, New Distribution System, Upgrade Distribution System, New System Consolidation, New Water District","42,653","$54,882,970",125,"$299,851,363",
19242,Wyoming,GARDEAU WATER DISTRICT, Castile (T),"Gardeau WD main replacement and district extention, Upgrade Distribution System, Extend Water District",60,"$2,755,250",115,"$302,606,613",
18574,Cattaraugus,ELLICOTTVILLE (T) & (V), Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,"$7,120,000",115,"$309,726,613",
19258,Franklin,TUPPER LAKE V, Tupper Lake (V),"Tupper Lake Intake and WTP Rehab. , Upgrade Water Treatment Plant, Upgrade Surface Water Source","5,500","$8,867,991",110,"$318,594,604",
19102,Schuyler,ODESSA VILLAGE, Odessa(V),"Treatment Plant for iron, manganese, and arsenic; Water Main replacement; Tank mixer, New Water Treatment Plant, Upgrade Storage, Upgrade DistributionSystem",810,"$10,251,410",110,"$328,846,014",
18897,Herkimer,HERKIMER COUNTY INDUSTRIAL DEV AGENCY,Herkimer County IDA,"Eastern Mohawk Valley Regional Transmission Main. Related to projects Nos. 18715, 18716, 18860, 18563, 18711., New Transmission","22,000","$16,620,000",110,"$345,466,014",
19093,Clinton,PLATTSBURGH CITY,Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000","$5,240,000",105,"$350,706,014",
18717,Chenango,SOUTH OTSELIC WATER DISTRICT,Otselic (T),"Water System Improvements - source, treatment, storage, distribution, and meters. , Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,"$4,259,000",105,"$354,965,014",
19240,Jefferson,WEST CARTHAGE VILLAGE,West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System","2,200","$21,945,180",100,"$376,910,194",
19225,Livingston,LIVINGSTON COUNTY WSA,Livingston County WSA,"Leicester/York Water Supply; Expansion to CommunitiesImpacted by AKZO Salt Mine, Extend Distribution System","3,100","$51,345,500",100,"$428,255,694",
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT,Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"$6,942,000",95,"$435,197,694",
17093,Otsego,HARTWICK WATER DISTRICT,Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,"$3,760,078",95,"$438,957,772",
18534,Onondaga,SKYRIDGE/SALT SPRINGS JOINT PROJECT,Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project., New System Consolidation, New Water District",400,"$9,200,000",95,"$448,157,772",
18915,Onondaga,TOWN OF LAFAYETTE,LaFayette (T),"New water system to serve Town of LaFayette., New Ground Water Source, New Storage, New Pump Station,New Distribution System Hardship E","1,400","$26,460,000",95,"$474,617,772",
16510,Schenectady,DELANSON VILLAGE WATER WORKS,Delanson(V),"Address Stage 2 DBPR Violation., Upgrade Water Treatment Plant",428,"$894,300",90,"$475,512,072",
18982,Essex,WILLSBORO WD,Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System","1,571","$10,310,300",90,"$485,822,372",
18823,NY City,NEW YORK CITY - CROTON SYSTEM,NYCMWFA,"Croton Filtration Plant (Phase 16 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000","$22,000,000",90,"$507,822,372",
18670,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane treatment. at Clinton Street Plant , UpgradeWater Treatment Plant","56,000","$18,087,119",90,"$525,909,491",
18097,Jefferson,CLAYTON VILLAGE,Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,100",$0,90,"$525,909,491",FMP
18939,St.Lawrence,HERMON VILLAGE,Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution System",492,"$7,879,500",90,"$533,788,991",
19051,Allegany,SCIO WATER DISTRICT,Scio (T),"Water Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,"$2,550,000",90,"$536,338,991",
17417,Delaware,ARKVILLE WATER DISTRICT,Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpmwell, system consolidation., New Ground Water Source,New Storage, Extend Distribution System, Extend System Consolidation",400,"$1,833,375",90,"$538,172,366",
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE, South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station,Upgrade Distribution System","1,500","$7,837,762",85,"$546,010,128",
18197,Otsego,ONEONTA CITY, Oneonta (C),"WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779","$8,072,625",85,"$554,082,753",
18872,Herkimer,HERKIMER VILLAGE, Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements., New Ground Water Source, New Storage, Upgrade Distribution System","7,606","$20,597,940",85,"$574,680,693",
18843,Cattaraugus,PORTVILLE VILLAGE, Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground WaterSource, Upgrade Storage, Upgrade Distribution System","1,040","$5,408,530",85,"$580,089,223",
18828,NY City,NEW YORK CITY-CATSKILL/DELAWARESYSTEM, NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 (C547A), crit redund, Instr. and Tele, New Transmission ","6,552,718","$100,000,000",85,"$680,089,223",
18367,Delaware,FISHS EDDY COMMUNITY WATER SUP, Hancock (T),"Fish's Eddy Water District., New Ground Water Source,Upgrade Distribution System, New Water District",150,"$4,184,504",85,"$684,273,727",
18006,Jefferson,WATER DISTRICT NO. 6, Hounsfield (T),"Upgrade Transmission, Upgrade Distribution System, Extend Distribution System",450,"$7,715,000",85,"$691,988,727",
19170,Dutchess,PAWLING VILLAGE, Pawling (V),"New GW Sources, new WTP and related utility work on well fields., New Water Treatment Plant, New Ground Water Source","1,907","$2,334,000",80,"$694,322,727",
18804,Franklin,TUPPER LAKE V, Tupper Lake (V),"DBP Reduction and New Well Development, Upgrade Water Treatment Plant, New Ground Water Source","5,500","$1,843,200",80,"$696,165,927",
17299,Albany,RAVENA VILLAGE, Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution NOTE: FSystemRemainin","4,500",$0,80,"$696,165,927",FMP
18430,Hamilton,BLUE MT LAKE WD, Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,"$5,000,000",80,"$701,165,927",
18658,Lewis,TOWN OF LOWVILLE WD 1, Lowville (T),"DBP related system improvements, Upgrade Water Treatment Plant",350,"$1,500,000",80,"$702,665,927",
18781,Nassau,GARDEN CITY (V), Garden City (V),"Clinton Rd. Wells 10 & 11: 1,4-Dioxane & PFAS Removal., Upgrade Water Treatment Plant","25,000","$8,893,840",80,"$711,559,767",
18833,Nassau,MINEOLA (V), Mineola (V),"Installation of GAC for PFOS/PFOA removal for Plant No. 7, Upgrade Water Treatment Plant","20,600","$4,470,200",80,"$716,029,967",
18942,Rockland,SUFFERN VILLAGE, Suffern (V),"PFAS Removal, Upgrade Water Treatment Plant","12,000","$532,800",80,"$716,562,767",
18745,Lewis,LOWVILLE VILLAGE, Lowville (V),"Groundwater Project Phase 1., Upgrade Water Treatment Plant, New Ground Water Source, New PumpStation","4,000","$5,560,000",80,"$722,122,767",
18535,Albany,WATERVLIET CITY, Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmissionn","9,889",$0,80,"$722,122,767",FMP
19215,Wayne,NEWARK VILLAGE,Newark (V),"New 4.0 MG storage tank to replace Allerton Reservoir, New Storage","9,682","$6,164,550",80,"$728,287,317",
18910,Oswego,VOLNEY TOWN WD,Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System",103,"$710,365",80,"$728,997,682",
18010,Oswego,TOWN/VILLAGE JOINT WATER PROJECT,Parish (T),"Water Supply Area No. 1. Serve inadequate private wells., Extend Distribution System, New Water District","1,200","$9,476,000",80,"$738,473,682",
18425,Jefferson,WD#7,Hounsfield (T),"WD #7., New Distribution System",40,$0,80,"$738,473,682",FMP
18188,Orange,GOSHEN VILLAGE,Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant","5,676","$6,120,819",75,"$744,594,501",
15704,Greene,COXSACKIE VILLAGE,Coxsackie (V),"New storage tank and transmission main upgrades. , Upgrade Transmission, New Storage","4,010",$0,75,"$744,594,501",FMP
18309,Chenango,GUILFORD WATER DISTRICT,Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0,75,"$744,594,501",FMP
18002,Steuben,HAMLET OF WOODHULL MUNICIPAL WS,Woodhull (T),"System to serve former Village (now hamlet) with privatecontaminated wells., New Ground Water Source, New Storage, New Distribution System",483,"$4,489,928",75,"$749,084,429",
18456,Ontario,RT. 14 WD JOINT PROJECT, Phelps (T),"Towns of Phelps, Geneva, and Waterloo Joint Project., New Inter-Connection, New Water District",262,"$2,929,753",75,"$752,014,182",
19105,Westcheste,MEADOWS AT CROSS rRIVER,Meadow Water-Works Corp.,"Removal of sodium chloride and PFAS from water system, Upgrade Water Treatment Plant",630,"$952,750",70,"$752,966,932",
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS),Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission","2,639","$5,250,000",70,"$758,216,932",
18618,Tioga,CANDOR VILLAGE WATER DEPT.,Candor (V),"Source, treatment and distribution improvements. , Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,020",$0,70,"$758,216,932",FMP
19125,Ontario,RUSHVILLE VILLAGE,Rushville (V),"WTP Improvements to address harmful algal blooms, Upgrade Water Treatment Plant",621,"$1,371,239",70,"$759,588,171",
18291,Essex,LAKE PLACID V,Lake Placid (V),"Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System","5,000",$0,70,"$759,588,171",FMP
18584,Rensselaer,BERLIN WATER DISTRICT # 2,Berlin (T),"Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,$0,70,"$759,588,171",FMP
19266,Sullivan,WOODRIDGE VILLAGE,Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",902,"$16,200,000",70,"$775,788,171",
