Rank,Points,ProjectTitle,PWSID,Population,ProjectNumber,ProjectDescription,Name,Borrower,County,Disadvantaged,TotalCost,RequestedFunding
28,52,SOUTH END WATER MAIN REPLACEMENT PROJECT (NO. 2-22-W),MD0010008,"1,325",DW0028,"PROBLEM: CAST IRON WATER MAINS, MOST OVER 120 YR OLD,  FREQUENT BREAKS PROJECT: REPLACE 7,000 LF 12-IN AND 5,000 LF 6-IN WATER MAINS",ROBERT SMITH,MAYOR AND CITY COUNCIL OF CUMBERLAND,Allegany County,Yes,"4,114,000","4,114,000"
29,52,WC-1243 CROMWELL PUMPING STATION REHABILITATION,MD0300002,"1,800,000",DW0006,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"63,352,661","17,654,544"
30,52,WC-1243 CROMWELL PUMPING STATION REHABILITATION,MD0300002,Ben.Pop= ?,DW0024,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM",ROBERT BURROS,"BALTIMORE COUNTY, MARYLAND",Baltimore County,No,0,"29,775,751"
31,45,RC WILLSON WTP CHEMICAL UPGRADE,MD210010 ,"108,600",DW0035,"PROBLEM: WTP CANNOT RECEIVE CHEMICAL DELIVERIES DURING HIGH WATER EVENTS PROJECT: EXPAND STORAGE CAPACITY OF PRIMARY COAGULANT POLYMER TANKS + INSTALL CHLORINE SCRUBBER TO NEUTRALIZE CHLORINE LEAK OF 2,000LB",WILLIAM LUHN,CITY OF HAGERSTOWN -- UTILITIES DEPARTMENT,Washington County,Yes,"1,150,000","1,000,000"
32,42,WC-1281 SOUTH ST & VICINITY (DOWNTOWN) WATER MAIN REPLACEMENT,MD3000002,"600,000",DW0009,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 11,761 LF 3-IN THROUGH 20-IN DIA PIPE IN 1ST PRESSURE ZONE",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"10,484,177","10,484,177"
33,42,"WC-1318 DOWNTOWN, BOLTON HILL, GUILFORD NEIGHBORHOODS & VICINITY WATER MAIN REPL",MD300002 ,"600,000",DW0011,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 30,995 LF 3-IN THROUGH 20-IN DIA PIPE IN 1ST, 2ND AND 3RD E PRESSURE ZONES",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"24,232,901","24,232,901"
34,42,WC-1322 BELAIR RD NEIGHBORHOOD AND VICINITY WM REPLACEMENTS,MD300002 ,"600,000",DW0013,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 19,202 LF 6-IN THROUGH 16-IN DIA PIPE IN 2ND PRESSURE ZONE",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"14,327,306","14,327,306"
35,42,WC-1229 VERNON PUMPING STATION REHABILITATION,MD0300002,"1,800,000",DW0005,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"72,118,232","33,949,188"
36,42,WC-1229 VERNON PUMPING STATION REHABILITATION,MD0300002,Ben.Pop= ?,DW0023,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR",ROBERT BURROS,"BALTIMORE COUNTY, MARYLAND",Baltimore County,No,0,"28,847,293"
37,40,SMITHSBURG WATER STREET WATER LINE REPLACEMENT PROJECT,MD0210018,"4,478",DW0037,"PROBLEM: LACK OF WATER PRESSURE, ESPECIALLY IN THE EVENT OF FIRE SUPPRESSION. REMOVE CAST IRON PIPES AND LEAD JOINTS. PROJECT: REPLACE ALL WATER LINES, SEWER LINES, AND UPDATE STORM WATER MANAGEMENT AT STREET LEVEL.",CHAD ROONEY,TOWN OF SMITHSBURG,Washington County,No,"1,653,123","1,002,100"
38,40,ANACOSTIA DEPOT RECONFIGURATION,MD0150005,"2,100,000",DW0043,"PROBLEM: IMPROVE EFFICIENCY OF OPERATIONS, FLOODPLAIN VULNERABILITIES OF LARGEST WSSC WATER DEPOT PROJECT: RECONFIGURATION OF ANACOSTIA DEPOT LAYOUT, INCL ACCESS, CIRCULATION, AND RENOVATION OF BLDGS UP TO CURRENT CODE",BRIAN HALLORAN,WASHINGTON SUBURBAN SANITARY COMMISSION,WSSC,No,"42,838,000","21,414,000"
39,37,WC-1279 DISTRIBUTION WATER MAIN REPLACEMENT & REHAB SEFTON AREA & VICINITY,MD 300002,"1,585",DW0008,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 19,420 LF 6-IN THROUGH 12-IN DIA PIPE IN 3RD E PRESSURE ZONE",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"119,423,360","11,942,336"
40,37,WC-1313 UPPER FELLS POINT & WEST CANTON,MD300002 ,"1,585",DW0010,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 25,924 LF 4-IN THROUGH 20-IN+30-IN+40-IN DIA PIPE IN 1ST AND 2ND PRESSURE ZONE",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"16,002,796","16,002,796"
41,37,"WC-1319 KESWICK ROAD, WEST 36TH STREET & YORK ROAD WATER MAIN REPL",MD300002 ,"1,628",DW0012,"PROBLEM: DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE PROJECT: REPLACE 12,171 LF 4-IN THROUGH 20-IN DIA PIPE IN 2ND AND 3RD E PRESSURE ZONES",AARON MOORE,MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,Yes,"13,900,478","13,900,478"
42,35,BEACHES WATER CO-OP (BWC) REDUCING LEAD IN DRINKING WATER SERVICE LINE REPL,MD       ,"2,010",DW0039,PROBLEM: AGED PIPING AND FITTINGS WITH LEAD CONTAMINATION PROJECT: REPLACE 2-IN OD OR LESS SECONDARY SERVICE LINES AND FITTINGS UP TO EACH RESIDENTIAL METER,DENNIS DIBELLO,BEACHES WATER CO-OP,Calvert County,No,"1,500,000","1,500,000"
43,25,MARTINGHAM SMART WATER METER,MD0200004,770,DW0001,"PROBLEM: REPLACE OLD, INACCURATE DIFFICULT-TO-READ, WATER METERS WITH SMART METERS PROJECT: INSTALLATION OF SMART METER FOR 313 RESIDENTIAL PROPERTIES + 2 COMMERCIAL PROPERTIES",JAY T. FRENCH,MARTINGHAM UTILITIES COOPERATIVE,Talbot County,Yes,"141,378","141,378"
