Rank,Water System/Borrower,Population Served,Comprehensive Project Name,Project Description,Amount,"DAC? - A, E, W, U",Total Points,Funding Appropriation,Financing,Terms,Anticipated Subsidy,Anticipated Subsidy Amount,Notes
34,Newark,40000,Elevated Storage Tank,"Install of new storage, pressure and turnover","$5,500,000.00",,270,Corpus,2.00%,20 years,,$0.00,
34,Tidewater,23463,Consolidation - Dairy Farm Road,Interconnection for resiliency and redundancy,"$1,650,000.00",,270,Corpus,2.00%,20 years,,$0.00,
35,Frederica,870,Water Loop,Water System Hydraulic Loop,"$404,000",A*,260,Corpus,2.00%,20 years,,$0.00,
35,Frederica,870,Water System SCADA,SCADA and monitoring Upgrades,"$64,000",A*,260,Corpus,2.00%,20 years,,$0.00,
35,Magnolia,425,LSL inventory,Inventory and Replacement,"$1,500,000",A*,260,Corpus,2.00%,TBD,,$0.00,
35,New Castle,5364,LSL Inventory,LSL Inventory and Mapping,"$284,000",W,260,Corpus,2.00%,TBD,,$0.00,
36,Middletown,22582,North Broad Street,Water Main Upgrade,"$1,451,026.00",,240,Corpus,2.00%,20 years,,$0.00,
37,Seaford,6699,LSL Inventory,Inventory,"$212,000.00",,220,Corpus,2.00%,TBD,,$0.00,
38,Artesian,7035,Choptank and Westside Hunt,Bring Westside Hunt Well online and upgrade Choptank WTP,"$3,850,000.00",,190,Corpus,2.00%,20 years,,$0.00,
39,Artesian,,Slaughter Beach,Fire Protection,"$2,000,000.00",,180,Fire Protection,,,,,
39,Newark,40000,LSL Inventory,Inventory and Replacement,"$2,250,000.00",,180,Corpus,2.00%,TBD,,$0.00,
39,Tidewater,23463,DelDOT SR 24 Love Creek to Mulberry Knoll,Joint DelDOT and Tidewater SR 24 Reho,"$1,700,000.00",,180,Corpus,2.00%,20 years,,$0.00,
40,Bethany Crest MHP,115,PFAs Treatment,Installation of PFAs resin,"$300,500.00",,170,State,2.00%,20 years,,"$300,500.00",Bypassed for State Funds
40,Newark,40000,Water Mains,Water Main Replacement,"$2,200,000.00",,170,Corpus,2.00%,20 years,,$0.00,
40,Sussex Shores,350,SSWC - Plant 2 Iron and Manganese Removal Improvement Project,Contaminant removal Treatment and Filtration,"$4,000,000.00",,170,Corpus,2.00%,20 years,,$0.00,
41,Artesian,7035,Lester Farms and Hyetts,Bring Lester Wells online and upgrad Hyetts,"$2,970,000.00",,160,Corpus,2.00%,20 years,,$0.00,
42,Newark,40000,Assessment,Water Mains,"$2,100,000.00",,150,Corpus,2.00%,20 years,,$0.00,
43,Angola Crest 1 and 2,60 159,WT Security Improvements,New Security Measures,"$50,000.00",,130,Corpus,2.00%,20 years,,$0.00,
43,Artesian,7035,Cedar Lane Tank,Elevated Storage Tank,"$3,685,000.00",,130,Growth? Fire,,,,,
44,Artesian,13511,Route 1 Elevated Tank,"Sussex Co. north of Lewes, along route 1 Storage tank","$3,025,000.00",,80,Growth? Fire,,,,,
