DWSRF Fiscal Year 2023 Project Priority Lists,,,,,,,,,,,
Carryover,Disadvantaged,Priority Points,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount,Additional Subsidization Funding Source,Est. Financing Schedule FY - Quarter
,,77,"Barton, Dade, Cedar, Jasper  Co.  CPWSD #1*",DW291383-01,"Dis, Stor,  Well","9,375","$23,149,250","$10,000,000 ",$  -,,23-4
,,50,California*,DW291328-02,Dis,"4,278","$12,357,912","$4,565,400 ",$  -,,23-4
,,41,Bowling Green - AG,DW291167-04,Dis,"5,334","$1,325,610","$331,402 ","$994,208 ",B,23-4
,,37,Monroe Co. PWSD #2*,DW291213-03,"Dis, Stor","7,500","$1,401,109","$653,600 ",$  -,,23-4
,,35,"Lafayette, Johnson, and Saline  Co. CPWSD #2",DW291302-02,"Dis, Stor","7,007","$17,175,250","$17,175,250 ",$  -,,23-4
,,29,Cole Co. PWSD #4*,DW291208-04,Dis,"7,568","$5,631,010","$5,631,000 ",$  -,,23-4
Small Community Total,,,,,,,"$67,836,081","$40,880,409 ","$5,266,391 ",,
Balance,,,,,,,,$  -,$  -,,
,,,,,,,,,,,
General Community,,,,,,,,"$138,404,478 ","$4,945,000 ",,
  ,,101, CCWWC - Monroe City - RCG,DW291070-09,Dis,"73,672","$8,240,000","$5,240,000 ","$3,000,000 ",B,23-4
,,83,CCWWC - Laddonia - RCG,DW291070,Dis,"73,672","$2,060,000","$515,000 ","$1,545,000 ",B,23-4
,,75, Tri-County Water Authority*,DW291181-05,"Dis, Stor","120,000","$11,742,000","$11,742,000 ",$  -,,23-4
,,75,Tri-County Water Authority  P&D  Loan,DW291181-05A,PD,"120,000","$1,382,000","$1,382,000 ",$  -,,23-4
General Community Total  $,,,,,,,"$23,424,000","$18,879,000 ","$4,545,000 ",,
Balance,,,,,,,,"$119,525,478 ","$400,000 ",,
,,,,,,,,,,,
"Total Fundable List Projects  $  138,298,480  $    76,147,882  $  30,052,358",,,,,,,,,,,
"Balance of Fundable List   $    119,525,478  $  400,000",,,,,,,,,,,
,,,,,,,,,,,
PLANNING LIST  (Debt instrument and engineering report not yet secured/submitted),,,,,,,,,,,
,D,90,Urich,,,,,,,,
,D,90,Jasper,,,,,,,,
,D,80,Kahoka,,,,,,,,
,,77,Anderson,,,,,,,,
,D,75,Filmore,DW291385-01,"Dis, Stor",505,"$5,467,000",,,,
,,71,Palmyra,DW291386-01,"Dis, Stor, Well  Rehab",931,"$12,525,000",,,,
,D,60,Sarcoxie,DW291170-02,"Dis, TP","2,078","$5,528,000",,,,
,,54, Sibley,DW291387-01,"Dis, Well, Stor","1,961","$8,231,503",,,,
,D,45, New London,DW291393-01,"Dis, Stor",173,"$3,770,250",,,,
,D,40,Liberal,DW291388-01,"Dis, Well Rehab,  TP,  Stor","3,595","$5,192,670",,,,
,,29,Clay Co. PWSD #9,DW291394-01,Dis,"1,330","$4,327,875",,,,
,,,,DW291389-01,Dis,357,"$956,500",,,,
,,,,DW291390-01,Dis,974,"$3,106,018",,,,
,,,,DW291391-01,"Dis, Stor Rehab,  Well  Rehab",759,"$3,335,040",,,,
,,,,DW291392-01,"Dis, Stor","2,532","$1,722,180",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
