Rating,Applicant,PWSID,Pop.,SRF ID,Project,Project Cost
228,LAWRENCE (PF)(H),3149000,80162,7192,Water Treatment Plant & Source Improvements,"$4,647,819 "
227,HAVERHILL (PF)(H),3128000,60769,7026,Booster Pump Station Improvements,"$3,075,000 "
227,BOSTON WATER AND  SEWER COMMISSION (H),3035000,617594,7080,2022 Water Works Improvements City-wide,"$42,251,400 "
227,ANDOVER (H),3009000,33201,7149,North Reading Transmission Main Improvements,"$5,237,100 "
227,HAVERHILL (PF)(H),3128000,60769,7166,Haverhill Fixed Network Meter,"$13,749,800 "
227,MASSACHUSETTS WATER  RESOURCES AUTHORITY,6000000,2550000,7242,"Clean & Line Sect 47, 59 & 60 - CP-3","$11,500,161 "
225,MATTAPOISETT RIVER  VALLEY WATER DISTRICT,4173001,29600,7068,Water Treatment Plant Ultrafiltration System,"$3,877,500 "
225,FRANKLIN (H),2110000,10925,7092,Hillside Tanks No. 1 and No. 2 Replacement,"$7,343,000 "
225,MANSFIELD (PF)(H),4167000,24113,7065,Dustin-Prescott Replacement Wells & Water  Main Int,"$3,580,000 "
223,KINGSTON (PF),4145000,14131,7228,New Well Source - Kelleher Property,"$2,465,000 "
222,ANDOVER (H),3009000,33201,7109,Chandler Road Water Main Improvements,"$2,372,220 "
221,BILLERICA (PF)(H),3031000,43367,6948,Crosby Hill Tank Replacement Project,"$2,242,500 "
220*,DIGHTON WATER DISTRICT  (PF),4076000,4912,6968,Brook Street Well Acquisition,"$6,000,000 "
220*,HOPEDALE (PF),2138000,5966,7157,Hopedale Water Storage Tank,"$2,660,000 "
219,METHUEN (PF)(H),3181000,50706,7101,Granite Street Pump Station & Emergency  Upgrades,"$5,663,000 "
218*,AVON (PF),4018000,4292,7027,Interconnection Pump Station,"$1,564,000 "
217,ANDOVER (H),3009000,33201,6980,Water Main Improvements - Columbia Gas  Recovery,"$6,371,000 "
217,METHUEN (PF)(H),3181000,50706,7006,Forest Street Tank Rehabilitation,"$3,145,000 "
216,LAWRENCE (PF)(H),3149000,80162,7060,Lawrence Water Main Improvement,"$7,037,255 "
215*,MILLIS (PF),2187000,8729,7197,Walnut St Booster Station & Water Main  Replacement,"$1,418,133 "
213,KINGSTON (PF),4145000,14131,7211,Main Street Water Main Replacement,"$1,612,000 "
213*,PLAINVILLE (H),4238000,9230,7213,Downtown Distribution System Improvements,"$6,868,745 "
213*,AVON (PF),4018000,4292,7095,Phase 1A Water Main Improvements Project,"$2,003,000 "
211,MILTON,3189000,27003,7031,Water Main Replacement,"$2,030,000 "
210*,DOUGLAS (PF),2077000,3855,6991,Water Main Replacement,"$7,430,290 "
207,METHUEN (PF)(H),3181000,50706,7052,Arlington Neighborhood Water Main  Replacement,"$9,072,000 "
205,SAUGUS (PF),3262000,23757,7045,Oceanview Avenue Water Booster Station,"$390,000 "
205,WINTHROP (PF)(L)(LR),3346000,17497,7062,"Revere,Crest,& Grovers Ave. St. Dist.  Improvements","$2,912,000 "
205*,PAXTON (PF)SPRINGFIELD WATER AND  SEWER COMMISSION,2228000,4092,7154,West Street Water Main,"$2,313,500 "
,(PF)(RE),,,,,
127,ANDOVER (H),3009000,33201,6996,SCADA Upgrades,"$1,680,800 "
MassDEP PRIORITY PROJECTS,,,,,,
,EMERGENCY SRF SET-A- SIDE,,,2978,,"$5,000,000 "
MULTI-YEAR CARRYOVER AND STATUTORY PROJECTS,,,,,,
,BRAINTREE #(RE)(PF)(EC),4040002,25,7258,Tri-Town Regional Water Treatment Plant,"$25,000,000 "
,HOLBROOK #(RE)(PF)(EC),4040002,25,7259,Tri-Town Regional Water Treatment Plant,"$25,000,000 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,6000000,2550000,4119,SEH Redundancy and Storage,"$49,297,289 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,6000000,2550000,4564,Weston Aqueduct Supply Main  Rehabilitation,"$19,382,850 "
,MASSACHUSETTS WATER  RESOURCES AUTHORITY,6000000,2550000,6691,Northern Intermediate High Section 89  Replacement,"$32,619,000 "
,RANDOLPH #(RE)(PF)(EC),4040002,25,7260,Tri-Town Regional Water Treatment Plant,"$25,000,000 "
PLANNING PROJECTS,,,,,,
,BILLERICA (H),,,6938,Raw Water Intake/Transmission Main Study,"$500,000 "
,BILLERICA (H),,,6947,Treble Cove Booster Pump Station Study,"$100,000 "
,BLANDFORD,,,7076,Water System Capital Improvement Plan,"$44,500 "
,BLANDFORD,,,7204,Water Main Replacement & Storage  Evaluation,"$75,000 "
,BROCKTON (H)(L)(LR),,,7187,Lead Service Line Replacement Program -  Phase I,"$600,000 "
,LEICESTER,,,7008,Moose Hill Reservoir—DEP New Source  Approval,"$636,000 "
,LEICESTER WATER SUPPLY  DISTRICT,,,7115,Groundwater Source Investigations,"$200,000 "
,MILLIS (L)(LR),,,7082,Millis Lead Service Inventory &  Replacement Plan,"$139,000 "
,NEW BEDFORD,,,7240,Phase 5 - Transmission Main Inspection  Program,"$7,050,000 "
,NEW BEDFORD (L)(LR),,,7181,Lime to Caustic Evaluation,"$200,000 "
,ROCKPORT (L)(LR),,,7159,Lead Services Inventory & Replacement  Plan,"$176,600 "
,WAYLAND (L)(LR),,,7174,Lead Service Line Inventory and  Replacement Plan,"$139,200 "
ASSET MANAGEMENT PLANNING PROJECTS,,,,,,
98,TEMPLETON,,,7071,Templeton Municipal Light & Water Plant AMP,"$120,000 "
92,TAUNTON (H),,,7222,Taunton Water Asset Management Plan,"$194,264 "
90,FALL RIVER (H),,,7170,Water System Geodatabase and Mapping,"$250,000 "
90*,LINCOLN (H),,,7073,Lincoln Water Asset Management Plan,"$111,250 "
76,CHELMSFORD WATER  DISTRICT,,,7010,Horizontal Asset Management Program,"$412,575 "
73,ABINGTON-ROCKLAND JOINT  WATER WORKS,,,7131,ARJWW Asset Management,"$93,750 "
70*,AVON,,,7057,Avon Cybersecurity and Continuity Asset  Management,"$249,277 "
