Priority Points,Community/ Public Water System,Project Number,Project Description,Est. Loan Amount,Expected Loan Rate & Term,Pop. Served,Disadvantaged
104,McLaughlin,C462233-04,"Problem:    several  locations  of  the  distribution  system  are  cast  iron  or  asbestos  cement  watermain  that  is  beyond  its  useful  life,  the  system includes several dead-end lines, portionsof  the  system  have  pipe  that  is  undersized  and  causes reduced pressures, and the existing water  meters  are  beyond  their  useful  life.    Project:  install  6,730  feet  of  new  PVC  watermain  to  replace  the  existing  pipe,  loop  the  system,  andreplace  undersized  mains,  and  replace  water  meters.  ","$1,356,000 ","0%, 30 years",663,Yes
101,Hanson Rural Water System,C462458-03,Problem:  areas  of  the  existing  distributionsystem  are  undersized  to  provide  needed  pressure  and  capacity  to  current  and  proposed  users and current meters are beyond their useful  life.    Project:  install  38.5  miles  of  transmissionline  to  increase  pressures  and  capacity  in  areas  of  the  system  not  able  to  adequately  convey  water  to  users  and  install  new  meters  with  remote read technology.,"$3,600,000 ","2.75%, 30","3,431",Yes
100,"Shared Resources, Inc.",C462498-02,"Problem:    the  Big  Sioux  CWS  and  Minnehaha  Community  Water  Corp.  are  adjacent  water  systems  that  both  lack  adequate  water  sources  and  treatment  capacity  to  meet  the  demands  ofcurrent users or existing residents in the service  area  that  have  requested  connection.    Project:   construct  a  new  jointly  owned  8  MGD  water  treatment  plant  and  well  field  to  provide  increased  capacity  for  both  systems  to  servecurrent and future users, install 2.5 miles of raw  water  transmission  line  and  12  miles  of  treated  water  transmission  line,  and  construct  twoelevated  storage  towers  to  meet  system  storage  needs and provide pressure.","$102,884,000 ","3.25%, 30  years","35,227",
100,Webster,C462054-05,"Problem:  several  locations  of  the  distribution  system are cast iron watermain that is beyond its  useful life, the system includes several dead-endmainlines, and portions of the system have pipe  that is undersized and causes reduced pressures.  Project:  install  16,000  feet  of  new  PVC  watermain to replace the existing pipe, loop thesystem, and replace undersized mains.   ","$4,433,000 ","2.75%, 30  years","1,866",Yes
99,Newell,C462109-04,"Problem:    several  locations  of  the  distribution  system are transite watermain  that is beyond its  useful life, the system includes several dead-endlines,  portions  of  the  system  have  pipe  that  is  undersized and causes reduced pressures, and an  area  of  the  community  is  not  served  by  the  system.  Project:  install  6,050  feet  of  new  PVC  watermain to replace the existing pipe, loop thesystem,  replace  undersized  mains,  and  connect  unserved users.    ","$1,141,238 ","2.75%, 30  years",603,Yes
95,Gregory,C462126-04,"Problem:    the  existing  cast  iron  and  asbestos  cement  distribution  system  pipe  is  beyond  itsuseful  life  and  areas  within  the  system  experience low pressure due to undersized pipe.  Project:    replace  approximately  35,000  feet  of  water  main  with  PVC  pipe  and  increase  pipesize where needed.  ","$7,205,000 ","0.00%, 30  years","1,295",Yes
94,"Bear Butte Valley Water,  Inc.",C462486-05,"Problem:    the  system  in  the  Blucksberg  service  area  lacks  adequate  storage  to  meet  peak  demands  during  high  use  periods.    Project:construct  a  new  150,000-gallon  ground  storage  reservoir  and  booster  station  to  provide  necessary  storage  capacity  and  pressure  in  thisarea of the system.  ","$1,048,500 ","3.25%, 30  years",680,
93,Irene,C462255-05,"Problem:      the  current  storage  tower  is  beyond  its  useful  life  and  does  not  meet  peak  demand  needs.    Project:  construct  a  new  100,000-gallon  elevated storage tower. .","$1,835,000 ","2.75%, 30  years",420,Yes
93,Kingbrook Rural Water  System,C462432-11,"Problem: the existing water treatment plants are  no  longer  able  to  provide  needed  capacity  for  current  use  and  various  process  equipment  ineeds  replacement,  the  existing  wells  are  not  able  to  provide  sufficient  raw  water,  current  storage  volume  does  not  meet  peak  demands,  and several areas withing the distribution system  are unable to meet current demands resulting ininsufficient  pressures.  Project:    upgrade  equipment and add additional treatment capacity  at  both  treatment plants,  install  additional  wells  to  provide  needed  source  water  capacity,construct  a  new  storage  reservoir,  construct  or  upgrade  four  booster  stations  to  supply  needed  pressures, relocate 12.5 miles of pipe to increase  capacity and  move out of the highway right-of-way.  ","$29,850,000 ","3.25%, 30  years","13,528",
92,Morristown,C462366-01,"Problem:    the  existing  water  system  has  inadequate  disinfection  capabilities  and  the  existing water storage facilities do not meet theexisting  demand  or  provide  sufficient  pressure.   Project:  install  chlorination  equipment  prior  to  the  ground  storage  reservoir,  construct  a  new  storage  reservoir,  and  install  flush  hydrants  onthe distribution system to improve water quality  on low flow mains.  ","$214,760 ","2.75%, 30  years",67,Yes
90,Rapid City,C462014-05,Problem:  one  of  the  existing  water  treatment  plants is past itself useful life and rehabilitationis not feasible. Project: construct a new 20 MGD  treatment  facility  located  on  the  eastern  side  of  the distribution system to better provide water in  an area of high current growth and maintain theability to serve the Ellsworth Air Force Base.  ,"$135,000,000 ","3.00%, 30  years","67,956",Yes
88,Murdo,C462108-01,Problem:    the  system’s  meters  are  obsolete  and  unserviceable  and  require  manual  reading.   Project:    replace  approximately  375  watermeters  and  install  an  automatic  meter  reading  system.,"$429,276 ","2.00%, 10  years",488,Yes
86,Hot Springs,C462040-03,Problem:  the  existing  water  distribution  pipe  under North River Street/SD Hwy 385/18 is old  and the highway will be reconstructed.  Project:  replace  the  existing  watermain  pipe  with  newPVC pipe prior to the SD DOT reconstruction of  the roadway.  ,"$1,054,025 ","0%, 30 years","3,711",Yes
84,Southern Black Hills Water  System,C462492-02,"Problem:  two  service  areas  of  the  distribution  system  lack  redundant  supply,  have  inadequateground  storage  to  meet  demands  or  pressurize  the  systems,  neither  source  of  water  is  chlorinated,  and  control  systems  are  outdated.   Project:  construct  five  miles  of  pipeline  toconnect  the  two  service  areas  to  provide  redundancy  in  the  system,  construct  an  additional well to serve current and future users,  construct  an  elevated  storage  tank  to  meet  userdemands  and  pressurize  the  system,  and  install  chlorination  and  SCADA  system  equipment  at  new and existing facilities.  ","$1,800,000 ","3.25%, 30  years",925,
82,Clay Rural Water System,C462437-07,"Problem:  one  of  the  existing  water  treatment  plants  is  past  itself  useful  life  and  is  no  longerable  to  demands  of  current  users,  additional  wells  are  needed  to  provide  capacity  and  redundancy  based  on  recent  demands,  storagewithin the system is insufficient to meet average  day  demands,  and  several  distribution  lines  are  beyond  their  useful  life  and  undersized  to  meet  demands.    Project:  construct  a  new  2  MGDtreatment  facility,  install  two  additional  wells,  construct two new storage reservoirs, and install  18  miles  of  transmission  line  to  increase  capacity  in  areas  of  the  system  not  able  toadequately convey water to users.","$26,016,000 ","3.25%, 30  years","5,800",
78,Terry Trojan Water Project  District,C462455-04,"Problem:    the  system’s  existing  water  storage  tank  has  structural  and  joint  issues  leading  to  large water loss and rehabilitation attempts have  been  unsuccessful  in  correcting  the  problem.Project:  construct a  new  125,000-gallon  storage  tank  to  replace  the  existing  tank  and  provide  necessary system storage to meet demands.  ","$215,000 ","3.25%, 30  years",475,
77,Brandon,C462032-04,"Problem:  the  existing  water  source  for  the  city  has water quality issues that the treatment plantwas not designed to address, the treatment plant  lacks capacity for current users, an existing well  has  equipment  that  is  beyond  its  useful  life,pipes in  several  areas of the distribution system  are beyond their useful life, and two areas within  the system are  fed by one long distribution  line  with  no  looping.    Project:  upgrade  the  existingtreatment  plant  to  address  the  water  quality  issues and provide necessary capacity for current  and  future  users,  and  replace  18,250  feet  of  watermain with new PVC, and install 3,000 feetof new PVC watermain to loop two areas of the  system and assure redundant supply to users.  ","$18,530,000 ","3.25%, 30  years","8,785",
77,Wessington,C462302-01,"Problem:  the  existing  water  storage  tank  coatings are in poor condition and the tank is inneed  of  repair,  the  distribution  system  lacks  valves to isolate portions in the event of a break.  Project: recoat the water storage tank and make  necessary  repairs  to  extend  the  life  of  the  tank,install  gate  valves  throughout  the  distribution  system and replace hydrants where necessary.  ","$673,000 ","0%, 30 years",170,Yes
73,"Joint Well Field, Inc.",C462454-03,Problem:    the  existing  treatment  plant  lacks  the  capacity  and  source  water  access  to  meet  thedemands of current users in the Kingbrook RWS  and  Brookings-Deuel  RWS  systems  which  it  serves.    Project:    construct  a  new  3.5  MGD  water  treatment  plant  and  two  new  wells  toprovide  increased  capacity  for  both  systems  to  serve current and future users.,"$9,460,000 ","3.25%, 30  years","22,028",
72,"High Meadows Water  Association, Inc.",C462499-02,"Problem:  the  existing  distribution  system  is  undersized  and  beyond  its  useful  life,  users  are  not  currently  metered  for  water  usage,  and  the  systems  wells  are  not  able  to  supply  neededcapacity.    Project:  replace  approximately  8,200  feet of water main with PVC pipe, install water  meter  pits  for  each  user,  and  either  connect  to  the  Black  Hawk  Water  Users  District  or  drill  anew well to provide additional source water.  ","$2,558,000 ","3.25%, 30  years",140,
70,Chamberlain,C462044-04,"Problem:  the  water  treatment  plant  recarbonation  system  is  beyond  its  useful  life  and in need of replacement, two blocks of MottStreet watermain are beyond their useful life and  experiencing  breaks,  a  section  of  Byron  Boulevard  consists  of  a  long  dead-end  that  serves  users  in  the  area.  Project:  replace  therecarbonation  equipment,  replace  two  blocks  of  watermain  on  Mott  Street  with  new  PVC,  and  install 2,300 feet of new PVC watermain to loop  Byron Boulevard.","$300,000 ","3.00%, 30  years","2,387",Yes
70,Mid-Dakota Rural Water  System,C460430-07,"Problem: the existing water treatment backwash  process equipment is in need of replacement, the  existing  treatment  plant  is  not  able  to  meet  demands  when  receiving  cooler  source  water,several areas withing the distribution system are  unable to meet demands resulting in insufficient  pressures, and the existing meter reading system  is  in  need  of  replacement.  Project:    construct  anew  backwash  treatment  process  facility,  make  improvements  to  the  existing  treatment  plant  equipment to increase treatment capacity, install  143.4  miles  of  parallel  and  looping  pipe  toincrease  pressure  and  redundancy,  and  install  new meter reading system equipment.","$29,036,545 ","3.00%, 30  years","32,102",Yes
70,Salem,C462057-07,"Problem:    areas  throughout  the  distribution  system  are  cast  iron  watermain  and  asbestos  cement  pipe  that  is  beyond  its  useful  life,  thesystem includes several dead-end mainlines, and  portions  of  the  system  have  pipe  that  is  undersized  and  causes  reduced  pressures,  and  the  water  treatment  facility  has  equipment  in  need  of  replacement  and  high  iron  andmanganese  levels  are  fouling  the  treatment  membranes.    Project:  install  9,250  feet  of  new  PVC  watermain  to  replace  existing  pipe,  loop  the  system,  and  replace  undersized  mains,replace  membrane  equipment  at  the  treatment  facility,  and  install  an  iron  and  manganese  removal system.  ","$9,281,000 ","3.00%, 30  years","1,347",Yes
69,Fall River Water Users,C462435-06,"Problem: one of the existing wells  is past itselfuseful  life  and  is  no  longer  able  to  demands  of  current  users,  additional  source  water  is  needed  to  provide  capacity  and  redundancy  based  on  recent  demands,  storage  within  the  system  isinsufficient  to  meet  average  day  demands,  and  several distribution lines are beyond their useful  life  and  undersized  to  meet  demands.    Project:   install a new well to replace the current well andincrease  capacity,  construct  two  new  storage  reservoirs,  install  22  miles  of  transmission  line  and  two  new  booster  stations  to  increase  capacity in areas of the system.","$12,088,000 ","3.25%, 30",927,
67,Raymond,C462385-01,"Problem:  the  existing  distribution  system  is  undersized  and  beyond  its  useful  life,  users  are  not  currently  metered  for  water  usage,  and  thesystem  lacks  sufficient  storage  for  average  day  demand.    Project:  replace  approximately  1,700  feet of water main with PVC pipe, install water  meters,  and  construct  a  20,000-gallon  ground  storage tank and booster station.","$2,444,200 ","2.75%, 30  years",50,Yes
61,Mobridge,C462016-09,"Problem: the existing water treatment facility is  in  need  of  significant  repairs,  the  raw  water  intake  system  is  beyond  its  useful  life  and  in  need  of  repair,  the  North  water  tower  heightdoes not provide full system storage or adequate  pressure, and the areas of the distribution system  are  beyond  their  useful  life.    Project:  upgrades  at  the  water  treatment  facility  to  includecontrols,  high  service  pumps,  lime  slaker,  and  HVAC system, repair or replace the existing raw  water  intake  system,  increase  the  height  of  the  North  water  tower,  and  replace  approximately1,800 feet of water main with PVC pipe.  ","$11,300,000 ","3.00%, 30  years","3,465",Yes  (Pending  rate  increase)
58,Brookings,C462019-02,"Problem:  the  northern  water  treatment  facility  has  exceeded  its  useful  life  and  needs  replacement.  Project:  construction  of  a  new  6MGD lime softening water treatment facility and  installation of 28,500 feet of raw water line and  20,000 feet of water main.   ","$54,000,000 ","3.00%, 30  years","22,588",Yes
57,Rapid Valley Sanitary,C462013-03,"Problem:  the city of Box Elder and some nearbyhousing  developments  lacks  sufficient  water  quantity  and  quality  water  to  meet  current  user  needs.  The Rapid Valley Sanitary District lackssufficient  source  water  capacity  to  meet  the  needs  of  their  own  district  and  assist  in  supplying  the  needs  of  Box  Elder  and  other  existing  users  in  the  area.    Project:  install  of5,220 feet of 12-inch watermain along Cheyenne  Boulevard  near  Box  Elder  to  connect  the  two  distribution  systems,  the  project  will  also  construct a new 2-million-gallon storage tank to  allow Rapid Valley to have sufficient storage toserve Box Elder and continued service to Valley  View Heights Estates by Box Elder.  The project  includes  the  drilling  of  a  new  Madison  aquifer  well  to  provide  additional  needed  capacity  forcurrent and future users and 3,500 feet of 6-inch  line  to  connect  the  new  well  to  Rapid  Valley’s  treatment plant.","$6,679,000 ","2.75%, 30",,Yes
56,North Sioux City,C462009-03,Problem:  one  of  the  existing  water  treatment  plants  has  equipment  that  is  past  its  useful  life  and is no longer able meet demands from current  users.  Project:  construct  a  1.8  MGD  expansionto  the  Streeter  Drive  treatment  facility  and  upgrade  equipment  for  the  existing  treatment  processes.  ,"$5,328,125 ","3.25%, 30  years","2,530",
55,Fort Pierre,C462049-02,"Problem:  The city currently contracts for watersupply  through  the  local  regional  water  system  and has been informed the agreement will not be  continued after 2032.  Project: construction of an  approximately  2  million  gallon  per  day  watertreatment  plant,  to  include  a  Missouri  River  intake and connection to the existing distribution  system.   ","$19,651,000 ","3.25%, 30",,
55,Volga,C462046-03,Problem:  the  city’s  existing  chemical  feed  andtreatment  equipment  is  aging  and  undersized  to  manage  the  volumes  being  used.    Project:  improvements to and expansion of the treatmentand  chemical  feed  equipment  at  the  existing  water treatment plant to provide additional water  capacity.,"$290,882 ","3.25%, 30",,
53,Mitchell,C462129-08,"Problem: the distribution system lacks sufficient  storage  for  certain  pressure  zones,  the  current  bulk  service  connection  only  connects  at  the  former  water  treatment  plant  which  does  notprovide  redundant  feeds  and  additional  bulk  transmission  line  capacity  is  needed,  the  bulk  water  flows  through  portions  of  the  unused  water  treatment  plant  before  entering  thedistribution  system,  piping  size  and  locations  serving  areas  south  of  Interstate  90  limit  capacity  and  pressures,  and  the  existing  treatment plant is no longer used  and should  beproperly  abandoned.    Project:  construct  a  new  2.5-million-gallon  storage  tank,  install  a  secondary  direct  bulk  service  connection  to  the  distribution  system  and  construct  13.5  miles  ofbulk  service  transmission  line,  install  piping  to  bypass  the  treatment  plant,  make  piping  modifications  and  booster  pump  upgrades  to  increase  capacity  and  pressures  in  the  southernpart  of  the  distribution  system  and  properly  abandon the unused treatment plant.  ","$22,000,000 ","3.00%, 30  years","15,524",Yes
50,Butte-Meade Sanitary  Water District,C462190-04,"Problem:    one  of  the  system’s  existing  wells  is  not  useable  due  to  high  radionuclide  levels  andwithout  this  well  the  system  does  not  have  capacity  to  supply  peak  use,  existing  storage  facilities  are  unable  to  meet  peak  demand  capacity,  and  a  portion  of  the  existingdistribution  system  is  beyond  its  useful  life.   Project:  construct  a  new  well  to  supply  needed  capacity  and  provide  improved  water  quality,  construct  a  new  220,000-gallon  storage  tank,install  two  miles  of  new  PVC  main  to  connect  the  well  and  storage  tank  to  the  distribution  system,  and  replace  one  mile  of  existing  aged  pipe with new PVC.","$2,502,949 ","3.00%, 30  years","2,000",Yes
48,Henry,C462277-01,"Problem:  the  existing  distribution  system  is  undersized and beyond its useful life, many lines  have  dead  ends  contributing  to  poor  water  quality  and  pressure,  and  the  system  lackssufficient  storage  for  average  day  demand.   Project:  replace  and  install  loops  for  approximately  18,500  feet  of  water  main  with  PVC pipe and construct a 60,000-gallon groundstorage tank and booster station.  ","$6,120,000 ","3.00%, 30  years",267,Yes  (pending  rate  increase)
48,Hudson,C462280-02,"Problem:    the  existing  cast  iron  distribution  system  pipe  is  beyond  its  useful  life  and  the  current  water  storage ground level  tanks  do  notsupply  adequate  pressure  or  storage  for  the  average day demand and are beyond their useful  life.  Project:    replace  and  install  approximately  22,000  feet  of  water  main  with  PVC  pipe,  loopthe system, and increase pipe size where needed,  and construct a new 50,000-gallon water storage  tank and booster station.  ","$8,120,000 ","2.75%, 30  years",296,Yes
47,Stratford,C462394-02,"Problem:  the  existing  distribution  system  isundersized  and  beyond  its  useful  life,  water  meters  are  beyond  their  useful  life,  and  the  system  lacks  sufficient  storage  for  average  day  demand.  Project:  replace  approximately  10,100feet  of  water  main  with  PVC  pipe,  install  new  water  meters,  and  construct  a  20,000-gallon  storage tank and booster station.  ","$3,498,800 ","3.00%, 30",,
46,Aurora-Brule Rural Water,C462425-03,"Problem:    The  Aurora-Brule  Rural  WaterSystem is facing issues with its system including  low  pressures,  lack  of  adequate  storage,  and  unreliable transmission. Project:  install 10 miles  of  new  parallel  water  main,  construct  a  newstorage  reservoir,  loop  multiple  portions  of  the  system, construct a booster station, and demolish  a  water  tower  and  booster  station  that  are  beyond their useful life.","$4,170,000 ","3.00%, 30","3,000",Yes
45,Clark,C462124-02,"Problem:    several  locations  of  the  distribution  system  are  cast  iron  or  asbestos  cement  watermain  that  is  beyond  its  useful  life,  the  system includes several dead-end lines, portionsof  the  system  have  pipe  that  is  undersized  and  causes  reduced  pressures,  the  current  storage  tower  needs  major  improvements  to  remain  functional,  and  the  existing  water  meters  arebeyond  their  useful  life.    Project:  install  37,875  feet  of  new  PVC  watermain  to  replace  the  existing  pipe,  loop  the  system,  and  replace  undersized  mains,  rehabilitate  the  elevatedstorage tower, and replace water meters.  ","$11,618,000 ","3.00%, 30  years","1,139",Yes
43,Keystone,C462074-02,"Problem:  additional  source  water  is  needed  to  provide  capacity  and  redundancy  based  on  recent  demands,  storage  within  the  system  isinsufficient  to  meet  peak  day  demands,  and  areas  of  the  distribution  system  lack  adequate  pressure. Project:  install a new well to increase  capacity,  construct  a new  storage  reservoir,  anda  new  booster  station  to  increase  capacity  in  areas of the system.  ","$781,258 ","2.75%, 30  years",337,Yes
38,Spearfish,C462030-03,"Problem:  an  area  of  the  water  system  near  exit  17 on I-90 has experienced significant growth inrecent  years,  the  source  water  capacity  and  storage of the water system are having difficulty  supplying  the  current  users  may  lead  to  overall  system  issues.    Project:  the  city  will  install  anew well to increase the overall system capacity  and install a new 750,000-gallon storage tank to  provide storage and pressure for this area of the  system.","$4,620,000 ","2.75%, 30  years","10,494",Yes
37,Box Elder,C462003-05,"Problem:  portions  of  the  existing  distribution  system  pipe  are  made  of  asbestos  cement  pipe  and experiencing leaks, an existing well requires  treatment  and  new  pump  equipment  to  beusable, and two ground storage tanks have liners  in  need  of  replacement.  Project:  install  12,555  feet of new PVC watermain in various locations,  install  a  treatment  equipment  and  replace  the  existing  well  #7  pump  equipment,  install  twonew ground storage tank liners.  ","$4,392,150 ","2.75%, 30  years","7,800",Yes
