"State","City Served","Borrower","PWSID","Project Name","Project Description","Project Type","Funding Amount","Principal Forgiveness","Population","Meets State Disadvantaged Criteria","State Rank","State Score"
"Alabama","Pickens","Reform, City of","AL0001107","FS010359-01 City of Reform – Reform Water System Upgrades","The City of Reform proposes to develop a new water supply well, install a new 500,000 gallon storage tank, and install strategic isolation valves in the distribution system. Completion of this project would result in improved service to existing customers.","Other","5500000","5500000","2376","No","No Information","230"
"Alabama","Bibb","West Blockton, Town of","AL0000097","FS010192-02 Town of West Blocton - West Blocton Water System Improvements","The Town of West Blocton proposes a project for their system that entails 5.3 miles of water main replacements, the installation of an emergency generator, valve replacement, water meter replacement, and the replacement of a pump station. Completion of this project would result in improved service to existing customers.","Other","375000","0","4050","Yes","No Information","190"
"Alabama","Greene","Greene County Water and Sewer Authority","AL0000643","FS010431-01 Greene County Water and Sewer Authority - Greene County Water Improvements","The Greene County Water and Sewer Authority proposes crucial improvements to their drinking water source, treatment, storage, and distribution system. Proposed improvements include replacement of all existing water meters with new Automatic Meter Reading (AMR) meters; development and installation of a new drinking water supply/production well; replacement of approximately 1,165 LF of broken water main along US-43 two miles north of Forkland near CR-42 and of approximately 1,000 LF along SR-14 seven miles north of Clinton near CR-119; extension of approximately 1,700 LF of water main to eliminate a dead-end and create a complete loop along Acorn Circle and CR-18; and the inspection, repair, and rehabilitation of existing water supply well. These improvements will ensure the provision of safe drinking water and benefit all service area customers.","Other","3336328","3011328","2692","Yes","No Information","135"
"Alabama","Clarke","Thomasville, City of","AL0000262","FS010304-01 City of Thomasville - Thomasville Water System Improvements","The City of Thomasville proposes improvements to their drinking water system in active response to a Consent Order concerning exceedances of disinfection byproducts, total trihalomethanes (TTHM). Project scope will consist of the cleaning, media blasting, and recoating of interiors and exteriors of two existing 2.0 MG ground level water storage tanks (GSTs) and one 0.125 MG elevated water storage tank. New mixing systems will also be added to these same tanks to maintain chlorine residuals, regulate water temperature, and reduce water age within each tank. The remaining 1.0 MG ground level storage tank, which has been assessed as structurally deficient beyond repairs will be completely replaced by a new 1.0 MG GST with mixing system. Proposed improvements will deter future formation of disinfection byproducts in compliance with Consent Order requirements and insure the provision of safe drinking water to all service area customers.","Other","819300","0","3900","Yes","No Information","135"
"Alabama","Mobile","Mobile, AL (MAWSS), Board of Water and Sewer Commissioners of the City of","AL0001005","FS010096-09 Mobile Board of Water & Sewer Commissioners (MAWSS) – Mobile Causeway Water Main Replacements and Rehabilitation","Mobile Board of Water & Sewer Commissioners proposes the emergency replacement and/or rehabilitation of various existing sections of the Causeway Water Main to the Spanish Fort Water System which are experiencing significant water loss. Proposed improvements will include replacing or rehabilitating more than 9,300 LF of 20-inch HDPE main. As MAWSS currently supplies 70% of Spanish Fort’s total water supply, these repairs are immediately and urgently needed to eliminate existing water loss.","Other","4707700","0","259224","Yes","No Information","135"
"Alabama","Clarke","Grove Hill, Utilities Board of the Town of","AL0000255","FS010197-02 Town of Grove Hill, Utilities Board – Grove Hill Water System Improvements","The Utilities Board of the Town of Grove Hill proposes installing of a new drinking water production well near US Highway 84 and Lavender Road. The Utilities Board currently operates four (4) 200-gpm wells for a combined production of approximately of 770,000 gpd when all four wells are operating at the maximum recommended running time of sixteen (16) hours a day. These maximized operating conditions, however, result in a reduction of both the design life and reliability of production equipment. Extreme dry weather conditions have also created a peak water demand of nearly 900,000 gpd such that an additional well of 200-gpm or greater is really needed. Additional proposed work items would include installation of approximately 500 LF of 8-inch water main in connecting the new well to the existing distribution system and nearly 4,000 LF of 6-inch water main to connect two dead end lines along Love Road (CR-18) to allow two-way feed from the well. Proposed improvements will insure an adequate supply of drinking water to all Grove Hill service area customers.","Other","1550000","775000","3750","Yes","No Information","130"
"Alabama","Calhoun","Weaver, City of","AL0000168","FS010121-03 City of Weaver - Weaver Booster Pump Station","The City of Weaver proposes to install a new booster pump station at the existing connection to the Anniston water system. Completion of this project would result in pressure adequate to completely fill the Water Tower Road tank.","Other","671250","335625","3061","Yes","No Information","95"
"Alabama","Calhoun","Weaver, City of","AL0000168","FS010121-02 City of Weaver - Weaver Tank and Pump Station","The City of Weaver proposes to construct a new 125,000 gallon standpipe tank and booster pump station. Completion of this project would result in approximately 15 customers receiving water service above the minimum water pressure required by ADEM regulations.","Other","924400","462200","3061","Yes","No Information","95"
"Alabama","Lowndes","Lowndesboro, Town of","AL0000852","FS010228-03 Town of Lowndesboro – Lowndesboro Water Main Replacement","The Town of Lowndesboro proposes a project for the rehabilitation of a hydraulic loop which will eliminate water supply issues associated with breaking of water mains; and install standby generators for water well pumps to avoid disruption of service due to power interruptions.","Other","1000000","1000000","1210","Yes","No Information","70"
"Alabama","Conecuh","Lyeffion Water","AL0000341","FS010310-01 Lyeffon Water – Lyeffon Water System Improvements","Lyeffon Water proposes water system improvements consisting of installation of a water main to connect with the Southwest Alabama Water System, installation of a new booster pumping station, and sandblasting and repainting the interior and exterior of the existing elevated tank. These improvements will provide Lyeffon customers with better water quality and keep the system up to date.","Other","930000","930000","1500","Yes","No Information","70"
"Alabama","Choctaw","North Choctaw Water & Sewer Authority","AL0000243","FS010303-01 North Choctaw Water & Sewer Authority - North Choctaw Water System Improvements","North Choctaw Water & Sewer Authority proposes a project for their system that entails the rehabilitation of four water tanks, repairing a hydraulic loop improving service, and installation of logo on a fifth water tank. Completion of this project will ensure the customers of North Choctaw quality water service.","Other","1790222","1690222","12665","Yes","No Information","60"
"Alabama","Monroe","Frisco City, Town of","AL0001047","FS010355-01 Town of Frisco City – AMR Meter Upgrades","The purpose of this project is to provide the Town of Frisco City Water System with a more stable, energy efficient, and economical water system using Radio Read Meters (AMR). The proposed improvements will decrease the required manpower each month for reading meters and will increase the accuracy to which those meters are read. The AMR System will also help reduce","Other","222475","0","1910","Yes","No Information","55"
"Alabama","Lowndes","Lowndes County Water Authority","AL0001512","FS010228-02 Lowndes County Water Authority - Lowndes Water Mains & Generators","The Lowndes County Water Authority proposes a project that replaces two sections of water main with recurring maintenance problems; repair a major hydraulic loop; and install backup generators on major water well pumps plus purchase a portable generator to handle interruptions on smaller well pumps. The improvements will decrease I/I, and increase the energy efficiency for the system.","Other","735000","735000","3500","Yes","No Information","45"
"Alabama","Chambers","Beulah Utilities District","AL0000180","FS010424-01 Beulah Utilities District – Beulah Water System Improvements","The Beulah Utilities District proposes to upgrade the Halawakee Creek Bridge water line to a larger line. Completion of the project would result in an increase in the reliability of the water supply to the system.","Other","1245500","622750","6173","Yes","No Information","35"
"Alabama","St. Clair","Wolf Creek Water, Sewer, and Fire Protection Authority","AL0001219","FS010367-01 Wolf Creek Water, Sewer, and Fire Protection Authority - Wolf Creek Water Storage Tank & Water Main Extensions","The Wolf Creek Water, Sewer, and Fire Protection Authority is proposing a project for their system that entails of the installation of a 100,000-gallon standpipe water storage tank, extension upon an existing 6"""" water main, and extension of another existing 6"""" water main. These improvements will improve the water quality for this system and provide improved service to existing customers.","Other","300000","0","810","Yes","No Information","35"
"Alabama","Lee","Beauregard Water Authority","AL0000814","FS010216-01 Beauregard Water Authority – Beauregard 2022 DWSRF Water System Improvements","The Beauregard Water Authority proposes to replace existing smaller-diameter water lines with 6-inch water lines in several locations. Completion of this project would reduce leaks and improve water flow, pressure, and fire protection.","Other","9742865","3200000","12605","Yes","No Information","30"
"Alabama","Dallas","Selma, The Waterworks and Sewer Board of the City","AL0000490","FS010256-04 Waterworks and Sewer Board of the City of Selma - Selma Lead Service Pipe Replacement","The Selma Sewer Board proposes a project to replace lead and any galvanized service lines within their system. The galvanized lines are downstream of lead service lines and must be replaced. Proposed improvements will eliminate potential health hazards associated with lead piping and lead component material and improve compliance with the Lead and Copper Rule.","Lead","15099297","15099297","17971","Yes","No Information","125"
"Alabama","Jefferson","Birmingham Water Works Board","AL0000738","FS010122-17 Birmingham Water Works Board – Birmingham Lead Service Line Repair","The Birmingham Water Works Board proposes to replace all the known lead and/ or unknown services in the entire distribution system. Completion of this project would improve service to all affected customers and improve compliance with the Lead and Copper Rule.","Lead","43514703","13771563","770000","Yes","No Information","70"
"Alabama","Mobile","Mobile (MAWSS), Board of Water and Sewer Commissioners of the City of","AL0001005","FS010096-07 Mobile Water and Sewer Board – Annual Contract for Identifying Lead and Copper Service Lines","The Mobile Water and Sewer Board proposes a project for their system that entails of identifying any lead service lines. Completion of this project will allow the system to identify areas to improve and further allow the system to move towards compliance with the Lead and Copper Rule.","Lead","2500000","1075000","259224","Yes","No Information","50"
"Arkansas","No Information","Benton County Water Authority #5","AR0000040","No Information","Water main replacement","Other","4530260","0","1468","No","1","913"
"Arkansas","No Information","Central Arkansas Water","AR0000465","No Information","New Water Distribution System","Other","16300000","0","313588","No","4","144"
"Arkansas","No Information","Central Arkansas Water","AR0000465","No Information","New Water Distribution System","Other","2200000","2200000","313588","No","4","144"
"Arkansas","No Information","Central Arkansas Water","AR0000465","No Information","Service Line Project","Other","1200000","1200000","313588","No","4","144"
"Arkansas","No Information","CAW","AR0000185","No Information","Replacement of new water meters and installation of sampling and flushing stations for the water system.","Other","425000","0","204","Yes","21","40"
"Arkansas","No Information","Dumas Waterworks","AR0000171","No Information","Installation of a waterline from Dumas connecting to the town of Pickens.","Other","376995","0","6061","Yes","43","28"
"Arkansas","No Information","East End Waterworks","AR0000646","No Information","Additional funds for construction of water storage tank and rehabilitation on existing water storage tanks.","Other","500000","0","125233","Yes","74","11"
"Arkansas","No Information","Eudora, City of","AR0000083","No Information","Water system improvements","Other","1630211","1630211","3158","Yes","39","30"
"Arkansas","No Information","Eudora, City of","AR0000083","No Information","Water system improvements","Other","543404","0","3158","Yes","39","30"
"Arkansas","No Information","Monticello","AR0000184","No Information","Replace and relocate water mains.","Other","2136616","0","9467","Yes","75","3"
"Arkansas","No Information","Mena Water Utilities","AR0000438","No Information","Replace Existing Clearwell & High Service Pump Station","Other","7000000","0","5590","Yes","3","174"
"Arkansas","No Information","Southeast Bradley County Water Association","AR0000870","No Information","Regionalize Banks into SW Bradly County Water District System","Other","505323","505323","2665","Yes","7","64"
"Arkansas","No Information","Strong","AR0000556","No Information","New Water Well and Chlorination structure","Other","346826","0","1131","Yes","51","23"
"Arkansas","No Information","Strong","AR0000556","No Information","New Water Well and Chlorination structure","Other","148640","148640","1131","Yes","51","23"
"Arkansas","No Information","Rock Moore Water Utility","AR0000252","No Information","Install new water tank and water system improvements","Other","4262000","0","3442","Yes","766","3"
"Delaware","No Information","Countryside Hamlet MHP","DE0000817","Upgrades and Interconnect","Consolidation to Artesian - See Adam Gould emails New distribution, fire","Other","745470","745470","66","No","1","800"
"Delaware","No Information","Stage Village MHP","DE0000569","Water System Improvements and Consolidation with Delmar","hydrants, water meters and connections to Delmar System Upgrades, add","Other","687800","687800","93","Yes","2","730"
"Delaware","No Information","Willow Tree MHP","DE0000134","MHP Water System Upgrades","storage Kitts Hummock Road","Other","1700000","1700000","141","Yes","3","680"
"Delaware","No Information","New Castle","DE0000634","Hewlett-Janvier","Water Main Replacement","Other","1490000","1490000","5364","Yes","4","670"
"Delaware","No Information","Delmar to Holly Oak MHP","DE0000567","Water Line Extension","Consolidation Holly Oak MHP","Other","1100000","981120","4500210","No","5","630"
"Delaware","No Information","Milton","DE0000629","LSL replacement","Carey, Walnut and Mill Street Main Replacement and LSL replacement","Lead","1330000","0","3200","No","6","620"
"Delaware","No Information","Wilmington","DE0000663","LSL Removal","Service line improvements and LSL removal $22.5M LSLR","Lead","22500000","12875792","107976","Yes","6","620"
"Delaware","No Information","Seaford","DE0000246","Martin Farms LSL Abatement","Abatement","Lead","2072149","0","6699","No","7","590"
"Delaware","No Information","Wilmington","DE0000663","Raw Water Transmission Improvements","From Brandywine Creek to either Porter or Hoopes","Other","10000000","5626080","107976","Yes","8","580"
"Delaware","No Information","Lewes BPW","DE0000602","Capes Cove Woolford Street LSL","Consolidation Capes Cove MHP","Lead","320600","0","3000","No","9","560"
"Delaware","No Information","Seaford","DE0000246","Abatement Jackson St. Service","Abatement","Other","601574","0","6699","No","9","560"
"Delaware","No Information","Frederica","DE0000587","Connections","LSL replacement","Other","512000","512000","870","Yes","10","530"
"Delaware","No Information","Magnolia","DE0000610","North Main Street","Water Main Improvements","Other","900000","900000","425","Yes","11","525"
"Delaware","No Information","Dover","DE0000571","LSL inventory","LSL regulatory requirements","Lead","60000","60000","38000","Yes","12","480"
"Delaware","No Information","Greenwood","DE0000558","Well Replacement","test well","Other","378000","378000","973","Yes","12","480"
"Delaware","No Information","New Castle","DE0000634","Porter Filter Plant PFAs","Delaware Street Water Main Extension","Emerging Contaminants","1743000","0","5364","Yes","12","480"
"Delaware","No Information","Wilmington","DE0000663","Removal- $45M project","EC Construct GAC vessels","Other","4787405","4787405","107976","Yes","13","450"
"Delaware","No Information","Wilmington","DE0000663","Porter Filter Plant PFAs Removal - $45M project Dulany Well Abandon and","Base Construct GAC vessels","Emerging Contaminants","40212595","0","107976","Yes","13","450"
"Delaware","No Information","Seaford","DE0000246","Nylon Well Rehab","Abandonment and Rehabilitation","Other","1901990","0","6699","No","14","430"
"Delaware","No Information","Frederica","DE0000587","Market Street","Water Main Renewal 1 of (7?)","Other","328000","328000","870","Yes","15","420"
"Delaware","No Information","Rehoboth Beach","DE0000723","Waterline and Service Line Replacements Phase I","Phases to replace water and service lines","Other","2527000","0","1400","No","16","410"
"Delaware","No Information","Magnolia","DE0000610","Elevated Storage Tank","Pressure and Redundancy Mapping and","Other","2637700","800000","425","Yes","17","405"
"Delaware","No Information","Lewes BPW","DE0000602","LSL inventory","Replacement Planning","Lead","263000","0","3000","No","18","400"
"Delaware","No Information","Milton","DE0000629","Federal Street Well and WT","Well and Treatment upgrades with ARPA match","Other","301381","0","3200","No","18","400"
"Delaware","No Information","Newark","DE0000630","SWFWTP PFAs Treatment - $4.4M EC","PFA WTP Upgrades","Emerging Contaminants","1591169","1591169","40000","No","19","380"
"Delaware","No Information","Newark","DE0000630","SWFWTP PFAs Treatment $4.4M Base","PFA WTP Upgrades","Emerging Contaminants","2808831","0","40000","No","19","380"
"Delaware","No Information","Wilmington","DE0000663","Porter Clearwell Improvements","Clearwell and associated infrastrucure","Other","19000000","0","107976","Yes","19","380"
"Delaware","No Information","Artesian","DE0000552","Brandywine Springs Manor","Water Main Renewal","Other","1035000","0","209706","No","20","375"
"Delaware","No Information","Artesian","DE00A0323","Knox Street","Water Main Renewal","Other","250000","0","13511","No","20","375"
"Delaware","No Information","Artesian","DE0000552","Stratford","Water Main Renewal","Other","1354000","0","209706","No","20","375"
"Delaware","No Information","Magnolia","DE0000610","Water Production Well","Well Improvements","Other","850500","0","425","Yes","20","375"
"Delaware","No Information","New Castle","DE0000634","School Lane Solar Panels","Install of additional solar panels","Other","547000","0","5364","Yes","21","370"
"Delaware","No Information","New Castle","DE0000634","SCADA Improvements","SCADA and monitoring Upgrades","Other","50000","0","5364","Yes","21","370"
"Delaware","No Information","Artesian","DE0000566","Delaware City","Interconnect","Other","3850000","0","1872","No","22","360"
"Delaware","No Information","Bridgeville","DE0000559","John, S. Laws, Oak Streets and Elem School","Water Main Renewal","Other","2033000","0","2256","No","22","360"
"Delaware","No Information","Cheswold/TUI Garrison Lake","DE0000004","Main and Commerce Street","Water Main Extension Loop","Other","290000","0","12567","Yes","22","360"
"Delaware","No Information","Dover","DE0000571","Brandywine Court","LSL inventory and replacement","Other","115000","115000","38000","Yes","22","360"
"Delaware","No Information","Lewes BPW","DE0000602","Kings Highway","Water Main Replacement","Other","4300000","0","3000","No","22","360"
"Delaware","No Information","New Castle","DE0000634","PFAs Treatment","School Lane WTP Expansion","Emerging Contaminants","2092000","0","5364","Yes","22","360"
"Delaware","No Information","Frederica","DE0000587","Water Storage Tower","Pressure and Redundancy","Other","3715000","0","870","Yes","23","350"
"Delaware","No Information","Artesian","DE00A0323","Railroad Street","Water Main Renewal WTP Electrical","Other","320000","0","13511","No","24","345"
"Delaware","No Information","Wilmington","DE0000663","Porter Filter Plant","Upgrades","Other","11000000","0","107976","Yes","25","330"
"Delaware","No Information","New Castle","DE0000634","School Lane Natural Gas Generator","Install of emergency standby generator for School Lane WTP","Other","327000","0","5364","Yes","26","320"
"Delaware","No Information","Artesian","DE0000552","Sparrow Run Wilmington Manor","Water Main Renewal WTP Improvements,","Other","1540000","0","209706","No","27","315"
"Delaware","No Information","Artesian","DE0000552","Gardens","PFOS removal","Other","3850000","0","209706","Yes","27","315"
"Delaware","No Information","Artesian","DE00A0323","Route 113","Water Main Renewal","Other","900000","0","13511","No","28","310"
"Delaware","No Information","Frederica","DE0000587","LSL inventory","LSL inventory","Lead","102000","102000","870","Yes","28","310"
"Delaware","No Information","Millsboro","DE0000622","LSL inventory","Inventory and Mapping (1964 pipes)","Lead","233500","0","7500","No","29","300"
"Delaware","No Information","Milton","DE0000629","Federal Street Water Tower","Pressure and Redundancy","Other","3720000","0","3200","No","29","300"
"Delaware","No Information","Artesian","DE0000552","Midvale WTP","Upgrades to disinfection, SCADA and treatment equipment","Other","2750000","0","209706","Yes","30","295"
"Delaware","No Information","Lewes BPW","DE0000602","Jones Farm","Elevated Storage Tank Canal Crossing Water","Other","4320000","0","3000","No","31","290"
"Delaware","No Information","Lewes BPW","DE0000602","Savannah Road Bridge","Main","Other","2260000","0","3000","No","31","290"
"Delaware","No Information","DE State Fair","DE0000595","Water System Lead Abatement","LSL","Lead","1660000","0","452","No","32","285"
"Delaware","No Information","Tidewater","DE0000248","Consolidation - Angola Meadows","Interconnection Phase 2B resiliency","Other","3410000","0","4000","No","33","280"
"Delaware","No Information","Middletown","DE0000614","NE Quadrant","Water System Improvements","Other","1963287","0","22582","No","34","270"
"Delaware","No Information","Newark","DE0000630","Elevated Storage Tank","Install of new storage, pressure and turnover","Other","5500000","0","40000","No","34","270"
"Delaware","No Information","Tidewater","DE0000991","Consolidation - Dairy Farm Road","Interconnection for resiliency and redundancy","Other","1650000","0","23463","No","34","270"
"Delaware","No Information","Frederica","DE0000587","Water Loop","Water System Hydraulic Loop","Other","404000","0","870","Yes","35","260"
"Delaware","No Information","Frederica","DE0000587","Water System SCADA","SCADA and monitoring Upgrades","Other","64000","0","870","Yes","35","260"
"Delaware","No Information","Magnolia","DE0000610","LSL inventory","Inventory and Replacement","Lead","1500000","0","425","Yes","35","260"
"Delaware","No Information","New Castle","DE0000634","LSL Inventory","LSL Inventory and Mapping","Lead","284000","0","5364","Yes","35","260"
"Delaware","No Information","Middletown","DE0000614","North Broad Street","Water Main Upgrade","Other","1451026","0","22582","No","36","240"
"Delaware","No Information","Seaford","DE0000246","LSL Inventory","Inventory","Lead","212000","0","6699","No","37","220"
"Delaware","No Information","Artesian","DE00A0349","Choptank and Westside Hunt","Bring Westside Hunt Well online and upgrade Choptank WTP","Other","3850000","0","7035","No","38","190"
"Delaware","No Information","Newark","DE0000630","LSL Inventory","Inventory and Replacement","Lead","2250000","0","40000","No","39","180"
"Delaware","No Information","Tidewater","DE0000991","DelDOT SR 24 Love Creek to Mulberry Knoll","Joint DelDOT and Tidewater SR 24 Reho","Other","1700000","0","23463","No","39","180"
"Delaware","No Information","Bethany Crest MHP","DE0000628","PFAs Treatment","Installation of PFAs resin","Emerging Contaminants","300500","300500","115","No","40","170"
"Delaware","No Information","Newark","DE0000630","Water Mains","Water Main Replacement","Other","2200000","0","40000","No","40","170"
"Delaware","No Information","Sussex Shores","DE0000557","SSWC - Plant 2 Iron and Manganese Removal Improvement Project","Contaminant removal Treatment and Filtration","Other","4000000","0","350","No","40","170"
"Delaware","No Information","Artesian","DE00A0349","Lester Farms and Hyetts","Bring Lester Wells online and upgrad Hyetts","Other","2970000","0","7035","No","41","160"
"Delaware","No Information","Newark","DE0000630","Conditions Assessment","Water Mains","Other","2100000","0","40000","No","42","150"
"Delaware","No Information","Angola Crest","DE0000999","WT Security Improvements","New Security Measures","Other","50000","0","159","No","43","130"
"Idaho","No Information","Murray Water Association","ID1400039","No Information","Add new wells, pumps, generator, and upgrade distribution system","Other","130254","130254","35","Yes","1","146"
"Idaho","No Information","City of American Falls","ID6390001","No Information","I nstall water meters, improvements to well complex, and replace waterlines","Other","13639750","604063","4225","Yes","10","100"
"Idaho","No Information","City of Harrison","No Information","No Information","Construction of second well","Other","271262","271262","279","Yes","11","99"
"Idaho","No Information","City of Oakley","ID5160035","No Information","Construction of a new well and a new storage tank","Other","759186","0","821","No","12","98"
"Idaho","No Information","City of Grand View","ID3370010","No Information","Water distribution system improvements, rehabilitation and repair of well, water quality testing and monitoring, and ion exchange nitrate treatment system","Other","525840","0","351","Yes","14","91"
"Idaho","No Information","Elk City Water & Sewer","ID2250017","No Information","Improvements to storage system and treatment system operation monitoring","Other","1850000","1850000","320","Yes","15","88"
"Idaho","No Information","Kootenai County Water Dist. #1","ID1280106","No Information","Upgrades to supply, storage and distribution systems","Other","5305000","0","805","No","2","139"
