Loan Applicant,L17#,Project Description,"Estimated
Construction Start Date",Requested Loan Amount,Project Manager,"Loan
Priority Score","Principal
Forgiveness Reserved",Loan Funding Reserved
Hazel Crest,7613,Replacement of 300 lead service lines.,2025-12-01 0:00:00,3000000,"Rice, Chad",265,2465000,535000
Berwyn,6319,"Replacement of approximately 400 lead service
lines.",2025-12-01 0:00:00,4000000,"Fowler, Jillian",260,2465000,1535000
Matteson,4311,"Replacement of approximately 400 lead service
lines.",2025-12-01 0:00:00,4000000,"Fowler, Jillian",255,2465000,1535000
Forest Park,7101,Phase 2 - Replacement of lead service lines.,2025-03-31 0:00:00,4000000,"Rice, Chad",255,2465000,1535000
White Hall,7165,"Replacement of approximately 89 lead service
lines.",2025-09-22 0:00:00,784000,"VanPelt, Kim",255,784000,$       -
Jacksonville,7166,"Phase 1 - Replacement of approximately 245 lead
service lines.",2026-03-01 0:00:00,3971408,"Otto, David",255,2465000,1506408
Elgin,7580,"Phase is a spin off of L175874. Replacement of
approximately 266 lead service lines.",2026-03-02 0:00:00,4000000,"Jordal, Ellen",255,2465000,1535000
Forest Park,7606,Phase 3 - Replacement of lead service lines.,2025-09-01 0:00:00,4000000,"Rice, Chad",255,2465000,1535000
LaSalle,7288,"Phase 1 - Replacement of approximately 500 lead
service lines.",2025-12-15 0:00:00,3332000,"Blanford,
Frederick",255,2465000,867000
Moline,6794,"Replacement of approximately 400 lead service
lines.",2025-12-01 0:00:00,4000000,"Smith, Bryan",250,2465000,1535000
East Moline,6996,"Phase 2 - Replacement of approximately 471 lead
service lines.",2026-03-01 0:00:00,5000000,"Holtsclaw, Kaitlyn",250,2465000,2535000
Phoenix,7263,"Replacement of approximately 294 lead service
lines.",2025-10-13 0:00:00,5000000,"Heaton, Rachael",250,2465000,2535000
Maywood,7274,"Phase 1 - Replacement of approximately 294 lead
service lines.",2025-10-13 0:00:00,5000000,"Smith, Bryan",250,2465000,2535000
Peoria Heights,6333,"Phase 3 - Replacement of approximately 284 lead
service lines.",2025-11-30 0:00:00,3027000,"Mallory, Jasmine",245,2465000,562000
Steger,6338,Replacement of 450 lead service lines.,2025-12-01 0:00:00,6000000,"Covert, Chris",245,2465000,3535000
Dolton,6555,Replacement of 350 lead service lines.,2025-12-01 0:00:00,3500000,"Clark, Lanina",245,2465000,1035000
Blue Island,6985,"Phase 1 - Replacement of approximately 294 lead
service lines.",2025-10-13 0:00:00,5000000,"Covert, Chris",240,2465000,2535000
Stickney,7268,"Phase 1 - Replacement of approximately 294 lead
service lines.",2025-10-13 0:00:00,5000000,"Fowler, Jillian",240,2465000,2535000
Kincaid,7712,Replace approximately 111 existing lead lines,2026-03-16 0:00:00,1800000,"Clark, Lanina",240,1800000,$       -
