Loan Applicant,L17#,Project Description,Estimated Construction Start Date,Projected Loan Amount,Facility No
South Elgin,7357,"Phase 3 - Abandon Well No. 4 and 7 and install Well
No. 13",2027-03-15 0:00:00,460000,IL0890800
Sycamore,,"Replace 3,075 LF of watermains and 39 service lines",2027-03-01 0:00:00,2800000,IL0370550
Tallula,7483,"New water treatment plant and associated detention tanks, underground piping and utilities, backwash basins, new well, and demolition of existing plant.",2025-12-01 0:00:00,4618160,
Tampico,7429,"Construct a new water treatment plant to remove
manganese, iron and arsenic",2026-02-28 0:00:00,5995000,IL1950550
Teutopolis,7452,"Replace 10,800 LF of watermain",2026-02-01 0:00:00,566325,IL0490450
Tri-Township Water District,7549,Rehab storage standpipe,2026-06-01 0:00:00,544950,IL1190080
Tri-Township Water District,7553,Rehab storage standpipe (Tank No. 2),2027-06-01 0:00:00,592800,IL1190080
Vergennes,,Replace 320 meters,2026-05-01 0:00:00,159000,IL0770550
Villa Park,,Replace watermains,2027-02-01 0:00:00,4700000,IL0430800
Washington,,"Construct a 500,000-gal elevated storage tank, install
watermain and new well pump",2027-01-01 0:00:00,6000000,IL1790750
Westchester,7678,Phase 1- Replacement Watermain,2026-03-01 0:00:00,6500000,IL0313150
Westchester,7679,Phase 2- Replacement Watermain,2026-03-01 0:00:00,1690000,IL0313150
Winslow,7663,"Construct Well No. 2 with building, and flood
protection wall for Well No. 1 and building.",2026-03-01 0:00:00,2937000,
Zion,7565,Phase 1 - Replace watermain,2026-03-01 0:00:00,1885000,IL0972000
Zion,7566,Water meter reading system upgrade,2026-03-01 0:00:00,1000000,IL0972000
