Loan Applicant,Project Description,L17#,Facility No.,Population,Estimated Construction Start Date,Projected Loan Amount,Principal Forgiveness,Loan Priority Score
New Lenox,"Replacement of approx. 4,500ft of watermain including the installation of new fire hydrants,
valves, and water services.",7012,1970700,28000,2025-07-07 0:00:00,2747605,$     -,360
Norris City,"Water treatment plant rehabilitation and
replacement.",7376,,1145,2026-02-01 0:00:00,6371000,1911300,360
United City of Yorkville,Replace watermain,6790,IL0930250,25999,2026-03-01 0:00:00,5390000,$     -,360
Breese,Construction elevated storage tank.,4189,,4662,2025-11-01 0:00:00,2150000,645000,355
Mansfield,"Replacing undersized watermain, looping dead end watermain, adding a meter system, well rehab
& replacement.",7371,IL1470300,928,2025-11-15 0:00:00,7079350,2123805,350
"Robinson Palestine Water
Commission",Construct and new treatment plant,6744,IL0335030,4600,2025-12-15 0:00:00,23015460,6000000,345
Davis,"Construct 2,713' watermain and new service lines
to 26 customers.",6179,IL1770150,700,2025-11-03 0:00:00,956000,286800,345
East Alton,Phase 2 - Treatment plant improvements and replacement of watermains and lead service lines.,7283,IL1190200,5786,2025-11-01 0:00:00,16814000,5044200,345
Grand Tower,"Phase 2 - Replace watermains, valves and fire
hydrants",5673,IL0770400,605,2025-09-01 0:00:00,2283685,685106,345
Ivesdale,"Phase 3: Replace 4,000 LF of watermain, 2
valves, and 6 hydrants.",5885,IL0194560,252,2025-09-15 0:00:00,987100,296130,345
North Chicago,"Construct a new .75 MG water tower and
connecting 24"" transmission main",4589,IL0971250,16813,2025-12-01 0:00:00,6500000,1950000,345
Toledo,Replace meters with radio read meters,7237,IL0350200,1161,2025-08-15 0:00:00,784883,235465,345
Warren,"Inserting 15 valves, replacing watermain, upgrade
electrical system and install generators at well houses",4419,IL0850500,1323,2026-03-01 0:00:00,2379450,713835,345
Joliet,"Replace 21 miles of watermain, hydrants, valves
and water services",6077,IL1970450,160000,2026-02-28 0:00:00,79423750,$     -,340
Old Shawneetown,Elevated water storage tank rehab & repaint,6536,IL0590200,113,2026-03-01 0:00:00,675000,202500,340
Yates City,"Construct a new 75,000-gal storage tank",6115,IL0950700,623,2025-06-30 0:00:00,1688938,506681,340
Apple River,"Construct a test Well, Well No. 3 and well house",6756,IL08550050,335,2026-03-02 0:00:00,3510000,1053000,335
Lee,"Watermain replacement & looping watermain
connection.",6167,IL1034600,313,2025-09-01 0:00:00,1340577,402173,335
Carmi,"Phase 2 - Construct new 200,000-gal storage tank,
and replace 1,800 LF of watermains, valves and hydrants",6798,IL1930100,6307,2026-02-01 0:00:00,2300000,690000,330
Palmyra-Modesto Water Commission,"Decommission existing water treatment plant; Rehab the meter pit; add a new mixer to the existing standpipe & clearwell; add necessary electrical, controls, instrumentation, and SCADA to control & monitor the new process. Demolish
existing.",7092,IL1175150,2750,2025-11-10 0:00:00,900000,270000,330
Rockford,"Construct new water storage reservoir and install
new watermain",5691,IL2010300,145609,2025-07-01 0:00:00,11000000,$     -,330
Rockford,"Construct new storage reservoir, treatment facility
and watermain",6769,IL2010300,145609,2026-03-01 0:00:00,24216005,$     -,330
