Loan Applicant,L17#,Project Description,"Planning
Approval Date","Estimated
Construction Start Date",Projected Loan Amount,Project Manager,"Loan
Priority Score",Facility No
Maywood,7276,Replacement of approximately 294 lead service lines.,2025-03-25 0:00:00,2027-10-13 0:00:00,5000000,"Smith, Bryan",0,IL0311830
Maywood,7277,Replacement of approximately 294 lead service lines.,2025-03-25 0:00:00,2028-10-13 0:00:00,5000000,"Smith, Bryan",0,IL0311830
Maywood,7278,Replacement of approximately 294 lead service lines.,2025-03-25 0:00:00,2029-10-13 0:00:00,5000000,"Smith, Bryan",0,IL0311830
Naperville,4061,"Replacement of 211 lead service lines and 28
galvanized requiring replacement service lines.",2023-03-20 0:00:00,2026-04-01 0:00:00,3585000,"Mallory, Jasmine",0,IL0434670
North Chicago,7340,Phase 2 - Replacement of lead service lines.,2025-03-24 0:00:00,2026-06-01 0:00:00,3200000,"Jordal, Ellen",0,IL0971250
Pana,7048,"Phase 2 - Replacement of approximately 381 lead
service lines.",2025-03-26 0:00:00,2026-10-01 0:00:00,3689000,"Smith, Bryan",0,IL0210500
Pana,7049,"Phase 3 - Replacement of approximately 391 lead
service lines.",2025-03-26 0:00:00,2027-10-01 0:00:00,3776000,"Smith, Bryan",0,IL0210500
Pana,7050,"Phase 4 - Replacement of approximately 405 lead
service lines.",2025-03-26 0:00:00,2028-10-01 0:00:00,3941000,"Smith, Bryan",0,IL0210500
Peoria Heights,6334,"Phase 4 - Replacement of approximately 111 lead
service lines.",2023-03-31 0:00:00,2026-10-31 0:00:00,1236000,"Mallory, Jasmine",0,IL1434750
Peoria Heights,6335,"Phase 5 - Replacement of approximately 111 lead
service lines.",2023-03-31 0:00:00,2027-10-31 0:00:00,1274000,"Mallory, Jasmine",0,IL1434750
Phoenix,7264,Replacement of approximately 294 lead service lines.,2025-03-31 0:00:00,2026-10-31 0:00:00,5000000,"Heaton, Rachael",0,IL0312490
Phoenix,7265,Replacement of approximately 294 lead service lines.,2025-03-31 0:00:00,2027-10-13 0:00:00,5000000,"Heaton, Rachael",0,IL0312490
Phoenix,7266,Replacement of approximately 294 lead service lines.,2025-03-31 0:00:00,2028-10-13 0:00:00,5000000,"Heaton, Rachael",0,IL0312490
Phoenix,7267,Replacement of approximately 294 lead service lines.,2025-03-31 0:00:00,2029-10-13 0:00:00,5000000,"Heaton, Rachael",0,IL0312490
Richmond,6816,Replacement of approximately 96 lead service lines.,2024-07-18 0:00:00,2027-03-15 0:00:00,2200000,"Covert, Chris",0,IL1110750
Riverside,7588,Replacement of lead service lines.,2023-11-07 0:00:00,2027-03-01 0:00:00,4000000,"Smith, Bryan",0,IL0318670
Riverside,7589,Replacement of lead service lines.,2023-11-07 0:00:00,2028-03-01 0:00:00,4000000,"Smith, Bryan",0,IL0318670
West Dundee,6564,Replacement of approximately 124 lead service lines.,2024-01-26 0:00:00,2027-03-15 0:00:00,2529000,"VanPelt, Kim",0,
Westmont,6959,Replacement of approximately 332 lead servide lines.,2024-03-29 0:00:00,2027-03-01 0:00:00,2589600,"VanPelt, Kim",0,
Wilmette,7309,"Phase 2 - Replacement of approximately 220 lead
service lines.",2025-03-27 0:00:00,2027-03-15 0:00:00,5060000,"Covert, Chris",0,IL0313300
Wilmette,7310,"Phase 3 - Replacement of approximately 220 lead
service lines.",2025-03-27 0:00:00,2028-03-15 0:00:00,5060000,"Covert, Chris",0,IL0313300
Wilmette,7311,"Phase 4 - Replacement of approximately 220 lead
service lines.",2025-03-27 0:00:00,2029-03-15 0:00:00,5060000,"Covert, Chris",0,IL0313300
Wilmette,7312,"Phase 5 - Replacement of approximately 220 lead
service lines.",2025-03-27 0:00:00,2030-03-15 0:00:00,5060000,"Covert, Chris",0,IL0313300
