Loan Applicant,Project Description,L17#,Facility No.,Population,"Estimated
Construction Start Date",Projected Loan Amount,"Loan
Priority Score"
Argenta,"Phase 1: Construction of a new water treatment plant building & infrastructure and connection of
Wells #2 & #3 to the new plant.",6362,IL50050,913,2025-10-15 0:00:00,5500000,305
Clifton,"Construct new watermain, service lines, valves
and hydrants. Rehab tower, detention tank and treatment plant.",7420,IL0750250,1304,2026-03-01 0:00:00,4350000,305
Joliet,"JOL-08-03 - Upgrade booster station, construct new booster station and pressure reducing station",6801,IL1970450,160000,2026-01-03 0:00:00,10154000,300
East Alton,Phase 1 - PFAS removal,7281,IL1190200,5786,2025-11-01 0:00:00,10487000,295
Oakland,Elevated tank restoration,6750,IL0290300,739,2025-10-01 0:00:00,693000,295
Joliet,"JOL-08-02 - Construct two elevated storage tanks
for Alternative Water Source",6787,IL1970450,160000,2025-07-25 0:00:00,17445000,290
Joliet,JOL-08-04 - Install transmission mains,6802,IL1970450,160000,2026-01-03 0:00:00,35699000,290
Lanark,"Installation of radio read water meters and curb
stops; purchase of remote reading equipment and billing software to work with the meters.",6560,IL0150100,1504,2025-08-30 0:00:00,1517000,290
Polo,Replace watermains,6568,IL1410450,2252,2025-08-01 0:00:00,2000000,290
Curran Gardner Townships Public Water District,"Install new 12"" raw watermain under Sangamon Rover. Install backup generator, automatic transfer switch and transformer bank to power
well field.",6294,IL1675350,8824,2025-09-01 0:00:00,2268000,285
"Curran Gardner Townships Public
Water District",Rehab three water storage facilities.,6540,IL1675350,8824,2025-10-01 0:00:00,1585000,285
Fairbury,"Refurbish Water Treatment Plant equipment and
chemical feed systems",7094,IL1050350,3633,2025-08-15 0:00:00,8500000,285
Franklin Grove,Demo and rebuild Well No. 1 and 3 buildings,7362,IL1030250,896,2026-01-15 0:00:00,2450400,285
Kansas,"Construction of a water tower, approx. 150 LF of watermain and all appurtenances & related costs.",7292,IL0450200,670,2025-07-01 0:00:00,211500,285
Plainfield,"Replacement of approx. 11,100 LF of watermain",6808,IL1970800,47226,2026-03-23 0:00:00,4570000,285
Pontoon Beach Water District,Booster Station and Ground Storage Tank,7262,1195300,5800,2025-11-15 0:00:00,3000000,285
Orient,"Replacement of approx. 1,200 LF of watermain,
180 water meters, and a booster pump station & a new backup generator. Installation of a tank mixer.",6957,IL0550350,362,2026-02-28 0:00:00,1250000,280
Waggoner,"Construct treatment plant with filters, high service
pumps and aerators",7382,IL1350700,181,2025-10-01 0:00:00,248000,280
Marshall,"Replacement of 1,500 water meters & 150 meter
pit and yokes.",3486,IL0230100,3947,2025-10-15 0:00:00,1250000,275
Mount Carmel,"PFAS treatment pilot testing, construction of a
new PFAS treatment system, and purchasing water meters.",5973,IL1850200,7300,2025-09-15 0:00:00,559000,275
Buda,"Phase 2 - Generator for Well 6, paint storage tank,
replace watermain",7011,IL0010100,482,2026-03-01 0:00:00,1512000,270
Chicago Heights,"Repair and paint interior and exterior of two
storage tanks",6014,IL0310450,30000,2025-09-01 0:00:00,6500000,270
Clinton,"Replace elevated water tank with 300,000-gallon
tank, and treatment plant improvements.",7366,IL0390050,7128,2026-03-01 0:00:00,8560000,270
Trenton,"Construct a new 250,000-gal elevated tank and
replace 17,000 LF of 8"" transmission main",7388,IL0270500,2656,2025-08-01 0:00:00,6255000,270
Oswego,"Construct a pump station and a 1 MG storage
tank. Modify treatment plant and receiving facilities.",7345,IL0930150,38546,2026-01-01 0:00:00,15100000,265
Crete,Watermain extension to Beckwith subdivision,7089,IL1970300,9541,2024-04-22 0:00:00,535000,260
East Dubuque,"Replace 4"" watermains with 8"" watermains",7609,IL0850100,1704,2025-09-01 0:00:00,987922,260
Forsyth,Rehab two water towers and ground storage tank,5925,IL1150200,3639,2025-07-01 0:00:00,2080000,255
Irving,"Install 21,854 LF of watermain, hydrants, meters,
and service lines",7321,IL1350350,343,2026-01-01 0:00:00,240000,255
Markham,Phase 1 - Replace watermains,6341,IL0311770,11661,2025-08-04 0:00:00,2300000,255
Markham,Phase 2 - Replace watermains,6342,IL0311770,11661,2025-08-03 0:00:00,2502544,255
Pike County Water District,"Construct new 200,000-gal elevated tower and
booster pump station",6553,IL1495000,7122,2025-10-15 0:00:00,2305000,255
Dixon,"Phase 4 - Replace 2,200 LF of watermain; rehab 970 LF of 8"" and 2,630 LF of 12"" watermain",7516,1030200,15274,2025-11-03 0:00:00,2254000,250
Richton Park,"Rehabilitation of existing water treatment plant including addition of chlorine scrubber and
enclosure.",7358,,12775,2026-03-01 0:00:00,5599176,250
Rural Wabash County Water District,"Install booster pump and master meter station to serve interconnect with Mount Carmel and
construct 2 miles of watermain",6578,IL1850010,1777,2025-12-02 0:00:00,998000,250
Rural Wabash County Water District,Rehab and add mixers to two storage standpipes,7259,IL1850010,1777,2025-08-01 0:00:00,1317000,250
Odin,Replacement of approx. 9.1 miles of watermain.,7221,IL1210350,910,2025-10-15 0:00:00,2200000,250
East Dundee,Rehab Barrington Ave. standpipe,7329,IL0890250,3152,2026-03-31 0:00:00,1400000,245
Geneva,Replace watermains,7577,IL0890350,21595,2026-03-15 0:00:00,4020000,245
"Brownsville Water Project, Inc.",Elevated water storage tank rehabilitation,6538,IL1930020,711,2026-02-01 0:00:00,700000,240
Sandwich,"Water main replacement Year 1: Replace over
12,000ft of water main",7465,IL034850,7212,2026-03-31 0:00:00,2300000,240
Sandwich,"Demolition of Railroad Street Water Treatment Plant and Expansion of Clark Street Water Treatment Plant. Conversion of Wells 1 & 2 to
submersible equipment.",7466,IL034850,7212,2026-03-31 0:00:00,4268000,240
Sandwich,"Installation of a new Booster Pump/Pressure
Reducing Valve Station",7467,IL034850,7212,2026-03-31 0:00:00,2185000,240
Forreston,"Purchase 719 radio read water meters, reading
device and software",7102,IL0730200,1446,2025-10-01 0:00:00,362830,235
Forsyth,Replace undersized watermains,5926,IL1150200,3639,2025-10-01 0:00:00,1800000,235
Morris,"Construction of a new water treatment plant, finished water mains, raw water mains, and
finishing of Wells 8 & 9 and well houses.",6276,630600,14163,2026-03-31 0:00:00,26000000,235
Enfield,"Water System Improvements - Phase 3. Install approximately 3,000 LF of water main, valves,
hydrants, and appurtenances.",6763,IL1930200,787,2026-02-01 0:00:00,550000,230
Fox Lake,"Medinah Street subdivision watermain and service
line installation",7433,IL0970200,10739,2025-12-01 0:00:00,2000000,230
Illinois Alluvial Regional Water Company,"Stage 1b - Regionalization project - constructing 5 wells, treatment plant, elevated storage and
finished transmission main",7181,IL0830020,35000,2024-12-02 0:00:00,56332500,230
Romeoville,"Construct two primary 1.5 MG receiving ground
level storage tanks",7373,IL1970900,40117,2025-11-02 0:00:00,8731000,230
Winnebago,"Replace watermains, hydrants and valves",4890,IL20105000,2940,2025-10-01 0:00:00,1500000,225
Winnebago,Construct new production well,6554,IL2010500,2940,2026-02-01 0:00:00,1120000,225
Bensenville,Paint and repair two water towers,3489,IL0434140,18813,2025-09-01 0:00:00,2000000,220
SLM Water Comission,"Provide a parallel transmission main to serve approx. 14,000 persons in the north service area.",2963,IL1635090,40000,2025-10-01 0:00:00,5350000,220
Dahlgren,"Treatment plant and distribution system
improvements.",7208,IL0650150,500,2025-11-01 0:00:00,4068000,215
Rock Falls,"WTP motor control center replacement and
detention tank rehab",6937,1950450,8789,2025-12-01 0:00:00,1421000,215
Illinois Alluvial Regional Water Company,"Stage 2 - Regionalization project - constructing 20 miles of finished water transmission mains and
master meters",7253,IL0830020,35000,2024-12-02 0:00:00,57500000,210
Seymour Public Water District,"Installation of a storage tank mixer, booster station
generator; and building an isolation valve and an above ground valve vault.",7322,IL0190060,317,2026-01-15 0:00:00,612950,210
Barrington,"Replace gravity filters at Bryant Ave WTP and
upgrade service pumps and HVAC.",7043,IL0974080,11963,2026-02-01 0:00:00,7800000,205
Taylor Springs,"Phase 4 - Replace 8,000 LF of watermain",7457,IL1350650,690,2026-02-01 0:00:00,1320000,205
Warrensburg,"Replace 7,360 LF of 6"" watermain",6584,IL1150500,1112,2026-03-30 0:00:00,1585870,205
Jewett,Water meter replacement,7176,IL0350100,256,2025-10-15 0:00:00,225151,200
Romeoville,Year 2 - Replace watermains,6781,IL1970900,40117,2026-03-01 0:00:00,7500031,200
Steward,"Phase 2 - Well #2 and 3 treatment building improvements, watermain and gate valve
replacements",7676,IL1030450,241,2026-03-01 0:00:00,889500,200
Dolton,"Installing 2,200 radio read meters",5270,IL0310690,23153,2025-10-01 0:00:00,2000000,195
Eldorado,"Replace 2,000 water meters and meter reading
system",7359,IL1655030,5024,2026-02-01 0:00:00,925000,195
Gorham,"Water system improvements including new ratio read metering system, new pumps, valves and
control panel, and 2 new mater meters.",7051,,1090,2025-09-01 0:00:00,509500,195
Chatsworth,Water Main replacement and looping.,6162,IL1050100,1256,2025-08-01 0:00:00,2170000,190
Forreston,Phase 3 - Replace watermains,6757,IL1410200,1435,2025-10-01 0:00:00,2200000,190
Desoto,"Purchase & install meter; install water main, service lines, hydrants , pressure connections, cut & cap existing mains, replace water meters,
service transfers and appurtenances.",6068,IL0770200,1381,2025-07-01 0:00:00,1500000,180
Harrisburg,Paint elevated storage tank,7421,IL1930350,8460,2026-02-01 0:00:00,810000,180
Hazel Crest,"Replace 1,600 water meters",7117,IL0311170,13382,2025-08-15 0:00:00,1000000,180
Industry,"Phase 2 Water System Improvements - Replace 4,100 LF of watermain and adjacent service lines,
add 900 LF of new watermain.",6178,IL1090300,399,2025-09-08 0:00:00,1615880,180
Kampsville,Construct new treatment plant,7313,IL0130250,298,2026-01-05 0:00:00,3260000,180
Irvington,"Replace 18,400 LF of transite water main.",6240,1890250,659,2025-09-01 0:00:00,1450000,175
Sesser,Phase 4 Water main replacement,5797,IL0550450,1931,2026-02-01 0:00:00,1000000,175
Murdale Water District,"Refurbish and repaint the Orchard Hills Road
Water Tank",7080,IL0075200,5149,2025-09-15 0:00:00,412000,165
West Salem,"Replace hydrants and 2"" and 4"" watermain with
6"" mains",5737,IL0470200,750,2025-12-01 0:00:00,1500000,160
Posen,"Replace 1,800 water meters",5723,IL0312520,5334,2025-10-30 0:00:00,1120000,155
Beecher City,"Replace 12,590 LF of watermain, hydrant, meters
and service lines.",7227,IL0490100,428,2025-08-01 0:00:00,291475,145
Cerro Gordo,"Replacement of the elevation tank's coating system with full containment; replace water treatment plant controls, electrical, softeners, telemetry, valves, and piping; replace & upgrade
watermain and appurtenances.",4822,IL1470100,1312,2025-10-01 0:00:00,2987000,145
Freeburg,"Phase 1: Approximately 17,600 LF of water main replacement & replacement of standpipe with
elevated storage tank.",6277,IL1630600,4529,2025-10-15 0:00:00,4195138,130
Gilman,New treatment plant,1880,IL0750450,1814,2025-11-01 0:00:00,3800000,130
Ashkum,"Construct new 8"" watermain for redundancy.",7392,IL0750050,724,2026-03-01 0:00:00,4370000,125
Broughton,"Phase 3 Water System Rehabilitation: Replace
watermains and associated appurtenances.",5819,IL0650100,250,2026-02-01 0:00:00,1575000,125
Butler,"Water System Rehabilitation- Phase 3. Watermain
replacement.",6039,IL1350050,180,2026-02-01 0:00:00,2000000,125
Thayer,"Replace 11,500 LF of watermain, valves, and
hydrants",7162,IL1671250,793,2026-02-02 0:00:00,2058250,125
Harwood Heights,"Water Main replacements on Foster Avenue and Forest Preserve Drive. Additionally, all service lines in the project area will be replaced, including
some that are lead.",6935,,9065,2026-03-01 0:00:00,3870000,120
Leyden Township,"Replace approximately 7,850 LF watermain,
hydrants and valves in vaults.",6932,IL0315880,16000,2026-03-04 0:00:00,4554928,115
Steeleville,Replace and loop watermains,4173,IL1570650,1900,2026-01-15 0:00:00,2472459,115
Tovey,Paint water tower and add mixer,6377,IL0210650,512,2025-10-01 0:00:00,497000,115
Forrest,"Construct a chlorine building and access road at
water tower",6392,IL1050450,1225,2025-10-01 0:00:00,980000,110
Jerome,"Replace approximately 4,300 LF of watermain,
valves, hydrants, fittings, and appurtenances.",7163,IL1670600,1644,2025-09-22 0:00:00,1643000,100
Brookfield,"Install 7,340' watermains; replace lead service
lines valves, and hydrants.",7462,IL0310330,18591,2025-10-01 0:00:00,9000000,90
Hecker,"Repaint & remove sediment from water tower,
repaint valve vault piping, replace valves and other misc. maintenance water tower items.",7091,IL1330150,418,2025-10-15 0:00:00,500000,90
Alsip,Year 1 - watermain replacement,7399,IL0310030,18880,2026-03-01 0:00:00,4035974,70
Arcola,Water distribution system improvements.,7287,,2927,2025-11-15 0:00:00,2540000,70
Country Club Hills,"Pint interior and exterior of two steel water
reservoirs.",5716,IL0310540,16637,2025-08-01 0:00:00,2000000,70
