EPIC Project ID,Entity,Project,PWS ID,County,Estimated Loan Amount,Estimated EC Amount,Est. EC Principal Forgiveness,Loan Type,Estimated Award Date,Score (Total Points),Readiness To Proceed,Rate,District Office
117,Cincinnati,Evaluation of Alternative Compliance Strategies,OH3102612,HAMILTON,"$300,000 ","$300,000 ","$300,000 ",Planning,24-Aug,6,1,PLN/DES,SWDO
444,Putnam Community Water Corp,PFAS Bypass Mitigation,OH8400712,WASHINGTON,"$20,000 ",,"$20,000 ",Design,25-Jan,6,1,DIS/EC,SEDO
445,Putnam Community Water Corp,PFAS Bypass Mitigation,OH8400712,WASHINGTON,"$300,000 ","$300,000 ",,Construction,25-Jun,6,1,DIS/EC,SEDO
236,Gallia County Rural Water Association,GAC for PFAS Removal,OH2700012,GALLIA,"$98,181 ","$98,181 ","$98,181 ",Planning,24-Jul,6,0,PLN/DES,SEDO
238,Gallipolis,PFAS General Plan,OH2700112,GALLIA,"$60,000 ","$60,000 ","$60,000 ",Planning,24-Aug,6,0,DIS/EC,SEDO
491,Warren Co. Richard Renneker,Ion Exchange Treatment at R.A. Rennker WTP,OH8301512,WARREN,"$9,500,000 ","$9,500,000 ","$4,000,000 ",Construction,25-Jan,5,3,STD/EC,SWDO
490,Warren Co. Richard Renneker,Ion Exchange Treatment at R.A. Rennker WTP,OH8301512,WARREN,"$732,500 ","$732,500 ","$732,500 ",Design,24-Jul,5,2,PLN/DES,SWDO
504,Western Water Company,PFAS Treatment Process Removal,OH8300512,WARREN,"$4,000,000 ","$4,000,000 ",Bypass 1,Construction,25-Jan,5,0,STD/EC,SWDO
29,Aqua Ohio,Mansfield Regionalization Phase 1,OH7001612,RICHLAND,"$3,200,000 ","$3,200,000 ","$3,200,000 ",Construction,25-Jan,4,2,DIS/EC,NWDO
325,Loveland,Water Treatment Plant PFAS Study,OH1300812,HAMILTON,"$46,500 ","$46,500 ","$46,500 ",Planning,24-Jul,4,1,PLN/DES,SWDO
30,Aqua Ohio,Mansfield Water Treatment Plant,OH7001612,RICHLAND,"$650,000 ","$650,000 ","$650,000 ",Design,25-Jun,4,0,DIS/EC,NWDO
186,Columbus,WQAL Equipment-LC/MS/MS for Emerging Contaminants 691607-100001,OH2504412,FRANKLIN,"$650,000 ","$650,000 ","$650,000 ",Construction,24-Oct,1,1,STD/EC,CDO
182,Columbus,DRWP GAC Improvs - Planning CIP 690618-100000,OH2504412,FRANKLIN,"$3,500,000 ","$3,500,000 ","$3,500,000 ",Planning,24-Dec,1,0,PLN/DES,CDO
