EPIC Project ID,Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
44,Ashville,Water System Improvement New Water Treatment Plant,OH6500012,"4,671",Pickaway,"$9,782,500 ",Construction,25-May,SML,CDO
45,Ashville,Water System Improvement New Water Tower,OH6500012,"4,505",Pickaway,"$211,850 ",Design,24-Jul,PLN/DES,CDO
46,Ashville,Water System Improvement New Water Tower,OH6500012,"4,671",Pickaway,"$3,162,500 ",Construction,25-May,SML,CDO
47,Attica,Regionalization Waterline with Willard,OH7400011,"1,148",Seneca,"$170,000 ",Design,24-Oct,PLN/DES,NWDO
48,Attica,Regionalization Waterline with Willard,OH7400011,"1,200",Seneca,"$3,090,000 ",Construction,25-Jun,REG,NWDO
49,Avon Lake,2024 Water Filtration Plant Improvements,OH4700311,"25,617",Lorain,"$29,421,614 ",Construction,24-Aug,STD,NEDO
50,Bainbridge,Waterline Replacement Project,OH7100012,900,Ross,"$4,830,148 ",Construction,25-Mar,SML/LSL,SEDO
51,Baltimore,2024 Well Replacement Project,OH2300112,"2,981",Fairfield,"$150,000 ",Design,24-Jul,PLN/DES,CDO
52,Baltimore,2024 Well Replacement Project,OH2300112,"2,981",Fairfield,"$1,400,000 ",Construction,25-Mar,SML,CDO
53,Beaver,Water Infrastructure Improvements,OH6600012,434,Pike,"$128,054 ",Design,24-Sep,PLN/DES,SEDO
54,Belpre,2.5 MG Water Storage Tank,OH8400012,"7,051",Washington,"$5,105,760 ",Construction,24-Oct,SML,SEDO
55,Belpre,Water Tank Supply Main and Various WM Replacements,OH8400012,"6,421",Washington,"$1,212,564 ",Construction,24-Dec,SML/LSL,SEDO
56,Bethesda,Water Line Replacement,OH0700511,500,Belmont,"$400,000 ",Design,24-Sep,PLN/DES,SEDO
57,Bethesda,Water Line Replacement,OH0700511,500,Belmont,"$1,799,820 ",Construction,25-Jan,SML,SEDO
58,Beverly,Water Storage Tank Replacement,OH8400112,"1,229",Washington,"$1,965,100 ",Construction,25-Apr,SML,SEDO
59,Beverly,PFAS Treatment,OH8400112,"1,229",Washington,"$2,398,400 ",Construction,25-Jan,DIS/EC,SEDO
60,Beverly,Water Storage Tank Replacement,OH8400112,"1,601",Washington,"$159,000 ",Design,24-Jul,PLN/DES,SEDO
61,Blanchester,Reservoir 3 Improvements,OH1400111,"4,243",Clinton,"$1,774,061 ",Construction,25-Mar,SML,SWDO
62,Blanchester,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$695,000 ",Construction,24-Sep,SML,SWDO
63,Blanchester,Vine Street Water Tower Rehabilitation,OH1400111,"4,243",Clinton,"$45,000 ",Design,24-Sep,PLN/DES,SWDO
64,Bloomingburg,Bloomingburg Water Treatment Plant Replacement,OH2400012,919,Fayette,"$5,094,750 ",Construction,25-Jan,SML,CDO
65,Bloomville,West New Haven Street Waterline Replacement,OH7400212,867,Seneca,"$349,086 ",Construction,24-Sep,SML,NWDO
66,Bolivar,"4"" Waterline Replacement",OH7900212,"1,021",Tuscarawas,"$174,458 ",Design,24-Aug,PLN/DES,SEDO
67,Bolivar,"4"" Waterline Replacement",OH7900212,"1,021",Tuscarawas,"$2,196,145 ",Construction,24-Dec,SML,SEDO
68,Bowerston,New Water Treatment Plant and Raw Water Improvements Project,OH3400112,437,Harrison,"$6,000,000 ",Construction,25-Mar,DIS,SEDO
69,Bowerston,Lead Service Line Replacement,OH3400112,437,Harrison,"$329,388 ",Construction,24-Dec,SML/LSL,SEDO
70,Bowerston,Distribution System and Meter Replacement,OH3400112,780,Harrison,"$2,000,000 ",Construction,24-Dec,SML/LSL,SEDO
71,Bowling Green,Low Service Pump Station #1 Improvements HAB,OH8700311,"31,529",Wood,"$3,100,000 ",Construction,24-Aug,STD,NWDO
72,Bowling Green,South College Drive Waterline Improvements,OH8700311,"31,578",Wood,"$1,700,000 ",Construction,25-Mar,STD,NWDO
73,Bowling Green,Hillcrest - Parkwood - Ash & Coleman Waterline Improvements,OH8700311,"31,578",Wood,"$1,750,000 ",Construction,25-Apr,STD,NWDO
74,Bowling Green,Water Treatment Plant Clarifier Improvements,OH8700311,"31,578",Wood,"$2,000,000 ",Construction,25-May,STD,NWDO
75,Bowling Green,Nims Road Waterline Improvements,OH8700311,"31,578",Wood,"$1,300,000 ",Construction,25-Apr,STD,NWDO
76,Bowling Green,Carter Park Water Tower Improvements,OH8700311,"31,578",Wood,"$1,300,000 ",Construction,25-Mar,STD,NWDO
77,Bowling Green,Water Treatment Plant Membrane Expansion,OH8700311,"31,578",Wood,"$4,000,000 ",Construction,25-May,STD,NWDO
78,Bradner,Timmons Road Waterline Replacement,OH8700412,985,Wood,"$33,900 ",Design,24-Jul,PLN/DES,NWDO
79,Bradner,Timmons Road Waterline Replacement,OH8700412,985,Wood,"$480,964 ",Construction,25-Feb,SML,NWDO
80,Bridgeport,Lombardy Heights Tank Rehabilitation,OH700612,"1,449",Belmont,"$150,000 ",Design,24-Jul,PLN/DES,SEDO
81,Bridgeport,Lombardy Heights Tank Rehabilitation,OH700612,"1,449",Belmont,"$1,069,345 ",Construction,24-Dec,DIS,SEDO
82,Bridgeport,Jaquette St Booster Station Rehab,OH700612,"1,449",Belmont,"$25,000 ",Design,24-Jul,PLN/DES,SEDO
83,Bridgeport,Jaquette St Booster Station Rehab,OH700612,"1,499",Belmont,"$151,000 ",Construction,24-Dec,SML,SEDO
84,Brilliant Water and Sewer District,2022-2023 Waterline Replacement,OH4100412,"2,100",Jefferson,"$300,000 ",Construction,24-Sep,SML,SEDO
85,Brown County Rural Water Association,Wahlsburg Tank,OH0802012,"22,000",Brown,"$7,500,000 ",Construction,24-Oct,STD,SWDO
86,Buckeye Lake,First Street Water Line Improvements,OH4564712,100,Licking,"$352,000 ",Construction,25-Jan,SML,CDO
87,Butler,Water / Wastewater Improvements 2022,OH7000412,939,Richland,"$290,500 ",Construction,24-Aug,SML,NWDO
88,Butler,2024 Water System Improvements,OH7000412,939,Richland,"$767,750 ",Construction,24-Oct,SML,NWDO
89,Cadiz,Phase II Water System Improvements,OH3400214,"3,268",Harrison,"$5,845,000 ",Construction,24-Jul,DIS/LSL,SEDO
90,Cadiz,Lead Service Line Replacement Project,OH3400214,"3,165",Harrison,"$950,000 ",Construction,24-Aug,SML/LSL,SEDO
91,Cadiz,Phase III Water System Improvements,OH3400214,"3,500",Harrison,"$10,000 ",Planning,24-Jul,PLN/DES,SEDO
92,Cadiz,Phase III Water System Improvements,OH3400214,"3,550",Harrison,"$136,000 ",Design,24-Aug,PLN/DES,SEDO
93,Caldwell,WTP & Raw Water Supply and Distribution (E Tank),OH6100011,"2,334",Noble,"$16,855,829 ",Construction,24-Aug,DIS/EC,SEDO
94,Cambridge,Raw Water System Improvements,OH3000111,"29,000",Guernsey,"$17,525,000 ",Construction,25-Mar,STD,SEDO
95,Cambridge,Lead Service Line Replacement - Phase 2,OH3000111,350,Guernsey,"$499,960 ",Construction,25-Apr,SML/LSL,SEDO
96,Camden,Well Rehab 2024,OH6800112,"1,989",Preble,"$29,000 ",Design,24-Jul,PLN/DES,SWDO
97,Camden,Well Rehab 2024,OH6800112,"1,989",Preble,"$221,000 ",Construction,24-Oct,SML,SWDO
98,Canal Winchester,2025 Waterline Improvements,OH2500312,"9,286",Franklin,"$1,808,000 ",Construction,25-Apr,SML,CDO
99,Canfield,Neff Drive Waterline Replacement,OH5000503,118,Mahoning,"$648,998 ",Construction,24-Aug,SML,NEDO
100,Canton,Cromer Water Storage Reservoir Demolition and Replacement,OH7608112,"107,500",Stark,"$14,962,200 ",Construction,24-Aug,STD,NEDO
101,Cardington,Water Treatment Plant Improvements,Oh5900112,"2,079",Morrow,"$5,145,807 ",Construction,25-Feb,SML,CDO
102,Catawba,Water System Improvements,OH1200312,242,Clark,"$13,400 ",Planning,24-Oct,PLN/DES,SWDO
103,Catawba,Water System Improvements,OH1200312,242,Clark,"$2,588,000 ",Construction,25-Jun,SML,SWDO
104,Catawba,Water System Improvements,OH1200312,239,Clark,"$338,000 ",Design,25-Jan,PLN/DES,SWDO
105,Chagrin Falls,Maple Street Waterline Replacement,OH1800212,"4,032",Cuyahoga,"$1,600,000 ",Construction,24-Dec,SML,NEDO
106,Chagrin Falls,Walnut Street Water Line Replacement,OH1800212,"5,000",Cuyahoga,"$1,000,000 ",Construction,24-Dec,SML,NEDO
107,Chagrin Falls,Church Street Watermain Replacement,OH1800212,"4,991",Cuyahoga,"$1,250,000 ",Construction,24-Dec,SML,NEDO
108,Chagrin Falls,Center Street Watermain Replacement,OH1800212,"4,991",Cuyahoga,"$1,250,000 ",Construction,24-Dec,SML,NEDO
109,Chesterhill,Water System Improvements PFAS,OH5800112,823,Morgan,"$172,200 ",Design,24-Jul,PLN/DES,SEDO
110,Chesterhill,Water System Improvements PFAS,OH5800112,823,Morgan,"$1,351,800 ",Construction,25-Jan,DIS/EC,SEDO
111,Chesterhill,Water System Improvements,OH5800112,823,Morgan,"$546,200 ",Construction,24-Sep,SML,SEDO
112,Cincinnati,McMillan - Calhoun Area Water Main Replacement,OH3102612,"301,394",Hamilton,"$2,772,572 ",Construction,24-Oct,STD/LSL,SWDO
113,Cincinnati,Burch - Shaw Area Water Main Replacement,OH3102612,"450,200",Hamilton,"$2,772,572 ",Construction,25-May,STD/LSL,SWDO
114,Cincinnati,Erie - Kendall Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,910,982 ",Construction,24-Dec,STD/LSL,SWDO
115,Cincinnati,"Branch Only- Beech, Eighth, St. Lawrence LSL",OH3102612,"750,200",Hamilton,"$1,816,307 ",Construction,24-Dec,STD/LSL,SWDO
116,Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL",OH3102612,"750,200",Hamilton,"$1,065,191 ",Construction,25-May,STD/LSL,SWDO
117,Cincinnati,Evaluation of Alternative Compliance Strategies,OH3102612,"750,200",Hamilton,"$300,000 ",Planning,24-Aug,PLN/DES,SWDO
118,Cincinnati,Southern Hawthorne Water Main Replacement,OH3102612,"750,200",Hamilton,"$66,555 ",Design,25-Feb,PLN/DES,SWDO
119,Cincinnati,Southern Hawthorne Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,186,800 ",Construction,25-Apr,STD/LSL,SWDO
120,Cincinnati,Monastery - Mt. Adams Water Main Replacement,OH3102612,"750,200",Hamilton,"$163,489 ",Design,25-Jan,PLN/DES,SWDO
121,Cincinnati,Monastery - Mt. Adams Water Main Replacement,OH3102612,"750,200",Hamilton,"$4,835,650 ",Construction,25-Mar,STD/LSL,SWDO
122,Cincinnati,MLK - Lakewood Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,485,156 ",Construction,25-Mar,STD/LSL,SWDO
123,Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$203,236 ",Design,25-Feb,PLN/DES,SWDO
124,Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$4,944,400 ",Construction,25-Apr,STD/LSL,SWDO
125,Cincinnati,Lyon - Wheeler Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$106,970 ",Design,24-Dec,PLN/DES,SWDO
126,Cincinnati,Lyon - Wheeler Area Water Main Replacement,OH3102612,"750,200",Hamilton,"$2,994,900 ",Construction,25-Feb,STD/LSL,SWDO
127,Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,"750,200",Hamilton,"$3,474,200 ",Construction,25-Jan,STD/LSL,SWDO
128,Cincinnati,Budd St Water Main Replacement,OH3102612,"750,200",Hamilton,"$5,997,792 ",Construction,25-Apr,STD,SWDO
129,Cincinnati,Baker - Beechcrest Water Main Replacement,OH3102612,"750,200",Hamilton,"$1,456,500 ",Construction,25-May,STD/LSL,SWDO
130,Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,"750,200",Hamilton,"$83,672 ",Design,25-Jan,PLN/DES,SWDO
131,Cincinnati,Baker - Beechcrest Water Main Replacement,OH3102612,"750,200",Hamilton,"$68,264 ",Design,25-Mar,PLN/DES,SWDO
132,Circleville,2.0 MGD Reverse Osmosis Membrane Treatment Plant,OH6500412,"13,986",Pickaway,"$2,662,000 ",Design,24-Jul,PLN/DES,CDO
133,Circleville,Court Street Waterline Replacement,OH6500412,100,Pickaway,"$1,978,000 ",Construction,25-May,SML/LSL,CDO
134,Clark County,Donnelsville Water System,OH1201112,"136,032",Clark,"$7,456,488 ",Construction,25-Jun,DIS/REG,SWDO
135,Cleveland,Ridge Road Watermain Rehabilitation,OH1801212,"1,308,955",Cuyahoga,"$10,400,000 ",Construction,24-Oct,STD,NEDO
136,Cleveland,Highland-Trebisky Transmission Main Renewal Phase 2,OH1801212,"1,308,955",Cuyahoga,"$11,000,000 ",Construction,24-Aug,STD,NEDO
137,Cleveland,CWD LSLR Year 3-1,OH1801212,"1,308,955",Cuyahoga,"$11,362,781 ",Construction,24-Dec,STD/LSL,NEDO
138,Cleveland,CWD LSLR Year 3-2,OH1801212,"1,308,955",Cuyahoga,"$11,362,781 ",Construction,24-Dec,STD/LSL,NEDO
139,Cleveland,CWD LSLR Year 3-3,OH1801212,"1,308,955",Cuyahoga,"$11,362,781 ",Construction,24-Dec,STD/LSL,NEDO
140,Cleveland,CWD LSLR Year 3-4,OH1801212,"1,308,955",Cuyahoga,"$7,575,188 ",Construction,25-Jan,STD/LSL,NEDO
141,Cleveland,CWD LSLR Year 3-5,OH1801212,"1,308,955",Cuyahoga,"$7,575,188 ",Construction,25-Jan,STD/LSL,NEDO
142,Cleveland,CWD LSLR Year 3-6,OH1801212,"1,308,955",Cuyahoga,"$7,575,188 ",Construction,25-Jan,STD/LSL,NEDO
143,Cleveland,CWD LSLR Year 3-7,OH1801212,"1,308,955",Cuyahoga,"$3,761,213 ",Construction,25-Jan,STD/LSL,NEDO
144,Cleveland,CWD LSLR Year 3-8,OH1801212,"1,308,955",Cuyahoga,"$3,761,213 ",Construction,25-Jan,STD/LSL,NEDO
145,Cleveland,CWD LSLR Year 3-9,OH1801212,"1,308,955",Cuyahoga,"$3,761,213 ",Construction,25-Jan,STD/LSL,NEDO
146,Cleveland,CWD LSLR Year 3-10,OH1801212,"1,308,955",Cuyahoga,"$3,761,213 ",Construction,25-Jan,STD/LSL,NEDO
147,Cleveland,CWD LSLR Year 3-11 SC-1 CA Reimbursement,OH1801212,"1,308,955",Cuyahoga,"$7,537,500 ",Construction,24-Aug,STD/LSL,NEDO
148,Cleveland,CWD LSLR Year 3-12 SC-2 LSLR Staff Support,OH1801212,"1,308,955",Cuyahoga,"$12,607,873 ",Construction,24-Sep,STD/LSL,NEDO
149,Cleveland,CWD LSLR Year 3-13 SC-3 Customer LSLR Focus,OH1801212,"1,308,955",Cuyahoga,"$1,085,175 ",Construction,25-Jan,STD/LSL,NEDO
150,Cleveland,CWD LSLR Year 3-14 SC-4 Extra Work,OH1801212,"1,308,955",Cuyahoga,"$1,085,175 ",Construction,25-Mar,STD/LSL,NEDO
151,Cleveland,CWD LSLR Year 3-15 Supplies - Filters 1 Small,OH1801212,"1,308,955",Cuyahoga,"$50,000 ",Construction,24-Dec,STD/LSL,NEDO
152,Cleveland,CWD LSLR Year 3-16 Supplies - Filters 2 Large,OH1801212,"1,308,955",Cuyahoga,"$1,950,000 ",Construction,25-Feb,STD/LSL,NEDO
153,Cleveland,CWD LSLR Year 3-17 Supplies - Curb Boxes & Bases 1,OH1801212,"1,308,955",Cuyahoga,"$1,117,935 ",Construction,24-Dec,STD/LSL,NEDO
154,Cleveland,CWD LSLR Year 3-18 Supplies - Curb Boxes & Bases 2,OH1801212,"1,308,955",Cuyahoga,"$745,290 ",Construction,25-Mar,STD/LSL,NEDO
155,Cleveland,CWD LSLR Year 3-19 Supplies - Copper & Brass 1,OH1801212,"1,308,955",Cuyahoga,"$2,144,133 ",Construction,24-Dec,STD/LSL,NEDO
156,Cleveland,CWD LSLR Year 3-20 Supplies - Copper & Brass 2,OH1801212,"1,308,955",Cuyahoga,"$1,429,422 ",Construction,25-Mar,STD/LSL,NEDO
157,Coal Grove,Coal Grove Interconnection with Ironton,OH4400012,"1,899",Lawrence,"$2,325,060 ",Construction,24-Oct,SML,SEDO
158,Columbus,"Aragon Ave Area Water Line Improvements, CIP 690236",OH2504412,"837,038",Franklin,"$4,000,000 ",Construction,24-Aug,STD,CDO
159,Columbus,"Newton-Bedford WL Imprs, CIP 690236-100120",OH2504412,"837,038",Franklin,"$500,000 ",Construction,25-Feb,STD,CDO
160,Columbus,HCWP Drain & Water System Imps CIP #690552-100000,OH2504412,"852,144",Franklin,"$7,500,000 ",Construction,25-Jan,STD,CDO
161,Columbus,"PAWP Control Room & Lab Reno, CIP# 690291-100009",OH2504412,"852,144",Franklin,"$4,500,000 ",Construction,24-Oct,STD,CDO
162,Columbus,Palmetto Westgate Area WL Imprs CIP #690236-10045,OH2504412,"852,144",Franklin,"$3,400,000 ",Construction,24-Dec,STD,CDO
163,Columbus,Kent-Fairwood Area WL Imprs CIP #690236-100144,OH2504412,"852,144",Franklin,"$1,200,000 ",Construction,24-Dec,STD,CDO
164,Columbus,Eureka-Fremont Area WL Imprs CIP #690236-100143,OH2504412,"852,144",Franklin,"$2,000,000 ",Construction,24-Jul,STD,CDO
165,Columbus,DRWP Caustic Feed Imprs CIP 690578-100000,OH2504412,"1,233,879",Franklin,"$1,600,000 ",Construction,24-Aug,STD,CDO
166,Columbus,"Atlanta Dr. Area WL Imprs, CIP 690236-100131",OH2504412,"1,233,879",Franklin,"$4,600,000 ",Construction,24-Oct,STD,CDO
167,Columbus,"Bluefield Drive Area WL Imprs, CIP 690236-100129",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Oct,STD,CDO
168,Columbus,"Sawmill Place Blvd Area WL Imprs, CIP 690236-100126",OH2504412,"1,233,879",Franklin,"$4,000,000 ",Construction,24-Oct,STD,CDO
169,Columbus,Lead Service Line Repl - Pt 1 CIP 690236-100175,OH2504412,"878,553",Franklin,"$5,650,000 ",Construction,24-Dec,STD/LSL,CDO
170,Columbus,Lexington Ave Area Water Line Imps CIP# 690236-100133,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Oct,STD,CDO
171,Columbus,Jermain Drive Area Water Line Imprs CIP# 690236-100134,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,25-Apr,STD,CDO
172,Columbus,Heyl Ave Area Water Line Imps CIP# 690236-100135,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,25-Jun,STD,CDO
173,Columbus,Athens Ave and Rumsey Rd Area WL Imprs CIP# 690236-100136,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,24-Sep,STD,CDO
174,Columbus,Kenwick Rd Area Water Line Improvements CIP# 690236-100137,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,25-May,STD,CDO
175,Columbus,Velma Ave Area Water Line Improvements CIP# 690236-100138,OH2504412,"1,252,018",Franklin,"$4,000,000 ",Construction,25-Feb,STD,CDO
176,Columbus,N. Sixth St & E. 3rd Ave Area WL Imps CIP# 690236-100157,OH2504412,"1,252,018",Franklin,"$500,000 ",Construction,25-Jun,STD,CDO
177,Columbus,5th Av by Northwest-Edgehill Meadow WL Imp CIP 690236-100159,OH2504412,"1,252,018",Franklin,"$1,000,000 ",Construction,25-Feb,STD,CDO
178,Columbus,PAWP - Plant Drain & Water System Imps CIP# 690552-100001,OH2504412,"1,252,018",Franklin,"$750,000 ",Construction,25-Feb,STD,CDO
179,Columbus,DRWP Automation/SCADA Upgrades CIP# 690567-100000,OH2504412,"1,252,018",Franklin,"$3,750,000 ",Construction,24-Oct,STD,CDO
180,Columbus,PAWP Wellfield Development CIP# 690580-100000,OH2504412,"1,252,018",Franklin,"$25,600,000 ",Construction,24-Dec,STD,CDO
181,Columbus,4th WTP Transmission Main- Detailed Design MOD 3 690502-100001,OH2504412,"1,252,018",Franklin,"$8,500,000 ",Design,24-Jul,PLN/DES,CDO
182,Columbus,DRWP GAC Improvs - Planning CIP 690618-100000,OH2504412,"1,277,848",Franklin,"$3,500,000 ",Planning,24-Dec,PLN/DES,CDO
183,Columbus,Broadview Rd 30-inch Transmission Main CIP 690502-100002,OH2504412,"1,277,848",Franklin,"$500,000 ",Design,24-Aug,PLN/DES,CDO
184,Columbus,Morse District 2 MG Elevated Storage Tank CIP 690537-100003,OH2504412,"1,277,848",Franklin,"$500,000 ",Planning,24-Aug,PLN/DES,CDO
185,Columbus,PCM - 4th WTP Transmission Main CIP 690502-100004,OH2504412,"1,277,848",Franklin,"$30,000,000 ",Design,24-Jul,PLN/DES,CDO
186,Columbus,WQAL Equipment-LC/MS/MS for Emerging Contaminants 691607-100001,OH2504412,"1,277,848",Franklin,"$650,000 ",Construction,24-Oct,STD/EC,CDO
187,Columbus,"Lead Service Line Replacements-Pt 2, CIP 690700-100000",OH2504412,"1,277,848",Franklin,"$5,000,000 ",Construction,25-Jun,STD/LSL,CDO
188,Columbus,4th WTP - Electrical Substation CIP 690600-100003,OH2504412,"1,277,848",Franklin,"$158,000,000 ",Construction,24-Sep,STD,CDO
189,Columbus,4th WTP - Site Preparation CIP 690600-100002,OH2504412,"1,277,848",Franklin,"$157,000,000 ",Construction,24-Sep,STD,CDO
190,Columbus,"Morse Rd. 48-Inch Trans. Main Lowering, CIP 690502-100005",OH2504412,"1,277,848",Franklin,"$1,000,000 ",Construction,25-Feb,STD,CDO
191,Columbus,DRWP Tunnel Repair CIP 690278-100010,OH2504412,"1,277,848",Franklin,"$2,000,000 ",Construction,24-Dec,STD,CDO
192,Columbus,S High St & I270 Area WL Ph 1 CIP 690236-100180,OH2504412,"1,277,848",Franklin,"$1,200,000 ",Construction,25-Feb,STD,CDO
