"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served","PWSID
No","SRF
Project No.",Project Description,"Lead Service Line
Replacement Cost","Emerging
Contaminants?","Disadvantaged
Community?","Green
Project
Reserve
Category","Current
User Rate
(per 4,000
gallons)","Estimated
Post-Project
User Rate
(per 4,000
gallons)","Requested
Funds","Cumulative
Requested
Funds","SFY 2026
Fundable Range
($70 Million)","Estimated Total
Project Cost",Cumulative Total
17,81,Osgood,"$50,799","1,692",5269004,DW 25 32 69 00,"Treatment and Distribution Improvements + Lead Service
Line Replacement","$3,000,000",No,Yes,"WE, EE",$34.84,$56.04,"$14,060,000","$603,946,000",,,
18,80,Anderson,"$47,221","58,942",5248002,DW 24 39 48 00,"Distribution System Improvements - Phase I + Lead
Service Line Replacement","$14,426,000",No,Yes,N/A,$21.98,TBD,"$46,954,000","$650,900,000",,,
19,80,Indiana American Water - Newburgh,"$72,431","20,973",5287004,DW 24 49 87 00,Treatment Improvements,$0,Yes - PFAS,No,N/A,$54.60,$54.60,"$15,000,000","$665,900,000",,,
20,79,Hamlet,"$66,750",801,5275001,DW 24 36 75 00,"Distribution System Improvements + Lead Service Line
Replacement","$268,000",No,No,WE,$23.56,$49.40,"$2,209,000","$668,109,000",,,
21,79,Indiana American Water - Southern Indiana,"$70,157","79,958",5210005,DW 24 50 10 00,Treatment Improvements,$0,Yes - PFAS,No,N/A,$54.60,$54.60,"$85,000,000","$753,109,000",,,
22,77,Francesville,"$65,469",969,5266001,DW 24 59 66 00,New Treatment Plant,$0,Yes - Mn,No,WE,$33.09,$55.92,"$1,950,000","$755,059,000",,,
23,76,Kentland,"$56,442","1,735",5256005,DW 22 21 56 00,Source and Treatment Improvements,$0,Yes - Mn,Yes,TBD,$26.13,$80.01,"$10,934,000","$765,993,000",,,
24,74,Indiana American Water - Johnson County,"$61,513","82,905",5241005,DW 24 48 41 00,Treatment Improvements,$0,Yes - PFAS,No,N/A,$54.60,$54.60,"$28,000,000","$793,993,000",,,
25,74,New Carlisle,"$69,107","1,861",5271011,DW 24 61 71 00,"Source, Treatment, and Distribution Improvements",$0,Yes - Mn,No,"WE, EE",$21.62,$31,"$15,299,000","$809,292,000",,,
26,74,Turkey Creek Regional Sewer District Water Utility,"$88,125",575,5243032,DW 24 71 43 00,"Treatment, Storage, and Distribution Improvements",TBD,Yes - Mn,No,WE,$24.77,$37.50,"$11,627,000","$820,919,000",,,
27,73,Ingalls,"$72,330","7,600",5248012,DW 24 35 48 00,"Source, Treatment, and Distribution System
Improvements",$0,Yes - Mn,No,N/A,$38.96,$44.00,"$6,386,000","$827,305,000",,,
28,72,Brookston,"$62,375","1,631",5291002,DW 24 38 91 00,"Source, Treatment, and Distribution System
Improvements",$0,Yes - Mn,No,WE,$38.05,$48.05,"$1,824,000","$829,129,000",,,
29,72,Garrett,"$65,611","6,390",5217004,DW 25 30 17 00,"Storage and Distribution Improvements + Lead Service
Line Replacement","$15,141,000",No,No,WE,$31.23,TBD,"$24,572,000","$853,701,000",,,
30,71,Berne,"$59,413","4,388",5201001,DW 25 23 01 00,"Distribution Improvements + Lead Service Line
Replacement","$1,423,000",No,No,N/A,$24.52,$27.55,"$2,640,000","$856,341,000",,,
31,70,Citizens Energy Group (Indianapolis),"$41,661","936,630",5249004,DW 23 40 49 00,"Distribution Improvements + Lead Service Line
Replacement","$1,300,000",No,Yes,N/A,$29.08,$29.08,"$16,992,000","$873,333,000",,,
32,70,Kouts,"$75,854","2,028",5264013,DW 23 36 64 00,"Storage, Supply, and Treatment Improvements",$0,Yes - Mn,No,"WE, EE, EI",$31.47,TBD,"$9,400,000","$882,733,000",,,
33,69,Seelyville,"$52,031","6,393",5284011,DW 25 46 84 00,"Treatment, Storage, and Distribution Improvements",$0,Yes- Mn,Yes,N/A,$25.59,$39.45,"$9,125,000","$891,858,000",,,
34,67,Westville,"$59,732","5,257",5246029,DW 24 16 46 00,"Treatment, Storage, and Distribution Improvements +
Lead Service Line Replacement",TBD,No,No,EE,$39.09,TBD,"$24,203,000","$916,061,000",,,
35,65,Winamac,"$55,011","2,400",5266005,DW 22 14 66 00,"Regionalization with Tippecanoe River State Park and
Storage and Distribution Improvements",$0,No,Yes,TBD,$37.14,$37.14,"$10,113,000","$926,174,000",,,
36,64,Winslow,"$59,545","1,010",5263006,DW 25 42 63 00,Storage and Distribution Improvements,$0,No,No,N/A,$83.80,TBD,"$4,400,000","$930,574,000",,,
37,61,Eaton,"$71,618","1,500",5218006,DW 23 26 18 00,"Source, Treatment, and Distribution Improvements
(Phase 2) + Lead Service Line Replacement","$2,400,000",No,No,"WE, EE",$43.65,$78.27,"$14,526,000","$945,100,000",,,
38,60,Salem,"$55,413","8,200",5288005,DW 23 39 88 00,"Distribution Improvements (Phase 1) + Lead Service Line
Replacement","$643,000",No,Yes,N/A,$34.92,TBD,"$2,298,000","$947,398,000",,,
39,60,Nappanee,"$66,944","6,800",5220016,DW 24 42 20 00,"Treatment and Distribution Improvements + Lead Service
Line Replacement","$735,000",No,No,N/A,$41.56,$51.59,"$7,681,000","$955,079,000",,,
40,60,Indiana American Water - Claypool,"$82,083",465,5243002,DW 24 67 43 00,New Treatment Plant,$0,Yes - Mn,No,N/A,$54.60,$54.60,"$2,496,000","$957,575,000",,,
41,60,Pendleton,"$89,971","4,840",5248019,DW 24 62 48 00,"Treatment and Distribution Improvements + Lead Service
Line Replacement","$5,305,000",No,No,N/A,$39.96,$70.51,"$13,252,000","$970,827,000",,,
42,58,Lewisville,"$52,143",337,5233006,DW 23 37 33 00,"Source, Treatment, and Distribution Improvements",$0,No,Yes,N/A,$53.18,$65.00,"$1,622,000","$972,449,000",,,
43,58,Greensburg,"$63,235","12,650",5216002,DW 25 31 16 00,Storage and Distribution Improvements,$0,No,No,N/A,$49.61,$49.61,"$6,668,000","$979,117,000",,,
44,58,Ingalls,"$72,330","7,600",5248012,DW 22 10 48 00,Storage and Distribution Improvements,$0,No,No,N/A,$38.96,$45.00,"$2,093,000","$981,210,000",,,
45,57,Lynn,"$44,450","1,149",5268004,DW 22 24 68 00,Storage and Distribution Improvements,$0,No,Yes,N/A,$36.26,$72.21,"$2,123,000","$983,333,000",,,
46,57,LaFontaine,"$50,875",906,5285004,DW 22 30 85 00,"Source, Treatment, and Distribution System
Improvements + Lead Service Line Replacement",$0,No,Yes,N/A,$41.95,$82.15,"$4,300,000","$987,633,000",,,
47,57,Dublin,"$76,154",709,5289005,DW 24 55 89 00,"Source, Treatment, Storage, and Distribution
Improvements",$0,No,No,N/A,$41.03,$149.92,"$13,368,000","$1,001,001,000",,,
48,57,Markle,"$85,547","1,095",5235006,DW 24 02 90 00,"Source, Treatment and Distribution Improvements +
Lead Service Line Replacement","$264,000",No,No,N/A,$21.58,TBD,"$5,400,000","$1,006,401,000",,,
49,56,Hymera,"$46,122",800,5277004,DW 23 19 77 00,Storage Improvements,$0,No,Yes,N/A,$48.56,$55.36,"$1,478,000","$1,007,879,000",,,
50,55,Sullivan Vigo Rural Water Corporation,"$76,921","2,836",5284021,DW 25 38 84 00,Storage Improvements,$0,No,No,N/A,$63.93,$74.38,"$4,538,000","$1,012,417,000",,,
51,54,Connersville,"$43,270","13,953",5221001,DW 25 26 21 00,Treatment and Distribution Improvements,$0,No,Yes,WE,$29.67,$43.00,"$12,531,000","$1,024,948,000",,,
52,54,Nashville,"$48,750","3,315",5207002,DW 23 32 07 00,Distribution Improvements (Phase 1),$0,No,Yes,N/A,$51.76,$105.00,"$16,800,000","$1,041,748,000",,,
53,54,Peru,"$67,232","11,037",5252016,DW 23 35 52 00,Regionalization with Mississinewa Lake Recreation Area,$0,No,No,N/A,$31.23,$31.23,"$31,413,000","$1,073,161,000",,,
54,53,Perrysville,"$72,306",470,5283009,DW 24 25 83 00,Storage and Distribution Improvements,TBD,No,Yes,WE,$49.00,$102.46,"$2,006,000","$1,075,167,000",,,
55,52,Rockport,"$43,333","2,088",5274007,DW 25 36 74 00,"New Treatment, Storage and Distribution Improvements",$0,No,Yes,EE,$45.01,$92.07,"$6,848,000","$1,082,015,000",,,
56,52,Loogootee,"$67,434","3,915",5251005,DW 21 02 51 00,"Storage, Distribution System, and Treatment
Improvements + Lead Service Line Replacement",TBD,No,No,N/A,$31.54,$46.35,"$2,705,000","$1,084,720,000",,,
57,51,Shoals,"$43,304","1,300",5251007,DW 24 65 51 00,"Source, Treatment, and Distribution Improvements",$0,No,Yes,N/A,$36.75,$77.93,"$2,684,000","$1,087,404,000",,,
58,51,Sellersburg,"$74,378","15,655",5210010,DW 25 44 10 00,"Source, Storage, and Distribution Improvements",$0,No,No,N/A,$29.70,TBD,"$14,229,000","$1,101,633,000",,,
59,51,Marysville-Otisco-Nabb Water,"$83,488","6,352",5210006,DW 24 46 10 00,Storage and Distribution System Improvements,$0,No,No,N/A,$28.12,$46.10,"$7,316,000","$1,108,949,000",,,
60,51,Salt Creek Estates,"$85,000",180,5253006,DW 24 28 53 00,Source and Treatment Improvements,$0,No,No,N/A,$315.00,$406.00,"$2,500,000","$1,111,449,000",,,
61,50,Citizens Energy Group (Indianapolis),"$41,591","836,630",5249004,DW 24 74 49 00,Distribution Improvements,$0,No,Yes,N/A,$29.08,$29.08,"$16,628,000","$1,128,077,000",,,
62,50,Hoosier Hills Regional Water District,"$72,321","8,642",5269002,DW 21 04 69 00,Storage and Distribution System Improvements,$0,No,No,TBD,$34.82,$38.95,"$2,642,000","$1,130,719,000",,,
63,50,Mount Ayr,"$76,580",117,TBD,DW 23 44 56 00,"Regionalization with Newton County RWSD and Storage
and Distribution Improvements",$0,No,No,N/A,N/A,TBD,"$6,600,000","$1,137,319,000",,,
64,50,Middlebury,"$81,094","3,572",5220014,DW 23 11 20 00,"Treatment and Storage Improvements + Lead Service
Line Replacement",TBD,No,No,N/A,$36.66,$76.43,"$8,238,000","$1,145,557,000",,,
65,49,Elkhart,"$56,309","53,923",5220008,DW 25 01 20 00,"Distribution System Improvements + Lead Service Line
Replacement",TBD,No,Yes,N/A,$12.81,$18.03,"$4,917,000","$1,150,474,000",,,
66,49,"B&B Water Project, Inc","$73,576","5,075",5253001,DW 24 53 53 00,Distribution System Improvements,TBD,No,No,N/A,$49.50,TBD,"$6,901,000","$1,157,375,000",,,
67,49,Princes Lakes,"$81,006","4,095",5241007,DW 24 13 07 00,Storage and Distribution System Improvements,$0,No,No,N/A,$29.11,$39.67,"$7,782,000","$1,165,157,000",,,
68,49,Ramsey,"$84,246","40,006",5231005,DW 25 35 31 00,Distribution Improvements Phase I,$0,No,No,WE,$49.88,$58.30,"$11,200,000","$1,176,357,000",,,
69,48,Cynthiana,"$75,625",699,5265004,DW 24 43 65 00,Storage and Distribution System Improvements,$0,No,No,WE,$67.96,$67.96,"$1,131,000","$1,177,488,000",,,
70,47,Shirley,"$66,429",960,5233013,DW 22 39 30 00,Source and Treatment Improvements,$0,No,No,TBD,$50.67,$93.15,"$3,384,000","$1,180,872,000",,,
71,47,Arcadia,"$66,852","1,515",5229001,DW 25 21 29 00,"Source, Treatment, and Distribution Improvements",$0,No,No,N/A,$56.71,$72.14,"$8,072,000","$1,188,944,000",,,
72,47,Hebron,"$91,989","3,724",5264009,DW 24 23 64 00,Storage and Treatment Improvements,$0,No,No,N/A,$51.56,TBD,"$6,143,000","$1,195,087,000",,,
73,46,Patoka Lake,"$69,410","13,503",5219012,DW 25 33 19 00,Treatment Improvements (WTP No. 2),$0,No,No,N/A,$49.84,TBD,"$12,122,000","$1,207,209,000",,,
74,46,Columbus,"$76,856","56,490",5203002,DW 25 25 03 00,"Treatment, Storage, and Distribution Improvements",$0,No,No,"WE, EE",$16.45,TBD,"$29,423,000","$1,236,632,000",,,
75,46,Washington Township Water Authority,"$78,919","3,825",5230009,DW 25 41 53 00,Storage and Distribution Improvements,$0,No,No,WE,$41.46,$58.92,"$2,727,000","$1,239,359,000",,,
76,44,Camden,"$53,977",593,5208001,DW 23 48 08 00,Treatment Improvements,$0,No,Yes,WE,$32.92,$65.50,"$2,280,000","$1,241,639,000",,,
77,43,Earl Park,"$63,333",370,5204003,DW 24 24 04 00,Distribution System Improvements,$0,No,No,N/A,$35.00,$54.60,"$1,424,000","$1,243,063,000",,,
78,43,Bargersville,"$114,425","34,418",5241001,DW 25 22 41 00,New Treatment (WTP No. 1 Replacement),$0,No,No,EE,$32.21,$60.64,"$42,850,000","$1,285,913,000",,,
79,42,East Chicago,"$43,772","27,457",5245012,DW 22 43 45 00,Storage Improvements,$0,TBD,Yes,TBD,$7.36,$35.00,"$5,000,000","$1,290,913,000",,,
80,41,Citizens Energy Group (Indianapolis),"$63,773","345,134",5249004,DW 25 06 49 00,Treatment and Distribution Improvements,$0,No,No,N/A,$35.49,$35.49,"$417,544,000","$1,708,457,000",,,
81,40,Churubusco,"$72,447","1,798",5292003,DW 24 01 92 00,Storage and Distribution Improvements,$0,No,No,WE,$43.78,$59.02,"$5,065,000","$1,713,522,000",,,
82,39,Cloverdale,"$47,016","2,060",5267003,DW 22 32 67 00,Distribution Improvements,$0,No,Yes,WE,$38.86,$53.38,"$4,970,000","$1,718,492,000",,,
83,39,Logansport,"$53,328","18,369",5209012,DW 24 57 09 00,New Source,$0,No,Yes,N/A,$32.61,$35.75,"$5,420,000","$1,723,912,000",,,
84,38,Daviess County Rural Water,"$68,561","7,969",5214002,DW 23 04 14 00,Storage Improvements,$0,No,No,N/A,$45.16,$53.16,"$4,667,000","$1,728,579,000",,,
85,37,Crown Point,"$95,757","30,000",5245008,DW 21 39 45 00,"Distribution System Improvements + Lead Service Line
Replacement",TBD,No,No,N/A,$50.04,$51.92,"$2,000,000","$1,730,579,000",,,
86,36,Fort Branch,"$62,500","3,900",5226001,DW 25 52 26 00,Distribution Improvements,$0,No,No,N/A,$42.55,$60.00,"$7,215,000","$1,737,794,000",,,
87,36,Reelsville,"$88,808","2,800",5267006,DW 22 48 67 00,Distribution Improvements (Phase 2),$0,No,No,N/A,$69.23,TBD,"$25,000,000","$1,762,794,000",,,
88,35,Lebanon,"$63,773","16,662",5206003,DW 24 79 06 00,Distribution Improvements (Phase 2),$0,No,No,N/A,$36.98,TBD,"$146,100,000","$1,908,894,000",,,
89,33,South Bend,"$52,512","115,000",2571014,DW 25 37 71 00,Treatment Improvements (Edison WFP),$0,No,Yes,EE,$17.99,$17.99,"$8,000,000","$1,916,894,000",,,
90,33,South Whitley,"$66,108","1,709",5292007,DW 24 03 92 00,"Distribution Improvements + Lead Service Line
Replacements",TBD,No,No,N/A,$48.19,$150.00,"$13,270,000","$1,930,164,000",,,
91,33,Elkhart County Regional Sewer District,"$89,235","3,849",TBD,DW 23 07 20 00,New Water Utility,$0,No,No,N/A,N/A,$56.33,"$13,120,000","$1,943,284,000",,,
92,31,Stucker Fork,"$59,987","19,120",5272002,DW 25 48 39 00,Source and Treatment Improvements,$0,No,No,N/A,$25.61,$31.05,"$7,350,000","$1,950,634,000",,,
93,29,Rushville,"$57,269","6,208",5270005,DW 25 43 70 00,Treatment Improvements,$0,No,No,EE,$27.31,TBD,"$1,600,000","$1,952,234,000",,,
94,29,Crown Point,"$95,757","30,000",5245008,DW 25 27 45 00,Distribution Improvements (WWTP Main Extension),$0,No,No,N/A,$55.04,$59.53,"$9,120,000","$1,961,354,000",,,
,77,Roachdale,"$60,769",840,5267007,DW 25 49 67 00,"Source, Treatment and Distribution Improvements",$0,Yes- Mn,No,N/A,$45.78,$105.45,"$3,890,000","$1,965,244,000",,,
,72,Syracuse,"$63,894","2,810",5243025,DW 25 04 43 00,Distribution System Improvements,"$1,201,000",No,No,N/A,$35.31,$35.31,"$6,204,000","$1,971,448,000",,,
,65,Pine Village,"$41,739",212,TBD,DW 25 34 86 00,"Regionalization with Oxford, New Storage and
Distribution System",$0,No,Yes,"WE, EE",N/A,$204.69,"$4,899,000","$1,976,347,000",,,
,60,Bloomingdale,"$50,000",269,5261001,DW 24 20 61 00,"Storage, Treatment, and Distribution Improvements",$0,No,Yes,N/A,$42.23,$58.23,"$2,746,000","$1,979,093,000",,,
,58,Daleville,"$52,202","1,560",5218027,DW 25 28 18 00,Source and Treatment Improvements,$0,No,Yes,"WE, EE",$30.27,$97.58,"$4,745,000","$1,983,838,000",,,
,57,Spiceland,"$63,676",940,5233016,DW 22 26 33 00,Source and Treatment Improvements,$0,Yes - Mn,No,"EE, EI",$52.20,$101.40,"$6,541,000","$1,990,379,000",,,
,56,Elwood,"$62,195","8,586",5248007,DW 24 56 48 00,Distribution System Improvements,$0,No,No,WE,$19.78,$24.70,"$2,215,000","$1,992,594,000",,,
,55,St. Joe,"$61,875",460,5217006,DW 24 27 17 00,Distribution System Improvements,TBD,No,No,N/A,$31.00,$91.76,"$1,615,000","$1,994,209,000",,,
,55,Jamestown,"$70,083","1,000",5206008,DW 25 02 06 00,"Regionalization with CEG-Lizton, Storage and
Distribution Improvements",$0,No,No,N/A,N/A,TBD,"$12,500,000","$2,006,709,000",,,
,51,Thorntown,"$69,875","1,600",5206005,DW 25 51 06 00,Source and Treatment Improvements,$0,No,No,N/A,$36.62,$82.78,"$4,500,000","$2,011,209,000",,,
,51,Sunman,"$72,279",931,5269005,DW 25 39 69 00,"Source, Treatment and Storage Improvements",$0,No,No,N/A,$43.30,$81.88,"$3,000,000","$2,014,209,000",,,
,50,Waldron Conservation District,"$88,333",800,5273006,DW 25 40 73 00,"Source, Treatment, Storage and Distribution
Improvements",$0,No,No,"WE, EE",$34.92,$99.79,"$2,230,000","$2,016,439,000",,,
,45,Swayzee,"$66,250",918,5227020,DW 22 22 27 00,Treatment and Distribution Improvements,$0,No,No,TBD,$34.13,$67.16,"$2,382,000","$2,018,821,000",,,
,,Chandler,"$63,681","19,572",5287002,DW 25 56 87 00,Storage and Distribution Improvements,$0,No,No,TBD,$34.10,$50.38,,,,"$15,155,000","$15,155,000"
,,Crothersville,"$44,900","1,524",5236001,DW 23 17 36 00,"Storage and Distribution Improvements + Lead Service
Line Replacements",TBD,TBD,Yes,TBD,$57.30,$60.00,,,,"$10,647,000","$25,802,000"
,,Knightstown,"$55,000","2,223",5233005,DW 23 18 33 00,Storage and Distribution Improvements,$0,TBD,No,TBD,$35.86,$43.00,,,,"$15,608,000","$41,410,000"
,,Lapel,"$69,028","2,442",5248013,DW 24 75 48 00,Distribution Improvements,$0,TBD,No,TBD,$48.02,TBD,,,,"$300,000","$41,710,000"
,,Palmyra,"$33,077","4,425",5231004,DW 23 23 31 00,Treatment and Distribution Improvements,$0,TBD,Yes,TBD,$73.85,$73.85,,,,"$4,528,000","$46,238,000"
,,Switz City,"$38,500",887,5228009,DW 24 76 28 00,Distribution Improvements,$0,TBD,Yes,TBD,$46.37,TBD,,,,"$400,000","$46,638,000"
,,Versailles State Park,"$45,114",25,2690807,DW 24 78 69 00,Distribution Improvements,$0,No,Yes,TBD,TBD,TBD,,,,"$300,000","$46,938,000"
,,Valparaiso Lakes Area Cons. District,"$67,273","2,565",5264033,DW 22 20 64 00,Distribution Improvements,$0,TBD,No,TBD,$41.00,$43.24,,,,"$340,000","$47,278,000"
