Score,WSID,Water System / Borrower,User Popln,Project, 2022 Loan Amount ,Loan Acct GB,GB Disadv Subsidy,Loan Acct GS,GS Disadv Subsidy,Years,Admin %
165,5126,"Richford, Town of",1700,Golf Course Rd main and booster pump station," $750,000.00 ","$750,000 ",,,,40,1.5
160,5020,Dorset FD1,530,"Phases 2-5, main replacement & east storage tank"," $3,000,000.00 ","$3,000,000 ",,,,30,0
160,5315,Bethel,1929,"Wellhouse, booster pump station, and AC mains"," $750,000.00 ","$750,000 ",,,,30,2
155,5029,Barnet FD2,205,Small diameter water main replacements," $750,000.00 ",,,"$750,000 ","$375,000 ",40,0
155,5102,Winooski,8500,"Main St distribution system upgrades incl. main, service lines, valves, and hydrants"," $690,000.00 ","$690,000 ",,,,40,0.3
150,5132,"Swanton, Village of",2986,Missisquoi River water main crossing," $805,000.00 ",,,"$805,000 ","$402,500 ",40,0
145,5016,Bennington,13250,"South end distribution main upgrades (Jefferson Heights,  Merson, Crescent, Margaret)"," $4,000,000.00 ","$4,000,000 ",,,,30,2
145,5016,Bennington,13250,"Water main upgrades Gage St, Knapp, Frank, Cross"," $1,800,000.00 ","$1,800,000 ",,,,30,2
145,5269,Marshfield,350,Distribution system Contract 2," $400,000.00 ","$400,000 ",,,,40,1.9
145,5084,"Richmond, Town of",1000,"Distribution system replacements - South Bridge St, Cochran Rd, Tildon Ave"," $1,450,000.00 ",,,"$1,450,000 ","$725,000 ",40,0
145,5469,Shaftsbury,950,Phase 1 water main replacements," $1,160,000.00 ",,,"$1,160,000 ","$580,000 ",40,0
140,5022,Manchester,4140,"Richville Rd water main replacement, Airport Rd to Cass Terr"," $1,270,000.00 ","$1,270,000 ",,,,30,2
140,5326,Norwich FD 1,870,Hazen St and Cliff St water mains," $300,000.00 ","$300,000 ",,,,30,0
140,5589,Christmas Tree Sundown  Condo,110,Radium treatment; booster pump and pressure tank improvements," $170,000.00 ","$170,000 ",,,,30,2.75
135,5116,"Enosburg Falls, Village of",1700,Water main replacements Elm to Pleasant St plus N Main from Orchard to W Berkshire," $1,100,000.00 ",,,"$1,100,000 ","$550,000 ",40,0
130,5037,Danville FD1,500,Main improvements," $3,370,000.00 ",,,"$3,370,000 ","$1,685,000 ",40,0
130,5290,Brattleboro,12200,"Phase 1 improvements - Signal Hill pump station, standby generator, mains on Vernon, Bridge, Depot"," $1,855,000.00 ","$989,182 ","$494,591 ","$865,818 ","$432,909 ",40,0
130,5298,Bellows Falls,4000,Kissell Hill water main replacements," $1,250,000.00 ","$1,250,000 ","$625,000 ",,,40,0
130,20614,Grand Isle Consolidated  Water District,1600,"Distribution main replacements Rte 2, Hyde Rd, E Shore Rd"," $2,192,233.00 ","$2,192,233 ",,,,30,2
125,5190,"Orleans, Village",846,Willoughby Ave main replacement," $350,000.00 ","$350,000 ","$175,000 ",,,40,0
125,5277,Plainfield,985,School St water main," $375,000.00 ","$375,000 ","$187,500 ",,,40,0
122,5027,Royal Pine Villa,55,Consolidated Pumphouse with treatment and storage upgrades," $150,000.00 ","$150,000 ",,,,30,0
120,5120,Franklin,400,Source exploration and development," $300,000.00 ","$300,000 ",,,,30,2
120,5202,"Newport, City of",4766,Eastside Water Storage," $4,985,000.00 ","$4,985,000 ",,,,30,2
120,5225,Pittsford Florence,1923,Rte 7 water main (Vtrans segment 2)," $3,500,000.00 ","$3,500,000 ","$800,517 ",DisSub Line as of 9/20/22,,40,0
120,5070,"Hinesburg, Town of",2800,CVU Rd main," $1,500,000.00 ","$1,500,000 ",,,,40,0
115,5275,Northfield,5145,Cheney Farm Tank & transmission main," $2,800,000.00 ","$931,198 ",Funding Line as of 9/20/22,,,40,0
115,5092,Champlain Water District  (wholesale popln),83500,Filtered water storage tank II," $4,500,000.00 ",,,,,,
110,5045,St Johnsbury,5000,Portland St mains between Concord Ave & bridge," $1,623,500.00 ",,,,,,
110,5045,St Johnsbury,5000,Railroad St mains," $1,095,000.00 ",,,,,,
107,5001,Tri-Town,3800,Water treatment plan upgrades including filter addition;  distribution main replacements," $1,750,000.00 ",,,,,,
105,5284,Edward Farrar  (Waterbury),6003,"Water main extension Rte 100 south from Howard Ave (multi- part project, will need eligiblity determination for parts)"," $2,149,000.00 ",,,,,,
105,5092,Champlain Water District  (wholesale popln),83500,Raw water transmission main," $2,700,000.00 ",,,,,,
100,5175,Newbury Village,480,"Village water system study for new source, distribution  improvements, meter replacements"," $450,000.00 ",,,,,,
97,5566,Barre Town,1638,Websterville interconnection," $250,000.00 ",,,,,,
95,5211,Brandon FD1,3865,Improvements including storage tank and water mains," $3,250,000.00 ",,,,,,
95,5320,Quechee Central,2262,Quechee Main St water main," $1,200,000.00 ",,,,,,
92,5566,Barre Town,1638,Groundwater source development," $350,000.00 ",,,,,,
90,5004,Middlebury,8000,Chipman Hill Storage Tank," $2,350,000.00 ",,,,,,
90,5004,Middlebury,8000,Foote St water main - continuation of project several yrs ago," $900,000.00 ",,,,,,
90,5284,Edward Farrar  (Waterbury),6003,Ashford Ln Kennedy Dr water main replacement," $928,402.00 ",,,,,,
90,5284,Edward Farrar  (Waterbury),6003,Water main extension Blush Hill - Oakwood Estates," $450,000.00 ",,,,,,
90,5202,"Newport, City of",4766,Sias Ave water main from S Main past Paul St," $900,000.00 ",,,,,,
85,5153,Hyde Park FD1,275,Well house and pressure tank upgrades," $100,000.00 ",,,,,,
85,5105,Brighton,1782,Cross St water main replacement," $1,100,000.00 ",,,,,,
85,5323,Ludlow Village,2818,Lower High St - Main to Depot," $500,000.00 ",,,,,,
85,5323,Ludlow Village,2818,Lower Pleasant St Ext water main," $350,000.00 ",,,,,,
85,5254,Barre City,14000,Rte 302 main," $2,800,000.00 ",,,,,,
80,5087,Shelburne,5764,Replace meters," $2,000,000.00 ",,,,,,
77,5272,Montpelier,8700,East State St connection work," $100,000.00 ",,,,,,
75,5087,Shelburne,5764,"Rte 7 S water main, Laplatte R bridge to Marsett Rd"," $2,000,000.00 ",,,,,,
72,5385,Mansfield View,121,Distribution upgrades including water mains," $950,000.00 ",,,,,,
72,5523,Stowe FD4,120,Water main replacements," $950,000.00 ",,,,,,
67,5003,East Middlebury FD1,642,"Water main, pump house, SCADA, and other upgrades"," $500,000.00 ",,,,,,
65,5016,Bennington,13250,Burgess Rd PRV replacement & Willow Park PRV and hydroelectric turbine," $427,000.00 ",,,,,,
60,20562,North Hero,2750,Rte 2 main replacement," $2,500,000.00 ",,,,,,
60,5319,Hartford,7600,"Latham Works Ln, Nutt Ln, Harrison Ave"," $900,000.00 ",,,,,,
60,5004,Middlebury,8000,Palmer Well #2 source development & construction," $650,000.00 ",,,,,,
60,5079,Milton,8000,Railroad St water main & pressure sustaining valves," $2,100,000.00 ",,,,,,
60,5130,"St Albans, City of",10200,Stebbins St water main," $350,000.00 ",,,,,,
50,5065,"Essex, Town of",9734,Rte 15 waterline upgrade," $650,000.00 ",,,,,,
-,5016,Bennington,13250,"Larger raw water tank, Bolles Brook treatment plant",,,,,,,
-,5204,Newport Center (Town),330,HSA well replacement,,,,,,,
-,5318,"Chester, Town of",3200,"New well, standby generator, and chemical feed",,,,,,,
-,5016,Bennington,13250,Treatment plant filter replacements,,,,,,,
-,5117,Fairfax,1550,New well source,,,,,,,
-,5213,Fort Warren MHP,129,"Brook Well new finished water storage tank, standby power, and pumphouse improvements",,,,,,,
-,5218,Fair Haven,3076,South tank redundant loop,,,,,,,
-,5303,Vermont Academy,305,Storage tank construction and transmission main replacement,,,,,,,
-,5105,Brighton,1782,Source & treatment evaluation and upgrades,,,,,,,
-,5435,Commons Owners Assoc,,PER for Moretown Commons improvements including emergency power,,,,,,,
-,5264,Crystal Springs,300,Hydraulic Survey,,,,,,,
-,5378,Rutland Town Fire District  6,137,Additional well,,,,,,,
-,5154,"Hyde Park, Village of",462,New groundwater source,,,,,,,
-,5016,Bennington,13250,Replace Chapel Rd Water Tank,,,,,,,
-,5079,Milton,8000,Flanders water main replacement,,,,,,,
Projects that submitted priority list applications with ineligible scope,,,,,,,,,,,
-,5070,"Hinesburg, Town of",2800,"Connect well #6, install membrane filtration, and other improvements",,,,,,,
-,5096,Jericho Underhill,825,Poker Hill main extension,,,,,,,
-,5310,Wilmington,1400,Rte 9 water extension,,,,,,,
