Rank,Points,Entity,PIF No.,PWS ID No.,"Population
Served",Project Name,Project Description,"Requested
Phase(s)","Total Project
Cost"
Lead and Copper sampling within the system, water
system reporting, public education requirements, and the
introduction of a new lead trigger level. Further details on
the requirements of the lead service line replacement,
including environmental impact analysis, will be identified
at a later date. Once more information is available, we can
then provide additional details into the planning and
scoping for the lead service line replacement. For
purposes of this PIF, we used best judgement practices to
estimate the costs associated with the lead service line
replacement. The District is in the process of completing
the lead service line inventory. As of today, the District has
confirmed 223 service lines do not contain lead material
based on available historical data and record drawings.
The remaining 499 service lines were constructed prior to
1988 (most date back to the early 1970s) and the material
is currently listed as unknown. The District is preparing to
perform field verification inspections soon to identify the
material of the 499 service lines.",PDC,"$2,715,000.00"

6,54.39,Meridian,16055,TX0180002,"1,493","City of Meridian
LSLR","The City of Meridian is requesting funds to assist in the
final inventory and replacement of identified lead service
lines.",PDC,"$7,940,395.00"

7,53.66,RPM WSC,16056,TX2340016,"2,300","FM 279 RPM
Chandler County","RPM WSC is required to replace all lead water service
lines. They have found lead service lines down FM279,
FM2010 and along Chandler Interconnect that will need to
be replaced. RPM is requesting funding to be able to
replace the existing lead service lines and provide safe
and reliable drinking water.",DC,"$250,000.00"

8,46.20,Alice,16057,TX1250001,"17,891","City of Alice
LSLR","The City of Alice is requesting funding in order to
purchase a trailer-mounted hydro-excavator and truck to
transport the hydro-excavator, funds to reimburse play for
City Staff doing the Inventory; funds to pay for clerk who
will input into TCEQ/EAP excel spreadsheet, the inventory
data; funds to hire a consulting firm to locate service lines
with GIS map coordinates, to investigate and to determine
material of service lines, and to categorize such lines to
determine non-lead or lead for replacement. These
activities and investigations will enable the City to have a
more accurate figure to be determined for sampling
requirements under the rule, excavation, and for the
replacement cost of known lead service lines immediately
upon their discovery.",P,"$769,321.00"

9,52.91,Beeville,16058,TX0130001,"13,680","Beeville Lead
Service Line
Replacement","Beginning in 2021 the City utilized a GIS program to
identify the City's main lines and location. The city of
Beeville has contracted with Mid Cimarron, LLC to asset
city utility maintenance crews to inventory customer water
service lines to identify the applicable pipe material. Per
Lead and Copper Rule Revisions (LCRR), upon
completion all unidentified lead and galvanized pipe
service lines will be replaced. As of March 29, 2024, 1,693
of the City's 4,761 services have been inventoried. The
inventory of the remaining service lines and identification
of existing lead and galvanized service line pipe materials
will be completed/known by June 1, 2024.",PDC,"$1,960,231.80"

10,52.27,Port Arthur,16059,TX1230009,"56,039","Lead Service
Line Inventory",Develop inventory,P,"$4,806,260.00"

11,52.26,Crystal City,16060,TX2540001,"6,504","Crystal City Lead
Service Line
Replacement","The City of Crystal City requests funds to complete an
inventory of potential lead-service lines, as well as
replacement funds for identified lines. The city estimates
that approximately 90% of all households were built before
1980, which suggests there is a high prevalence of lead-
service lines. Replacing water lines has continued to be a
high priority for Crystal City, as it has identified
approximately 40,750 linear feet of old cast iron and
asbestos line that need to be replaced due to high water
losses and continuous leaks. The proposed budget
includes an estimated 2,430 service connections that will
need proposed line replacements, which will require
approximately 135,000 linear feet of service lines in yards
from water meters to residential homes. This project also
includes inventory funds, which will determine the
complete scope of lead service line replacement needs, as
well as meet the Texas Water Development Board’s
inventory guidelines.",PDC,"$15,231,334.00"

12,52.08,3-D Mobile Home and RV Park,16061,TX 0910072,95,"Lead Service
Line
Replacement 3D","Project will be to replace all galvanized lines that were put
in use when the mobile home park was built. Homes all
have pex put in so will be main water lines to each lot that
will need to be replaced.",DC,"$100,000.00"

13,51.82,Brady,16062,TX1540001,"5,770","City of Brady
Phase II LSLR
Project","Replacement of galvanized lines for water services to
include from the water main to the home plus paving
repair, landscaping and other repairs as needed for
affected areas.",C,"$11,950,000.00"

14,54.69,Italy,16063,TX0700028,"1,926",City of Italy LSLR,"This project will identify, map, and inventory the water
service connections within the City of Italy, including
evaluation of the piping material. The inventory will identify
any lead service lines which will need to be replaced with
future funding for design and construction.",P,"$200,000.00"

15,48.26,Wills Point,16064,TX2340005,"6,648","Wills Point LSLR
Project","Proposed project includes identifying lead service lines,
design of removal and replacement, and construction work
to remove and replace lead lines. City expects to use
Force Accounting agreement to complete parts of the
LSLR inventory.",PDC,"$631,400.00"

16,49.61,Willis,16065,TX1700003,"6,561","Lead Service
Line Inventory
and Replacement","Create an inventory of the City's service lines connected
to the water distribution system to develop an accurate
analysis of the current condition and prepare for the
removal of lead lines. This may include non-routine lead
sampling, inventory methods, such as obersvation,
excavation, vacuum, and analysis.",P,"$305,000.00"

17,47.48,El Campo,16066,TX2410002,"12,602","Lead Service
Line
Replacement
Project","The City of El Campo is currently preparing the initial lead
and copper service line inventory. The TWDB LSLR funds
will be used for the lead service line replacement project
throughout the entire City of El Campo. The project will
include design and construction.",DC,"$10,053,000.00"

18,47.39,Wilmer,16067,TX0570018,"5,370","City of Wilmer
Lead Service
Line Inventory
and
Replacement
Program","The City of Wilmer, Texas has deep concern about the
problem of lead water services. Their concern is rooted
with a strong interest in protecting the public's health from
the harmful effects of lead in drinking water. By
undertaking this project, the City intends to eliminate lead
water services from their system if any are identified. This
project will be approached in two phases. The first phase
will be to perform the EPA and TCEQ mandated lead
service inventory and submit said inventory to TCEQ well
in advance of the October 2024 deadline. The second
phase of the project will be to replace all identified lead
services with appropriate new water service materials.
This second phase will include planning, design,
stakeholder coordination, and construction services.",PDC,"$2,768,073.75"

19,47.59,Marshall,16068,TX1020002,"23,461","Water Service
Line
Replacement","Design, bidding, inspection, and construction
administration for replacement of an estimated 850 lead
service lines to be confirmed in the lead service line
inventory phase.",PDC,"$7,457,463.00"

20,46.85,Granbury,16069,TX1110001,"10,080","Lead Service
Line
Replacement","In accordance with the regulations set forth by the Texas
Commission on Environmental Quality (TCEQ) in its
revised Lead and Copper Rules, the City is required to
develop an inventory of the materials of construction for all
water service lines in the distribution system. The City
currently provides potable water service to 6,159
connections within its distribution system. Based upon the
age of the distribution system and insights provided by
Staff, there is likely a significant portion of the distribution
system which have water services which utilize lead or
galvanized materials. The City is requesting financial
assistance from Texas Water Development Board to
determine the exact number and location as well as
replacement of the lead and galvanized service lines
within the distribution system.",PC,"$4,240,000.00"

21,45.88,Sherman,16070,TX0910006,"43,645","Lead Service
Line Location
and
Replacement
Program","Revised PIF from SFY2023. Seeking funding for on-going
Phase 3 (Field Verification of Service Lines Material) and
future Phase 4 (Monitoring & Public Communications to
Support Verification of LSLs) and Phase 5 (LSLs
Replacement Planning and Mitigation).",PDC,"$8,768,258.28"

22,43.20,Weatherford,16071,TX1840005,"36,251","City of
Weatherford
Lead Service
Line
Replacement","The initial phase of this project will be focused on
developing an initial service line inventory based on the
best available data and a prioritized plan for investigation
of unknown service lines. Assumptions for potential lead
service line replacements are included herein for the
subsequent phase of field investigation and replacement
of lead service lines.",PDC,"$23,734,700.00"

23,44.98,Cleburne,16072,TX1260003,"31,352","Cleburne LCRR
Inventory and
Replacement
Plan","This project will include completion of a lead service
inventory, supplemental lead sampling, planning and
design for infrastructure, design, and construction cost for
removal/replacement of goosenecks
pigtails/connectors/service lines/ and acquisition of
temporary water filter systems for affected households.",PDC,"$48,492,400.00"

24,44.96,Longview,16073,TX0920004,"81,092","Water Service
Line
Replacement","The city is developing a water service line inventory to
identify lead services. A crew is going to unknown
services to identify material type. The city is also sending
a survey to customers to identify their service line
material. Any lines identified on the public side will be
replaced. Private service lines identified will be reported to
customers. The city will work with customers to replace
lead/galvanized material. In addition, the City has hired
KSA Engineers to assist in the data processing and
reporting.",PDC,"$6,246,113.00"

25,44.78,Panorama Village,16074,TX1700026,"2,513","Lead Service
line
Replacement
Inventory Study","Create an inventory of the City's service lines connected
to the water distribution system to develop an accurate
analysis of the current condition and prepare for the
removal of lead lines. This may include non-routine lead
sampling, inventory methods, such as observation,
excavation, vacuum, and analysis.",P,"$125,000.00"

26,43.93,Pasadena,16075,TX1010293,"153,000","LCRI Inventory
and WL
Replacement","This project will include building the inventory list as
outlined in TCEQ-20943. The fieldwork required to
validate the entries will also be included as part of the
project as part of the project. The project will prepare a
master plan to outline how and when the lead and copper
lines will be replaced over the next 10 year period. The
estimated construction cost is spread over a construction
period of 10 years.",PDC,"$21,980,000.00"

27,43.84,San Angelo,16076,TX2260001,"101,004","San Angelo
Lead Service
Line Location
and
Replacement
Program","Revised PIF from SFY2023. Seeking funding for Phase 3
(Field Verification of Service Lines Material), Phase 4
(Monitoring & Replacement Plan) and Phase 5 (LSLs
Replacement).",PDC,"$9,858,684.00"

28,43.05,Alvin,16077,TX0200001,"26,780","Lead Service
Line Location
and
Replacement
Program","In March 2023, The City of Alvin began efforts toward
identifying and replacing lead service lines (LSLs) as
required by the updated regulations in the Lead and
Copper Rule Revisions (LCRR). The City developed a
phased approach. The City is seeking funding for Phase 3
(monitoring and public communications to support
verification of LSLs) and Phase 4 (LSL replacement and
mitigation).",PDC,"$5,003,272.00"

29,41.28,San Antonio Water System,16078,"TX0015001
8","1,949,969","Lead Service
Line
Replacement","Update to SAWS LSLR 2023 PIF; Inventory with field
investigations, develop Lead Service Line Replacement
Action Plan, design and bid services, construction costs
for replacement of lead service lines.",PDC,"$114,034,371.00"

30,39.76,New Braunfels Utilities,16079,TX0460001,"90,403","NBU Lead
Service Line
Inventory &
Replacement","NBU identified 8,426 services in its service territory which
had unknown materials on both the NBU-side and
customer-side of the water meter. As of March 27, 2024
NBU through the use of Peabody Construction has
visually identified 6,832 of the services. Roughly 48% of
the identified service lines on the customer side are
presumed to be identified as ""galvanized requiring
replacement"" in the submitted inventory. NBU expects that
roughly 4,000 services will be required to be replaced.
NBU seeks funding to reimburse or pay for costs
associated with the portion of the lead service line
inventory which has already accomplished, the completion
of the lead service line inventory, identifying any unknown
materials in the system after submission of the LSLI to
TCEQ, the required planning of the lead line replacement
program, performing the design and replacement of lead
service lines, covering the land acquisition costs
associated with any required easements or construction,
and a contingency amount of 10%.",PDC,"$25,856,185.00"

31,37.66,Austin,16080,TX2270001,"1,153,430","Galvanized
Water Service
Line
Replacement","The Lead and Copper Rule Revision (LCRR) requires the
replacement of any galvanized service line that is, or ever
was, downstream of a lead service line. This project will
replace galvanized services found in Austin Water's
system on both the public and private side of the meter.",DC,"$6,000,000.00"

32,58.17,Brazoria,16081,TX0200003,"2,875","City of Brazoria
Lead Service
Line
Replacement","City plans to complete a GIS database of existing water
services, a complete lead service line inventory with the
replacement of all identified lead service lines. The project
includes lead service line inventory, lead service line
replacement plan, public communications plan, water
sample/testing plan. With completion of planning phases,
city will complete the design, bidding, and construction of
replacement of lead service lines.",PDC,"$3,224,520.00"

33,29.29,Cumby,16082,TX1120001,807,LSLR 2024,"Inventory of lead-service lines will be performed prior to
this project and prior to the October 16, 2024 deadline.
This project will include field work to confirm and identify
details of pre-inventoried lead-service lines including line
sizes, lengths, etc. Prepare report, plans and
specifications for lead-service line replacement in
accordance with TCEQ Lead and Copper Rule Revisions
(LCRR). Bid and construct the improvements. Prepare a
GIS database of completed improvements.",DC,"$945,000.00"

34,25.26,Hempstead,16083,TX2370001,"6,687","Lead Service
Line
Replacement","The City of Hempstead is currently preparing the initial
lead and copper serve line inventory. The TWDB LSLR
funds will be used for the lead service line replacement
project throughout the entire City of Hempstead. The
project will include design and construction related to the
replacement of lead services lines throughout the entire
City of Hempstead.",DC,"$7,161,000.00"

35,18.13,Houston,16084,TX1010013,"2,304,580","Lead and
Copper Rule
Revision
Compliance","The proposed project will survey an estimated 494,856
household service line connections throughout the City of
Houston to identify and replace lead service lines within
the entire service area. The project is being conducted in
three phases, the first of which has begun. Funding is
requested for the second and third phases. Project will be
staged in nine of Houston's Complete Communities.
Second Phase is field inspections for initial Lead Service
Inventory to verify accuracy. Third Phase involves the
actual replacement of confirmed lead service lines and
could be implemented concurrently with second phase.",PDC,"$30,000,000.00"
