Rank,Points,PIF #,Entity,Owner Type,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost,Disadv %,Green Type,GPR,Related PIF #s
23,68,14560,Smyer,M,TX1100010,474,The proposed project includes improvements at the water  treatment plant and distribution system to bring the system  into compliance with TCEQ requirements. An asset  management plan will be prepared as part of this project.,PDC,"$4,365,000.00",,Yes-BC,"$4,365,000.00",
24,68,14380,Bay City,M,,"17,487","This project includes prioritized rehabilitation of the City of  Bay City's (City's) drinking water distribution system to  address aging infrastructure and frequent line breaks. This  project will also include the rehabilitation or decommissioning  of an existing elevated storage tank that is in dire need of  repair or replacement. Lastly, this project will address  elevated levels of arsenic at two of the City's water wells.",PDC,"$26,625,000.00",,,,
25,67,14529,Gladewater,M,tx0920001,"6,441",Improvements to the water system.,PDC,"$2,830,000.00",70%,,,
26,67,14542,Paint Rock,M,,371,This project involves the replacement of meters with an AMR  system and the installation of water lines,PDC,"$300,000.00",,Yes-BC,"$120,000.00",
27,67,14545,Orange Co WCID # 1,D,,"14,937","This project will provide for a new estimated 2,000 GPM  water well and treatment facilities.",PADC,"$4,791,500.00",,,,
28,66,14582,Rowena WSC,W,,480,This project will reduce TTHM levels to gain compliance with  the Stage 2 DBP Rule as well as address the open TCEQ  compliance issues.,PDC,"$6,721,000.00",70%,Yes-BC,"$6,721,000.00",
29,66,14627,Cox Addition PWS,W,,150,"The project involves the planning, design, and implementation  of rehabilitation and replacement, if necessary of the existing  adsorption system damaged in winter storm Uri in 2021.  Interconnection with Lubbock will be explored as a  more resilient long term supply.  An additional storage tank is  needed. Asset management plan will be completed.",PDC,"$475,000.00",70%,,,
30,64,14525,Beach City WCID,D,TX0360126,408,Water Supply and Distribution System Improvements,PADC,"$2,365,000.00",,,,
31,64,14688,Orange Co WCID # 1,D,TX1810005,"14,937",This project will provide for a liquid ammonium sulfate (LAS)  system and related infrastructure at each of the District's  three water well sites to address total trihalomethane  maximum contaminant level issues.,PDC,"$837,936.00",,,,
32,64,14680,Silverton,M,TX0230001,731,"The proposed project for the City of Silverton, involves the  construction of a pump station, and a 200,000 gallon ground  storage tank. Additionally, the project includes the drilling, test  pumping, piping, site work, fencing and gates, electrical  equipment, and electrical controls for three water wells.",DC,"$13,530,000.00",70%,,,
33,62,14442,Blanco,M,,"2,256","This project consists of three waterline replacement projects,  as follows; -9th Street Waterline Replacement -Cielo Springs Waterline Replacement -Palomino Waterline Replacement",ADC,"$3,558,738.40",,Yes-BC,"$3,558,738.40",
34,59,14630,Commodore Cove ID,D,,370,"Remove 40 year old 60,000 gallon drinking water storage  tank and install new water storage tank with circulation /  aeration system. The circulation system will help further  reduce the TTHM's forming in the storage tank after  chlorination.",PC,"$299,976.00",,,,
35,59,14626,Plott Acres PWS,W,,204,"The project involves the planning, design, and implementation  of rehabilitation and replacement if necessary of the existing  adsorption system required to meet primary drinking water  MCLs damaged in winter storm Uri in 2021.  Interconnection  with City of Lubbock will be explored as a best long term  alternative.  USAF has provided bottled water to Plott Acres  customers due to PFAS plume and testing of the two wells is  ongoing.  If transmission funds allow service will be offered to  private wells.  An additional storage tank is needed. Asset  management plan will be completed.  Urgent Needs -  Securing Safe Water Initiative to meet primary drinking water  MCLs.",PDC,"$1,685,000.00",70%,,,
36,55,14423,Pflugerville,M,TX2270014,"55,453","Since July 2018, the City of Pflugerville's (City's) Water  Treatment Plant (WTP) has received numerous violations  under the Long Term 2 Enhanced Surface Water Treatment  Rule (LT2ESWTR). This project addresses the issues at the  WTP that have led to these violations. The design phase of  this project is scheduled to be completed in May 2022. This  project was selected to receive funding during the SFY 2022  DWSRF funding cycle; the City is now applying for  supplemental construction funding for the WTP expansion.",C,"$91,532,030.00",,,,
37,55,14475,New Home,M,TX1530004,326,"The City has had high Arsenic and Fluoride levels that
exceed the MCL of .01 and 4 MG/L for several, consecutive
years and the City is under EPA enforcement action.",PADC,"$1,438,155.25",,,,
38,55,14427,Arimak WSC,W,TX1330135,108,"The Arimak Water Supply Corporation (WSC) is the recipient  of an Administrative Order from the United States  Environmental Protection Agency (EPA) for non-compliance  of the Safe Drinking Water Act (SDWA) as it pertains to  radionuclides levels in drinking water. The WSC is addressing  this matter through the implementation of a groundwater  treatment project.  Also, the ground storage tanks (GSTs)  have reached the end of their useful life and are in need of  replacement. The project will include development of an asset  management plan.",PDC,"$1,755,000.00",,Yes-BC,"$1,755,000.00",
39,53,14504,Gordon,M,TX1820007,744,"Water treatment plant improvements including clarifier  replacement, plant piping, SCADA, and distribution line  replacements.",PDC,"$1,962,000.00",70%,Yes-BC,"$625,000.00",
40,53,14390,Sharyland WSC,W,TX1080033,"90,846","SWSC seeks funding from the Texas Water Development  Board's Drinking Water State Revolving Fund in order to be  able to better serve their customers and improve the overall  performance, reliability, and redundancy of their water  distribution system. Proposed projects include, but are not  limited to: pressure zone expansions to address identified low  pressure zones throughout the system and improve the level  of service for customers; infrastructure relocation projects;  additional storage for compliance with TCEQ requirements;  capacity and performance improvements projects to  treatment facilities and the distribution system; and looping  and gridding throughout the system to improve redundancy,  reliability, and resiliency.",PADC,"$59,881,000.00",70%,,,
41,51,14619,Town North Village PWS,W,,650,"The project involves the planning, design, and implementation  of rehabilitation and replacement if necessary of the existing  treatment system damaged in winter storm Uri in 2021.  The project also investigates options of interconnection  with other PWS to provide blended water.  Urgent Needs - Securing Safe Water Initiative to meet primary  drinking water MCLs.",PDC,"$475,000.00",70%,,,
42,50,14570,Bistone Municipal WSD,D,,"24,929","Bistone's transmission lines to its various wholesale  customers is aged and has issues with leaks. The project will  replace the portion of the transmission system known as the  1967 14"" steel cylinder concrete pipe. Bistone has also been  advised by TCEQ that a pressure sustaining tank (pressure  tank or elevated tank) is needed for the periods when the  Surface Water and Groundwater Treatment Plants are  providing water. Blending is isolated from the two sources  when the Surface Plant operates but this requires pumps to  provide needed pressure. The elevated tank will resolve this  issue and comply with the TCEQ Blending Exception.",PADC,"$24,861,000.00",70%,,,
43,47,14426,Pflugerville,M,TX2270014,"55,453","According to the City of Pflugerville's (City's) 2020 Water  Master Plan, the City is expected to outgrow its current water  supply capacity in the next few years. This project includes  the expansion of the City's existing Colorado River raw water  pumping and transmission system, which will nearly double  the City's raw water supply capacity. The expansion of this  system will provide sufficient water supply for the City's  rapidly growing population until 2039, when additional water  supply sources are anticipated to be brought online.",C,"$74,779,940.00",,Yes-BC,"$1,500,000.00",
44,47,14420,New Summerfield,M,TX0370028,"1,350",Water System Improvements,PDC,"$2,183,000.00",,,,
45,46,14514,Dawson,M,,767,The purpose of this project is to replace/upsize undersized  water mains that are causing issues within the system.  Replacement of ex. valves and installation of new valves are  also needed throughout for better operation and maintenance  of the overall system.,PDC,"$300,000.00",70%,,,
46,46,14521,D & M WSC,W,TX1740010,"5,320","Construct pump station improvements and drill a new well at  the F.R. Lewis or Moral Booster Stations based on the  findings of the EFR. In addition, construct new water lines and  replace targeted old deteriorated water lines.  The creation of  an asset management plan is also included.",PADC,"$3,520,000.00",70%,,,
47,45,14498,Presidio County,C,,"6,975",Presidio County has numerous needs for their groundwater  and drinking water facilities. This project contemplates  making significant improvements to these water facilities for  this seriously underserved community.,PDC,"$21,740,500.00",70%,Yes-BC,"$6,250,000.00",
48,44,14399,Wills Point,M,TX2340005,"3,889","The City of Wills Point has a 12 inch raw water supply line  which supplies water from the intake on Lake Tawakoni to the  City's Water Treatment Plant.  The raw water transmission  line, the raw water intake pump station, and the in-line  booster pump station are in need of repairs, upgrades, and  replacements.  The purpose of this project is to replace  38,400 linear feet of 12 inch raw water transmission line from  the Lake Tawakoni Intake to the City of Wills Point Water  Treatment Plant, make upgrades to the raw water intake  pump station, and make upgrades to the in-line booster pump  station in order to provide reliable raw water to the City's  Water Treatment Plant.",PDC,"$5,585,000.00",,,,
49,43,14418,Alamo,M,TX1080001,"19,613",Water Treatment Plant Rehabilitation & Expansion,PDC,"$9,355,000.00",70%,,,
50,43,14493,Huntington,M,TX0030002,"2,121",Drill a new water well and install aerators inside elevated  storage tanks,PADC,"$1,708,000.00",70%,,,
51,43,14488,Daingerfield,M,TX1720001,"4,047",Waterline Replacement and Pumping and Storage Upgrades,PADC,"$3,190,000.00",70%,,,
52,42,14613,Webb County,C,,348,"Webb County is proposing to extend the main water line from  the intersection of Mangana-Hein Road and Cuatro Vientos  Road up to the location of the proposed Southern Fire  Station, running approximately 1 mile east.",PADC,"$2,000,000.00",,,,
53,42,14614,Webb County,C,,348,"The main water line will extend along Cuatro Vientos Road  from Cielito Lindo, which is located in City of Laredo limits, to  the Mangana-Hein Road; (approximately 3 miles length). The  potable water will be provided by the City of Laredo and the  Certificate of Convenience and Necessity (CCN) will be  transferred to the City of Laredo.",PDC,"$5,000,000.00",,,,
54,42,14615,Webb County,C,,348,"The goal of this project is to install distribution water lines for  the residences in Colonia La Presa. Once the water line  extension from Cielito Lindo to the Mangana-hein corridor has  been installed, Webb County may begin to plat the area and  ultimately install water distribution lines.",PDC,"$6,500,000.00",,,,
55,42,14616,Webb County,C,,348,Webb County is proposing to install a distribution line from the  main water line on Mangana-Hein Road to the new fire  station. The new fire station will be located in the rural south  area of Webb County in Precinct 1.,PDC,"$750,000.00",,,,
56,42,14617,Webb County,C,,348,Webb County will extend a distribution line from the main  water line adjacent to Mangana-Hein Road to connect to the  Webb County La Presa Community Center and the park that  is located behind the center.,PDC,"$500,000.00",,,,
57,41,14461,Kirbyville,M,,"2,631",This project intends to replace an existing elevated storage  tank that is severely deteriorated.,PDC,"$2,256,000.00",70%,Yes-BC,"$2,060,000.00",
58,41,14497,Mercedes,M,TX1080007,"16,648","The City of Mercedes needs to update various critical water  system components of the treatment,  transmission/distribution, and storage systems.",PADC,"$10,335,208.00",70%,,,
59,39,14436,Paducah,M,,"1,186","The proposed project includes replacement of sections of the  aging and inefficient distribution system; replacement of the  main transmission line that transports the water from  Paducah’s well field to town; and rehabilitation of the three  remaining ground storage tanks at the well field to stop the  corrosion that is prevalent on each of the three tanks, and  addition of backup generators per the response to SB 3.",PDC,"$9,299,000.00",70%,Yes-BC,"$9,299,000.00",
60,37,14391,Anthony,M,TX0710001,"3,671","The Town of Anthony will need to construct a 250,000 gallon  elevated water tank, rehabilitate existing water wells, replace  booster stations, address leaking water lines, install a  chlorination control system, replace meters and build arsenic  treatment plant in order to provide enough adequate water to  the residents.",ADC,"$10,473,059.00",70%,,,
61,37,14505,Pearsall,M,,"9,346",This project extends 8-inch waterline to existing homes and  businesses on the north I-35 business road and replaces  waterline in the City some of which is Colorado St. 12-inch  main that is old and deteriorated with a history of breakage.  Project also includes a new well and elevated storage tank to  serve existing customers west of I-35. Completion of an asset  management plan.,PADC,"$13,605,000.00",70%,,,
62,36,14569,Junction,M,,"2,507",The City of Junction is currently be cited by TCEQ on various  issues at the WTP. The City's water system requires  equipment for emergency events. The City also has failing  ACP and lead pipes that are constantly needing repair.,DC,"$405,000.00",70%,,,
63,36,14451,Stephens Regional SUD,D,TX2150007,"3,173",SRSUD is proposing water system improvements to address  growth in portions of the distribution system which includes  upgrading a main arterial distribution main in the system to  areas which are currently limited by the size of main.   Improvements are also proposed for the water treatment plant  (WTP) of address issues with aging equipment and  operational improvements to increase treatment efficiency.,PDC,"$9,722,000.00",70%,Yes-BC,"$9,722,000.00",
64,36,14430,Albany,M,,"1,983","The proposed project includes improvements at the Water  Treatment Plant to address aging infrastructure including  replacement of existing membrane system trains, chemical  system improvements, high service pump station  improvements, electrical, SCADA, and Instrumentation and  controls improvements.",PDC,"$7,731,000.00",70%,Yes-BC,"$7,731,000.00",
65,35,14690,Eagle Pass Water Works  System,M,TX1620001,"67,211","Analysis for Production, Treatment, and Distribution of a  second groundwater source in Maverick County. Various  distribution and transmission pipeline extensions and   replacements. Demolition and New Elevated Storage Tanks",PDC,"$107,334,481.00",70%,,,
66,35,14431,Roma,M,,"19,123",The City is addressing the need for Phase I (6 MGD) of a new  water treatment plant (WTP) to serve City of Roma residents  and fully comply with all water treatment regulations. The  City's existing WTP was partially rehabilitated in the late  1990s and has reached the end of its useful life and requires  replacement.,PDC,"$9,625,000.00",70%,Yes-BC,"$9,626,000.00",
67,34,14429,Mertzon,M,TX1180002,700,"As a result of the recent historic ongoing drought, the City’s  water supply is still depleted. The City currently has five (5)  functional groundwater wells (of the original eight), caused by  continual pumping during the ongoing drought, and is in the  process of obtaining approval for a new sixth well. The City  has observed a steady decrease in production from its wells  over the past several years, to the point that three of the  original eight wells are essentially “dry” at this time. As the  water supply has dwindled, the quality of the water no longer  meets secondary drinking water quality standards.  In order to  support current water supply needs with water that meets  current drinking water quality standards, the City of Mertzon is  pursuing implementation of a major project to install a  treatment system to address the City’s groundwater quality  issues.",PDC,"$6,478,000.00",70%,Yes-BC,"$6,478,000.00",
68,34,14450,Spur,M,,"1,100","Replacement of various portions of the City’s potable water  distribution pipeline system, valves, and fire hydrants.",PDC,"$2,648,000.00",70%,Yes-BC,"$2,648,000.00",
69,34,14629,Magnolia,M,TX1700020,"2,124",Construction of a new water plant to meet increasing demand  on the City's water system.,DC,"$9,010,000.00",70%,,,
70,34,14519,Winters,M,,"2,580","Replacement of various portions of the City’s potable water  distribution pipeline system, valves, and fire hydrants.",PDC,"$2,480,000.00",70%,Yes-BC,"$2,480,000.00",
71,34,14417,Hidalgo Co MUD # 1,D,TX1080088,"8,400","The Hidalgo Co. MUD #1 is in need of a 500,000 gallon  elevated storage tank to comply with state (TCEQ)  enforcement standard requirements.",PDC,"$2,515,000.00",70%,,,
72,34,14452,Upper Leon River MWD,D,TX0470015,"15,089","The proposed project includes improvements at the Water  Treatment Plant (WTP) to address the aging infrastructure  including rehabilitation of existing media filters, rehabilitation  of Clarifier No. 2, clearwell improvements, and backup  generator improvements.",PDC,"$8,565,000.00",70%,,,
73,33,14409,Groveton,M,TX2280001,"1,094",System Study and Water Distribution Line Replacements,PDC,"$2,345,000.00",70%,,,
74,33,14392,Bartlett,M,,"1,633","Water meter replacements, water lines, and installation of  isolation valves",PADC,"$4,942,700.00",70%,Yes-BC,"$2,950,000.00",
75,33,14483,Laguna Madre WD,D,,"19,908",The proposed project consists of improvements to Long  Island Village (LIV) Water Distribution system located within  Laguna Madre Water District (LMWD) service area.,PDC,"$7,777,347.00",70%,Yes-BC,"$1,087,488.00",
76,33,14458,Rolling Hills WS,W,TX1110032,201,"Rolling Hills Water Service will be installing an AMI metering  system, and replacing portions of the distribution system.",PDC,"$2,685,000.00",70%,,,
77,33,14382,Cross Roads Community  WSC,W,,720,Construct a new public water supply well and install an  emergency generator,PDC,"$1,990,000.00",70%,,,
78,33,14549,Daisetta,M,,938,The City will be building a new water well site to allow the city  to begin producing their own water supply within their  distribution system.,C,"$1,908,868.00",70%,,,
79,33,14432,Santa Anna,M,,"1,099","Replacement of various portions of the City’s potable water  distribution pipeline, valves, and fire hydrants.",PDC,"$4,238,000.00",70%,Yes-BC,"$4,238,000.00",
80,33,14381,Coleman County SUD,D,,"5,000","The project includes construction of waterlines, backup power  generation, and construction of pump stations facilities.",PADC,"$10,510,000.00",70%,,,
81,33,14441,Crockett,M,TX1130001,"6,332","Development of a new water well, transmission main, and  treatment facilities",PDC,"$2,945,250.00",70%,,,
82,33,14428,Eastland Co WSD,D,,"11,559","Re-clear the pipeline ROW and replace the existing raw water  transmission pipeline with a new fusion-welded, high-density  polyethylene (HDPE) pipeline.",PDC,"$9,273,000.00",70%,Yes-BC,"$9,273,000.00",
83,32,14460,Hardin WSC,W,TX1460009,"5,439",Replace undersized water lines throughout the water system,PDC,"$3,761,000.00",70%,,,
84,32,14465,Hardin WSC,W,TX1460009,"5,439","New groundwater production well, elevated storage tank and  related appurtenances.",PDC,"$3,551,000.00",70%,,,
85,31,14601,San Jacinto SUD,D,TX2040033,"4,008","The District is in need of a new water well due to the service  area of the system having two pressure planes. The City of  Coldspring, part of the District's service area and region of  most water demand, does not have sufficient water capacity  within its pressure plane to meets the demand.",PDC,"$1,500,000.00",70%,,,
86,31,14621,Christian Life Center,P,TX1520219,51,The Christian Life Center is a non profit community water  system which serves 17 connections in north east Lubbock  County.  The system is under enforcement for exceedance of  1-1 Dichloroethylene in the system's only well.  The project will fund a low profile tray aeration system to be installed to treat the well water to compliant standards.,PDC,"$300,000.00",,,,
87,31,14482,D Bar B Water & WW SC,W,TX0570082,240,Emergency generator for drinking water system,PDC,"$85,000.00",70%,,,
88,31,14631,Victoria Co WCID # 2,D,,515,The Victoria County Water Control Improvement District No. 2  plans to rehabilitate a portion of the existing Distribution  system to allow for better service to the community. The  project will consist of rehabilitating the existing dilapidated  cast iron line to a more resilient material and to increase the  ground storage capabilities of the system be adding a needed  ground storage tank to the existing system.,PDC,"$1,622,000.00",70%,,,
89,31,14489,Murchison,M,,610,The City of Murchison's existing water treatment is located at  an elevation of 967 feet. This water treatment plant is in need  of replacement. The City currently has a notice of violation  that the area on the northern end of the pressure plane has  low pressure when flushing lines.  The City proposes to  construct a new water treatment facility with elevated storage.,PADC,"$3,448,640.00",70%,,,
90,31,14467,Alto,M,TX0370001,"1,523",Remove and replace existing aged and deteriorated  waterlines within the distribution system as well as rehabilitate  existing deteriorated Storage Tanks.  Includes creation of an  asset management plan.,PDC,"$1,872,000.00",70%,,,
91,31,14407,Crescent Heights WSC,W,TX1070016,"1,935","A new public water supply well, pressure facilities, and line  upgrades. Includes the creation of an asset management plan",PDC,"$3,500,000.00",70%,,,
92,31,14509,Liberty Hill,M,,"2,041","The proposed project includes planning, design, and  construction of various system improvements for the City of  Liberty Hill’s water system.",PADC,"$6,000,000.00",70%,,,
93,31,14693,Van Horn,M,TX0550001,"2,175","The Van Horn Capital Improvements Project involves  developing an asset management plan, constructing water  and wastewater systems necessary to ensure the reliability of  existing systems, replace aging infrastructure and facilities,  comply with regulatory requirements, meet utility priorities,  and serve anticipated growth in the system. The total cost is  $15,398,732 ($11 million for water, $4.4 million for  wastewater).",PDC,"$10,943,444.50",70%,,,
94,31,14405,Hamilton,M,,"3,200",Replacement of water lines that are in poor condition  throughout the city.,PDC,"$2,326,000.00",70%,,,
95,31,14406,Grand Saline,M,TX2340003,"3,228",Rehabilitate existing elevated storage tank and upgrade the  existing water distribution system.  Hydraulic Water Modeling.,PDC,"$1,408,500.00",70%,,,
96,31,14547,Ballinger,M,,"7,145",Water transmission line replacements.  Additional ground  storage tank capacity.  Additional pressure maintenance  capacity.,PDC,"$8,749,000.00",70%,Yes-BC,"$8,749,000.00",
97,31,14551,Hidalgo,M,,"12,200",Proposed Construction of 5.0 MGD Surface Water Treatment  Plant,PADC,"$13,300,000.00",70%,,,
98,30,14481,Study Butte WSC,W,TX0220035,196,"This project involves the replacement of an existing ground  storage tank, rehabilitating an existing water well and/or  drilling a new water well, the replacement of existing water  lines and valves, and installing new water lines.",PDC,"$900,000.00",70%,,,
99,30,14562,Ericksdahl WSC,W,TX1270005,274,"Ericksdahl WSC has a history of high of TTHM levels and  water loss. The proposed project will include tank mixing,  disinfection improvements, water line replacement, and  automatic meter reading system to reduce TTHMs and water  loss.",PADC,"$1,697,500.00",70%,Yes-BC,"$160,500.00",
100,30,14388,Holiday Beach WSC,W,TX0040015,"1,316",Water Line Improvements,PDC,"$1,800,000.00",70%,,,
101,30,14580,Waelder,M,,"1,517",New Water Well 6 and associated Water Plant Improvements,PDC,"$2,942,000.00",70%,,,
102,30,14533,Navarro Mills WSC,W,TX1750024,"4,173",Upgrade existing pumping and transmission/distribution  facilities,PADC,"$3,240,000.00",70%,,,
103,30,14424,San Leon MUD,D,,"5,336",San Leon MUD has a dramatically undersized water system  that does not permit having properly spaced fire hydrants for  proper fire protection for the community. This project will  involve replacement of the vast majority of the undersized  mains as well as valves and fire hydrants.,DC,"$11,393,750.00",70%,,,
104,30,14561,Los Fresnos,M,,"6,280","The City of Los Fresnos is proposing a City-wide  rehabilitation of existing water distribution lines. The project  consists of the removal and replacement of Approx. 80,000  LF of water lines.",C,"$11,216,110.00",70%,,,
105,30,14682,Bonham,M,TX0740001,"10,408","Installation of approximately 33,520 linear feet (bid schedules  1, 3 5 & 6) of 6”-24” water line, encasement, valves, services,  fittings, fire hydrants, and associated appurtenances.  Maintenance problems, Leaks associated with aging  waterlines.",C,"$13,131,170.00",70%,,,
106,30,14459,Kingsland WSC,W,,"11,163","The main pressure zone of the Kingsland Water Supply  Corporation's (KWSC's) service area includes a relatively high  elevation causing operational challenges with consistently  maintaining pressures above 35 psi. This high elevation area  corresponds with lowest-income customers in the KWSC  service area. To address the system’s root problems with  insufficient elevated pressure head in this economically  disadvantaged part of the system, this project will include the  creation of a new boosted pressure zone within the main  pressure zone by constructing a new booster pump station,  elevated storage tank (EST), and performing system  distribution improvements. The second component of this  project will be improving the transmission capacity between  the EST located at the KWSC water treatment plant (WTP)  and the standpipe. This project will allow the KWSC to  maintain compliance with the TCEQ'S system pressure  requirements under all increasing demand conditions  throughout the entire service area.",DC,"$9,220,000.00",70%,,,
107,28,14558,Red River Co WSC,W,TX1940008,"6,738","The project involves constructing three 200-gpm wells around  the county, a 150,000-gallon elevated storage tank,  approximately 17,000 LF of line extensions to connect these  facilities into the system, and approximately 60,000 LF of line  replacement and upsizing around the system.",PADC,"$8,706,886.10",70%,,,
108,27,14546,Parker County SUD,D,,"4,113",This project will include the development of a brackish water  well to augment the District's source water supply for  treatment at its existing desalination WTP.,PDC,"$8,195,000.00",70%,Yes-BC,"$8,195,000.00",
109,27,14494,Olmito WSC,W,,"6,580","The proposed 1.0 MGD Expansion to Existing Water  Treatment Plant project includes expanding the current  existing 2.0 mgd plant to treat 3.0 mgd. The project consists  of expanding the existing raw water pumping, adding an  additional sedimentation and filtration treatment unit, adding  transfer pump capacity and making improvements to the  existing disinfection systems. Plant expansion is necessary to  meet current and future demands due recent accelerated  growth  north of the City of Brownsville in the Olmito WSC's  water service area.",PADC,"$6,090,000.00",70%,,,
110,26,14606,Oak Grove WSC,W,TX0190014,921,"In October 2018, Riverbend Water Resources District  (Riverbend WRD) completed a Regional Water Master Plan  Study (Study) funded through the TWDB D-Fund Program  that focused on the projected water needs of Riverbend  WRD’s participating entities located within Bowie, Cass, and  Red River Counties. The Study evaluated several alternatives  with a final recommendation of constructing a new regional  water system.",PADC,"$1,281,550.00",,Yes-BC,"$497,000.00",
111,26,14479,Hitchcock,M,TX0840004,"7,800",The purpose of this project is to improve the City's water  distribution system through the installation of additional valves  and the targeted replacement of undersized mains. The  project also includes the rehabilitation of its water production  facilities to provide safe drinking water to its residents.,DC,"$23,863,500.00",,Yes-BC,"$1,725,000.00",
