Rank,Points,Entity,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost
22,47.27,Hawkins,TX2500001,1278,"The proposed project includes planning, design, and construction of complete removal and replacement of 38,750 LF of .ÅfÅf lead and galvanized steel service lines and appurtenances that meets the requirements established under 40 CFR 143. The goal of this project is to improve the drinking water the City of Hawkins provides to its customers. Additional work consists of removal and replacement of lead or galvanized goosenecks, pigtails, connectors, curb stops, boxes, and replacement with an acceptable material that meets the requirements established under 40 CFR 143 and which complies with state and local plumbing codes and or building codes. Site restoration, including landscaping, sidewalk repair, driveway repair, etc. shall be
required where specified in the plans.",PDC,2512105
23,47.16,Amherst,TX1400006,791,Inventory and Replace Lead Service Lines.,PDC,1025000
24,47.13,Loraine,TX1680002,602,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,136000
26,46.52,Grand Saline,TX2340003,3215,"Proposed project includes identifying lead service lines, design of removal and
replacement, and construction work to remove and replace lead lines.",PDC,1912400
26,46.52,Meadow,TX2230002,593,Inventory and Replace Lead Service Lines.,PDC,800000
27,46.12,Westwood Shores MUD,TX2280016,2733,"Identify all the possible lead service lines and comply with EPAÅfs mitigation
requirements.",PDC,1589000
28,45.97,Mineola,TX2500002,4515,"Proposed project includes identifying lead service lines, design of removal and
replacement, and construction work to remove and replace lead lines.",PDC,1008700
29,45.93,Trent,TX2210009,269,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,139000
30,45.7,Thorndale,TX1660003,1400,"The project will include a comprehensive and accurate inventory of water service lines, including locating and mapping, as required by EPA/TCEQ to identify whether lead service lines are present or not for both the City of Thorndale and the
customers.",P,184000
31,45.57,Jefferson,TX1580001,1883,"Identify, map, and inventory service connections. Replace non-compliant service
lines.",PDC,2025000
32,45.53,Vernon,TX2440001,10078,"The City of Vernon is requesting funds in order to take inventory and replace existing
service lines containing lead.",PDC,9360000
33,45.51,Seymour,TX0120001,2817,This project included identifying and replacing lead service lines.,PDC,5437748
34,45.49,Chillicothe,TX0990001,707,"Inventory, Identify and Replace Lead Service Lines.",PDC,330000
35,45.41,Pearsall,TX0820002,9346,"Complete inventory of all service lines in the City of Pearsall to determine which lines include lead in accordance with EPA/TCEQ requirements. Overall plan for remaining
steps for compliance with new rules.",PDC,914000
36,45.39,Gladewater,TX0920001,6441,"Identify, map, and inventory service connections. Replace non-compliant service
lines.",PDC,2300000
37,45.27,O'Donnell,TX1530001,714,"The City is requesting financial assistance from TWDB to determine the exact number and location as well as replacement of the lead and galvanized service lines
within the distribution system.",P,113000
38,45.24,"East Texas MUD of Smith
County",TX2120005,3879,"Proposed project includes identifying lead service lines, design of removal and replacement, and construction work to remove and replace lead lines.",PDC,1311800
39,45.09,Pittsburg,TX0320001,4754,"Planning services for water service line inventory of all service lines (public and private) connected to the public water distribution system. Design, bidding, inspection, and construction administration for replacement of an estimated 2171
lead service lines to be confirmed in the lead service line inventory phase.",PDC,15969407.84
40,44.61,Ames-Minglewood WSC,TX1460005,1704,"Proposed project includes identifying lead service lines, design of removal and
replacement, and construction work to remove and replace lead lines.",PDC,856200
41,44.44,Daingerfield,TX1720001,4047,"Identify, map, and inventory service connections. Replace non-compliant service
lines.",PDC,1950000
42,44.28,Post,TX0850001,5471,Inventory and Replace Lead Service Lines.,PDC,3414817
44,44.23,Graham,TX2520001,8903,This project included identifying and replacing lead service lines.,PDC,8699876
44,44.23,Mount Vernon,TX0800001,2662,"Planning services for water service line inventory of all service lines and replacement
of lead service lines.",PDC,5017550
45,44.21,Breckenridge,TX2150001,5807,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,379000
46,44.16,Jacksonville,TX0370002,14544,"Proposed project includes identifying lead service lines, design of removal and
replacement, and construction work to remove and replace lead lines.",PDC,5375400
47,44.09,Plainview,TX0950004,20919,"The city of Plainview is planning on replacing all water meters in the system.As part
of the meter replacement, the contractor will be documenting the service line material and is expected to have documentation complete and ready for review by May 2024. The information obtained from the survey will be used to determine the size and scope for lead service line replacement. This funding will be used to replace all identified lead services when necessary.",C,2000000
48,43.99,Redwater,TX0190008,4356,Replace Lead Service Lines that have been identified in the project area.,PDC,2300000
49,43.45,Stephens Regional SUD,TX2150007,4809,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,297000
50,43.41,Junction,TX1340001,2500,"The City of Junction is requesting funding for the Lead Service Line Inventory and Replacement. This project is to include the work required to identify the material of all the service lines and develop an inventory, planning and designing for all lead
service lines replacements, and site restoration required.",PDC,640260
51,43.38,Tuscola-Taylor Co WCID # 1,TX2210010,745,Identify and Replace Lead Service Lines.,PDC,2134354
52,43.32,Stephenville,TX0720002,23110,This project included identifying and replacing lead service lines.,PDC,17686100
53,43.31,Coleman,TX0420001,4136,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,5994910
54,43.23,Huntington,TX0030002,2121,"The intent of this project is to identify all lead service lines within the distribution
system and replace/upgrade these service lines.",PDC,1028000
55,43.2,River Acres WSC,TX1780013,2700,"Identify and continue upgrading aging infrastructure by replacing old lines that may
be impacted by lead contamination.",PDC,4323085
56,43.17,Sweetwater,TX1770002,11198,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,482000
57,43.14,Stamford,TX1270003,3101,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,286000
58,42.87,Ballinger,TX2000001,3862,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,340000
59,42.6,Winters,TX2000003,2345,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,266000
60,42.48,Slaton,TX1520004,6052,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,335000
61,42.45,Electra,TX2430002,2715,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,3813034
62,42.37,Harlingen Water Works System,TX0310002,85900,"Survey and inventory of service lines that may have experienced lead exposure.
Replace water service lines that have been identified as having any lead.",PC,2185000
63,42.34,Alice,TX1250001,17891,"Phase I, to purchase a trailer-mounted hydro-excavator and truck to transport the
hydro-excavator; funds to reimburse pay for City Staff doing the inventory; funds to pay for clerk who will input into TCEQ/EPA excel spreadsheet, the inventory data; funds to hire a consulting firm to locate service lines with GIS map coordinates, to investigate and to determine material of service lines, and to categorize such lines to determine non-lead or lead for replacement. These activities and investigations will enable the City to have a more accurate figure to be determined for sampling requirements under the rule, excavation, and for the replacement cost of known lead service lines immediately upon their discovery.",P,755320
64,42.29,Fredericksburg,TX0860001,14500,"Complete a service line inventory and replace identified lead service lines in
accordance with the Lead and Copper Rule Revisions. Project will prioritize replacement of lead service lines starting with schools and daycare facilities, and then replace the remaining lead service lines found in the system.",PDC,1300000
65,42.17,Alpine,TX0220001,6000,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,6011144
66,42.16,Redland WSC,TX0030028,3637,"The intent of this project is to inventory all lead service lines within the distribution
system and replace them with new service lines.",PDC,1082000
67,42.07,Wills Point,TX2340005,6648,"Proposed project includes identifying lead service lines, design of removal and replacement, and construction work to remove and replace lead lines.
City expects to use Force Accounting agreement to complete parts of the LSLR
inventory.",PDC,631400
68,41.98,Atlanta,TX0340001,5495,Inventory and replace lead service lines.,PADC,1629498.79
69,41.92,Corsicana,TX1750002,24190,"Inspect all meters and connections in distribution system where lead services could
exist.",PDC,98000
70,41.9,Snyder,TX2080001,10753,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,698000
71,41.68,Marshall,TX1020002,23091,"Planning services for water service line inventory of all service lines (public and
private) connected to the public water distribution system. Design, bidding, inspection, and construction administration for replacement of an estimated 850 lead service lines to be confirmed in the lead service line inventory phase.",PDC,7450615
72,41.57,Wilmer,TX0570018,6690,"By undertaking this project the City intends to eliminate lead water services from their system if any are identified.
This project will be approached in two phases. The first phase will be to perform the EPA and TCEQ mandated lead service inventory and submit said inventory to TCEQ well in advance of the October 2024 deadline. The second phase of the project will be to replace all identified lead services with appropriate new water service materials. This second phase will include planning, design, stakeholder coordination and
construction services.",PDC,2438573.75
73,41.56,Terrell,TX1290006,18897,"Project consists of identifying the pipe type for both public and private service lines for approximately 6,000 accounts. Cost estimate is based on contracting work to identify the type of pipe and an estimated 500 service line replacements from the city meter to the house/business connection and 100 services from the main to the
household/business.",PDC,4547000
74,41.54,Athens,TX1070005,20334,Inventory and identify all known lead service lines and replace/upgrade these lines.,PDC,2310000
75,41.49,Poteet,TX0070005,4185,"City of Poteet is requesting funding for the Lead Service Line Inventory and Replacement. This project is to include the work required to identify the material of all the service lines and develop an inventory, planning and designing for all
lead service lines replacements, and site restoration required.",PDC,590300
76,41.38,Van,TX2340004,4038,"Prepare water service line inventory, prepare service line replacement plan, and
design and construct lead and galvanized service line replacements.",PDC,3446730
77,41.27,Coahoma,TX1140002,3552,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,272000
78,41.1,Taylor,TX2460004,20622,"Planning and design of the lead service line replacement program. Replacement of
lead service lines.",PDC,1750000
79,40.98,Eastland,TX0670002,3900,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,308000
80,40.91,Albany,TX2090001,1983,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,262000
81,40.81,Sonora,TX2180001,2766,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,315000
82,40.67,Del Rio,TX2330001,36506,"Replace lead service lines from meter to first tap on all connections that have been
identified.",PC,2018750
83,40.5,Aspermont,TX2170001,1015,Inventory and Replace Lead Service Lines.,PDC,3300000
84,40.47,D & M WSC,TX1740010,6570,"The intent of this project is to identify all lead service lines within the distribution
system and replace/upgrade these service lines.",PDC,1545000
85,40.42,Dog Ridge WSC,TX0140044,4713,"To develop the inventory, a review of historical records to determine service line
construction materials will be conducted. Should previously mentioned methods not identify the required information, visual observation, water quality sampling (non-compliance), excavation, vacuum or hydro-excavation, statistical analysis, or other emerging technologies will be used to confirm service line construction material.Once all required inventory information is obtained, the TCEQ required detailed inventory document will be created for submission by Dog Ridge Water Supply Corporation.
From the inventory information, a plan for replacement of lines will be determined and costs for replacement will be developed. Dog Ridge Water Supply Corporation plans to apply for funding to accomplish the replacement of lead lines in future TWDB applications. Additionally, as part of this application, Dog Ridge Water Supply Corporation will be creating a GIS of the system to manage the data collected through the inventory process as well as update system information as updating of
lines is completed.",P,337800
86,40.15,Mason,TX1600001,2114,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,300000
87,40.06,Troy,TX0140037,2350,"The project will include a comprehensive and accurate inventory of water service
lines, including locating and mapping, as required by EPA/TCEQ to identify whether lead service lines are present or not for both the City of Troy and the customers.
Historical records will be reviewed including but not limited to construction and plumbing codes or ordinances, County ClerkÅfs office or County Appraisal District records, water system distribution maps, engineering drawings or capital improvement plans, water system standard operating procedures, historical records on each service connection and meter installation, and inspections and records of distribution system including customerservice inspection records and service
agreements.",P,286100
88,40.04,Cisco,TX0670001,3786,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,305000
89,39.75,Denison,TX0910003,22682,"The first phase will be to perform the EPA and TCEQ mandated lead service
inventory and submit said inventory to TCEQ we in advance of the October 2024 deadline. The second phase of the project will be to replace all identified lead services with appropriate new water service materials. This second phase will include planning, design, acquisition and construction services to replace identified lead (galvanized downstream of lead) services. This second phase will include planning, design, stakeholder coordination and construction services.",PDC,114198902
90,39.57,Sherman,TX0910006,42762,"Field Verification of Service Line Material: Based on the initial inventory prepared
during Phase 2, priority areas will be identified for field inspections. This phase will include field work through a contractor, program management and data management. The City plans to field verify 10% of their unknowns per year over the next 10 years. Monitoring and ÅgFind and FixÅh Plan: In this phase, the sampling plan will be updated per the new compliance requirements and additional non-compliance sampling to observe lead concentrations will be conducted before the compliance deadline. Lead Service Line Replacement Planning and Mitigation: A Lead Service Line Replacement Plan will be developed as required for compliance with the LCRR outlining the goals, customer coordination, funding and other considerations for lead service line replacement activities. This phase also covers construction costs and program oversight required to replace lead service lines, lead fittings and lead connectors identified in the system during Phases 2 and 3. It includes activities required to support the replacements, such as design, legal measures and public communication, and additional water sampling required to monitor the effectiveness of the line replacements.",PC,6515535
91,39.35,Abilene,TX2210001,123886,"This project consists of replacing service lines that contain lead in the CityÅfs service
area.",PDC,12998141
92,39.26,Monahans,TX2380001,6953,"Inventory of the materials of construction and replacement of the lead and galvanized
water service lines in the distribution system.",P,409000
93,39.24,Denver City,TX2510001,5000,"Inventory, Design and Replace lead service lines.",PDC,2943700
94,39.2,Cleburne,TX1260003,30573,"The project will include completion of a lead service line inventory, supplemental lead sampling, planning and design for infrastructure, design and construction cost for removal/replacement of goosenecks/pigtails/connectors/service lines and acquisition
of temporary water filter systems for affected households.",PDC,48492400
95,39.19,Brownsville,TX0310001,176362,"This project will consist of the following: Lead Service Line Inventory, Lead
Replacement Plan, and Public Education & Notification Program.",PC,10796190
96,38.64,Ennis,TX0700001,21203,"This project will identify, map, and inventory service connections within the City of Ennis including evaluation of piping material. The inventory will identify lead service lines which will then be replaced with TCEQ compliant service line from the main to
the structure.",PDC,3050000
97,38.53,Tyler,TX2120004,104798,"Inventory, Identify and replace all lead service lines.",PDC,2000000
98,38.42,Big Spring,TX1140001,27282,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,16106339
99,38.38,San Angelo,TX2260001,101004,"Field verification of service line material, monitoring and lead service line
replacement plan, LSL replacement.",PC,12607779
100,38.29,White Oak,TX0920006,6469,"Identify, map, and inventory service connections. Replace non-compliant service
lines.",PDC,2300000
101,38.15,Weatherford,TX1840005,27900,"The initial phase of this project will be focused on developing an initial service line inventory based on the best available data and a prioritized plan for investigation of unknown service lines. Assumptions for potential lead service line replacements are included herein for the subsequent phase of field investigation and replacement of
lead service lines.",PDC,14982440
102,38.1,Duncanville,TX0570007,39500,"This project will be approached in two phases. The first phase will be to perform the lead service inventory and submit said inventory to TCEQ. The second phase of the project will be to replace all identified lead services with appropriate new water service materials. This second phase will include planning, design, stakeholder
coordination and construction services.",PDC,21181293.44
103,37.73,Galveston,TX0840003,50180,"Phase 1 Å\ LCRR Effort Assessment and Initial Inventory. Phase 2Å\ Service Line
Inventory Development& Continued Material Verification. Phase 3Å\ Sampling Plan, LSLR Plan, and Public Communications. Phase 4Å\ Lead Service Line Replacement and Mitigation.",PC,24287610
104,37.43,Waco,TX1550008,143355,"The in-progress Service Line Inventory is a 100% inspection of public and private service line material at the meter box for each service line connection, along with a review of the documentation for each service. The City of Waco intends to replace any lead public service line, any private lead service or any private galvanized service identified as galvanized requiring replacement service line as part of the
Service Line Inventory and Service Line Replacement Project.",C,20000000
105,37.2,Fort Worth,TX2200012,853762,"As part of this project, the Fort Worth Water Utility intends to replace water service
lines that are lead, including galvanized services downstream of lead based on EPA's expanded definition of a lead service line.This project will involve the replacement of approximately 1,200 known customer-owned lead service lines and known galvanized service lines requiring replacement. All of the homes requiring lead service line replacement are located in disadvantaged communities. The DWSRF will be allocated to fund the inspection, design, and replacement of all lead service lines as defined by EPA and eliminate disparities across our water system.",C,13270000
106,36.63,Euless,TX2200031,56160,"Service line inventory for all service lines constructed prior to the Texas lead ban effective date of July 1, 1988, along with inventory of all unknown service lines throughout the City of Euless. Replace all services connected to galvanized iron
water mains and any lead services identified.",PDC,20191714
107,36.59,Lubbock,TX1520002,266263,"Project is to replace identified lead service lines from the Lead and Copper Rules Revision inventory. Project will prioritize replacement of lead service lines starting with schools and daycare facilities, and then replace the remaining lead service lines
found in the system.",C,23700000
108,36.56,Dallas,TX0570004,1321740,"Requested funding will be utilized to develop lead services line inventory by reviewing, cataloging, and digitizing existing paper documents and by conducting field investigations where no viable documentation is available.Once the inventory is completed, design and construction projects will be awarded to remove all lead service lines and galvanized lines requiring replacement from Dallas Water Utilities
system.",PDC,32000000
109,36.48,Sunbelt FWSD - Oakglen,TX1010188,693,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,1491300
110,35.81,Bedford,TX2200003,49526,"Inventory and replace all services connected to galvanized iron water mains along with replacing the galvanized iron water mains and any lead services identified during
the service line inventory.",PDC,20009418
111,35.76,New Braunfels,TX0460001,70759,"NBU seeks funding to complete lead service line inventories, accomplish the required planning for the lead line replacement program, perform the design and replacement of lead service lines, cover the land acquisition costs associated with
any required easements or construction",PADC,20011000
112,35.4,San Antonio Water System,TX0150018,1999472,"Develop Lead service line Inventory. Planning - Inspections. Design - Lead Service Line Replacement Action plan. Construction - Replace lead or galvanized service
line",PDC,2824555765
113,35.31,Garland,TX0570010,239730,"Part of this plan is creating a service line inventory. Based on City records, there are
no lead service lines in use on our side of meters. Garland Water Utilities is seeking funding assistance to visually inspect the remaining unknown customer service lines to complete the service line inventory. We are not seeking funding assistance in the development of the LCRR compliance plan being developed by FNI. With roughly 60,000 unknowns remaining, we are requesting $6,000,000 to complete the customer service line inventory.",C,8168606.86
114,33.75,League City,TX0840007,128412,"Project activities include but are not limited to the identification, planning, design, and replacement of lead/applicable galvanized service lines i.e., removal and replacement of applicable lead/galvanized; site restoration related to service line replacement; applicable permit fees; point-of-use devices; development and updating lead service line inventories including locating and mapping; varies methods of investigations, planning and design for aforementioned projects and non-routine
sampling.",PDC,8979000
115,31.75,Plano,TX0430007,288800,"Water Service Line Material Field Inventory project to determine the water line
material on unknown portions of service lines.",P,8000000
116,29.31,Rule,TX1040003,687,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,910689
117,27.92,Gorman,TX0670003,1051,"City is requesting funding to perform a lead service line inventory to meet TCEQ
requirements. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap, corporation stop, service line, and meter stop).",PDC,2440000
118,26.24,Strawn,TX1820005,696,Identify and Replace Lead Service Lines.,PDC,1696983
119,26.12,Melvin,TX1540003,300,"Project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,480536
120,25.54,Rising Star,TX0670005,835,"City is requesting funding to perform a lead service line inventory. Following the
inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap, corporation stop, service line, and meter stop).",PDC,1950000
121,25.32,Colorado Co WCID # 2,TX0450014,979,Inventory and replace all lead or galvanized pipes for our customers.,C,95500
122,25.27,Marlow WSC,TX1660014,576,"Conduct Lead and Copper testing, design and replace all water service connections
that are currently contaminated.",DC,451800
123,25.14,Weinert,TX1040004,157,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,359510
124,25.12,Honey Grove,TX0740003,1668,"Perform inventory assessment. Design required for replacement of lead service lines
including acquisition. and Construction of proposed improvements.",PADC,3664980
125,24.94,Ranger,TX0670004,2500,"City is requesting funding to perform a lead service line inventory. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap,
corporation stop, service line, and meter stop).",PDC,4700000
126,23.87,Morton Valley WSC,TX0670018,717,"WSC is requesting funding to perform a lead service line inventory. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap,
corporation stop, service line, and meter stop).",PDC,1400000
127,23.68,Goliad,TX0880001,1976,"Identify, Inventory and Replace Lead Service Lines.",PDC,476160
128,23.28,Sunbelt FWSD - Heather Glen,TX1010419,2919,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,4220800
129,23.14,Bangs,TX0250001,2787,"Identifying lead service lines in the CityÅfs service area and replacing service lines that
contain lead.",PDC,3026007
130,22.97,Goldthwaite,TX1670001,1738,"Identifying lead service lines in the CityÅfs service area and replacing service lines that
contain lead.",PDC,3774693
131,22.95,Lincoln WSC,TX1440006,750,"Assess each meter to determine type of materials and supplies required to maintenance from water main to existing house. After recognizing required materials, purchase, and replace necessary equipment. Utilize contract labor if needed.",PAC,98850
132,22.8,Comanche County WSC,TX0470027,329,"Identifying lead service lines in the service area and replacing service lines that
contain lead.",PDC,2625000
133,22.71,Bronte,TX0410001,999,"Identifying lead service lines in the service area and replacing service lines that
contain lead.",PDC,2525000
134,22.48,Wharton Co WCID # 2,TX2410001,2190,Inventory of Water Service Lines.,PDC,11508020
136,22.46,Baird,TX0300001,1500,"City is requesting funding to perform a lead service line inventory to meet TCEQ requirements. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house
(service tap, corporation stop, service line, and meter stop).",PDC,4275000
136,22.46,Cross Plains,TX0300003,982,"City is requesting funding to perform a lead service line inventory. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap,
corporation stop, service line, and meter stop).",PDC,2550000
137,22.39,Lueders,TX1270007,346,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,614378
138,22.22,Sheridan WSC,TX0450016,390,"Do a complete list of inventory on all lead and galvanized lines. Start replacement of
lines.",PDC,554000
139,22.17,Crockett,TX1130001,7755,"The proposed project will begin with the necessary research and field verification to inventory all water service lines and classify them in accordance with EPA guidance. Following completion of the inventory, all service lines identified for replacement, will
be replaced per EPA guidance.",PDC,5227959
140,22.11,Daisetta,TX1460004,1141,"The City will procure an engineering firm to assist the City in building and managing a
location-based inventory as required by the EPA/TCEQ. The engineering firm will work with the City to identify the service line material, and will help the staff ensure that the City will be in compliance in 2024 and beyond.",P,59800
141,21.97,Highland Park WSC,TX0180071,308,"Extensive historical data research, physical location and identification of pipes
including extrication as needed.",P,18870
142,21.9,Anahuac,TX0360001,2376,"This project would be split into two phases . 1) Inspection/Inventory of lines and 2)
Replacement of lead or copper lines if needed",P,112470
144,21.77,Birome WSC,TX1090017,1728,Identify and/or replace lead Service lines.,P,100000
144,21.77,Streetman,TX0810016,375,"The proposed project will begin with the necessary research and field verification to inventory all water service lines and classify them in accordance with EPA guidance. Following completion of the inventory, all service lines identified for replacement, will
be replaced per EPA guidance.",PDC,1663866
145,21.76,King Creek WSC,TX0180031,160,"King Creek WSC is requesting funding to perform and document a visual service line survey to set a baseline documented inventory to base future LCRR corrective
actions and reporting requirements.",PAC,86730
146,21.74,Ericksdahl WSC,TX1270005,275,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,853328
147,21.56,Archer City,TX0050001,1830,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,3634554
149,21.5,Evant,TX0500015,426,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,1010229
149,21.5,RPM WSC,TX2340016,2751,"To replace line down FM 279 to create and replace line on FM 2010 and chandler
interconnect.",PDC,250000
150,21.41,Leroy-Tours-Gerald WSC,TX1550027,1680,Identify and/or replace lead Service lines.,PDC,300000
151,21.23,Rockdale,TX1660002,5595,Inventory and replacement of lead and galvanized water service lines.,PDC,23410568.5
152,21.21,Meridian,TX0180002,1493,"The City of Meridian is requesting funds to assist in completion of the required
inventory summary and replace any identified lead service lines.",PDC,6000000
153,21.14,Harris Co WCID # 36,TX1010239,11073,"Review existing inventory of potential service leads. Develop LSLR Plan; Public communication of inventory & incentivizing public for engagement in the program; Prepare for finding & fixing assessments; Physical replacement of any lead service
lines & oversight of work",PC,2970000
154,20.95,Sunbelt FWSD - High Meadows,TX1010292,8796,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,8113000
155,20.88,Pine Village PUD,TX1010901,2664,"The proposed project is comprised of two phases which includes the 1) lead service
line inventory and replacement plan, and 2) lead service line replacement. The inventory and replacement plan will identify and include both the public and private sides of the water service lines. Additionally, the inventory and replacement plans will identify possible changes to Lead andCopper sampling within the system, water system reporting, public education requirements, and the introduction of a new lead trigger level.",PDC,2715000
156,20.85,Beeville,TX0130001,12793,"Beeville seeks funding to complete lead service line inventories, accomplish the required planning for the lead line replacement program, perform the design and replacement of lead service lines, and cover the land acquisition costs associated
with any required easements or construction.",PC,2216814
159,20.82,Graford,TX1820003,631,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,1447599
159,20.82,Rankin Road West MUD,TX1012354,1836,"District will undergo an inventory of their service lines to analyze whether lead service lines are present or have been present. The inventory will also include field
investigation.",DC,70000
