Loan Applicant,L17#,Project Description             ,Facility No.,"Estimated Construction
Start","Projected
Loan Amount","Disadvantaged Community
Principal
Forgiveness","Service
Population","Loan Priority
Score"
DOLTON,5270,"REPLACEMENT OF 2,200 WATERMETERS & METER READ SYSTEM",ll0310690,2022-09-01 0:00:00,2000000,1000000,23153,180
FREEPORT,5676,PHASE 4 - WATERMAIN REPLACEMENT (ADAMS & CLINTON AVE),IL1770200,2022-11-02 0:00:00,4000000,1250000,23973,180
ST.ANNE,5785,LOOP ANO REPLACE WATERMAINS,ll0910700,2022-09-01 0:00:00,2270000,1135000,1209,180
WESTFIELD,5781,NEW WATER METERS,IL0230200,B/1/2022,320000,160000,728,175
BLOOMINGTON,5686,PHASE 4- WATERMAIN REPLACEMENT & LOOPING,IU130200,2023-03-01 0:00:00,2000000,N/E,77962,170
COAL CITY,3512,EXPANDING WATER TREATMENT PLANT AND DRILLING A NEW DEEP WELL,ll0630200,2022-09-01 0:00:00,6016260,1250000,6077,170
HARDIN COUNTY WO,5704,PHASE 2 - WATERMAIN REPLACEMENT,lt0695000,2023-02-28 0:00:00,950000,475000,1000,165
SAYBROOK,5624,NEW ELEVATED WATER STORAGE TANK & WTP UPGRADES,IU130950,2022-07-01 0:00:00,1573000,786500,693,165
TAYLOR SPRINGS,5991,"WATERMAIN, VALVE AND HYDRANT REPLACEMENT {PF Limited}",IL1350650,2022-12-31 0:00:00,1200000,600000,690,165
ELVERAOO WATER DISTRICT,6096,"REPAINT & REPAIR 100,000-GALLON WATER TANK",IL0770010,2022-11-03 0:00:00,"$355,500",177750,660,160
HEYWORTH,4221,WATERMAIN REPLACEMENT,IU1306S0,2022-05-01 0:00:00,2400000,1200000,3000,155
QUINCY,5752,PHASE 3 lMPROVEMENTS- NEW FINISHED WATER PUMPING STATION,!L0010650,2022-06-27 0:00:00,"$7,500,000",N/E,42000,155
COULTERVILLE,3205,METER VAULT & TRANSMISSION MAIN FOR NEW WATER SOURCE. CITY OF SPARTA,IU5701SO,2022-08-01 0:00:00,1500000,750000,900,150
JONESBORO,6044,"REHABILITATION OF 261,0DO-GALLON STANDPIPE",IUB10250,2022-10-01 0:00:00,322500,161250,1905,145
THORNTON,1359,RENOVATE STORAGE TANK ANO REPLACE METERS,ll0313090,2022-10-31 0:00:00,2900000,1250000,2367,145
BRACEVILLE,4573,SERVICE LINE ANO WATERMAlN REPtACEMENT ANO tOOPING,lt0630050,2023-01-31 0:00:00,2000000,1000000,775,140
SEATON,5915,TRANSMISSION MAIN REPLACEMENT & SYSTEM LOOPING,lt1310350,2022-11-16 0:00:00,1361000,680500,222,140
WEST FRANKFORT,6003,PHASE 2 -WATER METER REPLACEMENT,IL0550700,2022-12-30 0:00:00,800000,400000,8500,140
XENIA,5776,"REPLACE 3,650 FT OF WATER MAIN",IL02S0300,2022-10-17 0:00:00,303000,151500,391,140
HENDERSON,5924,"INSTALL 50,000-GALLON WATER STORAGE TANK & DEMOLISH OLD TANK",IL0950250,10/1/2022,"$1,080,850","$540,425",241,135
GLENDALE HEIGHTS,3455,IMPROVE BOOSTER PUMP STATIONS & ALTITUDE VAtVE STATION,lL0430400,3/15/2023,"$3,500,000",N/E,33351,130
MURPHYSBORO,1443,REPAINTING & REPAIRING BOTH ELEVATED TANKS,1L0770500,8/1/2022,950000,475000,11613,130
JOLIET,6074,"REPLACEMENT OF 21M! OF WATERMA!N ($37,323,000 requested)",IU970450,2023-03-01 0:00:00,34528754,N/E,148693,130
