Rank,Points,Entity,PIF #,PWS ID,Name of Project,Project Description,Emerging Contaminant(s),Requested Phase(s),Total Project Cost
11,205,Trinity River Authority of Texas,17926,TX2200199,Tarrant County Water Supply Project PFAS Treatment Project,"The proposed project will include design and construction of 87 million gallons per day (MGD) of granular activated carbon (GAC) installed in deep-bed gravity contactors at Tarrant  County Water Supply Project (TCWSP) Treatment Plant to treat PFAS, specifically perfluorooctanesulfonic acid (PFOS). The use of granular activated carbon will physically remove PFOS from the water bringing TCWSP to compliance with the USEPA MCL for PFOS.",PFOS,DC,310000000
12,205,Arlington,17909,TX2200001,City of Arlington Pierce-Burch Water Treatment Plant PFAS Treatment,"The project for Arlington Water Utilities (AWU) entails the design and construction of PFAS removal technologies based on previously identified PFAS concentrations. All of the improvements to address PFAS will be implemented at the Pierce-Burch Water Treatment Plant. Final improvements will be determined by the findings from bench and pilot scale testing various PFAS removal technologies. The bench and pilot scale testing is currently ongoing and includes additional sampling for specific PFAS compounds as well as conceptually evaluating the feasibility of PFAS removal technologies before, with, or downstream of the existing biological active filters.",PFAS,DC,173000000
13,200,Brushy Creek MUD,17924,TX2460061,Water System Remediation,"Design and construction of the following: (1) New building at the water treatment plant to house GAC treatment units or other technology selected during the design process capable of treating 8 MGD. (2) New storage tanks to receive water treated from the existing membrane units and additional pumps to pump from the new storage tanks through the GAC units (or other technology selected during the design process) into the existing clearwell. Additional on-site piping, adjustments to chemical  feed systems and piping and adjustments and additions to SCADA and other control systems as required to accommodate the new treatment units.",PFAS,PDC,14537000
14,190,City of Colorado City,17912,TX1680001,Lithium Removal,"The City of Colorado City has identified lithium levels above
0.010 mg/L in their drinking water supply. The City is proposing a new reverse osmosis water treatment plant installation that will be used to reduce lithium level prior to water entering distribution.",Lithium,PDC,15900000
15,185,Johnson County SUD,17919,TX1260018,JCSUD Emerging Contaminants Reduction Improvements,"The proposed project includes the use of reverse osmosis (RO) and granular activated carbon (GAC) technologies to reduce emerging contaminants from its source water. JCSUD is proposing a new Reverse Osmosis Water Treatment Plant (RO WTP). JCSUD has historically relied on a combination of groundwater and surface water supplies. However, with the rapidly declining capacity and quality of local shallow, freshwater groundwater aquifers due to overdevelopment of the groundwater supply by residential and commercial developers over the past 30 years, current and future water demands will need to rely on surface water supplies and/or deeper, brackish groundwater supplies. Additionally, the area is seeing rapid growth and needs additional drinking water. An asset management plan will also be included as part of the project.",PFAS,PADC,396827000
16,182,Acton Municipal Utility District,17907,TX1110007,"AMDU/SWATS
Improvements","The surface water treatment facility operated by AMUD treats water via a combination of UF, RO and conventional treatment systems. The proposed project would include upgrades to the UF and RO systems, including bringing a currently un-used RO train on-line, as well as the inclusion of a granulated activated carbon (GAC) filter system to
treat blend water treated by conventional methods for PFAS contamination. AMUD not only serves customers within their MUD, but also as water wholesalers to several SUDs and WSCs.",PFAS,DC,35318000
17,180,Sandbranch Development and Water Supply Corporation,17925,none,New Water Supply in Sandbranch to Avoid Contaminated Wells,"The Sandbranch Development and Water Supply Corporation has been operating since 2016 and have been in the planning stages for a project to install a pump station with storage, pumps, and disinfection facilities. The Sandbranch Development & WSC would enter into a wholesale water purchase agreement with Dallas Water Utilities (DWU).
Securing funding will allow them to continue with their design efforts to propose an interconnect, negotiate the agreement with DWU, receive TCEQ approval for plans and specs, obtain a CCN to serve the area, and deliver first-time service to the deserving folks in Sandbranch.","Naphthalene, PFOS",PADC,10015800
18,132,Manville WSC,17921,TX2270033,"Edwards Aquifer Wells Project, Phase 2","As part of the State Fiscal Year 2025 (SFY25) Drinking Water State Revolving Fund Emerging Contaminants (DWSRF-EC) Program, Manville WSC submitted an application for a centralized treatment project, including a transmission main, to mitigate PFAS levels in the Springbrook Pressure Zone. For SFY26, this proposed project scope includes the planning, design, and construction of an offsite ground storage tank (GST) and booster pump station to allow additional Edwards Aquifer wells with elevated lithium and PFAS to be shut down. Manville WSC intends to pursue land acquisition with local funds to acquire land near the edge of the Springbrook Pressure Zone for the proposed project. The proposed scope includes decommissioning the remaining seven (7) untreated Edwards Aquifer Wells that are affected by Emerging Contaminants. In lieu of this contaminated supply, the GST would receive water from a different pressure zone in Manville WSC’s system which does not have any known PFAS exceedances or lithium concerns.","PFAS, Lithium",PADC,25700000
19,115,City of Goldthwaite,17917,TX1670001,Emerging Contaminants Planning,The City of Goldthwaite has performed test its drinking water sources. Results have shown evidence of several different PFAS substances. The City is requesting planning funding which will be used to study the PFAS substances present and determine the best course of action towards treating these substances in the drinking water supply.,PFAS,P,75000
20,85,Agua Special Utility District,17908,TX1080022,Agua SUD Emerging Contaminants Project,"This project will provide planning and feasibility study for laboratory testing, and preliminary engineering planning design services to address the PFAS identified in water produced by existing treatment plants. This work will include review of existing treatment processes and water quality data, laboratory testing to evaluate applicable PFAS monitoring, removal technologies and development of a preliminary design to retrofit the recommended treatment components into the existing facilities.","Lithium, PFBA, PFHxA, PFPeA",P,1400000
