Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
14,97.75,16867,Palestine,M,TX0010001,"31,272",New Water Wells and waterline replacements.,PDC,"$14,850,000.00",70%,Yes-BC,,
15,95.38,16888,Ranger,M,TX0670004,"2,629","The City of Ranger intends to replace; over 8 miles of existing
distribution lines with new C900 PVC water lines, over 1,000
existing water meters with new AMI meters, replacement of fire
hydrants. The City intends to construct a new 500,000 gallon
composite elevated storage tank to increase storage capacity as
the current standpipes usable capacity is limited. The installation
of a new groundwater well will increase overall supply but more
importantly provide a redundant source of water. SCADA system
improvements will also be incorporated along with the
improvements above. An Asset Management Plan will also be
provided.",PADC,"$17,998,000.00",70%,Yes-CE,"$7,975,000.00",
16,92,16918,New Summerfield,M,TX0370028,"1,428","Addition of an elevated storage tank to the existing system.
Addition of water well to the existing system.  New and
replacement of waterlines.",PAC,"$4,470,000.00",70%,Yes-BC,"$700,000.00",
17,88.5,16962,G & W WSC,W,TX0930048,"5,188","The project involves the construction of a new 500 GPM well and
the installation of approximately 10,000 linear feet of raw water
line to address elevated gross alpha levels in the existing drinking
water supply.",PADC,"$7,425,000.00",,,,
18,86.25,17012,Red River Authority,D,TX0910037,"1,770","System Improvements to meet regulatory compliance and serve
water regionally, including upgrading the Preston Shores
treatment plant, constructing a new raw water intake structure, a
new elevated storage tank, new high capacity service pumps, and
adding a new onsite back up generator.",PDC,"$8,747,500.00",,Yes-BC,"$400,000.00",
19,84.67,16709,Rayburn Country MUD,D,TX1210014,"2,976","The PWS has some facilities that are due to be upgraded to keep
up with demand/regulations as well as some rehabilitations of
existing facilities that are at the end of their design life.",PADC,"$4,155,230.00",,,"$100,000.00",
20,82.8,16602,East Tawakoni,M,TX1900011,"1,043",Replace undersized and failing distribution lines. Rehab ESTs.,PDC,"$5,785,000.00",70%,,,
21,76.25,17056,Lake Livingston WSSSC,W,TX1870166,"6,011","Water transmission lines to connect Wiggins Village #'s 1 & 2,
Putnam's Landing, Lake Livingston Estates 2 & 3, Lake Livingsto
Estates 1, Oakridge North, and the State Park to the
Pineshadows East system to create a regional drinking water
system.",PDC,"$23,474,112.00",70%,,,
22,74.5,16589,Ballinger,M,TX2000001,"3,862","The City of Ballinger has proposed several water treatment plant
(WTP) improvements along with storage upgrades and
replacement of distribution and transmission lines in various
locations of the distribution system and an asset management
plan.",PDC,"$28,000,000.00",,Yes-BC,"$15,000,000.00",
23,74,16613,Upper Leon River MWD,D,TX0470015,"19,008","The proposed project includes improvements at the Water
Treatment Plant to address the aging infrastructure including
rehabilitation of existing media filters, rehabilitation of Clarifier No.
2, clearwell improvements, backup generator improvements, and
membrane facilities expansion.",PDC,"$16,675,400.00",70%,Yes-BC,"$6,313,000.00",
24,70.75,16783,Alamo,M,TX1080001,"20,008","This project will include the development of a brackish ground
water well and installation of reverse osmosis water treatment
facilities to augment the City of Alamo's source of surface water
supply due ongoing surface water shortages in the Rio Grande
Valley area. This project will provide for the treatment of 1.0 MGD
of brackish ground water and will serve as an alternate source of
water due for the City of Alamo  water service area and
community. The project also includes the preparation of an Asset
Management Plan.",PDC,"$18,891,000.00",70%,Yes-BC,"$18,891,000.00",
25,70,16903,Gatesville,M,TX0500002,"16,135","The Gatesville Water System Electrical Resiliency Upgrades
Project will modernize and strengthen the system’s electrical and
communications infrastructure, enhance operational reliability, an
bolster security at multiple sites. Across the Water Treatment
Plant, Raw Water Intake, Booster Pump Stations, the South
Mountain Tank, and other facilities, outdated electrical equipment
and generators will be replaced, while new SCADA systems,
instrumentation upgrades, and cybersecurity measures will ensur
precise monitoring and reduce downtime risks. By collectively
addressing these critical improvements, the project will safeguard
water service reliability, meet regulatory requirements, and
improve overall system performance.",DC,"$66,323,800.00",70%,,,
26,67.58,16914,Stryker Lake WSC,W,TX0370033,978,Replacement of existing waterlines,PDC,"$1,000,000.00",,,,
27,67.25,16646,Kingsville,M,TX1370001,"26,213","Targeted projects to improve both the condition and resiliency of
the City of Kingsville's water distribution system.",PADC,"$19,650,000.00",70%,Yes-CE,"$500,000.00",
28,66.5,16939,Red River Authority,D,TX0780014,260,"Project will make  improvements in the RRA Foard County
System for the Smith and Self Pump Stations, including tank
rehabilitation and pump station upgrades.",DC,"$998,000.00",,,,
29,66,16921,O'Donnell,M,TX1530001,714,"Improvements to the distribution system including line
replacement, pumping, ground storage improvements, and
additional water production.",PDC,"$16,042,000.00",70%,Yes-BC,"$16,043,000.00",
30,66,16863,Winters,M,TX2000003,"2,345","The City of Winters’ distribution system and raw water
transmission line is composed of aging and deteriorating water
lines that need replacement. The City proposes to replace parts o
the distribution system. The project includes the preparation of an
asset management plan.",PDC,"$3,825,000.00",70%,Yes-BC,"$3,825,000.00",
31,61.25,16925,Strawn,M,TX1820005,759,"The City of Strawn is proposing water treatment plant
improvements, Desdemona pump station improvements, and a
proposed chloramine injection system upstream of the master
meter with the Palo Pinto Mountains State Park.",PDC,"$1,125,000.00",70%,Yes-BC,"$250,000.00",
32,61,16644,Sharyland WSC,W,TX1080033,"97,998","SWSC is seeking funding through the DWSRF to enhance servic
delivery and improve the overall performance, redundancy, and
resilience of its water distribution system. Proposed projects
include expanding pressure zones, implementing looping and
gridding throughout the system to address low pressure areas an
enhance service levels for customers, adding a new booster pum
station at an existing elevated storage tank (EST), and expanding
capacity and upgrading performance at existing water treatment
plants (WTPs) and distribution infrastructure.",PDC,"$18,140,000.00",70%,,,
33,60,17118,Texas Airstream Harbor Inc,P,TX0030053,301,"The Texas Airstream Harbor project consists of a complete water
system upgrade and replacement. The project includes replacing
and upsizing all of the distribution lines, installing a new ground
24,000-gallon storage tank, installing a new pressure tank,
installing new service pumps and building, and providing water w
treatment for corrosivity.",PDC,"$1,525,000.00",70%,Yes-BC,"$1,525,000.00",
34,58.67,17053,Lake Livingston WSSSC,W,TX1870166,"6,011","Expand the existing surface water treatment capacity from 1.0
MGD to 2.0 MGD.",PADC,"$20,985,420.00",,,,
35,56.3,16812,Blanco,M,TX0160002,"3,192","The City of Blanco faces a number of challenges regarding their
water system. These challenges include: 1. Rehabilitation of
existing water tower; 2. Construction of additional water tower; an
3. Aging and undersized water infrastructure throughout the city",PDC,"$5,205,000.00",,,,
36,56.13,16724,Olmito WSC,W,TX0310026,"10,500","This project will include the development of a brackish ground
water well and installation of reverse osmosis water treatment
facilities to augment Olmito WSC's source of surface water suppl
due ongoing surface water shortages in the Rio Grande Valley
area. Additional water supply capacity is currently needed based
on the number of active connections and ACR in place. This
project will provide for the treatment of 1.0 MGD  of brackish
ground-water and will serve as an alternate source of water for th
service area and community in addition to improving water supply
reliability. The project also includes the preparation of an Asset
Management Plan.",PDC,"$20,800,000.00",70%,Yes-BC,"$19,568,000.00",
37,56,16843,Valley WSC,W,TX0630013,270,"It is proposed to replace portions of the failing distribution system,
loop areas to reduce stagnant water, install new water meters,
and install insolation valves throughout the distribution system an
an asset management plan.",PDC,"$9,703,000.00",70%,Yes-BC,"$9,703,000.00",
38,55,17115,Petrolia,M,TX0390002,404,"The project includes design, planning, construction, renovation,
improvements and upgrades to equip the City of Petrolia's water
system to avoid TCEQ and EPA compliance issues and restore
reliability to the water system. The rehabilitation or replacement of
a 1930s Water Tower, four 29-year-old (avg.) ground storage
tanks, a failing overhead water line river crossing, and new water
wells and well improvements are included in the scope.",PDC,"$1,379,000.00",70%,,,
39,54.75,16822,Cisco,M,TX0670001,"6,534","The City of Cisco seeks to replace the entire distribution system
from the water treatment plant and all throughout the city, along
with a parallel line running from the water treatment plant to the
college pump station. The high service pump station needs to be
rehabilitated. The EQ basin pump is old and needs to be
rehabilitated. The development of an Asset Management Plan will
also be included as part of the proposed project.",PDC,"$96,405,400.00",70%,Yes-BC,"$96,405,400.00",
40,52.5,16621,Quanah,M,TX0990002,"2,279","Waterline replacement north of 287 to rail road tracks and West
of 6.",PDC,"$8,885,000.00",70%,,,
41,51.75,17007,Moulton,M,TX1430002,854,"Construction of two new water wells to replace wells 2 & 4 and
abandonment of wells 2 & 4. Update the capacity of the water
treatment plant to include 3 generators with auto transfer switch,
connection to raw water lines, instrumentation, control, and
electrical for two wells, yard piping, security fencing, and grading.
Install new Smart Metering System",PDC,"$12,500,000.00",70%,Yes-BC,"$6,000,000.00",
42,51.75,16946,Fort Griffin SUD,D,TX2090005,"3,690","The project consists of replacing existing water lines in order to
reduce water loss as well as rehabilitating two elevated tanks.",PDC,"$4,950,000.00",,Yes-BC,"$3,880,000.00",
43,51.5,17076,Melvin,M,TX1540003,123,"Rehabilitating Melvin's disinfection site, implementing a Drive-By
AMR Meter System, and replacing outdated AMR meters for
accurate consumption data. New 8"" gate valves will also be
installed, and aging 8"" and 6"" water lines will be replaced to
improve flow, pressure, and system reliability.",PDC,"$400,000.00",70%,,,
44,51,16868,Daingerfield,M,TX1720001,"2,522","Repair or replacement of existing water distribution facilities and
construction of new water distribution facilities",PDC,"$3,810,000.00",70%,,,
45,50.5,16819,Christian Life Center,P,TX1520219,31,"The Christian Life Center is a non-profit community water system
that serves 17 connections in Lubbock County. Christian Life
Center is under enforcement for an MCL exceedance of 1,1-
Dichloroethylene (1,1-DCE). The system is proposing to install a
low-profile tray aeration system to treat the groundwater to
compliant standards. In addition to the treatment system, it is also
proposed to install water meters to help quantify water losses and
facilitate water management. The system will also perform an
asset management plan with this project.",PDC,"$750,000.00",70%,Yes-CE,"$28,600.00",
46,50,16789,Maverick County,C,TX1620003,"1,089","This project intends to provide first-time water service to
residences just north of the existing Quemado water service area
by extending approximately 1,400 linear feet of 12-inch water mai
from the intersection of U.S. Highway 277 and Crocket Ave
heading north, and approximately 6,500 linear feet of 6-inch water
main along Edwards/Day Rd.",PDC,"$1,440,000.00",70%,,,
47,50,16990,Maverick County,C,TX1620003,"1,089","This project intends to provide first-time water service to the
residences within the Lehman Ranch community just south of
Maverick County Airport Water Work's service area. This project
consists of extending approximately 6,500 linear feet of 6-inch
water main along U.S. Highway 277 south to its intersection with
Lehmann Ranch Rd.",PDC,"$1,375,000.00",70%,,,
48,49.5,16705,East Rio Hondo WSC,W,TX0310096,"34,536","ERHWSC is proposing to upgrade a 10-mile section of its water
main from 10” to 20” PVC pipe, increasing capacity to 5.5 MGD.
This will improve water distribution to underserved communities o
the east side and potentially benefit adjacent areas through
regional partnerships. The construction will use both open trench
and directional boring methods.",PADC,"$17,115,165.00",70%,,,
49,49,16568,Jackson WSC,W,TX2120016,"6,454","Funding for JWSC Pipe replacement, Elevated and Ground
Storage Tanks and New well & two (2) New Plants",PADC,"$23,531,290.00",70%,Yes-CE,"$11,242,000.00",
50,49,16875,East Rio Hondo WSC,W,TX0310096,"34,536","ERHWSC currently relies on CCID2 for raw, surface water
delivery, but experiences significant water loss (68.5%) during
drought conditions due to inefficiencies in the existing system. To
address this, an alternative delivery solution was proposed,
featuring a new pump station at the Rio Grande River and a 36”
raw water line to reduce seepage and evaporation. This new
infrastructure aims to provide more efficient, reliable, and cost-
effective water delivery, especially during droughts.",PADC,"$34,000,000.00",70%,,,
51,48.5,16915,Greater Texoma UA,M,TX0740027,453,"Project will address aging infrastructure and add an additional
water well and appurtenances while adding redundancy and
addressing pressure issues within the system.",PDC,"$13,984,598.00",70%,Yes-CE,"$150,000.00",
52,48.5,16928,Medina WSC,W,TX0100013,780,"1.) Finch EST/GST Painting & Renovation. 2.) Proposed two (2)
new PRVs. 3.) Stringtown new 50,000 Gallon GST. 4.) Smart
Water Meters & Water Line Replacement for Leaks. 5.)
Stringtown Pressure Tank. 6.) Asset Management Plan.",PDC,"$1,380,000.00",70%,"Yes-
Comb.","$500,000.00",
53,48,16919,Canyon Park WSC,W,TX1870034,453,Replacement of undersized and inadequate lines.,PDC,"$5,945,000.00",70%,Yes-CE,"$250,000.00",
54,47.75,16908,South Sabine WSC,W,TX2020070,"4,659","The WSC is deficient in the TCEQ minimum water production
requirement.  A new well is proposed to bring the WSC back into
compliance and address water production concerns.  This is a
critical need project.",PDC,"$4,690,000.00",70%,,,
55,47.25,16877,Eastland Co WSD,D,TX0670019,"11,559","Re-clear the pipeline ROW and replace the existing raw water
transmission pipeline with a new fusion-welded, high-density
polyethylene (HDPE) pipeline and an asset management plan.",PDC,"$13,073,370.00",70%,Yes-BC,"$13,073,370.00",
56,46,16594,Loraine,M,TX1680002,602,"Replacement of various portions of the City’s potable water
distribution pipeline and valves.",PDC,"$6,711,000.00",70%,Yes-BC,"$3,995,200.00",
57,46,16910,Spur,M,TX0630012,800,"Replacement of various portions of the City’s potable water
distribution pipeline system, valves, and fire hydrants. An Asset
Management Plan will be developed as part of this project.",PDC,"$5,437,000.00",70%,Yes-BC,"$5,437,000.00",
58,46,17047,Knox City,M,TX1380002,"1,037","The City has a total water loss of 60%, resulting in TCEQ
violations, failing water lines, and an outdated distribution system.
As a resolution, the City plans to directly affect the distribution
system, and the monitoring system through this project. An asset
management plan is included.",PDC,"$15,616,000.00",70%,Yes-BC,"$3,871,492.00",
59,46,16627,Paducah,M,TX0510001,"1,186","The proposed project includes replacement of sections of the
aging and inefficient distribution system; replacement of the main
transmission line that transports the water from Paducah’s well
field to town; and rehabilitation of the three remaining ground
storage tanks at the well field to stop the corrosion that is
prevalent on each of the three tanks, addition of backup
generators per the response to SB 3, and installment of a
membrane treatment system. Preparation of an asset
management plan is also included.",PDC,"$32,088,000.00",70%,Yes-BC,"$32,029,000.00",
60,46,16878,Eden,M,TX0480001,"1,899","The City desires to replace aging water lines that are prone to
breaking and leaking water. The project will reduce water losses
and increase system reliability.",PDC,"$2,557,000.00",70%,Yes-BC,"$2,557,000.00",
61,46,17073,Mason,M,TX1600001,"2,228","Improvements to the distribution system including line
replacement, ground storage improvements, and additional water
production and an asset management plan.",PDC,"$18,373,000.00",70%,Yes-BC,"$18,373,000.00",
62,46,16913,Stephens Regional SUD,D,TX2150007,"3,173","SRSUD is proposing water system improvements to address
growth in portions of the distribution system which includes
upgrading a main arterial distribution main in the system to areas
which are currently limited by the size of main.  Improvements are
also proposed for the water treatment plant (WTP) to address
issues with aging equipment and operational improvements, to
increase treatment efficiency. The pproposed project includes an
asset management plan.",PDC,"$9,513,000.00",70%,Yes-CE,"$9,513,000.00",
63,46,16911,Stamford,M,TX1270003,"4,162","The City of Stamford (City) aims to enhance their water
distribution system by improving its existing distribution lines. The
distribution lines are aging and need to be replaced. Additionally,
the City is addressing maintenance issues by installing additional
isolation valves on the distribution line and also replacing aging
hydrants. An asset management plan is included.",PDC,"$4,643,900.00",70%,Yes-BC,"$4,643,900.00",
64,46,16866,Palacios,M,TX1610004,"4,700","The proposed projects includes replacing aging and undersized
water mains to reduce leakage and minimize service disruptions.
A new groundwater well will be constructed to meet demand, and
Well No. 4 will be rehabilitated to facilitate continued service
reliability. The project will also address serious fire protection
deficiencies by upgrading undersized hydrant lines (1-inch, 2-inch
and 4-inch) to 6-inch mains to provide adequate fire flow.
Additionally, new 200,000-gallon elevated storage tank will be buil
to meet TCEQ storage requirements and improve system
resilience. An asset management plan will be developed.",PDC,"$15,000,000.00",70%,,,
65,46,16657,Crystal City,M,TX2540001,"7,128","The City of Crystal City needs to make improvements to its
drinking water system to remain compliant with environmental
standards, mitigate water loss concerns, address dilapidated
infrastructure, and increase the system’s resiliency. These
improvements are primarily focused on well enhancements,
making improvements to its elevated water storage tank, building
a new well, as well as replacing old iron and asbestos water lines.",PDC,"$32,322,967.00",70%,,,
66,46,16814,Breckenridge,M,TX2150001,"10,616","The City desires to replace water distribution lines and valves.
Various portions of the distribution system are in need of
replacement to reduce the number of water line leaks/breaks that
have resulted in numerous boil water notices.",PDC,"$7,064,000.00",70%,Yes-BC,"$4,872,000.00",
67,46,16824,"Eagle Pass Water Works
System",M,TX1620001,"61,945","Water treatment plant and distribution system improvements to
rehabilitate existing aging infrastructure, and meet capacity and
operational needs",PDC,"$68,353,740.00",70%,,"$6,000,000.00",
68,45.5,16813,Blum,M,TX1090007,434,"The purpose of this project is to replace/upsize undersized water
mains and replace non-working isolation valves.",PDC,"$300,000.00",70%,,,
69,45.5,16741,De Berry WSC,W,TX1830006,989,"To address aging infrastructure and reduce water loss, a project i
proposed to replace small-diameter water pipelines. It includes
installing new pipelines, valves, and related components, coverin
half a mile of replacement.",PADC,"$1,290,000.00",70%,Yes-BC,"$1,290,000.00",
70,45.5,16745,De Berry WSC,W,TX1830006,989,"A project focus on improving the resiliency of the water supply for
DeBerry WSC by constructing a new well.",PADC,"$1,820,000.00",70%,,,
71,45.5,16747,De Berry WSC,W,TX1830006,989,"The project aims to increase well production, rehabilitate
appurtances associated with the wells, carry out winterization and
improve the water quality of the water produced at the wells.",PDC,"$1,990,000.00",70%,,,
72,45.5,16924,Harris Co MUD # 189,D,TX1011809,"6,583","The proposed project consists of the planning, design and
construction of a Surface Water Transmission Line to serve Harri
County MUD No. 189. The major goal of the project is to comply
with the City of Houston Ground Water Supply and Groundwater
Reduction Plan Wholesale Agreement for Area 3 of the Harris-
Galveston Subsidence District by reducing and maintaining
groundwater withdrawals to be no more than forty percent of HC
MUD 189's annual total water demand.",C,"$2,368,100.00",70%,,,
73,45.5,16923,Gum Springs WSC,W,TX1020081,"10,869","The project includes constructing a new water plant including high
service pump station, two pressure tanks, one ground storage
tank, 8,400 linear feet of 8"" and 12"" water main.",PADC,"$3,831,850.00",70%,Yes-BC,"$150,000.00",
74,45,16669,"Sandbranch Development
& WSC",W,,240,"This project is an effort to provide domestic water service to an
existing impoverished developed area in Dallas County. There is
no existing water infrastructure.",PADC,"$8,236,900.00",,,,13038
75,45,17022,Anderson,M,TX0930014,279,"Water plant additions to Shiro Water System of Anderson Water
Supply Company",PADC,"$512,600.00",70%,,,
76,45,16641,High Valley WSC,W,TX2270126,300,"High Valley WSC has a serious problem with water loss through
old and dilapidated elements of their water distribution system.",DC,"$3,200,000.00",70%,Yes-BC,"$3,200,000.00",
77,45,16995,Mingus,M,TX1820008,365,"Replace old deteriorated and leaking waterlines within the City to
prevent water loss,",PDC,"$1,395,150.00",70%,,,
78,45,17051,Lake Livingston WSSSC,W,TX1870045,372,"LLWSC proposes to construct up to three groundwater production
wells to expand capacity by approximately 1 MGD.",PDC,"$6,059,080.00",,,,
79,45,17032,Joaquin,M,TX2100010,"1,620","The project includes developing two (2) additional water wells and
modification to the existing reverse osmosis plant capacity to
improve the City's water supply.",PADC,"$1,747,440.00",70%,Yes-BC,"$144,000.00",
80,45,16933,Seymour,M,TX0120001,"2,817","Improvements to the City's existing water wells to meet TCEQ
regulations and increase accessibility to groundwater in drought
conditions.",PDC,"$1,000,000.00",70%,,,
81,45,16889,Redland WSC,W,TX0030028,"3,637",Water Distribution and Plant Upgrades,PDC,"$3,736,000.00",70%,,,
82,45,16828,Cockrell Hill,M,TX0570038,"3,736","The City has a history of numerous water main breaks, some of
which have resulted in Boil Water notices and area wide water
pressures dropping below 20 psi. After the completion of a
detailed Leak Detection Study, the City proposes to replace
approximately 4,340 LF of existing water mains in areas with
known water main breaks and acoustical soundings from the Lea
Detection Study that are indicative of existing leaks and probable
future water main breaks.",PDC,"$1,526,388.83",70%,Yes-BC,"$769,856.90",
83,45,16635,La Grange,M,TX0750003,"4,448","The project intends to replace existing distribution system lines
that are leaking and resulting in water loss.",DC,"$13,000,000.00",70%,Yes-BC,"$611,000.00",
84,44,16817,Burton,M,TX2390002,297,"New Water Plant and Main Water Line & Existing Water Plant
Rehabilitation",PDC,"$5,000,000.00",70%,Yes-BC,"$2,400,000.00",
85,44,16900,Sand Hills WSC,W,TX2100013,"1,500","Sand Hills WSC is seeking funds for planning, acquisition, design,
and construction to replace main lines and service lines to addres
water loss, and construct a new municipal well.",PADC,"$3,674,410.00",70%,,,
86,44,16560,Malakoff,M,TX1070002,"2,179","Replace the existing water distribution system cast iron and AC
water line with PVC pipe, and install new valves and service
connections.",PDC,"$17,577,500.00",70%,,,
87,44,16894,Pinehurst,M,TX1810009,"2,235","The City of Pinehurst proposes to construct a new water plant to
improve the City existing water system.",PDC,"$5,681,400.00",70%,,,
88,44,16988,Marshall,M,TX1020002,"22,862","This project focuses on upgrading an aging water intake and
pump station to enhance operational performance and ensure
compliance with current regulatory standards. The project entails
bringing all four 500hp pumps online, replacing outdated valves
and the generator, and upgrading two variable frequency drives t
improve efficiency and control. Additionally, the development of a
Asset Management Plan will support long-term planning and
maintenance, thereby ensuring the city's water demands are
consistently met.",PDC,"$11,392,000.00",70%,,,
89,43.5,17052,Lake Livingston WSSSC,W,TX1870165,"3,284","Expand the existing surface water treatment capacity from 0.75
MGD to between 1.5 and 1.75 MGD.",PADC,"$20,985,420.00",70%,,,
90,43.5,16797,Port Arthur,M,TX1230009,"55,779",Water Line Improvements - Phase IA,PDC,"$6,060,379.00",70%,,,
91,43.5,16954,Port Arthur,M,TX1230009,"55,779",Water Line Improvements - Phase IB,DC,"$4,883,476.00",70%,,,
92,43.5,16976,Port Arthur,M,TX1230009,"55,779",Water Line Improvements - Phase II,DC,"$7,627,956.00",70%,,,
93,43.5,16979,Port Arthur,M,TX1230009,"55,779",Water Line Improvements - Phase III,DC,"$7,320,055.00",70%,,,
94,43,16845,Wallis,M,TX0080015,"1,292","Project includes replacement of undersized distribution pipes to
reduce water loss. Many of those lines are galvanized pipes whic
are prone to leaks and breaks.The City's water system is within 3
connections of its minimum capacity requirements. A recent study
concluded that replacement of an existing elevated storage tower,
replacement of undersized distribution lines, upgrades to service
pumps and the addition of distribution lines will provide the neede
capacity to support the residents. Additionally, the City completed
an Assistance Action with the TCEQ in January 2025 for low wate
pressure in their distribution system.",DC,"$8,541,000.00",70%,Yes-BC,"$2,500,000.00",
95,42.5,17098,"New Horizons Ranch and
Center, Inc.",P,TX1670009,100,"This project includes construction of a water supply line for a new
source of water from the City of Goldthwaite as well as
improvements to the existing pump room, electrical, and chemical
feed equipment. Also included are the necessary upgrades to the
Goldthwaite water distribution facilities to provide sufficient water
supply to New Horizons.",PDC,"$3,004,025.00",70%,,,
96,42.5,17025,Anderson,M,TX0930015,296,"Water plant additions to Richards Water System of Anderson
Water Supply Company",PADC,"$412,500.00",70%,,,
97,42.5,16898,Rosebud,M,TX0730003,"1,077","New groundwater well, transmission main, and ground storage
tank.",PADC,"$9,973,700.00",70%,,,
98,42.5,16862,Winona,M,TX2120026,"1,194",New Water Well and Water System Improvements,PADC,"$2,956,500.00",70%,,,
99,42.5,16830,Corrigan,M,TX1870001,"1,852","Upgrade and expand existing plant components to expand syste
capacities and boost pressure throughout the system, including
drilling of a new water well. Replace old deteriorated lines
contributing to high water loss and frequent maintenance. The
existing water also has a taste/odor issue and filter options will be
explored and implemented in this project.",PADC,"$4,095,000.00",70%,,,
100,42.5,16941,West Tawakoni,M,TX1160012,"2,543","This project includes replacing old leaking waterlines to reduce
water loss and increase water conservation. Also to upgrade
treatment capacity for water quality.",PDC,"$7,299,500.00",70%,,,
101,42.5,17045,Kenedy,M,TX1280002,"3,473","The existing water system contains old, undersized conveyance
infrastructure, including approx 15 miles of old cast iron pipe,
approx 4,700 linear feet of asbestos cement pipe, undersized
booster pump stations, and storage tanks. This funding request is
to assess, design and construct improvements to the existing
system, including replacing all water infrastructure over 50 years
old, providing lead abatement for existing contaminated joints,
designing and constructing new distribution system piping to meet
capacity and pressure requirements in accordance with TCEQ,
and developing an operation and maintenance program for the
modified system.",PDC,"$29,560,630.00",70%,,,
