Applicant Name,Street Address,City,County,Project Description,Problem Description,DEP Project Ranking,Region,PWSID,Funding Source,MTGDATE,Project Rank,Project Cost,Project Type,Population,Green Project,Business Case,PV Rating,Green Category,Green Amount
SHINGLEHOUSE BOROUGH - WELL NO. 2 IMPROVEMENTS PROJECT,P.O.BOX 156,SHINGLEHOUSE,POTTER," The project will include the removal of the current inoperable treatment equipment, demolition and re-building of the control building, installation of new iron and manganese filtration system, chlorination and flow monitoring equipment and associated electrical construction. "," Well No. 2 is only used for emergency purposes as the water from this well does not currently meet US EPA or PA DEP requirements for water quality, specifically for Iron and Manganese concentrations. When Well #2 is utilized to either supplement or replace the distribution of water from the Borough’s main source well (Well #3), the Borough must issue a boil water advisory, though the water delivered is incapable of meeting the iron and manganese treatment standards. Recent PA DEP regulations enacted require that the Borough possess a suitable backup source of water to its distribution system, with Well #2 being that source of backup. Water from Well #2 needs to be properly treated to allow for its distribution to the Borough’s customers due to the high levels of iron and manganese in the source water. The currently inoperable treatment equipment at the well building requires removal in order to install a new treatment system. Additionally, the building which houses the well, existing treatment system and all electrical controls is in a poor structural condition and requires replacement with a new control building to house the equipment to prevent further structural deterioration.",48,IV,6530013,APPLICATION PENDING,-,11,"$1,078,785",TREAT,"1,250",No,N/A,71,N/A,$0
ALTOONA WATER AUTHORITY- TIPTON/PLANE NINE/MILL RUN WTP UPGR,20 GREENWOOD ROAD,ALTOONA,BLAIR," The Authority has proposed to replace the existing ozone generation and feed systems Tipton, Plane Nine, and Mill Run Water Treatment Plants. The new systems will consist of liquid oxygen storage and feed gas preparation systems and additional equipment. "," The existing ozone generation and feed systems at the Tipton, Plant Nine, and Mill Run Water Treatment Plants were installed/placed in operation in the early 1990’s and have reached the end of their service life. Project will help system effectively disinfect the finished water and supply potable water to the customers.",48,III,4070023,DWSRF,10/21/2020,12,"$7,500,000",TREAT,"62,500",No,N/A,63,N/A,$0
M. A. OF THE BOROUGH OF DERRY- LEAD LINE SERVICE REPLACEMENT,620 NORTH CHESTNUT STREET,DERRY,WESTMORELAND, This project will replace approximately 170 Lead Service Lines from the main line to the curb stops. The property owners' lines from the curb stops to their homes are all updated and no longer lead. Portions of the distribution lines are imperative to replace in order to facilitate the number of taps for the new services replacing the old lead services. ," The Municipal Authority of the Borough of Derry knows of approximately 170 lead service lines to replace. The replacement of the lead service lines will better serve the customers and provide safer drinking water. By replacing the lead service lines in the area it will eliminate the potential contamination of public drinking water that would threaten the health of the residents. Additionally, it will help eliminate breaks and damaged roadways and water pressure should improve for these customers as well.",47,V,5650049,APPLICATION PENDING,-,13,"$2,896,669",DS/LSL,"6,500",No,N/A,62,N/A,$0
KNOX BOROUGH - EAST PENN AVENUE WATER LINE PROJECT,P.O. BOX 366,KNOX,CLARION," Project includes 76 existing service connections from the new water main to the service line curb stop including the connection at the main and the curb stop. Any service line pipe that is made of lead between the curb stop and the residence or business will be replaced, and 15 of those service lines are anticipated to be encountered. 5,100 feet of 8"" water line be installed to replace existing 4"" cast iron water lines. 9 fire hydrants and 23 main water valves will also be replaced. "," All of the water mains within the project area are cast iron. All of the joints between pipes are sealed with lead. All of the joints between the pipes and water valves are sealed with lead. All of the water line fittings, such as tees and bends, are sealed with lead. All of the existing fire hydrant connections are sealed with lead. All of the service lines between the water main connection and the service line shut off, or curb stop, are made of lead pipe, and the connection fittings and the curb stops are made of lead. Some of the water service pipe between the curb stop and the customer's water meter located inside of their home or business is made of lead.",45,VI,6160005,APPLICATION PENDING,-,14,"$1,577,200",DS/LSL,"1,380",No,N/A,60,N/A,$0
WEST VIEW WATER AUTHORITY LEAD SERVICE LINE REPL. WIFTA,210 PERRY HIGHWAY,PITTSBURGH,ALLEGHENY," This project includes replacement of 500 lead service lines. This include over 20,000 linear feet of 3/4"" copper pipe, 500 curb boxes and valves, 500 pressure reducers, 500 internal shut off valves, and 500 backflow preventers. The project will also include restoration of damaged surface features such as roads, sidewalk, landscaping, driveways, walls, steps, and other items necessary to make the full-length replacement. ", West View Water Authority has a large number of services (line between the main and the water meter in the residence) that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. The project will eliminate lead pipe for approximately 500 water services. It is expected that the 500 services replaced will be lead on both the private and public side. Services will be scheduled for replacement that have lead on both the private and public portion of the service.,44,V,5020043,APPLICATION PENDING,-,15,"$6,600,000",DS/LSL,"200,000",No,N/A,59,N/A,$0
NEW KENSINGTON - LEAD SERVICE LINE REPLACEMENT WIFTA,"P O BOX 577, 920 BARNES STREET",NEW KENSINGTON,WESTMORELAND," The project includes replacement of approximately 326 service lines. It is anticipated that main lines will remain intact. New service saddles, corporations and curb stops and curb boxes will be installed as a part of the project. If the private service line is also lead, it will be replaced up to the house connection as a part of the project. The estimate includes lead service line replacement and reconnection to the main line and customer service line. If the customer service line is also lead, the long service price will be used for replacement along with appurtenances and restoration. "," The existing service lines in the areas are lead lines which could lead to contamination of public drinking water and threaten the health of the residents. The service lines are old and deteriorated and filled with calcification. The residents of the streets have been subjected to numerous service line leaks, which result in inconveniences – no water until the repair is made, and damage to their roadway. The new line will improve the water pressure and the water quality for the residents. Less water leaks will provide a more efficient system (operational and economical) and lower unaccounted for water amounts.",42,V,5650070,APPLICATION PENDING,-,16,"$1,753,876",DS/LSL,"47,800",No,N/A,57,N/A,$0
WILKINSBURG-PENN JT. W. A. LEAD SERVICE LINE REPL. WIFTA,2200 ROBINSON BOULEVARD,WILKINSBURG,ALLEGHENY," This project will replace approximately 1,000 lead water service lines with copper water service lines. Construction will consist of removal of approximately 1,000 existing lead service lines on the both the WPJWA and customer side of the water service lines, approximately 40,000 linear feet of new 1-inch copper water service lines, 1,000 curb boxes, and associated surface restoration. "," Wilkinsburg-Penn Joint Water Authority (WPJWA) owns and maintains their water distribution system. The distribution system includes 432 miles of water lines ranging in size from 4-inch to 48-inches and 48,184 water service lines. Of the 48,184 water service lines, 2,589 are constructed of lead on both the customer side and the WPJWA side. Water service lines were commonly made from lead in the early 20th century and lead solder was used until it was banned in 1986. Corrosion of the lead service lines causes lead to enter drinking water. Lead is toxic to humans and exposure can cause a number of serious health concerns.",42,V,5020056,APPLICATION PENDING,-,17,"$9,330,720",DS/LSL,"125,000",No,N/A,67,N/A,$0
GA OF CITY OF FRANKLIN - LEGACY LEAD WATERLINE ELIMINATION,430 13TH STREET,FRANKLIN,VENANGO," The project will include the replacement of four identified lead piping and joints areas. Area 1 with 700 ft. of mainline and 300 ft. of laterals that serve 15 connections, area 2 with1000 ft. of mainline and 500 ft. of laterals that serve 31 connections, area 3 with 800 ft. of mainlines and 500 ft. of laterals that serve 28 connections and area 4 with 500 ft. of mainlines and 100 ft. of laterals that serve 5 connections. All identified lead piping and joints will be replaced with plastic pipes up to the curb stop of 79 connections. The total estimated length of pipe is approximately 4,400 L.F. "," The General Authority of the City of Franklin (GACF) provides water services to approx. 8,600 people within the City of Franklin, French creek Township, Sugarcreek Township and Cranberry Township. The water distribution main contains leaded pipe, joints, and service laterals with lead goose necks, which has adverse health effect on young children.",41,VI,6610020,APPLICATION PENDING,-,18,"$914,602",DS/LSL,"8,600",No,N/A,56,N/A,$0
FALLS CREEK BOROUGH M. A. - MAIN ST. WATERLINE REPL.,117 TAYLOR AVE.,FALLS CREEK,JEFFERSON," Project includes replacement of approximately 2,600 linear feet of water mains on Main Street water distribution line, with 8-inch diameter C900 PVC pipe, with service lines to right-of-way. Hydrants and valves will be replaced and surface restoration will be done. ", Main Street cast iron water distribution line with lead joints to be replaced. Water main is approximately 100 years old and multiple leaks / breaks have occurred on this waterline. All lead joints will be eliminated in this section of the pipe.,40,VI,6330007,APPLICATION PENDING,-,19,"$1,400,000",DS/LSL,"1,440",No,N/A,55,N/A,$0
SCHUYLKILL HAVEN SERVICE LINE REPLACEMENT PROJECT,12 WEST MAIN STREET,SCHUYLKILL HAVEN,SCHUYLKILL," Schuylkill Haven Borough proposes the replacement of approximately 54 existing 3/4-inch diameter service lines for an estimated total of 3,000 linear feet (LF) with assumed lead materials in the Borough of Schuylkill Haven, Schuylkill County. These are older sections of the Schuylkill Haven Borough’s service area have been documented with service cards in the Borough’s records to be comprised of lead. The proposed project will include all necessary water line appurtenances associated with the service line replacements such as valves, curb stops, goosenecks, shut-offs, water main construction, manways, etc. found necessary during the service line replacement and installation. The existing system facilities identified as part of this project are older and comprised primarily of lead. Removal and replacement of the service lines is desired and considered necessary in order to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. Note that high unaccounted for water loss in the Schuylkill Haven Borough’s distribution system is reported at 28 percent. and service line replacement may help mitigate some unaccounted for water loss. The improvements will enhance Schuylkill Haven Borough’s ability to operate and maintain the system and increase the reliability of service. "," In Schuylkill Haven Borough's service area, approximately 54 existing 3/4-inch diameter service lines for an estimated total of 3,000 linear feet (LF) of water main are comprised of assumed lead materials in the Borough of Schuylkill Haven, Schuylkill County. These are older sections of the Schuylkill Haven Borough’s service area have been documented with service cards in the Borough’s records to be comprised of lead. The proposed project will include all necessary water line appurtenances associated with the service line replacements such as valves, gooseneck replacement, curb stops, shut-offs, water main construction repairs, manways, etc. found necessary during the service line replacement and installation. The existing system facilities identified as part of this project are older and comprised primarily of lead. Removal and replacement of the service lines is desired and considered necessary in order to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. Note that high unaccounted for water loss in the Schuylkill Haven Borough’s distribution system is reported at 28 percent and service line replacement may help mitigate some unaccounted for water loss.",40,II,3540041,APPLICATION PENDING,-,20,"$529,645",DS/LSL,"6,000",No,N/A,55,N/A,$0
CITY OF BETHLEHEM LEAD LINE REPLACEMENT,10 E. CHURCH STREET,BETHLEHEM,NORTHAMPTON," The City of Bethlehem-Water and Sewer Resources (Bethlehem) proposes the replacement of approximately 250 residential (and a small number of commercial) 5/8-inch diameter existing service lines (and ¾-inch diameter galvanized steel pipe with lead goosenecks service lines) for an estimated average total of 12,500 linear feet (LF) with assumed lead materials primarily in areas in the City of Bethlehem, Northampton County. These service lines are older sections of the City of Bethlehem’s service area constructed in the 1920s and the 1930s with and without recent water main replacements and based on their experience are assumed to be comprised primarily of lead. The proposed project will include all necessary water line appurtenances associated with the service line replacements such as valves, shut-offs, water main construction, manways, test digs, repair to damaged facilities during construction, etc. found necessary during the service line replacement and installation. The existing system facilities identified as part of this project are older and comprised primarily of lead. Removal and replacement of the service lines is desired and considered necessary in order to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. The improvements will enhance Bethlehem’s ability to operate and maintain the system and increase the reliability of service. "," The City of Bethlehem-Water and Sewer Resources (Bethlehem) distribution system contains a significant number of residential (with some commercial) service laterals constructed in the 1920s and the 1930s which are primarily comprised of lead. Bethlehem proposes the replacement of approximately 250 primarily residential (and a small number of commercial) 5/8-inch diameter existing service lines (and ¾-inch diameter galvanized steel pipe with lead goosenecks service lines) for an estimated average total of approximately 12,500 feet (LF) of piping with assumed lead materials primarily in areas in the City of Bethlehem, Northampton County. These service lines are older sections of the City of Bethlehem’s service area with and without recent water main replacements and based on their experience are assumed to be comprised of lead. The proposed project will include all necessary water line appurtenances associated with the service line replacements such as valves, shut-offs, water main construction, manways, test digs, repair to damaged facilities during construction, etc. found necessary during the service line replacement and installation. Removal and replacement of the service lines is desired and considered necessary in order to ensure continued compliance with the Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K. The improvements will enhance Bethlehem’s ability to operate and maintain the system and increase the reliability of service.",40,II,3480046,APPLICATION PENDING,-,21,"$2,875,000",DS/LSL,"115,845",No,N/A,55,N/A,$0
MOUNT UNION MUNICIPAL AUTHORITY - METER REPLACEMENT PROJECT,PO BOX 88,MOUNT UNION,HUNTINGDON," This project is for the replacement of approximately 2,060 existing customer water meters throughout the distribution system (nearly all existing meters) which will increase the accuracy of the Authority's water usage records. Also included is the installation of a new tower based meter reading system. ", The Authority has aged meters throughout the distribution which are hindering their ability to accurately monitor the water usage amongst residential and commercial customers.,37,III,4310016,APPLICATION PENDING,-,22,"$2,140,000",METERS,"5,801",Yes,Not Required,52,Water Efficiency,"$1,700,000"
CARROLLTOWN BOROUGH MUNICIPAL AUTHORITY - METER REPLACEMENT,P.O. BOX 37,CARROLLTOWN,CAMBRIA," The project will involve the replacement of approximately 520 individual service meters with lead-free magnetic meters, a continuation of the work that the Authority has already undertaken. Additionally, the flow control valves at the treatment plant will be replaced by lead-free valves. "," Lead is known to exist in two components of the Carrollltown Borough Municipal Authority System. First, approximately 520 of the total 607 individual meters are older high-lead brass meters. Second, two flow control valves at the water treatment facility contain bronze pistons and pilot systems.",37,V,4110004,APPLICATION PENDING,-,23,"$300,000",METERS/LSL,"1,049",No,N/A,52,N/A,$0
PATTON MUNICIPAL AUTHORITY - MAGEE AVENUE WATERLINE REPL.,P.O. BOX 175,PATTON,CAMBRIA," The project will replace approximately 700 linear feet of 8"" cast iron pipe with new 8"" C900 PVC main line, as well as approximately 600 linear feet of service line. Associated valves and restoration will be included in the project. "," The original Patton water distribution system was constructed over 100 years ago and consists of cast iron pipe with lead joints. These lead components represent a health risk to the community. Additionally, the age of the line to be replaced means that the Authority is correcting leaks and breaks at a much higher rate than elsewhere in the system. Since implementation of the new well water source in 2016, this portion of the system has experienced increased customer complaints relating to water quality, particularly discolored, sediment-heavy, and smelly water.",35,V,4110024,APPLICATION PENDING,-,24,"$600,000",DSL/LSL,"2,290",No,N/A,50,N/A,$0
BOROUGH OF CHAMBERSBURG LEAD GOOSENECK REPLACEMENT,100 S. MAIN STREET,CHAMBERSBURG,FRANKLIN," The project includes the removal and replacement of up to 1,968 lead goosenecks from the service lines of the Borough's customers. Any lead or galvanized service lines encountered during the gooseneck removal will also be replaced. ", The presence of lead goosenecks in the applicant's system contributes to lead concentrations in the distribution system which at some point may exceed the lead action level.,33,III,7280005,APPLICATION PENDING,-,25,"$3,299,828",DS/LSL,"40,000",No,N/A,48,N/A,$0
