No.,PWS,Total  Points,PWS  ID.,Project  Cost,Population,Small  System  (Y/N),MHI,Disadv-  antaged  (Y/N),Project  Description,Base or  General,LSL,EC
118,CENTERTON WATERWORKS,3,44,"$183,460 ","22,227",,,,LSLI,,X,
119,SYLVAN SHORES SD  WATERWORKS,3,45,"$5,000 ",85,,,,LSLI,,X,
120,FIFTY SIXWATERWORKS,3,46,"$5,260 ",595,,,,LSLI,,X,
121,GARFIELD WATERWORKS,3,47,"$5,380 ",640,,,,LSLI,,X,
122,GENTRY WATERWORKS,3,48,"$53,660 ","5,385",,,,LSLI,,X,
123,LOST BRIDGE VILL WAT- SEW DISTS,3,49,"$8,240 ",990,YES,,,LSLI,,X,
124,GRAVETTE WATERWORKS,3,51,"$36,060 ","4,035",YES,,,LSLI,,X,
125,DECATUR WATERWORKS,3,52,"$18,500 ","2,383",YES,,,LSLI,,X,
126,PEA RIDGE WATERWORKS,3,53,"$65,400 ","7,273",YES,,,LSLI,,X,
127,BRADLEY CO RURAL WATER  ASSN,3,54,"$9,360 ","1,185",YES,,,LSLI,,X,
128,ROGERS WATER UTILITIES,3,55,"$586,520 ","70,878",NO,,,LSLI,,X,
129,SILOAM SPRINGS  WATERWORKS,3,56,"$161,900 ","17,148",NO,,,LSLI,,X,
130,SULPHUR SPRINGS  WATERWORKS,3,57,"$5,020 ",628,YES,,,LSLI,,X,
131,ALPENA WATERWORKS,3,58,"$5,000 ",528,YES,,,LSLI,,X,
132,BELLEFONTE WATER,3,59,"$5,000 ",468,YES,,,LSLI,,X,
133,BERGMAN WATERWORKS,3,60,"$24,980 ","3,122",YES,,,LSLI,,X,
134,DIAMOND CITY WATER,3,61,"$10,280 ","1,245",YES,,,LSLI,,X,
135,HARRISON WATERWORKS,3,62,"$142,700 ","17,135",NO,,,LSLI,,X,
136,LEAD HILL WATERWORKS,3,63,"$5,000 ",565,YES,,,LSLI,,X,
137,OMAHA WATERWORKS,3,64,"$9,460 ","1,188",YES,,,LSLI,,X,
138,VALLEY SPRINGS  WATERWORKS,3,65,"$25,340 ","3,168",YES,,,LSLI,,X,
139,WARREN WATERWORKS,3,66,"$53,420 ","6,228",YES,,,LSLI,,X,
140,HERMITAGE WATERWORKS,3,67,"$5,000 ",830,YES,,,LSLI,,X,
141,BANKS WATERWORKS,3,68,"$5,000 ",244,,,,LSLI,,X,
142,CLEVELAND CO RURAL  WATER USERS ASSOC,3,69,"$13,000 ","2,243",,,,LSLI,,X,
143,HAMPTON WATERWORKS,3,70,"$11,160 ","1,906",,,,LSLI,,X,
144,HARRELL WATERWORKS,3,71,"$5,000 ",296,,,,LSLI,,X,
145,THORNTON WATERWORKS,3,72,"$6,460 ",843,,,,LSLI,,X,
146,BERRYVILLE WATERWORKS,3,74,"$55,200 ","6,025",,,,LSLI,,X,
147,EUREKA SPRINGS  WATERWORKS,3,75,"$36,900 ","4,053",,,,LSLI,,X,
148,GRAY ROCK WATER  ASSOCIATION,3,76,"$5,880 ",738,,,,LSLI,,X,
149,GREEN FOREST  WATERWORKS,3,77,"$46,300 ","5,785",,,,LSLI,,X,
150,HOLIDAY ISLAND  WATERWORKS,3,78,"$35,160 ","3,930",YES,,,LSLI,,X,
151,LAKE CHICOT WATER  ASSOCIATION,3,80,"$16,000 ","1,909",YES,,,LSLI,,X,
152,LAKE VILLAGE  WATERWORKS,3,81,"$20,340 ","2,543",YES,,,LSLI,,X,
153,DERMOTT WATERWORKS,3,82,"$21,700 ","2,604",YES,,,LSLI,,X,
154,EUDORA WATERWORKS,3,83,"$17,140 ","2,600",YES,,,LSLI,,X,
155,ARKADELPHIA  WATERWORKS,3,85,"$83,800 ","11,495",NO,,,LSLI,,X,
156,GURDON WATERWORKS,3,87,"$25,660 ","2,988",YES,,,LSLI,,X,
157,AMITY WATERWORKS,3,88,"$7,340 ",925,YES,,,LSLI,,X,
158,OKOLONA WATERWORKS,3,89,"$5,000 ",562,YES,,,LSLI,,X,
159,PIGGOTT WATERWORKS,3,90,"$40,860 ","3,635",YES,,,LSLI,,X,
160,PEACH ORCHARD  WATERWORKS,3,91,"$5,000 ",135,YES,,,LSLI,,X,
161,POLLARD WATERWORKS,3,92,"$5,000 ",287,YES,,,LSLI,,X,
162,RECTOR WATERWORKS,3,93,"$17,840 ","2,312",YES,,,LSLI,,X,
163,ST FRANCIS WATER  SYSTEM,3,94,"$5,000 ",263,YES,,,LSLI,,X,
164,SUCCESS WATERWORKS,3,95,"$5,000 ",164,YES,,,LSLI,,X,
165,CORNING WATERWORKS,3,96,"$30,500 ","3,519",YES,,,LSLI,,X,
166,GREENWAY WATERWORKS,3,97,"$5,000 ",322,YES,,,LSLI,,X,
167,MC DOUGAL WATERWORKS,3,98,"$5,000 ",248,YES,,,LSLI,,X,
168,KNOBEL WATERWORKS,3,99,"$5,000 ",262,,,,LSLI,,X,
169,COMMUNITY WATER  SYSTEM,3,101,"$144,020 ","17,412",,,,LSLI,,X,
170,LOCUST BAYOU WATER  ASSOCIATION,3,102,"$5,000 ",531,,,,LSLI,,X,
171,WESSON-NEWELL WATER  ASSOC,3,103,"$5,000 ",658,,,,LSLI,,X,
172,HEBER SPRINGS WATER  SYSTEM,3,104,"$107,720 ","13,465",,,,LSLI,,X,
173,QUITMAN WATERWORKS,3,105,"$14,500 ","1,090",,,,LSLI,,X,
174,RISON WATERWORKS,3,106,"$9,900 ","1,344",,,,LSLI,,X,
175,HWY 63 WATER  ASSOCIATION,3,107,"$57,480 ","7,185",,,,LSLI,,X,
176,KINGSLAND WATERWORKS,3,108,"$5,000 ",447,,,,LSLI,,X,
177,MAGNOLIA WATERWORKS,3,109,"$85,400 ","12,165",NO,,,LSLI,,X,
178,MC NEIL WATERWORKS,3,110,"$5,000 ",515,YES,,,LSLI,,X,
179,EMERSON WATERWORKS,3,111,"$9,020 ","1,145",YES,,,LSLI,,X,
180,WALDO WATERWORKS,3,112,"$14,200 ","1,630",YES,,,LSLI,,X,
181,TAYLOR WATERWORKS,3,114,"$5,160 ",566,YES,,,LSLI,,X,
182,VILLAGE WATER  ASSOCIATION,3,115,"$5,000 ",379,YES,,,LSLI,,X,
183,WALKER WATER  ASSOCIATION,3,116,"$9,400 ","1,182",YES,,,LSLI,,X,
184,MENIFEE WATER  DEPARTMENT,3,118,"$5,000 ",445,YES,,,LSLI,,X,
185,CONWAY CO REGIONAL  WATER DIST,3,119,"$175,560 ","18,973",NO,,,LSLI,,X,
186,OPPELO WATER  DEPARTMENT,3,120,"$10,080 ","1,300",YES,,,LSLI,,X,
187,PLUMERVILLE  WATERWORKS,3,121,"$8,080 ",826,YES,,,LSLI,,X,
188,LAKE CITY WATERWORKS,3,122,"$18,520 ","2,186",YES,,,LSLI,,X,
189,BLACK OAK WATERWORKS,3,123,"$5,000 ",264,YES,,,LSLI,,X,
190,JONESBORO WATER  SYSTEM,3,124,"$757,660 ","79,864",NO,,,LSLI,,X,
191,BONO WATERWORKS,3,126,"$25,760 ","2,550",YES,,,LSLI,,X,
192,CARAWAY WATERWORKS,3,127,"$11,180 ","1,375",YES,,,LSLI,,X,
193,MONETTE WATERWORKS,3,128,"$13,200 ","1,391",,,,LSLI,,X,
194,BAY WATERWORKS,3,129,"$15,380 ","1,821",,,,LSLI,,X,
195,CASH WATERWORKS,3,130,"$5,000 ",342,,,,LSLI,,X,
196,BROOKLAND WATERWORKS,3,131,"$33,800 ","3,770",,,,LSLI,,X,
197,SUBIACO CITY  WATERWORKS,3,135,"$5,000 ",533,,,,LSLI,,X,
198,MULBERRY WATERWORKS,3,136,"$14,380 ","1,648",,,,LSLI,,X,
199,CEDARVILLE WATERWORKS,3,138,"$67,380 ","8,423",,,,LSLI,,X,
200,KIBLER WATER SYSTEM,3,140,"$14,400 ","1,800",,,,LSLI,,X,
201,MOUNTAINBURG WATER  AND SEWER,3,141,"$7,600 ",950,,,,LSLI,,X,
202,VAN BUREN WATERWORKS,3,142,"$186,300 ","22,725",,,,LSLI,,X,
203,DYER WATERWORKS,3,143,"$5,920 ","1,010",YES,,,LSLI,,X,
204,ALMA WATERWORKS,3,144,"$49,820 ","5,978",YES,,,LSLI,,X,
205,HWY 71 WATER DISTRICT #1  PWA,3,145,"$46,460 ","6,250",YES,,,LSLI,,X,
206,OAK GROVE WATER  ASSOCIATION,3,146,"$23,160 ","2,773",YES,,,LSLI,,X,
207,CONCORD WATER & SEWER  PFB,3,147,"$24,160 ","3,020",YES,,,LSLI,,X,
208,CLARKEDALE-JERICHO  WATER ASSOC,3,148,"$7,540 ",925,YES,,,LSLI,,X,
209,CRAWFORDSVILLE  WATERWORKS,3,149,"$16,240 ","1,646",YES,,,LSLI,,X,
210,EARLE WATERWORKS,3,150,"$14,000 ","1,720",YES,,,LSLI,,X,
211,Horseshoe Lake Utilities,3,151,"$5,000 ",726,YES,,,LSLI,,X,
212,MARION WATERWORKS,3,152,"$113,080 ","12,345",NO,,,LSLI,,X,
213,MIDWAY WATER  ASSOCIATION,3,153,"$15,520 ","1,992",YES,,,LSLI,,X,
214,GILMORE WATERWORKS,3,154,"$5,000 ",248,YES,,,LSLI,,X,
215,TURRELL WATER WORKS,3,155,"$5,000 ",540,YES,,,LSLI,,X,
216,WEST MEMPHIS  WATERWORKS,3,156,"$181,400 ","20,138",NO,,,LSLI,,X,
217,CHERRY VALLEY  WATERWORKS,3,158,"$5,500 ",651,YES,,,LSLI,,X,
218,HICKORY RIDGE  WATERWORKS,3,159,"$5,000 ",280,YES,,,LSLI,,X,
219,PARKIN WATERWORKS,3,160,"$8,860 ",988,,,,LSLI,,X,
220,VANNDALE-BIRDEYE WATER  ASSOC,3,162,"$17,720 ","2,389",,,,LSLI,,X,
221,WYNNE WATERWORKS,3,163,"$82,000 ","7,652",,,,LSLI,,X,
222,FORDYCE WATER CO,3,164,"$39,700 ","4,500",,,,LSLI,,X,
223,CARTHAGE WATER AND  SEWER,3,165,"$5,000 ",345,,,,LSLI,,X,
224,SPARKMAN WATERWORKS,3,166,"$10,660 ","1,178",,,,LSLI,,X,
225,ARKANSAS CITY  WATERWORKS,3,167,"$5,000 ",366,,,,LSLI,,X,
226,KELSO-ROHWER WATER  ASSOCIATION,3,168,"$5,000 ",593,,,,LSLI,,X,
227,MITCHELLVILLE  WATERWORKS,3,169,"$5,000 ",360,,,,LSLI,,X,
228,MCGEHEE WATERWORKS,3,170,"$32,560 ","4,219",YES,,,LSLI,,X,
229,DUMAS WATERWORKS,3,171,"$56,000 ","6,338",YES,,,LSLI,,X,
230,PICKENS WATERWORKS,3,172,"$5,000 ",49,YES,,,LSLI,,X,
231,REED WATERWORKS,3,173,"$5,000 ",209,YES,,,LSLI,,X,
232,WATSON WATERWORKS,3,174,"$5,000 ",188,YES,,,LSLI,,X,
233,NORTHERN OHIO WATER  ASSOC,3,175,"$5,320 ",665,YES,,,LSLI,,X,
234,MOUNTAIN PINE  WATERWORKS,3,176,"$6,340 ",770,YES,,,LSLI,,X,
235,BOIS D'ARC WATER SYSTEM,3,178,"$5,000 ",53,YES,,,LSLI,,X,
236,BOWSER WATER ASSN,3,179,"$5,000 ",580,YES,,,LSLI,,X,
237,CROWLEYS RIDGE WATER  ASSOC,3,180,"$31,260 ","3,695",YES,,,LSLI,,X,
238,COLLINS WATER  ASSOCIATION,3,181,"$5,000 ",212,YES,,,LSLI,,X,
239,SELMA WATER  ASSOCIATION,3,182,"$9,000 ","1,094",YES,,,LSLI,,X,
240,ENON WATER ASSOCIATION,3,183,"$5,000 ",488,YES,,,LSLI,,X,
241,MONTICELLO WATER  DEPARTMENT,3,184,"$116,300 ","9,467",YES,,,LSLI,,X,
242,SW WHITE COUNTY WATER  ASSN,3,185,"$89,700 ","10,917",NO,,,LSLI,,X,
243,TILLAR WATERWORKS,3,186,"$5,000 ",225,YES,,,LSLI,,X,
244,WILMAR WATERWORKS,3,187,"$7,000 ",809,YES,,,LSLI,,X,
245,WINCHESTER  WATERWORKS,3,188,"$5,000 ",457,,,,LSLI,,X,
246,CONWAY WATER SYSTEM,3,189,"$538,580 ","64,960",,,,LSLI,,X,
247,DAMASCUS WATER WORKS,3,190,"$18,880 ","1,695",,,,LSLI,,X,
248,GREENBRIER  WATERWORKS,3,191,"$81,840 ","7,893",,,,LSLI,,X,
249,GUY WATERWORKS,3,192,"$18,600 ","1,692",,,,LSLI,,X,
250,MAYFLOWER  WATERWORKS,3,193,"$64,520 ","7,578",,,,LSLI,,X,
251,VILONIA WATERWORKS,3,195,"$189,120 ","22,730",,,,LSLI,,X,
252,WOOSTER WATERWORKS,3,196,"$35,180 ","5,000",,,,LSLI,,X,
253,ALTUS WATERWORKS,3,197,"$15,240 ","1,820",,,,LSLI,,X,
254,DENNING WATERWORKS,3,199,"$6,040 ",755,YES,,,LSLI,,X,
255,CHARLESTON  WATERWORKS,3,200,"$28,920 ","3,265",YES,,,LSLI,,X,
256,OZARK WATERWORKS,3,201,"$34,540 ","4,368",YES,,,LSLI,,X,
257,PLEASANT VIEW WATER  FAC BOARD,3,202,"$13,660 ","1,708",YES,,,LSLI,,X,
258,SALEM WATERWORKS,3,204,"$14,920 ","1,639",YES,,,LSLI,,X,
259,VIOLA WATERWORKS,3,205,"$5,000 ",363,YES,,,LSLI,,X,
260,MAMMOTH SPRING  WATERWORKS,3,206,"$13,460 ","1,110",YES,,,LSLI,,X,
261,HOT SPRINGS VILLAGE  WATER,3,208,"$187,520 ","14,092",NO,,,LSLI,,X,
262,HOT SPRINGS UTILITIES,3,209,"$664,360 ","88,909",NO,,,LSLI,,X,
263,CENTER GROVE WATER  ASSOCIATION,3,213,"$29,840 ","4,377",YES,,,LSLI,,X,
264,LITTLE CREEK WATER  ASSOCIATION,3,214,"$18,960 ","2,542",YES,,,LSLI,,X,
265,SHERIDAN WATERWORKS,3,215,"$36,840 ","4,605",YES,,,LSLI,,X,
266,PRATTSVILLE  WATERWORKS,3,216,"$10,500 ","1,282",YES,,,LSLI,,X,
267,POYEN WATERWORKS,3,217,"$7,020 ",875,YES,,,LSLI,,X,
268,LEOLA WATERWORKS,3,218,"$5,000 ",561,YES,,,LSLI,,X,
269,SOUTH SHERIDAN WATER  ASSOC,3,219,"$30,700 ","3,887",YES,,,LSLI,,X,
270,TULL WATER,3,220,"$18,540 ","1,987",YES,,,LSLI,,X,
271,"PARAGOULD, LIGHT,  WATER, & CABLE",3,222,"$249,500 ","27,396",,,,LSLI,,X,
272,BRECKENRIDGE UNION  WATER ASSOC,3,223,"$10,760 ","1,312",,,,LSLI,,X,
273,DELAPLAINE WATERWORKS,3,224,"$5,000 ",116,,,,LSLI,,X,
274,MARMADUKE  WATERWORKS,3,225,"$9,200 ","1,111",,,,LSLI,,X,
275,OZAN WATERWORKS,3,227,"$5,000 ",425,,,,LSLI,,X,
276,HOPE WATER LIGHT COMM,3,230,"$86,540 ","11,500",,,,LSLI,,X,
277,FULTON WATERWORKS,3,231,"$5,000 ",365,,,,LSLI,,X,
278,WASHINGTON WATER  SYSTEM,3,232,"$5,000 ",142,,,,LSLI,,X,
279,BLEVINS WATERWORKS,3,233,"$5,000 ",335,,,,LSLI,,X,
280,PERRYTOWN  WATERWORKS,3,234,"$5,000 ",130,YES,,,LSLI,,X,
281,HOT SPRING CO WATER  ASSOC,3,236,"$27,940 ","3,528",YES,,,LSLI,,X,
282,MALVERN WATERWORKS,3,237,"$85,280 ","9,690",YES,,,LSLI,,X,
283,RIVIERA UTILITIES,3,239,"$14,560 ","1,800",YES,,,LSLI,,X,
