"borrower","pwsid","project_description","project_type","state_rank","state_score","funding_amount","disadvantaged","population","funding_status","principal_forgiveness_amount","state","category"
"BENTON CO WATER","AR0000037","LSLI","Lead","112","3",46000,NA,5743,"Not Funded",NA,"Arkansas","1"
"BEAVER WATER DISTRICT","AR0000038","LSLI","Lead","113","3",5000,NA,54,"Not Funded",NA,"Arkansas","1"
"BELLA VISTA P.O.A.","AR0000039","LSLI","Lead","114","3",272300,NA,27128,"Not Funded",NA,"Arkansas","1"
"BENTONVILLE WATER UTILITIES","AR0000041","LSLI","Lead","115","3",402560,NA,47195,"Not Funded",NA,"Arkansas","1"
"MOCKINGBIRD HILL WATER ASSOC","AR0000042","LSLI","Lead","116","3",6180,NA,860,"Not Funded",NA,"Arkansas","1"
"CAVE SPRINGS WATERWORKS","AR0000043","LSLI","Lead","117","3",38720,NA,4802,"Not Funded",NA,"Arkansas","1"
"CENTERTON WATERWORKS","AR0000044","LSLI","Lead","118","3",183460,NA,22227,"Not Funded",NA,"Arkansas","1"
"SYLVAN SHORES SD WATERWORKS","AR0000045","LSLI","Lead","119","3",5000,NA,85,"Not Funded",NA,"Arkansas","1"
"FIFTY SIXWATERWORKS","AR0000046","LSLI","Lead","120","3",5260,NA,595,"Not Funded",NA,"Arkansas","1"
"GARFIELD WATERWORKS","AR0000047","LSLI","Lead","121","3",5380,NA,640,"Not Funded",NA,"Arkansas","1"
"GENTRY WATERWORKS","AR0000048","LSLI","Lead","122","3",53660,NA,5385,"Not Funded",NA,"Arkansas","1"
"LOST BRIDGE VILL WAT- SEW DISTS","AR0000049","LSLI","Lead","123","3",8240,NA,990,"Not Funded",NA,"Arkansas","1"
"GRAVETTE WATERWORKS","AR0000051","LSLI","Lead","124","3",36060,NA,4035,"Not Funded",NA,"Arkansas","1"
"DECATUR WATERWORKS","AR0000052","LSLI","Lead","125","3",18500,NA,2383,"Not Funded",NA,"Arkansas","1"
"PEA RIDGE WATERWORKS","AR0000053","LSLI","Lead","126","3",65400,NA,7273,"Not Funded",NA,"Arkansas","1"
"BRADLEY CO RURAL WATER ASSN","AR0000054","LSLI","Lead","127","3",9360,NA,1185,"Not Funded",NA,"Arkansas","1"
"ROGERS WATER UTILITIES","AR0000055","LSLI","Lead","128","3",586520,NA,70878,"Not Funded",NA,"Arkansas","1"
"SILOAM SPRINGS WATERWORKS","AR0000056","LSLI","Lead","129","3",161900,NA,17148,"Not Funded",NA,"Arkansas","1"
"SULPHUR SPRINGS WATERWORKS","AR0000057","LSLI","Lead","130","3",5020,NA,628,"Not Funded",NA,"Arkansas","1"
"ALPENA WATERWORKS","AR0000058","LSLI","Lead","131","3",5000,NA,528,"Not Funded",NA,"Arkansas","1"
"BELLEFONTE WATER","AR0000059","LSLI","Lead","132","3",5000,NA,468,"Not Funded",NA,"Arkansas","1"
"BERGMAN WATERWORKS","AR0000060","LSLI","Lead","133","3",24980,NA,3122,"Not Funded",NA,"Arkansas","1"
"DIAMOND CITY WATER","AR0000061","LSLI","Lead","134","3",10280,NA,1245,"Not Funded",NA,"Arkansas","1"
"HARRISON WATERWORKS","AR0000062","LSLI","Lead","135","3",142700,NA,17135,"Not Funded",NA,"Arkansas","1"
"LEAD HILL WATERWORKS","AR0000063","LSLI","Lead","136","3",5000,NA,565,"Not Funded",NA,"Arkansas","1"
"OMAHA WATERWORKS","AR0000064","LSLI","Lead","137","3",9460,NA,1188,"Not Funded",NA,"Arkansas","1"
"VALLEY SPRINGS WATERWORKS","AR0000065","LSLI","Lead","138","3",25340,NA,3168,"Not Funded",NA,"Arkansas","1"
"WARREN WATERWORKS","AR0000066","LSLI","Lead","139","3",53420,NA,6228,"Not Funded",NA,"Arkansas","1"
"HERMITAGE WATERWORKS","AR0000067","LSLI","Lead","140","3",5000,NA,830,"Not Funded",NA,"Arkansas","1"
"BANKS WATERWORKS","AR0000068","LSLI","Lead","141","3",5000,NA,244,"Not Funded",NA,"Arkansas","1"
"CLEVELAND CO RURAL WATER USERS ASSOC","AR0000069","LSLI","Lead","142","3",13000,NA,2243,"Not Funded",NA,"Arkansas","1"
"HAMPTON WATERWORKS","AR0000070","LSLI","Lead","143","3",11160,NA,1906,"Not Funded",NA,"Arkansas","1"
"HARRELL WATERWORKS","AR0000071","LSLI","Lead","144","3",5000,NA,296,"Not Funded",NA,"Arkansas","1"
"THORNTON WATERWORKS","AR0000072","LSLI","Lead","145","3",6460,NA,843,"Not Funded",NA,"Arkansas","1"
"BERRYVILLE WATERWORKS","AR0000074","LSLI","Lead","146","3",55200,NA,6025,"Not Funded",NA,"Arkansas","1"
"EUREKA SPRINGS WATERWORKS","AR0000075","LSLI","Lead","147","3",36900,NA,4053,"Not Funded",NA,"Arkansas","1"
"GRAY ROCK WATER ASSOCIATION","AR0000076","LSLI","Lead","148","3",5880,NA,738,"Not Funded",NA,"Arkansas","1"
"GREEN FOREST WATERWORKS","AR0000077","LSLI","Lead","149","3",46300,NA,5785,"Not Funded",NA,"Arkansas","1"
"HOLIDAY ISLAND WATERWORKS","AR0000078","LSLI","Lead","150","3",35160,NA,3930,"Not Funded",NA,"Arkansas","1"
"LAKE CHICOT WATER ASSOCIATION","AR0000080","LSLI","Lead","151","3",16000,NA,1909,"Not Funded",NA,"Arkansas","1"
"LAKE VILLAGE WATERWORKS","AR0000081","LSLI","Lead","152","3",20340,NA,2543,"Not Funded",NA,"Arkansas","1"
"DERMOTT WATERWORKS","AR0000082","LSLI","Lead","153","3",21700,NA,2604,"Not Funded",NA,"Arkansas","1"
"EUDORA WATERWORKS","AR0000083","LSLI","Lead","154","3",17140,NA,2600,"Not Funded",NA,"Arkansas","1"
"ARKADELPHIA WATERWORKS","AR0000085","LSLI","Lead","155","3",83800,NA,11495,"Not Funded",NA,"Arkansas","1"
"GURDON WATERWORKS","AR0000087","LSLI","Lead","156","3",25660,NA,2988,"Not Funded",NA,"Arkansas","1"
"AMITY WATERWORKS","AR0000088","LSLI","Lead","157","3",7340,NA,925,"Not Funded",NA,"Arkansas","1"
"OKOLONA WATERWORKS","AR0000089","LSLI","Lead","158","3",5000,NA,562,"Not Funded",NA,"Arkansas","1"
"PIGGOTT WATERWORKS","AR0000090","LSLI","Lead","159","3",40860,NA,3635,"Not Funded",NA,"Arkansas","1"
"PEACH ORCHARD WATERWORKS","AR0000091","LSLI","Lead","160","3",5000,NA,135,"Not Funded",NA,"Arkansas","1"
"POLLARD WATERWORKS","AR0000092","LSLI","Lead","161","3",5000,NA,287,"Not Funded",NA,"Arkansas","1"
"RECTOR WATERWORKS","AR0000093","LSLI","Lead","162","3",17840,NA,2312,"Not Funded",NA,"Arkansas","1"
"ST FRANCIS WATER SYSTEM","AR0000094","LSLI","Lead","163","3",5000,NA,263,"Not Funded",NA,"Arkansas","1"
"SUCCESS WATERWORKS","AR0000095","LSLI","Lead","164","3",5000,NA,164,"Not Funded",NA,"Arkansas","1"
"CORNING WATERWORKS","AR0000096","LSLI","Lead","165","3",30500,NA,3519,"Not Funded",NA,"Arkansas","1"
"GREENWAY WATERWORKS","AR0000097","LSLI","Lead","166","3",5000,NA,322,"Not Funded",NA,"Arkansas","1"
"MC DOUGAL WATERWORKS","AR0000098","LSLI","Lead","167","3",5000,NA,248,"Not Funded",NA,"Arkansas","1"
"KNOBEL WATERWORKS","AR0000099","LSLI","Lead","168","3",5000,NA,262,"Not Funded",NA,"Arkansas","1"
"COMMUNITY WATER SYSTEM","AR0000101","LSLI","Lead","169","3",144020,NA,17412,"Not Funded",NA,"Arkansas","1"
"LOCUST BAYOU WATER ASSOCIATION","AR0000102","LSLI","Lead","170","3",5000,NA,531,"Not Funded",NA,"Arkansas","1"
"WESSON-NEWELL WATER ASSOC","AR0000103","LSLI","Lead","171","3",5000,NA,658,"Not Funded",NA,"Arkansas","1"
"HEBER SPRINGS WATER SYSTEM","AR0000104","LSLI","Lead","172","3",107720,NA,13465,"Not Funded",NA,"Arkansas","1"
"QUITMAN WATERWORKS","AR0000105","LSLI","Lead","173","3",14500,NA,1090,"Not Funded",NA,"Arkansas","1"
"RISON WATERWORKS","AR0000106","LSLI","Lead","174","3",9900,NA,1344,"Not Funded",NA,"Arkansas","1"
"HWY 63 WATER ASSOCIATION","AR0000107","LSLI","Lead","175","3",57480,NA,7185,"Not Funded",NA,"Arkansas","1"
"KINGSLAND WATERWORKS","AR0000108","LSLI","Lead","176","3",5000,NA,447,"Not Funded",NA,"Arkansas","1"
"MAGNOLIA WATERWORKS","AR0000109","LSLI","Lead","177","3",85400,NA,12165,"Not Funded",NA,"Arkansas","1"
"MC NEIL WATERWORKS","AR0000110","LSLI","Lead","178","3",5000,NA,515,"Not Funded",NA,"Arkansas","1"
"EMERSON WATERWORKS","AR0000111","LSLI","Lead","179","3",9020,NA,1145,"Not Funded",NA,"Arkansas","1"
"WALDO WATERWORKS","AR0000112","LSLI","Lead","180","3",14200,NA,1630,"Not Funded",NA,"Arkansas","1"
"TAYLOR WATERWORKS","AR0000114","LSLI","Lead","181","3",5160,NA,566,"Not Funded",NA,"Arkansas","1"
"VILLAGE WATER ASSOCIATION","AR0000115","LSLI","Lead","182","3",5000,NA,379,"Not Funded",NA,"Arkansas","1"
"WALKER WATER ASSOCIATION","AR0000116","LSLI","Lead","183","3",9400,NA,1182,"Not Funded",NA,"Arkansas","1"
"MENIFEE WATER DEPARTMENT","AR0000118","LSLI","Lead","184","3",5000,NA,445,"Not Funded",NA,"Arkansas","1"
"CONWAY CO REGIONAL WATER DIST","AR0000119","LSLI","Lead","185","3",175560,NA,18973,"Not Funded",NA,"Arkansas","1"
"OPPELO WATER DEPARTMENT","AR0000120","LSLI","Lead","186","3",10080,NA,1300,"Not Funded",NA,"Arkansas","1"
"PLUMERVILLE WATERWORKS","AR0000121","LSLI","Lead","187","3",8080,NA,826,"Not Funded",NA,"Arkansas","1"
"LAKE CITY WATERWORKS","AR0000122","LSLI","Lead","188","3",18520,NA,2186,"Not Funded",NA,"Arkansas","1"
"BLACK OAK WATERWORKS","AR0000123","LSLI","Lead","189","3",5000,NA,264,"Not Funded",NA,"Arkansas","1"
"JONESBORO WATER SYSTEM","AR0000124","LSLI","Lead","190","3",757660,NA,79864,"Not Funded",NA,"Arkansas","1"
"BONO WATERWORKS","AR0000126","LSLI","Lead","191","3",25760,NA,2550,"Not Funded",NA,"Arkansas","1"
"CARAWAY WATERWORKS","AR0000127","LSLI","Lead","192","3",11180,NA,1375,"Not Funded",NA,"Arkansas","1"
"MONETTE WATERWORKS","AR0000128","LSLI","Lead","193","3",13200,NA,1391,"Not Funded",NA,"Arkansas","1"
"BAY WATERWORKS","AR0000129","LSLI","Lead","194","3",15380,NA,1821,"Not Funded",NA,"Arkansas","1"
"CASH WATERWORKS","AR0000130","LSLI","Lead","195","3",5000,NA,342,"Not Funded",NA,"Arkansas","1"
"BROOKLAND WATERWORKS","AR0000131","LSLI","Lead","196","3",33800,NA,3770,"Not Funded",NA,"Arkansas","1"
"SUBIACO CITY WATERWORKS","AR0000135","LSLI","Lead","197","3",5000,NA,533,"Not Funded",NA,"Arkansas","1"
"MULBERRY WATERWORKS","AR0000136","LSLI","Lead","198","3",14380,NA,1648,"Not Funded",NA,"Arkansas","1"
"CEDARVILLE WATERWORKS","AR0000138","LSLI","Lead","199","3",67380,NA,8423,"Not Funded",NA,"Arkansas","1"
"KIBLER WATER SYSTEM","AR0000140","LSLI","Lead","200","3",14400,NA,1800,"Not Funded",NA,"Arkansas","1"
"MOUNTAINBURG WATER AND SEWER","AR0000141","LSLI","Lead","201","3",7600,NA,950,"Not Funded",NA,"Arkansas","1"
"VAN BUREN WATERWORKS","AR0000142","LSLI","Lead","202","3",186300,NA,22725,"Not Funded",NA,"Arkansas","1"
"DYER WATERWORKS","AR0000143","LSLI","Lead","203","3",5920,NA,1010,"Not Funded",NA,"Arkansas","1"
"ALMA WATERWORKS","AR0000144","LSLI","Lead","204","3",49820,NA,5978,"Not Funded",NA,"Arkansas","1"
"HWY 71 WATER DISTRICT #1 PWA","AR0000145","LSLI","Lead","205","3",46460,NA,6250,"Not Funded",NA,"Arkansas","1"
"OAK GROVE WATER ASSOCIATION","AR0000146","LSLI","Lead","206","3",23160,NA,2773,"Not Funded",NA,"Arkansas","1"
"CONCORD WATER & SEWER PFB","AR0000147","LSLI","Lead","207","3",24160,NA,3020,"Not Funded",NA,"Arkansas","1"
"CLARKEDALE-JERICHO WATER ASSOC","AR0000148","LSLI","Lead","208","3",7540,NA,925,"Not Funded",NA,"Arkansas","1"
"CRAWFORDSVILLE WATERWORKS","AR0000149","LSLI","Lead","209","3",16240,NA,1646,"Not Funded",NA,"Arkansas","1"
"EARLE WATERWORKS","AR0000150","LSLI","Lead","210","3",14000,NA,1720,"Not Funded",NA,"Arkansas","1"
"Horseshoe Lake Utilities","AR0000151","LSLI","Lead","211","3",5000,NA,726,"Not Funded",NA,"Arkansas","1"
"MARION WATERWORKS","AR0000152","LSLI","Lead","212","3",113080,NA,12345,"Not Funded",NA,"Arkansas","1"
"MIDWAY WATER ASSOCIATION","AR0000153","LSLI","Lead","213","3",15520,NA,1992,"Not Funded",NA,"Arkansas","1"
"GILMORE WATERWORKS","AR0000154","LSLI","Lead","214","3",5000,NA,248,"Not Funded",NA,"Arkansas","1"
