"",,,,Service,,Loan,
Paynes Water Association,Rehab Existing Facilities,38921,330,549,$0,"$917,061","$140,812,668"
"Lumberton, City of",Replace Existing Water Lines/Mains,39455,328,2200,"$500,000","$3,453,197","$144,265,865"
Fannin Water Association,"New 300,000 Gal Tank",39047,297,6500,$0,"$3,372,320","$147,638,185"
"Morton, City of",New Well/ New Water Mains/ Rehab Tank,39117,292,7000,$0,"$7,000,000","$154,638,185"
"Mize, Town of",New Well,39116,287,537,$0,"$737,000","$155,375,185"
East Leflore Water & Sewer District,Rehab/ Replacement of Existing Facilities,38930,264,5161,"$500,000","$11,168,871","$166,544,056"
Cross-Roads Water Association,Rehab/ Replacement of Existing Facilities,38916,221,1600,"$500,000","$3,057,336","$169,601,392"
Hatten Water Association,"New Facility, New Well, New Water Mains",39168,180,1182,"$500,000","$2,304,648","$171,906,040"
Highway 98 East Water Association,"Replace Approx. 50,000 LF Water Mains",39429,172,1650,"$500,000","$1,220,000","$173,126,040"
"Pachuta, Village of",Rehab/ Replacement of Existing Facilities,39347,165,143,"$426,665","$948,145","$174,074,185"
"Starkville, City of",Replace Existing Water Main,39759,162,25339,$0,"$1,850,000","$175,924,185"
McCarley Water Association,Rehab/ Replacement of Existing Facilities,38943,153,647,$0,"$2,394,289","$178,318,474"
"Sardis, City of",Distribution Improvements,38666,138,1756,"$500,000","$1,788,550","$180,107,024"
Neely Utilities,New Storage/ Extend to Unserved Area,39461,132,499,$0,"$1,343,992","$181,451,016"
Winterville Water Association,Rehab/ Replacement of Existing Facilities,38703,130,90,"$233,100","$518,000","$181,969,016"
South Newton Rural Water,,,,,,,
Association,Rehab Treatment Plant,39345,128,3010,$0,"$7,191,247","$189,160,263"
"Cleaveland, City of",Rehab Existing Facilities,38732,119,12000,"$500,000","$2,114,701","$191,274,964"
"Pittsboro, Town of",Rehab/ Replacement of Existing Facilities,38951,100,1077,$0,"$4,055,512","$195,330,476"
Morgan City Water Association,Rehab/ Replacement of Existing Facilities,38946,97,250,$0,"$1,552,953","$196,883,429"
Lake Water Works,"Tank Rehab, New Water Mains",39092,69,439,$0,"$3,300,400","$200,183,829"
"Mount Olive, Town of",New Water Treatment Plant,39119,51,982,$0,"$2,000,000","$202,183,829"
Valley Park Water Association,Water System Improvements,39177,23,448,"$175,077","$500,221","$202,684,050"
Harrison Co. Utility Authority,Distribution Improvements,39503,21,624,"$500,000","$6,950,000","$209,634,050"
Category XII: Consolidation Projects,,,,,,,
Jackson Co. Utility Authority,Consolidation,39567,53,75000,$0,"$31,750,000","$241,384,050"
Jackson Co. Utility Authority,Consolidation,39567,49,75000,$0,"$1,270,000","$242,654,050"
Jackson Co. Utility Authority,Consolidation,39567,22,6600,$0,"$279,400","$242,933,450"
Jackson Co. Utility Authority,Consolidation,39567,0,12000,$0,"$2,540,000","$245,473,450"
