Project Project Description,Zip,Priority Service Area Eligible,,Green,Loan Amount,Statewide
Culkin Water District,Rehab/ Replacement of Existing Facilities,39183,"324 11409 $500,000",,,"$0 $5,000,000","$76,484,036"
Diamondhead Water & Sewer Dist.,Residential Waterline Rehabilitation,39525,240 8048 $0,,,"$0 $2,748,488","$79,232,524"
"Stonewall, Town of",Rehab/ Replacement of Existing Facilities,39363,"220 933 $500,000",,,"$0 $3,300,725","$82,533,249"
"Decatur, Town of",Rehab/ Replacement of Existing Facilities,39327,148 1705 $0,,,"$0 $3,300,725","$85,833,974"
Highway 98 East Water Association,"Replace Approx. 50,000 LF Water Mains",39429,"128 1650 $427,000",,,"$0 $1,221,556","$87,055,530"
West Harrison Water and Sewer,Installation of New Water Connections,39571,"125 20000 $184,579",,,"$0 $1,541,654","$88,597,184"
Diamondhead Water & Sewer Dist.,"Replace Approximately 9,700 LF of PVC",39525,73 9980 $0,,,"$0 $1,653,283","$90,250,467"
Kiln Utility & Fire District of,Rehab Approx.10.3 Miles of Water Dist. System,39556,63 6349 $0,,,"$0 $2,935,797","$93,186,264"
Diamondhead Water & Sewer Dist.,Commercial Waterline Rehabilitation,39525,61 8048 $0,,,"$0 $1,645,429","$94,831,693"
Rose Hill Water Association,Rehab/ Replacement of Existing Facilities,39356,"32 1188 $500,000",,,"$0  $2,028,345","$96,860,038"
