Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18338,Delaware,SIDNEY VILLAGE / Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System","5,100",$0,H,"$16,897,674",NY_Y0_annual-0001
18826,Chautauqua,SINCLAIRVILLE VILLAGE / Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,$0,H,"$16,897,674",NY_Y0_annual-0001
18358,Allegany,ANDOVER VILLAGE PUBLIC WATER / Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements., New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation","1,130",$0,H,"$16,897,674",NY_Y0_annual-0001
18120,Dutchess,POUGHKEEPSIE CITY / Poughkeepsie (C),"Upgrade Storage, New Storage, Upgrade Distribution System","28,000",$0,H,"$16,897,674",NY_Y0_annual-0001
18418,Jefferson,PHILADELPHIA VILLAGE / Philadelphia (V),"Upgrade Surface Water Source, New Storage, New Pump Station","1,800",$0,H,"$16,897,674",NY_Y0_annual-0001
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5 / Oneonta (T),"Southside Water District No. 5. , New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","1,570",$0,H,"$16,897,674",NY_Y0_annual-0001
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6 / Oneonta (T),"Southside Water District No. 6., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District","1,569",$0,H,"$16,897,674",NY_Y0_annual-0001
18020,Lewis,WATER DISTRICT #1 / Denmark (T),"Serve private contaminated/poor yielding wells., New Storage, Extend Distribution System",275,$0,H,"$16,897,674",NY_Y0_annual-0001
18351,Oswego,SANDY CREEK WD3/RICHLAND WD 5 / Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System","2,600","$3,000,000",H,"$19,897,674",NY_Y0_annual-0001
17668,Steuben,HORNELL CITY / Hornell (C),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage","9,019",$0,H,"$19,897,674",NY_Y0_annual-0001
18110,Cattaraugus,CATTARAUGUS VILLAGE / Cattaraugus (V),"Upgrade Other Expenses, Upgrade Ground Water Source, Upgrade Transmission, Upgrade Other (OT)","1,185","$50,000",H,"$19,947,674",NY_Y0_annual-0001
17068,Rensselaer,SCHAGHTICOKE (V) PWS / Schaghticoke (V),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, Extend Distribution System",675,$0,H,"$19,947,674",NY_Y0_annual-0001
18768,Steuben,CAMPBELL WATER DISTRICT / Campbell (T),"WD #1 Extension., New Ground Water Source, New System Consolidation",280,$0,H,"$19,947,674",NY_Y0_annual-0001
18214,Seneca,WATERLOO VILLAGE / Waterloo (V),"WTP, Distribution, and Storage Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Inter-Connection","7,000",$0,H,"$19,947,674",NY_Y0_annual-0001
18096,Jefferson,ORLEANS WATER IMPROVEMENTS / Orleans (T),"Consolidation of PWS w/ violations and to serve contaminated private wells, Extend Distribution System",450,$0,H,"$19,947,674",NY_Y0_annual-0001
15301,Dutchess,TIVOLI VILLAGE WATER / Tivoli (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Storage, Upgrade Pump Station, Upgrade Distribution System, New System Consolidation","1,303","$2,000,000",H,"$21,947,674",NY_Y0_annual-0001
18575,Washington,GREENWICH VILLAGE / Greenwich (V),"Mn Treatment, Replace Existing Wells , Replace Transm Main, Water Metering., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","2,000",$0,H,"$21,947,674",NY_Y0_annual-0001
18127,Seneca,INTERLAKEN VILLAGE / Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,$0,H,"$21,947,674",NY_Y0_annual-0001
18806,Chautauqua,SHERMAN VILLAGE / Sherman (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",917,$0,H,"$21,947,674",NY_Y0_annual-0001
18824,Allegany,HUME WATER DISTRICT / Hume (T),"Sanford Springs Consolidation and System Upgrades., Extend Distribution System, Upgrade Distribution System, New System Consolidation",620,"$3,364,500",H,"$25,312,174",NY_Y0_annual-0001
18528,Jefferson,PAMELIA WATER SYSTEM PROJECT / Pamelia (T),"Water system improvements and expansion., Upgrade Storage, Upgrade Distribution System, New Inter-Connection, Extend System Consolidation","2,000","$13,990,000",H,"$39,302,174",NY_Y0_annual-0001
18563,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Medium Priority Distribution System Improvements and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, Upgrade Distribution System, New System","8,610","$8,209,100",H,"$47,511,274",NY_Y0_annual-0001
18811,Schuyler,WATKINS GLEN VILLAGE / Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,149","$22,052,300",H,"$69,563,574",NY_Y0_annual-0001
18721,Onondaga,JORDAN VILLAGE / Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18720., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,400","$7,451,232",H,"$77,014,806",NY_Y0_annual-0001
18860,Herkimer,HERKIMER VILLAGE / Herkimer (V),"High Priority System Upgrades and and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",H,"$94,513,476",NY_Y0_annual-0001
18709,Essex,ELIZABETHTOWN WD / Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",900,"$3,025,000",H,"$97,538,476",NY_Y0_annual-0001
18289,Oneida,ROME CITY / Rome (C),"NW Rome Re-Phase 3 Water Project., New Storage, New Pump Station, New Distribution System","32,000","$16,500,000",H,"$114,038,476",NY_Y0_annual-0001
18213,Monroe,ROCHESTER CITY / Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000",H,"$121,238,476",NY_Y0_annual-0001
18803,Delaware,HOBART VILLAGE / Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,"$789,000",H,"$122,027,476",NY_Y0_annual-0001
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 / Herkimer (T),"WD Ext 1 and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,"$1,839,580",H,"$123,867,056",NY_Y0_annual-0001
18539,NY City,NEW YORK CITY - CROTON SYSTEM / NYCMMFA,"Croton Filtration Plant (Phase 14 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000",$0,2130,"$123,867,056",NY_Y0_annual-0001
18701,NY City,NEW YORK CITY - CROTON SYSTEM / NYCMMFA,"Croton Filtration Plant (Phase 15 of 16479), New Surface Water Treatment Rule Compliance Facility","1,000,000","$100,000,000",2130,"$223,867,056",NY_Y0_annual-0001
16741,Dutchess,PAWLING VILLAGE / Pawling (V),"New Surface Water Treatment Rule Compliance Facility, New Ground Water Source","1,907","$150,000",1155,"$224,017,056",NY_Y0_annual-0001
18261,Madison,SLEEPY HOLLOW SUBDIVISION / Sullivan (T),"Sleepy Hollow WD & Ext No. 1 Improvements and Connection to OCWA., New Storage, Extend Distribution System, New Inter-Connection, New Water District",27,"$200,000",1145,"$224,217,056",NY_Y0_annual-0001
18537,Jefferson,ORLEANS WATER IMPROVEMENTS /,"Consolidation of PWS w/ violations and to serve contaminated private wells. Related to DWSRF# 18096., Extend Distribution System",450,$0,1120,"$224,217,056",NY_Y0_annual-0001
17614,Chautauqua,DUNKIRK CITY / Dunkirk (C),"Upgrade Water Treatment Plant, Upgrade Distribution System","15,310",$0,1110,"$224,217,056",NY_Y0_annual-0001
18448,Montgomery,FONDA (V) WATER WORKS / Fonda (V),"Water system improvements, Upgrade Surface Water Treatment Rule Compliance Facility, Upgrade Transmission, Upgrade Storage","1,080",$0,1105,"$224,217,056",NY_Y0_annual-0001
18264,Wayne,NEWARK VILLAGE / Newark (V),"Upgrade Water Treatment Plant, Upgrade Storage","9,682",$0,1105,"$224,217,056",NY_Y0_annual-0001
18577,Saratoga,MECHANICVILLE CITY / Mechanicville (C),"Filtration Upgrades., Upgrade Water Treatment Plant","5,100","$100,000",1095,"$224,317,056",NY_Y0_annual-0001
18051,Montgomery,FULTONVILLE VILLAGE PWS / Fultonville (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System",740,$0,1090,"$224,317,056",NY_Y0_annual-0001
18173,Jefferson,BROWNVILLE (T) / Brownville (T),"(T) Brownville WD#2., New Distribution System",424,$0,1090,"$224,317,056",NY_Y0_annual-0001
18310,Lewis,LOWVILLE VILLAGE / Lowville (V),"Five Streets Water Improvement Project., Upgrade Storage, Upgrade Distribution System","4,000","$330,000",1085,"$224,647,056",NY_Y0_annual-0001
18242,Yates,DRESDEN VILLAGE / Dresden (V),"THM removal aeration equipment and flushing hydrants, Upgrade Storage",700,$0,1085,"$224,647,056",NY_Y0_annual-0001
17422,Herkimer,"HERKIMER (T), WD NO. 3 / Herkimer (T)","New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0,1085,"$224,647,056",NY_Y0_annual-0001
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E / Hastings (T),New Distribution System,"1,500",$0,1085,"$224,647,056",NY_Y0_annual-0001
18411,Genesee,ALEXANDER VILLAGE / Alexander (V),"Upgrade Transmission, Upgrade Pump Station, Upgrade Distribution System",781,$0,1080,"$224,647,056",NY_Y0_annual-0001
17361,Schoharie,COBLESKILL VILLAGE / Cobleskill (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","4,533","$2,864,730",1080,"$227,511,786",NY_Y0_annual-0001
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S / Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,$0,1080,"$227,511,786",NY_Y0_annual-0001
18239,Greene,GREENVILLE WATER DISTRICT NO 1 / Greenville (T),"Pressure, storage, and SCADA Improvements. Extend distribution system to serve contaminated private wells., New Storage, Extend Distribution System, Upgrade Distribution System",765,"$500,000",1080,"$228,011,786",NY_Y0_annual-0001
18142,Oswego,WATER SERVICE AREA 7 / Granby (T),"Extend to serve private wells and consolidate several PWSs Inc MHP and non-Com PWSs, Extend Distribution System",600,$0,1080,"$228,011,786",NY_Y0_annual-0001
18161,Suffolk,DERING HARBOR WATER DISTRICT / Dering Harbor (V),"Resiliency and redundancy at Yoco Road well location. new storage tank, strengthening of structure, protection of pumps & emergency generator",136,$0,1045,"$228,011,786",NY_Y0_annual-0001
18810,Nassau,WA OF GREAT NECK NORTH / Water Auth - Great Neck North,"Phase 2 of Project #18146. Provide resiliency and redundancy by raising wellhead elevations at wells 2A, 5, 6, 8 and 11A; installing backup generators at wells 6 and 10A; Portable generator replacement.","31,400",$0,1020,"$228,011,786",NY_Y0_annual-0001
18160,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCDEP,Provide resiliency during storm events to minimize turbidity around Shaft 18 intake by stabilizing shorelines surrounding Shaft 18.,"6,552,718",$0,1015,"$228,011,786",NY_Y0_annual-0001
18155,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk Co. Water Authority,"Replace 6"" water main with 12"" main and hydrants between Bayview Walk and Fishermans Path in Cherry Grove, Fire Island to enhance resiliency and redundancy during emergencies and power outages","1,009,264",$0,1010,"$228,011,786",NY_Y0_annual-0001
18090,Dutchess,REVERE PARK (E.FISH.WD#2) / East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,"$4,998,670",165,"$233,010,456",NY_Y0_annual-0001
18270,Essex,TICONDEROGA WD / Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, Upgrade Distribution System","5,000","$8,306,300",135,"$241,316,756",NY_Y0_annual-0001
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$4,289,950",135,"$245,606,706",NY_Y0_annual-0001
16339,Jefferson,WELLESLEY ISLAND WATER CORP. / Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$2,336,000",130,"$247,942,706",NY_Y0_annual-0001
18965,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane and nitrate treatment for Well Nos. 1A & 2A at Levittown WD, Upgrade Water Treatment Plant","110,000","$18,128,000",130,"$266,070,706",NY_Y0_annual-0001
18720,Onondaga,ELBRIDGE VILLAGE / Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18719 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,519","$6,875,291",130,"$272,945,997",NY_Y0_annual-0001
18719,Onondaga,ELBRIDGE (T) / Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades. Related to Project Nos. 18720 &18721., Upgrade Storage, Upgrade Distribution System, New System Consolidation","1,000","$8,080,916",130,"$281,026,913",NY_Y0_annual-0001
17488,Westchester,WESTCHESTER JOINT WATER WORKS / WJWW,"Phase 1a of Project #18654 and #18269. Construction of filter plant or connection to alternate source, New Transmission, New Pump Station","55,210","$32,000,000",125,"$313,026,913",NY_Y0_annual-0001
18654,Westchester,WESTCHESTER JOINT WATER WORKS / WJWW,"Phase 1 of Project #17488 and #18269. Construction UV treatment facility at Rye Lake Pump Station or Purchase Tank site., New Water Treatment Plant","55,210","$8,000,000",125,"$321,026,913",NY_Y0_annual-0001
18842,Cattaraugus,SOUTH DAYTON VILLAGE / South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,"$3,038,500",120,"$324,065,413",NY_Y0_annual-0001
18941,Broome,ENDICOTT MUNICIPAL WATER WORKS / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","45,000","6,180,420",120,"$330,245,833",NY_Y0_annual-0002
18574,Cattaraugus,ELLICOTTVILLE (T) & (V) / Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,"5,277,096",115,"$335,522,929",NY_Y0_annual-0002
18564,Cayuga,AURORA (V) NEW SYSTEM / Aurora (V),"Interconnection to Water Authority or New WTP, Listed cost is for interconnection, New Transmission, New Inter-Connection",700,"7,952,630",105,"$343,475,559",NY_Y0_annual-0002
18911,Jefferson,LERAY TOWN WD 2 / LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",105,"$347,475,559",NY_Y0_annual-0002
18711,Herkimer,EAST SCHUYLER WD / Schuyler (T),"New Distribution System and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"7,391,280",105,"$354,866,839",NY_Y0_annual-0002
18982,Essex,WILLSBORO WD / Willsboro (T),"New WTP, WST, water meters, and upgrades to water distribution system., New Water Treatment Plant, New Storage, Upgrade Distribution System","1,571","$20,140,002",100,"$375,006,841",NY_Y0_annual-0002
18746,Livingston,LAKEVILLE WD / Livingston Co. Water & Sewer A,"Disinfection byproduct removal, installation of new meters and SCADA, storage tank replacement, consolidation of water systems., Upgrade Storage, Upgrade Distribution System, New System","2,400","7,000,000",100,"$382,006,841",NY_Y0_annual-0002
18897,Herkimer,HERKIMER COUNTY INDUSTRIAL DEV AGENCY / Herkimer County IDA,"Eastern Mohawk Valley Regional Transmission Main. Related to projects Nos. 18715, 18716, 18860, 18563, 18711., New Transmission","22,000","$16,620,000",100,"$398,626,841",NY_Y0_annual-0002
18328,Clinton,PLATTSBURGH CITY / Plattsburgh (C),"WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000","$19,800,000",95,"$418,426,841",NY_Y0_annual-0002
18181,Oswego,ORWELL WD / Orwell (T),"New Source to Address Source Capacitiy Violation., Upgrade Ground Water Source",150,"$3,027,500",95,"$421,454,341",NY_Y0_annual-0002
18898,Wyoming,PERRY VILLAGE / Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","3,945","6,489,000",95,"$427,943,341",NY_Y0_annual-0002
17093,Otsego,HARTWICK WATER DISTRICT / Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,"3,933,678",95,"$431,877,019",NY_Y0_annual-0002
18715,Herkimer,FRANKFORT (V) WATER WORKS / Frankfort (V),"Distribution System Improvements and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","2,995","8,667,450",95,"$440,544,469",NY_Y0_annual-0002
18534,Onondaga,SKYRIDGE/SALT SPRINGS JOINT PROJECT / Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project., New System Consolidation, New Water District",400,"9,200,000",95,"$449,744,469",NY_Y0_annual-0002
18109,Oswego,HANNIBAL WD#4 / Hannibal (T),"New Distribution System, New System Consolidation",750,"$7,226,000",95,"$456,970,469",NY_Y0_annual-0002
16510,Schenectady,DELANSON VILLAGE WATER WORKS / Delanson (V),"Address Stage 2 DBPR Violation., Upgrade Water Treatment Plant",428,"$894,300",90,"$457,864,769",NY_Y0_annual-0002
18764,Greene,CATSKILL VILLAGE / Catskill (V),"WTP improvements to control DBPs and replace water mains on Main Street., Upgrade Water Treatment Plant, Upgrade Distribution System","8,000","4,857,198",90,"$462,721,967",NY_Y0_annual-0002
18670,Nassau,HEMPSTEAD (V) / Hempstead (V),"1,4-dioxane treatment. at Clinton Street Plant, Upgrade Water Treatment Plant","56,000","5,836,535",90,"$468,558,502",NY_Y0_annual-0002
18305,Onondaga,OCWA / Onondaga County Water Auth.,"Lake Ontario Water Treatment Plant Improvements Phases 2 & 3., Upgrade Water Treatment Plant","256,000","59,800,000",90,"$528,358,502",NY_Y0_annual-0002
18915,Onondaga,TOWN OF LAFAYETTE / LaFayette (T),"New water system to serve Town of LaFayette., New Ground Water Source, New Storage, New Pump Station, New Distribution System","1,400","$26,460,000",90,"$554,818,502",NY_Y0_annual-0002
18805,Oneida,VERNON (T) CENTER WD / Vernon (T),"Vernon Center WD Serve area with private contaminated wells, New Water District",530,"$8,671,000",90,"$563,489,502",NY_Y0_annual-0002
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"2,737,000",85,"$566,226,502",NY_Y0_annual-0002
18804,Franklin,TUPPER LAKE V / Tupper Lake (V),"DBP Reduction and New Well Development, Upgrade Water Treatment Plant, New Ground Water Source","5,500","1,843,200",85,"$568,069,702",NY_Y0_annual-0002
18832,Nassau,ALBERTSON WD / Albertson Water District,"Well #4 GAC - PFOS/PFOA removal, Upgrade Water Treatment Plant","13,500","9,720,000",85,"$577,789,702",NY_Y0_annual-0002
18583,Orange,PINE BUSH WATER DISTRICT / Crawford (T),"Develop new groundwater source, construction of new treatment building and installation of 8,700 ft of water main., New Water Treatment Plant, New Ground Water Source, New Transmission","7,000","$4,773,000",85,"$582,562,702",NY_Y0_annual-0002
17572,Schoharie,SHARON SPRINGS VILLAGE / Sharon Springs (V),"Water system improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",547,$0,85,"$582,562,702",NY_Y0_annual-0002
18658,Lewis,TOWN OF LOWVILLE WD 1 / Lowville (T),"DBP related system improvements, Upgrade Water Treatment Plant",350,"$1,500,000",85,"$584,062,702",NY_Y0_annual-0002
18197,Otsego,ONEONTA CITY / Oneonta (C),"WTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779","$8,072,625",85,"$592,135,327",NY_Y0_annual-0002
18872,Herkimer,HERKIMER VILLAGE / Herkimer (V),"Second Priority Water System Improvements., Upgrade Storage, Upgrade Distribution System","7,606","$20,597,940",85,"$612,733,267",NY_Y0_annual-0002
18828,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"3rd city tunnel, stage2 Bkln/Qns, shaft 17B-1 & 18B-1 (C547A), crit redund, Instr. and Tele, New Transmission","6,552,718","100,000,000",85,"$712,733,267",NY_Y0_annual-0002
16922,Herkimer,"GRAHM, NEWPORT & BROWN RD WD / Schuyler (T)","New water system with connection to MVWA., New Complete System (New System)",260,"4,700,000",85,"$717,433,267",NY_Y0_annual-0002
18128,Cayuga,PROPOSED WD #2 / Sterling (T),"Water District #2., Extend Distribution System",500,"1,092,080",85,"$718,525,347",NY_Y0_annual-0002
18006,Jefferson,WATER DISTRICT NO. 6 / Hounsfield (T),"Upgrade Transmission, Upgrade Distribution System, Extend Distribution System",450,"7,715,000",85,"$726,240,347",NY_Y0_annual-0002
18817,Oswego,BANKRUPT ROAD WATER DISTRICT / Schroeppel (T),"Bankrupt Road WD and Connection to OCWA., New Distribution System, New Water District",627,"795,554",85,"$727,035,901",NY_Y0_annual-0002
16889,Oneida,NYS ROUTE 5/233 CORRIDOR WATER PROJECT / Westmoreland (T),"New system to serve area with private contaminated wells, consolidate public water supply. , New Complete System (New System)",300,"7,265,000",85,"$734,300,901",NY_Y0_annual-0002
18325,Erie,"EVANS, TOWN WATER DEPARTMENT / Evans (T)","New Water Storage Tank., New Storage","3,882","5,130,000",80,"$739,430,901",NY_Y0_annual-0002
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS) / Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission","2,639","5,250,000",80,"$744,680,901",NY_Y0_annual-0002
18724,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Construct two new Advanced Oxidation Process Systems to remove 1,4-dioxane from groundwater at the Middleville Road well field, Upgrade Water Treatment Plant","1,009,264","3,000,000",80,"$747,680,901",NY_Y0_annual-0002
