Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18896,Allegany,CUBA VILLAGE PUBLIC WATER / Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,800","$7,373,770",$55,"$65,440,139",NY_Y0_multiyear-0001
18368,Allegany,NEW WD & STORAGE / Almond (V),"New Storage, New Distribution System",480,"$3,492,000",35,"$68,932,139",NY_Y0_multiyear-0001
18369,Allegany,ALMOND VILLAGE PUBLIC WATER / Almond (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",600,"$922,000",25,"$69,854,139",NY_Y0_multiyear-0001
18941,Broome,ENDICOTT MUNICIPAL WATER WORKS / Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","45,000","$6,180,420",$120,"$76,034,559",NY_Y0_multiyear-0001
18681,Broome,ENDICOTT MUNICIPAL WATER WORKS / Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant","45,000","$16,540,740",80,"$92,575,299",NY_Y0_multiyear-0001
18256,Broome,CHENANGO CONSOLIDATED WD #1 / Chenango (T),"New well and appurtenances as redundancy for Northgate Well., New Ground Water Source","9,200","$2,200,745",50,"$94,776,044",NY_Y0_multiyear-0001
18544,Broome,PORT DICKINSON VILLAGE / Port Dickinson (V),"Replace Aged Water Mains., Upgrade Distribution System","1,785","$2,810,116",45,"$97,586,160",NY_Y0_multiyear-0001
18576,Broome,"BINGHAMTON, CITY OF / Binghamton (C)","Harding Avenue Water Tank Replacement., Upgrade Storage","47,600","$1,273,080",40,"$98,859,240",NY_Y0_multiyear-0001
18610,Broome,VESTAL CONSOLIDATED W.D. #1 / Vestal (T),"Old Vestal & Burn Hill Rd Watermain., Upgrade Distribution System","20,950","$1,439,213",30,"$100,298,453",NY_Y0_multiyear-0001
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD / Binghamton (T),"Powers Road Storage Tank Replacement., New Storage","2,600","$939,393",25,"$101,237,846",NY_Y0_multiyear-0001
18626,Broome,KIRKWOOD CONSOLIDATED WD #1 / Kirkwood (T),"Upgrades to City Line Booster Station. , Upgrade Distribution System","2,600","$120,000",10,"$101,357,846",NY_Y0_multiyear-0001
18110,Cattaraugus,CATTARAUGUS VILLAGE / Cattaraugus (V),"Upgrade Other Expenses, Upgrade Ground Water Source, Upgrade Transmission, Upgrade Other (OT)","1,185","$50,000",1125,"$101,407,846",NY_Y0_multiyear-0001
18907,Cattaraugus,LITTLE VALLEY VILLAGE / Little Valley (V),"Installation of wells, main replacement, and WTP improvements. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$4,289,950",$135,"$105,697,796",NY_Y0_multiyear-0001
18842,Cattaraugus,SOUTH DAYTON VILLAGE / South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,"$3,038,500",120,"$108,736,296",NY_Y0_multiyear-0001
18574,Cattaraugus,ELLICOTTVILLE (T) & (V) / Ellicottville (T),"Upgrade Wells, Pump Stations, and Storage., Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",900,"$5,277,096",115,"$114,013,392",NY_Y0_multiyear-0001
18843,Cattaraugus,PORTVILLE VILLAGE / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,040","$5,408,530",$70,"$119,421,922",NY_Y0_multiyear-0001
18071,Cattaraugus,RANDOLPH WATER DISTRICT / Randolph (T),Upgrade Distribution System,"1,850","$7,295,000",$60,"$126,716,922",NY_Y0_multiyear-0001
18813,Cattaraugus,FRANKLINVILLE VILLAGE / Franklinville (V),"Source & Distribution Improvements., Upgrade Ground Water Source, Upgrade Distribution System","1,760","$6,000,000",$50,"$132,716,922",NY_Y0_multiyear-0001
18594,Cattaraugus,OLEAN CITY / Olean (C),"Washington St. Watermain Replacement., Upgrade Distribution System","15,500","$1,519,090",35,"$134,236,012",NY_Y0_multiyear-0001
18025,Cattaraugus,SALAMANCA CITY / Salalmanca (C),Upgrade Distribution System,"7,000","$1,688,000",30,"$135,924,012",NY_Y0_multiyear-0001
18564,Cayuga,AURORA (V) NEW SYSTEM / Aurora (V),"Interconnection to Water Authority or New WTP, Listed cost is for interconnection , New Transmission, New Inter-Connection",700,"$7,952,630",105,"$143,876,642",NY_Y0_multiyear-0001
18128,Cayuga,PROPOSED WD #2 / Sterling (T),"Water District #2., Extend Distribution System",500,"$1,092,080",85,"$144,968,722",NY_Y0_multiyear-0001
18905,Cayuga,AUBURN / Auburn (C),"Comprehensive upgrades to City of Auburn Water Filtration Plant, Upgrade Water Treatment Plant","29,788","$9,866,370",70,"$154,835,092",NY_Y0_multiyear-0001
18347,Cayuga,GENOA-KING FERRY WD / Genoa (T),"Upgrade Ground Water Source, Upgrade Transmission, Upgrade Distribution System",900,"$20,000",65,"$154,855,092",NY_Y0_multiyear-0001
18611,Cayuga,SENNETT WD #1 / Sennett (T),"WD #3 Improvements and WD #1 Extension., Upgrade Storage, New Distribution System, Upgrade Distribution System",200,"$2,969,000",60,"$157,824,092",NY_Y0_multiyear-0001
18924,Cayuga,"CCWSA PHASE 1A:AUR, FLEM, SPRING / Cayuga County W&S Authority","Main extension on Honoco Rd., New Distribution System",180,"$6,209,458",$50,"$164,033,550",NY_Y0_multiyear-0001
18182,Cayuga,SENNETT WD #6 / Sennett (T),"Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)",60,"$4,142,100",$40,"$168,175,650",NY_Y0_multiyear-0001
17329,Cayuga,OWASCO WATER DISTRICT / Owasco (T),"Upgrade Water Treatment Plant, New Storage, Upgrade Pump Station, Upgrade Distribution System","3,000","$3,759,500",$30,"$171,935,150",NY_Y0_multiyear-0001
18436,Cayuga,NILES WD NO. 1 / Niles (T),"Niles Water District No. 1. , New Water District",33,"$201,762",$25,"$172,136,912",NY_Y0_multiyear-0001
18589,Cayuga,OWASCO WATER DISTRICT / Owasco (T),"GAC Microcystin Treatment System., Upgrade Water Treatment Plant","3,000","$250,000",20,"$172,386,912",NY_Y0_multiyear-0001
18401,Cayuga,FLEMING WD #1 / Fleming (T),"WD #1 Phase IIA Distribution Improvements., Upgrade Distribution System","1,800","$654,000",15,"$173,040,912",NY_Y0_multiyear-0001
18520,Chautauqua,MAYVILLE VILLAGE / Mayville (V),"New Source Development, Storage and Distribution Upgrades., Upgrade Other Expenses, New Ground Water Source, New Storage, Upgrade Distribution System, Upgrade Other (OT)","1,856","$500,000",1160,"$173,540,912",NY_Y0_multiyear-0001
18826,Chautauqua,SINCLAIRVILLE VILLAGE / Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,$0,1140,"$173,540,912",NY_Y0_multiyear-0001
17614,Chautauqua,DUNKIRK CITY / Dunkirk (C),"Upgrade Water Treatment Plant, Upgrade Distribution System","15,310",$0,1110,"$173,540,912",NY_Y0_multiyear-0001
18806,Chautauqua,SHERMAN VILLAGE / Sherman (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",917,$0,"$1,105","$173,540,912",NY_Y0_multiyear-0001
18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT / Chautauqua (T),"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"$2,737,000",85,"$176,277,912",NY_Y0_multiyear-0001
18390,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),"New Ground Water Source, Upgrade Distribution System","2,600","$9,721,164",70,"$185,999,076",NY_Y0_multiyear-0001
18321,Chautauqua,NCCRWP / Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000","$11,750,000",65,"$197,749,076",NY_Y0_multiyear-0001
18389,Chautauqua,FREDONIA VILLAGE / Fredonia (V),"Upgrade Water Treatment Plant, Upgrade Pump Station","10,400","$1,100,000",$60,"$198,849,076",NY_Y0_multiyear-0001
18540,Chautauqua,WD 2 EXT 1 NORTH & WTP RELOCATION / Chautauqua (T),"New Surface Water Treatment Rule Compliance Facility, Extend Transmission, Extend Distribution System",230,"$5,125,280",$55,"$203,974,356",NY_Y0_multiyear-0001
18164,Chautauqua,NORTHEND WD EXPANSION & BERRY RD WD / Pomfret (T),"Extend distribution system to area with contaminated private wells & Water main replacement , Upgrade Distribution System, Extend Distribution System",210,"$3,519,000",$50,"$207,493,356",NY_Y0_multiyear-0001
18084,Chautauqua,BROCTON VILLAGE / Brocton (V),"Replace 10,600 lf +/-water main, Upgrade Distribution System","4,000",$0,35,"$207,493,356",NY_Y0_multiyear-0001
18757,Chautauqua,BROCTON (V) / Brocton (V),"Replacement of approximately 3,400 LF of 8"" watermain., Upgrade Distribution System","1,486","$866,000",35,"$208,359,356",NY_Y0_multiyear-0001
18410,Chautauqua,JAMESTOWN CITY / Jamestown (C),Upgrade Distribution System,"48,268","$5,000,000",35,"$213,359,356",NY_Y0_multiyear-0001
18758,Chautauqua,ELLICOTT WD #3 - AIRPORT INC / Ellicott (T),"Rehabiliation of the existing 150,000 gallon storage tank., Upgrade Storage",27,"$673,000",$35,"$214,032,356",NY_Y0_multiyear-0001
18183,Chautauqua,JAMESTOWN CITY / Celeron (V),"Approximately 1,630 LF WM to serve Village area on private wells, Extend Distribution System","48,268","$96,305",$30,"$214,128,661",NY_Y0_multiyear-0001
18413,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),Upgrade Storage,"2,600","$960,000",30,"$215,088,661",NY_Y0_multiyear-0001
18770,Chautauqua,POMFRET (T) / Pomfret (T),"Replacement of distribution mains, and appurtenances in Lily Dale WD., Upgrade Distribution System","3,730","$3,230,000",$30,"$218,318,661",NY_Y0_multiyear-0001
18399,Chautauqua,CLYMER WATER DISTRICT / Clymer (T),"Repairs to wellhouse floor., Upgrade Ground Water Source",650,"$275,000",25,"$218,593,661",NY_Y0_multiyear-0001
17144,Chemung,CHEMUNG (T) WATER SYSTEM / Chemung (T),"Consolidate PWS with Coliform contamination, extend to private contaminated/poor yielding wells, New Complete System (New System), New System Consolidation",280,"$5,651,000",130,"$224,244,661",NY_Y0_multiyear-0001
18322,Chemung,ELMIRA WATER BOARD / Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$5,870,789",70,"$230,115,450",NY_Y0_multiyear-0001
18890,Chemung,MILLPORT VILLAGE WATER SUPPLY / Millport (V),"Well installation, tank improvements, replacement of meters, upgraded telemetry, and safety improvements., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,"$1,363,329",$50,"$231,478,779",NY_Y0_multiyear-0001
18737,Chemung,BIG FLATS WD #2 / Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System","3,415","$2,277,534",45,"$233,756,313",NY_Y0_multiyear-0001
18767,Chemung,HORSEHEADS VILLAGE / Horseheads (V),"Upgrade water mains and appurtenances in Ridge Road, Number Street and Center Street areas., Upgrade Distribution System","11,530","$5,000,000",$35,"$238,756,313",NY_Y0_multiyear-0001
18923,Chenango,NEW BERLIN VILLAGE / New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Other Expenses, Upgrade Water Treatment Plant, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)","1,500","$10,770,000",80,"$249,526,313",NY_Y0_multiyear-0001
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0,75,"$249,526,313",NY_Y0_multiyear-0001
18522,Chenango,NEW BERLIN VILLAGE / New Berlin (V),"Distribution, source, and storage improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500","$4,877,339",55,"$254,403,652",NY_Y0_multiyear-0001
18900,Chenango,GREENE VILLAGE / Greene (V),"Replace aged water mains, storage tank upgrades, chlorination improvements, and pressure improvements., Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Pump Station, Upgrade Distribution System","1,800","$15,975,300",55,"$270,378,952",NY_Y0_multiyear-0001
18198,Chenango,OXFORD VILLAGE / Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System","1,738",$0,45,"$270,378,952",NY_Y0_multiyear-0001
18717,Chenango,SOUTH OTSELIC WATER DISTRICT / Otselic (T),"Water System Improvements - source, treatment, storage, distribution, and meters. , Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,"$3,250,000",35,"$273,628,952",NY_Y0_multiyear-0001
18554,Chenango,AFTON VILLAGE / Afton (V),"Replace existing 50 year old water storage tank., Upgrade Storage",838,"$999,985",$30,"$274,628,937",NY_Y0_multiyear-0001
18076,Chenango,OXFORD VILLAGE / Oxford (V),New Storage,"1,738","$250,290",25,"$274,879,227",NY_Y0_multiyear-0001
18328,Clinton,PLATTSBURGH CITY / Plattsburgh (C),"WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000","$19,800,000",95,"$294,679,227",NY_Y0_multiyear-0001
18165,Clinton,DANNEMORA (T) LEDGERS CORNERS WD / Dannemora (T),"Extend the Clinton County Correctional Facility water system to serve area with contaminated private wells, New Distribution System, New Water District",322,"$4,171,450",$65,"$298,850,677",NY_Y0_multiyear-0001
18386,Clinton,REDFORD WATER DISTRICT / Saranac (T),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",486,"$1,984,430",50,"$300,835,107",NY_Y0_multiyear-0001
18981,Clinton,MORRISONVILLE WATER DISTRICT / Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System","1,300","$7,659,500",45,"$308,494,607",NY_Y0_multiyear-0001
18604,Clinton,BEEKMANTOWN WATER DISTRICT / Beekmantown (T),New Complete System (New System),250,"$6,862,378",45,"$315,356,985",NY_Y0_multiyear-0001
18732,Clinton,BLACK BROOK WD #1 (AUSABLE FORKS WD) / Black Brook (T),"Source Storage, & Transmission Improvements., New Ground Water Source, Upgrade Transmission, New Storage",594,"$1,798,800",40,"$317,155,785",NY_Y0_multiyear-0001
18867,Clinton,CHAMPLAIN VILLAGE / Champlain (V),"Replacement of failing watermain., Upgrade Distribution System","2,947","$1,442,000",35,"$318,597,785",NY_Y0_multiyear-0001
18809,Clinton,ROUSES POINT VILLAGE WD / Village of Rouses Point,"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station","2,550","$7,622,000",35,"$326,219,785",NY_Y0_multiyear-0001
18974,Clinton,BLACK BROOK WD NO2 / Black Brook (T),"Installationg and replacment of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,"$845,000",30,"$327,064,785",NY_Y0_multiyear-0001
17683,Clinton,PLEASANT RIDGE WD / Plattsburgh (T),New Storage,168,"$1,985,000",20,"$329,049,785",NY_Y0_multiyear-0001
18027,Clinton,PLATTSBURGH AIRPORT / Clinton County,Upgrade Distribution System,"47,000","$10,402,825",20,"$339,452,610",NY_Y0_multiyear-0001
18031,Columbia,VALATIE VILLAGE / Valatie (V),"New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","2,000","$1,982,750",135,"$341,435,360",NY_Y0_multiyear-0001
18262,Columbia,CHATHAM VILLAGE / Chatham (V),"Replace Open Reservoir, Upgrade Wells, Replace Aged Mains., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","2,156","$400,000",75,"$341,835,360",NY_Y0_multiyear-0001
18821,Columbia,GREENPORT WD NO1 / Greenport (T),"Source, Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","4,050","$6,228,500",65,"$348,063,860",NY_Y0_multiyear-0001
18948,Columbia,CHATHAM VILLAGE / Chatham (V),Upgrade Distribution System,"2,156","$1,432,215",30,"$349,496,075",NY_Y0_multiyear-0001
18620,Columbia,KINDERHOOK VILLAGE / Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement., Upgrade Distribution System","1,385","$930,000",10,"$350,426,075",NY_Y0_multiyear-0001
18283,Cortland County,CORTLAND (C) / Cortland (T),"Broadway Well Field Treatment Improvements., Upgrade Water Treatment Plant","20,095","$3,500,000",70,"$353,926,075",NY_Y0_multiyear-0002
18007,Cortland,MARATHON VILLAGE / Marathon (V),"New Storage, New Pump Station, Upgrade Distribution System","1,107","$2,947,345",55,"$356,873,420",NY_Y0_multiyear-0002
18206,Cortland,CORTLAND (C) / Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System","20,095","$2,009,463",50,"$358,882,883",NY_Y0_multiyear-0002
18888,Cortland,MARATHON VILLAGE / Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System","1,107","$750,000",40,"$359,632,883",NY_Y0_multiyear-0002
18452,Cortland,CORTLAND (C) / Cortland (C),"Sevice Line Replacement, Upgrade Distribution System","20,095","$3,150,000",35,"$362,782,883",NY_Y0_multiyear-0002
18909,Cortland,CORTLAND (C) / Cortland (C),"Homer Ave Reconstruction & Water Main Replacement Project., Upgrade Distribution System","20,095","$5,455,000",35,"$368,237,883",NY_Y0_multiyear-0002
18348,Delaware County,ROXBURY WATER DISTRICT / Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,$0,1150,"$368,237,883",NY_Y0_multiyear-0002
18338,Delaware,SIDNEY VILLAGE / Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System","5,100",$0,1140,"$368,237,883",NY_Y0_multiyear-0002
18803,Delaware,HOBART VILLAGE / Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,"$789,000",105,"$369,026,883",NY_Y0_multiyear-0002
18367,Delaware,FISHS EDDY COMMUNITY WATER SUP / Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",150,"$356,895",80,"$369,383,778",NY_Y0_multiyear-0002
18133,Delaware,BOVINA CENTER WATER DIST. NO 1 / Bovina (T),New Ground Water Source,142,"$657,000",$75,"$370,040,778",NY_Y0_multiyear-0002
17417,Delaware,ARKVILLE WATER DISTRICT / Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,"$1,833,375",$75,"$371,874,153",NY_Y0_multiyear-0002
18525,Delaware,HANCOCK VILLAGE / Hancock Village,"Village wide water system improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,189",$0,60,"$371,874,153",NY_Y0_multiyear-0002
18216,Delaware,WALTON VILLAGE / Walton (V),"Replace two tanks and aged mains on Bruce, Prospect and Burton Sts., Upgrade Storage, Upgrade Distribution System","3,070","$2,000,000",$45,"$373,874,153",NY_Y0_multiyear-0002
18831,Delaware,FRANKLIN VILLAGE / Franklin (V),"Replace existing 250,000-gal water storage tank., New Storage",481,"$767,350",35,"$374,641,503",NY_Y0_multiyear-0002
18916,Delaware,HAMDEN WATER DIST 1 - HAMDEN / Hamden (T),"Hamden WD Distribution System Upgrades., Upgrade Distribution System",110,"$334,235",25,"$374,975,738",NY_Y0_multiyear-0002
16741,Dutchess County,PAWLING VILLAGE / Pawling (V),"New Surface Water Treatment Rule Compliance Facility, New Ground Water Source","1,907","$150,000",1155,"$375,125,738",NY_Y0_multiyear-0002
18120,Dutchess,POUGHKEEPSIE CITY / Poughkeepsie (C),"Upgrade Storage, New Storage, Upgrade Distribution System","28,000",$0,"$1,135","$375,125,738",NY_Y0_multiyear-0002
15301,Dutchess,TIVOLI VILLAGE WATER / Tivoli (V),"Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Storage, Upgrade Pump Station, Upgrade Distribution System, New System Consolidation","1,303","$2,000,000",1110,"$377,125,738",NY_Y0_multiyear-0002
18090,Dutchess County,REVERE PARK (E.FISH.WD#2) / East Fishkill (T),"Interconnection of Hopewell West and Revere Park with Hopewell Hamlet via Fishkill Plains., New Distribution System, Upgrade Distribution System, New Inter-Connection",280,"$4,998,670",165,"$382,124,408",NY_Y0_multiyear-0002
17574,Dutchess,PLEASANT VALLEY WD / Pleasant Valley (T),New Complete System (New System),"2,500","$7,855,000",$110,"$389,979,408",NY_Y0_multiyear-0002
17338,Dutchess,DUTCHESS ESTATES INC / Dutchess Estates Water Company,"Upgrade Ground Water Source, Upgrade Storage, Upgrade Pump Station",500,"$455,388",100,"$390,434,796",NY_Y0_multiyear-0002
16236,Dutchess,RED HOOK VILLAGE / Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,214",$0,60,"$390,434,796",NY_Y0_multiyear-0002
17868,Dutchess,WOODHILL GREEN / Woodhill Green Condos,"New Water Treatment Plant, New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",483,"$2,279,500",60,"$392,714,296",NY_Y0_multiyear-0002
18179,Dutchess,DOVER RIDGE ESTATES / Beekman (T),"New Water Treatment Plant, New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",250,"$1,019,860",55,"$393,734,156",NY_Y0_multiyear-0002
18569,Dutchess,BRINKERHOFF WATER DISTRICT / Fishkill (T),"Interconnection to Merritt Park Water District, New Inter-Connection","3,788","$2,633,200",55,"$396,367,356",NY_Y0_multiyear-0002
18822,Dutchess,WAPPINGERS FALLS VILLAGE / Wappingers Falls (V),"New Greensand WTP for Mn Removal and replace water storage tanks, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage","6,000","$15,239,487",50,"$411,606,843",NY_Y0_multiyear-0002
18163,Dutchess,HILLSIDE LAKE WATER DISTRICT / East Fishkill,"Construct a potable water system for the Hillside Lake Community., New Complete System (New System)","1,100","$14,219,665",45,"$425,826,508",NY_Y0_multiyear-0002
17505,Dutchess,PAWLING WD #2 / Pawling (T) WD #2,"Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Pump Station",225,"$218,820",45,"$426,045,328",NY_Y0_multiyear-0002
18536,Dutchess,PINEBROOK ESTATES / DCWWA,"Interconnection to DCWWA Hyde Park System., New Distribution System, New Inter-Connection",200,"$3,489,161",$45,"$429,534,489",NY_Y0_multiyear-0002
18723,Dutchess,POUGHKEEPSIE CITY / City of Poughkeepsie,Upgrade Distribution System,"28,000","$15,770,000",45,"$445,304,489",NY_Y0_multiyear-0002
18830,Dutchess,WAPPINGERS FALLS VILLAGE / Wappingers Falls (V),"Interconnection between Wappingers Falls (V) and Wappinger (T)., New Inter-Connection","6,000","$1,440,252",45,"$446,744,741",NY_Y0_multiyear-0002
18028,Dutchess,POUGHKEEPSIE CITY / City of Poughkeepsie,"Upgrade Other Expenses, Upgrade Other (OT)","28,000","$4,311,035",$40,"$451,055,776",NY_Y0_multiyear-0002
18512,Dutchess,JOHN JAY HIGH SCHOOL / Wappinger Central School Dist.,"Proposed interconnection to Town of East Fishkill, New Inter-Connection","2,312","$275,352",$40,"$451,331,128",NY_Y0_multiyear-0002
18140,Dutchess,RED HOOK VILLAGE / Red Hook (V),"New Storage, Upgrade Distribution System","2,214",$0,$40,"$451,331,128",NY_Y0_multiyear-0002
18918,Dutchess,RHINEBECK VILLAGE WATER / Rhinebeck (V),"Upgrade Water Treatment Plant, Upgrade Storage","4,300","$6,649,680",40,"$457,980,808",NY_Y0_multiyear-0002
18698,Dutchess,POUGHKEEPSIE WATER TREATMENT FACILITY / Poughkeepsie JWB,Upgrade Water Treatment Plant,"77,000","$4,921,000",40,"$462,901,808",NY_Y0_multiyear-0002
