Applicant Name,,Project Name,PWSID,Service Populati on,County,Total Funding Request,Notes,Base DWSRF Principal Forgivene ss,Base DWSRF Loans,BIL Suppl. DWSRF Principal Forgivene ss,BIL Suppl. DWSRF Loans,Priorit y Points,Estimated Binding Commitme nt,page
Orange Water and Sewer Authority,,Jones Ferry Road WTP-Electrical distribution improvements,,,Orange,"$9,526,420",,,,,,34,,14
Neuse Regional Water and Sewer Authority,,Chemical Tanks Replacement,,,Lenoir,"$2,366,000",,,,,,34,,14
Jones County,,2022 ARPA Water Improvements,,,Jones,"$1,250,000",,,,,,34,,14
North Lenoir Water Corp,,2022 Water System Improvements,,,Lenoir,"$4,139,500",,,,,,34,,14
"Franklinville , Town of",,Franklinville Water Supply Interconnection with Asheboro,,,Randolph,"$8,662,375",,,,,,34,,14
"Monroe, City of",,John Glenn Water Treatment Plant Resiliency Improvements,,,Union,"$4,615,252",,,,,,33,,14
"Teachey, Town of",,2022 Water System Improvements,,,Duplin,"$3,203,435",,,,,,33,,14
"Rich Square, Town of",,Phase 4 Water Improvements,,,Northampt on,"$6,513,620",,,,,,33,,14
"Greenevers, Town of",,Automatic Meter Reading System,,,Duplin,"$735,880",,,,,,33,,14
"Greenevers, Town of",,Water Line Inter- connection with Duplin County Water System.,,,Duplin,"$194,580",,,,,,33,,15
"Albemarle, City of",,US52 WTP 20-inch Water Transmission Main,,,Stanly,"$5,565,000",,,,,,32,,15
"Lexington, City of",,Water Treatment Plant Phase 1 Rehabilitation,,,Davidson,"$21,288,500",,,,,,32,,15
"Morganton, City of",,"WTP Coagulation, Flocculation, and Sedimentation Improvement Plan",,,Burke,"$4,162,000",,,,,,32,,15
"Mount Airy, City of",,2022 Water Line Replacements,,,Surry,"$7,965,200",,,,,,32,,15
Fayetteville Public Works Commission,,Hoffer WTF Expansion Phase 3: Residual Improvements,,,Cumberlan d,"$20,784,031",,,,,,32,,15
"West Jefferson, Town of",,Westwood Water tank Replacement,,,Ashe,"$654,500",,,,,,32,,15
Sampson County,,Johnston County Interconnection Phase II,,,Sampson,"$2,638,270",,,,,,32,,15
Columbus County Water District IV,,Water System Improvements - Riegelwood Subdivision,,,Columbus,"$1,943,245",,,,,,31,,16
"Weaverville, Town of",,Water Supply Resiliency Improvement Project,,,Buncombe,"$9,295,700",,,,,,30,,16
"Elkin, Town of",,West Zone Improvements,,,Surry/ Wilkes,"$5,472,048",,,,,,30,,16
Rocky Point Topsail Water and Sewer District,,Water Line and RO Plant,,,Pender,"$55,000,000",,,,,,30,,16
"Stovall, Town of",,"Stovall Water Tank and Water System Rehabilitation, Phase 2",,,Granville,"$7,859,240",,,,,,30,,16
"Brunswick, Town of",,Brunswick Water System - Resiliency Improvements,,,Columbus,"$2,500,000",,,,,,30,,16
"Oxford, City of",,Oxford NC - Meter Modernization,,,Granville,"$4,572,894",,,,,,30,,16
"Oxford, City of",,"Water System Expansion and Enhancement, Phase 5",,,Granville,"$3,644,695",,,,,,30,,16
"Fremont, Town of",,AMR Meters/Water Meter Replacement,,,Wayne,"$930,612",,,,,,30,,17
"Pine Knoll Shores, Town of",,Water Main (Various Streets) and Water Tower Expansion,,,Carteret,"$8,773,026",,,,,,29,,17
Fayetteville Public Works Commission,,Water Distribution System Rehabilitation,,,Cumberlan d,"$4,940,413",,,,,,29,,17
Moore's Creek Water and Sewer District,,US 421 CFPUA Water Interconnection Project,,,Pender,"$578,660",,,,,,28,,17
Ocracoke Sanitary District,,Water Meter Replacement,,,Hyde,"$798,000",,,,,,28,,17
Moore's Creek Water and Sewer District,,US 421 Blueberry Road Water Connection Project,,,Pender,"$3,956,400",,,,,,28,,17
"Autryville, Town of",,Autryville Drinking Water System Improvements,,,Sampson,"$5,599,550",,,,,,28,,17
"Graham, City of",,"10"" Water Main Replacement - Phase 2",,,Alamance,"$4,500,000",,,,,,27,,17
"Graham, City of",,Downtown Water Improvements,,,Alamance,"$760,000",,,,,,27,,17
"Graham, City of",,West Elm Street Water Line Replacement,,,Alamance,"$1,200,000",,,,,,27,,18
"Holly Springs, Town of",,Water Conveyance System from City of Sanford WFF,,,Wake,"$33,849,350",,,,,,27,,18
Greenville Utilities Commission,,GUC Distribution System Improvements Study,,,Pitt,"$400,000",Funded with other sources,,,,,27,,18
Edgecombe County,,2022 General Water System Improvements,,,Edgecombe,"$7,503,000",,,,,,27,,18
"Wadesboro, Town of",,Elevated Storage Tank,,,Anson,"$4,812,000",,,,,,26,,18
"Fuquay- Varina, Town of",,Water Conveyance System from City of Sanford WFF,,,Wake,"$63,898,350",,,,,,26,,18
"Lenoir, City of",,Finley Area Water System Improvements,,,Caldwell,"$5,750,000",,,,,,26,,18
"Weaverville, Town of",,Water Treatment Plant Expansion,,,Buncombe,"$25,608,871",,,,,,26,,18
Johnston County,,TGB WTP 14-18 MGD Expansion,,,Johnston,"$55,200,000",,,,,,26,,18
"Ossipee, Town of",,Elon Ossipee Road Waterline,,,Alamance,"$639,850",,,,,,26,,18
"Robersonvill e, Town of",,Meter Replacement Project,,,Martin,"$1,140,576",,,,,,26,,18
"Whitsett, Town of",,Highway 61 Watermain Extension,,,Guilford,"$440,000",,,,,,26,,19
"Asheboro, City of",,Lake Lucas Dam Intake Improvements Project,,,Randolph,"$2,500,000",,,,,,25,,19
"Greensboro, City of",,Water Booster Station Stand-By Power Generator,,,Guilford,"$7,288,000",,,,,,25,,19
"Wilkesboro, Town of",,Water Treatment Plant and Intake Upgrades,,,Wilkes,"$25,472,700",,,,,,25,,19
"Gibsonville, Town of",,New Water Tank,,,Alamance/ Guilford,"$2,000,000",,,,,,25,,19
"Brevard, City of",,Water Storage Tank Expansion,,,Transylvani a,"$386,000",,,,,,25,,19
"St. Pauls, Town of",,Water Well and Elevated Storage Tank Replacement,,,Robeson,"$4,425,400",,,,,,25,,19
"Shallotte, Town of",,Water System Merger,,,Brunswick,"$5,000,000",,,,,,25,,19
"Pittsboro, Town of",,Hearne Road Water Main Replacement,,,Chatham,"$550,000",,,,,,25,,19
"Lake Waccamaw, Town of",,Phase 2 Water Improvements,,,Columbus,"$3,522,640",,,,,,25,,19
Sampson County,,Keener Groundwater Supply Well,,,Sampson,"$1,503,825",,,,,,25,,20
"Valdese, Town of",,Valdese Water Treatment Plant Improvements,,,Burke,"$4,765,600",,,,,,24,,20
"Lenoir, City of",,Whitnell Water Transmission Main Replacement,,,Caldwell,"$5,480,000",,,,,,24,,20
"Ahoskie, Town of",,Elevated Water Tank and Hydraulic Loop,,,Hertford,"$3,667,600",,,,,,24,,20
"Haw River, Town of",,Roma Road Waterline Replacement,,,Alamance,"$1,750,000",,,,,,24,,20
"Haw River, Town of",,Spray Street Waterline Replacement,,,Alamance,"$750,000",,,,,,24,,20
"Sims, Town of",,Meter Replacement,,,Wilson,"$202,233",,,,,,24,,20
"Robbinsville , Town of",,Tallulah Creek Water Treatment Plant Upgrades,,,Graham,"$1,413,750",,,,,,24,,20
"Rowland, Town of",,Water Main Improvements & Water Meter Replacement,,,Robeson,"$1,265,000",,,,,,24,,20
Lower Cape Fear Water & Sewer Authority,,Kings Bluff Air Backwash Buildings and Walkway Replacement Project,,,Brunswick,"$2,745,330",,,,,,23,,21
"Graham, City of",,"10"" Water Main Replacement from Treatment Plant to northwest Graham",,,Alamance,"$10,092,000",,,,,,23,,21
"Spruce Pine, Town of",,Water Infrastructure Upgrade,,,Mitchell,"$8,389,800",,,,,,23,,21
Warren County,,Regional Elevated Storage Tank,,,Warren,"$5,108,500",,,,,,23,,21
Warren County,,Regional Elevated Storage Tank (Planning grant),,,Warren,"$189,500",Funded with other sources,,,,,23,,21
"East Bend, Town of",,Water System Replacement,,,Yadkin,"$11,788,234",,,,,,23,,21
"Harrisburg, Town of",,FY2022 Waterline Upgrade - Cabarrus Woods Phase 1,,,Cabarrus,"$1,280,318",,,,,,22,,21
"Mebane, City of",,Elevated Storage Tank,,,Alamance,"$6,362,000",,,,,,22,,21
Mocksville,,Madison Road BPS Renovation and North Elevated Tank,,,Davie,"$2,326,200",,,,,,22,,22
Stanly Water & Sewer Authority,,Water System Improvements - Phase IV,,,Stanly,"$4,449,662",,,,,,22,,22
"Ayden, Town of",,West College/Cannon/Fen der Street Water Line Improvements,,,Pitt,"$477,400",,,,,,22,,22
"Plymouth, Town of",,2022 Water System Improvements,,,Washington,"$5,772,997",,,,,,22,,22
Sampson County,,Governor Moore Rd and South McCullen Rd Water Main Extensions,,,Sampson,"$1,671,750",,,,,,22,,22
Sampson County,,Town of Harrell's Interconnection,,,Sampson,"$2,762,800",,,,,,22,,22
"Star, Town of",,Tank Rehabilitation and Water Meter Replacement,,,Montgomer y,"$1,065,000",,,,,,22,,22
Onslow Water and Sewer Authority,,Highway 24 Water Transmission Main Rehabilitation,,,Onslow,"$10,962,000",,,,,,21,,22
Johnston County,,Water Supply Improvements to Cleveland BPS,,,Johnston,"$7,562,000",,,,,,21,,23
Lower Cape Fear Water & Sewer Authority,,Generators at King's Bluff Raw Water Pump Station,,,Brunswick,"$9,871,060",,,,,,20,,23
Stanly County,,Millingport Road Waterline Interconnect,,,Stanly,"$3,939,750",,,,,,20,,23
"Yanceyville, Town of",,Small Waterline Replacement,,,Caswell,"$1,325,000",,,,,,20,,23
Onslow Water and Sewer Authority,,Dixon WTP Expansion,,,Onslow,"$250,000",Funded with other sources,,,,,19,,23
"Nags Head, Town of",,AMI smart meters,,,Dare,"$2,379,235",,,,,,19,,23
"Lansing, Town of",,Water system improvements,,,Ashe,"$1,555,250",,,,,,18,,23
"Linden, Town of",,Water meter replacement project,,,Cumberlan d,"$400,996",,,,,,18,,23
"Ranlo, Town of",,New Water Interconnect,,,Gaston,"$1,796,000",,,,,,18,,23
Junaluska Sanitary District,,HCC/Broyhill Tank,,,Haywood,"$3,308,160",,,,,,17,,23
Martin County,,2022 District I and II Water System Improvements,,,Martin,"$4,817,600",,,,,,17,,23
"Raeford, City of",,"Hwy. 401 12"" Transmission Line",,,Hoke,"$1,697,150",,,,,,16,,24
"Thomasville , City of",,Alum Sludge Centrifuge Project,,,Davidson,"$5,161,300",,,,,,16,,24
"White Lake, Town of",,Phase 1 Water Improvements,,,Bladen,"$1,407,001",,,,,,16,,24
"Forest City, Town of",,Morrow Motor Water System Improvements,,,Rutherford,"$3,662,300",,,,,,15,,24
"Gibsonville, Town of",,Highway 61 Connector - Cone Club to Town,,,Alamance/ Guilford,"$3,000,000",,,,,,15,,24
"Gastonia, City of",,Southeast Water Expansion,,,Gaston,"$7,165,510",,,,,,14,,24
"Goldsboro, City of",,2017 Design Fees,,,Wayne,"$300,200",Funded with other sources,,,,,9,,24
Wilkes County,,Wilkes County Infrastructure Extension Project,,,Wilkes,"$400,000",Funded with other sources,,,,,7,,24
Lower Cape Fear Water & Sewer Authority,,48” Parallel Raw Water Main PER & Rate Study Project,,,Brunswick,"$275,000",Funded with other sources,,,,,5,,24
Lower Cape Fear Water & Sewer Authority,,Kings Bluff 4th Pump Addition Project,,,Brunswick,"$3,781,450",,,,,,5,,24
