"",,,,,,,
Project Project Description,Zip,Priority Service Area,Eligible,,Green,Loan Amount,Statewide
"Morton, City of",Replace Water Mains/Hydrants/Rehab Storage Tank,39117,"292 7000 $500,000",,$0,"$7,000,000","$174,417,834"
"Raymond, City of",Replace Water Mains/ Hydrants/ Rehab Storage,39154,276 2894 $0,,$0,"$3,750,000","$178,167,834"
"Lake City Water Association, Inc.",Rehab/ Replacement of Existing Facilities,39071,266 1911 $0,,$0,"$2,500,000","$180,667,834"
East Laflore Water & Sewer Assn.,Rehab/ Replacement of Existing Facilities,38930,264 5161 $0,,$0,"$11,168,871","$191,836,705"
North Tallahatchie Water Assn.,Rehab/ Replacement of Existing Facilities,38921,258 2982 $0,,$0,"$4,635,319","$196,472,024"
"Jumpertown, Town of",Rehab/ Replacement of Existing Facilities,38829,242 1150 $0,,$0,"$2,458,600","$198,930,624"
Leesburg Water Association,Rehab/ Replacement of Existing Facilities,39145,219 4182 $0,,$0,"$2,205,000","$201,135,624"
Black Bayou Water Assn.,Distribution Improvements,38756,212 2785 $0,,$0,"$14,100,000","$215,235,624"
West Jackson Co. Utility District,Rehab/ Replacement of Existing Facilities,39564,205 29000 $0,,$0,"$12,215,220","$227,450,844"
Leesburg Water Association,Rehab/ Replacement of Existing Facilities,,193 4182 $0,,$0,"$2,505,000","$229,955,844"
Crossroads Water Assn.,Rehab/ Replacement of Existing Facilities,38916,174 1600 $0,,$0,"$3,057,336","$233,013,180"
"Pachuta, Village of",Rehab/ Replacement of Existing Facilities,39347,165 143 $0,,$0,"$948,145","$233,961,325"
Winterville Water Association,Rehab/ Replacement of Existing Facilities,38703,130 90 $0,,$0,"$518,000","$234,479,325"
McCarley Water Assn.,Rehab/ Replacement of Existing Facilities,38943,120 647 $0,,$0,"$2,394,289","$236,873,614"
"Pittsboro, Town of",Rehab/ Replacement of Existing Facilities,38951,100 1077 $0,,$0,"$4,055,512","$240,929,126"
Copiah Water Association,Rehab/ Replacement of Existing Facilities,39083,99 2200 $0,,$0,"$4,100,000","$245,029,126"
Morgan City Water Assn.,Rehab/ Replacement of Existing Facilities,38946,97 250 $0,,$0,"$1,552,953","$246,582,079"
Poplar Springs Water District,Rehab/ Replacement of Existing Facilities,39114,88 1188 $0,,$0,"$4,534,031","$251,116,110"
Rocky Creek Utilities,Rehab/ Replacement of Existing Facilities,39452,85 2200 $0,,$0,"$3,503,948","$254,620,058"
St. Thomas Water Association,Rehab/ Replacement of Existing Facilities,39041,73 732 $0,,$0,"$2,075,290","$256,695,348"
"Lake, Town of",Rehab/ Replacement of Existing Facilities,39092,66 439 $0,,$0,"$3,300,725","$259,996,073"
Big Black Water Association,Rehab/ Replacement of Existing Facilities,39046,58 26719 $0,,$0,"$7,328,980","$267,325,053"
"Valley Park Water Association, Inc.",Water System Improvements,39177,"23 448 $125,055",,$0,"$500,221","$267,825,274"
"",,,,,,,
Project Project Description,,Zip,Priority Service Area Eligible,,Green,Loan Amount,Statewide
"",,Code,Points  Population PF Amount,,Project,Requested,Cum. $
Category XII: Consolidation Projects,,,,,,,
Jackson Co. Utility Authority  Consolidation,,39567,118 12000 $0,,$0,"$3,810,000","$271,635,274"
Jackson Co. Utility Authority  Consolidation,,39567,76 75000 $0,,$0,"$31,750,000","$303,385,274"
Jackson Co. Utility Authority  Consolidation,,39567,71 75000 $0,,$0,"$1,270,000","$304,655,274"
Jackson Co. Utility Authority  Consolidation,,39567,32 6600 $0,,$0,"$279,400","$304,934,674"
Jackson Co. Utility Authority  Consolidation,,39567,1 12000 $0,,$0,"$2,540,000","$307,474,674"
