System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Total Project
 Cost","Estimated
 Project Cost
 PRIVATE
 (1)","Estimated
 Project Cost
 PUBLIC
 (2)","Estimated
 DWRF LSL
 PF Grant
 (3)","Estimated
 DWRF LSL
 Loan
 (4)","Estimated
 State LSL
 Grant
 (5)",IUP Status
Duluth,589,10,Other - LSL Repl - Phase 3,1690011-15,"85,852",Apr-24,"4,430,687","2,791,333","1,639,354","2,791,333","1,639,354","1,639,354",23 Carryover
Duluth,590,10,Other - LSL Repl - Phase 4,1690011-16,"85,852",Apr-24,"2,500,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000",23 Carryover
PART B - FUNDABLE: New Project Requests - Lead Service Lines,,,,,,,,,,,,,
Crosby,19,20,Other - LSL Replacement,1180008-12,"2,677",May-24,"250,000","200,000","50,000","200,000","50,000","50,000",Part B
Staples,26,20,Other - LSL Replacement (4th St. NE),1770011-11,"1,859",Jun-25,"126,000","63,000","63,000","63,000","63,000","63,000",Part B
Park Rapids,30,20,Other - LSL Replacement Central Ave,1290003-8,"4,163",May-25,"421,642","210,821","210,821","210,821","210,821","210,821",Part B
Houston,37,20,Other - LSL Replacement Spruce St,1280005-5,892,May-25,"41,000","20,500","20,500","20,500","20,500","20,500",Part B
Fergus Falls,47,20,Other - LSL Replacement Phase 1,1560014-2,"14,108",Jun-25,"581,250","290,625","290,625","290,625","290,625","290,625",Part B
Fergus Falls,48,20,Other - LSL Replacement Phase 2,1560014-3,"14,108",Jun-25,"1,556,250","778,125","778,125","778,125","778,125","778,125",Part B
Fergus Falls,49,20,Other - LSL Replacement Phase 3,1560014-4,"14,108",Jun-25,"1,500,000","750,000","750,000","750,000","750,000","750,000",Part B
Fergus Falls,50,20,Other - LSL Replacement Phase 4,1560014-5,"14,108",Jun-25,"1,700,000","850,000","850,000","850,000","850,000","850,000",Part B
Fergus Falls,51,20,Other - LSL Replacement Phase 5,1560014-6,"14,108",Jun-25,"1,925,000","962,500","962,500","962,500","962,500","962,500",Part B
Fergus Falls,52,20,Other - LSL Replacement Phase 6,1560014-7,"14,108",Jun-25,"1,462,500","731,250","731,250","731,250","731,250","731,250",Part B
Albert Lea,58,20,Other - LSL Replacement 2025,1240001-5,"18,433",Jul-24,"1,500,000","500,000","1,000,000","500,000","1,000,000","1,000,000",Part B
Lewisville,60,20,Other - LSL Replacement,1830003-8,333,May-24,"65,250","32,625","32,625","32,625","32,625","32,625",Part B
Royalton,68,20,Other - LSL Replacement,1490006-8,"1,236",Jun-25,"300,000","225,000","75,000","225,000","75,000","75,000",Part B
Lamberton,74,20,Other - LSL Replacement,1640003-14,847,May-25,"325,000","325,000",-,"325,000",-,-,Part B
Fairmont,76,20,Other - LSL Replacement,1460003-4,"10,465",Jun-25,"5,352,900","2,569,392","2,783,508","2,569,392","2,783,508","2,783,508",Part B
Morgan,77,20,Other - LSL Replacement,1640006-6,896,Jun-25,"128,000","128,000",-,"128,000",-,-,Part B
Breckenridge,81,20,Other - LSL Replacement,1840002-5,"3,390",May-25,"840,000","840,000",-,"840,000",-,-,Part B
Rich Prairie Sewer and Wate,89,20,Other - 2025 LSL Replacement,1490004-7,"1,418",Jun-25,"643,700","643,700",-,"643,700",-,-,Part B
Granite Falls,91,20,Other - LSL Replacement,1870004-3,"2,423",Jun-25,"1,060,000","530,000","530,000","530,000","530,000","530,000",Part B
Saint Cloud,92,20,Other - LSL Pan Park Phase 4,1730027-28,"68,910",Jun-25,"155,940","155,940",-,"155,940",-,-,Part B
Saint Cloud,93,20,Other - LSL Lincoln Ave,1730027-29,"68,910",Jun-25,"90,965","90,965",-,"90,965",-,-,Part B
Saint Cloud,94,20,Other - LSL University Dr,1730027-30,"68,910",Jun-24,"141,760","141,760",-,"141,760",-,-,Part B
Saint Cloud,95,20,Other - LSL Park Addition,1730027-31,"68,910",Jun-25,"1,667,250","1,667,250",-,"1,667,250",-,-,Part B
Saint Cloud,96,20,Other - LSL Emergency Replacement,1730027-32,"68,910",Jun-25,"604,700","604,700",-,"604,700",-,-,Part B
Moorhead,104,20,Other - LSL Replacement Phase 3,1140008-15,"43,409",Jun-24,"790,625","395,312","395,313","395,312","395,313","395,313",Part B
Moorhead,105,20,Other - LSL Replacement Phase 4,1140008-18,"43,409",Jun-24,"431,250","215,625","215,625","215,625","215,625","215,625",Part B
Howard Lake,108,20,Other - LSL Replacement,1860010-11,"1,897",Jun-24,"121,500","60,750","60,750","60,750","60,750","60,750",Part B
Blue Earth,110,20,Other - LSL Replacement 2025,1220001-7,"3,181",May-25,"1,965,600","1,965,600",-,"1,965,600",-,-,Part B
South Saint Paul,114,20,Other - LSL Replacement,1190020-4,"20,132",Apr-25,"8,976,000","4,488,000","4,488,000","4,488,000","4,488,000","4,488,000",Part B
Saint Paul Reg Water Servic,115,20,Other - LSL Replacement Phase 4,1620026-26,"308,806",Apr-24,"35,000,000","24,370,000","10,630,000","24,370,000","10,630,000","10,630,000",Part B
Duluth,116,20,Other - LSL Fairmont 1,1690011-21,"86,772",Apr-25,"11,000,000","5,500,000","5,500,000","5,500,000","5,500,000","5,500,000",Part B
Duluth,117,20,Other - LSL Lincoln 4,1690011-22,"86,772",Apr-25,"11,000,000","5,500,000","5,500,000","5,500,000","5,500,000","5,500,000",Part B
Duluth,118,20,Other - LSL 40th Ave W,1690011-23,"86,772",Apr-25,"654,500","327,250","327,250","327,250","327,250","327,250",Part B
Duluth,119,20,Other - LSL London Rd,1690011-24,"86,772",Apr-25,"1,320,000","660,000","660,000","660,000","660,000","660,000",Part B
Thief River Falls,126,20,Other - LSL Replacement,1570003-2,"8,871",Jun-25,"768,000","768,000",-,"768,000",-,-,Part B
Minneapolis,129,20,Other - LSL Replacement Streets Year 2,1270024-15,"424,536",Apr-25,"2,817,400","2,817,400",-,"2,817,400",-,-,Part B
Minneapolis,133,20,Other - LSL Repl Green Zones Year 2,1270024-19,"424,536",Apr-25,"4,978,400","4,978,400",-,"4,978,400",-,-,Part B
Sauk Rapids,138,20,Other - 2025 LSL Replacement,1050004-13,"13,830",May-25,"1,126,400","1,126,400",-,"1,126,400",-,-,Part B
Saint Paul Regional Water S,142,20,Other - LSL Replacement Urgent 2025,1620026-28,"308,806",Jan-25,"600,000","300,000","300,000","300,000","300,000","300,000",Part B
Anoka,147,20,Other - LSL Replacement (2000-14 Ph 2),1020001-4,"17,892",May-25,"1,190,000","1,190,000",-,"1,190,000",-,-,Part B
Norwood-Young America,149,20,Other - LSL Replacement-SW 4th Ave.,1100019-5,"3,162",May-25,"110,000","55,000","55,000","55,000","55,000","55,000",Part B
Minneapolis,150,20,"Other - LSL Repl (Leaking LSL Ph 2, 2025",1270024-24,"426,877",Jun-25,"1,820,000","1,820,000","1,820,000",-,,,Part B
Coon Rapids,155,20,Other - LSL Replacement 2025,1020017-4,"63,296",Jun-25,"443,750","443,750",-,"443,750",-,-,Part B
Mound,156,20,Other - LSL Replacement,1270038-2,"9,480",May-25,"544,800","544,800",-,"544,800",,,Part B
Foley,173,15,Other - LSL Replacement,1050001-11,"2,712",Jun-25,"1,706,795","853,397","853,398","853,397","853,398","853,398",Part B
Janesville,175,15,Other - LSL Replacement,1810001-3,"2,455",Jun-25,"582,748","582,748",-,"582,748",-,-,Part B
Utica,176,15,Other - LSL Replacement,1850011-6,184,May-24,"130,000","60,000","70,000","60,000","70,000","70,000",Part B
Cottonwood,177,15,Other - LSL Replacement,1420002-4,"1,160",May-24,"275,000","137,500","137,500","137,500","137,500","137,500",Part B
North Mankato,178,15,Other - LSL Replacement,1520005-2,"14,356",May-25,"2,212,000","2,212,000",-,"2,212,000",-,-,Part B
Rochester,184,15,Other - LSL Replacement 2025,1550010-3,"120,848",,"375,000","375,000",-,"375,000",-,-,Part B
Watertown,191,15,Other - LSL Replacement,1100012-6,"4,659",May-25,"54,600","27,300","27,300","27,300","27,300","27,300",Part B
New Prague,192,15,Other - LSL Replacement 2025,1400013-7,"8,155",Jun-25,"380,000","380,000",-,"380,000",-,-,Part B
Waconia,193,15,Other - LSL Replacement,1100010-3,"12,993",May-25,"495,000","247,500","247,500","247,500","247,500","247,500",Part B
Stillwater,195,15,Other - LSL Replacement,1820024-1,"19,316",Jun-25,"2,172,000","1,406,000","766,000","1,406,000","766,000","766,000",Part B
