System Name,MDH 2025 PPL Rank,MDH 2025 PPL Points,Project Description,Project Number,Population,Est. Const. Start,Estimated Project Cost,Estimated DWRF Loan,Estimated DWRF Emerging Contaminant PF Grant NOT FINAL (1),Estimated DWRF Emerging Contaminant PF Grant NOT FINAL (2),Estimated WIF Grant NOT FINAL (3),State of federal appropriation,Other funds, IUP Status
Dawson,230,12,Treatment - Plant Rehab,1370003-6,"1,540",Apr-24,"1,232,500","2 62,656",-,-,"969,844",-,-,21 Carryover
International Falls,255,12,Treatment - Plant Rehab,1360002-1,"5,816",Jun-23,"11,660,000","1 1,660,000",-,-,-,-,-,23 Carryover
Stewart,263,12,Watermain - Looping Improvements,1430009-7,610,Jun-24,"1,316,700","06 01,0848",-,-,"714,852",-,-,24 Carryover
Gilbert,274,12,Treatment - New Treatment Plant,1690020-8,"1,829",Jun-24,"12,759,000","7 ,759,000",-,-,"5,000,000",-,-,24 Carryover
Winsted,278,12,Source - New Well #5,1430010-6,"2,296",Jun-24,"1,310,000","1 ,310,000",-,-,-,-,-,24 Carryover
Underwood,282,12,Treatment - Replace Plant,1560026-6,389,May-25,"4,333,500","1 ,115,631",-,-,"3,217,869",-,-,24 Carryover
Franklin,283,12,Watermain - Looping,1650006-6,508,Jun-24,"195,880","9 5,0880",-,-,-,-,"100,000",24 Carryover
Silver Bay,284,12,Treatment - Plant Improvements,1380003-11,"1,610",Jan-24,"7,950,000","6 ,200,000",-,-,-,"1 ,750,000",-,23 Carryover
Bird Island,295,12,Watermain - Looping Improvements,1650001-6,960,Jul-24,"349,270","3 49,270",-,-,-,-,-,24 Carryover
Le Sueur,298,12,Watermain - New Booster Station & Wtrmn,1400010-9,"4,174",Aug-24,"2,200,000","2 ,200,000",-,-,-,-,-,22 Carryover
Northfield,306,12,Treatment - Gravity Filters and RO,1660010-2,"19,449",Oct-24,"61,500,000","6 1,500,000",-,-,-,-,-,24 Carryover
Aurora,250,10,Watermain - W 1st Ave. N. Reconstruction,1690002-7,"1,709",Jun-24,"2,611,000","5 22,0200",-,-,"2,088,800",-,-,24 Carryover
Aurora,251,10,Watermain - W3rd Ave/Main St Replaceme,1690002-9,"1,709",Jun-24,"2,431,000","4 86,200",-,-,"1,944,800",-,-,24 Carryover
Appleton,370,10,"Watermain - Replace Schlieman, Ph 1",1760001-2,"1,339",May-24,"2,153,940","4 30,0788",-,-,"1,723,152",-,-,22 Carryover
Appleton,372,10,"Watermain - Replace Schlieman, Ph 2",1760001-4,"1,339",Jun-25,"2,593,165","5 18,0633",-,-,"2,074,532",-,-,24 Carryover
Aitkin,376,10,Storage - Water Tower Installation,1010001-10,"2,126",May-24,"5,068,190","2 ,748,190",-,-,-,"2 ,320,000",-,24 Carryover
Eagle Bend,382,10,Watermain -Phase 5,1770004-8,519,Jun-24,"994,170","1 98,834",-,-,"795,336",-,-,24 Carryover
Staples,403,10,Watermain - 2024 Improvements,1770011-8,"1,859",May-24,"324,330","3 24,0330",-,-,-,-,-,24 Carryover
Henning,425,10,Watermain - Replace Cast Iron Main,1560016-9,806,Jun-25,"8,325,000","3 ,325,000",-,-,"5,000,000",-,-,23 Carryover
Henning,431,10,Treatment - Facility Rehab,1560016-12,776,Jan-25,"4,700,000","9 40,000",-,-,"3,760,000",-,-,24 Carryover
Crosby,441,10,Watermain - Phase 3B Imp. 2024/2025,1180008-13,"2,749",May-24,"1,756,841","3 51,368",-,-,"1,405,473",-,-,24 Carryover
Little Falls,447,10,Watermain - 4th Street Improvements,1490002-8,"9,049",May-24,"1,745,520","1 ,745,520",-,-,-,-,-,24 Carryover
Braham,459,10,Watermain - Repl Various Areas,1300001-3,"1,800",May-24,"3,186,217",-,-,-,-,"3 ,186,217",-,24 Carryover
Ely,461,10,Watermain - Raw Water Intake/WM Repl,1690014-4,"3,280",Dec-24,"4,513,000","4 ,513,000",-,-,-,-,-,24 Carryover
Frazee,467,10,Watermain - Replace East Main Ave.,1030014-5,"1,146",May-24,"735,000","2 82,032",-,-,"452,968",-,-,24 Carryover
Madison,469,10,Treatment - Plant Rehab,1370004-6,"1,483",Jul-24,"5,550,000","1 ,110,000",-,-,"4,440,000",-,-,24 Carryover
Annandale,473,10,Storage - Tower Rehab,1860002-8,"3,420",May-24,"647,864","6 47,864",-,-,-,-,-,23 Carryover
Glenwood,476,10,Storage - Ground Storage Tank Rehab,1610003-13,"2,563",May-24,"540,700","5 40,700",-,-,-,-,-,24 Carryover
Blue Earth,482,10,Treatment - RO for Softening,1220001-4,"3,138",Mar-23,"13,860,000","1 ,860,000",-,"5,000,000",-,-,"7,000,000",22 Carryover
Chisholm,485,10,Watermain - 5th St South Replacement,1690007-3,"4,784",May-25,"2,290,000","7 74,101",-,-,-,-,-,24 Carryover
Browerville,487,10,Watermain - Creamery Ave. Improvements,1770002-7,920,May-24,"1,805,971","1 ,805,971",-,-,-,-,-,24 Carryover
International Falls,492,10,Watermain - Replace 9th Street,1360002-3,"5,816",May-24,"1,625,950","1 ,625,950",-,-,-,-,-,24 Carryover
Wells,494,10,Watermain - 2024 Street - Phase 1,1220010-3,"2,283",May-24,"960,180","9 60,180",-,-,-,-,-,24 Carryover
Wells,495,10,Watermain - CSAH 60 St. - Phase 2,1220010-4,"2,283",May-24,"278,093","2 78,093",-,-,-,-,-,24 Carryover
Detroit Lakes,513,10,Storage - 2.0 MG Elevated Storage Tank,1030005-6,"9,197",Jun-24,"8,355,000","8 ,355,000",-,,,-,-,24 Carryover
Pelican Rapids,516,10,Watermain - TH59 and TH108,1560019-8,"2,515",Apr-24,"3,398,133","3 ,398,133",-,-,-,-,-,24 Carryover
Stewart,520,10,Watermain - Distribution Reconstruction,1430009-8,610,Jun-24,"3,178,300","9 74,168",-,-,"2,204,132",-,-,24 Carryover
Hibbing,522,10,Watermain - Capital Imp Phase 2,1690022-14,"16,224",Jun-25,"7,980,000","7 ,980,000",-,-,-,-,-,24 Carryover
Randall,529,10,Watermain - Water System Improvements,1490005-2,581,Jun-24,"4,000,000","1 ,932,522",-,-,"2,067,478",-,-,24 Carryover
Olivia,552,10,Treatment - RO addition,1650011-6,"2,397",Mar-25,"5,201,280","1 ,040,256",-,-,"4,161,024",-,-,24 Carryover
Fairmont,566,10,Storage - New 2.0 MG Reservoir,1460003-2,"10,465",Jun-24,"4,332,000","4 ,332,000",-,-,-,-,-,24 Carryover
Ortonville,576,10,Watermain - Phase 3,1060008-8,"2,081",Jun-25,"10,000,000","5 ,000,000",-,"5,000,000",-,-,-,22 Carryover
Eveleth,611,10,Watermain - Miller Trunk Rd/Airport Repl,1690018-10,"3,513",May-24,"692,599","6 92,599",-,-,-,-,-,24 Carryover
Eveleth,612,10,Conservation - Meter Replacements,1690018-11,"3,513",May-24,"959,946","7 79,946",-,-,-,-,"180,000",24 Carryover
Atwater,614,10,Watermain - North Side Improvements,1340001-10,"1,141",Jun-23,"4,362,602","4 ,362,602",-,-,-,-,-,23 Carryover
Saint Cloud,620,10,Other - Calvary Booster Station Imprvmt,1730027-9,"54,427",Apr-24,"3,216,000","3 ,216,000",-,,,-,-,24 Carryover
Franklin,624,10,Watermain - Reconstruction,1650006-7,508,Jun-24,"563,581","6 3,0581",-,-,-,-,"500,000",24 Carryover
Two Harbors,625,10,Watermain - Repl 4th St.,1380005-5,"3,718",Nov-24,"388,000","3 88,000",-,-,-,-,-,21 Carryover
Two Harbors,626,10,Watermain - Repl 7th Ave & 4th St.,1380005-6,"3,718",Nov-24,"477,000","4 77,000",-,-,-,-,-,21 Carryover
Two Harbors,627,10,Watermain - Repl 7th Ave 11th - 15th St.,1380005-7,"3,718",Nov-24,"815,000","8 15,2000",-,-,-,-,-,21 Carryover
Duluth,661,10,Other - Rehab Woodland Booster Station,1690011-11,"86,711",May-24,"8,116,359","8 ,116,359",-,-,-,-,-,24 Carryover
Minneota,666,10,"Watermain - Replacement, Grant, Lyon, Ma",1420007-1,"1,293",May-24,"1,557,748","1 ,557,748",-,-,-,-,-,24 Carryover
Saint Paul Reg Water Servi ,669.1,10,Treatment - Process Imp.(McCarrons #4),1620026-22d,"308,806",May-22,"29,000,000","2 9,000,000",-,-,-,-,-,22 Carryover
Saint Paul Reg Water Servi,669.2,10,Treatment - Process Imp.(McCarrons #5),1620026-22e,"308,806",May-22,"37,750,000","3 7,750,000",-,-,-,-,-,22 Carryover
Bird Island,672,10,Watermain - Water Distribution Recon,1650001-7,960,Jul-24,"95,888","9 5,0888",-,-,-,-,-,24 Carryover
Red Wing,677,10,Other - Booster Station Rehab,1250013-9,"16,596",Jul-25,"1,259,940","1 ,259,940",-,-,-,-,-,24 Carryover
Ghent,693,10,Watermain - Replacement Phase 1,1420004-5,497,May-24,"3,365,500","2 ,091,450",-,-,"1,274,050",-,-,24 Carryover
Adrian,704,10,Treatment - System Improvements,1530001-2,"1,127",Sep-24,"805,815","08 05,0815",-,-,-,-,-,24 Carryover
Oak Park Heights,753,10,Source - Well #3 & Pumphouse,1820020-2,"4,720",Jan-24,"2,471,870","1 ,396,870",-,-,-,-,"1,075,000",24 Carryover
Darwin,802,7,Watermain - 1st St. & Loop,1470002-4,302,May-23,"1,067,730","4 67,730",-,-,-,-,"600,000",23 Carryover
Lowry,809.1,7,"Watermain - Replace & Loop, Ph 1",1610007-8a,345,May-24,"306,700","6 1,0810",-,-,"244,890",-,-,24 Carryover
PART B1 - FUNDABLE: New IUP Project Requests - Emerging Contaminant Projects,,,,,,,,,,,,,,
Hastings,2,33,Treatment - PFAS Treatment Phase 1 1190012-1,1190012-1,"22,250",May-25,"20,600,000","1 7,600,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Browns Valley,11,23,Treatment - Manganese Treatment Plant 1780001-3,1780001-3,595,Sep-25,"5,518,700","2 ,759,350","2,759,350",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Avoca,12,23,Other - Manganese Connect to Red Rock 1510001-1,1510001-1,142,May-25,"795,000","3 97,500","397,500",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Cromwell,53,20,Treatment - Manganese Treatment Plant 1090007-8,1090007-8,250,May-25,"6,500,000","3 ,500,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Marble,59,20,Treatment - Manganese Plant 1310023-7,1310023-7,699,May-25,"6,500,000","3 ,500,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Battle Lake,63,20,Treatment - PFAS Removal 1560001-6,1560001-6,857,Oct-25,"7,525,250","4 ,525,250","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Sauk Rapids,99,20,Treatment - PFAS TP Upgrade & New Wel 1050004-7,1050004-7,"13,830",May-25,"6,182,000","3 ,182,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Howard Lake,109,20,Treatment - Manganese Treatment Plant,1860010-8,"1,897",Nov-24,"22,262,480","1 8,762,480","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Fridley,140,20,Treatment - PFAS Treatment Locke Park T,1020031-3,"29,422",Jun-25,"6,632,000","3 ,632,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Monticello,144,20,Treatment - Manganese Treatment Plant,1860012-1,"13,583",Aug-25,"42,000,000","2 8,000,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"1 1,000,000",-,Part B1
Montrose,145,20,Treatment - Manganese Plant,1860016-5,"3,505",Jun-25,"13,600,000","1 0,600,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Hastings,153,20,Treatment - PFAS Treatment Phase 2,1190012-2,"22,250",Jul-25,"26,700,000","2 3,700,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Beaver Creek,157,18,Other - Manganese Connect to Rock Coun,1670001-1,266,Mar-25,"260,000","1 30,2000","130,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Eagle Lake,160,18,Treatment - Manganese TP & New Well,1070002-3,"3,064",Jul-25,"14,135,000","1 1,135,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Cottonwood,183,15,Other - Manganese Connect to LPRWS,1420002-5,"1,150",May-25,"3,988,550","1 ,994,275","1,994,275",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Mound,188,15,Treatment - Manganese Plant,1270038-1,"9,480",Apr-25,"36,487,000","2 2,227,248","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"1 1,259,752",-,Part B1
Columbus,194,15,Treatment - Manganese TP,1020043-1,"4,180",Jun-25,"9,000,000","6 ,000,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Stillwater,196,15,Treatment - PFAS W10 Treatment Plant,1820024-3,"19,316",Jul-25,"27,235,000","2 4,235,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
Otsego,198,15,Treatment - Manganese Pumphouse 3,1860026-2,"19,565",Sep-25,"11,935,000","8 ,935,000","3,000,000",Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B1
