System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Project Cost","Estimated
 DWRF Loan","Estimated
 DWRF
 Emerging
 Contaminant
 PF Grant
 NOT FINAL
 (1)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 WIF Grant
 NOT FINAL
 (3)","State or
 Federal
 Appropriation",Other Funds,IUP Status
Eden Valley,294,12,Watermain - Southwest Improvement Proj,1470012-7,"1,034",May-26,"2,268,500",-,,,,-,-,2026 Project
Manchester,296,12,Source - New Well,1240014-1,49,Jun-26,"1,764,250",-,,,,-,-,Refer to RD
Raymond,321,11,"Storage - New 100,000 Gal Tower",1340008-3,722,Apr-25,"2,211,000",-,,,,-,-,Refer to RD
Bricelyn,377,10,Watermain - CSAH 56 Street Improvement,1220002-1,292,May-25,"4,150,000",-,,,,-,"600,000",Refer to RD
Jeffers,408,10,Storage - Tower Rehab,1170002-1,342,Jun-25,"740,000",-,,,,-,-,Refer to RD
Halstad,533,10,Other - New West Central Regional Water,1540003-2,587,Feb-23,"18,241,000",-,,,,-,-,Refer to RD
Brooten,538,10,"Treatment - New Plant, Remove Fe/Mn",1730005-6,550,Jun-25,"1,806,000",-,,,,-,-,Refer to RD
Brooten,539,10,Watermain - Replace & Loop,1730005-7,550,Jun-25,"2,437,050",-,,,,"2 ,500,000",-,Refer to RD
Brooten,540,10,Storage - Tower Rehab,1730005-8,550,Jun-25,"869,000",-,,,,-,-,Refer to RD
Lewisville,541,10,Watermain - Replace Cast Iron WMs,1830003-6,333,May-24,"5,009,000",-,,,,-,-,Refer to RD
Lewisville,542,10,Storage - Replace Tower,1830003-7,333,May-24,"1,015,000",-,,,,-,-,Refer to RD
Bellingham,546,10,Storage - Replace Tower,1370001-2,168,Jun-25,"1,100,000",-,,,,-,-,Refer to RD
Bellingham,547,10,Watermain - Repl CIP,1370001-3,168,Jun-25,"300,000",-,,,,-,-,Refer to RD
Bellingham,548,10,Conservation - Install Meters,1370001-4,168,Jun-25,"740,000",-,,,,-,-,Refer to RD
Beardsley,633,10,Storage - Tower Interior Recoat,1060002-3,195,Jul-25,"224,100",-,,,,-,-,Refer to RD
Beardsley,634,10,Source - Pumphouse Rehab,1060002-5,195,Jul-25,"735,100",-,,,,-,-,Refer to RD
Beardsley,635,10,Conservation - Install Meters,1060002-6,195,Jul-25,"139,400",-,,,,-,-,Refer to RD
Raymond,655,10,Watermain - Replace Watermain,1340008-4,722,Apr-25,"2,080,000",-,,,,-,-,Refer to RD
Manchester,684,10,Watermain - AC Pipe Replacement,1240014-2,49,Jun-26,"1,209,500",-,,,,-,-,Refer to RD
Lincoln-Pipestone Rural W,689,10,Treatment - Holland WTP biotta addition,1410007-5,"13,644",May-25,"9,905,000",-,,,,"4 ,000,000",-,Refer to RD
Foley,722,10,Source - New Well #6,1050001-3,"2,712",May-27,"507,500",-,,,,-,-,2027 project
Burnsville,759,10,Treatment - Effluent Piping Improvements,1190002-5,"64,075",Oct-26,"1,925,000",-,,,,-,-,2026 Project
Good Thunder,815,7,Treatment - New TP,1070005-2,474,Jul-26,"7,570,000",-,,,,-,-,2026 Project
Good Thunder,816,7,Watermain - Halladay St.,1070005-3,474,Jul-25,"827,040",-,,,,-,-,Refer to RD
Adams,914,5,Watermain - Water Extension/Replaceme,1500001-5,736,Jun-24,"255,200",-,,,,-,-,Below fundable r
Foley,916,5,Storage - Tower Rehab,1050001-6,"2,712",Jun-27,"725,000",-,,,,-,-,"2027 project, bel"
Foley,917,5,Watermain - Watermain Improvements,1050001-7,"2,712",May-25,"986,290",-,,,,-,-,Below fundable r
Lowry,925,5,Other - Meter Replacement,1610007-9,345,Jun-25,"231,800",-,,,,-,-,Below fundable r
Utica,927,5,Watermain - Reconstruct Distribution Sys,1850011-3,276,May-24,"2,830,000",-,,,,-,-,Refer to RD
Cottonwood,930,5,Watermain - Phase 1 Improvements,1420002-1,"1,160",May-25,"7,811,330",-,,,,-,-,Below fundable r
Cottonwood,946,5,Watermain - Main St. Replacement,1420002-6,"1,150",May-25,"2,461,000",-,,,,-,-,Below fundable r
Rosemount,961,5,Source - New Well #17,1190019-1,"22,445",Jul-25,"1,320,000",-,,,,-,-,Below fundable r
Rosemount,962,5,Watermain - Akron Ave Ext.,1190019-3,"22,445",Jul-25,"382,000",-,,,,-,-,Below fundable r
New Prague,965,5,"Watermain - Lincoln, Pershing, 1st",1400013-6,"8,155",Apr-25,"5,900,000",-,,,,-,-,Below fundable r
Columbus,967,5,Storage - New Tower,1020043-2,"4,180",Jun-25,"2,500,000",-,,,,-,-,Below fundable r
Minnetrista,980,5,Source - New Well 8,1270036-11,"2,913",May-25,"345,000",-,,,,-,-,Below fundable r
