System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Project Cost","Estimated
 DWRF Loan","Estimated
 DWRF
 Emerging
 Contaminant
 PF Grant
 NOT FINAL
 (1)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 WIF Grant
 NOT FINAL
 (3)","State or
 Federal
 Appropriation",Other Funds,IUP Status
New London,303,12,Watermain - 2025 Improvements,1340005-6,"1,193",Aug-24,"1,881,140","1 ,881,140",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Excelsior,308,12,Treatment - Plant Rehab,1270012-2,"2,414",Mar-25,"5,040,000","4 ,080,248",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"9 59,752",-,Part B2
Harris,312,12,Source - New Well,1130005-6,890,May-25,"1,500,000","9 00,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,"600,000",Part B2
Chisago City,315,12,Treatment - Wellhouses Improvements,1130003-1,"5,576",Sep-25,"2,390,000","2 ,390,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Ghent,323,11,Storage - New Tower,1420004-1,497,May-24,"1,955,100","1 ,955,100",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Walker,352,10,Watermain - Westside Area,1110013-10,937,May-25,"1,830,000","1 ,830,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Appleton,371,10,Watermain - Replace 20 Blocks,1760001-3,"1,339",May-25,"28,400,000","2 8,400,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Staples,404,10,Watermain - 4th St NE Impvrovements,1770011-9,"1,859",Jun-25,"1,884,900","1 ,884,900",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Tracy,424,10,Watermain - Loop and Replace,1420010-4,"2,179",Jun-25,"2,547,000","2 ,547,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Houston,427,10,"Watermain - Jackson, Lincoln, Spruce Sts",1280005-4,980,May-25,"703,000","07 03,2000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Breckenridge,437,10,Other - Generator for Wells,1840002-3,"3,198",May-25,"100,000","1 00,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Park Rapids,445,10,Watermain - Central Ave Improvements,1290003-7,"4,163",May-25,"1,597,128","1 ,597,128",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Menahga,449,10,Watermain - First St. SW/Second St N,1800001-6,"1,087",May-25,"1,517,500","1 ,517,500",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Ely,460,10,Watermain - Repl Various Areas,1690014-3,"3,280",Dec-24,"2,811,500","2 ,811,500",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Glenwood,475,10,Watermain - Replace Old Mains,1610003-12,"2,563",Jul-25,"2,868,500","2 ,868,500",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Benson,486,10,Storage - Tower Rehab,1760008-3,"3,240",May-25,"794,000","7 94,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Hibbing,490,10,Treatment - Plant for Carey Valley Well,1690022-7,"15,923",May-25,"14,000,000","1 4,000,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Fertile,512,10,Conservation - Meter Replacement,1600008-5,931,Jun-25,"467,000","4 67,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Elbow Lake,514,10,Storage - Tower Rehab,1260003-8,"1,125",Jun-25,"700,000","7 00,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Braham,517,10,Source - New Well,1300001-4,"1,687",Apr-25,"68,500",-,-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"6 8,0500",-,Part B2
Braham,518,10,Treatment - Plant Improvements,1300001-5,"1,687",Apr-25,"750,000","1 50,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,"600,000",Part B2
Wheaton,523,10,Watermain - Phase 1,1780004-5,"1,341",May-25,"1,600,000","1 ,600,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Randall,531,10,Conservation - Meter Replacement,1490005-4,581,Mar-25,"200,000","2 00,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Hibbing,557,10,Watermain - 23rd St. Replacement,1690022-15,"16,167",,"1,105,000","1 ,105,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Hibbing,558,10,Watermain - 2nd Ave E Replacement,1690022-16,"16,167",,"2,184,000","2 ,184,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Hibbing,559,10,Watermain - Town Line Sliplining,1690022-17,"16,167",,"4,680,000","4 ,680,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Grand Rapids,569,10,Watermain - Replace & Loop,1310011-5,"11,158",Jul-25,"4,900,000","4 ,900,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Ortonville,577,10,Watermain - Phase 3,1060008-9,"2,081",May-25,"8,520,061","8 ,520,061",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Royalton,591,10,Storage - Tower Rehab,1490006-10,"1,179",Jun-25,"650,000","6 50,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Saint Cloud,606,10,Storage - South 2MG Ground Storage Res,1730027-22,"54,937",Feb-25,"800,000","8 00,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Royalton,613,10,Watermain - Improvements & Looping,1490006-9,"1,172",Jun-25,"1,340,600","1 ,340,600",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
New London,629,10,Watermain - Repl Norwood St.,1340005-3,"1,251",May-25,"840,200","8 40,200",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Le Sueur,645,10,Other - SCADA upgrade,1400010-11,"4,050",Jan-25,"1,500,000","1 ,500,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Starbuck,649,10,Storage - Tank Rehab,1610008-4,"1,269",Jul-25,"92,400","9 2,0400",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Starbuck,650,10,Treatment - TP Rehab,1610008-6,"1,269",Jul-25,"384,057","3 84,057",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Nashwauk,668,10,Storage - New GSR,1310024-7,970,May-25,"450,000","4 50,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Nashwauk,673,10,Watermain - Replace WM under 3rd St.,1310024-5,"1,144",May-25,"2,261,000","2 ,261,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Underwood,675,10,Storage - Tower Rehab,1560026-7,420,May-25,"520,000","5 20,2000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Red Wing,676,10,Storage - Sorin's Bluff Reservior Rehab,1250013-11,"16,596",May-24,"1,814,588","1 ,314,588",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"5 00,000",-,Part B2
Moorhead,679,10,Watermain - Distribution Phase 3,1140008-14,"43,409",Jun-25,"2,975,625","2 ,975,625",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Moorhead,680,10,Watermain - Distribution Phase 4,1140008-17,"43,409",Jun-25,"3,162,500","3 ,162,500",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Moorhead,681,10,Storage - Reservoirs Improvement,1140008-20,"43,409",Jun-25,"1,466,250","1 ,466,250",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Moorhead,682,10,Source - Transmission Pipeline Repl,1140008-23,"43,409",Jun-25,"14,950,000","1 4,950,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Howard Lake,686,10,Storage - Replace Tower No. 1,1860010-9,"1,897",Jun-25,"4,270,981","4 ,270,981",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Blue Earth,690,10,Watermain - S. Galbraith,1220001-8,"3,181",May-25,"590,000","5 90,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Blue Earth,691,10,Watermain - S. Linton,1220001-9,"3,181",May-25,"1,071,000","1 ,071,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Ghent,692,10,Conservation - Meter Replacements,1420004-4,497,May-24,"212,100","2 12,0100",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Waseca,697,10,Watermain - 2nd Ave & 2nd St.,1810004-5,"9,208",Apr-25,"1,369,172","1 ,369,172",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Duluth,702,10,Other - System Wide Corrosion & Painting,1690011-25,"86,772",May-25,"3,720,000","3 ,720,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Duluth,703,10,Treatment - TP Rehab,1690011-26,"86,772",May-25,"13,438,000","1 3,438,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Pipestone,711,10,Watermain - Repl 2nd Ave SW,1590005-14,"4,171",May-25,"1,924,000","1 ,924,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Le Sueur,723,10,Watermain - 4th St Improvements,1400010-12,"4,210",May-25,"2,044,047","2 ,044,047",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Hoyt Lakes,731,10,Other - Connect to ERWB,1690028-2,"2,095",Jun-25,"18,640,000","1 8,640,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Montrose,732,10,"Storage - Repl Tower w/100,000 Gal Towe",1860016-6,"3,505",Jun-25,"2,800,000","2 ,800,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Norwood-Young America,737,10,Watermain - SW 4th Ave. & Loop,1100019-4,"3,838",May-25,"783,750","7 83,750",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Minneapolis,743,10,"Watermain - 36"" Main Lining",1270024-23,"426,877",Jun-25,"16,800,000","1 6,800,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Bloomington,748,10,Conservation - Water Meter Replacement,1270001-2,"89,436",Jun-25,"8,080,000","8 ,080,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Luverne,764,10,Watermain - TH 75 Reconstruction,1670004-3,"4,910",Apr-26,"1,360,000","1 ,360,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Lowry,770,8,Source - New Wells,1610007-6,345,Jun-25,"396,200","3 96,200",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Minnetrista,774,8,Source - New Well 9,1270036-12,"2,913",May-25,"345,000","3 45,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Lamberton,792,7,Watermain - Replace & Loop,1640003-12,847,May-25,"630,000","6 30,2000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
