key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
22E,22,Lewes BPW,3000,Kings Highway,Replacement,"$4,300,000.00",,360,Corpus,2.00%,20 years,,$0.00,
22F,,,,,School Lane WTP,,,,,,,,,
22F,22,New Castle,5364,PFAs Treatment,Expansion,"$2,092,000.00",W,360,Corpus,2.00%,20 years,,$0.00,
23,,,,,Pressure and,,,,,,,,,
23,23,Frederica,870,Water Storage Tower,Redundancy,"$3,715,000.00",A*,350,Corpus,2.00%,20 years,,$0.00,
24,24,Artesian,13511,Railroad Street,Water Main Renewal,"$320,000.00",,345,Corpus,2.00%,20 years,,$0.00,
25,,,,,WTP Electrical,,,,,,,,,
25,25,Wilmington,107976,Porter Filter Plant,Upgrades,"$11,000,000.00","E, W",330,Corpus,2.00%,20 years,,$0.00,
26,,,,,Install of emergency,,,,,,,,,
26,,,,School Lane Natural,standby generator for,,,,,,,,,
26,26,New Castle,5364,Gas Generator,School Lane WTP,"$327,000.00",W,320,Corpus,2.00%,20 years,,$0.00,
27A,27,Artesian,209706,Sparrow Run,Water Main Renewal,"$1,540,000.00",,315,Corpus,2.00%,20 years,,$0.00,
27B,,,,Wilmington Manor,"WTP Improvements,",,,,,,,,,
27B,27,Artesian,209706,Gardens,PFOS removal,"$3,850,000.00","E,",315,Corpus,2.00%,20 years,,$0.00,
28A,,,,,,,,,Suppleme,,,,,
28A,28,Artesian,13511,Route 113,Water Main Renewal,"$900,000.00",,310,ntal,2.00%,20 years,,$0.00,
28B,28,Frederica,870,LSL inventory,LSL inventory,"$102,000.00",A*,310,LSLR,,,,"$102,000.00",
29A,,,,,Inventory and Mapping,,,,,,,,,
29A,29,Millsboro,7500,LSL inventory,(1964 pipes),"$233,500.00",,300,LSLR,2.00%,20 years,,,
29B,,,,Federal Street Water,Pressure and,,,,,,,,,
29B,29,Milton,3200,Tower,Redundancy,"$3,720,000.00",,300,Corpus,2.00%,20 years,,$0.00,
30,,,,,Upgrades to,,,,,,,,,
30,,,,,"disinfection, SCADA",,,,,,,,,
30,,,,,and treatment,,,,,,,,,
30,30,Artesian,209706,Midvale WTP,equipment,"$2,750,000.00",E,295,Corpus,2.00%,20 years,,$0.00,
31A,31,Lewes BPW,3000,Jones Farm,Elevated Storage Tank,"$4,320,000.00",,290,Corpus,2.00%,20 years,,$0.00,
,,,,,,,DAC? -,Funding,,,Anticipa,,,
,,Water System/,Population,Comprehensive,,,"A, E, W,",Appropri,,,ted,Anticipated,,
,Rank,Borrower,Served,Project Name,Project Description,"U
Amount",Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
31B,,,,Savannah Road,Canal Crossing Water,,,,,,,,,
31B,31,Lewes BPW,3000,Bridge,Main,"$2,260,000.00",290,Corpus,2.00%,20 years,,$0.00,,
32,,,,Water System Lead,,,,,,,,,,
32,32,DE State Fair,452,Abatement,LSL,"$1,660,000.00",285,Corpus,2.00%,TBD,,$0.00,,
33,,,,Consolidation  -,Interconnection Phase,,,,,,,,,
33,33,Tidewater,4000,Angola Meadows,2B resiliency,"$3,410,000.00",280,Corpus,2.00%,20 years,,$0.00,,
34A,,,,,Water System,,,,,,,,,
34A,34,Middletown,22582,NE Quadrant,Improvements,"$1,963,287.00",270,Corpus,2.00%,20 years,,$0.00,,
34B,,,,,"Install of new storage,",,,,,,,,,
34B,34,Newark,40000,Elevated Storage Tank,pressure and turnover,"$5,500,000.00",270,Corpus,2.00%,20 years,,$0.00,,
34C,,,,,Interconnection for,,,,,,,,,
34C,,,,Consolidation - Dairy,resiliency and,,,,,,,,,
34C,34,Tidewater,23463,Farm Road,redundancy,"$1,650,000.00",270,Corpus,2.00%,20 years,,$0.00,,
35A,,,,,Water System,,,,,,,,,
35A,35,Frederica,870,Water Loop,Hydraulic Loop,"$404,000
A*",260,Corpus,2.00%,20 years,,$0.00,,
35B,,,,Water System,SCADA and,,,,,,,,,
35B,35,Frederica,870,SCADA,monitoring Upgrades,"$64,000
A*",260,Corpus,2.00%,20 years,,$0.00,,
35C,,,,,Inventory and,,,,,,,,,
35C,35,Magnolia,425,LSL inventory,Replacement,"$1,500,000
A*",260,Corpus,2.00%,TBD,,$0.00,,
35D,,,,,LSL Inventory and,,,,,,,,,
35D,35,New Castle,5364,LSL Inventory,Mapping,"$284,000
W",260,Corpus,2.00%,TBD,,$0.00,,
36,36,Middletown,22582,North Broad Street,Water Main Upgrade,"$1,451,026.00",240,Corpus,2.00%,20 years,,$0.00,,
37,37,Seaford,6699,LSL Inventory,Inventory,"$212,000.00",220,Corpus,2.00%,TBD,,$0.00,,
38,,,,,Bring Westside Hunt,,,,,,,,,
38,,,,,Well online and,,,,,,,,,
38,,,,Choptank and,upgrade Choptank,,,,,,,,,
38,38,Artesian,7035,Westside Hunt,WTP,"$3,850,000.00",190,Corpus,2.00%,20 years,,$0.00,,
39A,,,,,,,,Fire,,,,,,
39A,,,,,,,,Protectio,,,,,,
39A,39,Artesian,,Slaughter Beach,Fire Protection,"$2,000,000.00",180,n,,,,,,
39B,,,,,Inventory and,,,,,,,,,
39B,39,Newark,40000,LSL Inventory,Replacement,"$2,250,000.00",180,Corpus,2.00%,TBD,,$0.00,,
39C,,,,DelDOT SR 24 Love,,,,,,,,,,
39C,,,,Creek to Mulberry,Joint DelDOT and,,,,,,,,,
39C,39,Tidewater,23463,Knoll,Tidewater SR 24 Reho,"$1,700,000.00",180,Corpus,2.00%,20 years,,$0.00,,
40A,,Bethany Crest,,,Installation of PFAs,,,,,,,,Bypassed for,
40A,40,MHP,115,PFAs Treatment,resin,"$300,500.00",170,State,2.00%,20 years,,"$300,500.00",State Funds,
40B,,,,,Water Main,,,,,,,,,
40B,40,Newark,40000,Water Mains,Replacement,"$2,200,000.00",170,Corpus,2.00%,20 years,,$0.00,,
,,,,,,,DAC? -,Funding,,,Anticipa,,,
,,Water System/,Population,Comprehensive,,,"A, E, W,",Appropri,,,ted,Anticipated,,
,Rank,Borrower,Served,Project Name,Project Description,"U
Amount",Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
40C,,,,SSWC - Plant 2 Iron,,,,,,,,,,
40C,,,,and Manganese,Contaminant removal,,,,,,,,,
40C,,,,Removal,Treatment and,,,,,,,,,
40C,40,Sussex Shores,350,Improvement Project,Filtration,"$4,000,000.00",170,Corpus,2.00%,20 years,,$0.00,,
41,,,,,Bring Lester Wells,,,,,,,,,
41,,,,Lester Farms and,online and upgrad,,,,,,,,,
41,41,Artesian,7035,Hyetts,Hyetts,"$2,970,000.00",160,Corpus,2.00%,20 years,,$0.00,,
42,42,Newark,40000,Assessment,Water Mains,"$2,100,000.00",150,Corpus,2.00%,20 years,,$0.00,,
43A,,Angola Crest 1,60,WT Security,New Security,,,,,,,,,
43A,43,and 2,159,Improvements,Measures,"$50,000.00",130,Corpus,2.00%,20 years,,$0.00,,
43B,,,,,,,,Growth?,,,,,,
43B,43,Artesian,7035,Cedar Lane Tank,Elevated Storage Tank,"$3,685,000.00",130,Fire,,,,,,
44,,,,,Sussex Co. north of,,,,,,,,,
44,,,,Route 1 Elevated,"Lewes, along route 1",,,Growth?,,,,,,
44,44,Artesian,13511,Tank,Storage tank,"$3,025,000.00",80,Fire,,,,,,
,,,,,,,,*=Antici,,,,,,
