RANK,PWS #,APPLICANT,SYSTEM TOWN,PROJECT NAME,POPULATION,REQUESTED LOAN  AMOUNT,ARPA  DISADVANTAGED  CO-OP or EPA WIIN  GRANT,EMERGING  CONTAMINANTS,LEAD SERVICE  LINE (LSL) LOAN  AMOUNT,LSL FORGIVENESS,2022 ARPA  GRANT,BASE &  SUPPLEMENTAL  LOAN AMOUNT,BASE &  SUPPLEMENTAL  FORGIVENESS,A. WATER QUALITY  SCORE,B. QUANTITY  DEFICIENCIES  SCORE,C. TREATMENT  SCORE,D. STORAGE SCORE,E. DISTRIBUTION  SCORE,F.  AFFORDABILITY  SCORE,G. CAP DEV  SCORE,H. GREEN  SCORE,I. RESILIENCY  SCORE,J.  CONSOLIDATION /INTERCONNECTI ON SCORE,K. CRITICAL  INFRASTRUCTUR E SCORE,L. PROJECT  READINESS  SCORE,TOTAL SCORE,WATER  RATE,MHI,FINANCIALLY  DISADVANTAGED,ENVIRONMENTALL Y DISADVANTAGED,AFFORDABILITY  INDEX
18,1861010,PEMBROKE WATER WORKS,PEMBROKE,NEW DRINKING WATER  SOURCE,"5,200","$4,640,000.00",Bypass - Project not ready to proceed to meet DWSRF deadline for Final Application.,,,,,,,90,0,0,0,0,0,0,0,10,0,20,0,120,$247.99,"$89,000.00",NO,,0.3
19,1681010,NEWFIELDS VLG WATER  AND SEWER,NEWFIELDS,INTERCONNECTION WITH  NEWMARKET,550,"$1,703,000.00",$0.00,$0.00,$0.00,$0.00,"$340,600.00","$1,362,400.00","$408,720.00",60,0,0,0,0,0,20,0,10,20,10,0,120,"$1,075.00","$158,750.00",NO,YES,0.7
20,202020,SUNRAY SHORES WATER  DIST,BELMONT,SUNRAY SHORES WATER  SYSTEM IMPROVEMENT  PROJECT,250,"$1,908,000.00",$0.00,$0.00,$0.00,$0.00,"$381,600.00","$1,526,400.00","$610,560.00",0,0,16,30,18,11,20,5,0,0,20,0,120,$630.00,"$37,891.00",YES,,1.7
21,612230,RAND SHEPARD HILL,DERRY,RAND SHEPARD HILL WATER  MAIN EXTENSION,158,"$6,110,000.00",$0.00,$0.00,$0.00,$0.00,"$1,222,000.00","$4,888,000.00","$1,466,400.00",60,0,0,0,0,0,10,0,0,30,20,0,120,$387.96,"$69,813.00",NO,YES,0.6
22,1392070,MIDRIDGE CONDOS*,LONDONDERRY,INTERCONNECTION WITH  PENNICHUCK WATER,100,"$439,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,10,0,0,30,20,0,120,$517.50,"$107,813.00",NO,,0.5
23,2421010,GLENCLIFF COMMUNITY,WARREN,WATER SYSTEM  IMPROVEMENTS,43,"$1,594,000.00",$0.00,$0.00,$0.00,$0.00,"$318,800.00","$1,275,200.00",$0.00,30,0,16,30,18,0,0,5,0,0,20,0,119,$300.00,"$42,917.00",NO-NEEDS INCOME  SURVEY,,0.7
24,2003040,STONY BROOK  COOPERATIVE,ROCHESTER,WATER SYSTEM  INTERCONNECTION/UPGRA DES,167,"$740,000.00","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,"$740,000.00","$222,000.00",60,0,0,0,0,0,18,0,10,30,0,0,118,$215.00,"$31,428.00",YES,,0.7
25,461010,CLAREMONT WATER DEPT,CLAREMONT,LEAD SERVICES AND WATER  MAIN REPLACEMENT 2023,"9,000","$2,500,000.00",$0.00,$0.00,"$750,000.00","$367,500.00","$350,000.00","$1,400,000.00","$560,000.00",0,0,0,0,65,7,20,15,0,0,10,0,117,$767.00,"$46,848.00",YES,,1.6
26,1731010,NEWMARKET WATER  WORKS,NEWMARKET,NEWFIELDS INTERCONNECT,"5,030","$6,000,000.00",$0.00,$0.00,$0.00,$0.00,"$1,200,000.00","$4,800,000.00","$1,440,000.00",60,0,0,0,0,7,20,0,0,20,10,0,117,$689.70,"$69,259.00",YES,,1.0
27,2011010,ROLLINSFORD WATER  SEWER DIST,ROLLINSFORD,FRONT AND SOUTH ST  WATER MAIN  REPLACEMENT,"1,688","$1,620,000.00",$0.00,$0.00,"$300,000.00","$147,000.00","$264,000.00","$1,056,000.00","$316,800.00",0,0,0,0,70,7,20,5,0,0,15,0,117,$748.44,"$71,366.00",YES,,1.0
28,2312020,MOUNTAIN VIEW ESTATES,TAMWORTH,WELL REPLACEMENT AND  WATER SYSTEM UPGRADES,40,"$175,000.00","$175,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,7,18,0,10,0,20,0,115,$686.00,"$64,865.00",YES,,1.1
29,1973060,TRANQUILITY ESTATES  COOPERATIVE,RAYMOND,WATER SYSTEM UPGRADES,315,"$2,119,800.00","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,"$2,119,800.00","$635,940.00",30,0,16,0,18,7,18,5,0,0,20,0,114,468,"$55,822.00",YES,,0.8
30,811010,FARMINGTON WATER  DEPT,FARMINGTON,WATER QUALITY AND  SUPPLY IMPROVEMENTS,"3,250","$7,200,000.00",$0.00,$0.00,$0.00,$0.00,"$1,440,000.00","$5,760,000.00","$1,728,000.00",80,0,0,0,0,0,18,5,0,0,10,0,113,$286.80,"$41,962.00",NO,YES,0.7
31,1781010,GROVETON WATER SYS,NORTHUMBERLAND,NORTHUMBERLAND HILL  AREA INFRASTRUCTURE  IMPROVEMENTS,"2,650","$4,979,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,70,7,20,5,0,0,10,0,112,$512.04,"$43,920.00",YES,,1.2
32,1392030,OLDE COUNTRY VILLAGE,LONDONDERRY,OLDE COUNTRY VILLAGE  PFAS REMEDIATION BY WAY  OF MUNICIPAL  CONNECTION,130,"$2,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,0,0,0,30,20,0,110,$228.26,"$107,813.00",NO,,0.2
33,1392200/139222 0/1392230,ROLLING MEADOWS  CONDOS I/III/IV,LONDONDERRY,ROLLING MEADOWS PFAS  REMEDIATION  CENTRALIZED TREATMENT  AND DISTRIBUTION,172,"$2,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,30,0,0,0,0,0,20,0,110,$266.00,"$107,813.00",NO,,0.2
34,851010,FRANKLIN WATER WORKS,FRANKLIN,"2022 WATER MAIN  REPLACEMENTS - SALISBURY  ROAD, THUNDER ROAD,  AND DEPOT STREET","7,000","$2,953,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,65,7,20,5,0,0,0,10,107,$824.52,"$57,992.00",YES,,1.4
35,612050,MORNINGSIDE DRIVE,DERRY,PFAS REMEDIATION- NEW  TREATMENT STATION AND  DISTRIBUTION SYSTEM  REPLACEMENT,80,"$1,324,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,10,15,0,0,0,0,20,0,0,105,$324.50,"$69,813.00",NO,,0.5
36,1793020,LOON ESTATES,NORTHWOOD,LOON ESTATES WATER  SYSTEM IMPROVEMENTS,74,"$600,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,80,0,0,0,0,0,0,5,0,0,20,0,105,$617.00,"$43,800.00",NO,,1.4
37,1542030,PEU/SUNRISE ESTATES,MIDDLETON,STATION REPLACEMENT &  MANGANESE TREATMENT,210,"$650,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,40,0,7,20,0,0,0,20,0,103,$781.00,"$79,167.00",NO,,1.0
38,341030,WATERVILLE ESTATE VLG  DIST/W,CAMPTON,NEW SOURCE  DEVELOPMENT,"1,250","$1,128,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,18,26,0,0,7,20,0,10,0,20,0,101,"$1,063.50","$72,700.00",YES,,1.5
39,821020,FITZWILLIAM  VILLAGE/LAUGHNER,FITZWILLIAM,FITZWILLIAM WATER  DISTRIBUTION SYSTEM  REPLACEMENT,65,"$1,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,32,0,0,33,11,0,5,0,0,20,0,101,"$1,112.00","$68,611.00",YES,,1.6
40,1241010,KEENE WATER DEPT,KEENE,DOWNTOWN  INFRASTRUCTURE  REPLACEMENT PROJECT,"30,000","$1,630,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,55,7,20,5,0,0,10,0,97,$488.88,"$57,393.00",YES,,0.9
41,116010,PEU/PIONEER COMMERCE  PARK,ATKINSON,HAWC (SNH REGIONAL  WATER) INTERCONNECTION,400,"$1,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,0,0,0,7,20,0,0,20,20,0,97,"$1,185.00","$112,009.00",NO,,1.06
42,341030,WATERVILLE ESTATE VLG  DIST/W,CAMPTON,SKI BOWL TREATMENT  FACILITY AND BOOSTER  PUMP STATION  REPLACEMENT,"1,250","$402,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,18,30,0,7,20,0,0,0,20,0,95,"$1,063.50","$72,700.00",YES,,1.5
43,1211010,JACKSON WATER PCT,JACKSON,JACKSON WTP  IMPROVEMENTS,500,"$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40,0,0,0,0,15,10,0,10,0,20,0,95,"$1,461.52","$64,375.00",YES,,2.3
44,1221010,JAFFREY WATER WORKS,JAFFREY,METER REPLACEMENT,"3,800","$575,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,52,7,20,15,0,0,0,0,94,$970.32,"$63,565.00",YES,,1.5
45,771010,EPSOM VILLAGE DIST,EPSOM,WELL #2 BUILDING  RELOCATION,800,"$2,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,34,0,0,0,20,5,25,0,10,0,94,$721.92,"$96,840.00",NO,,0.7
46,1051010,AQUARION WATER/NH,HAMPTON,LITTLE RIVER WATER  TREATMENT PLANT,"34,000","$6,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,16,0,0,7,10,0,10,0,10,10,93,$670.56,"$82,092.00",NO,,0.8
47,201010,BELMONT WATER DEPT,BELMONT,IRON & MANGANESE  WATER TREATMENT PLANT,"1,612","$8,275,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,50,0,0,0,0,7,10,5,10,0,10,0,92,$417.96,"$37,891.00",YES,,1.1
48,1191010,CONTOOCOOK VILLAGE  PCT,HOPKINTON,WTP IMPROVEMENTS,"1,600","$840,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40,0,26,0,0,0,0,5,0,0,20,0,91,$423.96,"$72,299.00",NO,,0.6
49,2531010,WINCHESTER WATER DEPT,WINCHESTER,OLD CHESTERFIELD ROAD  BPS AND WATER MAIN  REHABILITATION,"2,800","$2,665,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,7,20,15,0,0,15,0,90,$524.08,"$43,594.00",YES,,1.2
50,351010,CANAAN WATER DEPT,CANAAN,REPLACEMENT OF ALL NON  COMPLIANT SERVICE LINES  IN CANAAN,625,"$830,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,58,7,10,0,0,0,15,0,90,$798.36,"$74,940.00",YES,,1.1
51,1681010,NEWFIELDS VLG WATER  AND SEWER,NEWFIELDS,WELLFIELD OPERATION AND  MANAGEMENT PLAN,550,"$123,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,20,0,0,0,10,0,90,"$1,075.00","$158,750.00",NO,,DWSRF Funding Available in Light Blue 0.7
52,1681010,NEWFIELDS VLG WATER  AND SEWER,NEWFIELDS,WELLFIELD TREATMENT  SYSTEM PROJECT,550,"$836,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,20,0,0,0,10,0,90,"$1,075.00","$158,750.00",NO,,0.7
53,612050,MORNINGSIDE DRIVE,DERRY,PFAS REMEDIATION WITH  NEW TREATMENT AND  STORAGE FACILITY,80,"$444,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,10,0,0,0,0,0,0,20,0,90,$324.50,"$69,813.00",NO,,0.5
54,382010,ROSEBROOK WATER,CARROLL,ROSEBROOK PRESSURE  REDUCTION PROJECT,"1,020","$1,730,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,36,0,0,7,20,5,0,0,20,0,88,$631.00,"$60,417.00",YES,,1.0
55,513100,MOUNTAIN VALE VILLAGE  MHP,CONWAY,MVV MHP CORRECTIVE  ACTION PLAN,388,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,40,0,7,0,5,0,0,20,0,88,$587.35,"$53,300.00",YES,,1.1
56,2011010,ROLLINSFORD WATER  SEWER DIST,ROLLINSFORD,PORTER WELL TP UPGRADES,"1,688","$900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,0,0,0,7,20,15,0,0,15,0,87,$748.44,"$71,366.00",YES,,1.0
57,881020,GUNSTOCK ACRES VILLAGE  DIST,GILFORD,GUNSTOCK ACRES WATER  SYSTEM IMPROVEMENTS,"1,440","$6,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,34,0,18,0,20,5,0,0,10,0,87,$440.04,"$91,902.00",NO,,0.5
58,802020,EXETER HIGHLANDS,EXETER,EHHA ARSENIC MITIGATION  PROJECT,50,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,7,0,0,0,0,20,0,87,$587.35,"$68,984.00",YES,,0.9
59,1141020,EMERALD LAKE,HILLSBOROUGH,WATER METER  INSTALLATION,"1,300","$4,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,12,15,20,5,0,0,0,0,86,"$1,141.00","$55,000.00",YES,,2.1
60,162190,CRAWFORD HILLS,BARTLETT,CHPOA PUMP HOUSE,118,"$130,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,21,40,0,0,0,5,0,0,20,0,86,$240.00,"$35,982.00",NO,,0.7
61,801010,EXETER WATER DEPT,EXETER,SURFACE WATER  TREATMENT PLANT  IMPROVEMENTS,"12,200","$2,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,18,0,0,7,20,5,15,0,20,0,85,$843.00,"$68,984.00",YES,,1.2
62,951010,VILLAGE DIST OF  EASTMAN,GRANTHAM,WELLFIELD RD/VDE DRIVE  WATERMAIN PROJECT &  BOGIE PL TO CLEARWATER  DR. REDUNDANCY PROJECT,"3,400","$2,024,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,7,20,5,0,0,20,0,85,"$1,780.00","$126,302.00",NO,,1.4
63,1061010,HANCOCK WATER WORKS,HANCOCK,TRANSMISSION MAIN  REPLACEMENT,413,"$900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,35,0,20,0,10,0,20,0,85,$276.00,"$54,830.00",NO,,0.5
64,2351020,LOCHMERE VILLAGE DIST,TILTON,PFAS TREATMENT,405,"$1,275,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,0,5,0,0,20,0,85,$207.69,"$53,992.00",NO,,0.4
65,1993010,MONADNOCK TENANTS  COOP,RINDGE,Water System Upgrade,200,"$237,700.00","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,18,0,15,7,18,5,0,0,20,0,83,$470.00,"$39,008.00",YES,,1.2
66,341030,WATERVILLE ESTATE VLG  DIST/W,CAMPTON,WATER MAIN  REPLACEMENT,"1,250","$582,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,35,7,20,5,0,0,15,0,82,"$1,063.50","$72,700.00",YES,,1.5
67,702020,BRANDYWINE,EAST KINGSTON,WATER SYSTEM CAPACITY  IMPROVEMENT PROJECT,72,"$280,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,0,7,10,0,10,0,20,0,81,$850.00,"$89,444.00",NO,,1.0
68,2301020,WEST SWANZEY WATER,SWANZEY,WEST SWANZEY WATER  COMPANY,203,"$3,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,30,18,7,0,5,0,0,20,0,80,$742.80,"$59,184.00",YES,,1.3
69,882150,LAKE SHORE PARK,GILFORD,WATER SYSTEM UPGRADES,150,"$100,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,0,0,0,0,20,0,80,$587.35,"$91,902.00",NO,,0.6
70,583020,IRON WHEEL MHP,DANVILLE,IRON WHEEL PFAS  TREATMENT,124,"$330,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60,0,0,0,0,0,0,0,0,0,20,0,80,$587.35,"$90,457.00",NO,,0.6
71,1531010,MERRIMACK VILLAGE DIST,MERRIMACK,ARTIFICIAL RECHARGE OF  THE WELL 4/5 AQUIFER,"25,000","$7,050,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,0,0,20,5,10,0,10,0,79,$287.28,"$108,422.00",NO,,0.3
72,1531010,MERRIMACK VILLAGE DIST,MERRIMACK,MITCHELL WOODS  GROUNDWATER SUPPLY,"25,000","$4,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,0,0,20,5,10,0,10,0,79,$287.28,"$108,422.00",NO,,0.3
73,1561010,MILFORD WATER UTILITIES  DEPT,MILFORD,PENNICHUCK WATER  INTERCONNECTION BPS  DESIGN AND  CONSTRUCTION,"9,500","$2,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,18,0,15,0,20,5,10,0,10,0,78,$375.36,"$65,328.00",NO,,0.6
74,1932070,VALLEY FIELD APTS  NORTHLAND,PLAISTOW,PLAISTOW  INTERCONNECTION,185,"$1,250,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,20,0,0,30,20,0,77,$678.00,"$85,263.00",NO,,0.8
75,512190,BROOK VIEW VILLAGE,CONWAY,WATER SYSTEM  MAINTENANCE AND  UPGRADING,40,"$125,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,5,40,0,7,0,5,0,0,20,0,77,$587.53,"$53,300.00",YES,,1.1
76,1844010,CARROLL COUNTY  COMPLEX,OSSIPEE,"METER BUILDING, AND  STORAGE IMPROVEMENTS",258,"$500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,34,10,0,7,0,5,0,20,0,0,76,$687.96,"$47,248.00",YES,,1.5
77,1241010,KEENE WATER DEPT,KEENE,COURT ST. WELL FIELD  IMPROVEMENTS,"30,000","$5,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,23,0,0,7,20,15,0,0,10,0,75,$488.88,"$57,393.00",YES,,0.9
78,2001010,ROCHESTER WATER DEPT,ROCHESTER,SALMON FALLS BOOSTER  PUMP STATION UPGRADES,"25,000","$2,900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,23,0,0,7,20,15,0,0,10,0,75,$561.12,"$66,831.00",YES,,0.8
79,801010,EXETER WATER DEPT,EXETER,WESTSIDE DRIVE  NEIGHBORHOOD UTILITY  IMPROVEMENT PROJECT,"12,200","$2,600,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,7,20,5,10,0,0,0,75,$843.00,"$68,984.00",YES,,1.2
80,1741010,NEWPORT WATER WORKS,NEWPORT,UNITY ROAD WATER LINE  REPLACEMENT,"5,000","$3,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,18,7,20,5,10,0,15,0,75,$677.52,"$66,102.00",YES,,1.0
81,1621010,PENNICHUCK WATER  WORKS,NASHUA,WATER TREATMENT  FACILITY CHEMICAL  STORAGE/FEED UPGRADES,"87,932","$9,900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,26,0,0,7,20,0,0,0,20,0,73,$679.92,"$73,785.00",YES,,0.9
82,1321010,LEBANON WATER DEPT,LEBANON,FOREST AVENUE,"10,050","$445,475.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,7,20,15,0,0,0,0,72,$577.56,"$73,704.00",YES,,0.8
