Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,SFY Project Expected Funding,BIL Eligibility
63,Edison Township,1205001-002,Township Wide Lead Service Replacement,107588,6750000,3400000,8710000,250,0,0,0,0,0,0,0.35,250.35,2027,BIL (LSLR)
64,Livingston Township,0710001-001,"Livingston PFAS Treatment - Phase A (Wells 1,2,4,8, 11)",29366,5300000,484770,6960275,250,0,0,0,0,0,0,0.27,250.27,N/A,BIL (EC)
64,Livingston Township,0710001-002,"Livingston PFAS Treatment - Phase B (Wells 10, 12)",29366,3200000,2310759,4239775,250,0,0,0,0,0,0,0.27,250.27,N/A,BIL (EC)
64,Livingston Township,0710001-003,"Dorsa Wells - PFAS and 1,4-Dioxane Treatment",29366,14000000,61619,17643300,250,0,0,0,0,0,0,0.27,250.27,2025,BIL (EC)
65,Burlington Township,0306001-001,Beverly Road Water Treatment Plant Upgrades for PFA's Treatment,23983,1401800,1948070,1912160,250,0,0,0,0,0,0,0.23,250.23,2027,BIL (GEN)
66,Moorestown Township,0322001-001,North Church Street Water Treatment Plant Upgrade,20726,15260000,4601000,19861000,250,0,0,0,0,0,0,0.21,250.21,N/A,BIL (EC)
67,Ramsey Borough,0248001-009,Arsenic treatment system at the Spring Street Treatment Facility,16350,422903,373372,796275,250,0,0,0,0,0,0,0.16,250.16,2030,BIL (EC)
69,Sparta Township,1918004-003,"Installation of uranium treatment equipment at two of the existing Autumn Hill well
house (Well 1 and Well 2)",15726,350000,-14000,336000,250,0,0,0,0,0,0,0.16,250.16,2030,BIL (EC)
70,Pequannock Township,1431001-001,PFOS & PFOA Treatment for Well #1 Dunn Place NJ1431001,14000,2770000,333000,3324000,250,0,0,0,0,0,0,0.14,250.14,2025,BIL (EC)
72,Oakland Borough,0242001-001,Soons Well.eld PFAS Treatment,12653,1200000,265000,1640000,250,0,0,0,0,0,0,0.13,250.13,2027,BIL (GEN)
73,Waldwick Borough,0264001-003,Water Treatment Systems,9625,-,855640,270000,250,0,0,0,0,0,0,0.1,250.1,N/A,BIL (EC)
74,Ho-Ho-Kus Borough,0228001-002,Ho-Ho-Kus Water Treatment System,4078,1500000,1700000,2110000,250,0,0,0,0,0,0,0.04,250.04,N/A,BIL (EC)
75,Essex Fells Borough,0706001-002,Interim PFAS-Runnymede Site-Wells 5 &1,21937,900000,20000,1080000,250,0,0,0,0,0,0,0.02,250.02,2025,BIL (EC)
75,Essex Fells Borough,0706001-003,Permanent PFAS Treatment (Main Facility),21937,4500000,19247900,5400000,250,0,0,0,0,0,0,0.02,250.02,N/A,BIL (EC)
75,Essex Fells Borough,0706001-004,Permanent PFAS Treatment (Additional Facilities),21937,2000000,2034520,2400000,250,0,0,0,0,0,0,0.02,250.02,2024,BIL (EC)
75,Essex Fells Borough,0706001-005,Permanent PFAS Treatment (Country Club Facility),21937,1592000,-,2000000,250,0,0,0,0,0,0,0.02,250.02,2027,BIL (EC)
76,Bethlehem Township BOE,1002311-001,Thomas B. Conley Elementary School Treatment System PFAS,3745,775000,12000000,1000000,250,0,0,0,0,0,0,0,250,2027,BIL (EC)
77,"Lake Stockholm Systems, Inc.",1911002-001,"Lake Stockholm Systems, Inc., PFOA/PFOS removal for NJDEP compliance",400,750000,-,1020000,250,0,0,0,0,0,0,0,250,N/A,BIL (EC)
78,Eagleswood Village MHP,1508001-001,Eagleswood Village Water Improvement,80,862500,1350000,1035000,250,0,0,0,0,0,0,0,250,2026,BIL (EC)
79,Buttonwood Mobile Home Park,0301001-001,Buttonwood system,77,225000,116250,341250,250,0,0,0,0,0,0,0,250,2027,BIL (GEN)
81,Jersey City Municipal Utilities Authority,0906001-034,Boonton Water Treatment Plant Electric Substation/ Distribution System Improvements,262000,16200000,1700000,19440000,160,0,15,5,5,0,0,2.62,247.62,2027,BIL (GEN)
82,Jersey City Municipal Utilities Authority,0906001-037,Princeton Avenue Water Main Upgrade,287899,1221675,305100,1666010,175,0,15,0,0,0,0,2.62,242.62,2030,BIL (GEN)
82,Jersey City Municipal Utilities Authority,0906001-038,County Village Water Main Improvements,287899,4344700,-,5263640,175,0,15,0,0,0,0,2.62,242.62,2030,BIL (GEN)
83,Newark City,0714001-017,Water Distribution System Upgrades,285000,971100,436995,1408095,75,80,20,5,0,0,0,2.94,237.94,2026,BIL (GEN)
84,Brick Township Municipal Utilities Authority,1506001-011,Granular Activated Carbon (GAC) Treatment Addition,86898,16000000,4890000,20890000,200,0,20,0,0,0,15,0.87,235.87,N/A,BIL (EC)
85,East Orange City,0705001-014,Water System Improvement and Resiliency Project 2017,65078,19520000,5805200,25325200,100,50,0,5,0,0,80,0.75,235.75,N/A,BIL (GEN)
86,Newark City,0714001-008,"Cleaning and lining of water mains, upgrading 4 inch mains to 6 & 8 inch mains,
replace old .re hydrants",285000,24800000,7178000,31978000,75,80,15,5,0,0,0,2.94,232.94,2027,BIL (GEN)
88,Newark City,0714001-002,Rehab of 42-inch Steel water main including cleaning & lining,285000,3000000,2070000,5070000,75,50,20,0,0,0,80,2.85,227.85,2030,BIL (GEN)
88,Newark City,0714001-009,"Replacement of 12,000 Lead service lines",285000,30000000,11060000,41060000,75,50,20,0,0,0,80,2.85,227.85,2030,BIL (LSLR)
89,Atlantic City Municipal Utilities Authority,0102001-007,Water Main Replacement Program,94225,1500000,300000,1800000,75,80,20,0,0,0,0,0.94,225.94,2027,BIL (GEN)
90,Camden City,0408001-004,Replacement of water mains on South Merrimac Road and New Hampshire Road,77344,4100000,2064000,6164000,75,50,20,0,0,0,80,0.77,225.77,2030,BIL (GEN)
90,Camden City,0408001-013,Cleaning & Lining of distribution and transmission mains,77344,7971514,4543450,12514964,75,50,20,0,0,0,80,0.77,225.77,2030,BIL (GEN)
90,Camden City,0408001-014,Replacement of Lead Service Lines,77344,567000,396900,963900,75,50,20,0,0,0,80,0.77,225.77,2030,BIL (LSLR)
90,Camden City,0408001-020,Cleaning and lining of a transmission mains,77344,7358322,4193950,11552272,75,50,20,0,0,0,80,0.77,225.77,2030,BIL (GEN)
91,High Bridge Borough,1014001-004,High Bridge Water System: Bunnvale Well Upgrades,3648,1119600,112000,1477872,175,50,0,0,0,0,0,0.03,225.03,N/A,BIL (GEN)
92,Branchville Borough,1903001-001,PFOS Treatment,75,1000000,1439074,1200000,200,0,15,0,0,0,0,0.01,225.01,2027,BIL (GEN)
93,Bridgeton City,0601001-005,"Replacement of 2,190 LF of 6 inch with 8 inch main",22770,1723000,724600,2447600,75,50,15,0,0,0,80,0.23,220.23,2030,BIL (GEN)
94,Dover Town,1409001-001,Lead Service Lines,16000,16200000,-,19440000,175,0,15,0,0,0,0,0.28,215.28,2027,BIL (LSLR)
95,Netcong Borough,1428001-010,Borough of Netcong - Lead (Galvanized) Service Line Replacements,4500,2250000,437500,2820000,175,0,15,5,0,0,0,0.03,215.03,2027,BIL (LSLR)
96,Newark City,0714001-007,Construction of a hydro-electric facility at the pre-treatment plant screen building,285000,6000000,3750000,9750000,45,50,20,0,0,15,80,2.85,212.85,2030,BIL (GEN)
97,Atlantic City Municipal Utilities Authority,0102001-006,1 MG Storage Tank Sand Blasting and painting,94225,1345500,1042626,2388126,60,50,20,0,0,0,80,0.94,210.94,2030,BIL (GEN)
98,East Orange Water Commission,0705001-002,Cleaning & Lining of mains,80468,2164500,1212380,3376880,75,50,0,5,0,0,80,0.8,210.8,2030,BIL (GEN)
98,East Orange Water Commission,0705001-006,Replacement of west well transmission main,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.8,2030,BIL (GEN)
98,East Orange Water Commission,0705001-007,Replacement of .fteen water mains suspended on Garden State Parkway bridges,80468,2500000,1360000,3860000,75,50,0,5,0,0,80,0.8,210.8,2030,BIL (GEN)
98,East Orange Water Commission,0705001-010,"Installation of 2,150 LF of 8-inch & 1,400 LF of 4-inch for a redevelopment",80468,325000,227500,552500,75,50,0,5,0,0,80,0.8,210.8,2030,BIL (GEN)
99,Camden City,0408001-006,Rehabilitate the North Camden pump station,77344,500000,350000,850000,60,50,20,0,0,0,80,0.77,210.77,2030,BIL (GEN)
100,Atlantic City Municipal Utilities Authority,0102001-005,Installation of solar system at o.ces and at WTP,47011,4000000,2020000,6020000,45,50,20,0,0,15,80,0.47,210.47,2030,BIL (GEN)
101,"Ocean Township, Ocean County",1520001-008,Township of Ocean-Ocean County Waretown Lead Service Line Replacement,8835,11348800,-,13818560,175,0,20,0,0,0,0,0.15,210.15,2030,BIL (LSLR)
102,West Cape May Borough,0512001-001,Lead Line Remediation,1900,625000,700000,906250,175,0,20,0,0,0,0,0.05,210.05,2026,BIL (LSLR)
103,North Jersey District Water Supply Commission,1613001-012,"Improvement of chemical feed equipment, pressure gauges, meters and alarms for
increased security measures",872153,500000,475000,975000,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-014,"Construction of a 6 MG ba.ed clearwell and rehab of an existing clearwell to include
ba.es",872153,5000000,3190000,8190000,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-016,Install 6 Layer Aerators including air piping and appurtenances.,872153,1000000,950000,1950000,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-020,Rehabilitation of existing WTP,872153,4250000,2770000,7020000,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-027,Expansion of Aeriation System,872153,1554000,1161888,2715888,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-028,Filter Bldg Pipe Gallery Dehumid,872153,1246000,985712,2231712,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
103,North Jersey District Water Supply Commission,1613001-029,Basins 1-4 Flocculator Rehabilitation,872153,1970000,1399840,3369840,100,50,20,0,0,0,30,8.72,208.72,2030,BIL (GEN)
104,Aqua New Jersey Incorporate,2119001-008,"Replacement of 7,080 LF of undersized water mains in Philipsburg",33560,1062000,727280,1789280,75,50,0,0,0,0,80,0.34,205.34,2030,BIL (GEN)
105,Cape May City,0502001-002,Replacement of Existing Water Plant,18901,39204000,417912,50608800,170,0,20,0,0,0,0,0.19,205.19,2027,BIL (GEN)
106,Newton Town,1915001-001,2023 Drinking Water Improvements,8300,595000,1190000,773500,160,0,20,0,0,0,0,0.08,205.08,2024,BIL (GEN)
107,Hightstown Borough,1104001-012,Lead Service Line Replacement,5494,10000000,425000,13500000,175,0,15,0,0,0,0,0.05,205.05,2026,BIL (LSLR)
108,Buena Vista Township,0660004-001,Water Main extension due to private well contamination,184,-,-,-,125,0,0,0,0,0,80,0,205,2030,BIL (EC)
109,Passaic Valley Water Commission,1605002-018,Upgrade residual treatment process to include belt thickners,347052,5000000,2460000,7460000,100,0,20,0,0,0,80,3.47,203.47,2030,BIL (GEN)
110,Newark City,0714001-011,"Rehabilitation of the basculate gate at the Charlotteburgh Reservoir with alarm and
control systems",285000,2000000,770000,2770000,45,80,15,5,0,0,0,2.94,202.94,2027,BIL (GEN)
111,Merchantville Pennsauken Water Commission,0424001-004,National Highway PFC plant,50000,7000000,1420000,8700000,200,0,0,0,0,0,0,0.47,200.47,N/A,BIL (EC)
111,Merchantville Pennsauken Water Commission,0424001-008,Park Ave GAC Plant,50000,10200000,3340000,12240000,200,0,0,0,0,0,0,0.47,200.47,2027,BIL (EC)
112,Pompton Lakes Municipal Utilities Authority,1609001-007,Well #3 Treatment,11435,3805600,6385400,5142832,200,0,0,0,0,0,0,0.11,200.11,2027,BIL (GEN)
112,Pompton Lakes Municipal Utilities Authority,1609001-008,Well #1 and #2 Treatment,11435,6978400,-,9013648,200,0,0,0,0,0,0,0.11,200.11,2027,BIL (GEN)
113,Berkeley Township Municipal Utilities Authority,1505004-010,Berkeley Township MUA Phase VII Water Main Installation,10800,7962500,4000000,10167500,165,0,20,0,0,0,0,0.11,200.11,2025,BIL (GEN)
114,East Greenwich Township,0803001-004,Installation of .ltration system for PFC removal at #3 Well,9550,1741000,539200,2280200,200,0,0,0,0,0,0,0.1,200.1,N/A,BIL (EC)
115,Boonton Town,1401001-004,Well.eld PFAS Treatment Improvements (Boonton Town),9900,4350000,475000,5476700,200,0,0,0,0,0,0,0.1,200.1,2028,BIL (GEN)
116,Washington Township Municipal Utilities Authority,1438004-005,WTMUA . SM-10 and SM-17 PFAS Treatment Improvements,4900,3150000,1350000,3955000,200,0,0,0,0,0,0,0.05,200.05,2027,BIL (GEN)
117,Allentown Borough,1302001-005,Allentown Lead Service Lines,1734,2141500,2953779,2891025,175,0,15,0,0,0,0,0.02,200.02,2026,BIL (LSLR)
118,Lakeshore Company,1413001-001,Lakeshore Water - New Well Treatment,250,342250,1800000,410700,200,0,0,0,0,0,0,0,200,2030,BIL (GEN)
120,Jersey City Municipal Utilities Authority,0906001-017,Boonton Plant Centrifuge,264290,1450200,290040,1740240,100,50,15,0,0,0,30,2.62,197.62,N/A,BIL (GEN)
121,East Orange Water Commission,0705001-009,Installation of solar power at water treatment plant,80468,1000000,700000,1700000,45,50,0,5,0,15,80,0.8,195.8,2030,BIL (GEN)
122,East Orange City,0705001-012,WORPS SCADA Instrumentation/Controls Planning and Design,65078,3000000,2070000,5070000,60,50,0,5,0,0,80,0.65,195.65,2030,BIL (GEN)
122,East Orange City,0705001-013,WORPS Emergency Backup Power Generator Planning and Design,65078,3420000,2184000,5604000,60,50,0,5,0,0,80,0.65,195.65,2030,BIL (GEN)
123,Vineland City,0614003-017,2016 Water Distribution Rehabilitation Project,36848,1906425,740056,2646481,75,80,15,0,0,0,0,0.36,195.36,2026,BIL (GEN)
124,Willingboro Municipal Utilities Authority,0338001-011,Well 6 Water Treatment Plant Upgrade,34731,18752000,4654400,23406400,160,0,20,0,0,0,0,0.35,195.35,2026,BIL (EC)
125,Rahway City,2013001-003,Rahway Lead Service Line Replacement Project,29556,1000000,4885050,1300000,175,0,0,5,5,0,0,0.27,195.27,2027,BIL (LSLR)
126,"NJ American Water Company, Inc.",2121001-001,Washington Twp. Main Extension,6492,5200000,554000,6240000,165,0,15,0,0,0,0,0.11,195.11,2025,BIL (GEN)
127,Hopatcong Borough,1912001-001,Hudson Avenue Water Main Installation,7224,900000,180000,1080000,165,0,15,0,0,0,0,0.07,195.07,2026,BIL (GEN)
128,Salem City,1712001-003,Upgrades to WTP to address taste and odor problems,5857,4500000,2240000,6740000,100,0,15,0,0,0,80,0.06,195.06,2030,BIL (GEN)
129,Egg Harbor City,0107001-002,Replacement of a water treatment plant,4700,8500000,2768740,11268740,100,0,15,0,0,0,80,0.05,195.05,2030,BIL (GEN)
130,North Jersey District Water Supply Commission,1613001-031,Purchase and Install New Dewatering System,150,2469700,1215800,3685500,160,0,20,0,0,0,0,0,195,2027,BIL (GEN)
131,North Jersey District Water Supply Commission,1613001-032,Rehabilitation of Treatment Facility,872153,2465520,1088190,3553710,160,0,20,0,0,0,0,0,195,2027,BIL (GEN)
132,Newark City,0714001-023,REHABILITATION OF PEQUANNOCK AQUEDUCTS,307220,17715500,42300,21537700,75,80,15,5,5,0,0,2.94,192.94,2025,BIL (GEN)
133,"NJ American Water Company, Inc.",2004002-012,NJ American Water Lead Service Line Replacement Program PWSID 2004002,1,6700000,2274000,8974000,125,50,0,5,5,0,0,6.15,191.15,N/A,BIL (LSLR)
134,Camden City,0408001-021,New Auto Meter Reading Equip for entire City,77344,100000,3108500,3208500,25,50,20,0,0,15,80,0.77,190.77,2030,BIL (GEN)
135,Seaside Heights Borough,1526001-001,Seaside Heights - Water Treatment Plant Improvements,7667,1000000,250000,1275000,160,0,15,0,0,0,0,0.08,190.08,2027,BIL (GEN)
135,Seaside Heights Borough,1526001-002,Seaside Heights - Water System Improvements - Resiliency,7667,3150000,510360,3930000,160,0,15,0,0,0,0,0.08,190.08,2025,BIL (GEN)
136,Allentown Borough,1302001-006,"Improvements to Broad Street, Waker Avenue and Maiden Lane",1788,1000000,1735000,1200000,175,0,15,0,0,0,0,0.02,190.02,2024,BIL (GEN)
137,Mount Arlington Borough,1426005-003,"Altenbrand, Windemere, McGregor and Lee Water Main Extension",133,1529000,330000,2020000,165,0,15,0,0,0,0,0.02,190.02,2026,BIL (GEN)
138,Old Bridge Municipal Utilities Authority,1209002-014,Perrine Road Carbon Absorber Facility,65375,1200000,240000,1440000,160,0,15,0,0,0,0,0.67,185.67,2029,BIL (LSLR)
139,Bloom.eld Township,0702001-001,Cleaning and Lining of water mains,47000,1946500,639300,2585800,175,0,0,5,0,0,0,0.47,185.47,2030,BIL (LSLR)
139,Bloom.eld Township,0702001-006,Lead Service Line Replacement (2023-2025),,6000000,-,7350000,175,0,0,5,0,0,0,0.47,185.47,2025,BIL (LSLR)
