PWSID,Water System Name2,Sum of Weighted Muni MHI,Project MHI Factor,Sum of Weighted Muni Unemp Rate,"Project UE
Factor",Sum of Weighted Muni Pop Trend,Project PT Factor,Project Affordability Score,Sum of Weighted Muni OBC,Meets OBC Criteria (OBC >= 35),AC Tier
NJ0822001,WOODBURY CITY W DEPT,56990,66.85,3.5,1,-4.19,1,64.85,0.333,No,AC1
NJ1214001,NEW BRUNSWICK WATER DEPARTMENT,43783,51.36,3,0,1.87,0,51.36,0.5778,Yes,AC1
NJ1216001,PERTH AMBOY WATER DEPARTMENT,52563,61.66,3,0,1.68,0,61.66,0.4286,Yes,AC1
NJ1321001,KEANSBURG WATER & SEWER DEPT.,52321,61.38,3.1,0,-5.02,1,60.38,0.409,Yes,AC1
NJ1505002,AQUA NJ - EASTERN DIVISION,54942,64.45,3.5,1,1.86,0,63.45,0.2359,No,AC1
NJ1505003,SHORE WATER COMPANY,54942,64.45,3.5,1,1.86,0,63.45,0.2359,No,AC1
NJ1505004,BERKELEY TWP MUA,54942,64.45,3.5,1,1.86,0,63.45,0.2359,No,AC1
NJ1514002,LAKEWOOD TWP MUA,52148,61.17,3.5,1,17.28,0,60.17,0.5417,Yes,AC1
NJ1518001,CEDAR GLEN HOMES INC,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1518002,CEDAR GLEN LAKES WATER C,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1518003,CEDAR GLEN WEST WATER CO,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1518004,MANCHESTER TWP WATER - WESTERN,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1518005,MANCHESTER TWP WATER UTILITY - EASTE,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1518010,MANCHESTER VILLAGE,43878,51.47,3.5,1,1.99,0,50.47,0.2673,No,AC1
NJ1526001,SEASIDE HEIGHTS WATER DE,57083,66.96,3.5,1,-0.17,1,65.96,0.2918,No,AC1
NJ1605002,PASSAIC VALLEY WATER COMMISSION,51190,60.05,4.2,1,0.42,0,59.05,0.4471,Yes,AC1
NJ1707001,NJ AMERICAN WATER - PENNS GROVE,46733,54.82,4.6,1,-5.66,1,52.82,0.4386,Yes,AC1
NJ1712001,SALEM WATER DEPARTMENT,24942,29.26,4.6,1,-9.79,1,27.26,0.6305,Yes,AC1
NJ1713001,HANDYS MOBILE PARK,57181,67.08,4.6,1,-4.68,1,65.08,0.337,No,AC1
NJ1921001,SUSSEX BOROUGH WATER DEPT,54196,63.58,3.3,0,-7.2,1,62.58,0.3099,No,AC1
NJ2004001,LIBERTY WATER CO C/O NJ AMERICAN WAT,48407,56.79,3.5,1,4.25,0,55.79,0.4629,Yes,AC1
NJ2123002,WINDTRYST APTS,57050,66.92,3.2,0,-4.08,1,65.92,0.2293,No,AC1
NJ2123003,"COUNTRY VIEW VILLAGE, LLC",57050,66.92,3.2,0,-4.08,1,65.92,0.2293,No,AC1
NJ0105001,BUENA FAMILY MANOR MOBILE H P,62994,73.9,4.9,1,-4.9,1,71.9,0.2628,No,AC2
NJ0105002,GARDEN HOMES MANAGEMENT CORPORA,62994,73.9,4.9,1,-4.9,1,71.9,0.2628,No,AC2
NJ0122001,VENTNOR CITY WATER & SEWER UTILITY,59219,69.47,4.9,1,-8.88,1,67.47,0.2803,No,AC2
NJ0123001,WEYMOUTH TWP MUA,61875,72.58,4.9,1,5.35,0,71.58,0.1347,No,AC2
NJ0123002,THE OAKS OF WEYMOUTH WATER CO.,61875,72.58,4.9,1,5.35,0,71.58,0.1347,No,AC2
NJ0221001,GARFIELD WATER DEPARTMENT,63011,73.92,2.8,0,4.85,0,73.92,0.3392,No,AC2
NJ0231001,PASSAIC VALLEY WC LODI WD,66609,78.14,2.8,0,1.26,0,78.14,0.2719,No,AC2
NJ0265001,WALLINGTON WATER DEPT,68845,80.76,2.8,0,1.62,0,80.76,0.2183,No,AC2
NJ0305001,BURLINGTON CITY WATER DEPT,57690,67.68,3.2,0,-0.55,1,66.68,0.3152,No,AC2
NJ0319001,MAPLE SHADE WATER DEPARTMENT,61335,71.95,3.2,0,-3.52,1,70.95,0.2333,No,AC2
NJ0326001,AQUA NJ - CALIFORNIA VILLAGE,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326003,HANOVER EAST APARTMENTS,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326004,AQUA NJ - HANOVER MOBILE VILLAGE,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326005,CEDAR GROVE APARTMENTS,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326007,SOUTHS MOBILE HOME PARK,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326008,AQUA NJ INC - SPARTAN VILLAGE,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326009,WAGON WHEEL ESTATES,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326013,MILLSTREAM APTS,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0326014,BLUEBERRY ESTATES,67477,79.16,3.2,0,-1.11,1,78.16,0.2492,No,AC2
NJ0328001,PEMBERTON BOROUGH WATER,65879,77.28,3.2,0,-4.73,1,76.28,0.3182,No,AC2
NJ0329001,PEMBERTON TOWNSHIP - NEW LISBON SYS,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329002,HILLTOP MOBILE VILLAGE,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329003,PEMBERTON TOWNSHIP WATER - LAKE VA,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329004,PEMBERTON TWP DEPT MAIN,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329005,PINEVIEW TERRACE INCORPORATED,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329006,NJ AMERICAN WATER - SUNBURY,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329008,PINEFIELD APARTMENTS,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0329009,PEMBERTON TWP WATER DEPT - PEMBERT,64444,75.6,3.2,0,-3.64,1,74.6,0.2898,No,AC2
NJ0333001,PINELANDS WATER CO,62757,73.62,3.2,0,-3.62,1,72.62,0.1889,No,AC2
NJ0333002,MOBILE ESTATES OF SOUTHA,62757,73.62,3.2,0,-3.62,1,72.62,0.1889,No,AC2
NJ0333003,RICHARDS MOBILE HOME COURT,62757,73.62,3.2,0,-3.62,1,72.62,0.1889,No,AC2
NJ0333004,NJ AMERICAN WATER -VINCENTOWN,62757,73.62,3.2,0,-3.62,1,72.62,0.1889,No,AC2
NJ0404001,BELLMAWR WATER DEPT,59646,69.97,3.9,1,-2.03,1,67.97,0.2995,No,AC2
NJ0407001,BROOKLAWN WATER DEPARTMENT,66797,78.36,3.9,1,-3.36,1,76.36,0.3196,No,AC2
NJ0414001,GLOUCESTER CITY WATER DEPARTMENT,59394,69.67,3.9,1,-2.22,1,67.67,0.1952,No,AC2
NJ0415002,AQUA NJ - BLACKWOOD,80053,93.91,3.9,1,-1.06,1,91.91,0.3509,Yes,AC2
NJ0503001,CAPE MAY POINT BORO WATER DEPARTME,62500,73.32,6.9,1,-3.85,1,71.32,0.3523,Yes,AC2
NJ0505002,LOWER TWP MUA,64238,75.36,6.9,1,-6.27,1,73.36,0.2462,No,AC2
NJ0505003,CAPE MAY MOBILE ESTATES,64238,75.36,6.9,1,-6.27,1,73.36,0.2462,No,AC2
NJ0506001,DELSEA WOODS COMMUNITY LLC,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506004,EDGEWOOD VILLAGE M H PARK,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506007,GRANDE WOODS SOUTH MOBILE H P,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506008,MIDDLE TWP WATER DISTRICT 1,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506009,MIDDLE TWP WATER DISTRICT #2,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506010,NJ AMERICAN WATER - CAPE MAY COURT H,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506012,PRESIDENTIAL COURTS MOBILE H P,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506013,A AND J MOBILE HOME PARK,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506015,GRANDE WOODS NORTH MHP,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0506321,CEDAR SPRINGS MHP WELL #,64976,76.22,6.9,1,-2.53,1,74.22,0.2975,No,AC2
NJ0610001,MILLVILLE WATER DEPARTMENT,58136,68.2,5.3,1,-3.21,1,66.2,0.3287,No,AC2
NJ0610002,COUNTRY MEADOWS RENTS AND SALES M,58138,68.2,5.3,1,-3.21,1,66.2,0.3287,No,AC2
NJ0612001,BAYSHORE MOBILE HOME PARK,64659,75.85,5.3,1,-4.33,1,73.85,0.2161,No,AC2
NJ0801001,CLAYTON WATER DEPARTMENT,69883,81.98,3.5,1,7.27,0,80.98,0.245,No,AC2
NJ0806001,GLASSBORO WATER DEPARTMENT,74225,87.07,3.5,1,8.55,0,86.07,0.3517,Yes,AC2
NJ0812001,NATIONAL PARK WATER DEPARTMENT,65776,77.16,3.5,1,-3.97,1,75.16,0.2766,No,AC2
NJ0901001,CITY OF BAYONNE,63947,75.02,3.2,0,3.76,0,75.02,0.3231,No,AC2
NJ0902001,EAST NEWARK W DEPT,63750,74.78,3.2,0,8.7,0,74.78,0.393,Yes,AC2
NJ0904001,HARRISON WATER DEPARTMENT,69594,81.64,3.2,0,47.53,0,81.64,0.3637,Yes,AC2
NJ1009001,FLEMINGTON WATER DEPARTMENT,64945,76.19,2.6,0,0.26,0,76.19,0.3532,Yes,AC2
NJ1111001,TRENTON WATER WORKS,65262,76.56,3,0,-1.15,1,75.56,0.3368,No,AC2
NJ1314001,FARMINGDALE WATER DEPT,63650,74.67,3.1,0,0.67,0,74.67,0.2925,No,AC2
NJ1315001,FREEHOLD BOROUGH WATER DEPARTMEN,61448,72.08,3.1,0,-2.48,1,71.08,0.3581,Yes,AC2
NJ1322001,KEYPORT WATER DEPT & SEWER DEPT,60949,71.5,3.1,0,-3.88,1,70.5,0.2835,No,AC2
NJ1346001,SHREWSBURY TWP C/O ALFRED VAIL MUTU,64833,76.05,3.1,0,-12.66,1,75.05,0.2682,No,AC2
NJ1428001,NETCONG WATER DEPT,69618,81.67,2.7,0,-3.09,1,80.67,0.2321,No,AC2
NJ1513001,LAKEHURST WATER DEPT,68322,80.15,3.5,1,1.96,0,79.15,0.3101,No,AC2
NJ1516001,LITTLE EGG HARBOR TWP MU,66837,78.41,3.5,1,9.42,0,77.41,0.1968,No,AC2
NJ1521001,OCEAN GATE WATER DEPT,57348,67.27,3.5,1,0.82,0,66.27,0.279,No,AC2
NJ1532002,BOROUGH OF TUCKERTON,60050,70.44,3.5,1,0.65,0,69.44,0.3068,No,AC2
NJ1708001,PENNSVILLE TWSP. WATER DEPARTMENT,68181,79.98,4.6,1,-7.61,1,77.98,0.2117,No,AC2
NJ1901001,ANDOVER BORO WATER DEPT,64653,75.84,3.3,0,-7.86,1,74.84,0.1341,No,AC2
NJ1902008,ANDOVER NURSING HOME,64653,75.84,3.3,0,-7.86,1,74.84,0.1341,No,AC2
NJ1902009,ANDOVER SUBACUTE AND REHABILITATION,64653,75.84,3.3,0,-7.86,1,74.84,0.1341,No,AC2
NJ1903001,BRANCHVILLE W DEPT,65611,76.97,3.3,0,-7.56,1,75.97,0.2335,No,AC2
NJ1905004,SUSSEX CNTY HLTH-THE HOMESTED,68365,80.2,3.3,0,-0.29,1,80.2,0.2341,No,AC2
NJ1906001,HILLSIDE ESTATES AT FRANKLIN,65329,76.64,3.3,0,-6.92,1,75.64,0.2918,No,AC2
NJ1906002,FRANKLIN BOARD OF PUBLIC WORKS,65329,76.64,3.3,0,-6.92,1,75.64,0.2918,No,AC2
NJ1915001,NEWTON WATER & SEWER UTILITY,68365,80.2,3.3,0,-0.29,1,80.2,0.2341,No,AC2
NJ2021001,WINFIELD MUTUAL HOUSING,66588,78.11,3.5,1,2.52,0,77.11,0.2113,No,AC2
NJ2103001,NJ AMERICAN WATER - BELVIDERE,58567,68.7,3.2,0,-4.79,1,67.7,0.2706,No,AC2
NJ0103001,BRIGANTINE WATER DEPARTMENT,72372,84.9,4.9,1,-11.03,1,82.9,0.1934,No,Enh Base
NJ0108002,ENGLISH CREEK MANOR M H PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108003,TILTON TERRACE MHP,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108004,NORMS DALE MOBILE HOME PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108005,AQUA NJ - SEAVIEW HARBOR,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108006,TOWER MOBILE HOMES,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108009,STONEY FIELD MOBILE HOME PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108013,TOWER 1999 MOBILE HOME PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108014,TOWER EAST MOBILE HOME PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108019,OAK FOREST MOBILE HOME PARK,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108023,EGG HARBOR RIVER RESORT,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0108303,BAY BREEZE VILLAGE,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0111004,POMONA MOBILE HOME PARK,74196,87.04,4.9,1,-3.9,1,85.04,0.19,No,Enh Base
NJ0111006,SHADY PINES CAMPING RESORT,74196,87.04,4.9,1,-3.9,1,85.04,0.19,No,Enh Base
NJ0111007,SWAN LAKE RESORT,74196,87.04,4.9,1,-3.9,1,85.04,0.19,No,Enh Base
NJ0112001,HAMILTON TOWNSHIP MUA,73916,86.71,4.9,1,-1.37,1,84.71,0.2402,No,Enh Base
NJ0112002,BLACK HORSE MANOR,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0113001,HAMMONTON WATER DEPT,73048,85.69,4.9,1,-5.47,1,83.69,0.2168,No,Enh Base
NJ0116001,MARGATE CITY WATER DEPARTMENT,83045,97.42,4.9,1,-9.99,1,95.42,0.1374,No,Enh Base
NJ0117001,MULLICA WOODS MOBILE HOME PARK,82663,96.97,4.9,1,-4.87,1,94.97,0.1905,No,Enh Base
NJ0119001,DELILAH TERRACE MHP,82117,96.33,4.9,1,-0.66,1,94.33,0.2181,No,Enh Base
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,73194,85.86,4.9,1,-2.24,1,83.86,0.2615,No,Enh Base
NJ0211001,ELMWOOD PARK WATER DEPT,77334,90.72,2.8,0,3.45,0,90.72,0.2025,No,Enh Base
NJ0232001,LYNDHURST WATER DEPARTMENT,79985,93.83,2.8,0,12.38,0,93.83,0.199,No,Enh Base
NJ0239001,PVWC-NORTH ARLINGTON,84520,99.15,2.8,0,2.38,0,99.15,0.2005,No,Enh Base
NJ0301001,BUTTONWOOD MOBILE HOME PARK,78056,91.57,3.2,0,-2.34,1,90.57,0.2669,No,Enh Base
NJ0314001,FIELDSBORO WATER DEPARTMENT,75888,89.02,3.2,0,3.37,0,89.02,0.1493,No,Enh Base
NJ0315001,FLORENCE TWP W DEPT,84897,99.59,3.2,0,3.82,0,99.59,0.1931,No,Enh Base
NJ0327001,NJ AMERICAN WATER - WESTERN DIVISION,85825,100.68,3.7,1,-0.89,1,98.68,0.2212,No,Enh Base
NJ0338001,WILLINGBORO MUA,78350,91.91,3.2,0,0.6,0,91.91,0.2208,No,Enh Base
NJ0405001,BERLIN WATER DEPARTMENT,84159,98.73,3.9,1,3.04,0,97.73,0.2092,No,Enh Base
NJ0412001,COLLINGSWOOD WATER DEPAR,72255,84.76,3.9,1,-0.81,1,82.76,0.2024,No,Enh Base
NJ0424001,MERCHANTVILLE PENNSAUKEN,73827,86.61,3.9,1,-0.61,1,84.61,0.2796,No,Enh Base
NJ0436002,ELMTOWNE VILLAGE ASSOC SYS I,78445,92.02,3.9,1,-1.25,1,90.02,0.2367,No,Enh Base
NJ0436007,WINSLOW TWP DMU,78445,92.02,3.9,1,-1.25,1,90.02,0.2367,No,Enh Base
NJ0436008,WINSLOW TWP DMU,78445,92.02,3.9,1,-1.25,1,90.02,0.2367,No,Enh Base
NJ0436009,ELMTOWNE VILLAGE ASSOC. SYS II,78445,92.02,3.9,1,-1.25,1,90.02,0.2367,No,Enh Base
NJ0436010,WINSLOW COURT HOMES INC,78445,92.02,3.9,1,-1.25,1,90.02,0.2367,No,Enh Base
NJ0504306,OCEAN VIEW ASSO OPERATION LLC DBA AU,76875,90.18,6.9,1,-4.66,1,88.18,0.279,No,Enh Base
NJ0508001,NJ AMERICAN WATER - OCEAN CITY,81076,95.11,6.9,1,-7.98,1,93.11,0.1541,No,Enh Base
NJ0509001,SEA ISLE CITY WATER DEPARTMENT,73403,86.11,6.9,1,-5.98,1,84.11,0.2254,No,Enh Base
NJ0512001,WEST CAPE MAY WATER DEPT,87188,102.28,6.9,1,-2.53,1,100.28,0.1876,No,Enh Base
NJ0607001,HOPEWELL PLACE SENIOR APTS,80259,94.15,5.3,1,-4.81,1,92.15,0.192,No,Enh Base
NJ0701001,BELLEVILLE WATER DEPT,70311,82.48,4.3,1,1.91,0,81.48,0.2556,No,Enh Base
NJ0702001,BLOOMFIELD WATER DEPARTMENT,78034,91.54,4.3,1,5.92,0,90.54,0.2118,No,Enh Base
NJ0802001,DEPTFORD TWP MUA,72261,84.77,3.5,1,-0.3,1,83.77,0.185,No,Enh Base
NJ0804001,LAUX LAKEVIEW MOBILE H P INC,86591,101.58,3.5,1,-0.41,1,99.58,0.2424,No,Enh Base
NJ0805001,IONA TRAILER PARK,83654,98.13,3.5,1,-3.03,1,96.13,0.22,No,Enh Base
NJ0805002,MALAGA MOBILE LLC,83654,98.13,3.5,1,-3.03,1,96.13,0.22,No,Enh Base
NJ0805003,MALAGA VILLA APARTMENTS,83654,98.13,3.5,1,-3.03,1,96.13,0.22,No,Enh Base
NJ0805433,HOLLY GREEN CAMPGROUND,83654,98.13,3.5,1,-3.03,1,96.13,0.22,No,Enh Base
NJ0807001,GREENWICH TWP W DEPT,73205,85.88,3.5,1,-2.57,1,83.88,0.2007,No,Enh Base
NJ0811002,MONROE TWP MUA,85399,100.18,3.5,1,3.02,0,99.18,0.164,No,Enh Base
NJ0813001,NEWFIELD WATER DEPARTMENT,72702,85.29,3.5,1,-1.61,1,83.29,0.1846,No,Enh Base
NJ0815001,PITMAN WATER DEPARTMENT,75907,89.05,3.5,1,-3.54,1,87.05,0.2102,No,Enh Base
NJ0817001,SWEDESBORO WATER DEPARTMENT,86238,101.17,3.5,1,3.13,0,100.17,0.2763,No,Enh Base
NJ0820001,WEST DEPTFORD TWP WATER DEPT,76950,90.27,3.5,1,-2.95,1,88.27,0.1665,No,Enh Base
NJ0906001,JERSEY CITY MUA,70753,83,3.2,0,6.73,0,83,0.3355,No,Enh Base
NJ0907001,KEARNY WATER DEPARTMENT,70701,82.94,3.2,0,1.55,0,82.94,0.2937,No,Enh Base
NJ1011001,NJ AMERICAN WATER - FRENCHTOWN,73611,86.35,2.6,0,-2.6,1,85.35,0.2851,No,Enh Base
NJ1012001,GLEN GARDNER W DEPT,70250,82.41,2.6,0,10.65,0,82.41,0.1769,No,Enh Base
NJ1013001,HAMPTON BOROUGH WATER DEPARTMEN,74063,86.88,2.6,0,-6.86,1,85.88,0.1548,No,Enh Base
NJ1017001,SUEZ WATER NEW JERSEY LAMBERTVILLE,77671,91.11,2.6,0,-4.56,1,90.11,0.2026,No,Enh Base
NJ1104001,HIGHTSTOWN WATER DEPARTMENT,80410,94.33,3,0,-3.32,1,93.33,0.2357,No,Enh Base
NJ1207001,HIGHLAND PARK W DEPT,81402,95.49,3,0,-1.95,1,94.49,0.2183,No,Enh Base
NJ1219001,SAYREVILLE WATER DEPARTMENT,81883,96.06,3,0,3.86,0,96.06,0.1876,No,Enh Base
NJ1223001,SOUTH RIVER W DEPT,78162,91.69,3,0,-1.05,1,90.69,0.1887,No,Enh Base
NJ1224001,SPOTSWOOD W DEPT,80078,93.94,3,0,0.02,0,93.94,0.1425,No,Enh Base
NJ1340001,RED BANK WATER DEPT,80052,93.91,3.1,0,-1.85,1,92.91,0.3143,No,Enh Base
NJ1348001,SPRING LAKE WATER DEPARTMENT,86200,101.12,3.1,0,-4.25,1,100.12,0.1838,No,Enh Base
NJ1409001,DOVER WATER COMMISSION,80644,94.6,2.7,0,-1.61,1,93.6,0.2886,No,Enh Base
NJ1426002,MOUNT ARLINGTON DPW KADEL SYS,77043,90.38,2.7,0,16.48,0,90.38,0.1952,No,Enh Base
NJ1426004,SUEZ WATER NEW JERSEY ARLINGTON HILL,77043,90.38,2.7,0,16.48,0,90.38,0.1952,No,Enh Base
NJ1426005,MOUNT ARLINGTON BORO DPW MAIN,77043,90.38,2.7,0,16.48,0,90.38,0.1952,No,Enh Base
NJ1439001,WHARTON WATER DEPT,80067,93.93,2.7,0,-2.04,1,92.93,0.2908,No,Enh Base
NJ1501001,BARNEGAT LIGHT WATER DEP,73750,86.52,3.5,1,-0.51,1,84.52,0.1211,No,Enh Base
NJ1504001,BEACHWOOD WATER DEPT,79777,93.59,3.5,1,2.62,0,92.59,0.2126,No,Enh Base
NJ1506001,BRICK TOWNSHIP MUA,78288,91.84,3.5,1,1,0,90.84,0.1723,No,Enh Base
NJ1507005,SUEZ WATER TOMS RIVER INC,75816,88.94,3.5,1,2.74,0,87.94,0.1953,No,Enh Base
NJ1508001,EAGLESWOOD VILLAGE MHP,75655,88.75,3.5,1,0.63,0,87.75,0.192,No,Enh Base
NJ1512001,LACEY TWP MUA,84567,99.2,3.5,1,6.31,0,98.2,0.1665,No,Enh Base
NJ1515001,LAVALLETTE WATER DEPT,78143,91.67,3.5,1,-3.37,1,89.67,0.165,No,Enh Base
NJ1517001,LONG BEACH TWP BRANT BEACH,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1517002,LONG BEACH TWP WATER DEPT HOLGATE,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1517003,LONG BEACH TWP NORTH BEACH,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1517004,LONG BEACH TWP LOVE LADIES SOUTH,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1517005,LONG BEACH TWP LOVE LADIES NORTH,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1517006,LONG BEACH TWP HIGH BAR HARBOR,86400,101.35,3.5,1,-0.26,1,100.35,0.1806,No,Enh Base
NJ1520001,OCEAN TWP DEPT OF UTILITIES,70819,83.08,3.5,1,11.48,0,82.08,0.1969,No,Enh Base
NJ1527001,SEASIDE PARK WATER DEPT,77629,91.07,3.5,1,-5.57,1,89.07,0.1744,No,Enh Base
NJ1528001,SHIP BOTTOM WATER DEPART,84205,98.78,3.5,1,-2.04,1,96.78,0.1058,No,Enh Base
NJ1530003,STAFFORD TWP MUA CEDAR B,81548,95.66,3.5,1,5.86,0,94.66,0.1866,No,Enh Base
