Rank,Project Number,Applicant Name,Project Location,Project Description,Population,Total Points,Estimated Project Cost*,Full Estimated Project Cost Prior to 30% Limitation,Disadvantaged,MAHI,Small,LSLR Costs,PFAS Costs,ARP Grant,DWSRF Loan,DWSRF PF,BIL DWSRF Supplemental Loan,BIL DWSRF Supplemental PF,BIL DWSRF Emerging Contaminants PF,BIL DWSRF LSLR Loan,BIL DWSRF LSLR PF,Total PF/Grant**,Percent PF/Grant
52,7647-01,City of Trenton,Wayne County,"WM replacement, LSLR","18,544",415,"$5,475,000 ",,,,,"$150,000 ",,,,,,,,,,$                 -,0%
53,7732-01,City of Eastpointe,Macomb County,"WM replacement, LSLR","32,442",415,"$18,205,000 ",,,,,"$1,787,700 ",,,,,,,,,,$                 -,0%
54,7719-01,City of Traverse City,Grand Traverse County,"WM replacement, WTP imp, LSLR","31,155",415,"$5,980,000 ",,,,,"$125,000 ",,,,,,,,,,$                 -,0%
55,7659-01,Charter Twp. of Redford,Wayne County,WM replacement,"49,504",415,"$8,300,000 ",,,,,,,,,,,,,,,$                 -,0%
56,7688-01,City of Gibraltar,Wayne County,WM replacement and Redundant WM,"4,997",405,"$2,900,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
57,7642-01,Southeastern Oakland County Water Authority,Oakland County,PS tank separation,"244,941",400,"$3,500,000 ",,,,,,,,,,,,,,,$                 -,0%
58,7644-01,City of Saginaw,Saginaw County,Elevated storage tank,"51,508",400,"$15,000,000 ",,Yes,"$30,845 ",,,,"$15,000,000 ",,,,,,,,"$15,000,000 ",100%
59,7718-01,City of Ovid,Clinton County,"WM replacement, LSLR, meters, WTP improvement","1,481",395,"$9,820,000 ",,Yes,"$45,000 ",Yes,"$1,860,000 ",,"$6,453,600 ",,,,,,"$948,600 ","$911,400 ","$7,365,000 ",75%
60,7628-01,Village of Baldwin,Lake County,WM replacement,755,395,"$1,960,000 ",,Yes,"$23,389 ",Yes,,,"$1,960,000 ",,,,,,,,"$1,960,000 ",100%
61,7699-01,City of Coleman,Midland County,"WM,LSLR,WTP, storage tank","1,243",395,"$7,055,000 ",,Yes,"$37,167 ",Yes,"$500,000 ",,"$5,046,250 ",,,,,,"$255,000 ","$245,000 ","$5,291,250 ",75%
62,7494-01,City of Grosse Pointe Park,Wayne County,"WM replacement, LSLR","11,555",390,"$33,000,000 ",,,,,"$6,065,000 ",,,,,,,,,,$                 -,0%
63,7550-01,Village of Beverly Hills,Oakland County,WM replacement,"10,451",390,"$6,200,000 ",,,,,,,,,,,,,,,$                 -,0%
64,7653-01,Port Huron Charter Township,St. Clair County,"WM replacement, meters","10,654",390,"$6,505,000 ",,,,,,,,,,,,,,,$                 -,0%
65,7619-01,City of Sturgis,St Joseph County,"LSLR, WM replacement","10,944",390,"$1,260,000 ",,,,,"$590,775 ",,,,,,,,,,$                 -,0%
66,7470-01,City of Howell,Livingston County,"WM replacement, looping, LSLR","10,068",390,"$7,675,000 ",,Yes,"$47,255 ",,"$3,250,000 ",,"$4,163,750 ",,,,,,"$1,657,500 ","$1,592,500 ","$5,756,250 ",75%
67,7660-01,Charter Twp. of White Lake,Oakland County,"WM extension, iron removal, well building","8,642",380,"$9,505,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
68,7445-03,GLWA,Wayne County,"Northeast Trans Main, Phase 2B","3,600,000",375,"$64,230,000 ","$92,180,000 ",,,,,,,,,,,,,,$                 -,0%
69,7656-01,DWSD/GLWA,Wayne County,"WM replacement, LSLR - WS-732","639,111",375,"$21,140,000 ",,Yes,"$32,498 ",,"$1,612,000 ",,"$19,210,120 ",,,,,,"$822,120 ","$789,880 ","$20,000,000 ",95%
70,7657-01,DWSD/GLWA,Wayne County,"WM replacement, LSLR - WS-733","639,111",375,"$22,130,000 ",,Yes,"$32,498 ",,"$2,002,000 ",,"$19,019,020 ",,,,,,"$1,021,020 ","$980,980 ","$20,000,000 ",90%
71,7662-01,Bay County,Bay County,Raw water storage tanks,"93,277",375,"$11,605,000 ",,,,,,,,,,,,,,,$                 -,0%
72,7650-01,Forsyth Township,Marquette County,"LSLR, WM replacement","2,479",370,"$7,000,000 ",,Yes,"$56,027 ",Yes,"$4,117,647 ",,,,,,,,,,$                 -,0%
73,7645-01,City of Pleasant Ridge,Oakland County,"WM replacement, LSLR","2,600",370,"$24,525,000 ",,,,Yes,"$6,640,000 ",,,,,,,,,,$                 -,0%
74,7648-01,County of Marquette (KI Sawyer),Marquette County,"Storage tank, WM replacement, wellhouse","3,000",370,"$7,580,000 ",,Yes,"$37,217 ",Yes,"$882,500 ",,,,,,,,,,$                 -,0%
75,7511-01,City of Escanaba,Delta County,"LSLR, WM replacement","12,181",365,"$20,000,000 ",,Yes,"$33,102 ",,"$6,962,000 ",,"$20,000,000 ",,,,,,,,"$20,000,000 ",100%
76,7675-01,City of Niles,Berrien and Cass Counties,LSLR,"13,833",365,"$3,000,000 ",,Yes,"$38,415 ",,"$1,320,000 ",,,,,,,,,,$                 -,0%
77,7602-01,City of River Rouge,Wayne County,PRV,"7,380",355,"$585,000 ",,Yes,"$22,664 ",Yes,,,"$585,000 ",,,,,,,,"$585,000 ",100%
78,7708-01,City of Ishpeming,Marquette County,"LSLR, WM","6,470",355,"$15,000,000 ",,Yes,"$46,783 ",Yes,"$6,000,000 ",,,,,,,,,,$                 -,0%
79,7523-01,City of Ironwood,Gogebic County,LSLR,"5,387",355,"$3,000,000 ",,Yes,"$27,261 ",Yes,"$3,000,000 ",,"$3,000,000 ",,,,,,,,"$3,000,000 ",100%
80,7512-01,Village of White Pigeon,St. Joseph County,WM and LSLR,"1,630",345,"$15,000,000 ",,,,Yes,"$1,200,000 ",,,,,,,,,,$                 -,0%
81,7616-01,Bessemer Township,Gogebic County,LSLR,"1,176",345,"$825,000 ",,Yes,"$48,125 ",Yes,"$825,000 ",,,,,,,,,,$                 -,0%
82,7674-01,City of Pinconning,Bay County,WM and LSLR,"1,307",345,"$10,565,000 ",,Yes,"$49,185 ",Yes,"$3,250,000 ",,,,,,,,,,$                 -,0%
83,7518-01,City of White Cloud,Newaygo County,LSLR,"1,400",345,"$3,605,000 ",,Yes,"$37,656 ",Yes,"$3,605,000 ",,,,,,,,,,$                 -,0%
84,7501-01,City of Wakefield,Gogebic County,LSLR,"1,851",345,"$350,000 ",,Yes,"$36,186 ",Yes,"$350,000 ",,,,,,,,,,$                 -,0%
85,7520-01,City of Eaton Rapids,Eaton County,"LSLR, WM replacement, WTP improvements","5,340",330,"$24,300,000 ",,,,Yes,"$2,500,000 ",,,,,,,,,,$                 -,0%
86,7700-01,City of Grand Blanc,Genesee County,WM Replacement,"8,091",330,"$5,000,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
87,7536-01,City of Dearborn,Wayne County,LSLR,"98,153",325,"$6,600,000 ",,,,,"$6,600,000 ",,,,,,,,,,$                 -,0%
88,7454-01,City of Livonia,Wayne County,"WM, LSLR","94,060",325,"$4,815,000 ",,,,,"$175,000 ",,,,,,,,,,$                 -,0%
89,7493-01,City of St. Clair Shores,Macomb County,LSLR,"60,922",325,"$1,000,000 ",,,,,"$1,000,000 ",,,,,,,,,,$                 -,0%
90,7663-01,Zox Cass Lakeside Community Association,Oakland County,"WM rep, LSLR, pump station",700,320,"$5,100,000 ",,,,Yes,"$400,000 ",,,,,,,,,,$                 -,0%
91,7680-01,City of Hart,Oceana County,WM and LSLR,900,320,"$4,515,000 ",,,,Yes,"$1,372,000 ",,,,,,,,,,$                 -,0%
92,7629-01,City of Lincoln Park,Wayne County,"WM replacement, LSLR","38,144",315,"$8,410,000 ",,,,,"$1,742,000 ",,,,,,,,,,$                 -,0%
93,7500-01,Charter Twp. of Bloomfield,Oakland County,WM replacement,"44,253",315,"$6,730,000 ",,,,,,,,,,,,,,,$                 -,0%
94,7554-01,City of Southgate,Wayne County,"WM replacement, LSLR","30,047",315,"$2,085,000 ",,,,,"$409,500 ",,,,,,,,,,$                 -,0%
95,7689-01,Handy Township,Livingston County,Raw water bypass,728,295,"$600,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
96,7544-01,City of St. Ignace,Mackinac County,"WTP improvements, WM replacement","2,452",295,"$11,250,000 ",,Yes,"$48,226 ",Yes,"$30,000 ",,,,,,,,,,$                 -,0%
97,7649-01,Ishpeming Township,Marquette County,"WM replacement, LSLR","2,148",295,"$5,000,000 ",,,,Yes,"$964,200 ",,,,,,,,,,$                 -,0%
98,7626-01,City of Harbor Beach,Huron County,"WTP imp, transmission main","5,209",280,"$3,855,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
99,7549-01,City of St. Louis,Gratiot County,LSLR,"7,482",255,"$4,900,000 ",,Yes,"$42,050 ",Yes,"$4,900,000 ",,,,,,,,,,$                 -,0%
100,7618-01,City of Negaunee,Marquette County,LSLR,"4,568",255,"$2,300,000 ",,Yes,"$53,734 ",Yes,"$2,300,000 ",,,,,,,,,,$                 -,0%
101,7533-01,City of Cheboygan,Cheboygan County,"LSLR, WM replacement","5,500",255,"$6,725,000 ",,Yes,"$34,964 ",Yes,"$2,362,500 ",,"$6,725,000 ",,,,,,,,"$6,725,000 ",100%
102,7545-01,City of Onaway,Presque Isle County,LSLR,880,245,"$5,165,000 ",,Yes,"$27,697 ",Yes,"$5,165,000 ",,"$5,165,000 ",,,,,,,,"$5,165,000 ",100%
103,7588-01,City of Croswell,Sanilac County,LSLR and WM replacement,"2,422",245,"$7,400,000 ",,Yes,"$44,472 ",Yes,"$1,000,000 ",,,,,,,,,,$                 -,0%
104,7683-01,Township of Albee,Saginaw County,WM extension,"2,034",245,"$5,165,000 ",,Yes,"$52,171 ",Yes,,,,,,,,,,,$                 -,0%
105,7646-01,Village of Newberry,Luce County,LSLR,"2,000",245,"$2,675,000 ",,Yes,"$38,611 ",Yes,"$2,675,000 ",,,,,,,,,,$                 -,0%
106,7498-01,City of Marysville,St. Clair County,"WTP imp, WM replacement","9,959",230,"$3,050,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
107,7658-01,Marquette Township,Marquette County,Pumphouse improvement,"2,700",220,"$750,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
108,7594-01,Charter Township of Hampton,Bay County,WM replacement,"9,452",205,"$3,980,000 ",,Yes,"$38,881 ",Yes,,,,,,,,,,,$                 -,0%
109,7702-01,Leoni Township,Jackson County,"looping, well, meters","2,922",170,"$4,720,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
110,7638-01,Bangor Charter Township,Bay County,WM Replacement,"13,946",165,"$4,705,000 ",,,,,,,,,,,,,,,$                 -,0%
