Water System Name,"DWRLF Project Number (for ALL IIJA projects add either a '-GS', '-EC', '-LSLI', or 'LSLR' to the end)",System Population,Est. Loan Amount,Potential Funding Source (s),Amount of Principal Forgivenes,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,Type of Principal Forgiveness (PF) Received,Readiness to Proceed,Compliance Correction List,Meets Affordability Criteria (DAC),Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,Preliminary Water System Grade
Plaisance Water System,1097012-01-GS,6375,"$10,400,000.00",IIJA-GS / Base,"$3,000,000.00",20-Yr,42,Dec-2026,Two (2) new water wells to address capacity issues. Rehabilitation of existing wells and existing storage tank. New water treatment plant (iron/manganese removal and softening). Assist the system with training as it relates to operations of the water system,IIJA-GS,NONE,,Yes,NO,,IIJA-GS,A
Town of Gibsland,1013008-01,979,"$8,033,000.00",IIJA-GS,"$3,000,000.00",20-Yr,41,Dec-2026,"WTP upgrades (new greensand type pressure filters, aerator, chemical feed system, booster pumps, settling tank, generator, piping, and appurtenances), rehabilitation of existing three (3) water wells, ground storage tank, and 150,000 gallon elevated storage tank, replacement of 15,500 L.F. of 2 through 8 water mains, replace all water meters with radio read meters and install AMR system",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,
Town of Zwolle,1085032-01-GS,2520,"$3,000,000.00",IIJA-GS,"$1,470,000.00",30-Yr,40,Nov-2026,"This project will address the issue of inadequate water storage during emergency situations and inadequate water production by constructing a 200 gpm public water well, 100,000 gallon ground storage tank, booster pumps, and related appurtenances, emergency interconnection with Belmont Waterworks and upgrade of existing emergency interconnection with Ebarb Waterworks District. 30 YEAR LOAN TERM",IIJA-GS,NONE,AO: C16-085-035-ETT,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,D
MADISONVILLE WATER SUPPLY,1103022-01,871,"$9,000,000.00",IIJA-EC,"$9,000,000.00",20-Yr,40,Dec-2026,Replace existing water well (north well) due to high level of iron and manganese. The proposed well is located adjacent to the Town's 2nd well (south well) which has good water quality.,IIJA-EC,NONE,,Yes,NO,,IIJA-EC,
New Orleans - Carrolton Water Works (Loan 4),1071009-04-GS,334903,"$25,000,000.00",IIJA-GS,"$3,000,000.00",20-Yr,39,Aug-2026,"The Bulk Chemical Feed project will replace various water treatment process chemical storage tanks, piping, and feed systems that have reached the end of their useful life. Capacity will be increased to ensure at least 30 days of storage for all process chemicals within scope. A new stormproof facility with containment and emergency washdown stations will house the chemicals, currently in unhoused tanks scattered throughout the plant. New pumping systems will feature modern controls integrated into the SWBNO SCADA system. Chemicals within scope include liquid ammonium sulfate, polyphosphate, polymer, ferric sulfate, and fluorosilicic acid.",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,D
"Hebert Water System, Inc. (Loan 2)",1021006-02-GS,3048,"$3,985,715.00",IIJA-GS / Capital Outlay,"$1,953,000.00",20-Yr,38,Nov-2025,"Phase 1: New Pump Station & GST LA561, Painting of Existing Elevated Tank, Pump Station & GST LA 576. Phase 2: New 150,000 gal Elevated Tanks, Painting of New Elevated Tank, Distribution to Elevated Tank. Loan Terms = 20 Years",IIJA-GS,CLOSED,,Yes,NO,,IIJA-GS,A
Bastrop Water System - Loan 1,1067003-01-GS,18105,"$8,700,000.00",IIJA-GS,"$3,000,000.00",20-Yr,37,Sep-2026,"Construction includes new booster station, GST, treatment system, site piping and related work at the Donaldson Facility. Also includes new meters. Loan Terms = 20 Years",IIJA-GS,DESIGN,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
"BOSSIER PARISH, Consolidated WWKS Dist 1 (Loan 1)",1015026-01-EC,3210,"$6,320,000.00",IIJA-EC,"$6,320,000.00",10-Yr,35,Sep-2026,"Project A - Install new manganese filter system at Bellevue Road Station (Ader Elevated Tank Site) to treat wells #12 and #13. Project C - Renovate Hwy 528 (Bellevue Road Booster Station) to include a new pump house with manganese filtration and larger capacity pumps for backwashing; drill one new water well to increase booster station supply needed for backwashing the new filter system. This water system just consolidated several (3) small systems into one, but some wells have Manganese issues. These projects (and Projects B and D) were EPA Approved on 7/24/24 for IIJA-EC. Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,ENVIRONMENTAL,,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,A
"Central Grant Water System, Inc.",1043013-01-GS,2250,"$2,350,000.00",IIJA-GS,"$1,151,500.00",30-Yr,33,Dec-2026,"New water well and appurtenances, distribution system upgrades, and new radio read meters. Loan Terms = 30 Years",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,A
City of Ville Platte Water System (Loan 5),1039010-05-GS,6590,"$7,870,000.00",IIJA-GS,"$3,000,000.00",20-Yr,30,Oct-2026,Construct new Water Well; Repair wells #11 (Railroad St.) & #6 (SW Railroad Ave); Add 3 generators to the system; complete replacement of undersized distribution lines (begun under Phase 4 of WSP),IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,B
City of Sulphur Water System,1019044-01-GS,20632,"$19,800,000.00",IIJA-GS / Base,"$3,000,000.00",20-Yr,28,Sep-2026,"IIJA-GS. Installation of water meters on all connections tied into water system. The high cost is due to the unknown condition of the service lines (but they are old), so the estimate includes extra funds for installing new service lines, including horizontal directional drilling under streets, as well as pavement replacement where necessary for installing new meter boxes/service lines.",IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
Provencal Water System,1069009-01-GS,702,"$600,000.00",IIJA-GS,"$294,000.00",30-Yr,26,Nov-2026,"Need new well, generator, and cross connection control program",IIJA-GS,NONE,AO: C-22-069-007-ETT,Yes,NO,,IIJA-GS,F
"West Monroe, City of (Loan 1)",1073056-01-GS,16005,"$6,068,430.00",IIJA-GS,"$2,973,531.00",30-Yr,25,Dec-2026,General water system improvements. 30 Year Loan Term,IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
Bayou Teche Water Works,1099002-01-EC,9933,"$9,245,000.00",IIJA-EC,"$9,245,000.00",,25,Nov-2026,"IIJA-EC (Manganese Treatment). The proposed project is Bayou Teche Water Treatment Plant Reconstruction and has an estimated total project cost (incl. Eng) of $9,245,000.",IIJA-EC,PLANNING,,Yes,NO,,IIJA-EC,C
New Orleans Sewage & Water Board - Algiers WWKs (Loan 1),1071001-01-GS,52785,"$4,593,676.00",IIJA-GS,"$2,450,000.00",20-Yr,24,Dec-2025,AMR Meter PROCUREMENT ONLY of Automated Meter Reading (AMR) System including meters and infrastructure. NO INSTALL. Original application included the install. Loan Terms = 20 Years,IIJA-GS,CLOSED,NO AOs,Yes,NO,,IIJA-GS,"B,C"
Calcasieu Parish Water District 1 (LOAN 1),1019051-01-GS,20837,"$7,000,000.00",IIJA-GS / Base,"$3,000,000.00",30-Yr,24,Jul-2026,"New treatment plant (two wells; pre-treatment aeration; six greensand filters; chlorine, KMnO4, and caustic feed systems; control building; backwash decant waste collector; and associated piping and electrical systems)",IIJA-GS,DESIGN,,Yes,NO,,IIJA-GS,A
Colyell Community Water System (Loan 3),1063003-03-GS,4544,"$3,930,000.00",IIJA-GS,"$1,925,700.00",30-Yr,23,Dec-2025,"Construction of production well, and installation of 6 Water Main and repair of control systems at well site.",IIJA-GS,CLOSED,,Yes,NO,,IIJA-GS,B
Livingston Parish Ward 2 (Loan 8),1063039-08-EC,73506,"$4,460,000.00",IIJA-EC,"$4,460,000.00",10-Yr,21,Jun-2026,"IIJA-EC. Installation of a new test well and operating well on one site in the Ward Two Water System. Goal is to find and drill a well site with significantly better water quality, decreasing the amount the well with manganese and iron has to be run and improving the water quality provided to customers. Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,BIDDING,,Yes,NO,,IIJA-EC,B
"Lake Charles, City of (Loan 3)",1019029-03-EC,85000,"$1,400,000.00",IIJA-EC,"$1,400,000.00",10-Yr,21,Oct-2026,Upgrade and replacement of existing chemical feed systems at the George West Water Plant. To address manganese treatment. 10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,,IIJA-EC,A
"Lake Charles, City of (Loan 4)",1019029-04-EC,85000,"$1,400,000.00",IIJA-EC,"$1,400,000.00",10-Yr,21,Oct-2026,Upgrade and replacement of existing chemical feed systems at the Southwest WTP. To address manganese treatment. 10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,,IIJA-EC,A
St. Bernard Parish Waterworks (Loan 4),1087001-04-EC,44000,"$5,000,000.00",IIJA-EC,"$5,000,000.00",10-Yr,20,Dec-2025,N. FOWLERI TREATMENT: Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system (Lloyd's Avenue - formerly included in Proj 2.4 of 2015 SIP). LOAN TERM = 10 YEARS (100% PF since IIJA-EC),IIJA-EC,CLOSED,NO AOs,Yes,NO,,IIJA-EC,B
Morrow Water System (Loan 1),1097009-01-GS,1650,"$3,270,000.00",IIJA-GS,"$1,602,300.00",30-Yr,20,Nov-2026,"Installation of approximately 11,000 LF of 8 water main along U.S. Hwy. 71, between the unincorporated communities of Rosa and Lebeau. Loan Term = 30 Years IIJA-GS (49% PF)",IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
WINNSBORO WATER SYSTEM,1041006-02,7518,"$3,640,000.00",IIJA-GS,"$1,783,600.00",20-Yr,19,Dec-2026,"Replacement of existing 250 HP variable frequency drives for existing booster pumps, replacement of telemetry system, controls, and 300 KW standby generator at booster station, replacement of all radio endpoints on existing water meters, replacement of all inoperable water meters, provide new meter reading equipment and technology, and replace and/or abandon aged water mains under state highways.",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,
Magnolia Plantation Water System (Loan 1),1113032-01-GS,8754,"$7,520,000.00",IIJA-GS,"$3,000,000.00",30-Yr,18,Aug-2026,The proposed project will provide additional capacity and storage to the distribution system in order to meet current demand and address issues and violations. LOAN TERM = 30 YEARS,IIJA-GS,BIDDING,,Yes,NO,,IIJA-GS,A
Walker Water System (Loan 3),1063017-03-EC,15813,"$4,150,000.00",IIJA-EC,"$4,150,000.00",10-Yr,18,Dec-2026,Addition of Manganese filtration at well #5 to assist in plan to switch to free chlorine. Loan Term = 10 Years IIJA-EC (100%PF),IIJA-EC,NONE,,,NO,,IIJA-EC,A
Bossier City Water System (Loan 2),1015004-02-EC,76685,"$550,000.00",IIJA-EC,"$550,000.00",10-Yr,17,Aug-2026,Pilot two (2) Nanofiltration Membrane Systems in series with a Greensand Filtration System. 10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,,IIJA-EC,A
"Monterey Rural Water System, Inc.",1029007-01-GS,5250,"$6,700,000.00",IIJA-GS,"$3,000,000.00",30-Yr,17,Sep-2026,"Construction includes 3 new water wells, approximately 13,600 L.F. of water transmission main, and a new 100,000 gallon GST. LOAN TERM = 30 YEARS",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
Cypress Black Bayou (CBB) Water System,1015040-01-GS,5520,"$2,646,000.00",IIJA-GS,"$1,296,540.00",20-Yr,17,Dec-2026,"Removed & Replace residential water meters with AMR system. Construction of 8,500 LF of 8 water transmission main. Demolish out of service elevated tank.",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,A
"Carencro, City of (Loan 2)",1055005-02-EC,10485,"$7,150,000.00",IIJA-EC,"$7,150,000.00",10-Yr,16,Sep-2026,"Evaluating alternatives, may drill new wells at alternate location and pipe to WTP, or add additional treatment at existing WTP. Meeting with regional staff and consultant 5/4/22 to discuss treatment options. A complete analysis of the water was determined necessary to find the cause of high manganese levels. 10 Year Loan Term (100%PF)",IIJA-EC,ENVIRONMENTAL,,Yes,NO,,IIJA-EC,A
East Columbia Water System,1021004-01-GS,2829,"$866,000.00",IIJA-GS,"$424,340.00",30-Yr,15,Aug-2026,The proposed facilities are distribution system improvements including new water mains and services to eliminate aged water mains and services.,IIJA-GS,ENVIRONMENTAL,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
"Prairie Ronde Water System, Inc.",1097014-03-GS,6090,"$710,000.00",IIJA-GS,"$347,900.00",10-Yr,14,Dec-2026,"Water Line Replacement, Elevated Tank Repairs. Loan Terms = 10 Years",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),NO,,IIJA-GS,A
Town of Vinton,1019048-01-EC,4101,"$3,180,000.00",IIJA-EC,"$3,180,000.00",10-Yr,14,Jun-2026,"REPLACE four (4) OLD 1975 WTP Filters with four (4) manganese greensand vertical pressure filters, relocation of chemical feed equipment for oxidation, backwash pumping, building to house the filters and equipment, and associated piping and electrical modifications. Background/eligibility for EC: need to replace four OLD 1975 WTP filters for Iron and Manganese at end of design life. Latest LDH sample results show Manganese of 0.41 mg/L in Well 1, 0.38 mg/L in Well 2, and 0.27 mg/L in Well 3 (health concern level is 0.3 mg/L; SMCL is 0.05 mg/L).",IIJA-EC,BIDDING,,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,A
Lafayette Parish Waterworks District North (LPWD North Production Facility) (Loan 2),1055171-02-EC,4122+16833,"$8,358,600.00",IIJA-EC,"$8,358,600.00",10-Yr,14,Dec-2026,"CONSTRUCTION ONLY LOAN - total loan covering several planned projects (see Attachment A of 2025 DWRLF Application): 1. New Pressure Filtration Water Treatment Facility ($6,065,745); 2a. Dead End Elimination Projects: I-49 Frontage near Rue Des Etoiles to Le Medicin Rd ($302,050); 2b. I-49 Frontage near Le Medicin Rd to Brasseaux Rd ($1,071,250); 3. Water System Improvements: La Hwy 1252 Melancon Rd to Kidder Rd ($377,870)",IIJA-EC,NONE,,Yes,NO,,IIJA-EC,A
Lafayette Parish Waterworks District North (North Region),1055191-01-GS,4122+16833,"$641,400.00",IIJA-GS,"$314,286.00",30-Yr,14,Dec-2026,"CONSTRUCTION ONLY LOAN - total loan covering several planned projects (see Attachment A of 2025 DWRLF Application): 4. Water Line Extension from Dillon Rd and Mardi Gras Rd from Gayle Rd to Joli Rd ($583,085)",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,A
St. Martin Parish Waterworks District No. 3,1099028-01-GS,3249,"$4,550,000.00",IIJA-GS,"$2,229,500.00",30-Yr,13,Oct-2026,"WWDN3 proposes to place additional water lines, water wells, storage unit, and service pump in the system. Automatic read meters are also being proposed to replace the existing outdated meters. LOAN TERM = 30 YEARS",IIJA-GS,ENVIRONMENTAL,,Yes,NO,,IIJA-GS,B
Mire Branch Water Corporation,1001024-01-EC,9147,"$6,130,000.00",IIJA-EC,"$6,130,000.00",10-Yr,12,Aug-2026,Replace well #1 with a new 750gpm well; piping modifications so new well and well #3 can supply both plants #1 and #2; new filter with softener; new 500K gal storage tank and replace existing high service pumps and generator. LOAN TERM = 10 YEARS (100% PF since IIJA-EC),IIJA-EC,ENVIRONMENTAL,,Yes,NO,,IIJA-EC,A
New Orleans - Carrolton Water Works (Loan 3),1071009-03-LSLR,334903,"$66,000,000.00",IIJA-LSL,"$32,340,000.00",30-Yr,12,Aug-2026,"IIJA-LSLR - Continued from Loan 2, LSL-Inventory and Replacement. SWBNO estimated removal of LSL to be a multi-decade program. Taking costs from current public bids for both LSL removal and street paving costs, SWBNO estimates an average cost of $12,569.42 per LSL replaced, for approximately 1,313 LSL replaced per year. Loan Term = 30 Years IIJA-LSLR (49% PF)",IIJA-LSL,ENVIRONMENTAL,,Yes,,,IIJA-LSL,D
Greater Ward One Waterworks District,1061007-01-GS,3333,"$2,148,000.00",IIJA-GS,"$1,052,520.00",30-Yr,12,Jun-2026,The project proposes to drill a new water well with ancillary improvements for the Greater Ward One Waterworks District.,IIJA-GS,ENVIRONMENTAL,,Yes,NO,,IIJA-GS,A
WINNSBORO WATER SYSTEM,1041006-01,7518,"$250,000.00",IIJA-LSL,"$122,500.00",20-Yr,11,Dec-2026,Investigate service lines within the distribution system to identify and create an accurate lead service line inventory for replacement.,IIJA-LSL,NONE,,Yes,NO,,IIJA-LSL,
St. Francisville Water System,1125006-01-GS,2304,"$800,000.00",IIJA-GS,"$392,000.00",20-Yr,11,Oct-2026,Replace existing water meters with automatic read meters,IIJA-GS,PLANNING,,Yes,NO,,IIJA-GS,A
Town of Vinton,1019048-02-GS,4101,"$2,890,000.00",IIJA-GS,"$1,416,100.00",20-Yr,10,Jun-2026,"Description of proposed facilities: New water well, ground storage tank, associated piping, electrical modifications and repairs to existing concrete ground storage tank.",IIJA-EC,BIDDING,,Yes (+4 Add'l Priority Points),NO,,IIJA-EC,A
Crowley Water System (LAWCO),1001002-01,17733,"$7,051,000.00",IIJA-EC,"$7,051,000.00",20-Yr,10,Dec-2026,"LAWCO's Crowley water treatment plant currently uses conventional lime softening. LAWCO intends to replace the aging existing lime softening system with an aerated pellet softening system, providing enhanced removal of Manganese and Iron using atmospheric oxygen as an oxidant instead of chlorine or permanganate.",IIJA-EC,NONE,,Yes,NO,,IIJA-EC,A
Calcasieu Parish Water District 1 (LOAN 2),1019051-02-EC,20837,"$2,900,000.00",IIJA-EC,"$2,900,000.00",10-Yr,9,Jul-2026,New Manganese Green Sand Filters for treatment Plant.,IIJA-EC,DESIGN,,Yes,NO,,IIJA-EC,A
Sandy Lake Water System,1025008-01-GS,3141,"$1,015,000.00",IIJA-GS,"$497,350.00",20-Yr,9,Dec-2026,Replace existing manual read meters with new advanced metering infrastructure (AMI) or automated meter reading (AMR) system to automatically collect customer water usage. The system selected will be based on the availability of communication technologies available in the customer service area.,IIJA-GS,PLANNING,,Yes,NO,,IIJA-GS,A
Calcasieu Parish Water District 4 (LOAN 1),1019053-01-EC,5340,"$1,680,000.00",IIJA-EC,"$1,680,000.00",10-Yr,8,Mar-2026,REHAB of Existing Manganese Green Sand Filter Treatment Plant for treatment of Manganese (0.32 mg/L in raw water). Loan Term = 10 Years IIJA-EC (100% PF),IIJA-EC,CLOSED,,NO,,,IIJA-EC,A
City of Plaquemine,1047005-01-EC,14043,"$7,127,000.00",IIJA-EC,"$7,127,000.00",10-Yr,8,Nov-2026,"The City proposed two separate contracts: 1) Port Allen Source: Install new redundant well, backup power, piping & security. New treatment plant includes greensand pressure filters (to remove iron & manganese), a Granular Activated Carbon (GAC) system (to remove PFAS), and an upgraded disinfection system. 2) Covered under GS or Base loan.",IIJA-EC,NONE,,Yes,NO,,IIJA-EC,B
City of Plaquemine,1047005-02-GS,14043,"$1,038,000.00",IIJA-GS,"$508,620.00",30-Yr,8,Nov-2026,"The City proposed two separate contracts: 1) Covered under EC loan. 2) Plaquemine Back-up Water Plant: repairs and upgrades to existing lime softening plant including replacement of instrumentation, actuator, new filter control panels, new slurry & sludge pumps, and structural repairs to the solids contact clarifier.",IIJA-GS,NONE,,Yes,NO,,IIJA-GS,B
Columbia Water System,1021002-01-GS,912,"$510,000.00",IIJA-GS,"$249,900.00",,6,Jun-2027,The proposed facilities are distribution system improvements including new water mains and services to eliminate aged water mains and services.,IIJA-LSLI,NONE,,Yes,NO,,IIJA-LSLI,C
Bossier City Water System (Loan 3),1015004-03-GS,76685,"$30,000,000.00",IIJA-GS,"$3,000,000.00",20-Yr,3,Dec-2026,"Addition of a 20 MGD nanofiltration NF system including equipment, building, piping, wet well, pilings, site work, and miscellaneous items needed for a complete and operable NF system. Loan Terms = 20 Years",IIJA-GS,PLANNING,,Yes,NO,,IIJA-GS,A
Coushatta Water System,1081001-01-LSLI,3300,"$310,000.00",IIJA-LSL,"$151,900.00",,0,Oct-2026,"Conduct a Lead Service Line (LSL) Inventory to comply with the revised Lead and Copper Rule, including developing an inventory by customer address for the Coushatta WS with fully known service line material information, using the 120Water Platform/ArcGIS-compatible format, SLI Verification, and water quality lead and copper sampling services. Scope of Work describes 7 inventory development phases, each with a deliverable.",IIJA-LSL,NONE,,Yes,NO,,IIJA-LSL,C
"Haynesville, Town of",1027002-01-LSL,2640,"$410,000.00",IIJA-LSL,"$200,900.00",,0,Dec-2026,"Conduct a Lead Service Line (LSL) Inventory to comply with the revised Lead and Copper Rule, including developing an inventory by customer address for the Haynesville WS with fully known service line material information, using the 120Water Platform/ArcGIS-compatible format, SLI Verification, and water quality lead and copper sampling services. Scope of Work describes 7 inventory development phases, each with a deliverable.",IIJA-LSLI,NONE,,Yes,NO,,IIJA-LSLI,B
"Welsh, Town of",1053006-02-LSLI,4311,"$350,000.00",IIJA-LSL,"$171,500.00",,0,Oct-2026,To conduct a Lead Service Line Inventory of the Welsh Water System.,IIJA-LSLI,ENVIRONMENTAL,,Yes,NO,,IIJA-LSLI,A
"Campti, Town of",1069001-01-LSLI,1515,"$170,000.00",IIJA-LSL,"$83,300.00",,0,Nov-2026,To conduct a Lead Service Line Inventory of the Campti Water System.,IIJA-LSLI,NONE,,Yes,NO,,IIJA-LSLI,D
